"[ 먼저 요약해서 말씀드리자면요기저귀 겉면을 둘러싼 에어통기홀과등 허리 쪽 허리 밴드의 블루 퀵드라이허리 밴드로 습기 없이], 부정 텍스트 확률 : 63.62%"
"[ 축축한 기저귀 때문에 딸국질을 경험했다는 엄마아빠들이 나 된다고해요 아기들은 체온을 유지하는데 특히 중요해요], 부정 텍스트 확률 : 74.29%"
"[ 소변후 시간에 따른 체온 변화만 보아도 확인이가능해요피부 온기케어가 가능한 냉기저감시트는 소변을 흡수한 기저귀에서 나오는 냉기를 피부에 전달되지 않게 기저귀 안에 가두어두는거에요 ], 부정 텍스트 확률 : 67.93%"
"[ 탄탄한 도 허리 밴드로 아기의 움직임과 신체곡선에 따라 부드럽게 핏되서 신체움직임이 점점 많아지는 시기에도 딱 가만히 누워있는 아기에게도 답답함이 사라지는 효과가 있어요성인도 너무 꽉 끼는 바지 입으면 하루종일 속도 더부룩하고 답답하져 ㅠㅠ 아기도 말은 못하지만 너무 끼는 기저귀는 답답하고 불편할꺼에요 마미포코 피부온기케어팬티는 도 쭉쭉 늘어나는 허리밴드형태라 어떤체형이든 어떤자세든 오케이도 통기성 시트로 축축하고 답답한 기저귀는 이제 빠이빠이에용 ], 부정 텍스트 확률 : 100.00%"
"[ 사용후엔 이렇게 돌돌 말아서], 부정 텍스트 확률 : 76.87%"
"[ 테이프로 고정해주시면 ], 부정 텍스트 확률 : 64.79%"
"[ 깔끔하게 뒷처리도 가능하답니당 ], 부정 텍스트 확률 : 61.06%"
"[ 마미포코 쿨썸머 땀먹는팬티자사 에어핏팬티 제품에서 이중밴드 그리고 허리부분 땀흡수되도록 추가되었어요제품은 까지 사용할수있는 대형사이즈로 구입했어요.이 제품은 대형], 부정 텍스트 확률 : 74.69%"
"[ 특대형 사이즈로 준비되어있어요.대형 ], 부정 텍스트 확률 : 60.79%"
"[ 그리고 기존 자사제품 에어핏팬티 리뉴얼 제품에서는 샘현상이 있어서이번 리뉴얼제품도 혹시나 그럴까 걱정도 되었는데이번 쿨썸머 땀먹는팬티 제품은이중밴드처리가 되어있어서 샘걱정안쪽에 엉덩이를 착 감싸는 밴드가있고 겉으로 엉덩이 전체적으로 감싸주는 밴드가 하나 더 있어요이중이라서 좀 답답할까 싶었는데시원한 소재로 밴드도 널널하게 되어있어서 움직임에 전혀 불편함없음 배부분], 부정 텍스트 확률 : 99.90%"
"[ 허리부분 도 신축성 짱짱머리도 앞뒤 짱구인데 배불뚝 궁디빵빵 ㅋㅋㅋㅋ그럼에도 자국없이 널널하게 늘어나는 밴드에요 ], 부정 텍스트 확률 : 73.72%"
"[ 잘때 앞으로 뒤로 이불차며 자기시작하는 튼튼..놀때도 정신없지만 잘때도 정신없어.. ㅋㅋㅋㅋㅋㅋ이렇게 자도 새지않고 뽀송하게 ], 부정 텍스트 확률 : 99.47%"
"[ 소변 전], 부정 텍스트 확률 : 58.73%"
"[ 후에는 이렇게 되요.보통은 소변줄이 없다가 진한색으로 생기는데연한 주황색 색상이였다가 소변을 누면 하얗게 없어져요.이건 기존에 사용하던 제품들에 익숙해져있어서 새롭긴하더라구요초반에는 소변줄보고 갈아주기도했는데 ㅋㅋㅋ지금은 바지입혀놓아도 소변을 많이했는데 응아를했는지어느정도 알수있답니다 ㅋㅋㅋㅋ ], 부정 텍스트 확률 : 70.25%"
"[ 기어다니다가 한번 앉기 시작하더니앉아서 기는자세로 자유자재 기저귀가 얇은편이라 그런지 뒷모습이 가뿐해보이는 느낌 ], 부정 텍스트 확률 : 70.74%"
"[ 집에서 벌써 이렇게 다리는 시원하게 ㅋㅋㅋ땀이 조금씩 촉촉 ..너의 쉰내... 향기롭다 ], 부정 텍스트 확률 : 54.75%"
"[ 여름철기저귀는 마미포코 쿨썸머 땀먹는팬티로 여름날 준비완료빵빵하게 쉬하고나서 갈아주려보니 짓무름도 없고잘 말려있는걸보니 통기성도 합격 땀먹는밴드로 허리], 부정 텍스트 확률 : 94.08%"
"[ ..울딸 개월 몸무게 ...대형으로 단계 권장선택했어요..한팩에 매 들어있답니다..단계도 얼추 맞겠지만... 허벅지가 꿀벅지라 넉넉하게 사용해봤어요..꿀벅지면 무조건단계 업그레이드 해서 써야해요. . ], 부정 텍스트 확률 : 66.09%"
"[ ..사용하기전 흡수력테스트와 패드를 확인해볼려고.양쪽을 뜯어봤는데요..패드 부분이 에어 물결 커버로 .물결 홈 사이로 공기 순환이 원활하고.소변을 봐도 아이 엉덩이가 보성하고 쾌적하겠더라구요.. ], 부정 텍스트 확률 : 68.63%"
"[ ..마미포코 통기케어팬티기저귀.이중 옆샘 방지 다리밴드로 되어 있어.허벅지를 이중으로 감싸주고 옆샘 걱정없이 안심하고 사용이 가능해요.. ], 부정 텍스트 확률 : 58.82%"
"[ ..흡수력 테스트를 위해 물감을 했는데...왜캐 연하쥬 ꒦ິ꒦ິ 다음엔 더진하게 해야겠어요..그래도 흡수력테스트 하면서 놀랬어요..붓자마자 다 흡수해버리더라구요..와우마미포코 통기케어팬티기저귀는.최대시간 지속 흡수력을 자랑한다고해요..정말 통잠 기저귀로 적극 추천 . ], 부정 텍스트 확률 : 90.90%"
"[ ..사용 후엔 돌돌말아 뒤 스티커로 붙힌 후 쓰레기통으로.뒷처리 깔끔. ], 부정 텍스트 확률 : 71.20%"
"[ .?팬티기저귀팬티기저귀], 부정 텍스트 확률 : 53.29%"
"[ .?겨울기저귀겨울기저귀], 부정 텍스트 확률 : 53.29%"
"[ .?피부온기기저귀피부온기기저귀], 부정 텍스트 확률 : 60.55%"
"[ .?온기케어팬티온기케어팬티], 부정 텍스트 확률 : 60.55%"
"[ .?피부온기케어피부온기케어], 부정 텍스트 확률 : 60.55%"
"[ .?마미포코마미포코 ], 부정 텍스트 확률 : 53.29%"
"[ 마미포코 온기케어팬티는 약간 두께감이 느껴지는데 이건 아마도 냉기저감시트가 있어서 그렇지 않을까 싶어요그렇다고 엄청 두껍거나 하진 않는답니다아기가 움직이기에 전혀 불편함이 없을 정도에요 ], 부정 텍스트 확률 : 95.16%"
"[ 얼마나 잘 늘어나는지 제가 엄청 늘려 보았는데 허리는 물론 옆구리나 허벅지까지 전혀 불편하지 않게 입힐 수 있는 마미포코 겨울기저귀더라구요도 밴딩에 전면 통기성 시트로 답답하지 않으면서 신축성이 좋아서아기몸에 딱 맞게 감싸주어 편하게 입힐 수 있는 온기케어팬티에요 ], 부정 텍스트 확률 : 85.58%"
"[ 앉아있을때도 서서 활동할때도 전혀 불편해 하지 않는 마미포코 겨울기저귀표현력이 많이 좋아지고 자기 주장이 강해서 싫으면 바로 싫은 내색을 하는데 온키케어팬티가 마음에 드는지 전혀 싫은내색 없이 활동도 잘 하고 좋아하더라구요역시 체온 유지도 되고 아기 엉덩이도 부드러워 좋은가봐요ㅎㅎ ], 부정 텍스트 확률 : 98.40%"
"[ ...저희 황금이는 마미포코 피부 온기케어팬티 기저귀 •중형사이즈로 남여공용을 사용해봤어요☆.. ], 부정 텍스트 확률 : 81.90%"
"[ . ], 부정 텍스트 확률 : 62.92%"
"[ ..저희 황금인 지난주까지 ..거의 이라 중형으로 선택했는 데 딱 좋은거 같아요... ], 부정 텍스트 확률 : 97.13%"
"[ .... ], 부정 텍스트 확률 : 70.23%"
"[마미포코 피부 온기케어팬티는 냉기저감시트를 사용하여 소변 을 흡수한 기저귀에서 나오는 냉기가 아이 피부에 전달되지 않도록 가둬주어 급격한 체온저하를 방지해준다고해요.. ], 부정 텍스트 확률 : 85.94%"
"[ 이중 옆샘 방지 다리밴드], 부정 텍스트 확률 : 53.29%"
"[최대 시간흡수력], 부정 텍스트 확률 : 83.08%"
"[소변후 표시선아 사라지는 소변알림마크 ], 부정 텍스트 확률 : 62.31%"
"[간편한 뒤처리테이프로 장점이 많은 아이더라구요.. ], 부정 텍스트 확률 : 84.21%"
"[ ...손잡이 부분쪽에 절취선이 있어요... ], 부정 텍스트 확률 : 60.55%"
"[ ...한장 쏙☆.. ], 부정 텍스트 확률 : 73.98%"
"[ ...도 전면 통기성시트로 축축하고 답답하지 않게 해주는 온기케어팬티♡.마미포코는 소변을 보면 표시선 색이 바뀌는 다른 기저귀들과는 다르게 표시선이 사라진답니다 마술같죠?ㅎㅎ], 부정 텍스트 확률 : 50.58%"
"[ ... ], 부정 텍스트 확률 : 75.40%"
"[ ..다리밴드 안쪽엔 짱짱한 이중 샘방지 밴드가 하나 더 있어요.요즘들어 이리 뒹굴 저리뒹굴 하는 황금이가 아무리 뒤척뒤척 용을 써도 샐틈이 없어요 ], 부정 텍스트 확률 : 99.37%"
"[ ... ], 부정 텍스트 확률 : 75.40%"
"[ ... ], 부정 텍스트 확률 : 75.40%"
"[ ....마미포코의 허리], 부정 텍스트 확률 : 63.22%"
"[ 겨울기저귀로 딱인거 같아요.마미포코 피부 온기케어팬티.밤기저귀], 부정 텍스트 확률 : 71.57%"
"[겨울기저귀로 추천합니당☆.....본 후기는 업체로부터 제품만을 제공받아 작성된 솔직후기입니다. ... ], 부정 텍스트 확률 : 63.91%"
"[ 젤 먼저 제조일자를 확인하고 ㅋㅋㅋ루아 기저귀 사이즈를 체크했어요 ], 부정 텍스트 확률 : 63.60%"
"[ 마미포코 피부 온기케어 패티 기저귀는 단계로 나눠져 있어요 단계는 중형인데 기거나 일어서려는 아기 단계는 대형이고 걷기 시작하는 아기단계는 특대형이고 아장아장 걷는 아기 로 나눠져 있어요 그 중에서 우리 루아는 이제 기고 일어서기에 단계 중형을 선택했어요], 부정 텍스트 확률 : 52.30%"
"[ 전 이번에 팬티 기저귀를 첨 사용해요 과연 앞 뒤를 잘 구별할까? 라는 생각도 있었는데 뒤쪽은 뒤라고 적혀있어서 다행이였어요 ㅎㅎㅎ ], 부정 텍스트 확률 : 57.03%"
"[소변보고 시간 넘게 기저귀 안갈아 주면 딸꾹질도 했는데이 기저귀 착용하고는 딸꾹질을 안하더라구요], 부정 텍스트 확률 : 92.77%"
"[ 기저귀에 의한 시간당 온도 변화 비교로 소변 후 기저귀에서 나오는 냉기가 피부에 전달되는 것을 줄여주니 쾌적함과 깔끔함과 동시에겨울용 기저귀로 딱좋다는 것을 느끼게 되었어요 ], 부정 텍스트 확률 : 80.53%"
"[씻으러 화장실 이동할 때 바닥에 떨어질때도있었는데 마미포코 피부 온기케어팬티 기저귀는 되묻어남이 없고 루아 엉덩이를 보송보송하고 쾌적하게 지켜주니 엄마로써 맘이 엄청 편안해질꺼 같애요 ], 부정 텍스트 확률 : 83.45%"
"[ 루아가 소변을 보고 나니소변알림마크가 사라지더라구요], 부정 텍스트 확률 : 50.23%"
"[ 사용 전왼 사용 후오 노란색 표시선이 사라진거 보이셔요???대분분 기저귀는 사용 전에 노란색이였다가 사용 후에는 파란색으로 바뀌던데피부 온기케어 팬티기저귀는 노란색 선이 사라지는것도첨이고 신기했어요 ㅎㅎㅎ저만 신기한건 가요??? ㅋㅋㅋ ], 부정 텍스트 확률 : 89.18%"
"[ 쉬아를 많이해도 오케오케열기와 습기가 밖으로 솔솔 마미포코만의 통기기술로 답답함없이 상쾌함을 느낄 수 있으며 여기서 끝이아니죠 ], 부정 텍스트 확률 : 74.69%"
"[ 이중 옆샘 방지 다리밴드로 밤새 안심 뽈뽈뽈 돌아다녀도 안심 엄청 활발한 유찬이인데 샘이 도 없어서 감동을 했잖아요 ], 부정 텍스트 확률 : 64.50%"
"[ 뒤에 테이프가 있어 사용 후 돌돌돌 말아서 버리면 뒤처리가 간편하답니다 ], 부정 텍스트 확률 : 74.85%"
"[ 최대 시간 지속되는 흡수력이라 밤새 끄떡없겠죠? 게다가 안쪽엔 에어 물결 커버 홈사이로 공기가 솔솔 기저귀속 공기순환이 제일 중요한거 같아요 ], 부정 텍스트 확률 : 90.69%"
"[ 보통 팬티형기저귀도 입히기 힘들어서 아주 진을 빼놓는데 이건 허리밴딩마저 쫙쫙 늘어나는게 입히기 수월하더라구요. 진짜 이부분 칭찬한다며 ], 부정 텍스트 확률 : 93.37%"
"[ 아침마다 모닝응아를 할때 샐까봐 조마조마한데 마미포코 골드통기케어 팬티기저귀로 바꾼뒤 그런 걱정은 노노 밖에 외출했을때도 그런걱정 노노 다른것보다 아이가 편안해하며 보송보송한 엉덩이를 유지할 수 있으니 추천해요 ], 부정 텍스트 확률 : 56.51%"
"[ ㅋㅋㅋ 뒷모습을 동영상으로 찍는데 손을 놓고 걸어다니길래 깜놀 이제 진짜 조만간이구나? ...... ], 부정 텍스트 확률 : 98.34%"
"[. .?마미포코마미포코 기저귀 싸게 구매했어요. ], 부정 텍스트 확률 : 63.18%"
"[ .남아용에 특대형 팬티기저귀 ], 부정 텍스트 확률 : 91.56%"
"[ 원 ➨ 할인판매가격 ], 부정 텍스트 확률 : 53.29%"
"[ 필수 표기정보 ], 부정 텍스트 확률 : 53.29%"
"[품명 및 모델명], 부정 텍스트 확률 : 53.29%"
"[ 인증 필 유무], 부정 텍스트 확률 : 53.29%"
"[.혼합 색상], 부정 텍스트 확률 : 62.92%"
"[.안감부직포흡수층분쇄펄프], 부정 텍스트 확률 : 62.92%"
"[흡수지], 부정 텍스트 확률 : 57.75%"
"[부직포방수층폴리에틸렌필름테이프], 부정 텍스트 확률 : 53.29%"
"[사용연령 또는 체중범위], 부정 텍스트 확률 : 53.29%"
"[동일모델의 출시년월], 부정 텍스트 확률 : 65.67%"
"[제조자수입자], 부정 텍스트 확률 : 61.97%"
"[.엘지유니참], 부정 텍스트 확률 : 62.92%"
"[제조국], 부정 텍스트 확률 : 61.97%"
"[.대한민국], 부정 텍스트 확률 : 62.92%"
"[취급방법 및 취급시 주의사항], 부정 텍스트 확률 : 53.29%"
"[안전표시], 부정 텍스트 확률 : 53.29%"
"[.화기주의], 부정 텍스트 확률 : 62.92%"
"[품질보증기준], 부정 텍스트 확률 : 53.29%"
"[.제품 이상 시 공정거래위원회 고시 소비자분쟁해결기준에 의거 보상합니다.], 부정 텍스트 확률 : 72.71%"
"[.쿠팡 고객센터 ], 부정 텍스트 확률 : 62.92%"
"[ 품절임박 ﾞ｡｡], 부정 텍스트 확률 : 53.29%"
"[ 개 상품평 보기는⬇아래 링크로 확인해주세요⬇▼▼▼ .. ], 부정 텍스트 확률 : 62.82%"
"[ .?마미포코마미포코.?에어핏에어핏.?팬티형팬티형.?기저귀기저귀.?여아용여아용.?대형대형.?단계단계 이 포스팅은 제휴마케팅이 포함된 광고로 일정 커미션을 지급 받을 수 있습니다. ], 부정 텍스트 확률 : 52.71%"
"[ .냉기저감시트 를 사용해서 피부온기를 유지 시켜준다더라구요 ], 부정 텍스트 확률 : 88.52%"
"[ .이라 아이 몸무게에 맞게 특대형 단계를 썼어요 ], 부정 텍스트 확률 : 95.60%"
"[ .냉기저감시트라서 그런지되묻어남이감소 된다고 하더라구요], 부정 텍스트 확률 : 56.76%"
"[ 온기케어팬티는요 냉기저감시트로 피부온기를 케어해준답니다.냉기저감시트를 사용하는 이유는요. 소변을 흡수한 기저귀가 차가워지면], 부정 텍스트 확률 : 93.75%"
"[성인보다 체온조절능력이 미숙한 아가들은 딸꾹질 같은 생리 현상이 나타나게 되는데요.. 냉기저감시트를 사용함으로써 이런걸 방지해주는거죠딸꾹질 많이 하는 우리아가에게 꼭 필요한 기저귀네요.. 피부온도변화가 확실히 보이시나요? 자사 실험결과랍니다.냉기테스트이미지를 보심 아시겠지요. 확실히 피부온기케어기저귀를 사용하면 온도를 지켜준다고하네요 ], 부정 텍스트 확률 : 81.54%"
"[ 마미포코 피부 온기 케어 팬티는 냉기 저감 시트로 소변을 흡수한 기저귀에서 배출되는 냉기를 아이의 피부에 전달되지 않도록 가둬주어 아기의 급격한 체온 저하를 방지해 준다고해요.이런기술력 아주 좋아요. 왜 이제야 나온겁니까아첫째아이때도 있었으면 마미포코 애용했을껀데 말이에요 ], 부정 텍스트 확률 : 96.07%"
"[ 우리아기는 지금 거의 키로 정도 되는데요.. 엉덩이부분과 허벅지가 튼실해서..중형단계를 쓰고있답니다.마미포코 온기케어팬티 기저귀 사이즈 중형은 장이 들어있고 남녀공용이랍니다.보통 중형은 기거나 일어서려는 아기가 많이 사용하죠하지만 저같이 아가야가 허벅지랑 뱃골이 소형을 쓰기엔 낑긴다면 한단계 업 해서 쓰셔도 상관은 없답니다아이에 맞게사이즈는 조절해서 쓰는거죠 ], 부정 텍스트 확률 : 83.58%"
"[ 내아기 성장단계에 맞도록 맞춤설계된 마미포코 팬티기저귀.온기케터팬티 기저귀는 단계부터 나와요 단계], 부정 텍스트 확률 : 92.56%"
"[단계 ], 부정 텍스트 확률 : 53.29%"
"[뱃살등을 고려해서 단계를 선택하면 될껏 같아요 ], 부정 텍스트 확률 : 65.72%"
"[ 한팩을 오픈해 보았어요 그린색과 노란색의 무늬가 들어간 마미포코 기저귀가 빼곡히 들어가있네요. ], 부정 텍스트 확률 : 55.58%"
"[ 안쪽으로 뒤집어 봤어요 기저귀 안쪽으로 올록볼록한 시트 보이시나요? 이게바로 냉기저감시트랍니다.냉기저감시트가 있어서 소변을 빠르게 흡수하고 시트에서 배출되는 냉기를 가둬줘서 아기 체온 저하를 막아주죠그리고 빠르게 흡수를 시키니까 아기 피부를 더욱 쾌적하고 깔끔하게 관리를 할수 있어 좋아요 ], 부정 텍스트 확률 : 80.69%"
"[ 그리고 몰랐는데 체온이 떨어지면 면역력도 떨어지기 쉽다고해요.체온이 도 떨어지면 백혈구 활동이 이상 저하되고반대로 체온이 도 오르면 백혈구 활동이 배 이상 활발해진다고해요.그런데 아기들의 경우 체온 조절 능력이어른보다 떨어져서 온도에 민감하게 반응하고쉽게 몸이 차가워져서 소변보고나면 딱꾹질도 자주 하게 되는거같아요.그래서 특히 신생아때 울아가가 딱꾹질을 해서 보면 기저귀에 소변을 봤더라고요 ], 부정 텍스트 확률 : 60.87%"
"[ 그래서 마미포토에서 피부온기케어 기저귀가 나왔더라고요.날씨도 추운 겨울기저귀로 정말 좋아요아기가 소변을 보고나면 빠르게 온기를 빼앗아가는 기존 기저귀에 비해온기케어팬티는 급격한 온도 저하를 막아준다고해요. ], 부정 텍스트 확률 : 58.42%"
"[ 마미포코 피부온기케어만의 냉기저감시트가 소변을 흡수한 기저귀에서나오는 냉기가 피부에 전달되지 않게기저귀 안에 가두워 주니 아기가 딱꿀질을 덜하게되요 ], 부정 텍스트 확률 : 91.03%"
"[ 또 마미포코 피부온기기저귀는되묻어남이감소된 냉기저감시트라좋아요. 아기 기저귀를 갈고나서 만져보면기존에 마미포코팬티기저귀는 차가운느낌이 들었는데확실히 온기케어팬티 기저귀는 덜 차가운 느낌이 들더라고요. 그래서인지 울아가도 마미포코 피부온기기저귀를 좋아해요.이래서 마미포코 팬티기저귀를 추천하나봐요 ], 부정 텍스트 확률 : 87.41%"
"[ 그리고 마미포코 피부온기기저귀는안감시트가 올록볼록한 구조로 되어 있더라고요그래서 아기가 소변본후 축축해지는 냉기를 올록볼록 구조가 피부에 닿는 면적을 줄어들게 해서아기의 체온을 낮춰주지 않아서딱꾹질을 덜하게되요. ], 부정 텍스트 확률 : 79.51%"
"[ ...ㅠㅠ하지만 마미포코 온기케어팬티 기저귀는지속흡수력이 좋아서 밤새 샘 걱정 없이 안심하고 사용하고 있어요. ], 부정 텍스트 확률 : 75.82%"
"[ 와 마미포코 피부온기기저귀바로 흡수되서 손에 묻어나오지 않더라고요 ], 부정 텍스트 확률 : 77.82%"
"[ 마미포코 온기케어팬티 기저귀겨울기저귀로 딱이네요 ], 부정 텍스트 확률 : 64.02%"
"[..▼마미포코 피부온기케어 팬티기저귀 구매하러가기 ], 부정 텍스트 확률 : 67.72%"
"[ 마미포코 골드 통기케어팬티는 사이즈가 중형], 부정 텍스트 확률 : 75.32%"
"[특대형 이렇게 가지이구요 저희 딸은 이제 가 넘어서 중형을 사용할 수 있게 되었네용], 부정 텍스트 확률 : 64.44%"
"[ 기저귀 앞면과 뒷면은 누가봐도 알기 쉽게 뒤 라고 적혀있으니 헷갈릴 수가 없구요 소변 알림 선이랑], 부정 텍스트 확률 : 98.76%"
"[뒷처리 테잎도 딱 눈에 띄네요 소변 후 표시선이 없어지니깐 교체하기도 편합니당 ], 부정 텍스트 확률 : 76.53%"
"[ 오줌많이눠서 아주 빵빵노란선 색깔이없어졌죠? ], 부정 텍스트 확률 : 55.54%"
"[ 마미포코가 최초로 적용한 에어통기홀인데요 에어통기홀이 뭐냐면 기저귀 전체를 감싸고 있는 에어 통기 홀로 바람이 솔솔 기저귀 안의 습기와 열기를 바깥으로 내보내 피부가 상쾌해져요 ], 부정 텍스트 확률 : 92.45%"
"[평소보다 덜 맺히는거 아마 눈에 띄게 다를껄요?그리고 허벅지 둘레를 이중으로 밴드가 부드럽게 감싸주기 때문에 옆으로 새는것도 걱정은 하지덜 마세용 ㅋㅋ이때까지 한번도 새어나간적은 없는거 같아요 그리고 흡수력도 좋아서 밤 기저귀로도 재격이구요], 부정 텍스트 확률 : 84.89%"
"[ 에어물결커버의 물결 홈 사이로 공기 순환이 원활해아기 피부가 항상 쾌적하고 보송하답니다. 이번 체험단은 우수 후기를 작성하시는 분을 선정해서 백화점 상품권과 마미포코 통기 케어 팬티 박스를추가로 드리니까 이 기회 놓치지 마세요 마미포코 골드 통기케어 팬티 체험단에 많은 관심과 참여부탁드립니다이벤트 정보이벤트 기간 ..월.일 주간당첨자 발표 ..화 우수 후기 작성 기한 ..월 우수 후기 발표 일자 ..목이벤트 참여방법 체험단 페이지를 개인 에 스크랩댓글로 스크랩한 ], 부정 텍스트 확률 : 88.40%"
"[기저귀 사이즈], 부정 텍스트 확률 : 53.29%"
"[아기 성별 남기기골드 통기케어팬티를 체험하고 싶은 이유 댓글로 남기기 체험 경품 마미포코 골드 통기케어팬티 팩 ? 총 명우수후기 경품등명 백화점 상품권 만원등명 골드 통기케어팬티 박스 ...? ...?], 부정 텍스트 확률 : 91.45%"
"[ 마미포코기저귀 어떤가요?하기스 사용하다가 바뀌볼까해서 이것저것 알아보는중이에요사용하시는분있으면 후기 부탁드려요], 부정 텍스트 확률 : 92.23%"
"[ 에어물결커버의 물결 홈 사이로 공기 순환이 원활해아기 피부가 항상 쾌적하고 보송하답니다. 이번 체험단은 우수 후기를 작성하시는 분을 선정해서 백화점 상품권과 마미포코 통기 케어 팬티 박스를추가로 드리니까 이 기회 놓치지 마세요 마미포코 골드 통기케어 팬티 체험단에 많은 관심과 참여부탁드립니다이벤트 정보이벤트 기간 ..월.일 주간당첨자 발표 ..화 우수 후기 작성 기한 ..월 우수 후기 발표 일자 ..목이벤트 참여방법 체험단 페이지를 개인 에 스크랩댓글로 스크랩한 ], 부정 텍스트 확률 : 88.40%"
"[기저귀 사이즈], 부정 텍스트 확률 : 53.29%"
"[...? 전 아직 출산전이라 아깝네요ㅠ], 부정 텍스트 확률 : 94.13%"
"[ 제 기억이 더 사라지기 전에 남겨놓는 후기에요.저랑 제 딸은 그다지 기저귀에 예민하지 않은 편인 듯해요.기저귀 밴드는중에 주로사이나 에 채우고 쫄리면 단계 넘어갑니다.여기 쓴 기저귀들 중에 알갱이 본 적은 없어요.사람마다 느끼는 건 다를 수 있으니 태클은 사절합니당.. 군 오리지널조리원에서 써봤는데], 부정 텍스트 확률 : 75.19%"
"[단계조리원에서 밥 먹으면서 물어봤더니], 부정 텍스트 확률 : 52.97%"
"[이거 많이 쓴다 그래서 사본 네이쳐메이드.부드럽고], 부정 텍스트 확률 : 84.49%"
"[사이즈가 작게 나와요. 단계는 네이쳐메이드만 썼는데요], 부정 텍스트 확률 : 96.40%"
"[ 진작 기저귀 바꿨으면 통잠을 더 일찍 잤을 거에요ㅠㅠㅠ 기저귀 바꾸니 통잠...그 이후 맥스드라이는 낮에 막 갈아주게 됩니다.근데 팩당 천원대의 싼 가격으로 구입한 게 아니었다면 속 쓰렸겠죠??뭐 것도 다 못 쓰고 단계 네이쳐메이드맥스드라이 팩씩은 유한킴벌리 고객센터를 통해사이즈 교환을받았습니다. 매직팬티], 부정 텍스트 확률 : 85.54%"
"[거슬릴 정도는 아니에요.길이 넉넉하고 두껍지 않고 괜찮았어요. 근데 소변 냄새가 너무 나요ㅠㅠ 우리 딸 안 씻기는 거 같잖아요...팩 다 쓰고 재구매는 안 했어요..빌로기 미디], 부정 텍스트 확률 : 54.22%"
"[맥시맥스드라이 넘치는 것 때문에 분노하고 검색해서 산 빌로기.하기스 단계가 딱 맞는 시기여서 약간 클 걸 감안하고 미디움으로 샀어요.디자인 깔끔하구요], 부정 텍스트 확률 : 68.35%"
"[두께는 지금까지 사용한 기저귀 중에 제일 두꺼워요.아침에 기저귀 보면 세상 빵빵하고 두꺼워요.엄청 부드럽냐? 그렇지도 않아요. 소변줄 없는 기저귄데 친환경은 아니에요.근데 소변을 그렇게 많이 봐도 피부는 축축하지 않더라구요. 한번도 넘친 적 없어요.외출용으로는 옷핏을 망가뜨리는 빵빵기저귀인데요], 부정 텍스트 확률 : 99.55%"
"[이라 맥시사이즈 쓰고 있어요. 주니어사이즈까지 계속 쓸 거에요.딜이 자주 안 뜨는 게 아쉬워요.. 뉴메리즈 에아스루 중형 킨도 보라 다음 타자로 선택한 메리즈. 일 지나 킬로 정도여서 중형으로 구입했죠.워낙 부드럽다 그러고 호평이 많아서 딜도 아닌데 팩을 구입해보았습니다.사이즈는 킨도보다는 약간 작지만 킬로수에 적당했어요.근데 뭐... 장점을 잘 모르겠어요. 이정도 부드러운 기저귀는 많아요...재구매를 할 것인가 말 것인가 긴가민가 했는데], 부정 텍스트 확률 : 73.70%"
"[딸내미라 일제기저귀 쓰기가 마음 한구석에 찜찜했는데 장점도 딱히 모르겠어서요.귀찮아서 제조사 홈페이지는 안 들어가봤는데], 부정 텍스트 확률 : 51.02%"
"[포장에는 국산일본산이라고만 적혀 있고], 부정 텍스트 확률 : 91.44%"
"[ 제조지주소 같은 건 안 나와있더라구요.. 나비잠 매직소프트 중형], 부정 텍스트 확률 : 84.42%"
"[소변냄새가 많이 나는 것도 아니고], 부정 텍스트 확률 : 85.63%"
"[겉이 축축하지도 않구요.이유식 시작하고 응가양이 늘어서 가끔 샌 적이 있는데], 부정 텍스트 확률 : 63.33%"
"[이건 지금 좀 많이 크네요.매직소프트보다 얇아서 지금 같은 날씨에 만족스러워요. 둘 중 하나 산다면 저는 울트라씬을 사겠어요.근데 제 주변에는 울트라씬에 발진 난 아가들이 몇 있어요.현재 울트라씬 팩을 다 써가는 중입니다. 그러니까 또 새로 주문해야 하지 않겠어요?. 모모래빗 에코씽씽 이건 밴드팬티 둘다 체험팩을 구입했어요.아직 팬티는 안 써봤는데], 부정 텍스트 확률 : 68.08%"
"[밴드는 얇고 좋아요. 디자인도 모노톤으로 깔끔하구요.무난해서 저렴하게 딜이 뜬다면 본품을 구입해보고 싶네요.. 슈퍼대디 미스터펭대형원래 있던 매직슬림??인가 그게 리뉴얼 돼서 미스터펭으로 나왔다네요.매직슬림을 안 써봐서 차이는 모르구요], 부정 텍스트 확률 : 99.67%"
"[ 오늘택배 받아서 두 장 써봤는데], 부정 텍스트 확률 : 55.29%"
