"[ 기저귀 선택할 시간도 없이 남편 친구분이 조리원 퇴소 전에 집으로 보내주셔서사용하게 된 하기스 네이처착용시 몸무게사이즈.단계], 긍정 텍스트 확률 : 78.85%"
"[속싸개 겨울에는 겉싸개도속싸개는 네모난 블랭킷 형태와 그밖의 다양한 모양들이 있다. 두달 정도까지는 아가들이 모로반사땜에 자다가 두팔 들고 지가 깜짝 놀라서 깨고 울고 그런 일이 많은데], 긍정 텍스트 확률 : 87.01%"
"[ 아기가 답답해보인다고 자꾸 풀어두기도 하는데 우리 친정엄마가 그러하셨음 확실히 잘 싸두는게 아기가 잘 잔다. 근데 이번 여름은 너무 더워서 나도 매번 싸주지는 못했다. 태열], 긍정 텍스트 확률 : 61.50%"
"[땀띠날까봐서. 좁쌀베개좁쌀이불속싸개와 함께 더불어 필수템.나는 여름아가를 키워서 속싸개가 너무 답답하고 더울 거 같아서 고민이었는데.이럴 때 좁쌀베개가 짱 ㅎㅎ정말 매일 매일], 긍정 텍스트 확률 : 98.47%"
"[아이가 커짐에 따라 그에 맞게 더 펼쳐서 쓰면된다.아기비데. 남아 여아 모두 요로감염 방지를 위해서 아기들 대변 후 흐르는 물에 잘 씻어주는 게 중요하다고 해서 관심을 갖게 된 아이템.머머비데용도 물론 가능. 엄마 혼자 이기를 씻길 때 편함. 도와줄 사람이 있으면 굳이 없어도 될 듯.여름 아가들은 안고 있는게 엄청 더운데], 긍정 텍스트 확률 : 94.59%"
"[ 원래는 잘 토하거나 트림 잘 안하는 아기들을 위해 고안한 쿠션인데.머리두는 쪽의 높이가 더 높게 설계됨그 역할도 물론 있지만 이동식 침대?로도 활용도가 높다. 가운데가 움푹 파여서 아늑해서 아기들이 거기서 잘잔다. 자궁에 있을 때와 비슷한 느낌을 준다고 함.그리고 아가들은 기본적으로 머리쪽을 약간 높게 해서 비스듬하게 누워있는 걸 좋아하는 듯 하다. 커버 분리형을 사야 세탁이 편하고], 긍정 텍스트 확률 : 92.16%"
"[여름용 원단지지미 커버도 따로 구매가능하다.나는 거실에 쿠션과 모빌을 한세트로 두고 주구장창 이용하고 있음. 모양?에 비해 가격이 비싸다고 느껴졌는데 엄청 잘쓰고 있으므로...흠. 피아노 아기체육관 국민장난감 ㅎㅎ 아기들 중에 발차기 잘하고 잘 버둥거리는 아가들이 있는 데 그런 아가들에게 매우 어울리는 장난감인 듯. 맨날 누워만 있으니 아가들이 지루할 거 같다 ㅎㅎ 컬러모빌에 반응을 보이는 두달정도부터가 적당하지않을까 싶다. 사실 그전에도 사용할 수 있을 듯. 나는 시기를 놓쳐서 못썼는데 ㅠ ㅠ 아쉽다. ], 긍정 텍스트 확률 : 53.82%"
"[아기체육관 다른버젼이것도 국민 아기체육관 으로 불리는 것.이건 위에 피아노 아기체육관보다 좀 더 오래 쓸 수 있다고 한다. 친구가 강추했다. 누워서도 쓰고 일어서서도 쓸 수 있다고 함.북경가면 이걸 사야할 듯.국민 문짝도 엄청 유명하고 아가들에게 인기짱이라고 하는데 이건 걸은 후에 사용 ], 긍정 텍스트 확률 : 75.62%"
"[혹은 가볍게 부분적으로 씻겨야할 때 매우 유용한 아이템이다. 가격도 저렴하고 어떤 수도꼭지나 다 쓸 수 있다. 이거말고 좀 더 고급버젼], 긍정 텍스트 확률 : 88.90%"
"[귀여운 디자인도 많은데 나는 이걸 썼음.], 긍정 텍스트 확률 : 70.61%"
"[ 그리고 기저귀], 긍정 텍스트 확률 : 70.21%"
"[ 기저귀 관련 용품 중 신기한게 있는데 바로 없어도 되지만 있으면 넘나 좋은 그런 옵션템.바로 향기나는 기저귀 봉투], 긍정 텍스트 확률 : 86.33%"
"[일반 아기띠보다 어깨 허리가 확실히 덜 아프고], 긍정 텍스트 확률 : 50.64%"
"[만원대적응하는데 꽤 시간이 걸린다. 우선 착용법 영상을 여러번 보고], 긍정 텍스트 확률 : 97.27%"
"[ 범보의자백일즈음 구매해서 백일상에 아기 앉혀두고 이제 목 가눌 수 있으니 잘 쓰게 되는 아이템인 듯하다.... 라고 알고 있었는데 요즘엔 목 받침대까지 있는 제품들이 있다는 걸 알게되었다.], 긍정 텍스트 확률 : 88.08%"
"[ 나는 친구에게 일반적인 범보의자식탁 없음 얻어서 그걸 쓰고 있는 중인데. 그거 없었으면 나도 밑에 저런 것들을 샀을 듯 ㅎㅎ요즘 인스타에서 제일 많이 보이는 범보의자 둘. 첫번째는 젤리맘 와이즈 체어. 나중에 이유식 테이블도 설치해서 쓰고 뭐 다용도인 듯. ], 긍정 텍스트 확률 : 84.48%"
"[면도 좋고], 긍정 텍스트 확률 : 88.39%"
"[똑딱이 디테일도 그렇고 여러모로 꼼꼼하게 잘만들어졌다라는 게 느껴졌다. 사이즈도 정확한 느낌. 사이즈가 이면 진짜 키 센티 아가에게 정확하게 딱 맞는다. 아. 그리고 제일 중요한 거. 두벌 세트에 원이니 가성비 최고. 그리고 두세달부터는 내의를 많이 입히는데.선물용으로는 특히 딸내미 용으로는 밍크뮤 이런 백화점 브랜드도 좋겠지만], 긍정 텍스트 확률 : 97.20%"
"[ 요즘 유행하는 북유럽 스타일 유니크하고 화려한 색감과 패턴인 모이몰른], 긍정 텍스트 확률 : 64.54%"
"[모이모이깜피가 예쁘고 줗은 듯 ㅎㅎ 모이모이 깜피 ], 긍정 텍스트 확률 : 89.29%"
"[씌우면 귀엽다 ㅋㅋㅋ특히 딸 아이의 경우 보냇 모자 필수. 용도 짱귀엽 찡긋손싸개 발싸개는 손가락 발가락 발달에 좋지 않다고 해서 사용을 많이 안하는 추세라고 하던데], 긍정 텍스트 확률 : 52.33%"
"[ 애착인형이건 개인의 취향.나는 코스트코에서 국민 애착인형 버니 구입ㅎ ], 긍정 텍스트 확률 : 78.98%"
"[ 책아가 동화책 무지개 까꿍.엄마랑 뽀뽀책장사들의 감언이설에 속지않으리 했건만 막상 아가에게 보여주고 읽어주니 반응이 있다. 좋아한다 ㅎㅎㅎ 이런 책들 더 사야겠음. 얻으면 더 좋고.육아 서적 엄마], 긍정 텍스트 확률 : 53.32%"
"[나는 자라고 있어요. 베이비위스퍼러 골드 실전편스웨덴 육아프랑스 아이처럼내가 읽은 거 중에 도움받았던 건 저 정도. 또 뭐가 있더라..쓰자니 끝도 없다. 밤샐 기세..검색하다가 좋은 곳을 알아냈다. 뭔가 육아템을 살 때 보면 좋게 정리가 잘되어있다. 각종 국민템들의 향연 ㅎㅎ ], 긍정 텍스트 확률 : 90.10%"
"[ 여기 좀 짱인 듯. .. ], 긍정 텍스트 확률 : 82.36%"
"[국민 이유식 도구가 꼭 아니더라도 소재가 안전한 새 제품이면 사용에 무방하다고 한다. 어른들 것과 따로 사용하고], 긍정 텍스트 확률 : 68.46%"
"[세척과 보관을 잘 하는 것도 중요. 냄비우선 국민 이유식 냄비 인 릴리팟을 구매했다.단점 잘 눌러붙어서 설거지가 힘들다 ㅋ코팅된 제품들이 사용하기는 더 편한 듯. ], 긍정 텍스트 확률 : 67.90%"
"[눈금이 있고], 긍정 텍스트 확률 : 58.25%"
"[실리콘 소재를 쓰는 경우도 있다는데. 나는 평소에 글라스락을 좋아해서 락앤락에서 구매. 글라스락은 나중에 내가 계속 쓰기 유용한 아이템 ㅎㅎ이유식 냉동 큐브도 종류가 다양한데], 긍정 텍스트 확률 : 72.55%"
"[도마살 때 같이 살 수 있는 제품을 함께 구매하면 될 듯. 경험자에게 들은 팁을 전하자면], 긍정 텍스트 확률 : 84.40%"
"[얼음을 얼려도 되것네. 주변에 아가들을 보니 돌지나면 밥을 먹는 아이들이 있는 걸 보니 이유식 용품들도 생각보다 쓰는 기간이 짧은 듯 하다. 물컵이유식 시작즈음에 물보리차를 처음 마시기 시작하게 된다고 한다. 그래서 이유식 준비할 때 컵도 같이 준비해야한다고 한다. 뭣모르고 예쁘고 스텐레스라서 보온 잘되것네 심지어 빨대시피 전용이네 하며 푸고 프리미엄 빨대시피컵을 일단 샀는데], 긍정 텍스트 확률 : 58.22%"
"[스텐레스라 무거워서 어린 아기가 쓰기엔 부적합하다. 저 빨대는 좀 나중에 쓰는 빨대라고함.], 긍정 텍스트 확률 : 83.26%"
"[ 그래도 예쁘다 ㅎㅎ그래서 육아용품점 직원의 조언대로 다시 산 컵은 롤라컵. ], 긍정 텍스트 확률 : 53.74%"
"[ 부모님이 농사지은 쌀이랑 잡곡으로 그 딸세 아들 키우는 맘이 만들어서 파는 곳이라고 한다. 좋아보임 ㅎㅎ ], 긍정 텍스트 확률 : 98.71%"
"[기저귀에 대한 불안감도 상승하고 있다. 모든 제품이 그러하겠듯이], 긍정 텍스트 확률 : 81.34%"
"[본문으로 이동 이 블로그보니까 한눈에 보이긴하는데여기서 쓰시는분 계시면 생생후기 들을 수 있을까하야몰텍스를 미리 주문하긴 했는데 쓰시는분 계신가용], 긍정 텍스트 확률 : 82.47%"
"[구매시 꼭 사이즈 확인해서 구매해주세요.반품 환불 교환 불가합니다.밴드형몰텍스 네이처 친환경 밴드형 기저귀 단계 ], 긍정 텍스트 확률 : 80.30%"
"[매개입팩원언제든 문의 주세요구매후 소중한 후기를 남겨주시면 다음 구매시 원 추가 할인을 적용해드립니다다음 구매시 구매후기작성자 입니다 라고 알려주세요기저귀 제품은 구매후 반품 또는 교환 불가한점 꼭 참고하여 구매해주세요. 택배비는 무료 입니다. 오후 시 입금마감 당일발송합니다.택배 소요기간은 공휴일 제외 평일 평균일 소요되며도서 산간지역은 택배비가 발생될 수 있습니다. 로 문자 또는 판매자 채팅 부탁드립니다. 분유사기로 인해 저까지 피해를 보고있습니다 ㅠ 당사는 일체 예약발송을 하지도않고 받지도 않으며 있는 제품만 판매합니다 당일배송으로 이루어지고있으니 참고부탁드립니다ㅑ..돋움], 긍정 텍스트 확률 : 98.58%"
"[ 거래지역 ....거래 전에 꼭 확인하세요.], 긍정 텍스트 확률 : 59.99%"
"[.팸퍼스 ⭐️..파우더향이 넘 심함ㅠㅠ 투명비닐에 포장되서 왔는데 열면 냄새 진짜 심하당 이걸 어케 다쓰나 싶을 정도.... 쓰다보니 무뎌지긴 했는데 인공적인 향이어서 별로였당ㅜㅜ 아기한테도 안좋을꺼같음.대신 착 늘어나는 재질이라 돌돌 말면 부피를 가장 적게 차지해서 버릴때 편했음.가끔 엉덩이에 알갱이 묻어나올때 있었고 쪼금만 쉬싸도 흡수되기보다는 축축하고 늘어지는 느낌....하기스 네이처메이드 ⭐️⭐️⭐️⭐️⭐️..첨에 써서 그런지 보통이라고 생각했지만 다른거 쓸때마다 생각나는 기저귀ㅠㅠ 핫딜이 안떠서 안사고 버티는중이당..ㅋㅋㅋ 조리원동기들 사이에서도 평이 좋고 쉬싸면 조금 묵직해지는게 뭔가 뽀송뽀송..킨도 프리미어슬림 ⭐️..똥새서 옷 버렸던 기저귀ㅠ.ㅠ.쪼금 커서 그랬던거 같기도 하고 하도 기어다니니까 기저귀가 움직여서 그랬던거 같기도하고.. 근데 여태까지 통틀어서 한번도 샌적이 없었는데 흐규ㅠㅠ.쫌만 싸도 엄청나게 묵직해지는 아이.. 가끔 알갱이도 묻어나와서 별루ㅜㅜ 아그리고 소변줄이 없어서 쫌 불편했당 계속 기저귀 만지게됨.. 자주 갈아주는 편이긴한데 안보이니 답답..보솜이 ⭐️..핫딜떠서 팩인가 샀는데 질렀는데 쫌만 싸도 오줌냄새가 스물스물 올라온다ㅠㅠ 뽀송한 느낌 전혀없고 보솜이 채울땐 찝찝해서 계속 갈아주게됨.. 이제 반통 남았다.... 언눙 써버려야지.....합리적인 가격이긴 하지만 냄새 때문에 안뇽ㅠㅠ..페넬로페 씬씬씬 ⭐️⭐️..그냥 예뿜.... 포장지도 예쁘고 기저귀도 예쁘고 근데.이것두 싸면 먼가 냄새가 올라옴ㅜㅜ.보솜이보다는 덜하지만 그래도 찌릉내같이 뭔가 이상한냄새가 난다ㅠㅠ..애플크럼비 ⭐️⭐️⭐️..하얗고 예쁨.... 포장지도 예쁘고 기저귀 그림도 심플하고 비싸서 밤기저귀로 썼었는데 넘 예뻐서 저녁이 기다려질 정도..ㅋㅋㅋ 쉬싸면 네이처메이드처럼 뽀송한 느낌 한번 더 써보고싶당...케이맘 ⭐️⭐️..뭐랄까 손이 잘 안가는 기저귀ㅜㅜ 왜일까ㅜㅜ 예쁘지 않아서일까.. 싸게사서일까....마미포코 배송중.몰텍스 에코제네시스 리베로 나중에....앞으로 찾는 기저귀.. 냄새 안올라오는거.. 뽀송뽀송한거.. 알갱이 안나오는거..하나만 쓰는거 넘 지루해서 핫딜 뜰때마다 보이는거 주문했던건데 .. ], 긍정 텍스트 확률 : 99.75%"
"[ ...후기중에 .솜이 뭉친다는 후기도 많이 본것 같은데 .이틀동안 번정도 사용해봤을때 아직 그런건 없었다. ..성분을 보니라고 쓰여있는데 .성분은 옥수수 성분으로 만든플라스틱같은 소재이다. 요즘 비닐봉투도 ], 긍정 텍스트 확률 : 82.92%"
"[아기용품중에 가장 많이 소비하고 제의 피부라고 할 수 있으며 자나깨나 샐까 신경쓰이는것 순위. 기저귀가 아닐까 싶다보통의 아가들이 기저귀를 떼는 연령? 개월?수가 언제일까 대충 짐작해보건데 살 혹은 개월 미만], 긍정 텍스트 확률 : 64.97%"
"[ 잠은 자도 자도 부족하고일이의기적일의 기적만 바라보고 열심히 육아중이신우리 엄마들힘내자구요출산전 기저귀 비교 후기글 보시는 예비맘님들 후기만 봐서는 잘모르실꺼에요...첫째맘이라면 더더욱...아이용품 정말 종류도많고 챙겨야할것도 많아요...전부 써볼수없지만 제가 사용해본것들중에결정하는데 있어 도움이될수있을거란 생각에 내돈주고 내가사서 직접사용한 후기갑니다 ], 긍정 텍스트 확률 : 86.12%"
"[ 으음 기저귀종류도 차암 많기도하다...첫째때는 이런거 생각도 못했더랬죠...기저귀결정하기 결코 쉬운일이 아닙니다기저귀순위에 나오는것들중몇가지사용해봤습니당 ], 긍정 텍스트 확률 : 95.44%"
"[ 사용한 기저귀들은 위 킨도위 팸퍼스... 하기스 .. 네띠순위에 없는 몰텍스까지이렇게총 가지 를 사용해봤어요 ], 긍정 텍스트 확률 : 78.19%"
"[ 우선 기저귀크기와 두께감 ], 긍정 텍스트 확률 : 71.94%"
"[ 단계 하기스네띠킨도단계팸퍼스 몰텍스 ], 긍정 텍스트 확률 : 52.59%"
"[ 두께감 비교순위를 본다하면...네띠몰텍스킨도팸퍼스 하기스사진에서 보이다싶이 하기스가 제일 얇다 ], 긍정 텍스트 확률 : 58.43%"
"[지금까지 기저귀순위사용후기비교 해봤는데요결과적으론가격따지지 않고 쓸거다그렇다면 저는 친환경기저귀인 몰텍스 또는 팸퍼스기저귀그래도 가격적인게 부담스럽다그렇담 좀더 저렴한 기저귀를 사용해보시는게 좋을거같네용 ㅎ저는 이제 우리딸램이 찾아서 가봐야겠네요 ... ], 긍정 텍스트 확률 : 92.99%"
"[구매시 꼭 사이즈 확인해서 구매해주세요.반품 환불 교환 불가합니다.밴드형몰텍스 네이처 친환경 밴드형 기저귀 단계 ], 긍정 텍스트 확률 : 80.30%"
"[매개입팩원언제든 문의 주세요구매후 소중한 후기를 남겨주시면 다음 구매시 원 추가 할인을 적용해드립니다다음 구매시 구매후기작성자 입니다 라고 알려주세요기저귀 제품은 구매후 반품 또는 교환 불가한점 꼭 참고하여 구매해주세요. 택배비는 무료 입니다. 오후 시 입금마감 당일발송합니다.택배 소요기간은 공휴일 제외 평일 평균일 소요되며도서 산간지역은 택배비가 발생될 수 있습니다. 로 문자 또는 판매자 채팅 부탁드립니다. 분유사기로 인해 저까지 피해를 보고있습니다 ㅠ 당사는 일체 예약발송을 하지도않고 받지도 않으며 있는 제품만 판매합니다 당일배송으로 이루어지고있으니 참고부탁드립니다ㅑ..돋움], 긍정 텍스트 확률 : 98.58%"
"[ 거래지역 ....거래 전에 꼭 확인하세요.], 긍정 텍스트 확률 : 59.99%"
"[친환경 기저귀 추천], 긍정 텍스트 확률 : 79.58%"
"[예민하고 약한 아기피부에는네띠 팬티기저귀 .?네띠네띠.?.?기저귀기저귀.?친환경기저귀친환경기저귀.?신생아기저귀신생아기저귀.?기저귀추천기저귀추천.?팬티기저귀팬티기저귀.? ], 긍정 텍스트 확률 : 79.84%"
"[휘발성유기화합물로부터 안전함을 보장하며 기저귀 색소에 중금속이 없고 건강에 해로운 물질이인증을 받기 까다로운인증을 받았으며 표준에 의해 친환경에 대한 테스트를 받은 전세계 유일의 기저귀에요미국 재료시험 협회에서 친환경 소재의 바이오 함량을 측정], 긍정 텍스트 확률 : 79.33%"
"[ 요즘 제일 잘하는 자세라죠 ㅋㅋㅋㅋㅋ 눕혀놓는곳 머리맡에 가 있다보니 를 볼거라고 저렇게 유연하게 꺽어버리는?? 유찬이 ㅋㅋㅋ 아기가 있는 집엔 를 안본다지만 몰래몰래 보다가 맨날 들키는 유찬이엄마와 아빠랍니다 ], 긍정 텍스트 확률 : 60.84%"
"[ 기저귀 갈아주니까 좋아??❤️❤️ ], 긍정 텍스트 확률 : 74.57%"
"[ 네띠팬티형기저귀의 흡수력은 자사 제품 대비 향상된 제품으로 나왔으며 아기가 장시간 착용을 하거나 여러번 볼일을 봐도 굳굳👍👍👍 ], 긍정 텍스트 확률 : 97.31%"
"[ 새로 기저귀를 갈아줬더니 꿀잠자는 유찬이 ❤❤우리아기의 피부를 생각한다면 친환경기저귀도 좋은거 같아요 ꈍ◡ꈍ❤ 공식홈페이지는 안보이던데 아래에 쿠팡판매링크를 공유해요 ], 긍정 텍스트 확률 : 78.86%"
"[ 본 리뷰는 맘스홀릭베이비로부터 제품을 제공받아 직접 사용 후 작성한 후기입니다 ], 긍정 텍스트 확률 : 55.50%"
"[ 벨라 해피베이비 기저귀 단계흡수력 ★★★☆☆두께 ★★★☆☆장점친환경 소재 인공표백제 사용흡수력 밤기저귀로도 괜찮은 정도소변 알림줄얇다 단점 비싸다 ], 긍정 텍스트 확률 : 59.56%"
"[ 저는 지금 킨도는 다 쓴 상태이고벨라 해피베이비와 군 기저귀가 거의 같은 양으로 남아있는 상태인데요아직 어떤 기저귀에 정착해야할지 고민중입니다.킨도로 다시 돌아갈 수도 있지만], 긍정 텍스트 확률 : 81.70%"
"[현재로서는 다른 종류의 기저귀를더 사용해 볼 예정이에요일단 다음번에 구매할 기저귀는 벨라와 몰텍스입니다.몰텍스도 사용해보고 후기 쓰도록 할게요 ], 긍정 텍스트 확률 : 66.04%"
"[만민의 하기스 ], 긍정 텍스트 확률 : 52.07%"
"[앙블랑 을 거쳐왔다.지금은 거의 정착한.?파라솔파라솔 과], 긍정 텍스트 확률 : 70.51%"
"[정말 지금까진 파라솔을 따라 올 제품이 없기 때문에 계속 구매하는 중. 기저귀 검색하다가 보게 된 새로운 제품.?애플크럼비애플크럼비 홈페이지에서 무료 체험도 해 볼 수 있기에 당장 신청ㅡ 신청은 애플크럼비 홈페이지에서.. ], 긍정 텍스트 확률 : 83.63%"
"[ 운 좋게 체험단에 당첨되어서 한 팩을 받았다.공짜 좋아하는 우리 남편 좋다고 덩실덩실. 그리고 계속 열심히 블로그해서 냉장고티비스타일러 협찬?받으라고....윙?? ], 긍정 텍스트 확률 : 56.35%"
"[ 홈페이지 공식가격은 내가 받은사이즈 팬티기저귀매], 긍정 텍스트 확률 : 60.18%"
"[ 네네. 프리미엄 기저귀예요. 눈 돌아가는 가격이긴 하다 ㅋㅋ 애플크럼비는.?친환경소재친환경소재 로 만들어.?자연분해자연분해 되는 기저귀 이다. 동물실험반대생분해 가능한 친환경기저귀 나이가 들고 먹고살만하니? 요런거에 관심이 생기네...더욱이 우리 딸내미가 계속 살아갈 곳 이니 지구를 더욱 아끼고 보존해줘야겠다는 생각이다.어쨋든], 긍정 텍스트 확률 : 98.76%"
"[화학물 첨가 없이친환경적인 제품이라 마음에 든다.민감한 부분에 오랜시간 닿아 있을 물품인 만큼 화학성분이 없으면 조금이나마 안심이지. ], 긍정 텍스트 확률 : 96.93%"
"[아주 살짝 더 도톰하다. 육안으로는 차이가 잘 안나지만 만지면 파라솔은 봄가을], 긍정 텍스트 확률 : 61.58%"
"[ 난 성격상 좋은말만 못 쓰고 포장해서 못 쓴다.살짝 도툼한것 같아서 한여름엔 통풍이 얼마나 잘 될지 모르겠다.부드럽고 흡수율 좋아 파라솔에 견줄만 함가격면에서 파라솔보다 싸게 나온다면 겨울엔 계속 쓸 의향있음. 뭐], 긍정 텍스트 확률 : 59.56%"
"[. .?모모래빗모모래빗.?밴드기저귀밴드기저귀.?여름기저귀여름기저귀.?모모래빗밴드기저귀모모래빗밴드기저귀.?통기성좋은기저귀통기성좋은기저귀..나는야 기저귀 유목민.이것저것 좋다는 기저귀를 번갈아가며 쓰고 있는 중이다..사실 수겸이가 특별히 발진이 있다든가 하지 않아서 기저귀 바꿀 때 내가 엉덩이를 만져봤을 때 느낌이 좋은 것이 제일 좋다...병원], 긍정 텍스트 확률 : 94.45%"
"[ ..그리고 나는 지금 에센루서포터즈에 가입해서 여러 가지 상품을 체험 중인데], 긍정 텍스트 확률 : 90.55%"
"[ .기저귀도 이렇게 귀엽게 생겼다..앞에 소변표시줄도 있어서 기저귀 교체시기도 금방 알 수 있음. ], 긍정 텍스트 확률 : 98.92%"
"[ .신축성이 좋아서 튼튼한 우리 수겸이도 편하게 착용했다...다음은 흡수력 테스트. ], 긍정 텍스트 확률 : 73.52%"
"[ 이렇게 준비해보았다.간장을 약간 탄 물 를 사용했다. ], 긍정 텍스트 확률 : 53.32%"
"[ 이렇게 휴지로 찍었을 때 묻어 나오지 않는다.사실 기저귀는 아기 살에 닿는 부분이 이렇게 뽀송한 게 제일 중요한 것 같다..실사용 동영상 ], 긍정 텍스트 확률 : 67.58%"
"[ 기저귀 갈고 나서 산뜻하니 기분 좋은 수겸이😍 ], 긍정 텍스트 확률 : 75.38%"
"[ 뱃골은 좀 큰 편이다.몰텍스 단계는 매우 일찍부터 작았기 때문에 월 말 출산한 친구에게 넘겼다.에코씽씽은 고무줄 부분이 유연해서 겸이도 편하게 착용가능하다. ], 긍정 텍스트 확률 : 54.05%"
"[ .테스트 모두 통과. ], 긍정 텍스트 확률 : 68.42%"
"[ .사이즈 조견표는 다음과 같다..제일 작은 사이즈가 한 달 무렵부터라 신생아들은 사용을 조금 미루는 것이 좋겠다...여름기저귀로], 긍정 텍스트 확률 : 54.17%"
"[모모래빗 에코씽씽 추천합니다❤..제품만을 협찬받아 사용 후 솔직하게 작성된 후기입니다. . ], 긍정 텍스트 확률 : 76.22%"
"[ 안녕하세요?돌돌말아먹는냉면직화 맥반석삼겹살구이와냉면먹는미녀 냉미녀에요 ], 긍정 텍스트 확률 : 62.28%"
"[ 킨도맘클래스와 기저귀줄이기 캠페인등다양한 활동도 많이 하고있다고하네요 ], 긍정 텍스트 확률 : 78.72%"
"[ 다른제품들은 배에 고무줄이 있는데 킨도는 두제품모두 옆구리에 있어서아기배를 누르지 않아 좋다고 느꼈어요 ], 긍정 텍스트 확률 : 56.42%"
"[ 심지어 밴드도 탄력이 엄청 좋아서 쪽쭉늘어나고 편안했어요.그런데 밴드기저귀는 테이프를 뗄때잘 안떨어져서 힘을 줘서 떼야하는단점이 있어요.그리고 가끔 쓸린다는 느낌?활동양도 많아지고 움직임도 커져서테이프에 아기 허벅지가 쓸리는것 같아서밴드기저귀를 사용해보자 했답니다. ], 긍정 텍스트 확률 : 58.34%"
"[ 그리고 아기팬티기저귀는 고무줄이 정말 탄력이 좋아편해요.밴드도 부드럽게 잘 늘어나고아기배를 조이지 않아 만족해요. ], 긍정 텍스트 확률 : 94.30%"
"[ 사실 팬티기저귀는 옆부분이 잘 뜯어지는게 제일 중요하다고 생각해요어떤건 정말 질겨서 안뜯어져서확잡아뜯느라 아이가 놀라거든요], 긍정 텍스트 확률 : 79.27%"
"[ 약간은 묻어나네요기저귀교체할때도 보면쉬야를 한 상태에서는 완벽하게 뽀송뽀송해지진 않더라구요 ], 긍정 텍스트 확률 : 90.66%"
"[ 팬티형은 돌돌말아서뒤쪽에 붙어있는테이프를 쭉 펴서 붙여주면 끝 ], 긍정 텍스트 확률 : 55.55%"
"[ 돌아다니는 아이에게 입히기 쉬운킨도팬티형은 여기에서 확인하세요내세상 전부인 우리아이기저귀 꼼꼼히 잘골라우리아가의 엉덩이를 소중히 지켜줍시다 ], 긍정 텍스트 확률 : 93.59%"
"[ 함께 년 기해년도 이제 정말 얼마 남지않았어요다가오는 년 새해 멋진 계획 세우셨나요?밤톨이네 가족은 벌써 계획을 몇 가지 세워 놓았어요첫번째], 긍정 텍스트 확률 : 91.50%"
"[언제나 지금처럼 즐겁고 행복한 가족 되기♡세번째], 긍정 텍스트 확률 : 99.52%"
"[가족과 함께 여행 다녀오기소소한 일상이고], 긍정 텍스트 확률 : 85.22%"
"[계획이지만 새해에도 늘 그래왔던것 처럼 지금처럼 무탈하게 잘 지내었으면 좋겠어요 ], 긍정 텍스트 확률 : 88.57%"
"[로션 그리고 기저귀 이 세 가지는아이를 키우는 엄마라면 한 번 쯤은 어느 제품을사용하면 좋을지 고민을 해보셨을 것이라 생각해요저역시도 마찬가지예요 개월이 된 지금까지유일하게 아이에게 직접 사용하지 않는 것 중하나가 물티슈로 어느 누군가도 저와 동일하게물티슈로 고민중이거나 로션과 기저귀로 고민을하고 있을 수 있겠다는 생각이 들어 생각에 조금은도움이 되어 드리고싶어 후기를 준비하였어요 .?나비잠기저귀나비잠기저귀.?아기기저귀추천아기기저귀추천.?부드러운기저귀부드러운기저귀 .?밤기저귀추천밤기저귀추천.?신생아기저귀추천신생아기저귀추천.?나비잠나비잠.?하늘수하늘수 .?나비잠매직슬림소프트나비잠매직슬림소프트.?마미다닷컴마미다닷컴.?앙비앙비 ], 긍정 텍스트 확률 : 99.98%"
"[ 보송보송한 우리 아기 엉덩이를언제나 책임져 줄 명품 기저귀나비잠 매직 슬림 소프트밤톨이가 태어난지 일이 되던 어느날 산부인과퇴원을 앞두고 있던 저녁 간호사님께서 퇴원 후신생아 관리 교육을 시행하시며 아이의 엉덩이를오픈하시며 발진을 이야기를 하시는데 그날 제가느꼈던 감정은 개월이 된 지금까지도 잊혀지지않는 사건 중 하나로 기억을 해요 산후조리원으로옮겨지고 약 일주일 동안 아기가 고생을 했어요 ], 긍정 텍스트 확률 : 64.58%"
"[ 그래서 특히나 예민하게 생각하는 것이기저귀이고], 긍정 텍스트 확률 : 87.96%"
"[ 저녁에는 에코제네시스로 밤기저귀로 유명한몰텍스는 막상 저녁에 사용하면 소변이 차고넘쳐서 낮에 사용하고 있어요만족하며 사용 중이지만 다른 제품도 한 번사용해보고 싶은 생각이 문득 들었어요 ], 긍정 텍스트 확률 : 57.62%"
"[ 상자의 측면과 상단에는 엄마들에 대한 배려가담긴 메세지가 가득했어요 덕분에 택배기사님께서 조용히 현관 앞에 놓아 주셨어요 ], 긍정 텍스트 확률 : 65.49%"
"[ 짜잔기쁜마음으로 택배 박스를 오픈해보았어요우와이쯤되면 조금씩 궁금해지시죠ㅎㅎ여기는 어디지??? ], 긍정 텍스트 확률 : 76.25%"
"[하늘수 물티슈], 긍정 텍스트 확률 : 68.64%"
"[앙비제품을 다양하게접하고 체험할 수 있는 기회가 있는 그곳어딘지 궁금하시죠?좋은 제품을 체험해 볼 수 있는 그곳마미다닷컴공식카페를 소개해드릴게요▼ ▼ ▼ ▼마미다닷컴 공식카페 주소 공유 .... ], 긍정 텍스트 확률 : 69.39%"
"[테이프재점착테이프흡수층고분자흡수체], 긍정 텍스트 확률 : 89.48%"
"[ 귀여운 곰돌이와 병아리가 그려진 기저귀한 팩과팜플렛이 함께 들어 있었어요 ], 긍정 텍스트 확률 : 65.34%"
"[ 수량을 알 수 있는 표시와 코드가 있어요 ], 긍정 텍스트 확률 : 77.22%"
