"[ 우리집 아기는 큰 볼일을 보면 꼭 새 기저귀 한 개 이상은 버리게 되는데 다 끝났다.... 싶어서 새 기저귀를 갖다 대면 또 싸고], 긍정 텍스트 확률 : 76.15%"
"[하실 수 있는지 여쭤봐 주셔서 부담없이 하면 되요 룸 타입기본은 좀 작아요 답답하실 수도...전 스위트 있었는데 소파도 있고 쾌적했어요 그치만 만원이나 차이나서 신랑 안 올거면 작은 방서 마사지 추가하는게 나을지도...는 지나다니면서 언뜻 봤는데 엄청 넓더라구요이 부분은 직접 가서 보시고 결정하시면 될 것 같아요다음은 신생아 케어에요 신생아실 선생님들께서 아기들 예뻐해주시고 잘 돌봐주세요. 태명 부르며 살갑게 잘 안아주시고 보통은 안아서 보충해주시는데 어쩔 수 없을 때는 옆으로 고개 돌린 상태에서 셀프수유 하기도 해요. 그런데 솔직하게 말씀해주시고 계속 살펴봐주세요. 셀프수유 안 한다면 더 좋겠지만 대구 지역에 그런 조리원은 없는 것 같아요 신생아실 커텐 없고 시간 오픈인 것도 좋고 전 밤중수유를 계속 가서 가까이 볼 수 있어 좋았어요신생아 분유는 와 아이엠마더를 쓰세요 혹시나 설사 때문에 다른 분유 원하면 사서 넣어주시면 되구요 집에 가기 일 전엔 집에서 먹일 분유로도 천천히 갈아타주세요 모자동실엘리자벳은 남편 외에 외부인 출입이 철저히 차단되는 대신 원하면 언제든지 아기를 데리고 가서 모자동실 할 수 있어요 넘 좋았는데 전 신랑이 첫째 때문에 조리원에 거의 못 와서 모자동실은 낮 시 신생아실 소독시간에만 거의 했어요ㅎㅎ이외에 살짝 아쉬웠던 부분을 추가하자면... 신생아 기저귀가 포그니에요 물론 신생아니 비싼 것보다 저렴한걸로 자주 갈아주는게 나을 수도 있는데... 일자형 기저귀에 통풍이 좀 잘 안 되는 것 같더라구요 저희 애기는 병원서부터 발진이 있었지만 조리원와서 발진 생기는 애기들도 좀 있었어요 개인 기저귀 가져다가 넣어주시면 그걸로 써주시기도 하는데 조금 다른 기저귀로 바꿔보면 어떨까 하는 생각이 들었습니다. 각 방에 유축기가 있는데 각시밀 유축기가 있어요... 전 처음 써봤는데 유두가 넘 아프더라구요ㅜㅜ 글서 집에 첫째 때 중고로 샀던 시밀레 갖다달라고 해서 그걸로 썼어요 다행히 그린맘젖병과 맞는 깔대기가 있어서 신생아실에 얘기했더니 소독이랑은 신생아실에서 같이 해주시고 제 깔때기라고 이름이랑 호수도 적어주셨어요... 저만의 아쉬움일 수도 있는데 각 방에 시밀레 유축기가 있음 좋지 않을까 싶더라구요. 유축 시간도 표시되고 수유등처럼 불도 들어오거든요. 메델라는 너무 비싸니깐... 산모방 청소를 시 좀 넘어서부터 해주시는데 층부터 올라와요 층 산모님들은 넘 일찍 청소하시는 분들이 오셔서 좀 불편해하더라구요 문 열려있는 방 먼저 하고 못한 방들은 나중에 해주시면 좋을 것 같은데 청소하시는 분들 입장에서는 층별로 되면 좋으니 그러신 것 같아요 소통이 좀 더 잘 되서 모두 편한 쪽으로 좀 개선되면 좋을 것 같아요마지막으로 층 카페에 계신 분들 모두 다 넘 친절하고 잘 해주셔서 감사했어용집에 오니 조리원 천국이 실감나네요박일 동안 정말 감사했어요♡], 긍정 텍스트 확률 : 99.33%"
"[ ..드디어 출산을 하고 조리원 천국을 지나 실전육아를 경험 중이다. 우리 아가는 넘나리 순둥이라 신생아 육아 중임에도 불구하고 이렇게 블로그 포스팅도 할 수 있는 짬이 생겼다. .이렇게 잠깐이나마 기록을 남기는 이유는 내가 기억하고 싶기도 하고인터넷에서 찾아봤던 출산준비물 리스트가 생각보다 과하게 많은 것 같다 생각했기 때문이다. 물론 본인 상황과 성향에 따라 다르겠지만 굳이 바리바리 싸들고 갈 필요가 없다는 것이다. ... 출산후기..일단 지금 이 글을 혹시나 읽으시는 분이 계시다면 출산을 앞둔 분이실 테니출산 후기는 되도록이면 너무 많이 찾아보시지 않을 것을 당부 드린다. 자칫하면 불안감만 가중되므로.임신 기간에도 경험하셨겠지만 진짜 임신 출산 육아는 하면 할 수록 케이스 바이 케이스라는 걸 느낀다. 어떤 이는 이렇다 하고 저떤 이는 저렇다 하는 게 임신 출산 육아.무조건 나와 내 아이가 기준이다.나는 아이가 주가 되어도 역아인 상태였기 때문에 내 의지와는 상관없이 수술 날짜를 잡게 되었는데 막상 낳아보니 머리가 커서 진통이 왔더라도 결국 수술을 할 수밖에 없었을 거라고 했다. 그랬더라면 진통은 진통대로 다 겪고 제왕하게 되는 최악의 상황을 경험했겠지만.. 진통을 전혀 겪지 않은 나는 진통이 궁금하다는 쓸데없는 생각을 해보기도 한다. 처음엔 역아라 해서 걱정했는데 의술이 많이 발전한 지금은 선택제왕을 하는 경우도 많을 정도로 제왕절개를 많이들 해서 오히려 언제 진통 올 지 불안에 떠는 것 보다 낫겠다는 생각이 들었다. 그리고 멀리 친정집 근처에서 낳기로 했기 때문에 날짜에 맞춰 남편이 출산휴가 쓰기도 편했던 것 같다. 뭐든 좋게 생각하자..수술 날짜가 잡히고 출산 후기들을 봤는데.. 자분을 하든 제왕을 하든 출산은 어쨌거나 큰 고통이 따른다는 결론이었고 의도하진 않았지만 엄청나게 충격적이고 공포스러운 후기 하나], 긍정 텍스트 확률 : 99.94%"
"[엄청나게 가뿐한 후기 하나를 읽게 되었는데 그게 오히려 마음을 비우게 되는 계기가 되었던 것 같다. 아], 긍정 텍스트 확률 : 88.79%"
"[해서. .근데.. 정말 다행히도 나는 후자에 속하는 사람이었고 그래서 수술 과정도 너무나 아무렇지 않았고 수술 후 회복도 빠르고 고통도 심하지 않았으므로 지금 이 글을 읽으시는 분 중에 제왕을 하시는 분이 계시다면 너무 겁 먹지 마시라 말씀드리고 싶다. 오죽하면 너무 안 아프게 낳아서 아기한테 미안할 정도. 마취도 금방 잘 됐고 아프면 요청하라셨던 엉덩이주사도 한번도 맞지 않았고 링겔 무통버튼도 한번도 누르지 않았으며 셋째날부터는 혼자 잘 다녔다.원장님이 오히려 놀라심. 대신 링겔 무통약 부작용인 가려움이 있었다. 그리고 혹시나 아프더라도 그건 본인만 그런 것이 아니고 대부분의 산모가 느끼는 것이고 입원해 있는 그 기간만 지나면 고통은 분명 지나가니 너무 걱정하지 마시길. .수술 시간은 한 시간 남짓], 긍정 텍스트 확률 : 59.15%"
"[조리원 모두 해당 ..인터넷에 검색해 보면 출산가방에 대한 무수히 많은 정보를 볼 수가 있는데 그 정보들이 결코 쓸데없다거나 한 것은 아니었지만.. 나는 알지... 여행 갈 때처럼 혹시 모를 모든 상황에 대비해 바리바리 싸들고 가느냐 에라 모르겠다 하고 되는대로 간소하게 챙기느냐의 차이라는 것을. 간소한 출산가방 싸기에는 남편도 한몫 했는데 남편이 짐 챙기기에 있어서는 엄청난 미니멀리스트이기 때문이다. .검색해 본 바로는 출산가방리스트에는 대중이 없어서 대부분 제왕이든 자분이든 크게 구분짓지 않고 비슷비슷한 품목들이 보이는데 그게 의미하는 바를 출산을 하고 나서 비로소 깨달았다.나처럼 수술이 확정되어 있는 사람은 사실 드물고 진통이 오더라도 결국 제왕하게 되는 경우도 생각보다 많은지라 그만큼 출산이 변수가 많기 때문에 이것저것 경우의 수를 다 생각해서 준비하게 되는 것이다. 그래서 알려 드리고 싶은 것은 일반적으로 알려진 출산가방 목록 중에 미리부터 준비하지 않아도 되는 것들이 많다는 것이다. 상황에 따라서 필요한 경우도 있지만 아닌 경우도 있기 때문이다. .예를 들어 자분일 경우 필요한 회음부 방석은 제왕엔 필요가 없고 제왕에 필요한 복대는 자분일 경우 필요가 없다. 나처럼 수술 확정인 경우라면 모를까 어떻게 될지 모르기 때문에 미리부터 준비할 필요가 전혀 없다. 요즘은 인터넷 구매가 용이해서 택배로 시켜도 금방 오기도 하고 쿠팡 같은 경우 바로 다음 날 배송 되니까 복대 같은 경우는 나는 미리 준비해서 갔지만 간호사 선생님 말씀으로는 저렴한 것으로 써도 무방하고 병원 옆 약국에서 충분히 구매할 수 있다고 했다.], 긍정 텍스트 확률 : 99.87%"
"[ .위 품목들이 내가 진짜 필요하다고 생각하는 출산가방리스트이다.많이들 준비하시는 수유패드], 긍정 텍스트 확률 : 53.24%"
"[아가용품을 뺀 이유는 다음과 같다. ..수유패드.후기에 생각보다 따갑다고 하는 경우가 많았음. 그리고 완분일 경우 초유만 먹이고 젖을 빨리 말리기도 하기 때문에 일시적으로 필요는 하지만 굳이 살 정도로 많이 필요하지는 않을 수 있다.나는 따로 사지 않고 이곳 저곳에서 받은 것 가제수건 몇 장을 돌아가며 길게 접어서 수유나시 가슴부분 안쪽에 넣어서 빨아가며 썼다. 병원에서도 직접수유를 하러 가기 때문에 일반 브래지어 보다는 수유브라나 수유나시를 권해드리고 나중에 집에서도 입을 것을 생각한다면 수유브라보다는 실내복처럼 하나만 입고 있을 수 있는 수유나시를 추천한다. ..모유저장팩.이름만 들어도 꼭 필요할 것 같지만 의외로 필요없는 것.상황에 따라 필요 할 수도 아닐 수도 있는 품목. 병원이나 조리원에서 간혹 모유를 얼려야 할 필요가 있는 산모가 있는데자세한 이유는 모르겠다. 나와 같은 날 조리원에 입소한 분이 그런 경우에 해당했는데 자세한 건 물어보지 못했다.그럴 경우에는 병원과 조리원에서 필요하다 말씀해 주신다.나는 조리원 퇴소 후 집에서 며칠 있다가 필요하다 생각이 들어서 그때 쿠팡으로 구매했다.결론은 필요하다 생각될 때 구매해도 늦지 않다는 것이다. ..산모패드.꼭 필요하지만 미리부터 준비해 갈 필요는 없다.어떤 병원은 아예 병원에서 지급해 주는 경우도 있다고 하니 입원 전 에 미리 확인해 보는 것도 좋다. 후기를 보고 산모패드로 쓰려고 가져갔던 오버나이트는 무용지물이었고], 긍정 텍스트 확률 : 99.73%"
"[좋은느낌 팩 사용함. 화이트], 긍정 텍스트 확률 : 83.43%"
"[좋은느낌은 좀더 부드러운 느낌에 엉덩이 부분도 넓지만 너무 세게 잡아당기면 찢어질 수 있을 것 같았으며 가격이 거의 두 배였다. ..아가용품 배냇저고리], 긍정 텍스트 확률 : 55.32%"
"[각자의 상황과 성향에 따라 준비하는 것이 최선이라 생각한다. 그리고 병원과 조리원에서 미리 준비할 것들 말씀해 주시니 참고하면 될 듯. 출산가방을 준비하는 시점엔 많은 생각이 들면서 만감이 교차하게 되는데부디 마음 편히 가지시라말씀 드리고 싶다. ....... .?출산가방출산가방.?출산가방싸기출산가방싸기.?출산가방목록출산가방목록.?출산가방리스트출산가방리스트.?출산후기출산후기.?제왕절개제왕절개.?미니멀리스트미니멀리스트.... ], 긍정 텍스트 확률 : 95.59%"
"[가위바위보 산모교실로 유명한 키즈배틀 산모교실에 다녀왔어요블로그들 후기를 보면서 지루하지 않고 유쾌하다는 리뷰를 봐서 꼭 한번 가고싶었거든요키즈배틀 산모교실을 가기위해 전날 회사에서 야근을 하며 연차를 냈지요 ], 긍정 텍스트 확률 : 94.68%"
"[ 사진에 표기되어 있는 산모교실 참여 신청에서 원하는 날짜의 산모교실 페이지에서 신청하면 된답니다신청서를 작성하여 추첨을 기다리는 방법도 있지만], 긍정 텍스트 확률 : 87.25%"
"[저는 즉석초대권을 받는 방법을 택했어요활성화 된 육아카페에 군데 공유첫번째 참석여부 댓글을 남기면 즉석초대권을 받을수 있어요 ], 긍정 텍스트 확률 : 81.49%"
"[ 처음에 입장할때 본인 확인을 마치고 가위바위보 게임을 하게되요 이기면 턱받이를 받을 수 있었어요.저는 다행이 이겨서 깜찍한 방수 턱받이 하나를 고르고 사전에 카페에 일정 공유를 해서 유모차 담요도받을 수 있었어요. 입장부터 선물 두개를 받고 시작하네요 ], 긍정 텍스트 확률 : 73.61%"
"[ 병원의 아카데미홀에서 진행해서 의자가 푹신하니 아주 좋았어요ㅎㅎ가끔 딱딱한 의자에서 진행하는 산모교실도 있는데 그럼 너무 힘들거든요..ㅠㅠ ], 긍정 텍스트 확률 : 66.46%"
"[ 어디에 앉아야 할까 기웃거리고 있는데 앞쪽 두번째줄 산모님들이 여기 앉으라고 손짓을 하셔서두번째 줄에 앉게 되었어요자리를 이야기 하는 이유는 키즈배틀 산모교실에서 자리결정을 중요해요ㅋ같은 줄에 앉은 산모님들이 그 날 산모교실의 한 팀이 되는거에요해당 줄에 팀원들을 많이 모으는게 게임의 승률을 높일 수 있는 방법이에요게임에 이겨야 선물들을 받을수 있거든요ㅋ ], 긍정 텍스트 확률 : 85.18%"
"[ 키즈배틀 산모교실을 같은 팀원이 된 산모님들과 함께 전략을 구사하며 게임에 참여할 수 있어요제 오른쪽에 앉은 산모님은 쌍둥이를 임신하신 저와 비슷한 또래의 산모님이셨어서], 긍정 텍스트 확률 : 87.06%"
"[ 같이 임신중의 에피소드를 공유하며 게임도 참여하고 재밌었어요ㅎㅎ ], 긍정 텍스트 확률 : 96.71%"
"[나머지 뒷줄이 한 팀이 되어 번 가위바위보 해서번 다 이기는 팀원이 있으면 유모차 이불을 받을 수 있었어요.세 번째 게임앞 세 줄이 한 팀], 긍정 텍스트 확률 : 84.31%"
"[나머지 뒷줄이 한 팀이 되어 최후의 인에게는 낮잠 이불세트가 나머지 팀원들은 베개를 증정저는 세 게임 모두 팀원들이 이겨서 세 가지 선물을 다 얻을 수 있었어요 ㅁ자리 선택이 탁월했어요 ], 긍정 텍스트 확률 : 96.25%"
"[ 특히 베개가 엄청 귀욤귀욤해요♥뒷면은 보드라운 극세사 재질로 되어 있어서 양면을 사용할 수 있어요나중에 축복이 침대 세팅하면 살포시 올려놔야 겠어요ㅎㅎ ], 긍정 텍스트 확률 : 99.86%"
"[ 가위바위보 게임 시 최종 게임에서 사회자분과 비기게 되면 게임은 다시 처음부터 시작해요 그래서 기회가 다시 주어질수도 있어요ㅋ같은 팀원들과 가위바위보의 수를 잘 배분해서 게임을 하는 게 중요해요전략을 잘 구사해서 게임에 꼭 이기세요 ], 긍정 텍스트 확률 : 97.47%"
"[ 어깨 트림 패드는 전원 증정 오늘은 어깨 트림 패드를 전원 증정해준다고 했어요 오예 ], 긍정 텍스트 확률 : 52.64%"
"[ 거즈 수건은 구멍이 있어서 투과되기 쉽고 실금이 나 있어 여린 아기 피부가 상하기 쉽다고 하네요.어깨 트림패 드는 도톰하고 부드러워서 이런 걱정을 덜 수 있어요.한번 어깨 얹어 사용하고 나면 번째는 반대편으로 사용하고 그리고 바로 빨면 돼요어깨 트림 패드는 몇 개 더 준비해둬야겠어요 ], 긍정 텍스트 확률 : 82.76%"
"[ 모성자 보장 선택특약은 설계사의 재량에 따라 서비스로 가입 해주기도 한다고 해요.노산으로 인해 점점 제왕절개율이 높아지고 있는데 모성자 보장 보험에 가입되어 있으면 혜택을 받을 수 있어요 ], 긍정 텍스트 확률 : 76.54%"
"[짱구베개 등의 선물 중 택 하여 추가 증정해줬어요 푸짐하네요저는 이미 가입이 되어있어서 패스했지만 가입 안하신 산모님은 산모교실에서 가입하셔도 좋을것 같아요. ], 긍정 텍스트 확률 : 51.95%"
"[ 태아보험 코너에서는 기존 가입되있는 태아보함 진단도 가능하고 신규 가입도 가능해요많은 산모분들이 상담을 열심히 진행하셨어요 ], 긍정 텍스트 확률 : 65.69%"
"[ 쉬는 시간에 강의장 앞쪽에 있는 선물도 구경하며 찍어보았어요.귀여운 아기 용품들이 한 가득 이에요. 선물들은 상의 끝나 갈 때쯤 거의 소진되었어요ㅎㅎ ], 긍정 텍스트 확률 : 98.48%"
"[ 만 원의 비용을 아낄 수 있다고 해요분유값이 비싼지는 알았지만 이 정도로 이군요. 흑흑... 어마어마 하네요ㅠㅠ ], 긍정 텍스트 확률 : 56.83%"
"[ 이번 강의는 실전에서 당황하지 않도록 도와주는 강의였어요.각자의 가슴에 따라 상황이 다르므로 참고하며 나에게 맞는 모유수유 방법을 찾아야 한다고 해요.초유는 면연력 증가를 해주기 때문에 꼭 먹여야 해요. 많은 산모들이 모유 수유가 힘들어서 포기하거나 바로 분유로 넘어가기도 하는데주.. 한 달이라도 모유 먹이기를시도해보라고 했어요.한 두달 고비를 넘기는 쉬워진다고 해요.], 긍정 텍스트 확률 : 88.90%"
"[ · 가슴 크기가 작으면 가슴 밥공기가 작은거지 모유의 양과는 상관이 없다고 해요.모유 수유는 의지가 정말 중요하다고· 프로락틴 호르몬은 젖을 만드는 호르몬으로 밤에 분비량이 배 많아진다. 조리원 후 집에오면 스트레스 받아 모유양이 줄어드는데 밤에 직수 힘들면 유축이라고 해야한다· 옥시토신젖 짜는 호르몬. 자궁 수축에 도움을 준다배가 아플 수도 있다 ], 긍정 텍스트 확률 : 93.22%"
"[ ·가슴 사이즈에 따라 수유 방법도 달라진다·함몰 유두가성안에 있는 유두누르면 뽕하고 나온다진성속 유두 근육 힘이 쎄서 밖으로 안 나온다·거대 유두거봉크기유두 보호기 사용해야 한다], 긍정 텍스트 확률 : 75.10%"
"[ ·모유 수유시 아기의 귀와 귀 사이를 잡아준다. 목이 넘어가지 않도록.·큰 가슴발판 사용하지 않고], 긍정 텍스트 확률 : 71.87%"
"[수유쿠션과 경우에 따라 수건도 쌓아서 사용한다·성형 가슴은 풋볼 자세가 좋다 ], 긍정 텍스트 확률 : 60.31%"
"[ 강사님께서 이해하기 쉽게 가슴모형을 착용하고 아기인형으로 시범을 보여주셨어요실제로 구현해 주셔서 이해가 쏙쏙 잘되었어요가슴을 잡을 때는 가슴살까지 여유있게 넓게 잡아주면 수유가 쉽고 상처가 덜 난다고 해요 까먹지 않아야 겠어요 ], 긍정 텍스트 확률 : 70.77%"
"[ ·유두 상처 유축기 너무 세게하지 말고 최대 분 이상 넘기지 않는게 좋다·상처나면 하루 번 베아로반 크림 얇게 펴발라주면 도움이 된다 ], 긍정 텍스트 확률 : 61.98%"
"[식당 방석에는 세균이 많아요ㅜㅜ외출 시 낮잠 패드를 챙겨가서 여기에 아기를 뉘어 놔야겠어요가벼워서 가지고 다니기 좋아요.꿀 아이템이네요 ], 긍정 텍스트 확률 : 61.26%"
"[ 강의가 끝나고 휴식 시간 후 마지막 가위바위보 게임이 진행되었어요ㅋㅋㅋ이날 가위바위보를 살면서 가장 많이 해본것 같아요ㅋ퇴장 가위바위보 게임 전], 긍정 텍스트 확률 : 71.23%"
"[ 이 게임에서 제가 드디어 최종 우승자가 되어 포그니 침대를 득템 했어요ㅋㅋ저 가위바위보 잘 못하는데 이 날 좋은 꿈을 꾸고 갔는데], 긍정 텍스트 확률 : 96.64%"
"[그 효과가 나타났나봐요ㅋㅋㅋ팀원들의 환호를 받으면 하나씩 침대를 득템했답니다. 짜릿하더군요ㅋㅋ ], 긍정 텍스트 확률 : 80.89%"
"[ 마지막 퇴장도 그냥 하는게 아니랍니다마지막까지 가위바뷔보를 통해 이긴 팀 줄부머 마지막 선물은 스와들업을 하나씩 고르고 나갈 수 있어요저희 팀은 포그니 침대 획득 후], 긍정 텍스트 확률 : 85.90%"
"[마지막 기위바위보 게임을 다 졌지만ㅋㅋ 침대를 얻어서 맨 마지막에 나가도된다며 여유있게 마지막 남은 한 팀에게는 양보해주고 맨 마지막에 나갔어요ㅋ마지막 퇴장 시 빨리 나가면 사이즈와 색상을 고를 수 있지만], 긍정 텍스트 확률 : 99.82%"
"[쿨하게 양보해주었지요ㅋ ], 긍정 텍스트 확률 : 55.62%"
"[ 마지막까지 팀원들과 하하 호호 즐겁게 산모교실에 참여해서 시간 분에 걸친 산모교실이 지루하지 않게 빠르게 지나갔어요. 마지막에 정겹게 인사도 나누며 헤어졌어요산모교실에서 인사까지 나누며 헤어진 경우는 처음이었어요ㅎㅎ ], 긍정 텍스트 확률 : 90.02%"
"[ 양손 푸짐하게 들고 집에 왔어요남편은 택시타고 가라고했는데 무겁지 않아서 지하철 타고 집에 왔어요 ㅎㅎ집에 와서 바닥에 오늘 받아온 선물을 펼처보았어요.생각했던것 보다 푸짐하게 받아왔어요 펼처 놓고 남편에게 사진찍어서 자랑도 했답니다ㅋㅋ ], 긍정 텍스트 확률 : 65.90%"
"[ 전원 선물로 받은 스와들업 모자세트에요키세스 모자는 끝을 묶어서 아기 두상에 따라 사이즈를 조절해 줄 수 있어요.스와들업은 위아래에 지퍼가 달려있는데 아래 지퍼는 기저귀를 갈 때 사용하는 용도이고 위쪽 지퍼는 옷을 갈아 입힐 때 사용하는 용도에요.상단 지퍼는 특수 지퍼를 사용해서 잠금 기능 이 있다고 해요. 그냥 열려고 하면 잠금기능 때문에뻑뻑해서 잘 안열리는데 억지로 열려고 하면 잠금기능이 망가져 일반지퍼가 된다고해요위로 살짝 당겼다가 열면 잠금 기능이 해제가 되 부드럽게 열리니 참고하세요 ], 긍정 텍스트 확률 : 79.13%"
"[ 후기 작성을 약속하고 받아온 방수패드에요방수 패드는 준비가 안되있었는데 하나 생겼네요ㅎㅎ뒷면이 방수기능이 있는 재질로 되어 있어요. 사진찍을때는 반으로 접어 놓고 찍었는데 사이즈가 넉넉해서잘 활용할 수 이겠어요 ㅎㅎ ], 긍정 텍스트 확률 : 86.99%"
"[ 귀여운 아기용품들 한 가득 받아오고 게임을 통해 다른 산모님들과도 재밌게 놀다와서너무 즐거운 시간 보내고 왔어요. 다음에 다시 한 번 더 참여해보고 싶어요 ♬ ♥월 다른 지역에서도 산모교실이 열리니 참여해보세요.카페 방문하면산모교실 일정 뿐 아니라 다양한 이벤트가 소개되어 있으니 방문해보시면 좋을것 같아요. .... ], 긍정 텍스트 확률 : 99.95%"
"[ ......키즈배틀산모교실광주는 또 언제오시려나 하는중에 날짜가 나와서바로 신청 등으로 신청 했어요 기본선물이 귀여운 【스와들집키세스모자】 라고 들어서 너무너무 설레었지요 ㅎㅎ 감사한마음과], 긍정 텍스트 확률 : 99.64%"
"[좋은정보를 얻을 수 있다는 행복감에 기대기대], 긍정 텍스트 확률 : 68.54%"
"[입장부터 가위바위보입니다. ㅋㅋㅋ【 유모차이불과], 긍정 텍스트 확률 : 82.55%"
"[오늘 일정도 확인하고], 긍정 텍스트 확률 : 64.54%"
"[엄청 높게 쌓여있던 여러종류의 선물들그선물이 없어질때까지 가위바위보], 긍정 텍스트 확률 : 82.08%"
"[엄청 유쾌하시고], 긍정 텍스트 확률 : 97.46%"
"[센스 굿이셔요 ㅋㅋㅋㅋㅋㅋ그런데...저는 계속 졌어요..ㅠㅠ 저희팀도 계속 졌어요.. ㅠㅠㅋㅋㅋㅋ하지만 감사한 패자부활전에 부활전에 부활전인가? 에서 드디어 승너무귀여운【짱구베개】받았어요 ㅅ ], 긍정 텍스트 확률 : 94.32%"
"[ 부강의는생명 에서 오신 어여쁘신 강사님의똑똑한 엄마의 행복통장아동수당], 긍정 텍스트 확률 : 78.58%"
"[알뜰살뜰하게 부자가 되는법을 강의 해주셨어요 자세한 상담은 쉬는시간 부스투어시 상담받아보면 좋을 것 같더라구요. ], 긍정 텍스트 확률 : 61.64%"
"[쉬는시간과 부스투어스탬프도 받고], 긍정 텍스트 확률 : 57.81%"
"[정보도 얻고♬ 감사한], 긍정 텍스트 확률 : 92.05%"
"[산모님들도 많으니], 긍정 텍스트 확률 : 69.63%"
"[스트레칭도 한번 해주시고], 긍정 텍스트 확률 : 51.58%"
"[간단한 설문조사와 아동수당으로 받는 만원으로 부자되는 방법 ㅎㅎ저 표를 같이 주시는 센스에 감사], 긍정 텍스트 확률 : 78.12%"
"[건조한 날씨에 꼭 필요한【핸드크림】 도 주시더라구요 감사합니다산후도우미업체산후도우미 에서도 오셨어요조금 늦게 오셔서 산모님들이 몰린. ㅎㅎㅎ친절하게 상담도 해주시고], 긍정 텍스트 확률 : 94.00%"
"[ 쯔다카태교라고 하는 귀여운【저금통과 손수건】 을 ㅎㅎ 감사합니다경혈마사지가 그리 좋다하던데...요새도 몸이 천근만근에], 긍정 텍스트 확률 : 98.09%"
"[아픈데 출산후엔 얼마나더 아플런지.ㅠㅠ마사지 받고싶더라구요 ㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 67.96%"
"[ ......국민행복카드 아... 입장부터 고민해왔던 카드..국민행복카드 ...ㅋㅋㅋ저는 이미 발급해서 사용중지만], 긍정 텍스트 확률 : 72.35%"
"[ㅋ신랑], 긍정 텍스트 확률 : 56.49%"
"[주변지인 ㅋㅋㅋ 모두 만들수 있다고], 긍정 텍스트 확률 : 50.81%"
"[오늘 발급시 추가 선물도 ㅎㅎ 결국 만들어쒀요 ㅋㅋㅋㅋㅋ 신랑꺼로헤헤 또 하나의 귀여운 【 짱구베개 】선물받았어요 카드 발급신청후에 실물 카드 받고나서], 긍정 텍스트 확률 : 93.57%"
"[부 강의는산후도우미에서 오신 친정엄마같은 김은조강사님신생아 케어에 관해서 강의해주셨어요.태아마사지 방법이나], 긍정 텍스트 확률 : 57.70%"
"[태담태교의 중요성], 긍정 텍스트 확률 : 52.07%"
"[유쾌한 시간이었어요♪저는 그냥 쓰다듬기만 하고 있었는데다른 방법도 있단걸 알아서앞으로 ], 긍정 텍스트 확률 : 97.34%"
"[자주 하면서 우리 구름이와 교감하고], 긍정 텍스트 확률 : 82.83%"
"[ 부강의 태아보험 강의가 있더라구요 ㅋㅋㅋㅋㅋㅋㅋ분동안 짧게 굵고 짧게 하신다는 말씀에 다들 아하 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ정말 굻고 ], 긍정 텍스트 확률 : 86.74%"
"[ 그리고], 긍정 텍스트 확률 : 70.21%"
"[끝나고 태아보험 상담시 감사하게도 전원 포그니침대 증정하신다고....ㅠㅠ안그래도], 긍정 텍스트 확률 : 73.53%"
"[ 일찍못가서...ㅠ 상담못받았었거든요. 다행히 끝나고도 받을수 있더라구요 친절한 상담받고], 긍정 텍스트 확률 : 68.55%"
"[양면활용도 굿 ], 긍정 텍스트 확률 : 95.26%"
"[ 오늘은 가위바위보운이 안좋구나.. 하고 있었는데 ㅠㅠ최후의 인이라니【낮잠이불종세트】받았답니다 유후], 긍정 텍스트 확률 : 73.77%"
"[ ...우리구름이는 뇨자아이지만], 긍정 텍스트 확률 : 84.85%"
"[파랑색도 너무나 이쁜 뭐든 주시면 감사감사한거지요 ㅋㅋㅋ이판은 한줄단체전이었기에], 긍정 텍스트 확률 : 99.32%"
"[저희 줄의 다른 산모님들은 낮잠이불종세트를 받으셨어요다같이 행복을 나눌수 있으니 너무나 좋은가위바위보단체전 ㅋㅋㅋㅋㅋㅋ아가이불은 어쩌나], 긍정 텍스트 확률 : 88.44%"
"[ 이건 가위바위보 테이블단체전에서 받은【기저귀교체 낮잠패드】 에요저희 테이블 산모님께서 이기셔서 같이 받은 감사한 선물뒷면은 보들보들 극세사?재질 너무 부드러워요 ㅎㅎ외출시에 요긴하게 사용될것 같아요. ], 긍정 텍스트 확률 : 99.27%"
"[ 마지막까지 쫄깃한 가위바위보 퇴장. ㅋㅋㅋ재미있어요ㅋㅋㅋㅋ모든 회원님들 순산하시길 기원합니다 마지막까지 감사한.... ], 긍정 텍스트 확률 : 99.15%"
"[받은게 너무 많고], 긍정 텍스트 확률 : 54.98%"
"[너무커서 한프레임에 둘수도 없네요 ㅋㅋ..부 강의 해주신 강사님들 너무 재미있게 잘해주셔서], 긍정 텍스트 확률 : 98.17%"
"[즐거웠고 좋은 강의 해주셔서 감사합니다 정말 많은선물을 뿌려주신 ㅋㅋㅋㅋㅋㅋ키즈배틀카페산모교실운영자님], 긍정 텍스트 확률 : 98.99%"
"[모두 유용하게 잘 사용하겠습니다좋은정보도 얻고], 긍정 텍스트 확률 : 95.19%"
"[좋은강의듣고], 긍정 텍스트 확률 : 82.69%"
"[좋은선물도 받고 ♬행복한 시간이었습니다둘째때 또 뵈요 ㅋㅋㅋㅋ고생많으셨습니다], 긍정 텍스트 확률 : 97.93%"
