"[.지난 주에도 또 물놀이 하고 왔어요..정작 한 여름에는 사람 많아서 잘 안갈거 같은 느낌 ㅎㅎ.그리고 다시 느즈막히 물놀이 갈거에요? ], 긍정 텍스트 확률 : 81.11%"
"[ 제가 가장 먼저 도착하려고 서둘렀는데 주님이 먼저 와 계셨습니다. 제가 낯을 많이 가리는 편이라 잔뜩 긴장했었는데 신기하게도 편했습니다. 의자에 앉자마자 각자 소개를 하는 순간부터 마치 오래전부터 알던 사이인 것처럼 고개를 끄덕여가며 서로의 이야기를 들었습니다. 마침 네 분 모두 복직한지 얼마 되지 않으셨거나 복직을 앞두고 계셨던터라 관심사가 더 비슷했습니다. 복직 연차로 치면 제가 왕고참이더군요 ㅎㅎ 가끔 강연을 하면 신청자들께 아이가 몇개월인지 먼저 묻곤 합니다. 임신 중이신 분], 긍정 텍스트 확률 : 85.01%"
"[조부모 중에서도 친정엄마에게 맡기는 경우가 더 많습니다. 실님과 주님은 친정부모님의 도움을 받고 있어 아무래도 아이들 걱정은 덜 하다고 하셨습니다. 남이 아닌 할머니가 아이를 돌봐주시니까요. 반면 그래서 마음이 편치않다고 했습니다. 힘들어도 내 딸 아까워서 내가 나선다는 부모님 앞에 면목없고], 긍정 텍스트 확률 : 98.30%"
"[연세가 있으신만큼 체력적으로 부담인게 눈에 보여 죄송하다고요. 실님은 둘째 임신 중이셨는데 둘째까지 친정엄마께 부탁드릴 수는 없을 것 같아 벌써부터 고민이라고 하셨습니다. 할머니 육아의 최대 수혜자는 남편이라는 말이 있습니다. 친정엄마가 아이를 돌봐주시면 남편의 육아참여도가 떨어지는 경우를 빗댄 말인데요. 엄마들은 보통 할머니가 돌봐주시면 죄송한 마음에 더 칼퇴근하려고 합니다. 살림도 내가 하지 않으면 엄마가 한다는 것을 알고 있기에 아이를 재우고 하나라도 더 해두게 됩니다. 반면 아내와 장모님이 한 팀이 되어 육아와 살림이 빈틈없이 굴러가니], 긍정 텍스트 확률 : 52.71%"
"[ 남편이 육아에 조금 더 나서게 하고 싶다면 어린이집에 맡기는 것도 방법일 수 있습니다. 령님이 그런 경우였는데요. 죽이 되는 밥이 되든 부부가 힘을 합쳐 아이를 돌보자고 마음먹으셨고], 긍정 텍스트 확률 : 78.73%"
"[부부외엔 기댈 사람이 없으니 힘을 합칠 수밖에 없습니다. 공감합니다. 저 또한 양가 부모님의 도움을 받지 못해 베이비시터 이모님께 웅이 결이를 맡기니], 긍정 텍스트 확률 : 51.19%"
"[ 람님은 복직을 앞두고 지난 주에 시골에 계신 시어머니께 아이를 맡기셨습니다. 아이에겐 할머니가 낫지 않을까 싶어 떼어놓고 왔는데 잘 한 건지 모르겠다고 하셨습니다. 아이를 맡기고 서울로 돌아오며 내내 눈물이 났다는 말씀에 복직하던 날 내 모습이 떠올랐습니다. 먼저 물었습니다. 시어머니가 흔쾌히 아이를 맡아주셨는지요. 그리고 아이는 잘 적응하는지], 긍정 텍스트 확률 : 90.97%"
"[경제적으로 부담이 되긴 하지만 이제까지 만난 이모님들은 아이들을 따뜻하고 안정적으로 돌봐주셨습니다. 처음엔 아이들을 남의 손에 맡기는 것 같아 저 또한 꺼려졌지만 지금은 이모님을 또다른 가족으로 생각합니다. 웅이도 결이도 스스럼없이 이모라고 부릅니다.], 긍정 텍스트 확률 : 93.79%"
"[ 령님은 복직하고 얼마 지나지 않아 사표를 냈었다고 하셨습니다. 영양사라는 직업의 특성상 매일 다른 사람들의 식사와 건강을 돌보는데 정작 내 아이의 식사는 다른 사람에게 맡기는게 쉽지 않았다고 하셨습니다. 게다가 아이가 잘 먹지 않아 마음이 더 무거웠습니다. 고민 끝에 사표를 내자 주위 동료들이 힘든 건 아는데 다들 그 고비 넘기고 이 자리까지 왔다. 사표 낸 선배들 중에 후회하는 경우 많이 봤다. 다시 생각해보자라며 적극적으로 말렸답니다. 세 아이의 엄마인 팀장님은 출퇴근 시간을 줄여 아이와 함께하는 시간을 늘릴 수 있게 집근처로 근무지를 옮겨주셨습니다. 덕분에 령님은 한 고비 넘길 수 있었습니다. 아직까지 우리 사회에선 흔하지 않은 일이기에 더 뭉클했습니다.엄마가 되고], 긍정 텍스트 확률 : 99.92%"
"[복직을 하고 나서야 알게 된 것들이 있습니다. 주말이 지난 월요일 왜 선배들이 더 피곤해보였는지], 긍정 텍스트 확률 : 68.96%"
"[칼퇴근하는 선배들이 얼마나 눈치보며 사무실을 나섰는지], 긍정 텍스트 확률 : 64.76%"
"[그 땐 몰랐습니다. 그리고 어린아이를 키우며 일을 하는 고충을 알아주는 사람이 팀에 한 명이라도 있는게 얼마나 큰 힘이 되는지도 몰랐습니다. 한 조사에 따르면 지금 대 직장인들은 아이를 키우며 일을 하는 고충을 잘 알고 서로를 이해하고 있습니다. 내가 겪고 있고 내 아내], 긍정 텍스트 확률 : 95.93%"
"[내 남편이 겪고 있는 일이니까요. 반면 외벌이 부부가 대부분이었던 부장세대는 다릅니다. 부장세대는 내조받으며 집안일 걱정없이 직장에만 온 힘을 쏟을 수 있었습니다. 그래서 지금 대 맞벌이 부부이자 부하직원의 고충을 이해하지 못합니다. 반면 더 나이든 경영진들은 이해합니다. 내 딸이 직장에 다니고 결혼을 하며], 긍정 텍스트 확률 : 98.64%"
"[힘들어하는 것을 보며 부하직원을 이해하는 것이죠. 년 미국의 한 연구 결과를 보면남성 임원들에게 딸이 생기면 여직원들에 대한 태도가 좀 더 관대해졌다 고 합니다. 이 연구결과를 이야기하며 적어도 우리 세대가 부장이 되면 조금은 낫겠다는 공감대가 형성됐습니다. 힘들어도 조금 더 힘내며 버티자. 우리 아이들은 조금 더 나은 사회를 만들어주자는 이야기를 나눌 때 쯤 이미 시계는 시 반을 향하고 있었습니다. 시간이 짧을 거라는 건 알고 있었지만 생각보다 더 짧았습니다. 그래도 마음을 나누기엔 짧지 않았던 것 같습니다. 마음도 든든한 밥 한 끼 먹은 기분이었거든요. 사무실로 돌아오는 길], 긍정 텍스트 확률 : 99.98%"
"[실님. 초대에 응해주셔서], 긍정 텍스트 확률 : 72.23%"
"[같이 마음 나눠주셔서 감사합니다.], 긍정 텍스트 확률 : 98.30%"
"[ 글이 길어졌는데요. 마지막으로 질문하나 드릴게요. 앞으로 종종 모여볼까 합니다. 저 또한 직장인이라 광화문 근방에서 시작해 가끔은 다른 곳에서 모일 수도 있을 것 같아요. 이렇게 모임 후기를 남겨두면 후배 워킹맘들에게 도움도 될 거 같고요. 그런데 제가 매번 대접하기는 힘들고 아무래도 주머니 사정이... 죄송합니다 ㅠㅠ 각자 점심값을], 긍정 텍스트 확률 : 98.16%"
"[. 어떠세요? 호응있으면 조만간 차 벙개 추진합니다 ], 긍정 텍스트 확률 : 54.12%"
"[복직을 앞둔 후배에게☝︎이 책 선물 어떠세요?☝︎ ], 긍정 텍스트 확률 : 55.74%"
"[틈틈이 다음 소식이 궁금하시면 팔로우좋아요 댓글도 큰 힘이 됩니다.ﾟ▽ﾟ♡ ], 긍정 텍스트 확률 : 71.25%"
"[베페가 육아박람회 중 가장 공신력이 있다는데 진짜일까?], 긍정 텍스트 확률 : 88.68%"
"[고객이 정확한 정보를 얻으며 제품을 구매할 수 있도록 참가사를 관리 및 선별하는 것이지요. 본사가 직접 관여하는 만큼 소비자들에게 올바른 정보 전달은 물론등의 사후관리도 다이렉트로 받을 수 있으니 믿고 구매할 수 있지요. 국내 유아용품 시장의 확대 속에 베이비페어 역시 약 여 개로 늘어났지만 그 사이에서도 원조 베페 베이비페어＇의 인지도와 입지를 굳건히 할 수 있었던 데에는 바로 이런 베페의 이런 신념과 노력들 덕분이랍니다.], 긍정 텍스트 확률 : 79.85%"
"[신제품을 베페에서 가장 먼저 만나볼 수 있다는데], 긍정 텍스트 확률 : 75.15%"
"[베페 베이비페어는 유독 전시회 일정에 맞춰 신제품과 신규서비스를 런칭하는 브랜드가 많아요. 연 회 열리는 전시 현장에서 고객은 가장 먼저 제품을 직접 체험할 수 있고], 긍정 텍스트 확률 : 57.82%"
"[브랜드는 최접점에서 고객의 반응을 살필 수 있는 것이지요. 또], 긍정 텍스트 확률 : 82.90%"
"[다양한 프로모션과 혜택을 준비한 만큼 타 전시나 박람회보다 파격적이고 새로울 수밖에 없지요. 이는 국내 유아용품산업 내에서 베페의 영향력을 가장 직접적으로 느낄 수 있는 사례가 아닐까요? ], 긍정 텍스트 확률 : 97.49%"
"[모바일 플랫폼을 통해 오프라인 전시회 정보와 브랜드 정보를 발빠르게 전달하여 육아트렌드를 쉽고 빠르게 접할 수 있구요. 실제 육아맘대디가 참여하는 서포터즈를 운영하며], 긍정 텍스트 확률 : 62.80%"
"[매회 임신∙출산∙육아에 대한 의미있는 주제를 가지고 관람객과 함께 즐길 수 있는 캠페인 및 이벤트를 진행하여 임신부], 긍정 텍스트 확률 : 52.95%"
"[육아맘대디들과 즐거운 경험의 장을 만들고 있어요. 매회 발행되는 베페 매거진 역시 전시회 및 참가브랜드 정보는 물론 임신], 긍정 텍스트 확률 : 94.62%"
"[육아에 대한 실속있는 정보를 총망라하여], 긍정 텍스트 확률 : 72.47%"
"[베페의 모든 행사에는 유아 동반이 가능하다?], 긍정 텍스트 확률 : 55.39%"
"[모든 행사를 진행하면서 부모들의 짐을 덜고 아기와 함께할 수 있도록 유아 동반을 환영하고 있어요. 전시장에서는 대규모의 수유실은 물론 아빠를 위한 기저귀 교환 공간을 별도로 운영하고 있으며], 긍정 텍스트 확률 : 74.36%"
"[서포터즈 모임 등에도 유아 동반이 가능합니다. 심지어 아이 엄마이자 기자로 활동하고 있는 제 경우], 긍정 텍스트 확률 : 77.73%"
"[전시 기간 동안 많은 베페 스태프들과 직원들이 전시장에 상주하며], 긍정 텍스트 확률 : 57.01%"
"[관람객과 참가사의 편의와 운영상 이슈가 없도록 도움을 드리고 있답니다. ], 긍정 텍스트 확률 : 80.64%"
"[현장에서 구매한 제품에 대한 교환], 긍정 텍스트 확률 : 60.19%"
"[환불에 대해서는 참가업체 본사가 직접 처리하므로], 긍정 텍스트 확률 : 61.24%"
"[구매 시 영수증을 꼭 수령하여 보관하는 것이 좋아요. 또한], 긍정 텍스트 확률 : 89.52%"
"[현장구매 시 판매하는 제품에 대한 교환], 긍정 텍스트 확률 : 58.14%"
"[모바일 앱에서도 만날 수 있어요. 베페 베이비페어 전시회 정보는 물론이고 베페 참가브랜드 정보와 다양한 이벤트 그리고 웹진 베페를 통한 임신], 긍정 텍스트 확률 : 77.94%"
"[육아 정보도 확인 할 수 있답니다. 또한], 긍정 텍스트 확률 : 86.58%"
"[베페 맘스쿨임산부교실], 긍정 텍스트 확률 : 73.88%"
"[교육 관련이나 아이를 잘 키울 수 있는 방법 등 임신], 긍정 텍스트 확률 : 60.51%"
"[육아 관련 문화를 앞으로도 계속 개발하여 꾸려나갈 예정이라고 합니다.], 긍정 텍스트 확률 : 66.49%"
"[베페 맘스쿨과 베페 파워에디터], 긍정 텍스트 확률 : 79.66%"
"[참신한 콘텐츠도 얻을 수 있고 육아로 지친 엄마와 아빠에게 대회를 통해 육아스트레스도 날리고], 긍정 텍스트 확률 : 72.30%"
"[꼭 도전해보세요.], 긍정 텍스트 확률 : 57.03%"
"[ 만 달러 이상의 현장 수출 상담 실적을 달성한 바 있어요. 세계 각국의 바이어들은 한국 육아용품에 큰 관심을 보이며], 긍정 텍스트 확률 : 89.63%"
"[특히 안전성과 내구성에 주목했는데요. 이러한 해외 바이어들의 뜨거운 현장 반응은 기존 해외 유아용품 박람회 참가 때보다 높은 계약 실적률을 보이기도 했답니다.], 긍정 텍스트 확률 : 86.76%"
"[베페 베이비페어는 앞으로도 육아맘대디와 소통하며], 긍정 텍스트 확률 : 84.23%"
"[여러분에게 필요한 제품과 서비스를 선보이는 전시회로 발전해 나갈 것입니다. 또한], 긍정 텍스트 확률 : 74.56%"
"[대디베이비 기저귀라인은 국제 표준화 기구 인증을 받았고 국제표준 기준을 준수하며직접 생산], 긍정 텍스트 확률 : 55.81%"
"[무폼알데하이드], 긍정 텍스트 확률 : 51.42%"
"[그리고 타 여름기저귀들에 비해서 크기가 약간 더 큰 부분도 맘에드는 한가지.두 아이 신생아때부터 썼었더 기저귀는 키로수에 비해 작으편이라서 한단계를 더 빠르게 업해야했어서가격대비 갯수도 훅 줄고 그래서 맘이 좀... 근데 대디베이비 라인은 대체로 넉넉한 크기라 좋당 ], 긍정 텍스트 확률 : 71.34%"
"[보이는가 이 초초초초 슬림함접혀있는데도 저렇게 얇은데 한면의 두께감은 대박이었다.일반 슬림라인 여름기저귀가 흡수력 별점라면 골드라인은 흡수력 점프리미엄 밤기저귀로 손색이 없다옹 ], 긍정 텍스트 확률 : 55.55%"
"[외부 겉면도 부드러움.거칠고 부풀이 잘 생긴다면 이것 또 난감인데 그런것 없음. ], 긍정 텍스트 확률 : 53.56%"
"[밴드의 신축성이 팬티기저귀만큼 좋음.전면 밴드는 아니지만 허리뒷부분의 와이드밴드 더분에 걱정없이 활동할 수 있다. ], 긍정 텍스트 확률 : 73.90%"
"[피부에 직접 닿고 흡수를 맞고 있는 패드부분은다이아 엠보로 설계되어 있고 기저귀중 가장 프리미엄급인실키에어쓰루 탑시트 원단을 사용해서 자극을 최대한 줄이고 안전함과 편안함을 준다. ], 긍정 텍스트 확률 : 79.96%"
"[ 대디베이비로부터 여름기저귀만을 제공받아 작성된 후기입니다], 긍정 텍스트 확률 : 51.13%"
"[ 팬티기저귀추천 밤기저귀], 긍정 텍스트 확률 : 79.58%"
"[주아가 잘때 어마어마하게 움직이 많거든요], 긍정 텍스트 확률 : 80.31%"
"[잘때 움직임이 많음 건강하다는데크크 근데..밴드기저귀는 가끔 새더라구요ㅠㅠ], 긍정 텍스트 확률 : 89.98%"
"[그래서 잘때만큼은 팬티기저귀를 사용해요], 긍정 텍스트 확률 : 81.46%"
"[다른팩들에 비해 갯수가 다소 적은편이라 여행갈때도 챙겨가기 참 좋을것같아요 ], 긍정 텍스트 확률 : 61.89%"
"[절취선 따라 또르르 뜯어주심 되요ㅎㅎ ], 긍정 텍스트 확률 : 84.46%"
"[기본 소변알림선 있구요 ], 긍정 텍스트 확률 : 78.69%"
"[우리아기 소중이가 닿는 부분은 엠보처리로 부드럽게 만들어졌어요 ], 긍정 텍스트 확률 : 60.48%"
"[우리아기 허벅지가 닿는 이부분 밴딩처리가 참중요해요아기마다 허벅지 두께가 다르겠지만], 긍정 텍스트 확률 : 90.56%"
"[울주아는 꿀벅지라ㅎㅎ허벅지부분 밴딩이 좋아야 하거든요그래야 끼임없이 편하게 활동하기 좋거든요 ], 긍정 텍스트 확률 : 89.75%"
"[허리부분도 불편하지않게 밴딩 충분하게 잘 늘어나구요상하 너비도 굉장히 넓더라구요 ], 긍정 텍스트 확률 : 74.97%"
"[대디베이비 팬티기저귀 착용했을때], 긍정 텍스트 확률 : 54.50%"
"[배꼽까지 충분히 덮어주더라구요좋아좋아 ], 긍정 텍스트 확률 : 95.78%"
"[샘방지 확실해요 밴딩처리가 좋아서 그런지 자국도 안남더라구요 ], 긍정 텍스트 확률 : 84.94%"
"[주가까이 밤기저귀로 사용중인데요정말 마음에 들어요밤에 대디베이비 팬티기저귀 채우고 아침에 보면 흡수가 굉장히 잘되어있어요기저귀가 빵빵한거에 비해], 긍정 텍스트 확률 : 89.15%"
"[ 기저귀 추천 대디베이비 뒷태가 사랑스럽네 이웃나눔할게요 ], 긍정 텍스트 확률 : 97.38%"
"[안전한 기저귀 추천], 긍정 텍스트 확률 : 79.58%"
"[요즘 이 녀석 활동량이 엄청나다죠날씨는 제법 쌀쌀해져서 가을이 왔음이 피부에 확 와 닿는데울 뚱띠호군은 아직도 혼자 여름이네요잠시도 안 쉬고 온 집안을 기어 다니고 짚고 일어서니이마와 등은 땀으로 범벅이에요 남자 아기들은 다 이런가요? ㅎㅎ그 와중에 울 뚱띠호군 대디베이비 팬티기저귀를 하고 있는뒤태가 넘넘 사랑스러워 한 컷 찍어봤어요], 긍정 텍스트 확률 : 99.38%"
"[대디베이비 팬티기저귀에요 대형 사이즈 익스트림 슬림 남녀 공용이랍니다 팩에 가 들어있어요], 긍정 텍스트 확률 : 82.89%"
"[앞면엔 귀여운 동물 그림과 사랑스러운 꽃무늬가 그려져 있어요 ], 긍정 텍스트 확률 : 95.16%"
"[덕분에 기저귀를 갈아줄 때 아기와 함께 이야깃거리가 생겨서 좋아요뚱띠호야 이거 봐여기 너구리가 캠핑 갔나 봐저기 다람쥐는 낚시를 하고 있네아기가 알아듣거나 말거나 엄마는 또 쉴 새 없이떠들어댑니다 ㅎㅎ ], 긍정 텍스트 확률 : 61.36%"
"[뒷모습은 라고 적혀있는데요거 볼 때마다 아기가 엄마 사랑해요 하는 것 같아서기분이 좋아져요 뒷면엔 뒤처리 테이프가 부착되어 있어요], 긍정 텍스트 확률 : 59.39%"
"[요즘 여성 생리대 문제가 핫이슈였죠정말... 그 소식을 접한 대부분의 여성분들은경악을 금치 못했을 거예요 지금까지 내 몸에 닿은 위생용품에 문제가 있었다니...그러면서 엄마들은 혹시 아기 기저귀에요?라는 불안감이 스쳐 지나갔을 거예요 저도 그랬으니까요 그래서 제가 안전한 기저귀를 찾다 보니이번에 대디베이비를 사용하게 된 거라지요 피부 무자극 인증], 긍정 텍스트 확률 : 97.69%"
"[저는 기저귀를 슬림한 것을 선호하는데요 슬림한 것이 아기의 옷맵시도 살려주고 외출할 때 부피 차지도 덜하기 때문이에요 제 폰이 갤럭시 인데 두께 비교를 해보니 거의 차이가 안 나죠?엄청 슬림하답니다 하지만 흡수력은 대단하다는 사실 ], 긍정 텍스트 확률 : 58.46%"
"[팬티기저귀 답게 허리밴드의 신축성도 정말 마음에 들어요 옆구리 부분까지 늘어난 광폭밴드라뚱띠호군처럼 활발하고 움직임이 많은 아기들에게 편리하겠더라고요], 긍정 텍스트 확률 : 93.41%"
"[옆구리 라인 쪽의 광폭밴드 눈으로 확 느껴지시죠손으로 쭉쭉 늘렸을 때 쫀쫀하면서도 잘 늘어나니까 아기도 편해하고 엄마도 입히거나 벗기기에편해서 정말 기저귀 추천하고 싶어져요], 긍정 텍스트 확률 : 98.05%"
"[얇기로 소문한 타사 제품도 얇고 흡수력이 좋아서 유명한데같은 공장에서 만든 제품이라고 하더라고요 똑같은 기능을 가지고 있는가가격면에서 비교해보니만원 정도 더 저렴하던걸요?대박이정도면 가성비 갑 아닌가요], 긍정 텍스트 확률 : 80.15%"
"[ㅋㅋㅋ 기어다니면서화분도 쓰러트리고 의자 선풍기 청소기까지안 쓰러트린게 없네요 다치지 않은게 천만다행 ㅠㅠ또 어딘가를 향해 돌진하는 뚱띠호군을 말리려다가우연히 기저귀를 잡았는데엄머나 우리 아기 엉덩이가 다 보이겠어요 ㅎㅎ허리밴드가 쭉쭉 얼마나 잘 늘어나는지요 ], 긍정 텍스트 확률 : 52.44%"
"[팬티처럼 한번에 쑥 입혀버리면 되니 얼마나 편한지보송보송해져서 기분이 좋아진 뚱띠호에요 집에서 뿐만 아니라 외출했을 때 더욱 빛을 발하는대디베이비 팬티기저귀네요 ㅎㅎ ], 긍정 텍스트 확률 : 75.70%"
"[낮잠 잘때도 밤잠 잘때도 자는 내내 뒤척여도 새지 않고 편안하게 아기를 지켜주고많은 양의 쉬를 해도 금새 흡수되서 보송보송하게꿀잠 잘 수 있도록 도와주네요 굿굿써볼수록 정말 만족스러운 대디베이비저혼자만 쓰면 미안하잖아요 그래서 저의 이웃님들과 함께 나눠쓰고 싶어서소소한 이벤트를 열고자 합니다], 긍정 텍스트 확률 : 99.63%"
"[ 밴드 또는 팬티 중 택 조건현재 포스트를 스크랩하고 과 덧글 남기기 블로그에 후기회 본인의 블로그에만 회 스크랩하시고과 함께 소감을 남겨주세요많이 참여 해주실거죠?응스도 환영합니다 사랑합니다 ㅎㅎ저의 블로그 뿐만 아니라 에서도자주 이벤트가 열리니 확인하시길 바라요 ], 긍정 텍스트 확률 : 69.49%"
"[ 신생아 기저귀 추천], 긍정 텍스트 확률 : 79.58%"
"[흡수력 좋은 신생아기저귀 대디베이비], 긍정 텍스트 확률 : 92.72%"
"[묽은배변의 뒷샘방지기능까지 지원 그리고 탄성밴드의 강한 안장강도로 허리의 편안함을 줘요 ], 긍정 텍스트 확률 : 65.15%"
"[뒤엔 더 예쁨 ㅋㅋㅋㅋㅋㅋ러브유 ♥ 그래 애미를 사랑해라ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 99.50%"
"[돌고돌고돌고 요즘 앞모습보다뒷태를 더 많이 보여주는 도율이돌때마다 가 넘나 사랑스럽네요 그리고 확실히 엠보싱이 있어서엉덩이의 찝찝함이 없는지 밤기저귀로도 너무 잘 사용하고 있어요 ], 긍정 텍스트 확률 : 99.89%"
"[ 출산 선물 기저귀대디베이비추천 ], 긍정 텍스트 확률 : 79.58%"
"[지금 울 막내가 개월이고아직은 기저귀를 차거든요팬티기저귀도 착용하지만겨울철엔 밴드기저귀를 착용시켜요옷을 전부 벗기지 않아도 되기때문에아무 곳에서 기저귀 갈기 편하거든요 ], 긍정 텍스트 확률 : 97.34%"
"[굉장히 슬림해요 ], 긍정 텍스트 확률 : 90.08%"
"[울 막내가 좀 커서 로 주문했는데대디베이비 기저귀는 굉장히 크고 슬림하고 밴드가꽉 죄지 않고 신축성 있어서편해 보여요 ㅋㅋ ], 긍정 텍스트 확률 : 85.82%"
"[얇고 가볍고 밴딩 편한 느낌이네요 ], 긍정 텍스트 확률 : 63.90%"
"[다 흡수 되서 촉촉해요개월 아기도 이렇게 편한데신생아들은 조금만 축축하거나 불편해도 칭얼거리잖아요이렇게 흡수 잘되고 기저귀가 슬림하여가벼우니 신생아때 이 기저귀를알았다면 채웠을 듯 해요신생아 출산 선물 기저귀로대디 배이비 괜찮을 것 같네요그나저나 울 막둥이 기저귀조만간 뗄 텐데그 전에 여러 기저귀 착용시켜 보고좋은 게 있으면 또 소개할까 해요 ], 긍정 텍스트 확률 : 62.23%"
"[기저귀 참 귀엽네 ㅎㅎ보들보들하고 냄새도 좋음앞 뒤 구분이 야무지게 써있어서 헷갈리진 않음.중요한건 기저귀의 외형상 퀄리티도 있지만], 긍정 텍스트 확률 : 96.69%"
"[기저귀를 갈아줄때 테이프가 요긴하긴함.이 테이프 없어서 팸퍼스 좀 에러임 ㅠㅠ그래도 밤기저귀로 워낙 기능이 좋아 포기할 수 없었음. 대디베이비 밤기저귀는 요즘 엄마들 사이에서 입소문을 좀 탈만한 요소들이 많은듯. ], 긍정 텍스트 확률 : 93.38%"
"[향기 좋고 ], 긍정 텍스트 확률 : 88.39%"
"[ 아침에 일어났을때임.밤기저귀로 충분히 기능을 하고 갈기 전에], 긍정 텍스트 확률 : 76.14%"
"[또렷하게 나타남.시중에 좋다는 기저귀들의 장점을 합친것 같긴함.똑똑이에게 뽀송함을 느끼게 해주자 ], 긍정 텍스트 확률 : 73.31%"
"[얼른 찝찝한 밤기저귀 응아 갈아줌.그리고 대디베이비 기저귀], 긍정 텍스트 확률 : 60.39%"
"[ 팬티기저귀 옆에 뜯을때 ], 긍정 텍스트 확률 : 65.37%"
"[ 그래도 똑똑이는 편안하고 괜찮은가봄.그냥 보이기에 내가 느끼는것일뿐 ], 긍정 텍스트 확률 : 79.62%"
"[ 기능적인 부분에서 차이가 느껴지면 어쩔수 없을듯], 긍정 텍스트 확률 : 70.43%"
"[ 지극히 개인적인 후기임.좋다는 엄마들의 후기도 같이 보시고 결정하기길 바래용 ], 긍정 텍스트 확률 : 89.33%"
"[말썽많은 유아용품...한개로 정착하기 정말 어렵네요 ㅜㅜ이번엔 레드칸나님 이벵으로 당첨되 처음 알게된대디베이비 기저귀.기저귀 사고터진후 아직 우리 아들한테 맞는 기저귀를 찾지 못하고 있다], 긍정 텍스트 확률 : 83.55%"
"[한박스팩으로 구성되어있어요. ], 긍정 텍스트 확률 : 66.67%"
"[장거리 외출할때도 간편하게 가져다닐수 있게손잡이가 있어요.저는 손잡이 있는거 좋아함아기가 있으니], 긍정 텍스트 확률 : 69.27%"
"[알록달록 귀여운 아기 기저귀가 짜안 ], 긍정 텍스트 확률 : 55.37%"
"[뒤 구분할수 있는 캐릭터엉덩이쪽에는 너무 사랑스런모양이죵??제가 사용하고 있는 대디베이비기저귀 특대형은가지 유형의 캐릭터가 그려져있더라구요.다 맘에들엉 러브유는 너무 사랑스럽구요..ㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 99.81%"
"[대디베이비 팬티기저귀 허리밴드부분.마이크로 초음파 컷팅시스템을 도입하였다고해요.민감한아기살결에 닿기에 자극을 최소화하여 더욱 부드럽게 착용할수 있도록사용후 뒷처리는 한번에 깔끔하게 찢겨 편리하고], 긍정 텍스트 확률 : 85.98%"
"[ 역시 프리미엄 대디베이비 팬티기저귀는 특별한거같네요 ], 긍정 텍스트 확률 : 69.34%"
"[또하나대디베이비 기저귀는 전세계 모든 기저귀중 가장 프리미엄급인 실키에어쓰루 탑시트 원단을 사용했다고해요. 전세계라니], 긍정 텍스트 확률 : 75.95%"
"[날씬이 우리아들 .이전 사용하는 기저귀 대형이 작은 느낌이라대디베이비 특대형을 주문했는데특대형은 살짝 큰 느낌이더라구요.타기저귀보다 사이즈가 조금 큰편인거같기도해요.근데 아주 편해보임 ㅋㅋㅋㅋㅋ사이즈 커도 기저귀가 얇아서 착용감도 활동하기에도 전혀 지장없어 편해보여요. ], 긍정 텍스트 확률 : 60.59%"
"[배 윗부분까지 편안하게 감싸주는 대디베이비 기저귀자극을 최소화하여 더욱 부드럽게 착용가능하다고 했는데직접 사용해보니], 긍정 텍스트 확률 : 82.79%"
"[정말 부드럽고 찢김도 편리해요. ], 긍정 텍스트 확률 : 50.78%"
"[우리아들 뒷태.허리밴드 정말 마음에 듬.ㅋㅋㅋㅋㅋ부드러우면서도 쭈욱 늘어나 아이가 입으면체형에 맞게 착 달라붙어 핏도 이쁘지요 ], 긍정 텍스트 확률 : 96.00%"
"[또 사랑스러운 뒷태. 대디베이비기저귀마저 사랑스럽구나소대변을 본뒤에도 쳐지거나 흘러내림이 없구요.소변량에도 바람이 통해 엉덩이가 찝찝함없이 편안하게 숨쉬도록 도와주며배더 향상된 통기성 커버로 엉덩이가 쉽게 짓무루는 아이에게 더욱 좋을꺼같아요 ], 긍정 텍스트 확률 : 99.77%"
"[자사 실험실완비위생적인 생산환경생산과정 모니터링세스코 멤버스 존으로 위생적이고 체계적인 관리하에 생산관리된다니믿고 사용해보세요], 긍정 텍스트 확률 : 79.25%"
"[ 뭉치지않고], 긍정 텍스트 확률 : 70.18%"
"[ 흡수력좋고], 긍정 텍스트 확률 : 92.72%"
"[일단 기저귀를 펼쳐봤어용그런데 이렇게 보면 잘 모르겠는거죠], 긍정 텍스트 확률 : 54.77%"
"[좌측이 기존에 사용하던 기저귀고 우측이 이번에 바꿔본 대디베이비 기저귀에요일단 마음에 드는건 같은사이즈인데 길이가 대디베이비 기저귀가 길어서 너무 맘에들어요일단 길면 뒤로 새는건 아무래도 방지해줄테니까요 ], 긍정 텍스트 확률 : 99.80%"
"[아그리고 기저귀 채울때 밴드부분이요.저것도 넓찍해서 그것도 참 맘에 들었어요우리 딸 다리에 쓸리지 않을거 같아서요 ], 긍정 텍스트 확률 : 64.48%"
"[기저귀 몇일 사용해본 결과아직까지 발진 없었고중요한.... 응가 쌌을때 새는거 없었어요 ㅠㅠㅠㅠㅠㅠㅠ 넘나 좋아요 ㅠㅠㅠㅠㅠㅠ그동안 응가기저귀 처리하면 옆으로 뒤로 새있어서 기저귀 접을때도 힘들었거든요 ㅜ근데 새지 않으니 요렇게 컴팩트하게 잘 처리할수있어용 히히 ], 긍정 텍스트 확률 : 71.54%"
