"[.아이씨티몰에 없는게 없다생활필수템인..육아맘에게는 더 특별할수바께 없는 곳..헬로키티 기저귀와 헬로키티 비데 물티슈를..소개할까 합니다❤ ], 긍정 텍스트 확률 : 93.86%"
"[오늘은 아침에 일어나서 준비하고 곧바로 일산으로 고고했어요일산 킨텍스 맘앤베이비엑스포도 가고 친정에서 하루 지내고 오려고 왔다지요ㅋㅋ킨텍스 맘베는 이틀전에 시작이 되어오늘은 일차에요내일까지 행사가 진행되니 아직 방문전이신분들은 꼭 들르시면 좋을 것 같아요 ], 긍정 텍스트 확률 : 97.74%"
"[ 맘베는 킨텍스 전시장 관 ], 긍정 텍스트 확률 : 96.75%"
"[ 홀에서진행되고 있어요입구와 출구가 따로 나누어져 있으니잘 보시고 들어가시면 되요 ], 긍정 텍스트 확률 : 50.92%"
"[잉글레시나등 많은 업체가 참여해썽요박람회장에서는 여러 브랜드를 한번에 비교해볼 수 있고아이도 직접 태워보고 핸들링도 느껴볼 수 있으니너무 좋은 것 같더라구요요즘 대세인 웨건도 있네요디자인도 이뻐요 ], 긍정 텍스트 확률 : 99.51%"
"[ 유모차만큼이나 필수품 중 하나는 카시트와 힙시트인 것 같아요직접 차보고 착용감이나 편리함을 느껴보고 결정할 수 있으니 굿이네요 ], 긍정 텍스트 확률 : 97.26%"
"[ 아이들 애착인형으로 좋은 뿌니토인형 부스도 있어요그리고 아이들을 예쁘게 꾸며주는 헤어밴드], 긍정 텍스트 확률 : 97.96%"
"[ 아기 잡화 부스도 있네요 ], 긍정 텍스트 확률 : 70.79%"
"[고래수도꼭지가모두 있는지라 더욱 관심이 가더라구요필터를 사올걸하고 아쉬워지는 지금이네요 ], 긍정 텍스트 확률 : 94.02%"
"[ 지난 유교전에서도 너무 신기하게지켜봤던 아리부라 블럭과 아이들 사운드 북과책을 구경할 수 있는 블루래빗 부스도 있어요할인가로 판매되니 꼭 챙겨서 들러보세요 ], 긍정 텍스트 확률 : 91.78%"
"[ 루솔과 푸드케어아이들 이유식과 간식], 긍정 텍스트 확률 : 55.78%"
"[아기반찬등을종류별로 구경하고 맛도 볼 수 있는 곳이에요어린아기가 있는 부모들이 많이들 상담하고 시식하시더라구요 ], 긍정 텍스트 확률 : 88.90%"
"[ 아이 있는 집에서는 빠질수 없는 매트직접 밟아보고 앉아보고 만져보고알집매트는 워낙 유명한지라 긴 설명이필요없을 것 같아요], 긍정 텍스트 확률 : 98.18%"
"[ 망고제이 치카치카에서 판매하는슈트가 너무너무 귀여워요으누양은 이제 이런걸 입을 수 없는 나이인지라눈으로만 가득 구경하고 왔어요 ], 긍정 텍스트 확률 : 52.03%"
"[ 웅진씽크빅과 에듀쌤에서는아이들이 직접 체험해보고 만져볼 수 있도록 준비되어 있어요그래서 이곳에서는 상담을 받기에도 참으로 편해보이더라구요으누양은 씽크빅도 하고 있기에 패스.... ], 긍정 텍스트 확률 : 53.11%"
"[ 요즘 보험은 다이렉트가 유행인듯 해요그리고 다이렉트가 합리적인 것 같아요삼성화재 다이렉스 어린이보험 부스에서는룰렛 이벤트도 진행되고 있으니참여하시고 보냉백 받으시면 좋을 것 같네요 ], 긍정 텍스트 확률 : 51.98%"
"[ 이번 맘베에서는 맘스맘도 참여했어요유아물품 복합매장이죠구매영수증이 있으면 또다른 경품을 증정하더라구요그리고 맘스맘 회원가입을 할 경우 또 선물을증정해주시더라구요 ], 긍정 텍스트 확률 : 74.78%"
"[ 벤밧에서는 아이들이 카시트에 앉아서편하게 있을 수 있는 목베개도 있고], 긍정 텍스트 확률 : 75.54%"
"[ 후방거울도 있더라구요으누양도 요기꺼 목베개 아주 편하게 사용했었다죠 ], 긍정 텍스트 확률 : 59.33%"
"[ 입구에서는 노무상담], 긍정 텍스트 확률 : 66.05%"
"[아이티씨 회원가입을하면 비데용 물티슈와 코인티슈], 긍정 텍스트 확률 : 58.35%"
"[ 아이들 성장앨범을 촬영할 수 있는 스튜디오도두곳 들어와있더라구요저는 으누양 주니어 촬영을 두곳에서 모두 했봤었는데개인적으로 감성더하기 사진이 더 마음에 들더라구요하지만 준비하는 과정은 베이비파스텔이더 프로페셔널한 느낌이었어요 ], 긍정 텍스트 확률 : 99.53%"
"[ 잠시 쉬어가기ㅋㅋ돌체구스토 부스에서는 온전한 커피한잔을맛볼 수 있어요간단한 회원가입에 대한 설명만 들으면바로 원하는 커피를 먹을수 있답니다 ], 긍정 텍스트 확률 : 76.20%"
"[ 부모님들이 잠시 구경하는 사이 아이들은블럭놀이를 할 수 있도록 놀이 공간이 만들어져있어요엄마아빠가 번갈아가면서 아이노는거 봐주고쇼핑하면 참으로 좋겠다싶더라구요킨텍스 맘베는 내일까지 진행되요필요한 물건 구매하러], 긍정 텍스트 확률 : 50.26%"
"[그리고 알차게 구경하고득템하러 꼭 방문하시면 좋을 것 같아요 ], 긍정 텍스트 확률 : 81.74%"
"[.?맘베맘베.?킨텍스킨텍스.?킨텍스맘베킨텍스맘베.?맘앤베이비엑스포맘앤베이비엑스포.?킨텍스베이비페어킨텍스베이비페어.?육아용품육아용품.?유아용품유아용품.?예비맘예비맘.?육아맘육아맘.?아기용품아기용품 ], 긍정 텍스트 확률 : 83.94%"
"[물에 잘 풀리는 물티슈 헬로키티 비데 물티슈이에요뒷처리후 헬로키티 비데물티슈로 상쾌하게마무리 할수 있는데요 ], 긍정 텍스트 확률 : 79.56%"
"[ 원터치 방식의 귀여운 헬로키티 물티슈를케이스에 넣어 마지막 한장까지 촉촉하게 사용가능해요 ], 긍정 텍스트 확률 : 66.88%"
"[ 부담없이 휴대할수 있어서 좋은데요 ], 긍정 텍스트 확률 : 88.90%"
"[ 사랑스런 헬로키티가 화장실을 더욱 화사하고안전한 비데물티슈로 뒷처리후 더욱 깔끔하게 사용하실수 있어요 ], 긍정 텍스트 확률 : 98.58%"
"[ 그리고 사용후에는 변기에 그대로 쏘옥 넣어서더욱 간편하게 처리할수 있어서 비데물티슈추천해요 ], 긍정 텍스트 확률 : 85.85%"
"[ 단계 살균 정제수를 사용한 깨끗한 물티슈로안전하게 사용하실수가 있어 비데물티슈추천해요여성분들 매달 필요한 시기에도 사용하셔도 좋은데요 ], 긍정 텍스트 확률 : 97.36%"
"[ 피부자극 테스트 완료하여 연약하고 민감한 피부에도 안심하게 사용할수 있어요 ], 긍정 텍스트 확률 : 64.17%"
"[ 또한 무향료 제품으로 안전하게 사용하실수 있는데요순순한 자연유래성분을 담아 아이는 물론온 가족이 안심하고 사용하실수 있어요 ], 긍정 텍스트 확률 : 90.01%"
"[ 한장씩 톡하고 뽑아쓰기 좋도록 구성되어 있어마지막 한장까지 촉촉하고 편리하게 사용가능해요 ], 긍정 텍스트 확률 : 96.14%"
"[알로베베라잎추출물의 가지 자연유래 성분 함유로 피부를 보호해줘요 ], 긍정 텍스트 확률 : 57.97%"
"[ 안심하고 사용할 수 있는 레이온으로 자연유래펄프자연유래원단으로 아기들에게 정말 좋아요 ], 긍정 텍스트 확률 : 74.75%"
"[ 특히], 긍정 텍스트 확률 : 88.16%"
"[어린 아기들 기저귀 갈 때에 사용하기 좋은데요배변훈련이나], 긍정 텍스트 확률 : 56.36%"
"[혼자 뒷처리 연습하기에 좋아요 ], 긍정 텍스트 확률 : 81.85%"
"[ 저희애도 너무나도 이쁜 물티슈에 무엇이든 혼자힘으로 하고 싶은 기특한 우리딸이에요 ], 긍정 텍스트 확률 : 99.28%"
"[ 하루에도 몇번씩 닦아야하는 연약한 우리아이피부에도 정말 좋은 헬로키티 비데물티슈이에요 ], 긍정 텍스트 확률 : 99.95%"
"[ 제품 덮개와 바닥면을 분리한후 케이스에 물티슈를케이스안에 넣어 덮개을 바닥면에 제대로 끼운후 사용하시면 되요 ], 긍정 텍스트 확률 : 58.64%"
"[ 크기도 알맞게 딱 들어가서 좋으며], 긍정 텍스트 확률 : 74.57%"
"[특히 애들이귀여운 케이스에 원터치형이라 손쉽게 열고 닫을수 잇어요 ], 긍정 텍스트 확률 : 73.76%"
"[또다시 리필할 수 있어서정말 좋은 물티슈 케이스 깜직한 헬로키티 케릭터 모양에소유욕을 자극해요 ], 긍정 텍스트 확률 : 66.97%"
"[ 실제로 야외 외출시에나 물티슈를 너무 무겁게 가지고다니지 않아서 간편하고 좋아서 비데물티슈추천해요 ], 긍정 텍스트 확률 : 95.07%"
"[ 비데물티슈추천 헬로키티 비데물티슈 제품 바로가기 ..?..? ], 긍정 텍스트 확률 : 79.58%"
"[ 팬티기저귀 헬로키티컴포트핏유 귀엽고 좋아요 ], 긍정 텍스트 확률 : 95.28%"
"[우리 아가], 긍정 텍스트 확률 : 70.32%"
"[배변훈련 하고는 있지만 밤기저귀 떼기는 넘 힘드네요.그래서 여전히 팬티기저귀 계속 끊이지 않게 구비하고 있어요.요즘 옷 스타일], 긍정 텍스트 확률 : 93.54%"
"[캐릭터빨로 고르긴 했지만기본적으로 아기에게 편하고 좋은 제품이어야겠죠?피부자극 테스트도], 긍정 텍스트 확률 : 81.88%"
"[미생물 검사까지 완료되어서우선 안심되더라구요 ], 긍정 텍스트 확률 : 63.12%"
"[헬로키티 컴포트핏유 팬티기저귀는들고 다니기 너무 좋게 손잡이도 있어요. ], 긍정 텍스트 확률 : 86.33%"
"[ 우리 아가는 .로사이즈], 긍정 텍스트 확률 : 51.20%"
"[권장 사이즈 사용해요.물론 권장사이즈예요아기들마다 허벅지 사이즈와 체형에 따라 사이즈는 맞춰 사용하세요저는 팬티기저귀 사용중인데제품은 팬티형과 테이프형 두 가지가 있어요. ], 긍정 텍스트 확률 : 89.51%"
"[대변 했을 때 무거워서 처짐 방지도 되고처짐 방지 되니 자연스레 착용감도 좋아지는이중 응가밴드구조예요.특이성 밑에서 사진 하나씩 다시 보여줄게요 ], 긍정 텍스트 확률 : 73.98%"
"[ 요 제품은 제 사이즈 입혀도 불편 해 보이지 않더라구요. ], 긍정 텍스트 확률 : 59.38%"
"[ 타입의 두 가지 디자인이 들어 있어요. ], 긍정 텍스트 확률 : 51.00%"
"[ 요 부분이 특히 넓더라구요.넓어서 더 새지 않게 잘 잡아줘요. ], 긍정 텍스트 확률 : 84.13%"
"[팬티기저귀라 안쪽도 보고 싶어서 뜯어보았어요. ], 긍정 텍스트 확률 : 57.21%"
"[요 폭이 꽤 넓직한거 같아요.셔링부분도 충분히 넓구요. ], 긍정 텍스트 확률 : 95.28%"
"[그리고 전체적으로 꽤 길다 느껴졌는데 정말인가봐요.쫙물론 힘껏 늘렸더니], 긍정 텍스트 확률 : 81.32%"
"[약나와요. ], 긍정 텍스트 확률 : 56.29%"
"[더블공기층에 에어커버 기능으로통기성도 좋아요.그리고 이렇게엠보싱으로 되어 있어서소변보고 났을 때 겉면이 떠서 따로 놀지도 않아요. ], 긍정 텍스트 확률 : 72.81%"
"[아가들이 소변 보는 양은충분히 순간흡수도 좋아요. ], 긍정 텍스트 확률 : 94.46%"
"[안쪽 허벅지부터 엉덩이까지 좋아요. ], 긍정 텍스트 확률 : 83.69%"
"[이쪽 저쪽 으쌰으쌰헬로키티 디자인이라 아기도 넘 맘에 들어해서신남의 발짓이예요.ㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 95.53%"
"[ 엉덩이 크게 잡아주는게 진짜 맘에 들어요. ], 긍정 텍스트 확률 : 73.24%"
"[ 엉덩이 충분히 잡아줘서 편해 하더라구요. ], 긍정 텍스트 확률 : 83.38%"
"[전체적으로 길이도 넉넉하니허리위까지 올라와요.아기가 누워서 자니까 가끔 밤 소변했을 때엉덩이쪽 잘 새더라구요ㅠ.ㅠ그래서 흡수층이 엉덩이 위 충분히 올라왔음 했는데헬로키티 팬티기저귀는 충분한 길이예요. ], 긍정 텍스트 확률 : 97.29%"
"[스판텍스 허리밴드가 이렇게 탄성이 좋아서아가가 편하겠지요 ], 긍정 텍스트 확률 : 68.74%"
"[ 우리아가에게도 발진없이편하게 딱아이티씨 헬로키티 컴포트핏유 팬티기저귀예요. ], 긍정 텍스트 확률 : 56.67%"
"[본 제품은 아이티씨에서 제품만을 무상으로 제공받고 직접 사용 후 작성 된 후기입니다. ], 긍정 텍스트 확률 : 64.39%"
"[ 아기기저귀추천 피부에 자극 없는 제품을 선택해요 ], 긍정 텍스트 확률 : 79.99%"
"[ 안녕하세요.나이가들면들수록하루하루가너무빨리지나가네요.정말눈깜짝할사이에시간이훅훅지나가는것같아요.그래서하루하루를더욱더소중히여겨야하는이유인것같아요아이가태어나고나서의시간도더빨리지나가는데요아이가하루하루성장하는모습을보니흐뭇하고너무이쁘네요ㅠ얼마전에돌이었는데언제년이라는시간이지났는지아기가건강하게커서감사할따름이랍니다. ], 긍정 텍스트 확률 : 99.99%"
"[ 우리아기가얼마전부터사용하고있는제품이에요맘카페에서아기기저귀추천이있어서후기도꼼꼼히다찾아보니까후기도좋고], 긍정 텍스트 확률 : 99.78%"
"[ 헬로키티아기기저귀는제가제일좋아하는캐릭터인데요.한번사용하는건데이렇게예쁜디자인으로나와있길래디자인도정말예쁘게나온것같죠?ㅋㅋ잘보시면라고보이는부분이있어요눈대중으로만보고앞뒷면을쉽게구별할수있게되어있답니다.무게는일반제품과비교했을때살짝더가벼운듯한느낌이있었어요.재질은확실히부드럽고살랑살랑?거린다고해야할까요?만져보면확실히연한재질이라고느낄수있답니다. ], 긍정 텍스트 확률 : 52.31%"
"[ 이걸사용하면서제일편한건바로소변알림줄이있다는점이였어요.소변알림줄이있어굳이열어보지않고도교체시기를알수가있어서편하더라구요.알림줄이없는제품을사용할때는뜬금없이아이엉덩이뒤를보고그랬는데이제품은그럴필요없이알림줄만보고바로바로체크가가능하여때맞춰갈아줄수있어서위생적으로도좋고냄새도안나고해서편리한기능인것같아요.요알림줄정말작지만이제는없으면정말불편할것같아요ㅠ ], 긍정 텍스트 확률 : 92.46%"
"[ 요안쪽면도역시상당히부드러운재질로되어있었어요.이런재질로만들어져있으니까확실히피부에자극이적어서인지], 긍정 텍스트 확률 : 96.30%"
"[ 이걸로바꾸고나서는애기가잘울지도않고잘착용하고있는모습을보니편하다라는것을느낄수있었어요.그동안많이고생했어울아기ㅠ ], 긍정 텍스트 확률 : 81.37%"
"[ 한가지더장점을말씀드리자면헬로키티기저귀는흡수력이정말좋은데홈페이지에서찾아보니까얇은두께의파워흡수슬림시트?를사용한다고하더라구요그래서인지흡수력이정말좋았어요.많은양의소변을하더라도흡수가쫙쫙잘되니까소변이세어나갈까하는걱정도덜하게되고흡수력에비해두께가얇아서신기하기도하답니다 ], 긍정 텍스트 확률 : 93.56%"
"[ 그리고이중으로넓은응가밴드가있는데요이부분도정말순하고부드러운재질로되어있는데], 긍정 텍스트 확률 : 92.43%"
"[ 이런부분이있어도애가불편함을잘느끼지못하는것같더라구요.용도로는아기가응가를보았을때혹시세어나와도한번더잡아줄수있다고해요특히밤에자고있을때애기가응가를하는경우가있는데샐걱정이없으니얼마나안심스러운지몰라요ㅎ이전에사용했던제품은가끔애기가큰볼일을할때마다옆으로삐직삐직세어나오는일이많았어요ㅠ그때마다이불을몇번이나세탁했었는지], 긍정 텍스트 확률 : 78.20%"
"[ 지금 아기기저귀추천 드리는 키티로바꾸고나서는응가가세어나올일이없어서인지그런일이한번도없었다는사실 ], 긍정 텍스트 확률 : 78.34%"
"[ 완벽한흡수손으로꾹눌러봤는데눌러나오는것도없고흡수력짱짱하구만유아기소변시원하게해도무리없겠어요.예비맘들], 긍정 텍스트 확률 : 76.34%"
"[ 어떤브랜드를고를지고민많으실텐데피부에닿는곳을가장먼저확인하고그다음에는흡수력이좋은제품선택하시는게중요하답니다이거처럼재질과기능성동시에만족한제품이라면더더욱좋구요 ], 긍정 텍스트 확률 : 98.05%"
"[ 아기편하게차고있는모습보이시지요헬로키티케릭터가있어더욱귀엽고아장아장걷는모습보면요즘너무사랑스러워요확실히편해서그런지이전보다활동량이더왕성해진듯한느낌이들긴하지만요ㅎㅎ제품도팬티형이라서쉽게찰수있어서완전편리애기두발넣고쑥올리면끝이랍니다. ], 긍정 텍스트 확률 : 100.00%"
"[ 한번사용해보면정말다른휴지절대못쓰는그런곳이죵저희집도여기꺼제품많이사용하는데품질이정말좋다는인식이있어서그런지이정도의기업에서만든제품이니완전믿음직믿음직 ], 긍정 텍스트 확률 : 82.74%"
"[ 뒷모습너무사랑스럽지요진짜요즘커가는모습보면너무이뻐요좋은제품만고집하는게엄마잖아요우리아이에게좋은음식], 긍정 텍스트 확률 : 99.99%"
"[ 좋은것만해주고싶은것이부모의마음이잖아요.가장어릴때사용하는제품인만큼꼼꼼히체크해야한답니다.지금껏우리아기를키워가면서사용했던제품중정말만족하고있어요아기기저귀추천찾고계시다면꼭참고해보시길바래요아래링크남겨놓을테니한번구경해보셔요홈페이지에서보시면제가설명한것보다더쉽게이해하실수있을거에요ㅠ.ㅠ좋은제품빨리유명해졌으면하네요], 긍정 텍스트 확률 : 99.98%"
"[ 기저귀추천 귀여운 헬로키티 흡수력까지 좋아 ], 긍정 텍스트 확률 : 97.81%"
"[세대 중에 헬로키티 모르는 분 계실까 모르겠어요저 어렸을 적 좀 산다는 집 여자친구들 집에 가면 헬로키티 고양이 인형 하나씩은 있었는데 어린 마음에 그게 참 부럽더라구요세월이 흘러 아기 엄마가 되면서 까먹고 지내다가인스타그램에서 발견한 헬로키티 기저귀추천 글기저귀를 뗄 시기가 다되어가지만 여전히 기저귀유랑족을 면치 못하고 있는 초롱양을 위해서 바로 구입했어요ㅎ ], 긍정 텍스트 확률 : 89.42%"
"[물티슈 심지어 기저귀까지 판매하네요집에서 용변처리할 때는 바로 화장실에 데려가서 물로 씻겨주지만 외출할 때는 비데용물티슈가 필요하길래 기저귀와 함께 비데용물티슈도 겟♬둘 다 귀여운 헬로키티 그림이 그려져 있어서 어린 시절 동심으로 돌아간 듯한 착각에 빠지네요ㅎ ], 긍정 텍스트 확률 : 89.26%"
"[물론 우리 소중한 아이가 사용하는 제품인데 단순히 캐릭터가 마음에 든다고 구입해서는 안되겠죠?두 눈 부릅뜨고 기저귀와 관련된 테스트 검사여부부터 체크체크피부자극테스트 완료], 긍정 텍스트 확률 : 90.16%"
"[심지어 미생물실험실에서 미생물테스트까지 거친다니 믿고 사용할 수 있겠죠본제품부터 포장지], 긍정 텍스트 확률 : 84.31%"
"[이제 개월을 코 앞에 둔 초롱양은 기저귀를 뗄 시기가 점점 가까워져와서 그런가 기저귀를 채울 때마다 이리저리 도망가서 저는 갈아입히기 쉬운 팬티형을 선호하는 편이에요. 그리고 첫째 똘망군을 키우면서 보니 팬티형 기저귀가 익숙해지니 나중에 팬티로 갈아입혔을 때도 혼자 손쉽게 갈아입길래 좋더라구요. ], 긍정 텍스트 확률 : 61.27%"
"[초롱양이 선택한 기저귀는 바로 헬로키티 컴포트핏유 팬티형 특대형 에요남녀공용으로 대형 ], 긍정 텍스트 확률 : 62.42%"
"[특대형 이상이 있어서 현재 인 초롱양의 기저귀를 고를 때 어느 제품으로 해야하나 고민이 되었는데요.ㅠㅠ남다른 허벅지 두께를 가진 초롱양이라서 기존에 다른 기저귀도 모두특대형 제품을 사용한지라 헬로키티 기저귀도 똑같이 주문했어요 ], 긍정 텍스트 확률 : 72.00%"
"[물론 기저귀통기성 에어커버가 공기를 잘 통과시켜서 그런지 멀리서도 초롱양이 대소변 눴다는 냄새가 제 코에 바로 꽂히기에 바로바로 확인이 가능해서 더욱 기저귀 내부가 뽀송뽀송한 것 같아요. 특히], 긍정 텍스트 확률 : 84.21%"
"[무엇보다 아기기저귀추천하는 이유는 바로 이중으로 넓은 응가밴드가 있어 대소변이 샐 틈이 전혀 없다는 거얼마 전에 다른 기저귀를 잘 사용하다가 새로운 기저귀를 찾아 헤맨 이유가 유모차에서 초롱양이 소변을 쌌는데 기저귀 옆으로 새서 엉덩이부분이 축축하게 젖었던 사고가 있었거든요.ㅠㅠ그래서 샐 틈 없는 기저귀로 찾느라 기저귀유랑민 신세였는데], 긍정 텍스트 확률 : 66.12%"
"[최근 시작된 첫 한파로 보일러를 훈훈하게 틀었더니 바지 실종 상태로 기저귀만 차고 온 집안을 활보하는 초롱양ㅠㅠ오빠 공부할 때 조용히 하라고 스케치북이랑 크레파스 주니 신나게 그림을 그리고 조용히 책장 앞에서 책 그림 보면서 놀고 있네요물론 너무 조용해서 찾아보면 기저귀만 차고 밖을 나가겠다고 혼자 현관문 앞에서 신발을 신고 있네요 ], 긍정 텍스트 확률 : 89.36%"
"[새로 바꾼 헬로키티 기저귀가 불편했다면 아마도 기저귀마저 벗고 온 집안을 활보할텐데 그냥 팬티처럼 편안해서 그런지 잘 착용하고 있어요.물론 이곳 저곳 보이는 헬로키티 캐릭터 덕분에 너무 귀여워서 엄마 얼굴에 광대뼈 승천 중ㅎ지금은 겨울이라 집안에서도 가급적 열심히 살들 가리느라 바쁘지만], 긍정 텍스트 확률 : 99.79%"
"[이 포스팅은 업체로부터 제품만 제공받아 실제 사용 후 작성한 후기입니다.], 긍정 텍스트 확률 : 84.35%"
"[ 헬로키티 비데물티슈 두꺼운 물티슈라 사용하기 너무 좋네요 ], 긍정 텍스트 확률 : 84.96%"
"[물에 잘 녹는 물티슈 두꺼운 물티슈 헬로키티 비데물티슈 너무 좋네요 아이가 태어나고 진짜 많이드는 육아용품중 하나가 물티슈인거 가타요 특히나 요즘 지호는 점점 기저귀를 떼려고 하는거 같아요쉬를 하면 기저귀를 아래로 잡아 당기면서 갈아달라는 리액션을 보여주는데], 긍정 텍스트 확률 : 92.59%"
"[ 우수하고 깨끗한 제조시설을 보유하고 있는 곳이예요이곳에서 제작된 헬로키티 비데물티슈 너무 기대되더라고요 ㅋ ], 긍정 텍스트 확률 : 98.34%"
"[비데가 있는 집에서도 비데 사용 후에 다들 물기를 뜨거운 바람으로 말리시는 경우가 있지만], 긍정 텍스트 확률 : 60.10%"
"[ 아직 아기가 사용하기엔 너무 힘든 조작 법이자나요그래서 우리 지호를 위한 두꺼운 비데물티슈를 미리 알아보던중 헬로키티 비데물티슈를 만났어요헬로키티 비데물티슈 케이스도 귀엽고 디자인도 너무 귀엽죠 ㅋㅋㅋ지호가 사용하는 아기물티슈는 물에 잘 녹지않기떄문에변기에 버리면 변기 막힘의 주요원인이 되요 그렇기때문에 꼭 비데전용 물티슈를 사용하셔야해요], 긍정 텍스트 확률 : 89.33%"
"[대형 헬로키티 베디 물티슈에요 귀여운 키티 그림이 그려져있어요. 무난하고 심플한 디자인도 좋지만 이렇게 아기가 좋아하는 그림이 그려져있으면], 긍정 텍스트 확률 : 99.42%"
"[ 간혹 울거나 하는 아이에게 야옹이가 있네 하고 보여주면서 아기의 울음을 멈추게 할 수 있는 스킬을 사용할 수 있어요 ㅋㅋㅋ아기마다 다르지만], 긍정 텍스트 확률 : 88.48%"
"[헬로키티 비데물티슈 매로 물에 잘 풀리는 물에 잘 녹는 비데물티슈예요피부자극 테스트를 완료하였고단계살균 정제수를 사용한 깨끗한 물티슈죠 자연에서 분해되는 원단인 천연펄프와 레이온만으로 만들어진 자연을 생각해준 자연친화적 제품이예요 하지만 물에 잘 녹는다고 많은 양을 넣으시면 안되요 장 정도 적당한 양 사용을 권해요], 긍정 텍스트 확률 : 95.93%"
"[無첨가페녹시에탄올 파라벤튜아이와 함께 사용할 제품이기에 꼼꼼하게 살피게 되는 성분인데요 인체에 유해한 화학성분들이 포함되지 않아서 너무 좋아요 편백잎추출물 ], 긍정 텍스트 확률 : 78.23%"
"[한장씩 쏙쏙 뽑히는 비데물티슈 두툼한 물티슈 보이시나요? 그리고 물티슈에 그려진 귀여운 키티 그림 엠보싱 처리가 된 헬로키티 비데물티슈는요 과하게 물기를 머금고 있지않아서 좋아요정말이지 산뜻하게 사용할 수 있는 적당한 물기 그래서 사용후가 참 마음에 들더라고요 귀여운 키티 그림이 그려진 엠보시의 두꺼운 물티슈 . 헬로키티 비데물티슈], 긍정 텍스트 확률 : 53.96%"
"[큰사이즈의 비데물티슈는 이렇게 케이스에 넣어서 예쁘게 사용할 수 있어요인테리어로도 참 좋은 케이스죠 키티 좋아하는 분들이라면 바로 구매각을 부르지 않을까 싶어요 ㅋ ], 긍정 텍스트 확률 : 89.11%"
"[뚜껑을 닫은 모습 반해버리겠죠 ㅋㅋ 너무 이쁘더라고요 뜨악화장실에 인테리어소품으로도 잘 이용해보려고요 ㅋㅋㅋ뚜겅을 열면 이렇게 비데물티슈한장씩 뽑을 수 있게 되어있어요 ㅋ ], 긍정 텍스트 확률 : 99.07%"
"[비데 사용 후 저는 비데물티슈로 산뜻하게 마무리하고 있습니다. 좋은 성분으로 만들어준 고마운 헬로키티 비데물티슈 우리아기에게도 안심하고 사용할 수 있어서], 긍정 텍스트 확률 : 87.36%"
"[너무 좋아요 . ], 긍정 텍스트 확률 : 95.22%"
"[ 쿠팡 세일정보 세일제품 기저귀 ], 긍정 텍스트 확률 : 65.52%"
"[보신 제품 정보는 쿠팡 물품으로 일시 품절이 될 수 있습니다. ], 긍정 텍스트 확률 : 67.30%"
"[🌟🌟🌟🌟🌟키티 완전 사랑하는데 기저귀라니.... . ], 긍정 텍스트 확률 : 91.42%"
"[⭐⭐⭐⭐이번에도 재구매함 하기스보다부드러움 생각보다 통풍이잘되는거 같음 아직까지발진도 없고 괜찮음 부드러워서촘촘해보이는 감 때문에통풍이 안되는거 같지만잘 쓰고 있음 키티도 이쁘고사용감도 만족하고 있음.... . ], 긍정 텍스트 확률 : 95.69%"
"[ 제조년월일쿠팡상품번호취급방법 및 취급시 주의사항], 긍정 텍스트 확률 : 62.21%"
"[보고 계시는 글은 제휴마케팅 해당 포함된 광고로 일정 커미션을 지급받을 수 있습니다. ], 긍정 텍스트 확률 : 84.95%"
"[으로 판매되고 있습니다. ], 긍정 텍스트 확률 : 61.59%"
"[포스팅 시점의 가격입니다. 구매시 한번 더 확인해 주세요 ], 긍정 텍스트 확률 : 70.54%"
"[해당 상품리뷰는 구매자의 실제 후기입니다. ], 긍정 텍스트 확률 : 58.78%"
"[ 타임 벡셀 알카라인 벌크 건전지 알알 외 개 특가 상품년 월 일 ], 긍정 텍스트 확률 : 53.04%"
"[ 개의 특가 상품이 등록되어 있습니다. ], 긍정 텍스트 확률 : 69.79%"
"[타임 벡셀 알카라인 벌크 건전지 알알 ], 긍정 텍스트 확률 : 70.79%"
"[타임 사조참치 캔증정 해물우동외 종 ], 긍정 텍스트 확률 : 50.83%"
"[무한타임 손흥민의 토트넘신상 트레이닝 상하 세트 ], 긍정 텍스트 확률 : 52.07%"
"[타임 교과서가 재밌어지는 초등 맞춤 동화 교과 연계 ], 긍정 텍스트 확률 : 83.99%"
"[타임 폭풍인기 홈애니 보온보냉텀블러], 긍정 텍스트 확률 : 66.61%"
"[타임 제주 극조생 감귤로얄과중대과 ], 긍정 텍스트 확률 : 51.52%"
"[무료배송 쿠폰존슨앤드존슨 뉴트로지나아비노리스테린 외 브랜드 할인 모음전 ], 긍정 텍스트 확률 : 59.03%"
"[유한킴벌리 좋은느낌 에어핏매직쿠션], 긍정 텍스트 확률 : 85.18%"
"[타임 굿브라더스 링퀴드 포도당부스트× 포 ], 긍정 텍스트 확률 : 92.78%"
"[컬쳐캐쉬 문화상품권 만원권 직접바로 충전 ], 긍정 텍스트 확률 : 54.11%"
"[과일나라 ＋ 세라마이드헤어팩아르간콜라겐 대량함유추가선물까지 ], 긍정 텍스트 확률 : 89.59%"
"[선착순대 크로스오버 무결점 인치 프리미엄 모니터패널 ], 긍정 텍스트 확률 : 61.17%"
"[르샵 블라우스가디건팬츠 외 종 감성가득 시즌 스타일웨어 총집합 ], 긍정 텍스트 확률 : 95.80%"
"[가을생활백서 라템 가성비 만점 아이템 가방지갑 외 잡화 득템전 ], 긍정 텍스트 확률 : 83.95%"
