"[ 하기스와 팸퍼스 기저귀를 겉으로만 보고 비교했을 땐 딱히 차이를 못느꼈는데 유난히 차이가 났던건 바로 허리밴드 부분이다.허리밴드부분이 하기스보다 팸퍼스가훨씬 넓고 크다. ], 긍정 텍스트 확률 : 53.69%"
"[밤이든 걱정없이 편하게 생활하고 있는 중이에요 ], 긍정 텍스트 확률 : 94.06%"
"[ 워낙 부드럽고 흡수력 좋기로 소문난 팸퍼스 스와들러얼마전 출산한 제 지인에게 선물하려고 준비해봤어요이미 둘째맘인 제 육아동지 언니도 신생아부터 쭉 사용하고 있는 기저귀 더라구요확실히 주변에서 많이들 쓰는거보면 국민육아템 맞는거 같아요], 긍정 텍스트 확률 : 96.37%"
"[ 이번에 한층 업그레이드 된 팸퍼스 스와들러는], 긍정 텍스트 확률 : 68.45%"
"[더 부드러워진 저자극 탑시트와 강력하면서도 빠른 흡수력으로 예민한 신생아 피부를 부드럽게 감싸주는 제품이에요. 만져보면 진짜 얇고 보들보들 하더라구요 피부는 보호해주면서 샘 걱정은 줄고], 긍정 텍스트 확률 : 93.80%"
"[등 뒤로 응아도 새고 이불 빨래 하루에 몇번씩 해야되고 그러거든요?ㅠㅠㅋㅋㅋㅋ근데 팸퍼스 스와들러 착용한뒤로 부터는 아무리 뒤척여도 걱정없이 맘편하게 생활한다고 하더라구요 ], 긍정 텍스트 확률 : 73.47%"
"[ 저도 팸퍼스를 쓰고 있지만], 긍정 텍스트 확률 : 61.69%"
"[항상 보면서도 신기해요.이렇게 얇은데 어떻게 흡수력이 저정도지? 싶을정도에요ㅋㅋㅋㅋㅋ 진심사실 그 전까지만해도 나무가 밤에 쉬 많이하면 새진 않더라도 겉의 내복바지가 축축해지는 정도는 늘 겪었던 일이었거든요.근데 팸퍼스 쓰고나서부터는 비슷한 양의 소변을 보더라도 묻어남이 도 없었어요기저귀에 대해서 도 모르는 저희 신랑도 팸퍼스는 진짜 엄지척 해줬답니다 ], 긍정 텍스트 확률 : 84.18%"
"[ 안쪽 면을 보면 구멍이 슝슝슝 나있는게 보이시죠? 이게 바로 하트퀄트 탑시트 인데요.기존 제품보다 배나 더 많은 섬유질이 들어가 더욱 순해졌구요. 만져보면 정말 부드러워요또 ], 긍정 텍스트 확률 : 96.72%"
"[겨울철 날씨에 쓰기 좋은 제품이에요 ], 긍정 텍스트 확률 : 95.98%"
"[ 항상 기저귀를 통해 흡수력을 보여드렸었는데요. 이번에는 팸퍼스의 흡수체만 따로 촬영을 해볼 수 있게 되었어요딴건 몰라도 이 영상은 제발 좀 봐주세요. 진짜.ㅋㅋㅋㅋㅋㅋ이거 보시면 팸퍼스 안쓰실수가 없을껄요?? 저는 눈앞에서 보면서도 넘 신기해서 와], 긍정 텍스트 확률 : 91.59%"
"[ 의 간장물을 담은 그릇에 흡수체를 담가둔뒤], 긍정 텍스트 확률 : 58.49%"
"[흡수력을 촬영한 영상인데], 긍정 텍스트 확률 : 60.94%"
"[정말 눈으로 직접 보셔야해요완전 신세계 입니다아ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 90.82%"
"[ 단 분만에 그 많던 액체가 사르르 흡수 되는거 진짜 너무 신기하지않나요?ㅋㅋㅋㅋ저 이거 테스트 해보면서 스스로 팸퍼스 쓰는거 엄청 뿌듯하고 자랑하고싶고 그랬다니까요ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 69.22%"
"[이번에는 뭉침테스트도 한번 같이 해봤어요의 액체를 붓고 모두 흡수 시킨 뒤], 긍정 텍스트 확률 : 65.80%"
"[기저귀를 마구 잡고 흔들어봤는데요.어느 한쪽으로 치우치거나 뭉치는 모습없이 고루 흡수되어서 소변을 보고 맘껏 움직이더라도 편안한 착용감을 느낄 수 있겠더라구요뭐], 긍정 텍스트 확률 : 66.76%"
"[진짜 보송하게 흡수된거 볼수록 신기해요ㅋㅋ ], 긍정 텍스트 확률 : 58.92%"
"[ 빵빵하게 흡수되었는데도 겉면이 축축해지지 않는다는 점이 제일 좋아요밤기저귀 따로 쓸 필요없이 팸퍼스 스와들러 하나면 하루종일 뽀송하게], 긍정 텍스트 확률 : 72.44%"
"[부드럽게 감싸줄 수 있겠어요 ], 긍정 텍스트 확률 : 69.85%"
"[ 울 겸댕이 유채], 긍정 텍스트 확률 : 90.90%"
"[ 배 부분에 캐릭터 있는 디자인도 넘나 사랑스러운 것신생아는 늘 사랑이지요], 긍정 텍스트 확률 : 99.60%"
"[ ♥밴드부분이 신축성이 좋아서 사용하기 편하구요얇고 가벼운 초슬림 흡수패드와 뛰어난 통기성을 갖춘 에어채널 덕분에 기저귀 안쪽 피부로 신선한 공기가 끊임없이 순환해 쾌적하게 사용할 수 있다고해요 ], 긍정 텍스트 확률 : 98.51%"
"[ 이제 막 배밀이도 시작해서 활동성 최고인 요즘], 긍정 텍스트 확률 : 95.25%"
"[샘 걱정은 더더욱 노노구요ㅋㅋㅋㅋ유채도], 긍정 텍스트 확률 : 90.49%"
"[나무도 예민피부인데 팸퍼스는 정말 부드러워서 대만족하며 사용 중 입니다 ], 긍정 텍스트 확률 : 76.18%"
"[ 팸퍼스의 모든 라인은 라인업과 제조국에 따른 품질차이가 없기 때문에], 긍정 텍스트 확률 : 55.17%"
"[흡수력 모두 갖춰 새롭게 업그레이드 된 팸퍼스 스와들러곧 태어날 아가의 첫 기저귀로 함께 해보시길 바래요], 긍정 텍스트 확률 : 97.26%"
"[ .일단 하기스 .유명하죠?.. 네이처메이드.?매직핏매직핏.?오가닉코튼커버오가닉코튼커버 써봤네요 ..정말 무난 그 자체랄까요? .세개순서대로 좋았어요 ㅎ ..오가닉코튼커버 부들부들 뽀송뽀송좋은데 .가격이 좀 비싸요ㅜ . ], 긍정 텍스트 확률 : 77.78%"
"[ .요렇게 한박스에 두가지 커버인데요 .옆에 커버가 넘 귀엽더라구용ㅋㅋㅋ.제스타일인ㅋㅋ], 긍정 텍스트 확률 : 98.28%"
"[ .소변줄도 이렇게 꽃과 구름 모양으로 변해요 ㅋㅋ.넘나 아기자기 귀여움ㅋㅋ..허나 소변많이보면 .약간 축축한 느낌있을때 있어요? ..그래서 낮 기저귀로 사용중이에요 .낮기저귀는 이거저거 써보고 있네요 ㅎㅎ .담엔 뭘로할지 고민중ㅋㅋ ], 긍정 텍스트 확률 : 99.60%"
"[ .또 팸퍼스는 좋았던게 .소변줄이 매우 직관적이에요 ..노란게 파랗게 변함 ㅎㅎ ..전 개인적으로 직관적이게 딱 알아볼수있는게 좋더라구요 ..또 밴드형은 낮기저귀로 좋고 .팬티는 밤기저귀로 쓰기 좋아서 ..팸퍼스 밴드형도 함 사서 써보려구요 ..이렇게 써보니 팸퍼스추천 포스팅이 된거같네요..ㅋ..세일이나 행사때 사면 장당 원대라 .가격도 나뿌진않은거같아요. .하루에 개 쓰니...ㅎ ..또 좋은 기저귀있음 공유할게요 .혹시 이웃분들도 추천할 기저귀있음 추천해주셔요ㅋ ], 긍정 텍스트 확률 : 100.00%"
"[우리 막둥이가 요즘 한참 걸음마를 시작해서 외출하기 좋은 시기지만 날씨 때문에 집에만 있어야 하니 아쉬울 따름이에요. 이렇게 부쩍 많아진 활동량을 보여주는 막둥이는 자는 시간을 빼고는 정말 부지런히 움직이기 바쁜데요. 이렇게 활동량 부쩍 많아지는 시기에는 기저귀 선택에도 더욱 신경을 쓰게 되는 것 같아요 ], 긍정 텍스트 확률 : 99.95%"
"[ 그래서 저는 이번에도 고민 없이 팸퍼스 베이비드라이 팬티기저귀를 만나봤어요. 얇아진 두께와 더욱 강력해진 흡수력을 자랑하며 활동량 많은 울 막둥이의 편안한 활동을 도와주기 때문에 지난여름부터 야무지게 사용 중이거든요], 긍정 텍스트 확률 : 99.05%"
"[ 이번에 새로워진 팸퍼스 베이비드라이 팬티는 더욱 얇아진 두께와 뛰어난 흡수력을 자랑하는데요. 밑에서 흡수력 테스트도 보여드리겠지만 정말 놀라운 흡수력을 보여주기 때문에 소변량이 부쩍 많아진 우리 막둥이 밤기저귀로도 안심하고 사용 중이에요보통 저희 막둥이는 저녁에 잠들면 시간시간 정도 자기 때문에 그 시간만큼 기저귀를 못 갈아주는데요. 아침에 일어나서 기저귀 갈아주려고 보면 축축한 느낌이 줄어서 확실히 밤기저귀는 흡수력 좋은 제품이 진리란 생각이 들어요 ], 긍정 텍스트 확률 : 99.16%"
"[ 거기에다 디자인까지 정말 귀엽단 사실 단계는 한 팩에 매가 들어 있는데 뜯어서 기저귀함 가득 채워놓을 때마다 얼마나 든든한지 몰라요 ㅎㅎ ], 긍정 텍스트 확률 : 98.12%"
"[뒤로 노란색 소변표시줄이 있어서 갈아줄 때 편하게 체크가 가능하고요. 뒷면에는 테이프가 있어서 사용 후 뒤처리도 편하답니다.접착력이 좋아서 옷 갈아입힐 때 쉽게 떨어지지 않아서 좋더라고요 ], 긍정 텍스트 확률 : 68.37%"
"[ 옆샘 방지 라인 역시 깊고 얇아져서 많은 양의 대소변에도 샘 걱정을 줄여준답니다. ], 긍정 텍스트 확률 : 95.40%"
"[ 그리고 가장 마음에 드는 건 바로 . 까지 얇아진 흡수체가 아닐까 싶어요. 실제로 만져보면 상당히 얇아서 흡수가 잘 될까 싶을 만큼 굉장히 얇은데요.스피드채널이 들어있어서 더욱 빠르게 흡수해 주기 때문에피부를 보송하게 유지해 준단 사실 덕분에 밤기저귀로 야무지게 사용하고 있잖아요 ㅎㅎ ], 긍정 텍스트 확률 : 99.57%"
"[ 저세상 흡수력을 자랑하는 이 모습을 보면 더 이상 말이 필요 없을듯해요. 흡수체가 상당히 얇은데 분 안에 저 많은 양의 액체를 빠르게 흡수하는 모습이 순간 반하게 만들지 모예요 이 모습 보고 나면 밤기저귀는 다른 거 못써요 정말 ㅋㅋ ], 긍정 텍스트 확률 : 99.92%"
"[ 액체를 흡수한 흡수체의 단면을 잘라보면 물기를 한껏 머금은 중 흡수 채널을 확인할 수 있는데요. 이 매직젤은 철저한 안전 기준을 통과했기 때문에 안심하고 사용할 수 있어요 ], 긍정 텍스트 확률 : 82.76%"
"[흡수만 잘 된다고 해서 좋은 기저귀라고 할 수 없죠 그래서뭉침 테스트도 함께 진행해 봤어요. ], 긍정 텍스트 확률 : 86.72%"
"[ 의 액체를 머금고 있음에도 그 어느 곳 한 곳 뭉치거나 쏠려 있지 않는 모습입니다. 캬 이러니 착용감이 좋을 수밖에요 ], 긍정 텍스트 확률 : 99.17%"
"[ 기저귀 갈아주고 나니 세상 신난 울 막둥이 어쩜 이렇게 해맑게 웃을 수가 있죠? 이러니.. 말 짓 하고 엄마를 힘들게 해도 미워할 수가 없다니까요 ], 긍정 텍스트 확률 : 79.91%"
"[ 기저귀 착용한 모습 보면 몸에 꼭 맞게 밀착되어서 편안함 착용감을 제공해 주는 모습이에요.두께도 얇기 때문에 아이의 많은 뒤척임에도 흘러내리거나 한쪽으로 쏠릴 걱정 없는 핏감을 보여주는 것도 매력이라면 매력이겠죠? ], 긍정 텍스트 확률 : 85.29%"
"[ 도 허리밴드와 옆샘방지 라인이 배와 엉덩이에 기분 좋게 밀착되어 아이가 불편함 없이 착용할 수 있기 때문에 기고.. 걷고.. 올라 다니느라 다방면으로 바쁜 울 막둥이 기저귀로 딱인 것 같아요 ], 긍정 텍스트 확률 : 94.53%"
"[ 요즘 데일리로 착용하며 밤기저귀로 더욱 만족스러운 팸퍼스 베이비드라이 팬티기저귀 흡수력에 통기성 좋겠다. 얇아서 활동하기 편하겠다. 더이상 무슨 말이 필요할까 싶은데요 아기 백일선물로 년에도 보송하게 보낼 기저귀추천 겨울철 밤기저귀 고민하고 계시다면 만나보세요. 아기도 엄마도 모두 만족스러울 테니♥참], 긍정 텍스트 확률 : 100.00%"
"[월 부드러운 기저귀로 유명한 스와들러가 더 업그레이드되어 돌아왔다고 하네요 신생아 맘들에게 추천드려야겠어요 ], 긍정 텍스트 확률 : 96.82%"
"[안녕하세요 초코입니다 우리아가들 팬티기저귀 어떤거 사용하시나요?저는 아무래도 첫째부터 쭈욱 사용해온팸퍼스 베이비드라이 팬티 단계를 사용하고 있어요.사실 그 무엇보다 밤새도록 아이가 뒤적이더라도샐 걱정없는 기저귀라 발진 걱정또한 없거든요.쁨이는 개월로 .으로팸퍼스 베이비드라이 팬티 단계를 사용하고있어요. ], 긍정 텍스트 확률 : 72.25%"
"[ 아기 기저귀 추천으로 가장 많이하고엄마들 입소문으로 가장 유명한 제품이기도 하잖아요.저도 첫째아이 밤잠이 늘어나면서밤기저귀로 선택했던 제품이에요.무엇보다 요즘 기저귀 아무거나 사용할수 없는데걱정하던 물질이 나오지 않아서안전한 기저귀로 추천드리고 싶습니다. ], 긍정 텍스트 확률 : 98.43%"
"[기저귀 사용횟수도 줄어들지만한팩당 기저귀 수량도 적어지고 있어요기저귀추천 할 때 늘팬티기저귀는 밴드보다 한치수 더 크게입히시는것을 권장하는데요.아기 몸무게랑 체형을 비교하시어우리아이에게 꼭 맞는 기저귀 사이즈를선택하시는게 가장 중요할꺼 같아요. ], 긍정 텍스트 확률 : 76.09%"
"[ 개월 . 우리쁨이착용해 보았어요.어때요? 이쁜가요?사실 이쁜것보다 아이가 편하고쉬양도 잡아주면 엄마들이 딱 좋아하잖아요 ], 긍정 텍스트 확률 : 66.58%"
"[ 피부에 공기를 더욱 잘 통하게 해주어우수한 통기성으로 발진걱정을 줄여주어요. ], 긍정 텍스트 확률 : 86.60%"
"[ 아이가 늘 이렇게 쩍벌하고 뒤집고 구르고아주 활발한 남자아이같은 여아인데요. ], 긍정 텍스트 확률 : 63.50%"
"[ . 얇아진 두께로발진 걱정은 줄이고 더 편안한 움직임으로아기가 움직이는데 더욱 편해졌어요 ], 긍정 텍스트 확률 : 52.92%"
"[ 움직임이 많아도 아이의 허리를 꽉 잡아줘요하지만 자국이 남지 않아서편안한 밴딩이랍니다. ], 긍정 텍스트 확률 : 67.57%"
"[ 팸퍼스 베이비드라이팬티 흡수력 테스트 영상이에요회 소변량 씩 최대 까지아이의 소변을 쫙 잡아주는최대시간까지그래서 밤기저귀라고 불리는흡수력 갑기저귀랍니다.저는 씩 두컵으로 부었어요아이가 밤새 잘자다가소변양이 많아져서한꺼번에 많은양을 싸더라구요. ], 긍정 텍스트 확률 : 83.95%"
"[ 아이가 밤새 뒤척이지 않고꿀잠을 잘수 있어서 더 좋아요.최대 .배 더 보송보송한꿀잠기저귀로우리아이 꿀잠 프로젝트 시작해보세요 .?기저귀기저귀.?팬티기저귀팬티기저귀.?기저귀추천기저귀추천.?아기백일선물아기백일선물.?팸퍼스베이비드라이팬티단계팸퍼스베이비드라이팬티단계본포스팅은 팸퍼스로부터 경제적대가원고료및제품를 받았으나], 긍정 텍스트 확률 : 82.07%"
"[팸퍼스 베이비드라이뛰어난 흡수력항상 보송보송해요ⓒ글], 긍정 텍스트 확률 : 93.20%"
"[ 이제 가을이 다가온 듯 하면서도집에 있으면 땀을 삐질삐질 머리가 다 젖을만큼땀 흘리는 새복이 덕분에 다시 에어컨틀고 지내요몸에 열이 많은 새복이라 흡수력과 통기성 좋은 팸퍼스 베이비드라이 팬티로 정착해서 신생아부터 개월 입성한 지금까지 꾸준히 사용 중이랍니다 ], 긍정 텍스트 확률 : 86.15%"
"[ 이번 월일에 한층 더 업그레이드 됐다고 해요샐 걱정없고 뛰어난 흡수력을 자랑하는팸퍼스 베이비드라이 팬티 많이 쓰잖아요새복이도 밤에는 무조건 팸퍼스 기저귀로 채우거든요아무래도 개월되니 자기 전에 바꿔 채워주고아침에 새로 갈아주고 엄청나게 묵직하다죠그러면 기본 시간은 채우게 되더라구요 그래도 지금 껏 한번도 샐 걱정한 적이 없어요얼마나 흡수력 좋은지 아묻따 쟁겨야할 육아템 ], 긍정 텍스트 확률 : 97.23%"
"[ 엄마], 긍정 텍스트 확률 : 53.00%"
"[이건 제 기저귀인가요 ?새로운 장난감인가요? 눈 초롱초롱요즘 또 다시 시작된 구내염에 집순이 모드인데기저귀팩 하나로 이렇게 호기심 가득한 눈빛으로 신기한 듯 한참을 가지고 놀더라구요 ], 긍정 텍스트 확률 : 90.78%"
"[ 이번엔 업그레이드 된 스피드 흡수채널덕분에흡수력이 최대배 더 빠르고 강력해졌다고 하네요이번에 제가 흡수력 테스트 해봤는데정말 흡수력이 좋아서 외출해서 자주 갈아주지 못해도 새복이 엉덩이를 보송하게 지켜주니 안심되요], 긍정 텍스트 확률 : 95.63%"
"[ 우리 아기 시원하게 소변 해결했는지확인 할 수 있는 소변 표시줄도 있구요], 긍정 텍스트 확률 : 88.83%"
"[ 스피드 흡수채널이최대배 더 빨라져서 한쪽으로뭉치거나 처짐 걱정없이 골고루 퍼지면서 빠르게 흡수되요새복이도 묵직해진 기저귀 입고 다녀도찝찝하지 않은지 평소처럼 잘 놀더라구요 묵직해진 팸퍼스 베이비드라이 팬티기저귀를 보고놀란 맘에 후다닥 갈아 입혔는데 정말 아기엉덩이가 보송해서 한번 더 놀랐어요흡수력은 정말 엄지척 ★★ ], 긍정 텍스트 확률 : 80.74%"
"[ 한번에을 가득 붓고 흡수되는 걸 기다렸는데요정말 분 지나니 말끔히 흡수 되더라구요휴지로 닦아도 묻어나지 않구요 그리고 다시 한번 더가득 부었더니빠르게 흡수되는 모습을 볼 수 있어요시간 채워도 걱정없구나 새삼 느꼈지요흡수력 좋은 기저귀로 인정 ★★ ], 긍정 텍스트 확률 : 94.96%"
"[ 흡수력 테스트가 끝나고 팸퍼스 베이비드라이 팬티기저귀 단면을 잘라보았는데요스피드 흡수채널도 눈에 띄고 많은 양을 빠르게 흡수시켜주는 매직젤 알갱이도확인할 수 있었답니다 팸퍼스 베이비드라이 팬티가 흡수력 좋다는 건알고 있었지만 직접 눈으로 확인하니까 더 믿음이 가고 새복이 엉덩이도 보송하게 지켜준다 생각드니까앞으로도 고민없이 새복이 데일리기저귀는 팸퍼스 베이비드라이로 정착하려구요], 긍정 텍스트 확률 : 56.23%"
"[ 주변에서 팬티기저귀는 언제부터 입혀요?많이 물어보고 궁금해하더라구요전 새복이가 활동성이 많아지고 뒤집고 기어다니기 시작할 때부터 입혔던 거 같아요그때 바지처럼 입힐 수 있는 팬티기저귀로 바꾸면훨씬 편하게 기저귀 갈아줄 수 있답니다요즘은 팬티 기저귀도 입히기 힘들만큼 에너지 넘치고 움직이는 걸 좋아하는 아기에요], 긍정 텍스트 확률 : 89.90%"
"[ 이렇게 멀리서도 엄마보고 엄청 빠른 속도로엉금엉금 기어온답니다 ㅎㅎ걷는걸 좋아하지만 빨리오고 싶을 때 기어오더라구요맘처럼 몸이 안움직이는 새복양요즘 활동성이 많아지니 팸퍼스 베이비드라이 팬티기저귀 입고땀흘리며 이리저리 움직이며 놀아도 통기성 좋고 흡수력 뛰어나니까 발진 걱정없어요], 긍정 텍스트 확률 : 99.91%"
"[ 여름엔 역시 기저귀샷이 필수라죠 요즘 감기기운이 있는거 같아 꽁꽁 싸매 듯이긴팔 입혔더니 더워해서 팸퍼스 베이비드라이팬티만 입혀두고 놀았답니다 ㅎㅎ많은 기저귀 브랜드 사용해봤지만팸퍼스로 정착한 건 역시나 뛰어난 흡수력그리고 파우더 향기가 솔솔 나니까 외출해서도 대소변 냄새 걱정없어서 좋더라구요], 긍정 텍스트 확률 : 76.30%"
"[ 밴드 신축성도 부드럽고 짱짱해서 좋아요 ㅎㅎ저희 신랑도 기저귀 갈다가 쭉쭉잘 늘어나서 놀라더라구요 요즘 간식], 긍정 텍스트 확률 : 99.23%"
"[떡뻥 먹고나면 귀엽게 똥배가 한가득 나오는데혹시나 배쫄릴까 하는 걱정없이 입힐 수 있어요 ], 긍정 텍스트 확률 : 51.68%"
"[ 여자아기라고 앉는 포즈도 엄청 다소곳어릴땐 몰랐는데 요즘 하는 행동보면 정말 여자스러운 게 많아요 애교도 많이 부리고 귀엽지만 떼쓰기도 엄청 잘 한답니다ㅎㅎㅎㅎ ], 긍정 텍스트 확률 : 99.26%"
"[응가싸면 더 많이 쓰지만신생아 때 비하면 정말 사용하는 양 많이 줄었죠기저귀 갈아주는 주기가 확실히 길어졌는데흡수력과 통기성이 좋아진 팸퍼스 베이비드라이 팬티사용한 후로는 더 오래 채우기도 했답니다그래도 언제나 보송한 새복이 엉덩이 ♪이것이 팸퍼스 베이비드라이 팬티기저귀 추천하는 이유라죠 ], 긍정 텍스트 확률 : 95.53%"
"[ 기저귀 갈고 다시 놀이시간언제나 화이팅 넘치게 다시 놀아야지요활동성이 많아지니 팬티기저귀는 필수 ], 긍정 텍스트 확률 : 96.68%"
"[ 갈아줄 땐 옆 절개라인을 쭉 찢어주면 간단하답니다 ㅎㅎ한번에 슝 잘 뜯겨요 ], 긍정 텍스트 확률 : 65.40%"
"[ 시원하게 싼 우리 새복이 기저귀 보니모유먹는 새복이가 오늘도 배부르게 든든히 잘 먹었구나 생각들더라구요 ], 긍정 텍스트 확률 : 93.93%"
"[안녕하세요. 준뽀리입니다. 저희집 썬더군은 고맙게도 태어났을 때 부터 지금까지한 번도.?기저귀기저귀 발진이 없었는데요.그래서 다양한 기저귀를 사용해 보고엄마 마음에 드는 걸로 고르기 좋았던 것 같아요.제 마음의 원픽은 바로바로.?팸퍼스팸퍼스 스와들러 보송보송하고 부드러운 기저귀라 피부에 자극도 없고은은하게 나는 파우더향이 좋더라구요.개월부터 쭉 사용하고 있는 팸퍼스 기저귀지금부터 소개해 볼게요. ], 긍정 텍스트 확률 : 98.32%"
"[ 또 팸퍼스 스와들러는 알로에 에센스가 함유된 로션과미국 소나무에서 추출한 펄프가민감했던 아기피부를 진정시켜 주어요.정말 썬더는 팸퍼스 스와들러를 사용하고한 번도 발진이 없었어요.그만큼 편하고 부드러운 기저귀인거죠.미국 병원 판매율 위가 팸퍼스 기저귀라는데그럼 말 다한거죠. ㅎㅎㅎㅎㅎ 정말 굿이에용. ], 긍정 텍스트 확률 : 64.95%"
"[ 썬더는 아직 밴드기저귀를 사용하는데허벅지 부분의 신축성도 중요하잖아요.너무 꼭 끼면 활동성 많은 아이들의 경우쓸리기도 해서 피부가 붉어지니까요.팸퍼스 스와들러는 쭉쭉 잘 늘어나기도 하고원단 자체가 부드러워서 좋았어요. ], 긍정 텍스트 확률 : 93.37%"
"[ 요즘 아주 집 안에서 지구 한 바퀴 거리 정도는돌지 않나 싶을 정도로 움직이는 썬더...ㅎㅎ아무리 많이 돌아다녀도 팸퍼스 스와들러니까안심하고 채울 수 있었어요 ], 긍정 텍스트 확률 : 52.29%"
"[ 순하고 부드러운 팸퍼스 스와들러 ♥︎누구보다 소중한 우리 아기에게꼭 맞는 기저귀라서 만족하며 사용중이에요 ], 긍정 텍스트 확률 : 97.75%"
"[ 본 포스팅은 팸퍼스로부터 제품을 무상으로 지원받아 작성 되었습니다. ], 긍정 텍스트 확률 : 55.31%"
"[ 이 제품은 미국에서는 이미 인증된 제품인것 같아요.미국 병원 판매율 위인 제품이라고 하더라구요. ], 긍정 텍스트 확률 : 83.93%"
"[ 그리고 중 흡수채널로 최대 시간 흡수하구 용변이 빠르고 고루 퍼져서 아이에게 좋을것 같아 써보았는데요.정말 기대 이상인 제품인것 같아요 ], 긍정 텍스트 확률 : 85.06%"
"[ 우선 디자인이 깔끔해요.고양이의 귀여운 캐릭터가 그려져있구요.소변줄이 있는데 지금은 노란색이지만 아이가 소변을 보면 녹색으로 바뀌어서 엄마가 알아채기가 쉽겠더라구요거기다 얇고 가벼운 초슬림 흡수패드라 여름에 쓰기 딱이예요 ], 긍정 텍스트 확률 : 89.25%"
"[ 우리 아기가 크긴 컸나봐요 ㅎㅎㅎ기저귀가 정말 길어서 깜짝놀랬네요.하기스보다 팸퍼스 기저귀가 길이가 더 길어진 느낌이예요. ], 긍정 텍스트 확률 : 62.18%"
"[ 밴드 부분도 정말 부드러웠는데요.가끔 기저귀중에 밴드부분이 거칠어서 아이 피부가 빨개지는 제품도 있던데이 제품은 면소재인것 같은 느낌이 ㅎㅎ부드럽고 저 밴딩 부분이 아이피부에 닿아도 부드러워서 상처가 날것 같지 않았구요.쉽게 늘어나니 아이가 움직임에 불편함을 느낄것 같다 라는 생각이 들지 않았어요. ], 긍정 텍스트 확률 : 95.26%"
"[년동안 돌고돌고돌아 만난 인생기저귀팸퍼스 스와들러 ], 긍정 텍스트 확률 : 61.99%"
"[에어채널과 얇은 두께로 통풍이 잘 되어서부드러운 엉덩이를 유지해줄 수 있다고 해요하트모양의 퀼팅 패드는 팸퍼스 제품 중 가장 부드러운 탑시트로 예민하고 연약한 아기피부를 보송하게 지켜줘요소변표시줄은 신생아용부터 기저귀를 뗄 때까지의 단계까지 모두 적용], 긍정 텍스트 확률 : 88.19%"
"[ 녹색으로 색이 변하면 기저귀 교체시기를 잊은 엄마에게 알림이 되죠], 긍정 텍스트 확률 : 77.50%"
"[ 팸퍼스 스와들러 탑시는 정말 부드르르르르마치 면과 실크가 믹스되어 있는 듯한 느낌이예요매직아이하면 볼 수 있는 하트모양ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그리고 탑시트의 홀은 통풍을 잘 되게 도와줘서하루종일 뽀송한 아기엉덩이를 유지할 수 있을 것 같아요 ], 긍정 텍스트 확률 : 96.18%"
"[ 딱풀이 그저께부터 열이 나서... ㅠㅠ평소와는 달리 매우 조용조용 얌전얌전 ㅠㅠ조금만 움직여도 힘든지 수시로 엎드려 있더라구요 ㅠㅠ ], 긍정 텍스트 확률 : 77.07%"
"[코감기라고해서 약 받아 왔는데더 심해져서 오늘 또 가서 항생제 먹였더니 좀 낫네요.. ], 긍정 텍스트 확률 : 68.37%"
"[ 근데.. 아픈아가 맞니? ], 긍정 텍스트 확률 : 52.63%"
"[ 기저귀가 편한지 아픈데도 소파 위에 올라가서 바다구경 열씨미 했어요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ팸퍼스 스와들러를 사용한지 오래되지는 않았지만우선 흡수력이 좋아요그런데 제가 써봤던 크루즈], 긍정 텍스트 확률 : 77.22%"
"[ 저는 탑맘이라는 해외직구사이트를 이용했어요탑맘이라는 이름에서 알 수있듯이 요 사이트는 분유나 기저귀 등 육아용품직구 사이트에요직구라고하면 무조건 어렵다고 생각하시는 분들이 많은데탑맘은 그냥 한국사이트처럼 한국어로 다 되어있어서 어려운 것 없이 하지만 직구가격으로 구매가 가능해요 .... ], 긍정 텍스트 확률 : 64.65%"
"[ 필요하신분은 들어가보세요 ㅋㅋ 저처럼 직구족들... 어서 ㄱㄱ그래도 나는 모르겠다 하시는 분들을 위해서 일단 회원가입부터 알려드릴게요], 긍정 텍스트 확률 : 93.34%"
"[ 일단 오른쪽상단에 회원가입이라고 되어있는 부분을 클릭하면 제가 보여드린 화면이 나와요 거기서 제가 체크해둔 부분 동의합니다를 선택합니다.물론 동의 하지않으셔도되요 그러면 뭐 가입이안되겠지요 ㅋㅋㅋ필수는 동의 해주셔야 하는 부분이에요 ㅎㅎ 이거는 다른 사이트 가입할 때도 마찬가지죠 ㅋㅋ ], 긍정 텍스트 확률 : 78.71%"
"[이상이면 무료배송이에요 기저귀하나 사도 삼만원은 그냥 넘기 때문에... 솔직히 아기용품 사면서는 무료배송이다 라고 전 생각해요 ㅋㅋ 구매하기 혹은 장바구니를 눌러줍니다하나 구매하실 생각아니면 장바구니에 쌓아서 한번에 결제하시면 되겠지요 ], 긍정 텍스트 확률 : 93.09%"
"[ 게다가 요런 포인트제도도 있어서모아서 탑맘내에서 사용도 가능해요 ], 긍정 텍스트 확률 : 50.27%"
