"[ 평가표도 있어서각각 써본 후 정리해서 비교해보기 좋을것 같더라구요 ], 긍정 텍스트 확률 : 81.73%"
"[싸면 바로 바꿔줬으니까.하루하루 먹는양과 활동량이 늘어나면서 자연스레 소변과 대변도 늘었는데 이때부터 보솜이기저귀 보솜이리얼코튼을 사용하기 시작했다. ], 긍정 텍스트 확률 : 84.35%"
"[ 침대 한켠에 준비된 보솜이기저귀 보솜이리얼코튼신생아기저귀임을 알수있도록 가 바로 보인다.알록달록하진않지만 잔잔한 무늬가 그려져있다.초보맘이 기저귀디자인을 감상할 여유는 없다.꽃이 있는것도 후기포스팅 쓰는 지금 알았다. ], 긍정 텍스트 확률 : 81.45%"
"[ 보솜이기저귀 앞면과 뒷면 모두 노란줄이 있다.처음엔 기저귀 보고 쌌는지 안쌌는지 확인했는데어느날 저 줄 원래도 파란색이었나? 싶어서 보니소변 보면 색깔이 변한다는 것을 그제야 알았다.그래서 이젠 기저귀 열지않고 소변줄보고 안다. ], 긍정 텍스트 확률 : 71.64%"
"[ 사타구니부분도 제법 부드럽고 견고하다.이때문인지 한번도 샌적이 없다.소변을 한가득봐서 기저귀가 묵직한데도 새지않은것을 보고 보솜이기저귀 괜찮구나 하는 생각이 들었다.그저 무언가 새지않는것에 감사한.?초보맘초보맘.?신생아맘신생아맘.?육아맘육아맘 이다. ], 긍정 텍스트 확률 : 67.05%"
"[.지역 맘카페.?줌마렐라줌마렐라 에서.?슈베스기저귀슈베스기저귀.?체험단모집체험단모집 이벤트를 하길래 바로 신청 했는데 재수좋게 당첨 됐어용 ], 긍정 텍스트 확률 : 64.87%"
"[ .그렇게 집으로 배송온.?슈베스슈베스 노블레스.?밴드기저귀밴드기저귀], 긍정 텍스트 확률 : 54.03%"
"[ .이.?땡땡이무늬땡땡이무늬 너무 귀여운거 아닌가요 ], 긍정 텍스트 확률 : 79.46%"
"[ .이건 너무 사랑스럽잖아요. ], 긍정 텍스트 확률 : 96.03%"
"[ .심지어 밴드부분.?캐릭터캐릭터 까지 있어요 .하... 너무 귀여워], 긍정 텍스트 확률 : 91.82%"
"[ .뒷면도.?땡땡이땡땡이 ], 긍정 텍스트 확률 : 51.17%"
"[ .속은.?오가닉오가닉 제품처럼 엄청 부들부들하네요. ], 긍정 텍스트 확률 : 80.16%"
"[ .윤제가 쓰고 있는 가지 종류의.?기저귀기저귀 예요. .?군기저귀군기저귀.?메리즈기저귀메리즈기저귀.?페넬로페기저귀페넬로페기저귀 이번에 체험단으로 받은.?슈베스기저귀슈베스기저귀.디자인은 개인적으로.?슈베스슈베스 가 제일 귀엽네요 .땡땡이라니 하앗... ], 긍정 텍스트 확률 : 89.38%"
"[ .개인적으로 봤을땐 기저귀 샘방지선이 높은순은..페넬로페슈베스메리즈군 순위 인것같아요..두께를 비교하면 ], 긍정 텍스트 확률 : 50.10%"
"[ ...개인적으로 흡수력과 기저귀 길이는 페넬로페가 제일 좋은것같고.부드러운 오가닉제품의부들부들한 기저귀를 좋아하신다면 슈베스를 추천해드립니당.슈베스가 부드러워서.?기저귀발진은기저귀발진은 훨씬 덜 일어날것 같아요.. .?슈베스슈베스.?기저귀기저귀.?슈베스기저귀슈베스기저귀.?신생아기저귀신생아기저귀.?밤기저귀밤기저귀.?밤기저귀추천밤기저귀추천.?기저귀추천기저귀추천.?흡수력좋은기저귀흡수력좋은기저귀.?아기아기.?육아용품육아용품.?육아용품추천육아용품추천.?출산용품출산용품.?육아맘육아맘.?육아템빨육아템빨.?육아는장비빨육아는장비빨.?밴드기저귀밴드기저귀.?기저귀후기기저귀후기.?안전한기저귀안전한기저귀.?기저귀발진기저귀발진.?슈퍼베이비스슈퍼베이비스 .. ], 긍정 텍스트 확률 : 87.19%"
"[ ..기저귀 안쪽을 보니 물방울 무늬의 .강력한 흡수코어가 가볍지만 확실하게 내용물을 꽉 잡아주는 .표물러로 되어 있더라구요💕 ], 긍정 텍스트 확률 : 61.62%"
"[ .. 오로라기저귀사용 후 변화.. 강력한 흡수력으로 .기저귀 교체 횟수가 줄었다... 땀이나 배설물로 인한 .발진과 불쾌감이 줄어 찡얼거림이 줄었다... 옆날개가 커서 새지 않는다. ..부드러운 감촉으로 활동이 자유롭다. .. .?오로라기저귀오로라기저귀.?오로라스킨핏오로라스킨핏.?신생아기저귀신생아기저귀.?밴드기저귀밴드기저귀.?팬티기저귀팬티기저귀.?추천기저귀추천기저귀.?미국기저귀미국기저귀.?맘스홀릭베이비맘스홀릭베이비. .?맘스클럽맘스클럽.?엉덩이발진엉덩이발진.?체험단후기체험단후기.?기저귀추천기저귀추천. ], 긍정 텍스트 확률 : 85.43%"
"[안녕하세요?오늘로 일 된 말썽꾸러기 달콩이 엄마예요ㅎ요 녀석이 이쁘기도 하지만점점 손이 많이 가요ㅋㅋ ], 긍정 텍스트 확률 : 98.71%"
"[ 육아전쟁을 겪으며 그동안에 블로그를 손을 놨어요ㅎㅎ최근에 심통 난 사진 한 장 올리면서 시작해볼께용 ], 긍정 텍스트 확률 : 98.18%"
"[ 얼마 전 강남엄마목동 엄마 맘 카페에서 하기스 네이처메이드 오가닉 기저귀샘플 테스트 이벤트를 진행했어요기대 없이 신청했는데 당첨이 되어서 감사한 마음에 후기를 올리려고오랜만에 컴퓨터 앞에 앉았어요ㅎ지금 새벽 시 분 이용ㅋ ], 긍정 텍스트 확률 : 100.00%"
"[ 옆에는 하기스 매직팬티 컴포트도 장 보내주셔서 비교샷 올려봤어요 ], 긍정 텍스트 확률 : 83.63%"
"[ 보통 기저귀가 왼쪽 스타일이 많은데오른쪽에 하기스 네이처메이드 오가닉 기저귀는무늬가 뱀부 스타일 같더라고요역시 비싼 건 달라ㅠㅠ ], 긍정 텍스트 확률 : 59.54%"
"[ 하기스 매직팬티 컴포트하기스 네이처메이드 오가닉 기저귀자세히 보실 수 있게 확대사진 한 장 올리고요저는 원래도 하기스 마니아예요특히나 밤 기저귀로 유명한하기스 맥스 드라이 기저귀이건 너무나도 유명하고요ᄏ ], 긍정 텍스트 확률 : 96.04%"
"[ 앗 적나라한 저희 아가 쉬야 사진 쿨럭사실대로 쓰려다 보니.. 그대로 올려요귀엽게 봐주세요 ], 긍정 텍스트 확률 : 91.57%"
"[ 기저귀 한 장 값 계산하면서 핫딜 뜰 때만 기다리는 엄마로써아침마다 시야로 벽돌이 된 기저귀를 볼 때면 엄청 뿌듯해요ㅋ잘한다내 새끼 ], 긍정 텍스트 확률 : 87.55%"
"[ 역시나... 사실적으로 쓰려고 쉬야 사진이 그대로 노출되었어요여자라서 앞쪽으로만 모이죠 ], 긍정 텍스트 확률 : 86.51%"
"[ 하기스 네이처메이드 오가닉 기저귀로 입혀줬더니기분이 최고였는지.......발도 잡고아주아주 신났더랬어요ㅎㅎ ], 긍정 텍스트 확률 : 92.68%"
"[ 하기스 샘플링 이벤트로 제품을 무상 지원받아 작성된 후기입니다. ], 긍정 텍스트 확률 : 51.85%"
"[ 아이의 개월수와 각 키로수에 맞게 단계를 선택하세요.예서가 워낙 작게 .에 태어나서 개월간 거의 모든 단계의 기저귀를 써본것 같아요. 신생아용도 컸던 쪼꼬미 시절이 있었는데 벌써 단계라니 저만의단계 선택 팁 은 아기 개월수에 맞는 기저귀를 선택하기 보다는키로수], 긍정 텍스트 확률 : 64.59%"
"[특히 앞자리에 맞추는 편이에요.예 현재 .인 우리아가소형 중형 이렇게 쓰여있으면? 아기가 일때 양쪽 다 해당되니까 엄청 고민이거든요. 신생아시절 그러므로 이렇게소형일때 선택중형일때 선택시작 하는 키로수에 가까운 단계를 선택하세요. 예서에게 소형을 입히면 너무 따악 맞고], 긍정 텍스트 확률 : 99.38%"
"[ 에어 브리즈홀 안커버 개 이상의 에어 브리즈 홀이 기저귀 안의 습기를 밖으로 빼내주어 항상 보송보송 상쾌.소변후 기저귀가 꽉차서 아기가 찝찝하지 않게 통풍기능이 잘 되면 좋겠네요 ], 긍정 텍스트 확률 : 73.03%"
"[ ... 즉 한달반 전에 만들어졌네요. 싱싱함ㅋ ], 긍정 텍스트 확률 : 55.69%"
"[ 오픈선이 있어요], 긍정 텍스트 확률 : 59.88%"
"[ 찐핑크 땡땡이지그재그 패턴기저귀 치고 독특ㅎㅎㅎ ], 긍정 텍스트 확률 : 77.66%"
"[ 앞에 숫자는 밴드붙일 때 양쪽 대칭을 맞추고], 긍정 텍스트 확률 : 56.69%"
"[ 여아용 기저귀의 특징 파란 흡수존이 가운데에 있어요마미포코도 여러버젼이 있는데 보송허그라서 그런지 내부가 정말 보송보송 ], 긍정 텍스트 확률 : 82.23%"
"[ 마미포코의 특징중 하나인 내부의 높은 샘방지거의 손가락 마디정도 요거 진짜 중요해요. 소변보다 대변 막아주는게 진짜 필수 ], 긍정 텍스트 확률 : 81.58%"
"[ 앞. 요즘 아기가 뒤집기를 시작해서 어찌나 바쁘신지ㅋ ], 긍정 텍스트 확률 : 56.53%"
"[ 옆 밴드 충분히 넓구요 ], 긍정 텍스트 확률 : 86.67%"
"[ 푹 간밤에자고 일어나 소변량 충분히 가득하면 이렇게 앞까지도 찐한 파랑색 소변줄이 나타나요 ], 긍정 텍스트 확률 : 96.40%"
"[저희 아가는 신생아때부터 기저귀발진이 종종 생겨서... 기저귀 선택하는데 있어서 신중에 신중을 더해 기저귀를 선택하고 있습니다. 마트에서 기저귀를 갈다가디자인이 너무 예쁜 기저귀 를 보았습니다. 찾아보니 그것은 바로 슈베스 기저귀 후기를 찾아보고 육아선배들에게 물어보고], 긍정 텍스트 확률 : 80.00%"
"[슈베스에 대해 사전조사를 하던중 체험단이라는 좋은 기회로 슈퍼슬림핏을 사용해 보았습니다. ], 긍정 텍스트 확률 : 72.05%"
"[ 제가 사용해본 기저귀는 팬티형 슈퍼슬림 특대형 바로 하늘색 요아이 입니다. 하늘색 바탕에 흰색 땡땡이 무늬가 어찌나 앙증맞지 않나요? ㅎㅎ ], 긍정 텍스트 확률 : 87.86%"
"[소변을 번 본 후의 기저귀여도 밑으로 축 쳐지는 느낌은 없었습니다. 기존에 사용하던 타사 기저귀는 가랑이 부분이 축 처지는것만 보아도 기저귀 교환할 시기를 알려주는데 슈베스 슈퍼슬림은뛰어난 흡수력 이으로 처짐은 못느끼겠네요. 그래서 밤기저귀용으로도 추천합니다 대신 소변알림선으로 기저귀 교환시점을 알 수 있답니다. ], 긍정 텍스트 확률 : 65.56%"
"[생식기에 하루종이 닿아 있는 부분이라 안전한 제품을 사용해야함은 물론입니다. 기저귀 브랜드를 바꾸면 발진이 생길가 걱정이 되었는데], 긍정 텍스트 확률 : 61.19%"
"[이틀째 슈베스를 사용해본 결과 아무런문제가 없습니다. 기저귀 갈아타기 성공입니다 본 후기는 슈베스로부터 제품을 무상 지원받아 작성한 후기입니다..?슬림기저귀슬림기저귀.?발진없는기저귀발진없는기저귀.?밤기저귀밤기저귀.?여름기저귀여름기저귀 ], 긍정 텍스트 확률 : 51.15%"
"[ 좋아요 기저귀 자체 무게가 가벼움 재질이 부드러움 대퇴부쪽 고무줄이 탄력성이 있어 잘 새지 않음 캐릭터 라인과 일반 무늬 라인으로 구분되어 있음 아쉬워요타 기저귀에 비해 사이즈가 딱 맞거나 조금 작은 편이므로 이라고 해도 실제 에게는 작을 수 있음 지극히 개인적인 의견임을 밝힙니다 .?케이맘처음기저귀케이맘처음기저귀케이맘.?기저귀기저귀.?신생아기저귀신생아기저귀.?.?.? ], 긍정 텍스트 확률 : 98.51%"
"[ 하기스에서 년에 리뉴얼된 에어솔솔 섬머에요.밴드형 사이즈입니다. ], 긍정 텍스트 확률 : 69.42%"
"[소변선이 있어서 아기가 소변을 보면 노란색이었다가 푸른색으로 변해요.허리에는 양쪽으로 그림 개가 있는데 양쪽 밴드 위치 맞추도록 되어있어요. ], 긍정 텍스트 확률 : 60.05%"
"[ 펼치면 내부가 하얗고 줄무늬형태의 라인이 보여요.보들보들하고 펼칠때도 부드러운 느낌이에요. ], 긍정 텍스트 확률 : 86.84%"
"[ 하기스 매직핏 밴드형 단계 입니다.에어솔솔 섬머 사이즈랑 단계가 같아요. ], 긍정 텍스트 확률 : 80.02%"
"[소변선이 있어서 노랑파랑으로 변해서 알려줘요. ], 긍정 텍스트 확률 : 73.41%"
"[ 다 펼치면 내부가 하얗고 허리밴드가 민트색이에요.내부 무늬는 에어솔솔과 다르게 물결무늬입니다.저 물결무늬가 초고속흡수트랙이래요.부드러움도 두께도 에어솔솔 섬머와 비슷해요. ], 긍정 텍스트 확률 : 96.20%"
"[ 밤기저귀로 사용하려고 사서 두팩정도 사용해본하기스 맥스드라이 에요.보송함이 최대 시간까지 유지 된다고 해요.출시되자마자 사용했는데 결론적으로는 굳이 밤기저귀로 맥스드라이를 비싸게 주고 살 필요는 없다 에요. ], 긍정 텍스트 확률 : 95.45%"
"[ 모든 하기스의 공통특징답게허리 밴드 붙이기 쉽게 숫자 적혀있고 소변흡수트랙도 있어요. ], 긍정 텍스트 확률 : 60.25%"
"[ 맥스드라이 기저귀는 보라색이에요.하기스 기저귀들은 전체적으로 다 비슷하게 생겼어요 ㅎ튼튼하게 붙는 허리밴드엉덩이까지 완벽하게 감싸주는 넓은 면적안커버의 초고속흡수트랙까지요 ㅎㅎ ], 긍정 텍스트 확률 : 99.39%"
"[ 뒷샘방지포켓도 있고], 긍정 텍스트 확률 : 70.79%"
"[허벅지부분 새지 않게샘방지 다리밴드가 다른 하기스 제품보다 높아졌어요. ], 긍정 텍스트 확률 : 57.29%"
"[ 이 제품은 다른 하기스제품들보다흡수패드의 면적이 더 넓어졌다는거에요.그래서 최대 시간 까지 사용 가능하다고 하는거죠.또 순간흡수능력이 기존 기저귀들에 비해 더 좋아졌다고 해요.흡수력을 강점으로 하는 밤기저귀용답게입체구조 매직핏 선도 없어요. 착용감과 활동력보다는밤기저귀로서의 흡수력을 제일 중요시 한 제품이에요. ], 긍정 텍스트 확률 : 99.01%"
"[매직핏에어솔솔섬머나모두 다 밤기저귀로 사용해봤는데큰 차이는 모르겠더라구요.아무래도 맥스드라이가 흡수패드가 더 넓어서역류가능성이 더 낮다는 점?모두다 흡수체가 만져지지도 않고 새는경우도 없었어요.그래도 굳이...하기스 포인트도 없는 맥스드라이를밤기저귀로 더 비싸게 살 필요는 없다고 느껴졌어요. ], 긍정 텍스트 확률 : 64.23%"
"[ 이제품은 주변 지인들도 사용하고엄마들 사이에서 유명해서 사용해봤어요.페넬로페 씬씬씬은 남아용과 여아용의 흡수존이 다르게 적용되어있어서 흡수력이 좋아샐 가능성이 적다는게 장점이에요. ], 긍정 텍스트 확률 : 75.99%"
"[ 귀엽고 컬러풀한 기저귀에 소변알림선도 있고허리밴드붙이기 쉽도록 번호도 써져있어요.솔직히 사용하다 보면 다들 아시겠지만전 소변흡수트랙보다 저 밴드를 붙이기 쉽게 숫자 써놓은게 더 유용해요 ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 88.42%"
"[차로 빳빳해서 당황스러웠어요.제일 튼튼해 보이긴 했어요.결국 밤기저귀로만 구매한거 다 사용하고 그 후 재구매는 하고 있지 않아요.참 페넬로페는 체리포인트라는걸 모아서체리모아에서 좋은 제품으로 교환하는 이벤트가 있으니페넬로페로 정착하신분들은 사진속의 체리는 꼭 따서 보관하세요. ], 긍정 텍스트 확률 : 87.85%"
"[ 미스터펭 매직슬림 밴드형이에요.하얀배경에 펭귄이랑 바다표범이 그려져있는게너무 귀엽죠?ㅎㅎ현재 여름이가 사용하는 기저귀입니다.기저귀 팩당 하트가 하나씩 달려있어요.모아서 하트포인트일정금액이 되면 현금처럼로 사용 할 수 있답니다. ], 긍정 텍스트 확률 : 98.48%"
"[ 허리에 숫자 있고], 긍정 텍스트 확률 : 60.03%"
"[소변흡수트랙 있어요. ], 긍정 텍스트 확률 : 63.34%"
"[ 안쪽이 올록볼록하게 되어있어요.아무래도 피부에 닿을 때 조금 더 보송하게 느껴지라고격자무늬가 들어가있는걸로 보여요.그리고 후들후들하고 부드러운 소재입니다. ], 긍정 텍스트 확률 : 95.67%"
"[ 생각보다 펼치면 넓어서 착용시 전체적으로 잘 감싸고허리밴드 신축성도 좋아요. ], 긍정 텍스트 확률 : 90.65%"
"[ 이 제품을 여름기저귀로 강추하는데요.그 이유는 진짜 진짜 슬림하기 때문이에요.기저귀뒤로 손가락 비치는거 보이세요?ㅎㅎ손가락 갯수까지 보이죠.슬림하다보니 옷입어도 테도 나쁘지 않고전체적으로 고루 흡수도 잘되고 착용한지 조금 오래되서 흡수된 소변이 역류도 안해요. ], 긍정 텍스트 확률 : 87.06%"
"[ 안쪽이 올록볼록해서 미스터펭처럼축축할 때 피부에 덜 달라붙도록 처리했구요부드러운편이에요. ], 긍정 텍스트 확률 : 79.61%"
"[ 다리 샘 방지는 다른 기저귀들보다 약간 더 낮은두겹인데 저는 샌적 한번도 없어요.엉덩이 뒷 샘 방지 포켓도 없는데 뒤로 샌적도 없어요.], 긍정 텍스트 확률 : 59.07%"
"[ 이렇게 다 감싸주기 때문이에요 ㅎㅎ정말 귀엽죠 ], 긍정 텍스트 확률 : 99.84%"
"[ 요즘 나오는 기저귀들은 허리밴드 신축성정도는기본저긍로 갖고 있나봐요.요 제품은 미스터펭이랑 전반적으로 다 비슷해요.얇아서 시원하고 안커버 부드럽고 잘 감싸주고평균체형의 아기들이 사용하기에 전혀 부담없구요.단점은 케이맘 기저귀는 겉커버가 약간 부직포? 종이?스러워요. 그래서 소변을 정말정말 많이 했을경우겉커버에 스며드는 느낌이 들었어요.대신 흡수체가 샌다거나 만져지는 경우는 없었어요.겉커버 소재의 차이때문에미스터펭보다 후들후들한 느낌? 흐늘거리는 부드러운 느낌은 조금 덜 하고 오히려 더 튼튼하다고 느껴질 수도 있다고 여겨져요.이정도는 취향차이니까요.이 제품도 여름기저귀추천 목록 위에요. ], 긍정 텍스트 확률 : 63.82%"
"[ 지인에게 얻은 킨도 슬림 밴드형이에요. ], 긍정 텍스트 확률 : 93.37%"
"[ 슬림이라고는 하나 슬림하지 않아요.마치 페넬로페 씬씬씬에서 씬씬씬처럼 속은 느낌이에요. ], 긍정 텍스트 확률 : 98.38%"
"[ 이제품 겉커버가 정말 넓어요.그만큼 잘 감싸주고 다리 샘방지막도 매우 높아요. ], 긍정 텍스트 확률 : 65.74%"
"[ 뒷샘방지포켓이 없고 신기하게도...허리쪽은 통기성을 고려해서인지흡수체가 전혀 들어있지 않아요.보통은 허리 밴드를 조금 더 얇게 하더라도흡수체를 더 윗쪽까지 넓히는데 독특하죠?킨도 홈페이지 가면 킨도 흡수력이 정말 좋다고 하던데흡수력에 자신이 있어서 그런듯 해요.또 다리샘 방지막이 안쪽은 낮아요.바깥쪽은 높고 넓답니다.이제품은 정말 개인적으로 왕비추 제품인데요오늘 후기쓴 기저귀 중 제일 별로에요ㅎㅎ. 흡수력이 좋다는데 다른 제품과의 차이를 모르겠음. 아기가 쉬 했을 경우 겉커버와 안커버 내부 흡수체가 다 분리되어서 흐느적거림어떤 느낌이냐면요... 부직포 보자기 안에 흡수체를 적셔서 넣어둔 느낌이랄까?. 안커버가 부직포라 너무 답답하고 까슬거리고 불편해보임. 소변을 흡수하면 흡수체알갱이가 손으로 만져짐.또 흡수체들이 자기들맘대로 움직이고 커버에 붙어있지 않음.. 안커버 색상...요즘 무표백 자연주의 기저귀가 대세라 흰색도 별로라던데 안 커버 연보라색유럽 프리미엄 기저귀라는데 어디가 프리미엄인지 도 모르겠는 킨도 슬림 밴드형이에요. ], 긍정 텍스트 확률 : 87.49%"
"[킨도슬림여름기저귀 라면 가능하면 얇고 흡수력 좋은것이 중요하니까요. ], 긍정 텍스트 확률 : 89.54%"
"[.?여름기저귀추천여름기저귀추천.?여름기저귀여름기저귀.?페넬로페씬씬씬페넬로페씬씬씬 .?미스터펭매직슬림미스터펭매직슬림.?케이맘듀얼스토리케이맘듀얼스토리킨도슬림 .?에어솔솔섬머에어솔솔섬머.?맥스드라이맥스드라이.?매직핏매직핏.?모모래빗모모래빗.?리베로리베로 ], 긍정 텍스트 확률 : 77.69%"
"[.얼마전에 신선도원몰 키즈랜드 후기를 포스팅 살짝했었는데요ㅎ.그때 급히 떨어진 아이 기저귀를 사러갔었거든요ㅎ.노브랜드 제품이 괜찮은 제품이 제법 있고 착한 가격이고 해서ㅎ 하루 급히 입힐꺼니까 아무거나 집어보자해서 집어온 기저귀예요.ㅋ ], 긍정 텍스트 확률 : 98.77%"
"[ .사용상 주의 사항은 읽어보는 둥 마는 둥ㅋㅋㅋ.그래도 읽어보아요.ㅋㅋ.나름 품질마크도 있구요마크ㅎㅎ일단 이거 있어서 안심하고 샀기도 해용ㅎ ], 긍정 텍스트 확률 : 99.08%"
"[ 뜯는 곳은 요 기저귀 약간 독특한 데 있더라고요.ㅋㅋ솔직히 이쁘게 잘 뜯기지는 않아서...쫌ㅋㅋ ], 긍정 텍스트 확률 : 98.87%"
"[ 기저귀 디자인은 귀요미합니다만..다소 두껍고 뻣뻣한 느낌은 있어요.ㅋㅋ뭐 겉이야 그러려니 합니다.ㅋㅋ피부에 직접 닿을 부분이 중요하죠ㅎ ], 긍정 텍스트 확률 : 80.25%"
"[ 음...뭉쳐가지고 진짜 쉬한번 하면 갈아줘야되공ㅜㅜ아까 그 무늬는 그냥 무늬일뿐인가?ㅎ나름 뭉침방지 무늬라고 생각했는디..뭉테기 뭉테기 뭉쳐있어용ㅋ아무리 급해도ㅋㅋ 싼건 비지떡입니당.ㅋㄱㄱ좀 별루에요.아이가 발진은 안났지만ㅎㅎ엄마가 살짝 깜빡하면 대번 짓무를 것 같아용ㅋㅋ어지간하면 앞으로는 싼 것찾는건 안하려구용ㅎ ], 긍정 텍스트 확률 : 83.08%"
"[여름에는 무조건 얇은 기저귀 얇디 얇은 것만 외치며 살았는데 계절이 바뀌고 이제는 너무너무 추운 겨울이 다가왔다. 태어나서 겨울을 처음 맞는 우리아기.요즘 자꾸 추운지 딸꾹질을 많이 하고 손발이 점점 차가워져서초보엄마인 나와 신랑은 걱정이 참 많다. 그런데 알고보니 여름에는 얇은 여름용을 쓰고 겨울에는 겨울기저귀가 또 있다네?마미포코에서 겨울 팬티기저귀로 추천하며 나온 피부온기케어팬티 기저귀.냉기저감 시트가 있어서아가의 피부온기를 케어해준다고.세상 참 좋아졌다를 계속 외치며 열심히 입히고 사용중인 마미포코 팬티기저귀 후기지금 시작해본다.], 긍정 텍스트 확률 : 55.56%"
"[ 개월 인생이라고 농담처럼 말을 하기는 하지만], 긍정 텍스트 확률 : 77.82%"
"[손발을 잡으면 정말 차디차다. 이렇게 피부 온도가 급변하는 우리딸. 어떤 식으로 케어를 해줘야 할지조금 막막하고 어려울때가 종종 있다. 그런데], 긍정 텍스트 확률 : 85.75%"
"[몰랐던 사실.아기 기저귀에서 아기가 대소변을 보면흡수를 하면서 결국 기저귀가 차가워지게 된다고 한다. 하 엄마빠는 전혀 몰랐네우리딸은 예민하지 않아서 대소변을 봐도 막 앙앙 울지 않아서 그냥 우리가 알아서 갈아줘야 했는데그간 기저귀가 계속소변을 흡수하며 빵빵해지면서많이 차가웠을거고 그래서 딸꾹질하고 추워했을 거라 생각하니 마음이 아팠다.], 긍정 텍스트 확률 : 96.82%"
"[ 그래서 검색하다 알게 된], 긍정 텍스트 확률 : 63.99%"
"[ 마미포코 팬티기저귀에서 볼 수 있었던 냉기저감시트얼렁 두 눈으로 확인해보고 싶어서 마음이 두근두근했달까. ], 긍정 텍스트 확률 : 96.88%"
"[ 초록색의 깜찍한 무늬가 그려진우리아기 팬티기저귀앞쪽과 뒤쪽을 구별할 수 있게글씨로 잘 적혀 있어서 정신없이 기저귀 갈때도 햇갈리지 않고 편했다. 은근 팬티기저귀는 입힐 때햇갈리게 되더라는], 긍정 텍스트 확률 : 90.74%"
"[되묻어남이 로 감소하여 늘 기저귀를 달고 사는 우리아가들의 소중한 엉덩이를 늘 쾌적하게 만들어주는아주 착한 시트였다.], 긍정 텍스트 확률 : 80.06%"
"[우리딸 핏에 최고로 편하게 잘 맞은 중형사이즈참고하세욤이제 이거 입자 라고 보여주니 한참을 탐색 또 참색중.이제 딸꾹질 덜 하고 따수워지도록도와줄게 아가 ], 긍정 텍스트 확률 : 94.25%"
"[ 짜자잔기분좋지?한 눈에 봐도 우리딸에게 잘 맞아보이는 마미포코 팬티기저귀다.], 긍정 텍스트 확률 : 66.71%"
"[ 허벅지 부분의 조임역시 딱 좋은 샘방지선의 쫀쫀함이라 새지 않고 너무 꽉 조이지 않아 아기가 움직이기 참 편한그런 아이였다.], 긍정 텍스트 확률 : 90.73%"
"[ 서서 흔들흔들 다리 움직이며 놀때도 자연스러운 움직임을 보며아 아기가 저 팬티기저귀가 참많이 편한가보다 생각이 들었다. 무엇보다도 딸꾹질의 빈도수가 좀 더 낮아져서 온기케어팬티 입히기 참 잘했다는생각도 들었달까?아직 입혀본지 얼마 안되었지만흡수력도 굉장히 좋고 여러모로 추천하는 팬티기저귀마미포코다. ], 긍정 텍스트 확률 : 70.47%"
"[ 열심히 입혀주고 있는 우리딸의 겨울기저귀 마미포코.많은 분들이 좋다 좋다 할때사실 한 번쯤 궁금했었는데실제로 이렇게 아가에게 직접입혀보고 내가 써보니왜 다들 요 아이 추천하는지 알 것 같은 기분이 들었다. 일단], 긍정 텍스트 확률 : 99.87%"
"[엎드려 기어다니는아기에겐 팬티기저귀가 넘나 편하고], 긍정 텍스트 확률 : 56.36%"
"[흡수력이 좋아 묻어남도 덜해서 밤에 오래오래 못갈아줄때정말 딱인데다가], 긍정 텍스트 확률 : 52.99%"
"[냉기저감시트가 기저귀 내부에 전반적으로 잘 들어가 있어서 아기의 체온도 보호해주니 여러모로 한 번쯤은 써보면 참 괜찮은 아기기저귀였다. 겨울팬티기저귀 찾으시는 분들이라면마미포코 기저귀 솔직하게 추천드려본다. 우리아기 열심히 입히는 리뷰여기서 마침 ], 긍정 텍스트 확률 : 99.56%"
"[안녕하세요 뜽아맘 입니다이제 개월이 된 뜽아 여자 아기라서 기저귀 발진이 겁나서항상 기저귀 구매할때 조심스럽더라구요군 기저귀 사용하다가 이번에슈베스 다이나믹 팬티형 기저귀 를 구매해보았어요뜽아는조금 넘는 아기라서 사이즈는 대형 사이즈로 했는데 엉덩이까지 다 덮히더라구요 ], 긍정 텍스트 확률 : 65.63%"
"[ 기저귀 포장부터 도트로 너무 귀엽더라구요쿠팡에서쿠폰할인가로 매에 ], 긍정 텍스트 확률 : 87.60%"
"[ 기저귀추천], 긍정 텍스트 확률 : 79.58%"
"[ 뜽아도 새로운 기저귀가 마음에 드나봐요저렇게 기저귀 포장지에 대고 뽀뽀를 막 하더라구요귀요미 허뜽아ㅎㅎㅎ ], 긍정 텍스트 확률 : 93.07%"
"[ 기저귀추천], 긍정 텍스트 확률 : 79.58%"
"[뜽아가 착용샷이예요울 뜽아는 많이 먹는데 먹는거에 비해서 살이 많이 안찌고 다 키로 가는 스타일이에요 ㅜㅜ도트무늬에 색감도 너무 귀여운 슈베스 기저귀아직까지 뜽아는 발진도 없고 잘 사용하고있어요여자아이 기저귀로도 추천해드려요 ], 긍정 텍스트 확률 : 85.01%"
"[ 새로운 기저귀하고서는 온집안을 저지레 ㅜㅜ요즘 갤이라 그런지 싫고 좋은 표현을 잘하고호기심도 많아서 전기선 코드에도 자꾸 손을 가져다 대는 뜽아ㅜㅜ앞으로 더 크면 천방지축 못말리겟죠 ?벌써 두렵지만앞으로도 뜽아와 하루하루 추억만들면서즐거운 육아를 해야겠어요모든 육아맘님들 제 포스팅에 도움되셨음하네요오늘도 육아 화이팅입니다 ♥개월 여자아기 발진없는 기저귀 ], 긍정 텍스트 확률 : 100.00%"
"[ 기저귀추천], 긍정 텍스트 확률 : 79.58%"
