"[.우리❤ ], 긍정 텍스트 확률 : 62.63%"
"[ 자ㅡ 입장 해보겠습니다 ㅎㅎ 날이 따뜻하고 좋으면 옥상과 정원이 있어 바깥놀이하기에도 정말 좋을텐데 요날은 첫날이고 안에도 놀거리가 충분했기에 실내에서 즐기고 왔답니다], 긍정 텍스트 확률 : 99.88%"
"[ 영통키즈카페 허니펀키즈파크 가격입니다 역시 오픈이벤트 할인된 가격으로 기본시간 어린이 개월부터 세까지 ], 긍정 텍스트 확률 : 71.65%"
"[ 아 그리고 주차는 시간 분 무료인데요 나가실때 차량번호 말씀드리면 될것 같아요], 긍정 텍스트 확률 : 54.06%"
"[ 그리고 영통브런치카페인듯 파스타를 비롯한 돈까스와 샐러드볼 감자튀김 떡볶이 등 다양한 메뉴와 다양한 커피종류 쥬스까지 판매되고 있네요 전 평일 방문하여 브런치세트 메뉴로 맛보았는데 음식에 대해서는 마지막에 쓰도록 하겠습니당], 긍정 텍스트 확률 : 96.23%"
"[ 개월부터 세까지 이용 가능한 영통키즈카페인데요 사실 이곳의 전반적인 분위기는 아기자기한 소꿉놀이보다는 활동적으로 뛰어놀수 있는 그런 공간들이 많아서 저희 아이 세가놀기에 정말 좋았던 곳이었던것 같아요 유치원생들에게는 너무나 신나는 키즈카페 아이들을 위한 이곳은 전체 면적이 소방안전필], 긍정 텍스트 확률 : 99.33%"
"[유해성검사완료된 국내 유일매장이에요 짱이죠??놀이공간이 있는곳으로 들어가면 어디 하나 부딪혀도 아프지 않을것 같이 안전하게 설계되고 소품하나하나 신경써서 준비되었다는 느낌을 받았어요그리고 또 한가지 좋았던점은 장난감 가지고 싸울게 없었다는거 ㅋㅋ], 긍정 텍스트 확률 : 91.93%"
"[ 놀이공간 안에서 전체적으로 쭉 훑어보았어요 ㅎㅎ ], 긍정 텍스트 확률 : 90.42%"
"[ 본격적으로 내부를 둘러보았는데요 맨 앞쪽에 위치한 꿀벌들의 바위정원멀리서 보면 더 리얼하고 신기한 자갈모양의 쿠션들이 바닥 전체에 깔려있고 그물처럼 짜여진 곳에서 그네놀이를 하는 곳이에요 첨에 동그란 구멍 보고 한창 이상한나라의앨리스에 푹 빠진 우리 조단이가 앨리스 토끼굴이라며 좋아했었어요 ㅋㅋ], 긍정 텍스트 확률 : 99.03%"
"[ 그리고 안쪽으로 위차한 방방존인데요 전 이 방방존을 보고 너무 만족했어요 많은 아이들이 오더라도 충분히 커버될만한 압도적인 크기의 방방존 옆 아이들과 방해되지 않도록 칸칸이 나뉘어진 방방을 특히나 좋아하는데 이곳 허니펀키즈파크는 완전 제 스타일이었어요 ㅋㅋㅋ], 긍정 텍스트 확률 : 98.99%"
"[ 방방존 옆쪽으로 준비된 좌석도 있구요 ㅋㅋ 보호자들이 앉아서 쉬어도 되고 아가들 뛰다 지치면 쉴수 있는 공간이기도 하겠네요], 긍정 텍스트 확률 : 76.22%"
"[ 이 동영상은 꼭 보셔야해요 매시간마다 열리는 허니파뤼타임 ㅋㅋㅋㅋㅋㅋㅋ마치 클럽을 연상케하는 인체에 무해한뿌연연기와 함께 신나는 음악이 틀어지는데요 무서워하는 아이가 있을법도 한데 제 예상과는 달리 모두가 신나는 시간이었어요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 98.36%"
"[ 게임처럼 하면서 균형감각을 익히게 해주는 허니브릿지도 우리 조단이가 너무 좋아하는 공간이었어요 보시다시피 전부 폭신폭신한 쿠션과 매트재질로 다 되어있어서 보호자가 옆에 굳이 굳이 있어 손안잡아줘도 되는 곳이에요 ㅋㅋ ㅋ ], 긍정 텍스트 확률 : 98.38%"
"[ 압도적인 규모의 볼풀장이 있고 여기를 따라 대형미끄럼틀과 함께 정글짐 같은 공간도 아주 넓게 자리 잡고 있어요 정글짐과 연결된 통미끄럼틀과 대형미끄럼틀이 함께 빠지는 곳이라 그런가 진짜 볼풀장도 널널해서 넘나 좋았어요 그리고 저 안쪽으로는 짚라인까지 있는데 애미는 몰랐는데 아이들은 이미 열번도 넘게 타고 왔다고 하더라구요 ㅋㅋㅋㅋ 공간이 넓기만 한게 아니라 아주 알차게 짜여진것 같았어요], 긍정 텍스트 확률 : 82.16%"
"[ 요 대형미끄럼틀은 미끄럼틀의 기능뿐만 아니라 밟으면 아래 캐릭터들이 없어지는 신기방기한 게임이었어요 ㅋㅋ 그래서 그런가 우리 조단이와 친구들 뿐만 아니라 두돌도 채 되지 않은 예동이도 기저귀 빵꾸날때까지 타더라구요 ㅋㅋㅋㅋㅋ 졸귀탱], 긍정 텍스트 확률 : 52.04%"
"[ 그리고 네살때는 잘 타지 못한 짚라인인데 살 되니 혼자서 벌써 열번넘게 타고 온 기특한 조단이와 남사친이에요 ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 95.40%"
"[ 요즘 잘나가는 키즈카페하면 다 있죠?? 아이들이 너무너무 좋아하는 모션아트에요 색칠하고 스캔하면 영상에서 내가 그린 그림이 떠다니는 신기한 체험 마음껏 뛰어놀다가 좀 지친다 싶으면 아이들이 알아서 이곳와선 얌전히 색칠하고 그러더라구요?? ㅋㅋ ㅋㅋ ], 긍정 텍스트 확률 : 95.13%"
"[ ㅋㅋ 아이들 신나게 잘 노는거 확인했으니 엄마들은 목좀 축여야겠죠?? ㅋㅋㅋ전 무조건 아메리카논데 이날은 너무 배고파서 라떼를 시켰는데 와ㅡ 진짜 진하고 깊은 커피맛에 넘나 감동 ㅋㅋ커피가 이리도 맛있는 키즈카페는 첨이여 양이 메가커피처럼 좀 더 많았으면 좋겠다는 생각도 잠시 저희는 브런치를 주문했습니다 인원이 인원인지라 브런치세트와 세트 모두 주문했는데요 돈까스와 떡볶이 샐러드와 파스타를 다 먹어보게 되었네요], 긍정 텍스트 확률 : 75.19%"
"[ 우리 조단이가 좋아하는 로제파스타도 주문했는데요 아이들이 먹기에 전혀 부담없는 맛이었어요 간편하게 즐기는 인스턴트 느낌의 다른 키즈카페와는 차원이 다른 브런치카페에 온듯한 정성스런 음식들이었답니다 게다가 저흰 브런치세트로 주문했기에 가격또한 너무 저렴했구요], 긍정 텍스트 확률 : 98.77%"
"[ 건강한 맛이라고 정의할수 있는 콥샐러드인데요 입만ㅋㅋ다이어터인 저는 넘나 맛있게 잘 먹은메뉴이었지만 다소 호불호가 있을것 같은 맛이었어용 ㅎ 아줌마들은 다소 단짠단짠을 좋아해서 말입니당 ㅋㅋ], 긍정 텍스트 확률 : 94.39%"
"[ 그리고 엄마들을 위한 메뉴 살짝 매콤했던 떡볶이에요 생으로 들어간 콩나물과 대파가 인상적이었는데 생으로 들어가서 아삭아삭 씹히는 식감이 일품이었던 특별한 떡볶이 그래서 이건 하나 더 주문했어요 ㅋㅋㅋㅋ], 긍정 텍스트 확률 : 96.32%"
"[ 아이들 식기와 어른 식기도 구분되어 준비되어있구요 맛도 맛이지만 분위기도 좋아서 아이들 없는 평일 오전 엄마들끼리 브런치하러 오기에도 손색없을만큼 괜찮았던 영통 브런치카페라고 소개시켜드리고도 싶네요 ㅋㅋ], 긍정 텍스트 확률 : 99.79%"
"[ 키즈카페 시간 놀면 재미도 없어지고 지칠법도 한데 너무너무 신나는 이곳 허니펀키즈파크에선 지칠새도 없이 너무 재밌고 알차게 무려 시간을 놀았던것 같아요 ㅋㅋ 무엇보다 지켜만 봐도 되는 엄마들이 너무 편해서 재방문의사 프로입니다 ㅋㅋ ], 긍정 텍스트 확률 : 99.98%"
"[인스타에서 보게된.?처음선물처음선물.?임신축하선물박스임신축하선물박스 매월 명 만원 상당의 선물이라니반신반의하며 신청해보았다. ], 긍정 텍스트 확률 : 75.66%"
"[ 이렇게 주시니... 조리원에서 넘나 피곤하지만 리뷰를 안 남길 수가 없지 ㅠㅠ ], 긍정 텍스트 확률 : 79.32%"
"[ 그리고 이게 대박이다.. .?저주파패드저주파패드 라니...출산하고 보니 이곳저곳 안아픈 곳이 없던데 ㅠ ㅠ이런것까지 주는 선물박스는 첨이다 조리원에서 마사지 천국이 끝나면 의지할 곳은 저주파패드뿐 ㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 97.59%"
"[ 겉박스 디자인부터 굉장히 특이하네요이런 모양은 첨이야ㅎㅎ ], 긍정 텍스트 확률 : 75.09%"
"[세균 등유해물질의 침투를 막고 피부내 보습을 유지해 주며 피부세포 형성을 돕는 제품입니다 ], 긍정 텍스트 확률 : 56.06%"
"[ 무스 타입 의 유아로션으로작은양으로도 넓은 부위를 균일하게바를 수 있고 사용시 발생할 수 있는 교차오염을 방지해요 ], 긍정 텍스트 확률 : 70.06%"
"[ 제형이 엄청 쫀쫀한 생크림같은 느낌이예요부드러워서 아주 연약한 신생아 피부에도자극이 없어요 유아로션이지만성인의 스킨케어에도효과적 인 제품이라 사실 대박이보다 제가 더 많이 사용하고 있다는ㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 94.95%"
"[ 깜짝 공개우리 대박이예요 ㅎ태어나자마자 찍은사진이랍니다출산후기는 다음번에 하도록 할게요 일단 대박이한테 사용해보고 싶었는데황달치료땜에 같이 퇴원을 못하고 ㅠ 그래서 저만 열심히 조리원에서 막달에 텄던 뱃살관리나 입원중 이곳저곳 주사 맞은 부위 등 피부 자극이 있었던 부위에열심히 바르고 관리 하고있답니다빨리 대박이와 함께하는 시간이 와서보들보들 예쁜 아기피부에도 발라주고 싶은추천템이예요 ♡ 구매좌표▽▼▽▼ .. ], 긍정 텍스트 확률 : 99.77%"
"[앤제이 올쇼백 가지고다니가가 ㅋㅋ이제 젖병가지고 다닐필요가 없어가지궁 이것저것넣기에 좀 불편해서 백팩 하나 구입하려고 알아보던 중에 발견한포노피노 로이첼 기저귀 가방 여행갈때나 어디다닐때 ㅋㅋㅋ좋을 것 같아요ㅋㅋㅋㅋ신랑하고 고민끝에포노피노 로이첼 기저귀가방 으로 ㅎㅎㅎㅎ 구입했어요 ㅎ ], 긍정 텍스트 확률 : 92.14%"
"[ 짠ㅎ 도착하자마자 사진먼저 찍궁 ], 긍정 텍스트 확률 : 71.03%"
"[ 옆쪽에도 보온병이나 물병 넣기 좋구여 ], 긍정 텍스트 확률 : 69.07%"
"[ 이것 저것 넣어봤어요 수납공간 최고에요 다넣어도 엄청 가볍구요 ㅎㅎㅎ물티슈 블랭킷 보온병 기저귀가방 음료수과자들ㅋㅋㅋㅋㅋ진짜 많이 들어가는거 같아요이렇게 넣고 매도 너무 가벼운포노피노 로이첼 기저귀가방 지퍼도 단단해서 쉽게 열고 닫을 수 있어요 막 딸려오거나 그러지않아서 한손으로도 충분한것 같아요 ㅎㅎㅎ], 긍정 텍스트 확률 : 99.99%"
"[ 아빠 가게 놀러가서 한번 찍어봤어요 너무너무 예쁘죵 ㅋㅋㅋ진짜 맘에 들어요ㅎㅎㅎㅎ 앞으로 시하랑 여행다니거나 문센갈때 잘 쓸수 있을것같아요 ㅎㅎㅎㅎㅎㅎ 신랑도 대만족했답니당ㅋㅋㅋ 너무예쁘대요 얼렁 놀러가고싶네요 . .?문센가방추천문센가방추천기저귀가방추천 .. ], 긍정 텍스트 확률 : 99.98%"
"[ 요즘엔 이가 날 시기인지 새벽에 좀 칭얼대서 새벽시 이후엔 저희랑 같이 자요.이 정도면 선빵한듯해요.이앓이 지나가면 아기만의 독립적인 공간을 더 늘려주고], 긍정 텍스트 확률 : 58.10%"
"[ 수면도 혼자 스스로 할수있겠끔 침대에서 더 오랜시간을 가질 수 있게 할 생각입니다침대 위치는 고대로고요], 긍정 텍스트 확률 : 97.52%"
"[그리고 오른쪽이 최근모습입니다모빌이랑 인형이 대롱대롱 추가가 좀 되었네요 ㅎㅎㅎ ], 긍정 텍스트 확률 : 94.92%"
"[ 버니인형사운드도 엄청 유용했어요.침대머리맡에 두고 새벽에 수유끝나고 눕힐때 켜주는데 잘 자더라구요.침대있으니 요런점이 넘 좋네요. ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 53.32%"
"[ 보조선반도 정말 잘쓰고있어요.이거 없었음 어쨌을까 할 정도 ㅋㅋㅋㅋㅋ진짜 효자템임 이건 추가해서 꼭 사셔야합니다 ], 긍정 텍스트 확률 : 95.55%"
"[ 제가 요즘 허리가 안좋아서.침대가 아기 옷갈아입히기], 긍정 텍스트 확률 : 74.08%"
"[ 기저귀 가는데 정말 한몫하고있어요.넘나 편하다는 ㅠㅠ일단 아기가 잘 놀아주고 잘 자니깐 넘 좋은듯해요정말 적극추천드려요 저는 ], 긍정 텍스트 확률 : 99.78%"
"[ 시간남아서 들러본청주엔씨백화점 .?청주백화점주차장청주백화점주차장 대박 난리라던데저희는 아예 유모차끌고 걸어갔어요토요일저녁 시경이였는데생각보다 넘나 한산 ], 긍정 텍스트 확률 : 90.67%"
"[.?청주엔씨백화점세일청주엔씨백화점세일 품목들은 거의아동옷이 제일저렴한듯 해요 ㅎㅎㅎ아가방 직원왈행사기간 끝나면 이렇게 싸지도않아요수면조끼 필수로 두세개는있어야한다고 하셨는데], 긍정 텍스트 확률 : 82.37%"
"[ ...저희아가 열많고 아파트살아서 안추워욤..ㅜㅜ넘 강요하심 ], 긍정 텍스트 확률 : 77.84%"
"[ 울신랑과 꾸미와 함께 올라가봅니다 ], 긍정 텍스트 확률 : 61.45%"
"[.?청주엔씨수유실청주엔씨수유실유모차주차공간 귀엽네용ㅋㅋㅋ ], 긍정 텍스트 확률 : 52.57%"
"[ 앉아서 쉴수있는 곳 ], 긍정 텍스트 확률 : 88.02%"
"[ 모유수유 혹은 분유수유할경우수유실 안락한 의자도 있고짐놓을수있는 테이블도 좋네요 ], 긍정 텍스트 확률 : 96.59%"
"[ 울남편 꾸미 기저귀 갈아주느라아래 담요깔고 사용했어요개업한지 한달도안됬는데벌써 지저분...애기 위생과 관련된것이라제가 더 예민할수 있으나기저귀가 쓰레기통에서 넘치는 모습은 차마ㅠㅠ개선되겠죠뭐..엔씨백화점에서 유아동의류 .?청주아기옷싸게파는곳청주아기옷싸게파는곳 으로 소문이 자자해요 벌써 ㅋㅋ저도 꾸미내복과 외출복을 잔뜩사와서텅장을 만들고 왔네요 ㅋㅋㅋ뭘입어도 이쁜 내새꾸고슴도치맘 .?청주애기옷저렴한곳청주애기옷저렴한곳 .?청주아기옷청주아기옷 .?청주아기옷세일청주아기옷세일엔씨백화점이 지금은 좀싸네요위치 ], 긍정 텍스트 확률 : 75.45%"
"[ 이번주 토요일 딸냄 생일인데 딱 에그풀 체험단에 선정되었네요..오늘 바로 다녀왔습니다........ ......? 본문 이미지층 입구에요.. 주차장 입구에서도 확 눈에 띄게 되어있어서 찾기 쉬워요.. 간판도 넘나 이쁘죵?에그풀..달걀귀신들이 사는 우리집 식구들 취향저격인듯 했어요...... ......? 본문 이미지매장 분의기는 깔끔했어요.. 우드톤으로 차분한 분위기에요.. 저녁시간보다 조금 일찍 도착해서 그런지 한적해보이네요........ ......? 본문 이미지여기는 기어방 이에요.. 아이들이 기어다닐 수 있는 방..그래서 기어방이라고 남편은 완전 빵 터졌답니다..ㅋㅋ 엄마들도 코로 밥먹지 말고 맛나게 먹으라는 배려있는 공간.. ...], 긍정 텍스트 확률 : 100.00%"
"[...?...... ......? 본문 이미지아이들을 배려하는 공간이 있어요..손씻을 수 있는 세면대와 보조계단도 있구요.. 기저귀도 갈 수있네요.. 노키즈존도 많은데 진심 엄마들의 마음을 알고 계신듯 해요........ ......? 본문 이미지실내 곳곳마다 공기청정기가 있답니다쾌적한 환경에서 식사하기 좋아요...... ......? 본문 이미지...... ......? 본문 이미지...... ......? 본문 이미지...... ......? 본문 이미지한쪽 공간에는 아이들을 위한 작은 서점이 있어요..옹기종기 앉아서 색칠공부 할 수 있는 공간도 있고..책을 읽을 수도 있어요.. 직원분이 친절하게 아이에게 재미있을법한 책을 추천해주시기도 하고 여자아이 남자아이 구경할 아기자기한 물건들도 많아요..판매도 하시는데 가격도 착해요..무엇보다 좋은건 이 공간으로 인해서 작은아이가 핸드폰을 찾지않고 덕분에 저희 부부도 여유롭게 식사할 수가 있었어요........ ......? 본문 이미지...... ......? 본문 이미지이제 주문한 음식이 나옵니다..아기자기한 아이들 식기도 따로 주시고.. 저희것도 흔하지 않은 예쁜 수저포크나이프.. 집에도 들여놓고 싶었어요........ ......? 본문 이미지...... ......? 본문 이미지첫번째로 나온 음식은 대표샐러드와 크림파스타정확한 이름이..ㅜㅜ샐러드는 세상 먹어본 샐러드중 최고였어요.. 계란반숙.사과.귤.토마토.아보카도.무화과.구운새우에 먹어도 먹어도 끝이없는 야채들.. 먹는 내내 최고다 최고다 하며 이렇게 정성이 가득한 샐러드는 처음이라며 감탄을 금치 못했어요.. ...], 긍정 텍스트 확률 : 100.00%"
"[...?스파게티도 생양송이와 베이컨이 가득가득.. 딱좋은 소스 농도와 양.. 이 또한 좋은 재료와 양을 아끼지않고 듬뿍듬뿍 사용했다는걸 느꼈어요..파스타와 같이 나온 빵도 짱맛...... ......? 본문 이미지새우피자에요.. 세상 새우피자에 이렇게 큰피자는 첨이에요..아이가 먹으면서 새우가 완전 탱글탱글해맛있어.. 이러더라구요..도우반죽도 쫄깃쫄깃.. 부드러워요. 식었어도 딱딱해지지 않고 다시 뎁혀도 처음 그맛을 낼 수 있을법한 도우였어요 ...], 긍정 텍스트 확률 : 99.89%"
"[...?...... ......? 본문 이미지마지막 스테이크.. 이것도 말이 필요없답니다..고기 한점 입에 넣으니 겉은 살짝 바삭..안은 촉촉.. 너무너무 맛있었어요.. 보통은 남편과 아이들에게 양보하는데 요건 제가 제일 많이 먹었나봐요구운야채도 버섯.가지.아스파라거스 구운마늘 옥수수.. 까지도 하나 남길게 없는 정말 최고에요........ ......? 본문 이미지...... ......? 본문 이미지대식가 가족답게 인 메뉴를 시켜서 배가 찢어지도록 클리어한 뒤에 입가심으로남편은 모히또 전 레몬에이드를 주문했어요..별 기대없이 주문한거였는데 음료에도 정말 정성이 가득하네요..오산이라 집에서 가깝지는 않은데 또 다시오고 싶은 그런곳이에요.. 에그풀에서 무상으로 식사권을 제공받아 작성한 후기입니다..에그풀오산에그풀브런치카페오산맛집오산세교맛집아이와가기좋은곳], 긍정 텍스트 확률 : 99.99%"
"[안녕하세요.지난 월 일월 일까지 박 일로 꽃돈이와 함께 세식구가 여수여행을 다녀왔어요.꽃돈이가 태어나고 번째 여행인데요.첫 여행에서 박일이었다면 이번에는 조금 용기를 내어 하루 더 다녀왔답니다.그 중 첫날 묵었던 여수 유탑 마리나 이야기를 풀어볼까해요.유탑마리나는 인피니풀로 많은 사랑을 받고 있고], 긍정 텍스트 확률 : 99.55%"
"[가족단위로 부담없는 여수여행을 다녀오기에 안성맞춤이더라고요.특히나 이번 여행에서 가장 친절했던 곳이 바로 조식을 진행한 더 웨이븐이었기에 기억에 많이 남는 곳이었어요.그리고 체크 아웃 직후에 시간 정도 신나게 놀았던 릴리펏은 별도로 포스팅을 한 번 더 해볼까해요 ], 긍정 텍스트 확률 : 99.86%"
"[ 여행 준비에 앞서서 늘 고민하게 되는 부분이 숙소인데요.아기가 있는집이라면 더더욱 많은 고민을 하게 되는 것 같아요.걷고 호기심이 많은 개월의 꽃돈이도 잠버릇이 있기도 하고], 긍정 텍스트 확률 : 87.06%"
"[침대가 있는 객실보다는 오션 패밀리 온돌로 선택하게 되었어요.조금 많이 아쉬웠던 객실크기 ㅠㅠ다음에 재방문 한다면 침대가 있더라도 객실 업그레이드 해서 다녀오려고해요. ], 긍정 텍스트 확률 : 70.29%"
"[수영 후 수영복을 세탁해 둘 수 있어서 매우 편리하더라고요.그리고 생수는 병이 제공되었고요. ], 긍정 텍스트 확률 : 71.41%"
"[ 오션 패밀리 온돌은 이불이 채 깔려 있더라고요.새로운 곳이라서 정말 ㅋㅋㅋ 꽃돈이가 아주아주 신나했어요.깔끔하고 룸 컨디션은 나쁘지 않았고요 ], 긍정 텍스트 확률 : 79.06%"
"[ 객실 화장대에 충전기가 있어서 참 편리했어요.그리고 온돌도 따끈따끈 잘 올라와서 정말 저 떡실신...꽃돈이 낳고 이렇게 꿀잠 자긴 또 처음이었네요 ㅋㅋㅋ ], 긍정 텍스트 확률 : 94.18%"
"[ 칫솔도 있고], 긍정 텍스트 확률 : 70.79%"
"[빗도 있고 면봉이랑 화장솜 머리끈도 있더라고요.샴푸], 긍정 텍스트 확률 : 56.22%"
"[ 정말 신기했던 욕실 ㅋㅋㅋ네 욕실이 블라인드 올리면 샤워하는게 보여요 ㅋㅋㅋㅋㅋㅋㅋㅋ다른 객실들도 다 그런지 모르겠지만 신선했네요 ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 88.05%"
"[ 오션뷰이기도 하지만 반대편으로는 멀찍이 빅오쇼도 보이겠더라고요.날씨가 첫날 너무 좋았어서 바다도 예쁘고 하늘도 너무 예뻤어요 ], 긍정 텍스트 확률 : 91.71%"
"[ 층에는 카페 곳과 편의점], 긍정 텍스트 확률 : 73.00%"
"[한정식집이 있어요. 일반 식사도 판매하는것 같은데 저희가 한바퀴 돌때는 브레이크 타임이었어요.그리고 층에는 키즈카페 릴리펏이 있더라고요. 투숙객 분 무료였는데 저희는 다음날 비가왔어서 체크아웃하고 다른 호텔 체크인 전까지 신나게 놀았어요.그리고 층에는 피트니스센터와 탁구장], 긍정 텍스트 확률 : 82.19%"
"[펍과 스낵바가 있었어요.무엇보다 층엔 인피니티 풀이 있어서 한번에 즐거운 시간을 보내기에도 좋더라고요. ], 긍정 텍스트 확률 : 84.90%"
"[ 아기 튜브들도 있고 구명조끼도 있고요꽃돈이는 역시나 이번에도 튜브 거부하네요 ㅋㅋㅋㅋ그래서 제가 안고 놀았어요.아직은 엄마품이 가장 좋은 쫄.보 더라고요 ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 99.28%"
"[ 튜브에서 무서워 하는 꽃돈이 ㅋㅋㅋ그래도 수영장 물이 재미있는지 다행이었어요.요즘 꽃돈이가 목욕을 거부해서 제가 좀 힘들거든요 ㅠㅠ ], 긍정 텍스트 확률 : 96.50%"
"[ 수영 다녀와서 객실에서 바깥보며 신나하는 꽃돈이에요좋아하는걸 보니 여행도 다니고 하나봐요 무엇보다 너무 잘자고 너무 잘 놀아주니 집에서랑 다르게 저희가 너무 편했어요 ㅋㅋㅋ정말 일 여행다닐각이라고 해야할까요 ㅋㅋㅋ이 날 밤 저랑 꽃돈이는 기절잠자고요다음날 여수는 비가 왔어요. ], 긍정 텍스트 확률 : 92.49%"
"[달걀후라이와 소불고기로 엄청 많이 먹었거요 ], 긍정 텍스트 확률 : 78.17%"
"[ 저 평소에 식빵 안좋아하는데 ㅋㅋㅋ 여수 수영장 호텔 조식 먹으러 가서 식빵의 참맛을 알았다고 할까요 ㅋㅋㅋ아마 버터발라 먹어서 더 그랬던것 같은데요 ㅋㅋㅋ살찌니 빵이 다 맛있고 ㅋㅋ 큰일이네요 ㅋㅋ 오늘 친정엄마가 저 보시고 살빼야지 하면서 하고 가셨는데 ㅋㅋㅋ ], 긍정 텍스트 확률 : 66.02%"
"[ ㅋㅋㅋ꽃돈이가 아주 열심히 잘 먹어주었고요일찍 조식을 먹어서 체크아웃까지 뒹굴뒹굴이 날부터 태풍이라 야외활동을 못했지만여수 수영장 호텔에는 릴리펏 키즈카페가 있으니 걱정 없더라고요 ], 긍정 텍스트 확률 : 80.62%"
"[착한 안면홍조크림 어니스트맘 크림 ], 긍정 텍스트 확률 : 73.88%"
"[ 기다리던 택배가 도착했다바로 어니스트맘 카렌듈라 버터 베이비 크림 어니스트맘 크림은 안면홍조크림으로도 유명한 제품이다], 긍정 텍스트 확률 : 95.01%"
"[ 어니스트맘 브로슈어와 샘플도 함께 왔는데깔끔하고 정갈한 패키지가 ... 나의 마음을 먼저 사로잡는다 ], 긍정 텍스트 확률 : 99.20%"
"[ 먼저 어니스트맘 카렌듈라 버터 베이비 크림 카렌듈라 성분이 함유되어있는 제품이라 보습에 좋고 안면홍조완화에도 탁월한 제품이다 ], 긍정 텍스트 확률 : 85.56%"
"[ 그리고 샘플로 온 베이비 로션과 베이비 크림지금 내가 사용하고있는 제품은 베이비 크림인데 로션도 써볼기회가 생겼다 얏호이렇게 챙겨주는 센스], 긍정 텍스트 확률 : 55.30%"
"[ 그리고 어니스트맘 브랜드 스토리 어니스트맘은 브랜드명처럼 엄마의 마음을 담은 브랜드우리 아기가 먹고 피부에 닿는것에는 예민할수밖에 없는 엄마그래서 더 신경쓰고 꼼꼼하게 따질수밖에 없는 엄마의 마음으로 정직하게 아기와 험마 그리고 자연을 위한 제품을 만든다고한다], 긍정 텍스트 확률 : 99.98%"
"[ 지금 내가 사용하고 있는 어니스트맘 카렌듈라 버터 베이비 크림은안면홍조크림으로도 꽤 유명한 어니스트맘 크림이다착한 성분으로도 많은 사랑을 받고 있는 제품], 긍정 텍스트 확률 : 99.40%"
"[ 나는 튜브타입이 더 위생적이고 깔끔하게 쓸수있다고 생각한다 아주 만족그리고 어니스트맘은 전 세계 유일하게 공용으로 사용되고 있는동물 보호 단체들이 인정하는 인증 제품으로 공식적으로 인증 마크를 받은 제품말로만 동물실험 반대한다는 브랜드들도 있는데 어니스트맘은 뭐든 실천에 옮기는 브랜드인것 같다], 긍정 텍스트 확률 : 64.47%"
"[ 캡을 열어 씰링을 제거해준다하나하나 세심하고 믿을수있는 제품인 어니스트맘 크림 ], 긍정 텍스트 확률 : 65.78%"
"[알로에베라잎 ], 긍정 텍스트 확률 : 55.83%"
"[망고씨버터인데이 중 카렌듈라는 항염증 ], 긍정 텍스트 확률 : 75.46%"
"[향진균완화 효과가 있어 민감성 피부에 특히 좋다고 많아 알려진 성분이다 피부 장벽강화 ], 긍정 텍스트 확률 : 70.39%"
"[상처치유에도 효과적이라 알려져있다 카렌듈라에 플라보노이드 성분이 다량 함유되어있어 항균 ], 긍정 텍스트 확률 : 62.78%"
"[ 손목부분에도 아토피때문에 ㅠㅠ 스트레스 받는데여기에도 잘 펴발라줬다부담스러운 끈적임없이 부드럽게 흡수되서 아주 만족스럽다그리고 뭔가 즉각적으로 느껴지는 보습이랄까?바르면 편안해지는 기분 겨울이고 여름이고 항상 건조한 부분들이 있는데 ㅠㅠ수시로 덧발라주고있다 그래서 그런지 간지럽고 붉어지는게 확실히 좀 덜한 느낌?조카들이 전부 피부가 민감한편인데 아이들이 사용하기에도 너무 좋은 안면홍조크림인 어니스트맘 크림써보니까 넘 좋아서 언니한테도 강력추천해줬다], 긍정 텍스트 확률 : 100.00%"
"[ 본 포스팅은 업체로부터 제품을 제공받아 체험 후 솔직하게 작성한 후기입니다. ], 긍정 텍스트 확률 : 64.50%"
"[..빌리 거즈블랭킷 이렇게 사랑스러울수가 . ], 긍정 텍스트 확률 : 98.81%"
"[ 이런 깔끔하고 감성뿜뿜하는 요런 디자인이제 마음에 쏙 들었답니다 ], 긍정 텍스트 확률 : 81.35%"
"[ 뚜껑열어보고 귀여워서 풉♡♡돌돌돌 말려있는 거즈블랭킷이 넘나 귀여웠어요 ], 긍정 텍스트 확률 : 96.73%"
"[ 이렇게 꼼꼼하게 포장되어 온건 빌리가 첨이에요.원통비닐포장으로 깔끔했고오픈했을때 간혹 냄새가 나 찝찝한제품도있던데빌리 블랭킷은 냄새도 없고 포장도 깔끔해서처음 오픈할때부터 괜히 기분이 좋더라구요 ㅎ ], 긍정 텍스트 확률 : 84.47%"
"[ 아기 거즈블랭킷을 구매하기위해 검색해보면제품이 너무 많아 당황스러울때가 있는데], 긍정 텍스트 확률 : 61.81%"
"[ 여기서 꼭 체크해야할 부분이 있어요.바로 국내에서 제조됬는지에 대한 확인인데요], 긍정 텍스트 확률 : 95.33%"
