"[...우리 춘삼이는 일 이후부터 밤에 통잠을 잔다..그전에 몇번 시간 자더니], 긍정 텍스트 확률 : 65.96%"
"[ 지금은 매일매일 열심히 닦아주고 있습니다], 긍정 텍스트 확률 : 82.18%"
"[아직 저 혼자 씻기지 못해서 신랑이 늦게 오거나 하면..ㅠㅠ 그런날은 샤워를 패스해야하거든요], 긍정 텍스트 확률 : 62.76%"
"[ 따땃한 물을 가져와서 적시고 ], 긍정 텍스트 확률 : 57.80%"
"[그런데 오가닉 섬유를 쓰기까지 하는 회사에서 어떻게 이렇게 저렴한 금액으로 판매가 가능한가 봤는데..본사의 마진을 대폭 줄이고 중간 마진을 거진 없애놨더라구요이런 회사가 많아져야되 ㅜㅜ 그노무 유통회사..암튼 그렇기 때문에 착한 가격에 이런 질 좋은 물건들을 만나볼 수 있어요친구출산선물 고를때 역시 가격도 무시 못하죠], 긍정 텍스트 확률 : 55.89%"
"[가격도 착하고 품질도 무시 못하는 제품을 찾는다면 아이엠트루가 딱이에요암튼 이거 목욕할때도 쓰긴 하는데..그떄는 아직 우리둘의 스킬이 낮아서 목욕시킬때 사진 찍기가 넘 힘듭니다 ㅠㅠ예민한 아기 피부들..특히나 신생아들조차도 사용하기 무리없는 부드러운 섬유에요], 긍정 텍스트 확률 : 85.07%"
"[손가락이 옆으로 쏙 나올 수 있어서 굉장히 편하게 사용할 수 있답니다 그런데 이거 꼭 아기 피부에 안 써도 될 거 같긴 해요], 긍정 텍스트 확률 : 86.25%"
"[하나 더 사서 제 몸에도 사용할까 봐요..팔다리같은데 쓰기도 좋아보임 ], 긍정 텍스트 확률 : 56.90%"
"[ 그리고 이거 수유 토시로도 사용할 수 있고 베개로도 쓸 수 있어요 ㅠㅠㅠ], 긍정 텍스트 확률 : 92.23%"
"[요새 우리집 상전은 어깨에 딱 얼굴이 가니까 자꾸 제 어깨를 드시거든요 ㅜㅜㅜ 그럴때도 깔아놓기 좋답니다 ], 긍정 텍스트 확률 : 53.44%"
"[ 하지만 역시나 제일 빛을 볼때는 바로 수유 할때에요 요새 습하고 더워지기 시작하는데 밖은 미세먼지라 문을 못 열고. 아 진짜 환장하겠다는 소리가 절로 나와요지금도 꽤나 더운데 에어컨 틀까 말까 고민중이에요], 긍정 텍스트 확률 : 96.17%"
"[그때 저 끝부분을 잡고 팔만 슥 빼면 안 깨우고 나올 수 있습니다 ㅠㅠㅠ기껏 재웠는데 팔빼다가 눈 뜨면..공포영화의 한 장면보다 더 무섭습니다 ㅎ.. ], 긍정 텍스트 확률 : 88.00%"
"[ 그리고 방수베개 커버 이렇게 베개 뒤에 끈으로만 묶어주면 방수 베개 완성 커버만 빨아주면 됩니다], 긍정 텍스트 확률 : 58.03%"
"[아기베개 가뜩이나 비싼데..특히나 좁쌀 이런거 들어있는건 토해주면 눈물납니다 ㅠㅠㅠ 이런 방수커버는 필수에요], 긍정 텍스트 확률 : 99.35%"
"[그럼 베개는 살릴수 있음], 긍정 텍스트 확률 : 50.81%"
"[ 이것 역시 오가닉에 대나무라 세균차단돼서 예민한 아가가 쓰기에 넘 좋아요아이엠트루 원단들이 기본적으로 다 오가닉대나무라 넘 사랑스러움.. 게다가 가격도 착해 ], 긍정 텍스트 확률 : 97.26%"
"[ 친구출산선물 리스트의 마지막 거즈블랭킷아..제가 수유하고 재운 직후라 그런지 머리가 땀에 절었어요 ㅠㅠㅠ머리 떡진거 아님아무튼 이것 역시 대나무 오가닉 중 거즈입니다], 긍정 텍스트 확률 : 93.41%"
"[ 요즘같이 더울때 아무것도 안 덮어주자니 배앓이가 걱정이고 덮어주자니 더워서 자꾸 깨거든요 그래서 요즘 덮어주기 딱인 거즈블랭킷이에요넘 맘에 듬 이건 들고 다니면서 바람 있을때 덮어주기도 좋고 햇빛 가리개로 하기도 좋고 여러모로 쓰임새가 엄청 많은 제품이에요처음 출산하면 사실 엄마도 잘 모르거든요], 긍정 텍스트 확률 : 99.99%"
"[저도 일단 낳고 나서 애기 물건 이리저리 알아봤는데 이건 신생아 때 있었으면 굉장히 유용하게 사용하지 않았을까 싶어요 ㅠㅠ아직 제 주변에 미혼인 친구들이 여럿 있는데 담에 친구출산선물 알아볼때 아이엠트루에서 알아봐야겠어요 .. ], 긍정 텍스트 확률 : 96.39%"
"[부드러운 방수요 아이엠트루 아기 방수요], 긍정 텍스트 확률 : 65.74%"
"[그리고 자는 아기 이불에 깔아 주기도 해요], 긍정 텍스트 확률 : 65.67%"
"[ 아기의 피부에 직접 닿는 방수요인만큼 부드러운 방수요를 찾게 되는데 보통은 뒷면이 매끈한 방수면이고 윗면은 톡톡한 면으로 되어 있어요 근데 그런 아기 방수요들은 세탁을 하게 되면 기능이 떨어진다해서 세탁도 잘 못하게 돼요 하지만 아이엠트루 아기 방수요는 세탁시 방수층 손상이 일반 방수요에 비해 적어요 아이엠트루 아기 방수요는대나무와 오가닉소재 로 된 양면 방수요로 흡수력도 좋아요 단면만 사용했던 기존의 방수요들과 달리 사계절 상황에 맞춰서 양면 모두 사용이 가능합니다], 긍정 텍스트 확률 : 52.47%"
"[ 아기의 피부가 닿는 표면은대나무 ], 긍정 텍스트 확률 : 55.78%"
"[목욕 후에 사용하기 좋아요], 긍정 텍스트 확률 : 56.53%"
"[ 아이엠트루 아기 방수요는앞면은 물론 뒷면 방수코팅도 형광물질이 나타나지 않는 무형광 방수코팅된방수요에요 아이에게 안좋은 성분인 형광증백제], 긍정 텍스트 확률 : 86.49%"
"[농약을다 빼고 아이가 안전하게 사용할 수 있는 제품이에요], 긍정 텍스트 확률 : 82.80%"
"[ 톡톡한 타월처럼 만져지는 뒷면도 언제든지 사용할 수 있고 귀여운 동물 문양도 사용할 수 있는 양면 방수요라 더더 좋은 아이엠트루 아기 방수요], 긍정 텍스트 확률 : 92.44%"
"[이날 푹 자다가 일어나긴했는데 밥도 안먹고 찍어서 기분이 그저그랬어여 ㅠㅠ 다은이는 웃는게 예쁜데 ㅠㅠ 에고 속상그래도 또오기귀찮으니 한번에 고고], 긍정 텍스트 확률 : 75.80%"
"[ 개월 다은이는요], 긍정 텍스트 확률 : 64.95%"
"[ 소은이때도 곰돌이 사진이 있었는데다은이도 곰돌이 사진찍더라구요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ귀엽당 ], 긍정 텍스트 확률 : 88.19%"
"[ 잘했지만 역시나 아쉬운건 미소가없음비몽사몽이기도했고수유도안했고 ㅠㅠㅠ애기 기분이 그닥이었답니다 ㅠㅠ흑 ], 긍정 텍스트 확률 : 93.18%"
"[ 위에가 다은이 일 사진이었고요], 긍정 텍스트 확률 : 50.50%"
"[ 소은이에요 우는거 아니고요 컨디션 좋은거고요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ용됬다 우리딸저때 엄청이뻐 보였는데 지금보니 웃음지뢰ㅋㅋㅋㅋㅋㅋㅋㅋㅋ소다 비교사진 ], 긍정 텍스트 확률 : 99.91%"
"[ 밑에도 역시 소다 비교사진 ], 긍정 텍스트 확률 : 75.39%"
"[다은이가 좀더 또랑하게 생긴느낌확실히 소은이가 분유먹은아가라 그런지 더 통통한것같기도하고요 둘다 건강하게 잘자라줘서 고맙 아이엠베베 일촬영 후기 . 소다자매 일비교사진], 긍정 텍스트 확률 : 53.38%"
"[개월 아기발달아이엠베베는 친절해서 추천하고비교사진은 쭉 올려봐야지 개월], 긍정 텍스트 확률 : 66.35%"
"[가장 사랑스러운 개월수라는데...나는 여전히 죽겠고ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그래도 사랑으로 키우렵니다], 긍정 텍스트 확률 : 90.77%"
"[에어메쉬대나무 중 거즈 수유토시베개], 긍정 텍스트 확률 : 58.53%"
"[에어메쉬로 폭신함과 통기성을 중 거즈로 엄마와 아기 땀을 빠르게 흡수해줘 수유토시와 수유베개를 하나로 사용이 가능하다. 또한 트림 시킬때 어깨 받이로 쓰거나 부피가 작아 외출시에 가지고 다니며 아기 기저귀를 갈아줄때 활용해도 굿], 긍정 텍스트 확률 : 75.77%"
"[ 그나저나 자길래 내려놓고 사진 좀 찍을랬더니 얼굴 벌게지면서 용쓰더니 눈 뜨심ㅠㅠ 힘들게 재워도 분 분 토끼잠 자고 깨는 울아들 ㅠㅠ 언제쯤 혼자 자고 통잠잘래...? 일의 기적을 바랬지만 .... 일 지났는데 여전하구요 예민 예민 세상 예민한 울아들], 긍정 텍스트 확률 : 92.35%"
"[ 엄마 뭐해요? 나 안자는데 케어 안해주고 뭐하냐고요? 라는 눈빛을 발사하고 있는 울애기 ㅋㅋㅋㅋㅋ 자는줄 알았는데 그렇게 눈뜨면 무섭다ㅠㅠ후ㅠㅠ 제발 깨지말고 오래 자줄순 없는거니...?], 긍정 텍스트 확률 : 53.27%"
"[아기들은 몸에 열이 많아 땀이 많이 나는데 특히나 수유할때 보면 머리에 땀을 젤 많이 흘린다 .... 거기다 배냇머리가 빠지는지 베개에 보면 머리카락이 늘 한가득 ... 첨엔 먼지가 왜이렇게 많이 붙었나 했는데 알고보니 다 울애기가 비벼서 빠진 머리카락이었음 ㅋㅋㅋㅋㅋㅋ 어쨌거나 땀에 젖어 세균이 번식하기 쉬운 베개에 간단하게 커버를 씌워 더욱 깨끗하게 관리가 가능한 아이엠트루 세균차단 데일리 방수 베개커버.], 긍정 텍스트 확률 : 70.66%"
"[ 보통 방수가 되는 원단은 땀 흡수가 잘 안된다는게 단점인데 아이엠트루 제품은 대나무 오가닉 원단으로 공기순환이 된다는게 가장 큰 메리트이다. 집에 있는 모든 베개에 사용이 가능하며 커버만 분리해 간단하고 빠르게 세탁이 가능하다는 점 또한 굿굿], 긍정 텍스트 확률 : 60.02%"
"[국내생산 로 믿고 사용 가능한 아이엠트루 추천합니당.], 긍정 텍스트 확률 : 84.92%"
"[블랭킷을 구매했어요.밤부베베와 사실 엄청 고민했거든요 ..둘다 같은 거 같은데.. 가격차도 나고.. 밤부베베를 더 많이 추천해주시는 거 같고...정말 많이 고민했답니다.. ], 긍정 텍스트 확률 : 74.26%"
"[ 아이엠트루 바부 거즈엠보 손수건 저는 거즈 손수건 장과 엠보 장을 샀어요면], 긍정 텍스트 확률 : 63.32%"
"[ 이건 아이엠트루 엠보손수건거즈보다는 두꺼운 느낌이 있어요세탁하면 줄어듦이 덜해요아기 엉덩이 닦아줄 때 좋다고 해요 두개 다 보들보들 좋은그낌이에요 촉감부터 좋아서 만족스러웠어요 ], 긍정 텍스트 확률 : 50.90%"
"[ 크기도 좋고], 긍정 텍스트 확률 : 92.18%"
"[대나무 로 이루어져 있다고 하네요], 긍정 텍스트 확률 : 53.84%"
"[ 일단.. 촉감 굿이에요 제가 쓰고 싶었어요 ㅎㅎ 두께감도 있고 너무 마음에 들었어요 크기로 되어있어요대다무 로 이루어져 있다고 해요 ], 긍정 텍스트 확률 : 99.99%"
"[ 밑에 잇는 사진은 아이엠트루 엠보블랭킷이에요 크기무게 부들부들한 촉감이 있어요 ], 긍정 텍스트 확률 : 62.70%"
"[마지막으로 아이엠트루 거즈 블랭킷이에요거즈 블랭킷은 속싸개로도 사용한다고 해요 크기오가닉], 긍정 텍스트 확률 : 97.34%"
"[와서 뜯으며 사진을 찍고 만져보며 만족감을 느끼고 있어요 ㅎㅎ세탁할 일만 남았네요 ㅎㅎ 세탁은 저번주에 했어요 내일 글 올리도록 할게요아이엠트루 가격대비 정말 좋아요 사이트 들어가셔서 한번 살펴보셔도 좋을 것 같아요 방수요도 구매할 예정이에요 ㅎㅎ저의 고민의 끝이 좋았으면 좋겠어요빨리 사용해보고 싶네요], 긍정 텍스트 확률 : 99.93%"
"[어제부터 시작한 임신 주차앞자리가 바뀔 생각하니 약간 두렵ㅋㅋ주차 되니 확실히 몸이 무겁 ㅠ운동을 안했던 몸이라 그런지무릎이 너무 아프다ㅋㅋㅋ꿀보는 옆구리 쪽이랑 배꼽 근처에옆으로 누워있다는데ㅋㅋ그래서 그런지계속 옆구리를 툭툭 치는 중지금 아이 자세는 계속 바뀐다고 하니일단 그런가보다 싶다ㅋㅋ크기도 어느새 죽순 한 개 정도처음에 딸기 한 개 무게라고 했을 때오빠랑 진짜 작다고 했는데ㅋㅋㅋ금방금방 커가고 있군.... ], 긍정 텍스트 확률 : 61.83%"
"[아이엠트루 대나무 로 목욕타월은디자인도 심플하면서 저 고래 자수가너무 귀엽당 ㅠㅠㅜ사실....저 고래가 넘 맘에 들어서꼭사고 싶었다ㅋㅋ실제로 보니 더 앙증맞음ㅋㅋ번외로...남편한테 꿀보가 나중에동물을 사랑하는 아이가 됐음 좋겠다고 하다가벌써부터 넘 많은걸 바라지말라며ㅋㅋㅋㅋ흥 ], 긍정 텍스트 확률 : 99.97%"
"[ 고민 끝에 더 톡톡한 그램으로 구매했다.너무 두꺼울까봐 걱정했으나생각보다 얇아서 오히려 맘에 든다 ], 긍정 텍스트 확률 : 52.51%"
"[무료 배송비 맞출려고 보니세탁망이 있어서 구매했다.난 평소에도세탁망은 평소에 잘 쓰는데아기꺼다보니 무형광 아기전용 세탁망이라큰 고민없이 구매함원형 중 개], 긍정 텍스트 확률 : 90.86%"
"[목욕수건은 고리형으로 되어있고 작아서여러모로 쓸모가 있어보인다. ], 긍정 텍스트 확률 : 62.70%"
"[포장에 드는 비용을줄여 조금 더 합리적인 가격으로판매한다고 한다. ], 긍정 텍스트 확률 : 60.93%"
"[또 다른 구매 이벤트로후기작성이벤트가있던데파리바게트 기프트콘이나재구매시 대나무손수건 장 증정더 구매할거 있음 대나무손수건 받아야지세탁 후 다시 포스팅 예정 .?아이엠트루아이엠트루.?아이엠트루아이엠트루 목욕타월 .?신생아신생아 목욕타월.?신생아목욕수건신생아목욕수건 .?아이엠트루아이엠트루 대나무.?대나무목욕수건대나무목욕수건 .?아이엠트루세탁망아이엠트루세탁망.?무형광세탁망무형광세탁망 .?아기세탁망아기세탁망.?신생아신생아 무형광 ], 긍정 텍스트 확률 : 91.99%"
"[입니다.임신을 하면 생리를 안해서 생리대가 전혀 필요없을 줄 알았는데..임신을 하면 염증이 없어도 분비물이 많이 나오더라고요.. ], 긍정 텍스트 확률 : 84.57%"
"[그리고 태아를 보호하려고 배란기 때 나오는 분비물처럼 우유빛에서 약간 노란색을 띄는 점액이 나온다고 하더라구요.], 긍정 텍스트 확률 : 69.17%"
"[그 양과 색은 임산부에 따라 다르고관리를 잘못하면 냄새나 간지러움이 생길 수 있어서 균이 생기지 않도록 통풍이 잘되는 임산부용 거즈가 대어진 속옷을 입거나 팬티라이너를 자주 갈아주거나 물 세척을 자주 해줘야한다고 해요.그러다가 최근 쓰던 팬티라이너가 다 떨어져서 새로 주문을 고민하던차에 이번 기회에 ], 긍정 텍스트 확률 : 88.66%"
"[뽀스락거림도 있고 반나절만 지나고 ], 긍정 텍스트 확률 : 52.20%"
"[레깅스에 묻는 일도 없더라구요.그렇게 면으로 된 흡수체에 대한 호감이 생겨서 면생리대도 사서 사용해봐야겠다 싶었고 생리혈이 묻으면 세척은 또 다른 번거로운 일이긴 하겠지만 생리기간이 아닐 때 일반 속옷을 입을 때 팬티라이너 대신 오가닉 면 생리대나 팬티라이너를 착용하면 훨씬 쾌적하겠다 싶어서 구매 결정을 하였습니다 ], 긍정 텍스트 확률 : 79.73%"
"[나의 첫 오가닉 밤부 면 생리대 ], 긍정 텍스트 확률 : 51.79%"
"[팬티라이너를 만들 때 밤부 대나무 원단을 사용하면 얼마나 위생적이고 부드러울지 ], 긍정 텍스트 확률 : 63.03%"
"[근종도 많다는데 먹는 것도 신경쓰는 요즘 팬티라이너도 신경써보려합니다 ㅎㅎ ], 긍정 텍스트 확률 : 96.02%"
"[팬티라이너 종세트 도착했어요아아. 포장이 좀 아쉽긴 해요이렇게 심플하다니 ㅎㅎ팬티라이너를 휴대할 수 있는 패키지가 나중에는 따로 생기면 좀 좋겠다 싶기도 했어요 ], 긍정 텍스트 확률 : 81.87%"
"[이렇게 슬림한 느낌확실히 사용해보니까 팬티라이너 착용한 느낌이 개도 없고 일회용 팬티라이너 착용했을 때와 달리 불쾌한 냄새도 없더라구요.아직 생리를 하지 않으니 간단하게 하루 정도 착용했다가 접어서 세탁기에 돌리거나 샤워할 때 손빨래해주고 바로 널면 되니까요.오가닉 팬티라이너의 경우 관리해줄 때 몇가지 참고사항만 지키면 년은 충분히 사용한다고 해요.제가 계산해보니까 일회용 팬티라이너 유명브랜드 제품은 개에 ], 긍정 텍스트 확률 : 59.17%"
"[ 원 정도로 개에 원원 꼴이더라구요. 순면이냐 한방이냐 어떤 항균처리가 되어있냐에 따라 개당 가격이 다른데 반영구적으로 사용가능한 오가닉 면생리대에서 팬티라이너 길이정도의 제품의 경우 아이엠트루 기준 개당 원 정도의 가격이니 오가닉 팬티라이너를 번만 사용해줘도 본전을 찾는 것이겠지요 년이면 충분히 제값을 한답니당 ㅎㅎ ], 긍정 텍스트 확률 : 56.75%"
"[천연세제 등을 별도로 구매해서 속옷 빨래할 때만 넣어 사용해주시면 더더욱 잔여물 없이 건강하게 우리 몸을 지킬 수 있겠지요], 긍정 텍스트 확률 : 54.58%"
"[임신 후 분비물 등으로 불편하셨던 여성분들은 이번 기회에 오가닉 밤부 생리대로 바꿔보세요충분히 개 세트만으로도 일주일 지내기는 충분합니다 후기끝 ], 긍정 텍스트 확률 : 97.62%"
"[아이엠트루 아가블랭킷 아기목욕수건 차원이 다른 부드러움 ], 긍정 텍스트 확률 : 60.80%"
"[예전에 여름매트도 사용해보았던 아이엠트루 아가블랭킷과 아기목욕수건이에요 아이엠트루는 년 한국 소비자 만족도 위를 한 곳으로 오가닉 섬유는 년동안 농약과 화학비료를 사용하지 않은 목화로 인증 받아 만든 제품이고 대나무 섬유는 유럽 오코스텍 인증을 받은 제품이라 믿고 사용할수 있죠 제품은 프리미엄 퀄리티지만 착한 가격으로 만날수 있고 국내 생산 프로라 품질도 믿을수 있지요], 긍정 텍스트 확률 : 90.04%"
"[아기목욕수건은 아래 소개하기로 하고요 먼저 아가 블랭킷을 보면요 엠보블랭킷으로 양면이 다른 소재로 되어 있어 사계절 내내 사용할수가 있고요 대나무오가닉 로 아기가 물고 빨아도 안심할수 있는 소재에요 안감 최고 등급인벨보아 엠보싱이들어가 있어 포근하고 부드러워 아기 피부에 자극도 없답니다 ㅎ ], 긍정 텍스트 확률 : 81.39%"
"[아가블랭킷에 이어 아이엠 트루 아기목욕수건이에요 ㅎ 화학염료를 사용하지 않은 깔끔한 하얀색 수건에 고래 한마리와 로고가 참 깔꼼해요만져보면 정말 보드러워서 좋더라구요 지금까지는 목욕수건을 천 기저귀로 사용했는데 이제 아기도 많이 크고 추워져서요렇게 대나무 섬유 의 흡수력 좋은걸로 교체해주려고요 ㅎㅎ 사이즈 역시 여유롭기 때문에 아기가 커도 쭉 잘 사용할수 있을거 같아요], 긍정 텍스트 확률 : 99.85%"
"[목욕하고는 요렇게 수건도 사용해봤는데흡수력이 정말 좋아서 딱히 말려주지 않아도 수건으로 감싸고 나오며 꾹꾹 해주니 마르더라구요 ㅎ그동안 천기저귀로 오래 말려준게 허무할 정도날이 추워지면 빨리 물기 닦고 옷입혀줘야 하는데 너무 잘 고른거 같아요 ㅎㅎ로션도 쓱슥 빨리 발라주니 아가도 춥지 않고 넘 좋으네요 헤헤], 긍정 텍스트 확률 : 99.10%"
"[울 아가꿀잠 부르는 아이엠트루 ], 긍정 텍스트 확률 : 92.92%"
"[아기에게 잠 잘 시간을 알려주는 의식을 수면의식이라 부르는데그 방법으로는 어떤 특정 음악 들려주기나목욕 후 불을 끄고 어두운 환경에서 수유를 한다거나포근한 잠옷 입혀주기 등이 있다.그런데 의도치 않게 아이엠트루에서 주문한], 긍정 텍스트 확률 : 67.88%"
"[대나무오가닉 섬유의 아기목욕수건], 긍정 텍스트 확률 : 52.07%"
"[그리고], 긍정 텍스트 확률 : 70.21%"
"[유아업계 최초로 프리미엄과 가성비 보증제를 실시한 곳으로], 긍정 텍스트 확률 : 50.67%"
"[ 왜 회사가 손해 볼 보증제를 실시하고 있지?? 싶어 찾아봤는데], 긍정 텍스트 확률 : 76.05%"
"[의 인증을 받은 대나무 원사를 사용하고 있다. 이면 아기 입에 들어가도 되는 물고 빨 수 있는 레벨을 뜻한다.거기다 ], 긍정 텍스트 확률 : 64.78%"
"[출산준비를 하면서 아기들이 입거나 쓰는 패브릭 소재에 대나무 섬유가 쓰인 제품을 엄마들이 선호한다는 사실을 알게 되었다.대나무 재배에는 화학약품이 사용되지 않으며화학약품 첨가 없이 대나무가 가지고 있는 특성으로항균 항취효과를 얻을 수 있으며특유의 부드러운 감촉을 가지고 있기 때문 ], 긍정 텍스트 확률 : 63.37%"
"[대나무 섬유가 들어간 수건은 처음 만져봤는데일반 새 수건을 만질때 느낄 수 있는 그 부드러운 촉감과는 비교가 되지 않는보들보들 부드러움이 손을 간지럽히는 느낌이 들정도다.사이즈는 정사각형으로 ], 긍정 텍스트 확률 : 76.30%"
"[내가 만져볼때에도 촉감이 너무 좋았는데울 딸램도 좋았는지 목욕 후 몸을 닦는데 얌전하다.조용히 외할머니가 닦아주는대로 기분좋은 샤워타임을 마치고 있는 떵이 ], 긍정 텍스트 확률 : 97.52%"
"[안감으로 최고 등급벨보아 소재로 엠보싱을 넣었다는데엠보싱 사이 공기층 형성 덕인지보기와 다르게 두꺼운 이불을 덮은 느낌의 따듯함이 있다. ], 긍정 텍스트 확률 : 64.19%"
"[거기다 가볍게 덮혀 흘러내리는 느낌이 아니라엄마가 슬며시 안아주는 정도의 포근한 덮힘 ], 긍정 텍스트 확률 : 71.55%"
"[반으 접어서 덮어줘도 신생아에게 사이즈가 맞을 정도이기 때문에넉넉한 크기로 이것도 클 때까지 충분히 쓸 수 있겠더라. ], 긍정 텍스트 확률 : 57.45%"
"[無농약의 대나무 오가닉 섬유 ], 긍정 텍스트 확률 : 52.07%"
"[ 국내생산 합니다.그래서 더더욱 믿을 수 있어요. ], 긍정 텍스트 확률 : 93.66%"
"[ 페이스타월입니다.아이엠트루 마크가 한쪽에 깔끔하게 새겨져있어요. ], 긍정 텍스트 확률 : 54.87%"
"[ 페이스타월 아래에 바스타월이에요. 사이즈 넉넉하니 아주 좋아요.대나무의 자연항균항취 작용으로 아이피부를 지켜주고부드러움과 흡력이 다른 일반 일반타월과 확실히 다르더라구요.색상은 정말정말 하얀 색상인데제 사진에는 약간 베이지색처럼 나왔네요.ㅠㅠ ], 긍정 텍스트 확률 : 99.41%"
"[ 하루 번 모닝응아와 자기전 응아하는 우리딸..이날도 어김없이 자기전 응아를 푸지게했어요.딸이라 물티슈로 응아 제압후 물로 씻겨주는데 대충 두르고만 있어도 물기 싸악 흡수했어요.사이즈도 페이스타월인데 아가 다리 다 덮을 크기입니다. ], 긍정 텍스트 확률 : 80.58%"
"[ 다음날 우리 딸 목욕했는데 역시 바스타월로 빠르게 물기 닦아냈어요.기존에는 큰 물놀이 타월을 사용했는데 타월이 좀 억세기도했고 물기를 잘 흡수하지못해여러번 톡톡톡 비비적 닦아냈거든요.아이엠트루 바스타월은 그럴필요없이 닿기만해도 물 흡수력 대박입니다.저는 친정집과 우리집을 오가며 생활하는데 친정집에서 쓰는 아기 수건이 보풀도 심하고 너무 꼬질해서요걸로 바꿔줬어요.밤부소재 타월 알아보시는 육아맘들 비싸서 망설이신다면 아이엠트루 아기타월 적극 추천합니다. .. .. ], 긍정 텍스트 확률 : 99.97%"
"[해당업체로부터 제품을 지원받아 작성된 후기입니다. ], 긍정 텍스트 확률 : 64.30%"
"[ 가성비 좋은 아이엠트루대나무 무형광 바스타올], 긍정 텍스트 확률 : 50.23%"
"[손수건세탁망에서 만족스러웠기에이번에도 기대를 가져본다. ], 긍정 텍스트 확률 : 53.46%"
"[넉넉한 사이즈가 마음에 든다.봄에 태어날 아기에게 깔아줘도], 긍정 텍스트 확률 : 80.57%"
"[ 살짝 덮어줄때 써도 좋을것 같아서 여유있게 구매.또한 흡수력이 뛰어난다고 한다. ], 긍정 텍스트 확률 : 92.32%"
"[꽤 도톰하고 보들보들세탁을 했음에도 변형없고 또 한번 만족한다. ], 긍정 텍스트 확률 : 87.11%"
"[개 구매ㅋㅋ 목욕 많이 시키니까 배개대신 머리에 깔아줘도 좋을것 같음.대나무 섬유라 아기한테 좋고요 ], 긍정 텍스트 확률 : 89.74%"
"[모든게 처음이다보니 세탁하는것 조차도어려워요], 긍정 텍스트 확률 : 60.19%"
"[근데 친절하게 알려줘서 쉽게 빨래함 ], 긍정 텍스트 확률 : 68.06%"
"[ 직접 구매하고 쓴 후기입니다. .?아이엠트루아이엠트루.?출산준비물출산준비물.?예비맘예비맘.?착한가격착한가격.?아기바스타올아기바스타올.?밤부천기저귀밤부천기저귀.?대나무타올대나무타올.?대나무원단대나무원단.?가성비최고가성비최고], 긍정 텍스트 확률 : 99.51%"
"[★ 바디슈트는 배냇저고리 다음 단계에서 많이 입히시는데 내복보다도 기저귀 갈기 편리하고], 긍정 텍스트 확률 : 53.90%"
"[아기 베개 등 다양한 용도로 사용할 수도 있구요], 긍정 텍스트 확률 : 55.44%"
"[기저귀 갈 때 등 엄청 자주 쓰는 아이템이거든요 ㅎㅎㅎ요 세가지 필수템을 아이엠트루에서 선물 받아서 따끈따끈한 후기 남겨용아이엠트루는 ], 긍정 텍스트 확률 : 85.19%"
"[그럼 짱짱한 품질을 보증하는 아이엠트루의 신생아용품 필수템들을 하나씩 차례로 살펴볼게용. 아이엠트루 뽀송뽀송 소픝트 오가닉 바디슈트 .?무형광무형광.?무표백무표백.?오가닉오가닉 원단], 긍정 텍스트 확률 : 56.06%"
"[아이엠트루의 무표백], 긍정 텍스트 확률 : 52.07%"
"[무형광 오가닉 바디슈트에용포장도 엄청 사랑스럽죠?ㅎㅎㅎ열어보면 더 깜찍하답니당.오가닉 소재의 무형광], 긍정 텍스트 확률 : 82.46%"
"[뒷면을 보면 세탁요령도 나와있어용ㅎㅎㅎ요즘 신생아용품들은 엄마들의 편의를 위해서 손빨래 대신 세탁기 사용이 가능한 제품들이 많더라구용 오가닉 바디슈트도 세탁기 사용 가능하구요], 긍정 텍스트 확률 : 90.55%"
"[또 하나의 섬세한 손길은 바로 요 박음질에 있어용연약하고 예민한 아가 피부에 자극이 되지 않도록 솔기가 바깥쪽으로 박음질 되어 있네용 짱이쟈나 ], 긍정 텍스트 확률 : 79.76%"
"[섬세하고 꼼꼼하게 만들어진 바디슈트 제일 먼저 살펴보고 완전 반했어용ㅎㅎㅎㅎ비싼 브랜드 아기옷들도 이런 세심한 부분 빼먹는 경우가 많거든요아이엠트루는 정말 이름값을 하는 듯해요. 아이엠트루 뽀송뽀송 소프트 오가닉 거즈 손수건 .?무형광무형광.?무표백무표백.?무자극무자극.?더블거즈더블거즈.?오가닉오가닉 원단 ], 긍정 텍스트 확률 : 54.23%"
"[두번째로 살펴본 제품은 소프트 오가닉 거즈 손수건이에요소프트 오가닉 거즈 손수건 역시 무형광], 긍정 텍스트 확률 : 94.47%"
"[무자극 제품으로 아기 피부만을 생각했어요], 긍정 텍스트 확률 : 56.18%"
"[아주 얇고 곱게 직조되어 있어서 촉감이 굉장히 보드랍구요이렇게 살펴보면 손이 비치는 정도에용 ], 긍정 텍스트 확률 : 79.18%"
"[끝부분은 쉽게 풀어지지 않도록 더 짱짱하게 직조되어 있고 마무리 박음질도 깔끔하게 되어 있네요역시 품질하나는 믿고보는 아이엠트루에용ㅎㅎㅎ ], 긍정 텍스트 확률 : 89.23%"
