"[인스타그램 이벤트를 통해 알게 된프랑스약국기저귀 마르마이플러스 ], 긍정 텍스트 확률 : 88.17%"
"[약하게 태어난 울 꼬맹이큰 꼬맹이가 건강하게 태어난 신생아가 아니었던지라 둘째 임신하고 신경쓰면서 알아본 건 애보험 이에요.첫째 태어나 바로 인큐베이터 사용해야 하는 상황에어리둥절 눈물 흘리기 바빴던 것 같아요. ], 긍정 텍스트 확률 : 90.47%"
"[애 보험은 임신초기에 일찍 알아보고 준비하면업체에서받을 수 있는 혜택이 좀 더 많을 수 있어요. 태어나 어린이가 되는 성장기 까지 생각하며전문적인 설계 도움 받아야 하구요. ], 긍정 텍스트 확률 : 54.77%"
"[ 특약은 꼭 필수 로 넣는게 좋아요. 울 큰애 인큐베이터 사용금액 엄청 비싸서놀랐다고 했잖아요. 태아특약이 아이가 질환이나 질병으로 병원 진료 받았을 경우 보장 받을 수 있는 담보상품 이거든요. ], 긍정 텍스트 확률 : 95.70%"
"[ 성인 되어 보장 받을 수 있는 대 암질환], 긍정 텍스트 확률 : 90.39%"
"[설계 내용은업체에 요청하면 받을 수있더라구요. 어떤 것들 있나 살펴 본 후 상담받는게 훨 수월하게 애 보험 챙길 수 있는 방법이에요.간편 서류 만으로 사후처리 되는 것도 중요 하니까병원비 보상청구할 경우 어떤 서류 필요한지 것도 꼭 물어 보시구요.보험료 오른다 하니까 얼마 안 남은 년아이보험 마무리 꼭하셔요큰 아인 지인 소개 받아 업체에서 설계 상담 받고 진행했는데개인적으로는 오히려 지인이 더 불편 했던 것 같아요. 사은품 혜택 같은거 많이받고자 하는 욕심에 지인 카드 쓴 거긴 한데 경험해 보니 지인 카드는 묵혀 두는게 좋은 듯 합니다.맘 카페나 검색으로 태아보험순위비교 사이트 알아 보심정보 깨알 같이다 나오거든요. 엄마들이 맘에 드는 곳 선택 하는게 더 이득 일 수 있어요. 지인 소개 잘 못 받으면 감정적으로 힘든 것도 추가 될 수 있겠더라구요. 설계사님 잘 만나는 것도 굉장히 중요해요.], 긍정 텍스트 확률 : 99.99%"
"[ 주구장창 말 했던 울 큰애 사진 올려봐용 호호아직도 꼬맹이죠. 남들 눈엔 정말 많이 컸다 하는 정도로성장하고 있는 중인데 제 눈엔 언제나 꼬맹이], 긍정 텍스트 확률 : 99.69%"
"[엄마 사랑 많이 받고 자란 베이비라받은 사랑 만큼 표현 아낌 없이 하는 사랑스러운 아이 기도 해요.가정교육 중요하다. 란 어른들 말씀을 아이 키우면서 느꼈어요. 사랑 표현은 가정에서 부터 잘 해야애가 느끼고], 긍정 텍스트 확률 : 100.00%"
"[사랑 할 줄 아는 사람으로 성장하게 되는 것 같아요. ], 긍정 텍스트 확률 : 83.98%"
"[ 지금은 옆에 안 계시지만 생전 할아버지는 그러니까 울 아빠죠. 큰 애를 끔찍하게 아끼고 사랑했던 아빠가 집 안 곳곳 손주 생각하며 남겨 놓은게 많아요. 얼마전 아빠 생신 이었던 지라 생각 많이 나네요. ], 긍정 텍스트 확률 : 96.43%"
"[날 이뻐했어요. 사랑하고 뽀뽀했어요. 라고 답 하더라구요. 애들도 자기 사랑 받았던 기억은 잊지 않고 딱 저장해 놓더라구요.큰애도 건강해야 하고 울 둘째 건강하게 태어나 가족 모두 행복한 라이프 지내고 싶은게 올해 제 꿈이고 새해 목표기도 해요. 울 엄마들은 어떤 새해 목표 준비 하고 계신가요? 아무리 생각해도 건강이 최고긴 하죠. 울 식구도 모두 건강한 연말 보내고 새해 맞이 하길이 글 읽은 분들 역시 모두 건강 하시길 바랄게요. 새해 복 많이 받으시구요잊지 마세요 보험료 인상 ㅋㅋ 놓치지 말아죠. 빅 혜택은 우린 알뜰살뜰 꼼꼼한 대한민국 예비맘], 긍정 텍스트 확률 : 100.00%"
"[밥 먹자], 긍정 텍스트 확률 : 65.75%"
"[목욕하자 하면 도망부터 가는 거?. .ㅋㅋㅋㅋㅋ.뭐 이렇게 말하다가는 날 샐 것 같은.그런 육아전쟁 속에 연명하고 있는 요즘입니다.. ], 긍정 텍스트 확률 : 73.38%"
"[ .그래도 아시죠?.이렇게 울고 불고 떼쓰다가도.잘 먹는 모습], 긍정 텍스트 확률 : 95.24%"
"[잘 노는 모습.한 번 웃어주면.그 동안 힘들었던 거 싹 잊혀지고 또 힘내서 육아한다는 거.. .참 이 맛에 애 키우는 구나 싶을 정도로.잘 노는 모습 볼 때면 특히.육아전쟁이 준 피로가 싹 잊혀지는 것 같은데요. ], 긍정 텍스트 확률 : 99.42%"
"[유아학습지 같은 것에.관심을 크게 갖게 되는 것 같아요. ], 긍정 텍스트 확률 : 87.90%"
"[ .책을 활용해 다양한 놀이를 할 수 있거나.더 다양한 방법으로 활용해야.아이가 꾸준히 관심을 갖게 되는데.유아교육과 출신도 아니고.유치원 교사 경력도 없는 저에게.책놀이란 그저 너무 어려운 과제.. ㅜㅜ ], 긍정 텍스트 확률 : 77.84%"
"[ .이럴 때는 웅진북클럽 곰돌이 베이비와 함께.책도 보고], 긍정 텍스트 확률 : 77.87%"
"[놀이도 하고], 긍정 텍스트 확률 : 52.59%"
"[ .보고], 긍정 텍스트 확률 : 52.61%"
"[만지며.오감 발달을 도와주면 정말 좋더라구요. ], 긍정 텍스트 확률 : 85.95%"
"[ .제가 홀딱 반한 앙팡이의 첫 놀이학습 프로그램.웅진북클럽 곰돌이 베이비.. .매달 월 회.선물 받듯이 교재와 교구를 배송 받을 수 있어요.. .놀이 교재 권], 긍정 텍스트 확률 : 64.03%"
"[ .놀잇감 종이 들어있고.웅진북클럽 전용 전자펜인 베베톡과 함께 활용할 수 있는.베베톡으로 톡’이 함께 들어있어요. ], 긍정 텍스트 확률 : 59.65%"
"[ .단계개월.단계개월.단계개월.총 개의 단계로 나뉘어져 있는데.앙팡이는 전반적인 인지발달과 성장발달이.조금 빠른 편에 속해서.단계 안하고 바로 단계 학습으로 시작했어요.. .활용하기 적합한 개월 수가 있지만.아이의 발달에 맞춰 선택하시는 게.가장 효율적일 것 같으니.꼭 큐레이터와 상담 후에 결정하시길 추천드려요 . .각 단계는 총 개월 분량이라.각 단계의 모든 교재를 합치면.학습지 권], 긍정 텍스트 확률 : 88.37%"
"[교구 활용이 가능해지니까.경제적인 측면에서도 만족도가 큰 데요.. .교재], 긍정 텍스트 확률 : 54.38%"
"[교구를 하나씩 살펴보면.그 만족도가 더욱 커지는 것 같아요.. .보여드릴 구성은 월 한달치 구성이에요 ], 긍정 텍스트 확률 : 99.42%"
"[ .먼저 모든 놀이와 학습의 기초가 되어주는.놀이교재에요..표지 가득 귀여운 베베 캐릭터가 그려진 교재가.월 권 제공 돼요. ], 긍정 텍스트 확률 : 93.31%"
"[ .놀이교재는 성장 시기별.표준 보육 과정을 바탕으로 구성되어 있어요.. .아이들 개월쯤 되면.반 정도는 어린이집에 가는 아이들이 있고], 긍정 텍스트 확률 : 63.76%"
"[ .또 반 정도는 아직 가정보육으로 자라게 되는 것 같은데요.. .저도 일찌감치 어린이집을 보낼까도 생각했지만.이것 저것 고민하다 보니 입소 시기를 놓치기도 했고], 긍정 텍스트 확률 : 95.55%"
"[ .조금만 더 데리고 있고 싶어.어린이집 입소를 내년으로 미뤘거든요.. .엄마 품에서 키울 수 있어 좋기도 하지만.한편으로는 어린이집에서 할 수 있는 다양한 활동을.집에서는 다 해주지 못한다는 아쉬움이 있었는데요. ], 긍정 텍스트 확률 : 97.22%"
"[ .사회관계], 긍정 텍스트 확률 : 93.18%"
"[예술경험.총 개의 분야에 걸친 표준 보육 과정에 대한.다양한 신체 활동과 말놀이를 할 수 있으니.엄마표 놀이], 긍정 텍스트 확률 : 68.26%"
"[ .같이 귀염둥이 판다의 생김새를 관찰해 보기도 하고], 긍정 텍스트 확률 : 51.51%"
"[ .나비처럼], 긍정 텍스트 확률 : 60.07%"
"[개미처럼], 긍정 텍스트 확률 : 67.12%"
"[메뚜기처럼 놀아보며.신체활동은 물론 의성어], 긍정 텍스트 확률 : 55.62%"
"[의태어를 통해 언어 자극을 해줄 수 있죠. ], 긍정 텍스트 확률 : 72.93%"
"[ .단순히 놀이 방법을 알려 주는 것뿐만 아니라.스티커를 붙이거나 팝업을 조작해볼 수 있어.워크북 용도로도 잘 사용하고 있고요. ], 긍정 텍스트 확률 : 94.29%"
"[ .놀이교재는 월 권 제공 되는.그림책과 함께 보면 더욱 좋답니다. . .이번 달에는 내 거야 내 거라는 그림책이 왔어요..개구진 느낌이 나는 일러스트가 정말 귀여워서.책장에 꽂아놓기만 해도.아기방 인테리어에 한몫 하는 것 같은 이 아기그림책 ], 긍정 텍스트 확률 : 99.50%"
"[ .아이들 시각 자극에 좋은.원색의 컬러와.아이가 직접 그린 것 같은 귀여운 그림이.어른 보기에도 재미있게 구성되어 있어요.. .웅진북클럽에서 엄선한 도서인 만큼.아이들 눈높이에 딱 맞고], 긍정 텍스트 확률 : 99.18%"
"[ .그 자체로도 우수한 퀄리티라 더 마음에 들어요. ], 긍정 텍스트 확률 : 68.69%"
"[ .놀이교재와 아기그림책 볼 때는.웅진북클럽 전자펜 베베톡을 함께 활용하면 좋아요. ], 긍정 텍스트 확률 : 57.03%"
"[ .베베톡에 곰돌이 음원 파일을 다운 받아 넣어두면.놀이교재와 그림책을 콕콕 찍기만 해도.효과음과 함께 더욱 실감나는.교재동화 구연을 들려줄 수 있거든요. ], 긍정 텍스트 확률 : 64.89%"
"[ .그리고 북패드와 베베톡 펜을 블루투스 연동해서.매 월 오는 택배 박스 속에 함께 들어있는.베베톡으로 톡’을 통해.관련 영상을 보여주기도 하고], 긍정 텍스트 확률 : 60.14%"
"[영상을 활용하면.더욱 풍부한 콘텐츠로 오감 자극을 해줄 수 있죠.. ], 긍정 텍스트 확률 : 94.16%"
"[ .그리고 북패드로 다양한 디지털 콘텐츠 보면서.앙팡이 언어 자극도 많이 되고 있거든요..엄마], 긍정 텍스트 확률 : 77.80%"
"[ . ......... .놀이교재와 그림책], 긍정 텍스트 확률 : 54.57%"
"[놀잇감과 디지털콘텐츠까지.가지 학습 도구를 오가며.오감발달에 도움을 줄 수 있는.사위일체 학습 프로그램.웅진북클럽 곰돌이 베이비.. .우리 아이 첫 학습지로.지금 선택해 보세요. . . . . . .본 포스팅은 웅진북클럽으로부터 원고료를 받아 작성되었습니다 ], 긍정 텍스트 확률 : 96.06%"
"[ 수원에서 문화센터를 들을 수 있는 곳은백화점은 롯데], 긍정 텍스트 확률 : 90.24%"
"[이마트이렇게 크게 있는 것 같은데아직 다 들어본 건 아니지만 그래도 백화점이환경이나 프로그램이 잘 되어 있는 것 같았어요.그래서 겨울학기는 날씨가 추우니한 번 나갈 때 몰아서 듣자 싶어서첫 번째는 수원 롯데백화점 문화센터를두 번째는 기존에 들었던백화점 문화센터 를등록했답니다. ], 긍정 텍스트 확률 : 76.59%"
"[ 수원 롯데백화점 문화센터 프로그램 중고민을 많이 했었는데참고할만한 게 수업 일정표와저처럼 엄마들이 남긴 문센 후기였어요.많은 후기들을 참고해서 결국엔 점핑베이비를 선택사실 이름만 들으면 뭔가 신나고 체력적인 수업일 것같았는데 수업 시작하면서 동시를 읽는다는 것에 반전매력이 있던 수업이었습니다 ㅋㅋㅋ ], 긍정 텍스트 확률 : 51.56%"
"[ 드디어 월 일 수요일 첫 수업시 분 수업인데 서둘러도 항상 딱 맞춰 도착 ㅋㅋ분 전에 주차는 지하 층에 하고], 긍정 텍스트 확률 : 55.77%"
"[ 가을학기부터 문센을 같이 듣는여자친구 복순이에요 ㅋㅋㅋㅋㅋ이 점핑베이비 수업 끝나고 다음에 듣는 문센 리틀킹콩에서는 명의 친구가 함께해서다 같이 문센룩도 맞춰 첫날같이 입었답니다. ], 긍정 텍스트 확률 : 64.92%"
"[ 엄마들도 정말 오랜만에 보는우리 전통 악기 소고요즘엔 소고도 참 예쁘게 나와요?저희 땐 천까진 안 둘렀던 것 같은데....ㅋㅋ ], 긍정 텍스트 확률 : 96.00%"
"[꿀복이는 개월이라입으로 더 먼저 가지고 가는 시기에요. ], 긍정 텍스트 확률 : 54.51%"
"[ 물론 아기들은 아직 소고 막대를 가지고칠 줄은 모릅니다 ㅋㅋㅋㅋ그래도 만져가며 가지고 노는 모습을 보고전통악기를 접할 수 있는 기회가 된다는 것만으로도좋은 수업이 되는 것 같았어요 ], 긍정 텍스트 확률 : 98.42%"
"[ 아직은 엄마 마음대로 수업을 즐길 수는없는 시기인 것 같아요 ㅋㅋㅋㅋ그래도 같이 있는 모습 보니깐 예뻐서사진], 긍정 텍스트 확률 : 98.83%"
"[영상 많이 많이 남기게 되네요 ㅎㅎ ], 긍정 텍스트 확률 : 94.01%"
"[ 아가들은 특히 우리 꿀복쓰는머리 위에 씌우는 걸 진짜 진짜 싫어하는데 ㅋㅋㅋㅋ이건 좀 커서 그런지 벗기려다 계속 실패 ㅋㅋㅋ엄마는 후다닥 사진을 마구 찍었답니다. ], 긍정 텍스트 확률 : 50.79%"
"[ 복순이랑 함께 하니깐 복순이 갓도 씌워서같이 사진도 남겼어요서로 서로 이렇게 찍어주는 것도 역시 좋아요 ㅎㅎ ], 긍정 텍스트 확률 : 99.44%"
"[ 전동음악놀이로 소고에 이어서이번엔 큰 장구를 가지고 소리를 들어보았어요.앞에서 선생님이 먼저 시범을 보여주셨는데그 모습 보고 멀리서부터 기어가는 아기들 ㅋㅋㅋ저희 아기들은 아직 기어 다니지 못해서어쩌면 다행?ㅋㅋㅋㅋ보통 개월이 지난 아기들 수업에선이런 모습 흔할 것 같더라고요. ], 긍정 텍스트 확률 : 69.01%"
"[ 장구 안에 공들이 들어 있어서작게 치면 작게 튀어 오르고], 긍정 텍스트 확률 : 56.04%"
"[ 크게 치면 크게 튀어 오르는 소리의 차이도느낄 수 있는 장구놀이였답니다.엄마들이 장구를 쳐주면 아기들이 집중해서안에 있는 공을 보더라고요 ], 긍정 텍스트 확률 : 68.17%"
"[ 수업은 분이지만 정말 순식간에 지나갔어요 ㅋㅋ수원 롯데백화점 문화센터 겨울학기 첫 수업이었는데아가들 재밌게 잘 즐긴 거 같죠?ㅎㅎㅎ ], 긍정 텍스트 확률 : 95.90%"
"[ 다시 층에서 맛있는 점심도 먹었어요.아기 의자에 앉혀놓고 먹는데 둘이 앉아있는 모습이어찌나 귀여운지 ㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 97.16%"
"[ 복순 엄마의 희생?으로 쓰리샷도 남겼답니다 ㅎㅎㅎ ], 긍정 텍스트 확률 : 65.06%"
"[ 둘이 소리 지르는 모습이 너무 귀여워서동영상으로 남겼는데 어찌나 웃기던지 ㅋㅋㅋㅋ나중에 둘이 무슨 얘기 했나 물어봐야겠어요 ㅋㅋㅋ벌써 내일이 주 차 수업인데빨리 주 차 후기도 남기겠습니다 ], 긍정 텍스트 확률 : 73.62%"
"[ 모두들 추위에 안녕하신가요?갑자기 추워진 날씨에 급하게 패딩도 꺼내고장갑도 꺼내놓고 아기 감기라도 걸릴까 봐꽁꽁 싸매고 외출을 하였네요이제 겨울 시작인데 이 정도니 본격적인 겨울이 시작되면 추위를 어찌 견딜지 벌써부터걱정이 이만저만이 아니네요 ㅠㅠ그래도 햇살은 참 눈이 부시게 예쁜 하루였어요.미세먼지도 없이 깨끗한 하늘은 보고만 있어도흐뭇 흐뭇합니다 ㅎㅎ공기는 차가웠지만 베이비플러스 고양점에서유모차 진열 특가전을 한다고 해서베이비페어 가기 전에 살짝 들러보았네요다른 건 몰라도 유아용품 할인 소식은 또 제가 기가 막히게 빨리 접하지 않겠습니까?ㅋㅋ찾아가기 어렵지 않을까 걱정했지만생각보다 쉽더라고요킨텍스 베이비페어 가는 길에 있어서 먼저 방문했다가 가면 되니 일정도 딱 맞았어요그리고 주차장이 진짜 넓어서 주차 걱정은 안 해도 되니 전 그게 최고 좋더라고요베이비플러스 고양점은 일산과 파주 그리고 삼송딱 가운데에 위치하고 있어서 위치적으로도아주 좋은 것 같아요딱딱 하니 동백꽃에 용식이 말투가 생각나네요 ㅋㅋ요번 주가 마지막 회라는데 이제 무슨 낙으로살까 싶어요... 흑흑흑..... ], 긍정 텍스트 확률 : 96.60%"
"[ 꼭 드라이브하는 것처럼 멋지게 물든 단풍길을달리가 보면 멀리서도 한눈에 알아볼 수 있게매장 간판이 보이더라고요가는 길이 정말 아름다웠답니다예전에 베이비플러스 일산점], 긍정 텍스트 확률 : 98.03%"
"[ 매장에 들어서니 너무 따뜻해서 기분이 좋았어요창고형 할인매장이라 해서 제품들이 마구마구 산더미같이 쌓여 있을 것만 같았는데마치 백화점에 온 것처럼 어찌나 쾌적하고 깨끗하던지... 상품 정리가 잘 되어 있어서한눈에 쏙 들어오는 게 쇼핑하기에도 너무나편리했어요 요새 내 놓으라 하는 유명한핫한 브랜드부터 저도 몰랐던 다양한 제품들이한곳에 모여 있어서 발품 팔지 않고도 편하게 구입할 수가 있더라고요.베이비페어보다 훨씬 좋구나 싶었고요전 워낙에 저질체력이라서 베이비페어에 가면조금 걷고 지쳐서 쉬는 게 반이었거든요.그리고 그곳에서는 샘플과 사은품 받는 재미가 쏠쏠한데 요즘은 예전만큼 주시는 곳도찾기도 힘들더라고요 ], 긍정 텍스트 확률 : 87.44%"
"[ 겨울 내의도 할인행사. 특히], 긍정 텍스트 확률 : 66.81%"
"[여름 내의는 원가 할인 중이어서 미리 몇 장 쟁여놓으려고예쁜 디자인으로 골라봤네요원단을 직접 만져보고 구입할 수 있어서 좋았고요온 김에 외국에 있는 친구 아기 선물도 구입했어요.메이드 인 코리아 실내복을 친구가 굉장히그리워하더라고요우리나라 실내복 원단이 정말 좋아요. ], 긍정 텍스트 확률 : 97.05%"
"[ 앞에서 말했지만 이번 주 킨텍스 베이비페어 기간이라서가기 전에 특급 행사 소식을 듣고 베이비플러스 고양점에 먼저 방문했더랬죠. 바로 유모차 진열 특가전진열 제품을 정말 저렴하게 득템할 수 있는 기회이런 제품이라고 해도 오래된 것이 아니기 때문에얼마 안 된 진열들은 거의 새 상품이라고 생각들 만큼 상태 최고더라고요.특히 제가 보고 싶었던 예떼유모차는 진열 특가가격보다도 더 저렴하게 이벤트 할인행사 중이라새 제품을 인터넷 최저가보다도 훨씬 더 저렴하게 구입할 수 있어요전 미리 재고 확인을 하고 예떼 총사를 보러 직접 방문을 한 거거든요예떼 유모차가 직접 사용해 본 엄마들의 후기를 보면가성비 좋은 유모차라고 많이들 만족하시더라고요 ], 긍정 텍스트 확률 : 84.40%"
"[ 예떼는 독일 제품이에요. 독일의 기술력은 정말최고이죠 차도 독일차를 제일로 알아주잖아요먼저 디럭스 제품인 예떼 제레니모.디럭스라면 무조건 크다는 선입견을 없애준 유모차 중 한 가지죠.의 디럭스지만 절충형 겸용으로 디럭스임에도불구하고 콤팩트한 사이즈와 무게로 여행 가거나차에 실을 때 부담 없이 사용할 수 있어서많이들 선호하시더라고요.침대처럼 눕혀지는 도 각도 조절.풀 차양 캐노피가 아기가 더욱 편안하게 쉴 수 있게도와줍니다. 핸들링을 보기 위해 이리저리 끌어보니핸들링도 합격 정말 부드럽게 잘 밀리더라고요.엄마의 마음에 쏙 드네요 ], 긍정 텍스트 확률 : 100.00%"
"[ 요 버튼을 살짝 누르면 핸들 각도 조절도 됩니다.고급스러운 가죽 핸들도 제 맘에도 쏙 드네요추가로 핸들커버 구입할 필요는 없을 것 같아요. ], 긍정 텍스트 확률 : 98.06%"
"[ 고양 페이 한도가 만 원에서 만 원으로올랐다고 해요. 꼭 일산 고양 쪽 거주자가 아니어도누구나 카드 발급받을 수가 있고 만 원충전하면 바로금액이 들어옵니다.타 지역 주민들도 이용 가능하니 용품 구입할 때미리 발급받아서 매장 방문하시길 권해드려요다만], 긍정 텍스트 확률 : 67.40%"
"[고양 페이 사용처가 정해져있어요.바로 베이비플러스 고양점이 고양 페이 사용처라니희소식이 아닐까 싶어요많은 분들이 모르셔서 사용 못 하고 계실 것 같아서 할인 팁 공유해봐요 ], 긍정 텍스트 확률 : 73.93%"
"[ 폴딩이 이렇게 간단해요. 셀프 스탠딩이 되니집 현관 공간도 넓게 사용할 수 있겠네요.항공 알루미늄 프레임 재질이라서 더욱 가볍고튼튼하고요 지미역시 전국 최저가였어요가격은 매장에 직접 문의해달라고 하시더라고요여기에 고양 페이할인까지 추가로 받는다면가격이 더 내려가겠죠??ㅋㅋ ], 긍정 텍스트 확률 : 68.35%"
"[ 아이의 성장에 따라 발받침 각도 조절도 가능하고요바퀴 개에 있는 서스펜션이 충격을 줄여주기 때문에아이에게 가해지는 충격도 막아주고핸들링도 부드럽게 도와줘요뒷바퀴에 있는 브레이크 살짝만 눌러주면 되니이것 또한 정말 편하겠더라고요. ], 긍정 텍스트 확률 : 85.52%"
"[ 엄마들이 좋아하는 예떼 줄리안이 컬러가 다양해서 선택의 폭도 넓어요저 같은 선택 장애 엄마들은 고민이 좀 되겠지만은요ㅎㅎ 캐노피 컬러가 다른 투톤도 너무 예쁘지요?프레임도 무광과 미러로 선택 가능해요전 미러 프레임이 마음에 들었는데 무광 프레임을직접 보니 더 고급스러운 거 있죠??관리하기도 더 쉬울 것 같고 말이죠.베이비플러스 고양점에서는 모든 컬러를 보유하고 있어서 내가 원하는 색상으로구입할 수 있어요.이렇게 모두 다 가지고 있는 유아용품 매장은많지 않더라고요 ], 긍정 텍스트 확률 : 54.89%"
"[ 그리고 초경량의 휴대용 유모차이지만 셀프 스탠딩 도 가능하다는 것작은 경차에도 무리 없이 실을 수 있어서 더욱 좋을 듯 ], 긍정 텍스트 확률 : 97.91%"
"[ 신생아 이불세트를 보니 출산준비할 때의 기억이또 새록새록 떠오르네요.베이비플러스 고양점에서는 이렇게 많은 브랜드의제품들을 한 번에 만나 볼 수가 있어요.신생아 이불이나 임부용 제품들은 직접 소재를만져보고 구입하는 것을 추천드려요특가 할인 가격에 직접 방문 시 추가 할인 혜택이있다고 해요. 금액대 큰 제품을 구입할 때도역시 고양 페이 발급받아서 꼭 추가적으로 받으시는 것도 잊지 마시고요유축기 종류들과 산모용품들도 다양하게 전시되어 있었는데요. 출산준비 시 전문 상담원이상시 대기하고 계셔서 궁금한 것들도편하게 상담받을 수가 있으니 또 굉장히 좋네요 ], 긍정 텍스트 확률 : 51.81%"
"[ 스킨케어 제품들도 할인행사 중이었어요마침 크림이 떨어져서 저렴한 가격으로 득템했네요.보습력 좋은 제품으로 추천도 해주시니혼자 고민할 필요도 없었어요 제품들도 미리 여유 있게 쟁여 나왔네요. 하하하 ], 긍정 텍스트 확률 : 53.48%"
"[ 여기에 카카오 플러스 친구 등록하면추가 할인을 또 받을 수가 있어요쿠폰을 다운로드해서 구입할 때 사용할 수 있고매장 행사 내용을 매번 방문하지 않아도아주 쉽게 볼 수 있답니다.그리고 제품 구입 후에 후기를 간단히 남기면상품권 행사를 한다니 후기 살짝 남기는 것도잊지 말자고요ㅋ ], 긍정 텍스트 확률 : 98.20%"
"[ 좋다 좋다 생각만 했지 이게 정말 맞는 제품이었구나 싶은 경험을 직접 해보니 정말 유아식 먹을 때까지는 퓨어락과 쭉 함께 가야겠구나 싶더라고요 ], 긍정 텍스트 확률 : 62.59%"
"[ 한 열흘 친정에 내려와있는데도 짐 쌀 때 가장 먼저 넣은 게 . 퓨어락 . 휴대용 이유식 의자 이 정도면 우리 재이에게 퓨어락이 얼마나 중요한 줄 아시려나요], 긍정 텍스트 확률 : 76.31%"
"[ 분유는 남편이 항상 자기가 타고 싶어 하는데요이유는 잘 모르지만 분유 탈 때 그렇게 기분이 좋대요모유는 줄 수 없었으니까 분유라도 주는 마음이 너무 큰 걸까요?분유 막 쉐킷쉐킷 흔들 때도 신이 난다네요 ㅋㅋㅋㅋㅋㅋㅋㅋ주조사 자격증이라도 따서 칵테일 만들어야 하나 원 아무튼 매일 그렇게 자기가 타는 모습을 영상으로 남겨보고 싶었는데혼자 남긴 영상이 이렇게 퀄리티가 높다며 자기 유튜브해야겠대요 오직 어떠한 도 하지 않으면서 오빠가 귀찮아서 할 수 있을까 ], 긍정 텍스트 확률 : 94.55%"
"[ 분유성분이 정말 좋아서 이유식을 잘 안 먹는 아이들도 분유만 잘 먹어줘도 잘 크는 데는 문제가 없다고 정평이 난 퓨어락 로열플러스항상 분유 먹고 나면 부족한 게 아닌데도 꼭 손가락을 빨며 잠드는 우래기], 긍정 텍스트 확률 : 90.47%"
"[ 근데], 긍정 텍스트 확률 : 62.47%"
"[친구랑 카페에서 만났을 때도 분유먹고 바로 저렇게 잠들어서오랜만에 만난 고등학교 동창과 편하게 수다 떨 수 있었어요], 긍정 텍스트 확률 : 98.11%"
"[ 소화도 잘되고 성분이 모유랑 비슷해서 이렇게 편히 잠들 수 있나봐요], 긍정 텍스트 확률 : 55.54%"
"[ 보통 돌 지나서 생우유로 바꾸고 나서 갑자기 변비가 와서 힘들어하는 아이들도 다시 퓨어락을 먹이면 정상적으로 배변활동을 한다는 후기를 봤어요요즘 엄마들은 후기에 또 민감하잖아요? 저도 블로거 년차이다보니 이게 정말 진정성 있는 후기인지], 긍정 텍스트 확률 : 89.67%"
"[안 좋은데 어쩔 수 없이 협. 찬.이라 좋게 쓰는 것 같은 건지 이젠 알겠더라고요그래서 맛있는 곳 찾아갈 때도 진짜 홍보로 알려진 곳 말고 제대로 된 블로거님들의 후기를 믿고 찾아가는 경우가 많아요근데 퓨어락은 저는 입소문으로 알고부터 먹인 거라 후기를 찾아볼새도 없긴 했는데우리 아이가 먹고 변비도 사라지고 너무 잘 크길래 나중에 여유가 생겨 후기를 읽어보니 정말 진정성 있는 후기들이 많더라고요 분유 같은 건 뭐 함부로 바꿀 수도 없고], 긍정 텍스트 확률 : 87.35%"
"[아기의 주식인데 혹여 잘못 먹이면 큰일 나니까 추천도 조심스럽잖아요 ], 긍정 텍스트 확률 : 55.63%"
"[ 요즘 매일 이렇게 붙잡고 서있는 게 일인 내 딸 이유식도 잘 먹고], 긍정 텍스트 확률 : 67.79%"
"[분유는 또 여전히 잘 먹어 너무 예쁜 내 딸], 긍정 텍스트 확률 : 90.17%"
"[ 그럴수록 더 많이 사랑해주고 싶고 아껴주고 싶은 게 엄마], 긍정 텍스트 확률 : 66.44%"
"[부모의 마음이죠거품이 잘 생기지 않아서 흔들어 바로 먹일 수 있는 제품 겉모습만 멀쩡하다고 다 똑같은 분유가 아니라 진짜 성분을 따져봐야한다는 게 광고카피가 아니라 엄마의 찐 마음이더라고요 앞으로 우리 딸 쭈욱 황금변 길만 걷자 . 엘리샤], 긍정 텍스트 확률 : 94.95%"
"[ ...몸무게 . 임신 전 ..주 증상. 화장실을 자주자주 간다. 불쌍한 내 방광ㅠㅠ. 아랫배 내장쪽을 퉁퉁 차서 아파서 놀랄때가 있다. 배가 많이 커져서 허리가 아프다. 아침에 출근 준비가 너무 힘들다. 조금만 활동해도 숨이 많이 찬건 여전하다. 아주 살짝 입덧기가 있으면서 식욕은 또 왕성하다ㅋ......선물받거나 소소하게 사모은것들.. 스와비넥스 제로제로 모유촉감 젖병 .모유슈유가 가능할지 알 수 없는거고], 긍정 텍스트 확률 : 92.53%"
"[좋다는 걸로. 허허.친구들한테 선물해달라고 했다. 개 세트에 만원 중반대이던데.. 두명이 같이 선물해준다기에 이정도 가격이면 부담될 것 같지않아 내가 픽해줬다..친한 친구라면 바로 이것을 선물 해달라고 알려주는게 오히려 서로 편하고 만족하는 방법일지도...맘마 담는 공간이 주머니 같이 쪼그라드는 재질이라 아기가 공기 삼킴없이 배앓이 없이 쭉쭉 먹을 수 있다고 한다. 젖병은 아가가 싫어하면 이것 저것 사서 물려봐야 한다는데..초록아 이거 좋은거래. 제발 잘 써주길 바라ㅠㅠㅠ. ], 긍정 텍스트 확률 : 87.85%"
