"[.안녕하세요. 메바입니다..어느덧 날씨가 아침저녁으로 제법 선선해졌네요..이제는 자고 일어나면 저도 깨비도 팔 다리가 차갑더라고요...깨비는 지금 여름기저귀를 사용 중인데요], 긍정 텍스트 확률 : 84.04%"
"[ .?오로라기저귀오로라기저귀.?팬티기저귀팬티기저귀.?밴드기저귀밴드기저귀.?기저귀추천기저귀추천 ], 긍정 텍스트 확률 : 87.93%"
"[ 궁금해서 단면도 잘라봤어요.정말 뭉침없이 흡수력이 뛰어나더라고요.아기가 쉬하고 나서도 뭉치지 않아서], 긍정 텍스트 확률 : 61.03%"
"[ 흡수력이 뛰어난건 파도를 닮은물결 패드와 오로라 물방울 포뮬러덕분이지요놀라운 흡수력의 비밀이 요기 있었네요 ], 긍정 텍스트 확률 : 88.41%"
"[ 잘감싸줘서 활발한 아기에게 더할나위없이 최고네요👍 ], 긍정 텍스트 확률 : 97.61%"
"[요즘 쭉 기저귀를 사용하다가 급 유목민이 되고 있다.마음에 안들어서 유목민이 되었다기 보다 더 좋은 기저귀를 찾고자 하는 하나의 방법이랄까?실제로 카페 같은 곳에서도 여개의 브랜드를 쭉 써보며 남긴 후기글도 보았으나 결국 내 아이 기저귀는 내가 찾아야지 하는 결론이 내려졌다.그러다 만난 기저귀 오로라 기저귀 ], 긍정 텍스트 확률 : 94.27%"
"[ 우리 쌍둥이들은 요즘초반이 나가기 때문에 중형이 제격기저귀들마다 사이즈가 제각각이라 기저귀 살 때 사이즈 체크가 필수다.근데 가끔 중형이 인 경우가 많아서 요맘때 기저귀 고르는게 항상 난감했다. 중형이 인데 대형이이런 식으로 나오기 때문에 기저귀를 중형을 사야할지 대형을 사야할지 고민인 몸무게 괜히 중형이 작진 않을까 요런 염려그런데 그나마 오로라는 중형이 이기에 지금 우리 아이들에게 제격아무튼 ], 긍정 텍스트 확률 : 80.54%"
"[ 복숭아가 예쁘게 디자인 되어 있는핑크 핑크 한 기저귀 ], 긍정 텍스트 확률 : 74.75%"
"[오로라 역시 상당히 부드러웠다.기저귀는 피부에 닿는 것이기에 그 촉감], 긍정 텍스트 확률 : 90.39%"
"[부드러움을 무시할 수 없다. ㅠㅠ ], 긍정 텍스트 확률 : 81.82%"
"[ 그리고 밴드 기저귀의 핵심 밴드가 얼마나 잘 늘어나느냐쭈욱 정말 잘 늘어난다. ], 긍정 텍스트 확률 : 69.40%"
"[ 육안으로만 확인한 것이지만 옆샘 방지 역시 탁월한 것으로 ], 긍정 텍스트 확률 : 84.95%"
"[ 우리 쌍둥이 둘째 아드님 기저귀 착용 ], 긍정 텍스트 확률 : 70.32%"
"[ 둘째 아드님만 할 수 없어서 우리 쌍둥이 첫째 아드님핑크 핑크 느낌 살리기 위해 핑크 셔츠와 함께 기저귀 착용샷남자는 핑크지 기저귀 디자인이 중요한게 아니다만 사랑스러운 엉덩이♡아기들도 부드러움을 느끼는지 기저귀 차고 기분이 신났다. ], 긍정 텍스트 확률 : 93.63%"
"[ 몇 번을 싼 건지 알 수는 없지만 노랗게 아드님이 쉬를 잘 하셨군요. 그런데 피부도 뽀송], 긍정 텍스트 확률 : 86.08%"
"[기저귀도 뽀송. 나도 모르게 만져 봤는데.... 아주 뽀송하다흡수력은 팸퍼스나 페넬로페가 좋다고 느꼈었는데 이것 역시 흡수력도 좋구나기저귀 고를 때 촉감과 흡수력을 중요시 하는 엄마랑 오로라 기저귀 강추 ], 긍정 텍스트 확률 : 94.51%"
"[제가 사용한 오로라 기저귀는 팬티형식 이예요앞에 앞모습이라고 표기되어 있어서 더 쉽구요 ], 긍정 텍스트 확률 : 73.03%"
"[ 친환경 기저귀라 부들부들하고귀염뽀짝 딸기딸기한 패턴이네요샘방지라인도 아주 짱짱해요 키로 근사한 우리아이가키로부터인 기저귀를 사용했음에도 새지 않았어요 ], 긍정 텍스트 확률 : 82.57%"
"[ 뭔가 아이의 오늘 옷과 잘 어울리는 기분이네요 ], 긍정 텍스트 확률 : 98.01%"
"[ 오로라기저귀 한번 사용해보세요보들보들 친환경 기저귀예요해당업체로부터 제품을 제공받아 작성한 후기 입니다. ], 긍정 텍스트 확률 : 74.34%"
"[기저귀 포장을 뜯자마자 너무 이쁘고 귀여워서 엄마 심쿵했던 오로라기저귀에요.귀여운 수박들이 기저귀에 예쁘게 들어가 있는데요.기저귀의 다른 디자인은 어떨까라는 궁금증이 생겼어요.찾아보니 사이즈마다 그려져있는 과일들의 그림이 달랐어요. ], 긍정 텍스트 확률 : 96.09%"
"[ 소형 포도중형 복숭아대형 바나나특대형 이상 수박솔이가 사용하는 오로라기저귀는 특대형으로 밴드타입의 밴드기저귀에요.겨울에 어린이집에 보내는 기저귀로는 밴드형으로 보내고 있는데요.옷이 두껍고 레깅스는 다시 입히는데 시간이 오래 걸려서 팬티보다 기저귀가 선생님이 편하실 것 같더라고요.소변줄로 기저귀 사용 체크도 편해요. ], 긍정 텍스트 확률 : 89.40%"
"[ 밴드기저귀를 아이에게 착용해줄 때 불편한 점 중 하나인 가운데 맞추기잘못 맞추면 뒷부분앞부분의 길이가 맞지 않아서 다시 맞추고그냥 착용시켜줄 경우에는 소변이 옆으로 샐 수도 있죠.기저귀 가운데 눈에 잘 보이는 빨간색 띠선으로 가운데 선도 간편하게 맞춰 줄 수 있어요. ], 긍정 텍스트 확률 : 55.86%"
"[ 그냥 봐도 너무 예쁜 감성기저귀이지만 착용하면 더 예쁘답니다.문구도 믿음직스럽죠.오로라기저귀에 사용되는 잉크는 친환경 잉크], 긍정 텍스트 확률 : 53.66%"
"[접착제 최소화로 만든 제품이에요. ], 긍정 텍스트 확률 : 72.89%"
"[ 흡수되는 쪽에는 공기가 가볍게 순환되는 에어스루기술이 적용되어 보송보송함을 유지시켜 준다고 해요.그래서 저도 기저귀에 물을 조금 부은 후 손으로 만져봤더니 물이 묻은 쪽과 안 묻은 쪽의 차이가 많이 느껴지지 않았어요. ], 긍정 텍스트 확률 : 59.93%"
"[..맘스홀릭베이비 카페 체험단을 통해 맘스클럽으로부터 .제품만을 .무상으로 제공받아 쓰여진 .솔직한 후기입니다♡...사랑스런 꿀벅지를 가진 우리 콤이♥️.엉덩이 부분도 접히는 살이 많고ㅎㅎ.많이 먹는 만큼 대소변 양도 많아. 발진에 대한 고민은 늘 가지고 있었어요ㅜㅜ.....때마침오로라기저귀체험단으로 당첨되어 .사용하게 되었답니다..설레는 마음으로 포장박스를 열었어용🤩 ], 긍정 텍스트 확률 : 99.98%"
"[ .노란 포장지에 적힌 문구가 정말 감동적이죠??♡..이 문구를 보고 믿음이 생기더라구요.허벅지가 상대적으로 튼실한 .콤이는 대형을 사용해요😄....포장지를 뜯어 기저귀를 탐색하기 시작ㅎ ], 긍정 텍스트 확률 : 96.27%"
"[ .모던한 느낌과 부드러운 촉감이 .나도 모르게 우와하게 만들어요😘..특히 허리부분이 넓고 웨이브로 조이지 않아 편안하게 잡아 주어 마음에 들더라구요♡...자드뎌 우리 콤이한테 착용해 보았어요💕 ], 긍정 텍스트 확률 : 67.66%"
"[ .♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️.마감처리 굿이에요..오로라기저귀첫 만남 좋은 느낌이 .팍팍 옵니다 ], 긍정 텍스트 확률 : 99.43%"
"[ 왼쪽 사진이 바로 이번에 새로 나온 오로라 스킨핏 밴드형 기저귀에요.하준이는까지 사용 가능한 오로라 스킨핏 미디움중형밴드형을 사용해보았어요.기존 오로라 팬티형 기저귀는 라지사이즈로 사용 가능한 제품을 사용했어요. ], 긍정 텍스트 확률 : 50.40%"
"[ 미디움중형 밴드형 기저귀는 아주 귀여운 복숭아 그림이 그려진 기저귀에요.너무 사랑스럽죠? ], 긍정 텍스트 확률 : 99.49%"
"[ 앞뒷면 모두 여리여리한 핑크빛의 복숭아가 그려져있어요.또한 소변줄도 보기 편하게 가운데에 세로줄로 되어있어요. ], 긍정 텍스트 확률 : 88.89%"
"[ 오로라 스킨핏 밴드형 기저귀를 살펴볼께요. 앞뒤로 쫙 펼친 모습이에요.평소 부드러운 느낌의 기저귀를 선호하는 저로서는 오로라 기저귀는 정말 갑작스럽게 기저귀 유목민이된 저에겐 딱 맞춤형 기저귀에요안밖으로 모두 부드러워요.개인적으로 저는 겉의 재질이 약간의 바스락거리는 비닐 재질은 별로 선호하지않아요아무래도 아기 피부에 직접 닿는 기저귀다 보니저는 안밖으로 모두 부들부들 부드러운 기저귀가 좋더라구요오로라 밴드형 기저귀를 보시면 밴드 부분이 하얀색이에요.디자인을 해치지 않는 색감이네요 ㅎㅎ ], 긍정 텍스트 확률 : 99.20%"
"[ 오로라 기저귀 팬티형과 밴드형을 비교해 보았어요.아무래도 키로수 차이가 있는 기저귀이기 때문에 크기 차이는 약간 있어요. ], 긍정 텍스트 확률 : 76.66%"
"[ 오로라 기저귀 밴드형과 팬티형은 크기차이는 약간 있지만 보시다 시피 두께감은 별차이가 없어요거의 없는거 같아요. 아무래도 스킨핏 기저귀라 그런지 두께도 얇죠? ], 긍정 텍스트 확률 : 55.97%"
"[ 이번에는 오로라 스킨핏 밴드형 기저귀 흡수력 테스트를 해봤어요이 촬영을 할때 저희 아가씨가 옆에 있었는데요.아직 육아 경험이 없는 저희 아가씨가 흡수력을 보고서 엄청 빠르다고 놀랐어요ㅎㅎ허리밴드 부분이 어느정도로 짱짱한지 봤구요.흡수된 후 역류가 있는지도 확인해봤어요.또한 흡수된 후 축축한 느낌이 있는지도 확인해보았는데요.흡수된 후 정말로 뽀송뽀송한 느낌이였구요. 흡수 또한 아주 빠른걸 보실 수 있으세요 ], 긍정 텍스트 확률 : 99.69%"
"[굉장히 얇고], 긍정 텍스트 확률 : 86.08%"
"[ 흡수 잘 됨..비싸고 좋은 기저귀임. ], 긍정 텍스트 확률 : 82.63%"
"[아기 기저귀 오로라 팬티기저귀저는아기들이 사용하는 키로수로 골랐어요. 참고로 첫째 몸무게는정도 입니다.후반초반 왔다갔다 하고 있어요], 긍정 텍스트 확률 : 52.83%"
"[뭔가 귀엽더라고요그리고 앞부분이라고 써져 있었어요. 오로라라고 적힌 부분이 앞면입니다.], 긍정 텍스트 확률 : 62.85%"
"[소변 알림줄은 세줄로 되어 있어서 눈에 안 띌 수가 없게 만들어졌더라고요. 아기가 소변을 보면 노란색 줄이 파란색으로 변해요], 긍정 텍스트 확률 : 71.28%"
"[ 초반 뿡뿡이가 착용한 모습입니다. 기저귀 찬 뒷모습은 여전히 심쿵너무나 귀여워요 ], 긍정 텍스트 확률 : 72.97%"
"[마지막으로 다시 기저귀랑 찰칵 사실 기저귀에 그림 그려져 있으면 색소 사용한 거라고 안 이후로 걱정이었는데 오로라 기저귀는 친환경 수성잉크 사용해서 만들어졌다고 합니다제일 마음에 드는 부분은 부드러움이었어요.이상 아기 기저귀 오로라 팬티기저귀 후기 끝], 긍정 텍스트 확률 : 92.78%"
"[부드럽고 순수한 오로라스킨핏 유아 팬티기저귀 체험단 체험후기뒤집기 성공 한 후], 긍정 텍스트 확률 : 81.60%"
"[ 만지고 싶은 아기 피부 그대로 부드럽고 순수한 오로라스킨핏 유아 팬티기저귀 당첨되어바로 집으로 배달된 팬티기저귀제일 먼저], 긍정 텍스트 확률 : 92.12%"
"[제품이 좋은지 보고], 긍정 텍스트 확률 : 71.51%"
"[ 가격이랑 디자인을 보게 되는데일단 우리 딸이 지금 .키로라 사이즈를 신청했다 매제품이 드디어 도착너무 이쁘다 ], 긍정 텍스트 확률 : 76.52%"
"[핑크빛의 기저귀 포장지옆에 상세한 설명이 되어 있다제품명에 대한 소개 ], 긍정 텍스트 확률 : 86.26%"
"[ 이왕이면 기저귀도 예쁜게 좋다 ], 긍정 텍스트 확률 : 95.29%"
"[ 역류방지 샘방지 뭉침방지베어스킨원단소중한 아기의 부드러운 피부를 닮은 베어스킨 원단공기가 가볍게 순환되는원단을앞면과 뒷면에 아낌없이 사용한 제품부드러움이 두배 보송보송이 두배유연하고 편안한 셔링유연하게], 긍정 텍스트 확률 : 61.01%"
"[하이테크 신기술 주이코 설비 도입 공정새로한 네일아트와 함께 이뿌게 사진찍기기저귀도 이렇게 예쁠 수 있나요? ], 긍정 텍스트 확률 : 98.22%"
"[ 얇은 우리 아가 허벅지에도제품이 잘 맞고], 긍정 텍스트 확률 : 72.51%"
"[유연하고 부들부들하게아기가 좋아한다그리고 기저귀 한 이후로 샌적이 없다 최고 좋은 점이다기저귀 갈아줄 때마다 줄어드는 기저귀가 아깝다이쁜 기저귀 편한 기저귀 믿을만한 기저귀 너무 좋아요적극 추천합니다 본 후기는 금전 등 댓가를 받지 않고 제품만 무상으로 제공받아 작성한 글입니다 .?오로라핏기저귀오로라핏기저귀], 긍정 텍스트 확률 : 98.97%"
"[ .?팬티기저귀추천팬티기저귀추천], 긍정 텍스트 확률 : 87.93%"
"[ 요즘 가을날씨라 일교차가 심한데다들 건강하시지요?오늘은 저희.?아기기저귀아기기저귀 인.?오로라기저귀오로라기저귀 를알려드리려구요.천기저귀를 집에서 사용하더라도 외출시에는꼭.?기저귀기저귀 가 필요한데 .?감성기저귀감성기저귀 이자.?외출기저귀외출기저귀 안내해드릴께요], 긍정 텍스트 확률 : 92.86%"
"[.?밴드기저귀밴드기저귀 가 양도 많고 조절도 되기때문에정말 편리한데요.특히 천기저귀를 사용하는 맘들의 마음은 .?환경보호환경보호 도 무시못하거든요. .?에코프렌들리에코프렌들리 로.?환경환경 과.?안전안전 에 더욱꼼꼼한.? 기저귀 살펴볼까요? ], 긍정 텍스트 확률 : 99.56%"
"[ 사이즈에 대한 설명도 나와있더라구요. ], 긍정 텍스트 확률 : 68.75%"
"[ 위의 점선부분을 뜯으시면 개봉이 쉬워요. ], 긍정 텍스트 확률 : 62.26%"
"[.?오로라기저귀오로라기저귀 앞과 뒤예요. ], 긍정 텍스트 확률 : 64.86%"
"[ 펼쳤을 때 모양이예요. ], 긍정 텍스트 확률 : 59.74%"
"[ 착용 샷으로 앞], 긍정 텍스트 확률 : 55.01%"
"[제일 중요한 것은.?밤기저귀밤기저귀로도 많은 양을 흡수하고 세지 않아서 너무 좋았어요.아기와 엄마를 위해.?좋은기저귀좋은기저귀 를 만들어주셔서고맙습니다.?오로라오로라.?기저귀추천기저귀추천 드려요 ], 긍정 텍스트 확률 : 97.76%"
"[세제 등 많이 쓰이는 육아용품들이 많은데요육아용품 체험단에 당첨되는 것만으로도 좋지만우수 후기로 뽑히니 기부니가 배로 좋은 것 같아요한 달 전 운 좋게 써 본오로라 스킨핏 팬티기저귀우수 후기로당첨되어기저귀 한 팩도 아닌기저귀 한 박스를받게 되었어요 ], 긍정 텍스트 확률 : 93.22%"
"[ 요즘 힘이 물이 올랐어요말이 되나요? ㅎㅎㅎ어찌나 빠른지저 앙다문 입술 ㅎ ], 긍정 텍스트 확률 : 98.40%"
"[ 요즘 택배 박스에 그렇게 올라가고 싶은가 봅니다 ], 긍정 텍스트 확률 : 69.35%"
"[ 서보는 것도 잊지 않고요 ㅎㅎㅎ ], 긍정 텍스트 확률 : 84.64%"
"[ 현재 개월가까이 되는 짱구는 사이즈를 착용 중이에요 ], 긍정 텍스트 확률 : 74.86%"
"[ 여전히 먹는 거 빼고 짱구에겐 모든 것이 장난감인데요요즘은 웬만하면 모든 걸 블록화시키는듯해요 ㅎ ], 긍정 텍스트 확률 : 90.80%"
"[ 개월이 넘어서면서기저귀 갈자 기저귀 하나만 가져다줄래?하면저렇게 두세 개씩 가져오곤 하는데요짱구가 제일 좋아하는 과일인 딸기가 그려져 있어서 그런지발음도 안 되면서 딸이라 외치며하의 실종해서는 더 신나게 달려오더라고요 ㅎ소중이가 살짝 보이는 듯해서스티커 처리를 했는데확대해서 보거나스티커를 애써 지워 보는 변태님들이 있다고 하더라고요ㅠ그러지 좀 마세요 ], 긍정 텍스트 확률 : 84.95%"
"[ 귀여운 뒤태 보시고 사이즈 참고하세요에 가까운 짱구에게 끼임 없이편안하게 잘 맞답니다 ], 긍정 텍스트 확률 : 65.97%"
"[ 얘 대체 왜 이런 걸까요?이맘때쯤이면 다 이러나요?요즘 찍은 사진이 전부 뒷모습 아니면달리는 심령사진고개 숙인 사진아니면 이렇게 양말 물어뜯는 사진뿐이에요ㅠ외출 전에도 이렇게 물어뜯더니그날 마트 갔다가 집에 오는 내내 양말을 물어뜯어서손빨래했는데도 사이즈 양말이사이즈가 됐다는 슬픈 사연이ㅠ ], 긍정 텍스트 확률 : 62.43%"
"[ 친환경 수성잉크를 사용하고접착제 사용을 최소화한오로라 스킨핏 팬티 기저귀진짜 부드럽고흡수력 최고라밤기저귀로도 너무너무 좋아요진짜 잘 만든 기저귀로 인정합니다 탕탕탕 ], 긍정 텍스트 확률 : 99.22%"
"[ 강남구맘그리고오로라 기저귀 관계자 여러분정말 감사합니다 ], 긍정 텍스트 확률 : 97.61%"
"[ 제일 중요한 사이즈 우리 우주는 . 이어서 중형 기저귀.복숭아 그림이 있는 핑크색 포장지랍니다 ], 긍정 텍스트 확률 : 81.96%"
"[ 기저귀 앞면과 뒷면이 구분이 되시죠?일주일에 두번. 나이드신 시부모님께서 우리 아들을 돌봐주고 계세요간혹 기저귀 갈아주실때 어디가 앞인지 펼쳐보고 돌려보고 하시는데], 긍정 텍스트 확률 : 99.24%"
"[ 뚜껍지 않으면서도 쫀쫀한 스트레칭 셔링으로 유연하게 늘어나 아기의 몸을 감싸주는 허리 밴드는 필수죠 ], 긍정 텍스트 확률 : 67.08%"
"[ 안쪽을 늘려봤을 때 많은 양의 대], 긍정 텍스트 확률 : 75.37%"
"[소변을 보더라도 새지 않을 만큼 넓은 공간과 이중샘 방지가 되어 있어요 ], 긍정 텍스트 확률 : 54.74%"
"[ 우리아기 잘 때 밤기저귀로 사용해도 거뜬하답니다 ], 긍정 텍스트 확률 : 74.53%"
"[ 한번 더 물을 붓고 기저귀를 살펴봅니다. ], 긍정 텍스트 확률 : 70.76%"
"[ 휴지로 톡톡 두드려도 보아요.많은 양의 소변을 보아도 묻어나지 않는 보송함이 놀라워요 ], 긍정 텍스트 확률 : 77.79%"
"[밤기저귀로도 손색이 없이 쓸수 있을것 같아요업체로부터 제품만을 제공받아 작성된 솔직한 후기입니다.?오로라기저귀오로라기저귀.?오로라스킨핏오로라스킨핏.?친환경기저귀친환경기저귀.?감성기저귀감성기저귀.?밴드기저귀밴드기저귀.?외출기저귀외출기저귀.?기저귀추천기저귀추천 ], 긍정 텍스트 확률 : 94.51%"
"[ 이것이 기저귀인가 알수없는 포장.보통 아기 기저귀 포장엔 아기들이 기저귀 차고 있는 사진이 꼭 있잖아요.오로라는 그런것 없어요. ], 긍정 텍스트 확률 : 79.73%"
"[ 쑥쑥이는 킬로니까 대형을 구입했어요.팸퍼스는를 착용했지요. ], 긍정 텍스트 확률 : 60.83%"
"[동물그림은 팸퍼스딸기그림이 넘나 제스타일ㅋㅋ ], 긍정 텍스트 확률 : 67.78%"
"[ 뒷면은 둘다 테이프가 있지요. ], 긍정 텍스트 확률 : 54.27%"
"[ 미안해질정도로 궁극의 부드러움이에요.심지어 새지도 않으니 정말 딱이지요 ], 긍정 텍스트 확률 : 94.13%"
"[ 딸기내복엔 예쁜 딸기 기저귀ㅋㅋ오로라 기저귀 아주아주 강추 ], 긍정 텍스트 확률 : 97.53%"
"[ .그러던중 두둥.제가 서치서치 해서 알게된 .오로라 기저귀. ], 긍정 텍스트 확률 : 68.99%"
"[밴드출시하고서 .하연이도 써봐야겠다 싶어 주문해 보았습니다..주변 사람들에게도 추천을 해줬었는데.제 생각에기저귀는아이들마다 다르다’ 입니다.........물론], 긍정 텍스트 확률 : 60.14%"
"[ .만들어지는 과정에서 관리가 잘되어 포장 되면서 .이물질이 들어가지 않아야하고.기저귀의 역할 소변과 대변을 흡수를 잘하고 등등...이있지만], 긍정 텍스트 확률 : 90.77%"
"[ .......아 저는 업체에서 상품을 받은것도.홍보비를 받은것도 아니므로.흡수력 테스트따위는 하지 않겠습니다 ], 긍정 텍스트 확률 : 67.69%"
"[아기엄마들 사이에서 인싸템으로 통하는 오로라기저귀를 만나보았어요], 긍정 텍스트 확률 : 52.59%"
"[ 인싸템 답게 포장부터 남다른 출산선물로도 좋을것 같아요], 긍정 텍스트 확률 : 51.54%"
"[ 넘나 귀여운 보라보라 포토패턴예쁜기저귀 찾는다면 무조건 등 ], 긍정 텍스트 확률 : 99.28%"
"[ 뒤태까지 신경쓴듯한 디자인도 마음에 듭니다], 긍정 텍스트 확률 : 73.08%"
"[ 앞뒤표시도 배려돋죠.밴드형은 그나마 밴드위치덕분에 입히다보면 앞뒤구분이 되는데팬티형의 경우는 앞뒤표시 은근 중요해요..ㅎㅎ첫찌 듬뿍이 팬티기저귀 입힐때 우리남편이 실수 자주했던 부분ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 59.75%"
"[ 오로라기저귀 두께보세요스킷핏이라서 그런지 얇아서 좋네요.너무 두터우면 발진생기기 쉬워서저는 주로 얇은기저귀를 선호해요.소변표시줄도 없으면 은근 불편하더라구요오로라기저귀는 소변표시줄 있으니 걱정 노노 ], 긍정 텍스트 확률 : 53.36%"
"[ 밑위 길이도 충분해서 위로 새는일도 없구요.허벅지 튼실한 아가인데다리사이도 너무 끼지 않아서 좋아요. ], 긍정 텍스트 확률 : 60.93%"
"[ 오로라 스킨핏은 패턴이 참 예쁜기저귀라서일촬영 백일촬영등셀프촬영할때 기저귀로도 좋을것 같네여 ], 긍정 텍스트 확률 : 87.84%"
"[ 지금까지 예쁜 기저귀 오로라 밴드기저귀만족스럽게 체험해본 후기였습니다. ], 긍정 텍스트 확률 : 84.46%"
"[.안녕하세요 숨니입니다.생후 일을 맞은 우리 현서는 요즘 뒤집기가 한창이에요. 그래서 기저귀를 갈 때 마다 뒤집는다고.기저귀 채우는 게 보통일이 아니랍니다.게다가 현서는 개월에 를 돌파하는 우량아..아기를 낳기 전에는 왜 팬티 기저귀를 쓰는지 이해안갔는데], 긍정 텍스트 확률 : 63.62%"
"[이제야 이해가 가네요ㅋㅋㅋ..팬티 기저귀가 필요할 하다 싶어서 알게된오로라 기저귀.요즘 핫하고 핫하죠 .저도오로라 기저귀 를 사용해봤답니다 ], 긍정 텍스트 확률 : 92.61%"
"[ .택배가 왔습니다 띵동.택배 박스가 이렇게 이쁜거 처음봐요ㅎㅎ.감각적이고 예술적인 디자인... ], 긍정 텍스트 확률 : 98.26%"
"[ .박스에 아기를 생각하는 기업이라는게 느껴지는.따뜻한 문구가 적혀 있어요..당신의 하루와 아이의 시간..오늘 하루를 돌이켜보게되는 문구..... ], 긍정 텍스트 확률 : 99.23%"
"[ .오로라의 뜻은 의 라틴어로 새벽을 뜻해요..새벽은 값지고 행복한 아침을 맞기 위해 반드시.필요한 시간입니다.이 시간 속에서 우리는 성장했고.더 나은 사람이 되었습니다..단 하나뿐인 이 평화롭고], 긍정 텍스트 확률 : 84.63%"
"[소중하며 풍부한 새벽의.시간은 누구에게나 찾아오지만 누구에게도 같지 않습니다..마치 아이의 시간처럼 말이죠..한 명의 어른이 되기 위해 모두가 경험하는 시간이지만.각자의 가치와 소중함은 남다르기 때문에], 긍정 텍스트 확률 : 99.75%"
"[오로라는.나의 아이와 가족이 경험하는 가장 아름다운 새벽의.시간을 만들어 갑니다....오로라 패키지에 적힌 문구를 참고하여 작성하였습니다..뭐죠? 자꾸 문구로 감동을 주네요..다시 돌아오지 않는 아이의 시간..분 초가 소중한 우리 현서의 시간을 헛되지 않게.매일 최선을 다해줘야겠다는 생각이 듭니다..... ], 긍정 텍스트 확률 : 99.48%"
"[ .꺅 딸기에요딸기.단계별로 다양한 과일이 디자인되어 있는데.사이즈는 딸기입니다.너무 귀엽지 않나요? 제대로 감성돋는 디자인이에요... ], 긍정 텍스트 확률 : 94.07%"
"[ .쭉쭉허리 밴딩이 부드럽게 늘어나요.그리고 면이 굉장히 부드러워요.약 개월 동안 다양한 기저귀를 사용해봤는데.이렇게 부드러운 기저귀는 처음입니다..부들부들해서 자꾸 만지고 싶은...?... ], 긍정 텍스트 확률 : 96.69%"
"[ .아기 피부는 자극에 약하고 민감할 정도로 예민한데.오로라 기저귀는 어디 하나 거칠거나 걸리는 곳 없이.되게 부드러워요. 만지면서 계속 감탄 중 허허...베어스킨 원단과 공기가 가볍게 순환되는 .원단을 앞면과 뒷면에 아낌없이 사용해서 부드럽다고 해요... ], 긍정 텍스트 확률 : 56.82%"
"[ .궁디팡팡 해주고 싶은 뒷모습 ..기저귀 갈면서 뒤집기 할 때 양 쪽 밴딩 붙이느라.식겁하는데], 긍정 텍스트 확률 : 64.90%"
"[팬티형이라 쏙 한번에 입힐 수 있어요..도 늘어나서 우리 아기의 몸에 스킨핏으로 편안하면서.포근하게 감싸주는 인체공학적 디자인이에요...... ], 긍정 텍스트 확률 : 90.60%"
"[ .아기가 소변을 보면 소변줄이 기존 노란색에서.파란색으로 바껴서 육안으로 쉽게 확인이 가능합니다.... ], 긍정 텍스트 확률 : 53.98%"
"[ .아기 몸에 아무리 잘 맞아도 흡수력이 떨어지면.습해서 발진이 생기기 쉬워 사용하기 꺼려지는데요..그래서 흡수력 테스트를 해봤어요.아기 소변양보다 더 많은 양을 한 번에 쭉 부어봤습니다..약되는 액체가 바로 흡수돼요... ], 긍정 텍스트 확률 : 54.97%"
"[ .고여있던 액체도 곧바로 흡수되구요.전체가 흡수되는데 초도 소요되지 않은 거 같아요..짤은 앞 부분을 자르고 편집한거가 고여있는 거 처럼 보이지만.동영상을 보시면 액체를 부음과 동시에 흡수되는 걸 보실 수 있어요.... ], 긍정 텍스트 확률 : 79.62%"
"[ .티슈로 꾹 눌러봤지만 완벽하게 흡수되어.한 방울도 묻어나지가 않아요 대박... ], 긍정 텍스트 확률 : 91.41%"
"[ ....물방울 모양의 강력한 흡수코어가 가볍지만 확실하게.흡수하여 한 방울도 새지 않게 꽉 잡아주는.오로라만의 기술이에요...그래서 스킨핏으로 아기 몸을 피팅하고], 긍정 텍스트 확률 : 83.98%"
"[ 오로라의 가치가 담겨져 있는 멋진 문구도 기저귀에 써져 있어요오로라 기저귀를 첨 보고 어머? 기저귀가 이렇게 감성 터져도 되는거야? 했네요개인적으로 제가 좋아하는 파스텔 컬러가 있어서 넘 예쁘더라구요 ], 긍정 텍스트 확률 : 97.07%"
"[ 오로라 기저귀는 샌프란시스코의 감성과 디자이너의 예술적 시선을 담아만들어진 오로라 디자인이에요엄마의 감성을 한가득 깨워주네요 ], 긍정 텍스트 확률 : 96.91%"
"[ 플렉시 밴드와 허리조임과 불편이 없는 가로 밴딩의 우수한 유연성으로 피부에 닿아도 부담없고 편안하게 착용할 수 있어요부드럽게 늘어나서 허벅지 눌림이나 배 조임이 없는 스킨핏 밴드에요 ], 긍정 텍스트 확률 : 84.72%"
"[ 파도를 닮은 물결 무늬의 웨이브 흡수패드와물방울 모양의 강력하고 특별한 습수코어로 밤새 뒤척이고 움직여도 새지 않는답니다아기의 부드러운 피부를 닮은 베어스킨 원단으로공기가 구석구석 가볍게 순환되는 에어스루 기술이끝까지 보송보송하고 부드럽게 해준답니다밤 기저귀로 사용하기에도 아주 충분해요 ], 긍정 텍스트 확률 : 78.42%"
"[ 유연성이 뛰어나 조이지 않으면서도 새지 않도록 완벽하게 밀착되어 외출용 기저귀로도 아주 훌룡해요컬러밴드 위 벨로크를 맞춰 붙여주면 터짐없이 오래 사용할 수 있어요도 체형에 맞게 늘어나고 밀착 피팅되어편안하고 유연한 착용감을 준답니다 ], 긍정 텍스트 확률 : 89.81%"
"[ 편안한 착용감과 뛰어난 흡수력으로밤기저귀로도 외출기저귀로도 넘 좋은 오로라 기저귀우리 아이 기저귀로 쭉 함께 해야겠어요.. 이 제품은 해당업체로부터 제품만을 지급받아 작성한 후기입니다], 긍정 텍스트 확률 : 99.20%"
