"[ 우리 꼬야 아기집 확인한게 주차였는데...주라니...엄마 아빠가 걱정 안하고 잘 품고 있게 도와준 건강한 꼬야에게 감사하다♡ ], 긍정 텍스트 확률 : 62.59%"
"[마침 산모교육센터에서 임산부 통증관리 수업을 한다길래 당장 신청했다. 게다가 이번 수업 내용이 마침 골반 통증 관리나를 위한 수업인가..게다가 좋은 점은 남편과 함께 들을 수 있다는 점내가 맨날 여기 아파 저기 아파 해도 남편은 제대로 이해도 못하고 뭘 어떻게 해줘야 할지 모르기 때문에], 긍정 텍스트 확률 : 53.08%"
"[남편이 내 통증에 대해 전문가의 입을 통해 듣고], 긍정 텍스트 확률 : 74.90%"
"[그 통증을 완화해줄 방법을 함께 공부할 기회가 있다는 것이 기뻤다월이어서 추위에 오들오들 떨면서 갔는데], 긍정 텍스트 확률 : 79.78%"
"[마침 수업이 단순한 이론 수업이 아니라 후끈후끈한 방 안 요가매트 위에서 실습과 함께 이루어지는 수업이라 몸이 사르르별거 아닌 것 같지만 이런 세심한 배려 하나하나가 정말 감사하다.], 긍정 텍스트 확률 : 78.43%"
"[골반 통증 완화 동작들이 한 컷 한 컷 사진으로 친절히 설명되어 있었다. 이것만 열심히 스트레칭해도 몸이 훨씬 유연하게 풀릴 듯이론 설명 후 실습 시간에는 직접 요가매트에 누워 통증이 있을 때 남편이 옆에서 해줄 수 있는 마사지 등을 선생님의 시범과 함께 직접 경험해보고 익힐 수 있었다.지금 내 몸 상태가 어떤지 간단히 진단하는 시간도 있었고진단 결과 나는 무게중심이 앞으로 쏠려서 제자리 걸음을 걸어도 앞으로 나가게 되는데], 긍정 텍스트 확률 : 79.84%"
"[집에서 진짜 활용가능한 내용이라 너무 좋았어. ], 긍정 텍스트 확률 : 92.14%"
"[ 초산인 나에게 가장 필요한 수업뱃속에 있을 때도 중요하지만], 긍정 텍스트 확률 : 94.53%"
"[정작 아가가 태어났을 때 어떻게 해야할지를 모르면 말짱 다 꽝 아닌가ㅠㅠ엄마의 마음은 모두 같았는지], 긍정 텍스트 확률 : 92.18%"
"[가장 경쟁이 치열했던 수업 중 하나가 아닌가 싶다. 들으러 온 사람도 정말 많았고], 긍정 텍스트 확률 : 63.63%"
"[친정 어머니나 남편과 함께 들으러 온 사람도 꽤 있었다. 그만큼 정말 유익한 수업이었다. 특히 간호사이시면서 국제모유수유 전문가이신 강사님이 강의해주셔서 다양한 고급 정보에 대해 알 수 있었다. ], 긍정 텍스트 확률 : 99.05%"
"[ 슬라이드 한 장 한 장이 너무 와닿고 꼭 기억하고 싶은 내용이었고], 긍정 텍스트 확률 : 88.93%"
"[이또한 선생님의 소중한 자료이므로 사진은 맛보기로 요만큼만..ㅎㅎ특히 좋았던 점은 간호사 출신이신 전문가 선생님이 알려주시는 정확한 정보여서 초보엄마들이 흔히 저지를 수 있는 실수들에 대해 미리 말씀하고 주의를 주신 것이 좋았다. 예를 들어 아기가 열이 날 때], 긍정 텍스트 확률 : 92.82%"
"[이렇게 손쉽게 남편에게도 이런 내용을 알려줄 수 있어서 정말 좋았다.], 긍정 텍스트 확률 : 93.27%"
"[ 엄마의 몸도 소중하니까요...ㅎㅎ], 긍정 텍스트 확률 : 97.45%"
"[ 산욕기에 대해서는 워낙 주변에 먼저 경험한 지인들로부터 조심해야 한다 라는 말을 많이 들어서 막연한 두려움이 있었는데], 긍정 텍스트 확률 : 53.46%"
"[해야하는 것 등 알고나니 오히려 마음이 한결 편했고정말 본격적으로 출산 후를 준비하는 듯한 느낌이 들었다. 사실 산욕기 강의도 남편이 함께 들었으면 좋았겠다 싶은데 이것도 혼자 들은 것이 조금 아쉽..산모교육센터에는 정말 좋은 강의들이 많은데], 긍정 텍스트 확률 : 94.65%"
"[ 송파고은빛 산부인과 산모교육센터에서 이루어지는 모든 교육들이 각각 너무 알차고 좋았는데], 긍정 텍스트 확률 : 90.72%"
"[이 강의를 들으려 주수가 채워지길 기다렸다그러다보니 하마터면 늦어져서 못들을뻔ㅎㅎ주에 겨우 듣게 되었는데], 긍정 텍스트 확률 : 64.40%"
"[정말 출산 전에 들을 수 있어서 너무 행운이었다.], 긍정 텍스트 확률 : 78.61%"
"[ 따뜻한 분위기 속에서 진행된 부부출산교실. 이번에는 남편과 함께 참석했는데], 긍정 텍스트 확률 : 99.19%"
"[개인적으로 이 강의는 엄마에게도 필요하지만 남편들이 꼬오오오옥 들었으면 좋겠다정말 이런 강의는 모든 남편들을 듣게 해야한다고 생각한다ㅎㅎ ], 긍정 텍스트 확률 : 97.69%"
"[또 노력이 필요하다. 그래서 수업에서는 출산교실답게 분만 시 필요한 호흡법이나 출산 준비에 대한 내용과 함께], 긍정 텍스트 확률 : 89.59%"
"[실제로 분만실에 오랜시간 계신 경험에서 우러나오는 실제적인 사례와 요즘의 트렌드에 대해 많이 말씀해주셨는데이건 사실 임산부들에게 가장 필요한 부분이다그리고 가장 남편들이 남은 임신기간동안 아기에게 어떤 태교를 어떻게 하는 것이 좋은지에 대해서도 매우 구체적으로 설명해주셔서], 긍정 텍스트 확률 : 100.00%"
"[귀찮으셨을텐데도 정말 친절히 자세히 대답해주셔서 너무 감사했다.그렇게 선생님과의 질문타임이 끝나고 가장 마지막으로 교실을 나섰는데], 긍정 텍스트 확률 : 96.08%"
"[교육센터 직원분들이 우리부부때문에 따로 기다리고 계셔서 넘나 죄송..했는데], 긍정 텍스트 확률 : 95.30%"
"[심지어 친절히 참여 선물까지 챙겨주셔서 너무 감사했다. 그 묵직한 종이가방을 집에와서 열어보니.. ], 긍정 텍스트 확률 : 82.84%"
"[ 꼭 한 번 써보고싶었던 샘플들이 가득강의만해도 너무 좋았는데 선물들까지 너무너무 만족스러운 교육이었다.], 긍정 텍스트 확률 : 99.04%"
"[ 이제 출산만이 남았다 우리 조금만 더 힘내자 아가♥ .?송파고은빛송파고은빛.?송파고은빛산부인과송파고은빛산부인과.?부부출산교실부부출산교실.?신생아관리신생아관리.?산욕기관리산욕기관리.?임산부통증관리임산부통증관리.?산모교육센터산모교육센터 ], 긍정 텍스트 확률 : 98.14%"
"[ 안녕하세요 애니카에요 지난번에 저의 첫 명품백], 긍정 텍스트 확률 : 93.23%"
"[ 헤헤 다시봐도 넘나 이쁜 루이비통 마리냥저는 일단 사이즈큰걸 선호하기도하고무엇보다도 크로스백이 되는점이 좋아서 마리냥을 택했어요수납력도 좋다는게 큰 장점이라는것], 긍정 텍스트 확률 : 84.33%"
"[ 우아하고 모던한 디자인꺄근데..아무래도 서른하나인생 첫 명품가방이다보니쓰기가 굉장히 조심스럽고 그러더라구여근데 이러다가 너무 모셔만놓고 쓰지못할것같아개시를해야겠다고 생각하고], 긍정 텍스트 확률 : 74.80%"
"[ 실제로 유튜브에 사몰가 검색하면 많은 셀럽들의 영상을확인할수있었어욤 ], 긍정 텍스트 확률 : 64.81%"
"[ 저는 어떤색으로할까 고민하다가 음 가방앞 컬러처럼블랙을할까도 생각했지만], 긍정 텍스트 확률 : 89.46%"
"[이왕이면 버건디 ㅎㅎㅎ제가 사랑하는 버건디컬러 펠트로 주문을했답니당 ], 긍정 텍스트 확률 : 65.40%"
"[발수 및 방오처리], 긍정 텍스트 확률 : 53.30%"
"[ 이염 방지처리가 되어있기때문에 제가 걱정했던 부분가방속이 오염되면 어뜨카지 나의 소즁한 마리냥인데..ㅋㅋ했던부분의 걱정이 싹 안심하고 가방정리할수있을것 같아요. ], 긍정 텍스트 확률 : 72.44%"
"[ 수납력이 꽤 좋더라구요이것저것 집어넣어보았는데 다들어감 ㅎㅎㅎㅎ그리고 하드보드처럼 딱딱한 소재면 어뜨카지했는데부드럽고 유연하면서도 탄탄한 펠트소재였어요. ], 긍정 텍스트 확률 : 99.38%"
"[ 싹 다 들어가쥬 ㅎㅎㅎㅎ?? ], 긍정 텍스트 확률 : 76.48%"
"[ 큰맘먹고 구입한 명품가방이왕이면 가방속까지 정리잘해서 깨끗하게 오래 사용하면좋겠단 생각이들었는데 사몰가 덕분에 해결], 긍정 텍스트 확률 : 93.95%"
"[가방정리 완료♥ 헤헤제 후기가 도움이되셨음 좋겠구욥], 긍정 텍스트 확률 : 99.61%"
"[인내심입니다 ㅋㅋ무조건 악으로 깡으로 포기하지말고 열심히 하세요 ㅎㅎㅎ그럼 좋은 사진 많이 건지실수 있으실 거예요그럼 다들 좋은 결과 있기를 바래요 이상 한번 찍어본 초보자 엄마의 소견이었습니다 뿅], 긍정 텍스트 확률 : 90.82%"
"[조운호], 긍정 텍스트 확률 : 50.83%"
"[조윤조], 긍정 텍스트 확률 : 50.83%"
"[강희재], 긍정 텍스트 확률 : 89.48%"
"[박미란소개새로운 패러다임 시대에 세대로 불리는 대들에게 스스로 올바른 삶과 행복을 찾아보는 장을 제공하는 대 맞춤형 방송 프로그램회시집살이 지혜롭게 대처하는 법회 직장 상사의친구 신청 사연 난리난 실시간 채팅방회 자취하는 딸이 엄마에게 전하는 말회 요리할 때 헷갈리는 참기름과 들기름의 용도회 스타들의 건강비결 오일풀링회 대세로 떠오로는 아보카도 오일회 찬바람 불면 생각나는 온천 석모도 노천 온천회 인생샷을 부르는명소 방직공장 카페회 강화도 루지 트랙 체험 아시아 최대 규모 루지체험 코스회 차용증 없이 돈 빌려줬을 때], 긍정 텍스트 확률 : 94.93%"
"[위험할 수 있다?회 먹고 남은 치킨], 긍정 텍스트 확률 : 62.86%"
"[다시 데우면 독이 된다회 한낱 직장인에서 연매출 억 사장님으로 환골탈태], 긍정 텍스트 확률 : 55.99%"
"[조병준 그는 누구인가회 연 매출 억의 신화], 긍정 텍스트 확률 : 72.42%"
"[ 월별 재정관리 및 기록법회 연 매출 억의 신화], 긍정 텍스트 확률 : 52.07%"
"[ 의 기록이 성공을 만든다회 지긋지긋한 관절질환손목발목회 굽은 어깨 곧게 펴는 견갑골 붙이기 운동회 관절 질환 위 무릎 관절회 윤동주 시인의 발자취를 따라가는 서촌 여행회 수중 촬영 작가 와이진의 환경보호 여행기회 생산자와 소비자가 동등한 공정 여행♥회 상속 고민 해결], 긍정 텍스트 확률 : 97.35%"
"[제사도 상속된다회 딸에게는 알리지도 않고 남자들끼리 나누어 가진 종중재산회 그녀들의 여유만만 알쏭달쏭 당신이 궁금한 상속의 모든것회 자기 관리 킹 세종대왕의 보양식 버터’회 미국의 보양식 햄버그 스테이크회 겨울 입맛 찾아주는 굴무침회 우리가 몰랐던 서울의 이야기], 긍정 텍스트 확률 : 86.97%"
"[서울의 시작회 서울의 역사를 한눈에 볼 수 있는 걷기 코스회 서울에서 도시화석 찾기회 슬기민정의 치킨집 모든 닭요리를 한 번에 찜.치.닭회 수빈선영의 최애 치킨 맛집 용산구 그릴드 치킨회 미식남녀 재성보민의 옛날 통닭집 한강 뷰와 함께회 파김치 담글 때 꼭 기억해야할 가지회 열무 비빔밥], 긍정 텍스트 확률 : 99.43%"
"[열무 국수의 메인 재료], 긍정 텍스트 확률 : 52.07%"
"[열무김치회 약 여 가지의 우리나라 김치], 긍정 텍스트 확률 : 56.50%"
"[지역별 별미 김치는?회 제주도민들이 사랑하는 섬 차귀도회 액티비티로 즐기는 우도회 꿀 휴식을 위한 동양의 하와이 오키나와회 집 구조에 따라 난방도구 제대로 선택하기회 당신이 몰랐던 보일러 사용 설명서회 겨울 가전], 긍정 텍스트 확률 : 77.27%"
"[사계절의 모습이 모두 아름다운 수목원회 연말정산 필승카드 인적공제회 불붙은 세금 전문가들의 연말정산 꿀팁 대방출회 돈이 되는 지출], 긍정 텍스트 확률 : 94.82%"
"[대 갱년기 우울증의 모든 것회 직장인도 할 수 있는 의자를 이용한 복부 운동회 부상 방지], 긍정 텍스트 확률 : 79.84%"
"[본격 홈트 전 필수 스트레칭회 고무장갑 스쿼트로 애플힙 만들기회 피부 흡수 도와주는 마사지법회 수분크림과 보습크림의 차이점회 겨울 뷰티템 위 페이스 오일회 제주도 핑크뮬리 체험하러 가기회 제주도 전통 먹거리 고기국수와 딱새우 회회 아직 잘 안 알려진 김녕 금속공예마을의 매력회 천연세제 활용하는 세탁법 총정리회 자꾸 늘어나는 니트], 긍정 텍스트 확률 : 91.75%"
"[목 지압법회 즐기는 자도 이기는 방금 본 사람 제대로 된 벼락치기회 수험생 맞춤 요가], 긍정 텍스트 확률 : 94.84%"
"[골반 스트레칭회 명절후폭풍 화병의 신호들회 가을엔 역시 트렌치코트회가을 패션템은 치마], 긍정 텍스트 확률 : 73.49%"
"[원피스보단 팬츠회가을 패션템 호피 호피 과하지 않게 입어보자회 캠핑 초보들에게 제격인 서울대공원 캠핑장회 아이들과 함께 하는 캠핑 폐교 캠핑장회 배낭 하나 메고 떠나는 캠핑], 긍정 텍스트 확률 : 80.22%"
"[그녀들을 알려주마회 전화로 돈 보내달라는 시어머니??회 국민 첫사랑 수지의 굴욕?? 김보민 ＂사과드립니다...＂회 요즘 애들의 유행어회 동네 아주머니에 외모 지적에 성형을 결심한 사연자회 김민정 숀리와 함께 모닝 댄스회 영국 본토보다 더 맛난 문래 피쉬 앤 칩스회 공장], 긍정 텍스트 확률 : 78.70%"
"[철물점의 아이콘 문래동의 변신 문래 창작촌회 검지도로 떠나는 전주 한옥 마을회 며느리가 명절에 마음 편히 친정가게 하는 법은?회 나도 혹시 고리타분한 사람? 육하원칙으로 정리한 유형회 고리타분한 사람 탈출하기 계명회 아삭아삭 오이 간장 피클 만들기회 숙성 고추장 제육볶음의 핵심 고추장 양념 비법회 고기는 언제나 옳다 숙성 돼지고기회 올 추석엔 특별한 송편을 불 없이 만들 수 있는 라이스 클레이 송편회 시어머니와 며느리의 동상이몽회 내가 할 수 있는 역할만 착한 며느리 콤플렉스 버리기회 힘든 귀경길? 오아시스 같은 휴게소회 명절 선물들의 추석 선물은?회추석 뉴스 음식], 긍정 텍스트 확률 : 77.53%"
"[아직은 따가운 주변의 시선회 결혼하면 집안일 하고 싶은 남자의 사연회 참나물로 만드는 페스토 소스 참나물 페스토 황금레시피회 외국에서 맛본 음식 중 기억에 남는 음식회 다가오는 추석 남은 나물로 만드는 비빔밥 크로켓회 日국보급 투수 오타니 쇼헤이도 이용한 생각 정리 도구 만다라트회 생각정리 스킬 첫 번째 생각을 시각화 하라회 똑소리 나는 옷장 정리법회 집에서 즐기는 시원한 초계 국수 만들기 꿀팁회 정재익 식객의 냉면 꿀팁 시중에 파는 물냉면 육수 만드는 비법회 은근히 만들기 어려운 비빔냉면 양념장 이것만 있으면 완성회 힙한 엄마 아빠들의 육아 꿀템 위는?회 어린이집 등원 필수템 낮잠이불회 불지 않아도 퐁퐁퐁 육아 꿀템 비눗방울 장갑회 혼수와 인테리어를 준비 중인 사람이라면 이태원 앤티크 가구거리회 여자라면 누구나 꿈꾸는 앤티크 접시 그릇들회 검지도로 떠나는 여행지 울릉도 죽도의 가이드 마루와 함께 회 신나게 하는 댄스 다이어트 핸드클랩’회 세계의 주취에 관한 법률회 주 만에빠지는 춤 맘마미아’회 옆구리 터질 일 없는 김밤 황금 레시피회 민정의 최애 분식 맛집 시락 떡볶이 상추튀김회 그녀들의 추억 속 분식은?회 향초의 에센셜 오일], 긍정 텍스트 확률 : 97.51%"
"[페트병 줄일 수 있는 방법회 무심코 쓰게 되는 비닐봉지], 긍정 텍스트 확률 : 61.94%"
"[대신할 수 있는 아이템은?회 호캉스 제대로 즐기기 위한 꿀팁회 오사카], 긍정 텍스트 확률 : 70.56%"
"[고베 주말여행 교통권만 잘 끊어도 성공회 스트레스 제로 춘천으로 떠나는 힐링 여행회 편의점 아르바이트생이 보내온 오늘의 사연회 동영상 규제에 대한 상반된 입장회 노출은 쉽고 규제는 어려운 인터넷 동영상회화제 불 없이 하는 요리는?회 전자레인지 활용하는 오징어 채소말이♥회 전기밥솥 활용한 닭봉 조림 꿀 조림장♥회 현대인의 적], 긍정 텍스트 확률 : 99.92%"
"[에센스의 차이는?회 아나운서들의 컨실러활용법회 인 쿠션 팩트 내 피부 톤에 맞는 쿠션 팩트 고르는 법회 인생 사진의 기본 모녀 커플룩회 엄마와 아들의 하와이 액티비티 여행회 년의 세월로 이어진 모녀의 여행기회 혼자 있는 시간을 견디기가 어려워요..회 폭염 이기는 나만의 회 이슈톡톡 폭염재난], 긍정 텍스트 확률 : 61.33%"
"[부분 해지회 들어는 봤니?보험회 들어는 봤니?보험회 흥보가 기가막혀김봉곤국악 자매회 회초리의 진정한 의미회 지리산 청학동에서 보낸 어린 시절회 선비들이 했던 체조 영선도인법회 그녀들이 가져온 회초리는? . 예절교실 입교식회 짐칸모듈러 가구를 활용한 수납회 이름도 생소한 컨테이너 하우스회 이것이 진정한 트리하우스다회 서부영화 분위기 가득한 이태원 오두막네회 인승 버스를 개조한 캠핑카★회 피부의 체온을 낮추는 냉감 소재회 찬 음식 빨리 먹을 때 오는 극심한 통증회 전문가 추천 충분한 수분 섭취★회 이열치열 맵고 뜨거운 음식으로 여름나기회 선풍기와 에어 서큘레이터의 차이회 지금 당장 떠나자 냉.지.순.례회 옥류관은 평양냉면], 긍정 텍스트 확률 : 97.97%"
"[함흥냉면은 신흥관회 비빔냉면의 대표주자], 긍정 텍스트 확률 : 55.27%"
"[함흥냉면 먹방회 물냉면의 매력 탐구★회 남북정상회담 핫 아이콘★ 물냉면의 대표주자], 긍정 텍스트 확률 : 84.14%"
"[해약 가능할까?회 주방 창문 앞에 설치된 이웃집 에어컨 실외기회 부녀회의 부정부패 법적 처벌은?회 누수 발생 시 발 빠른 대처법회 극도의 스트레스 이웃간 소음 문제회 유학 중 황재근 디자이너에게 온 위기회 옷장을 보면 그 사람 취향을 알 수 있다?회 올여름 대세 스타일링★회 새로운 시도는 작은 것부터 시작하기회 복면 디자이너로 더 알려진 디자이너 황재근회 폐공장이 복합문화공간으로회 투명한 천장으로 자연 채광 효과회 시원한 느낌 물씬 수영장을 카페로회 네온사인을 잘 이용한 홍콩 분위기 카페회 낡은 목욕탕의 이유 있는 변신회 환경 호르몬도 줄여주는활용법★회 커피포트 구연산으로 깨끗하게 하기★회 악취 잡아주는발효액 만들기★회 만능 세제 베이킹 소다 활용법 대 공개회 다재다능 살림꾼 레몬★회 쫀득 탱글 톳 국수회 집에서 만드는 콩국회 알고 먹으면 더 맛있는 면의 종류회 스무디 같은 질감의 콩국수 먹방회 대갈 해물 칼국수], 긍정 텍스트 확률 : 61.65%"
"[대갈의 정체회 캘리그라피 상반되는 단어로 표현 해보기회 글씨로 전하는 진심 오늘의 일일클래스 캘리그라피회 광복절 주년 남아있는 식민사관의 그림자 타파회 효도계약서와 유언장회 혼외자의 법적 권리를 찾는 방법회 조금은 낯선 대습상속 제도회 불효자로부터 내 재산을 지켜라회 마이클 잭슨 사망 후 재산분쟁이 없던 이유 .유언대용신탁회 태진아의 특별한 뮤직비디오회 태진아 명곡위 동반자회 태진아 명곡위 사랑은 아무나 하나회 태진아 마음속의★ 옥경이회 자기가 좋아태진아회 카페 같은 사무공간회 창의력이 샘솟는 제주 놀일터회 완벽 재현 기차 내부를 옮겨 논 회 빈티지 느낌 물씬 옥탑방 미니 주방★회 비어 있는 창고를 온실로회 점핑 피트니스], 긍정 텍스트 확률 : 98.67%"
"[무릎 관절에 괜찮을까?회 여성들이 가장 좋아하는 운동 필라테스’회 셀럽들이 사랑한 운동 줌바 댄스회 나잇살 타파 라인댄스회 굽은 어깨 펴주는 다운 독 자세’회 해장국의 옛이름 해정국의 의미회 전국 해장국 지도 大공개★회 서울 선지 해장국의 역사회 본격 뼈해장국 먹방★회 미국선정], 긍정 텍스트 확률 : 86.51%"
"[한국에서 먹어야 할 음식 위 해장국회 회사 비품 가져가는 직장인은 절도죄회 추억의 장발], 긍정 텍스트 확률 : 53.48%"
"[미니스커트 단속회 사회 변화에 따라 개정된 경범죄 처벌법회 불구경], 긍정 텍스트 확률 : 53.36%"
"[새치기 하다가 범죄자가 된다?회 부부싸움에 간섭했다가 경범죄 처발 받은 사연회 화려한 경력의 국악계 아이돌 남상일회 판소리 춘향가 속 사랑가’회 녹음기로 시작된 조상현 명창과의 인연회 낭만에 대하여남상일 원곡 최백호회 우리 소리’에 대한 오해회 프렌치 스타일 인테리어의 포인트 웨인스코팅’회 짙은 남색으로 꾸민 침실회 셀프인테리어 기초 페인트 고르는 법회 빈티지 느낌 뿜뿜 인테리어회인테리어 컬러★회 혼자 먹는 수박 미니 수박’회 싱싱한 미니 사과 고르는 꿀팁회 바나나 멸종설회 미니 과채], 긍정 텍스트 확률 : 89.69%"
"[유전자 조작 채소 아닌가요?회 등산 할 때 딱 좋은 미니오이회 성우 안지환의 소울 푸드 닭볶음탕’회 비주얼 쇼크 솥뚜껑 닭볶음탕회 닭볶음탕 맛 업그레이드해주는 사리와 볶음밥★회 기록으로 보는 닭볶음탕 변천사★회 년 전통의 마늘 폭탄을 품은 닭볶음탕회핫이슈 주방템 큰 수박도 한 번에 컷팅 만능 과일 커터기회 혼술족에게 추천템 초음파 맥주 거품기회 인 가구의 애물단지 먹고 남은 채소], 긍정 텍스트 확률 : 56.14%"
"[어디까지 먹어봤니?회 여의도의 여신들 들이 추천하는 여의도 한강 힙플레이스회 장유정 감독에게 영감을 준 사람회 세계여행전집을 보며 꿈꾸던 세계여행회 뮤지컬 연출가 영화 감독 장유정의 훈훈한 프로필회 뮤지컬 ＜그날들＞ 마지막 공연 현장회 ＜그날들＞ 준비할 때 기억나는 에피소드회 흰색 대리석과 금색 포인트 인테리어회 호텔 같은 집 인테리어 포인트★회 프로방스 인테리어 끝판 왕회 주방용품의 놀라운 재발견회 공간별로 어울리는 색감 찾기회 간접 조명이 있는 침실 인테리어회 위 식탁 위의 필수품 수저회 위 요리 본능을 깨우는 프라이팬회 위 주부습진 예방 필수품 고무장갑회 빅 데이터로 분석한 주방용품 트렌드회 이태원 김치피자? 줄 서는 해방촌 피자 맛집회 요즘 뜨는 핫 플레이스], 긍정 텍스트 확률 : 64.72%"
"[해방촌 골목의 역사회 소박한 후암동 골목 명소 일본식 주택 카페 숍회 동네 단골들의 로컬 만두 맛집회 데이트하기 딱 좋은♥해방촌의 일몰 야경 명소회 이혼사유를 보면 시대가 보인다회 이혼], 긍정 텍스트 확률 : 99.87%"
"[사실혼 소송 알아두면 좋을 정보회 고부갈등 속 너무 효자인 남편 이혼사유 가능할까?회 세에 이혼], 긍정 텍스트 확률 : 72.35%"
"[세균 만 마리?회 일상에서 떼려야 뗄 수 없는 플라스틱회 세계적으로 비닐봉투를 줄이고자 하는 노력회 특별함 배 바다를 걷는 트레킹 아벨타즈만 국립공원’회 영화 속의 한 장면 넬슨 레이크 국립공원회 서울에서 즐기는 템플 스테이회 반지의 제왕 촬영지 통가리로 국립공원회 걸으며 배우는 자연 속의 역사회 ], 긍정 텍스트 확률 : 96.36%"
"[허리에 안 좋은가요?회 백년 튼튼허리 메켄지윌리엄 운동회 당신의 허리 나이는?회 마술사라는 직업이 생소했던 시절 힘든 점은?회 마술사 최현우를 만든 비법 버티는 사람이 결국 이긴다회 ★국민 마술사 최현우의 마술쇼 대공개★회 좁은 집], 긍정 텍스트 확률 : 56.33%"
"[공간박스로 만드는 책장회 조명에 따라 달라지는 인테리어 분위기회 유럽 곳곳 일 이사 하는 집회 미국과 유럽에서 유행하는 밴 라이프회 간접 조명’이 포인트 싱글남의 셀프 인테리어회 외국 스타들의 입금 전입금 후회 송혜교의 다이어트를 도와준 두부 걷기회 명품 각선미 강소라의 다이어트 발레’회 먹성 좋은 정경호], 긍정 텍스트 확률 : 58.03%"
"[축구로 다이어트 성공회 국민 첫사랑 수지의 다이어트 식단회 퇴근 후 도심에서 즐기는 캠핑회 캠핑 스타일에 따라 달라지는 캠핑 가방 꾸리기회 셰프에게 배우는 캠핑요리회 다양한 캠핑의 세계 오토 캠핑백패킹글램핑회 놓치지 않을 거예요 캠핑 깨알 팁회 재판상 이혼 사유가 될 수 없는 것은?회 재산상속순위는?회 복권 당첨금], 긍정 텍스트 확률 : 90.63%"
"[처벌 대상이 아닌 것은?회 탕웨이의 분위기를 확 바꿔준 정샘물 메이크업회 정샘물의 성공비법 상대에게 진심을 다해라회 스타가 사랑하는 아티스트 정샘물이 되기까지회 나만의 퍼스널 컬러 찾는 법회 금손 정샘물에게 배우는 메이크업 노하우회 임신 입덧을 가라 앉혀준 수빈의 최애찜 해물갈비찜’회 옛스러운 느낌 물씬 선영의 최애찜 돼지고기 김치찜’회 뜨거운 찜요리 전자레인지로 간단하게 만드는 양배추 고기찜회 컨셉 확 살린 인테리어 홈바회 발코니를 미니 정원으로 플랜테리어회 발코니], 긍정 텍스트 확률 : 89.68%"
"[안방 발코니 인테리어회 유쾌한 부자 김용건하정우회 애틋한 모자 김을동송일국 . 삼둥이회 붕어빵 부자 김구라 그리회 다정한 부녀 주호성장나라회 끼 부자 찰리박전진회 서산의 빠질 수 없는 어리굴젓회 서산의 미味 다양한 매력♡회 바다 위 선상 어시장이 있는 삼길포항회 국내 유일 청벚꽃이 있는 서산 개심사회 간자미초무침으로 만드는 회덮밥회 해지한 실비 보험], 긍정 텍스트 확률 : 98.86%"
"[살릴 수 있다?회 종신보험과 연금보험의 차이회 연금 초보라면 꼭 보세요 연금의 종류회 연금 보험 선택], 긍정 텍스트 확률 : 78.10%"
"[보증 기간 설정하세요회 알쏭달쏭한 변액 연금 보험의 세계회 봄나들이 도시락 . 달래 쌈장 쌈밥회 봄나들이 도시락 . 냉이 샌드 김밥회 도시락의 유래회 도시락 추억담★회 단 분 만에 만드는 직장인 도시락회 살뜰하게 베란다 공간을 이용한 아이들 놀이공간회 랜선 집들이 . 나연민결이네회 랜선 집들이 ], 긍정 텍스트 확률 : 53.25%"
"[지아네회 랜선 집들이 . 리율이네회 다둥이네 인테리어 포인트회 이제는 관광코스로 찜질방에서 때밀이 체험회 우리나라 자랑스러운 문화유산 훈민정음’회 외국인 깜놀하는 대한민국 온돌 문화’회 외국의 별별 발명가들회 세계 최초 우리나라 발명품 쿠션 팩트’회 태국에서 즐기는 신나는 축제♥회 태국 물가 그것이 궁금하다회 잼쏭부부의 치앙마이 한 달 살기 . 숙소 구하기회 외국인 추천 부산 여행지 . 해동용궁사회 외국인 추천 부산 여행지 . 송정 해수욕장회 일제강점기], 긍정 텍스트 확률 : 98.99%"
"[나만의 명함지갑 만들기회 딩동이 사전 로 사랑받는 이유회 딩동의 관객을 매료시키는 화술 비법회딩동의 귀여운 팬클럽 딩커벨회 황지희 강사의 안방 요리 특강★회 스타 강사 강현순의 인기 비결★회 자기 관리의 아이콘 현역 최고령 배우 이순재회 영원한 오빠 송해 선생님의 장수 비결은?회 스타들의 워너비 스타★ 김혜수회 걸어 다니는 미담 자판기 유재석회 년째 화장품 모델 꿀피부 인증 이영애회 통닭이 언제부터 치킨으로 불린 걸까?회 지금까지 이런 치킨은 없었다 수원 왕갈비 통닭회 오리지널의 최고★ 통닭 골목의 큰 손 옛날 통닭회 수원 곱창골목★ 소돼지의 만남 곱창 갈비찜회 격이 다른 한우곱창구이★회 오래 버티면 내 땅이 된다 취득시효 제도회 부동산 계약], 긍정 텍스트 확률 : 66.74%"
"[동굴카페빛축제회 제주 토박이가 추천하는 유채꽃 명소 군산 오름’회 여행 전문가가 추천하는 봄 여행지회 수중 올레길 탐험★ 씨워킹 동문시장회 낙타 체험 제주 도민이 사랑하는 남원읍 바다회 알쏭달쏭한 차선], 긍정 텍스트 확률 : 93.24%"
