"[☈항상 상대방을 배려하는 마음을 가졌으면 합니다. 본의아니게 상대방을 상쳐주는 일들이 많아요. ], 긍정 텍스트 확률 : 93.66%"
"[분홍색 종류에요. ], 긍정 텍스트 확률 : 78.25%"
"[부 강의도 역시 로앤코코 대표님이 직접 해주셨는데요. ], 긍정 텍스트 확률 : 83.69%"
"[육아용품에 대핸 강의를 해주셨어요. ], 긍정 텍스트 확률 : 52.60%"
"[신생아시기부터 아기 키우면서 필요한 필수품에 대해서 차근차근 ], 긍정 텍스트 확률 : 78.29%"
"[설명을 해주셨어요. ], 긍정 텍스트 확률 : 55.77%"
"[ 오가닉은 오가닉 전용세제로 세탁해야함 ], 긍정 텍스트 확률 : 56.55%"
"[ 딸랑이는 천으로 된거부터 구입아기가 가지고 놀다 떨어뜨리면 울게 됨 ], 긍정 텍스트 확률 : 60.86%"
"[레크레이션을 하는 동안 대표님은 직접 전원], 긍정 텍스트 확률 : 62.08%"
"[ 전 맨 앞조인 조였는데요. 그냥 가 이끄는대로 열심히 게임에 참여만 했는데 우리조가 등했어요ㅋㅋ 등 상품으로 받은 양말이에요. ], 긍정 텍스트 확률 : 50.64%"
"[ 그리고 이어진 쇼타임], 긍정 텍스트 확률 : 70.21%"
"[진짜 엠케이님 볼수록 매력 터지는 스타일이신듯요 ], 긍정 텍스트 확률 : 98.08%"
"[모든 행사를 마치고 집에 돌아가는 길 ], 긍정 텍스트 확률 : 54.10%"
"[로앤코코 대표님이 나오셔서 가는길 직접 인사해주시면서 배웅해주시는데 ], 긍정 텍스트 확률 : 69.70%"
"[대표님의 진심이 느껴지더라구요. ], 긍정 텍스트 확률 : 88.23%"
"[분홍색이 두가지였는데 전 둘째는 딸이라 핑크로 택했어요. 아기옷 종세트에요. 배냇저고리], 긍정 텍스트 확률 : 65.48%"
"[턱받이까지 꼭 필요한 것들로 구성되어 있네요. ], 긍정 텍스트 확률 : 83.30%"
"[ 아들을 키우다 딸의 상징인 핑크템을 보니가슴이 두근두근 합니다우리 예봄이 태어나면 예쁘게 입힐께요. 감사합니다], 긍정 텍스트 확률 : 93.51%"
"[다시 한번 남겨봤어요. ], 긍정 텍스트 확률 : 93.30%"
"[전 집에서 놀면 모하나 생각에 산모교실 많이 다니고 있는데요. ], 긍정 텍스트 확률 : 78.24%"
"[그 고민도 속시원히 풀 수 있는 산모교실이에요. ], 긍정 텍스트 확률 : 93.35%"
"[ 월 행사도 있으니], 긍정 텍스트 확률 : 70.79%"
"[ 로앤코코 산모교실은로앤코코 리틀페어라는 이름으로 작은 베이비페어 느낌이 나는곳이에요직접 직수입하시는 예쁜 의류], 긍정 텍스트 확률 : 97.46%"
"[ 신생아의류가 많았구요월출생 예정이라 옷을 어떻게 사야할지 몰라서구경만 오래하다가 결국 아무것도 못샀네요ㅠㅠ심각한 결정장애다보니.. ㅠㅠ 이럴땐 친구라도 같이 왔음 좋겠다 싶었어요 ], 긍정 텍스트 확률 : 96.52%"
"[ 한참을 고민하다가 결국 못산 우주복...코끼리우주복은 월출생이면 디피된옷으론 사이즈가 작다고담달이면 큰사이즈도 나온다고 하네요담달에도 기회가 된다면 다시 방문해서 구입하고 싶네요 ㅎㅎㅎ], 긍정 텍스트 확률 : 64.82%"
"[ 로앤코코 대표님멀리서 찍어서 사진이 실물을 담아내지못하네요엄청 미인이세요 ㅎㅎㅎ로앤코코에 대한 설명을 잘해주셨어요베이비페어 진입전에 로앤코코를 홍보하기위해 전국을 다니고계신다고해요직접 수입하신 의류들도 거의 마진없이 홍보차 구입할수있게 해주신거래요실제 제품 만져보고 가격들으면 너무 착한가격에 놀래요 ㅎㅎㅎ 꼭 많은분께 로앤코코가 알려져서 베이비페어때 뵐수있음 좋겠어요], 긍정 텍스트 확률 : 99.38%"
"[ 부 강의는 금수저플랜 보험강의 였어요다른 산모교실에서 들었던 동일한 동양증권 상품이였어요엘자산관리의 부지점장이셨는데 나이도 젊으시고 강의도 넘나 재밌게 하셨어요자칭 힐링남이라고 하시던데 ㅎㅎㅎ 중간중간 퀴즈 내시면서 상품도 나눠주시고 지루하지않은 강의였어요], 긍정 텍스트 확률 : 72.90%"
"[ 부 강의는 웅진북클럽에서 해주셨어요이때 핸드폰 배터리가 다되서 사진을 더 찍지 못했어요ㅠㅠ강의중에 책 한권을 읽어주셨는데 내용이 너무 좋았어요아빠가 아가에게 하는말 ㅎㅎ 북클럽팀장님이셔서 그런지 동화책을 너무 잘 읽어주시더라구요나중에 우리애기한테 팀장님만큼읽어줄수있을까 괜히 걱정이 되더라구요 ㅎㅎㅎ ], 긍정 텍스트 확률 : 94.56%"
"[모든 강의가 끝나고 레크레이션 시간시간이 많지않아서 지난달보단 레크레이션 시간은 짧았지만 재밌는 시간이였어요웃음태교시간이였죠 ㅎㅎ ], 긍정 텍스트 확률 : 95.65%"
"[예비맘들을 응원하는 대표님의 센스가 돋보이는 산모교실 그리고 광란의 산모교실ㅋㅋㅋ ], 긍정 텍스트 확률 : 95.30%"
"[주차걱정 없이 마음편히 다녀왔어요. ], 긍정 텍스트 확률 : 92.68%"
"[산모교실 시작 전 이벤트 안내가 있었어요저는 산모교실가면 똥손이기 때문에 경품을 한 번도 타 본적이 없거든요ㅠㅠ그래서 이렇게 소소하게 이벤트 있는걸 좋아하는데 로앤코코는 ], 긍정 텍스트 확률 : 96.16%"
"[인스타그램이벤트 가지가 있네요. ], 긍정 텍스트 확률 : 50.44%"
"[마지막 선물 증정 시간에는 베스트포토상만 뽑아서 주시고 올린 사람 전체는 주지 않았어요ㅠㅠ ], 긍정 텍스트 확률 : 65.50%"
"[로앤코코 대표님이 나오셔서 회사소개와 간단한 보험상담 브리핑을 했어요.로앤코코 회사가 어떤 회사인지], 긍정 텍스트 확률 : 73.78%"
"[어떻게 해서 산모교실에 로앤코코 옷까지 팔게됐는지 히스토리를 얘기해줬어요. ], 긍정 텍스트 확률 : 66.79%"
"[로앤코코 리틀페어 산모교실은 옷구경하기 바쁩니다ㅋㅋㅋ ], 긍정 텍스트 확률 : 66.74%"
"[부스는 총 군데가 있었는데 ], 긍정 텍스트 확률 : 50.12%"
"[더 많이 알려줬는데 손이 귀를 따라가지 못해서 아쉬워요ㅠㅠ그리고 추가로 로앤코코에서 취급하는 유모차], 긍정 텍스트 확률 : 81.13%"
"[카시트 등은 로앤코코 통해서 박람회보다 더 저렴하게 구매할 수 있다고 유모차], 긍정 텍스트 확률 : 72.68%"
"[엠케이님이 수고하셨어요.나이가 많이 어려보였는데 산모들 추울까], 긍정 텍스트 확률 : 77.63%"
"[고퀄에 비싼 제품이기 때문에 그렇다네요평소 경품은 항상 못타고 돌아오는 저기에ㅋㅋㅋ 이렇게 전원증정 기본선물 빵빵한 곳 선호합니다 ], 긍정 텍스트 확률 : 60.19%"
"[마지막으로 광란의 쇼타임로앤코코 리틀페어 산모교실을 참서한 임산부들에게 ], 긍정 텍스트 확률 : 69.72%"
"[웃음태교하라고 열심히 춤을 준비했다고 하네요마지막에 춰도 재밌었는데 초반에 췄으면 더 분위기도 더 업되고 좋았을 것 같네요 ], 긍정 텍스트 확률 : 54.68%"
"[신생아베개랑 블랭킷이에요다른곳에서 받아보지 못한 기본선물이라 더 좋네요. 보통 산모교실가면 물티슈], 긍정 텍스트 확률 : 97.36%"
"[마지막 선물은 ], 긍정 텍스트 확률 : 65.90%"
"[현장 전기이벤트 당첨선물용도가 궁금했던 가죽파우치였어요ㅋㅋ전기이벤트 명을 뽑았는데 다 아는 분들이여서 신기했네요 물어보니 ], 긍정 텍스트 확률 : 59.13%"
"[아기 옷들이랑 용품도 저렴하게 구매할 수 있고 초보맘들에게 꼭 필요한 출산준비물 구매 강의도 들을 수 있어서 좋았던 ], 긍정 텍스트 확률 : 98.48%"
"[ 부산방문연수추천 시간완성동래 최님 후기 ], 긍정 텍스트 확률 : 86.10%"
"[여성 초보운전 시간 완성 초보탈출 드라이브 입니다.동래 최회원님과 오늘 창원까지 다녀왔답니다. 가속구간 수업에 딱 맞춰서 우리 회원님이 계획하신 대로 바로 친정인 창원까지가속구간 수업도 하고], 긍정 텍스트 확률 : 98.25%"
"[우리 회원님이 가장 자주 가고 싶은 베스트장소인 친정도 가고일석이조이런날 날씨까지 좋았으면 더더더 좋았겠지만], 긍정 텍스트 확률 : 97.63%"
"[그래도 회원님은 친정가는게 어디냐며 행복해 하셨던 수업이었습니다. ], 긍정 텍스트 확률 : 51.82%"
"[우리 최회원님은 처음 저희 엠케이드라이브로 문의 주셨을때 부터 창원을 두번정도 갔다 왔으면 싶으시다고 하셨답니다. 무남독녀 외동딸이신 우리 회원님이 운전해서 제일 처음 가보고 싶은곳이 바로 창원에 친정집이었거든요. 그래서 ...으로 스케쥴을 잡았습니다. 초조하게 다녀오지 않을 만큼 넉넉하게 일정을 잡아서 창원까지 두번 왕복 가능하도록 스케쥴 완성 ], 긍정 텍스트 확률 : 86.54%"
"[이때까지는 동래에 있는 시외버스터미널에서 버스를 타고 창원까지 왔다갔다 하셨답니다. 남편분도 운전을 아직 못하셔서], 긍정 텍스트 확률 : 63.49%"
"[아이들까지 데리고 버스타고 가서 또 택시타고 가기가 너무 버거웠다는 우리 회원님.그래서 그냥 용기내셔서 우리 회원님이 먼저 운전을 시작하셨어요. 나중에 회원님이 연수 끝내시고], 긍정 텍스트 확률 : 62.96%"
"[남편분도 회사도 지하철 타고 다니면되고], 긍정 텍스트 확률 : 63.30%"
"[아직 막내따님이 애기라서 기저귀 가방까지 짐도 짐도..ㅠ.ㅠ진작에 운전을 안배웠던 것을 두 부부가 어린이날 밤에 맥주한잔 기울이시면서 후회하셨다는 슬픈 이야기가 전해집니다. ], 긍정 텍스트 확률 : 96.12%"
"[혼자서도 잘 하실 수 있을때 아이 태우시고 도전하시길 바랍니다.아이들이 옆에서 울고], 긍정 텍스트 확률 : 91.46%"
"[ 대표번호휴대전화 여성 초보운전자분들에게 도움이 되고자 방문도로 연수를진행하고 있습니다. 장롱면허 및 초보 탈출을 간절히 바라신다면 시간 완성드라이브로 문의하세요 지역은 부산 대전 세종 경남 일산 모두 가능합니다. ], 긍정 텍스트 확률 : 61.99%"
"[ ♥ ], 긍정 텍스트 확률 : 99.57%"
"[행사 장소의 공사 문제로 취소됨ㅜ 무지 아쉬웠다는ㅜㅜㅜ그래도 근처 지역에서 열리는 행사라도 신청하면 우선권?을 준다기에 가까운 대전으로 다시 신청했다사실 대전에서 열리는 날은 점심까지 다른 일정이 있어서 좀 빠듯할 것 같았지만ㅜㅜ꼭 가고 싶어서 무리해서 신청했고ㅋㅋ ], 긍정 텍스트 확률 : 97.44%"
"[소규모 산모교실인지라 지난번에 대전으로는 한 번 갔기에 당첨이 안 될 수도 있겠다고 생각하고 있었는데정말 약속?한 공지대로 당첨 문자가 와서 운 좋게 고고 ], 긍정 텍스트 확률 : 53.75%"
"[입장 시에는 요로코롬 안내 용지를 나눠주신다자세히 보면 오른쪽 맨 위에 경품 번호가 적혀있음오늘 나의 경품 번호는 은 중국에서 돈 들어오는 숫자라는데오늘 경품 되려나잉???기대해봄반대쪽 면에는 이렇게 친절하게도 일정이 적혀있다ㅎㅎ ], 긍정 텍스트 확률 : 58.69%"
"[사은품 모습로앤코코 사은품 풍족하게 주기로 유명하던데과연 무엇이 들어 있을지?? 기대기대. ], 긍정 텍스트 확률 : 71.02%"
"[산모들의 웃음 태교를 책임져주실 엠케이님반갑습니당 ], 긍정 텍스트 확률 : 53.85%"
"[ 귀엽게 웃겨주셨다 ], 긍정 텍스트 확률 : 89.38%"
"[ 엠케이님의 재밌는 워밍업 시간으로 행사 스타트엠케이님의 재치 넘치는 진행에 웃음 태교로 시작했다산모교실 진행되는 내내 재밌는 레크리에이션과 게임으로 유쾌하고 즐거운 분위기를 이끌어주셨다ᄏᄏᄏ앉은 자리대로 조를 짜주셨는데소규모 산모교실이다 보니], 긍정 텍스트 확률 : 99.97%"
"[주변 산모들과 손잡고 가까운 느낌으로 게임하고 그래서 더 재밌었던 것 같다ㅎㅎ ], 긍정 텍스트 확률 : 87.19%"
"[시작은 가벼운 게임두뇌와 손을 활용하는 순발력 게임도 있었는데열심히 해보았지만], 긍정 텍스트 확률 : 76.23%"
"[머리와 손이 따로 노는 현실..ㅋㅋㅋ잘하시는 분들은 상품도 받으셨다는 부러웠다ᄒᄒ ], 긍정 텍스트 확률 : 67.20%"
"[로앤코코란?열정의 대표님. ], 긍정 텍스트 확률 : 55.16%"
"[ 엠케이님의 워밍업 시간이 지나고], 긍정 텍스트 확률 : 92.41%"
"[대표님의 로앤코코 소개 시간이 이어졌다.진정성 있는 이야기를 들었다. ], 긍정 텍스트 확률 : 52.73%"
"[산모교실이 어떻게 운영되는 지도 설명해주셨음.그 수많은 산모교실 다니면서도 잘 몰랐는데...ㅎㅎㅎ역시 제휴], 긍정 텍스트 확률 : 85.34%"
"[로앤코코와 함께하는 보험상담이 있는데], 긍정 텍스트 확률 : 66.73%"
"[세 가지 전부 너무 퀄리티 좋고], 긍정 텍스트 확률 : 68.17%"
"[쇼핑도 하는 신나는 시간이었다.이쁘고 저렴한 옷], 긍정 텍스트 확률 : 70.50%"
"[물품들 골고루 구경하면서 쇼핑할 수 있어서 좋았다 ], 긍정 텍스트 확률 : 84.07%"
"[로앤코코는 거의 원가에 판매되는 건지 진짜 저렴함..저번에 산 거 좀 후회해서 이번엔 사진 않았음로앤코코 빨리 널리 널리 퍼져서 베이비페어 등 여러 곳에서 만날 수 있기를 ], 긍정 텍스트 확률 : 76.81%"
"[부스. 맘 산모케어 ], 긍정 텍스트 확률 : 64.29%"
"[산후 조리의 기본원칙 ], 긍정 텍스트 확률 : 52.07%"
"[부는 맘 산모케어에서 산후조리의 기본원칙에 대한 제목으로 강의를 해주셨다.강의 시작 전에 아이가 자라는 과정부터출산까지의 영상을 보여주셨는데곧 출산을 앞두고 있어서 그런가.두번짼데도 눈길이 감 ], 긍정 텍스트 확률 : 93.73%"
"[좋았다나처럼 곧 출산 앞두고 있는 산모들에게는 정말 매우 매우 유익할 강의였던 것 같다 ], 긍정 텍스트 확률 : 97.46%"
"[부에는 레크레이션 및 게임 시간이 이어졌다.초성 게임. 화면 숫자 보고 말하기 게임 등 재밌는 팀 게임을 많이 했는데조용하던 우리 팀이 엄청난 선전을ㅋ 점점 맞히니까 다들 더 의욕이 넘쳐서 갈수록 더 많이 맞혔다.등인 줄 알고], 긍정 텍스트 확률 : 57.17%"
"[진짜 재밌었다 ], 긍정 텍스트 확률 : 94.08%"
"[경품보다 훨씬 좋은 기본 선물이 있었기에경품 당첨된 것 같은 든든한 마음으로 집으로 돌아갔음ㅋㅋ ], 긍정 텍스트 확률 : 97.89%"
"[ 오가닉 배게그리고], 긍정 텍스트 확률 : 70.21%"
"[요 내복바지ㅋㅋ특이하게 구멍이 뚫려있는데통풍 잘 되라고 뚫려있다고 한다.한두 개 정도 이런 바지 가지고 있으면], 긍정 텍스트 확률 : 58.04%"
"[도움 많이 된다고아기 땀띠 나거나 기저귀 발진 있을 때], 긍정 텍스트 확률 : 73.98%"
"[유용하게 쓸 것 같다그래도 되도록이면 땀띠 없이 잘 지나가길...ㅜㅜㅜ ], 긍정 텍스트 확률 : 56.86%"
"[우리 아가는 딸랑규지만.. 파란 붕붕이 양말딸은 역시 파랑이죠양말 디자인 너무 귀엽구 이쁘다ㅋㅋㅋ꼬물거릴 발에 빨리 신겨보고 싶다ᄒᄒ ], 긍정 텍스트 확률 : 64.92%"
"[이건 전기 이벤트 선물로 받은 타올 앞면 뒷면 모습.부들부들 촉감 너무 좋고 앞뒷면 디자인도 너무 귀엽단 씐남 ], 긍정 텍스트 확률 : 95.74%"
"[ 팬티를 입힌 후에는 아이를 계속 관찰하면서바로바로 갈아입혀주는 엄마의 센스가 필요해요수시로 쉬야할까? 라고 묻고 쉬야를 할 수 있도록 유도해주세요갤에 배변훈련 실패해서 개월 후갤때 다시 시도.이틀 내내 팬티에 쉬야응가 반복하더니이제는 밖에 나가서도 쉬야할거야라며 변기 찾고자기 전에 기저귀를 채워도 참고아침에 일어나서 변기에 눈답니다.아가들 모두모두 배변훈련 성공하길 바래요개월 자꾸 기저귀 풀어헤치고도망다녀 배변훈련 하려 구매했어요구매함과 동시에 설사하고 있어 시도 못햇는데재질도 타올? 같은 재질이구 일반 팬티보다 많이두껍네요..기저귀 팸퍼스 쿠르저 쓰는데 기저귀 보다 더 두꺼워요ㅠㅠ허벅지랑은 여유 있는데배부분이 많이 타이트하네요..키 에 키로 보통 체격 아이에요평소입네요 ㅎㅎ개월 된 딸이 배변훈련 시작할때가 된것같아 검색하다 구매했어요.근데 받고 나서 뭔가 좀 다른것 같아 비교를 해봤더니 사진에 표시한대로 방수원단이 많게 들어간것과 적게 들어간 차이였어요.. 면은 오리가 더 좋던데], 긍정 텍스트 확률 : 99.09%"
"[센치 여아 에요설사를 한참 하더니 엉덩이와 소중이가모두 헐어서 기저귀 채우는것 조차아기에게 아픈거 같아 대신 입하려고 샀어요.허리와 허벅지밴드 가 생각보다 쫀쫀해요.얇은밴드가 아니라 두꺼운 밴드여서쪼이더라도 덜 불편해 할거 같아요성인 생리팬티위생팬티 같아요하지만 아기껀 엉덩이랑 소중이 닿는 부분이조금 더 부드러워요.기저귀 보다는 통풍이 잘될테니 만족스럽고], 긍정 텍스트 확률 : 97.32%"
"[로앤코코 리틀페어에 대해서 들어보셨나요?참석만해도 ], 긍정 텍스트 확률 : 80.59%"
"[기본선물로 제공되는 곳으로 유명해요제가 참석한 날은홍록기파티하우스 분당점에서 진행이 되었어요 ], 긍정 텍스트 확률 : 79.75%"
"[주차 지원이 시간 되는 곳이라홍록기파티하우스 분당점에서 진행되는 산모교실은꼭 참석하려고 합니닷주차 지원 되는 곳정말 좋아용♡우선 전체적인 후기리뷰 영상으로 보고 가시겠습니다 ], 긍정 텍스트 확률 : 94.32%"
"[엠케이님께서 진행해 주십니다너무너무 재밌는 시간인데요꿀팁을 드리자면등장 하실 때], 긍정 텍스트 확률 : 68.43%"
"[열렬히 호응을 하시면 선물을 받으실 수 있다는 점 ], 긍정 텍스트 확률 : 62.94%"
"[전기이벤트라고해서산모교실이 진행되는 동안현장 이벤트가 진행돼요제한 시간이 있으니 꼭 지켜서 도전해보세요엠케이님이 포토타임으로 한바퀴 촤르륵 돌아주시거든요그럼 그때 사진을 예쁘게 찍으셔서], 긍정 텍스트 확률 : 75.27%"
"[부 로앤코코 회사소개 및 워밍업 ], 긍정 텍스트 확률 : 56.44%"
"[본격적인 부에는 대표님께서 진솔한 이야기를 해주십니다로앤코코 리틀페어가 왜 리틀페어란 용어를 붙이는지 아시나요?작은 박람회처럼 생각하면 쉬운데요로앤코코에 훌륭한 아기옷들이 참 많아요그것들을 박람회 입점하기 전로앤코코 리틀페어에서 만날 수 있어요그렇기 때문에 대표님께서], 긍정 텍스트 확률 : 94.00%"
"[ 아기 바지가 왜 뚫려 있는지에 대한 설명이런 것들을 새롭게 알게 된 시간이었어요그리고산모교실에 관련된 이야기도 해주셨는데요어떻게산모교실들이 수익을 내고있고로앤코코 리틀페어는 무엇이 다른지정말 잘 이해되게 알려주셨답니다궁금하시다면꼭 참석해 보세요♡ ], 긍정 텍스트 확률 : 99.45%"
"[이날 저는 조 테이블에 앉게 되었어요그런데 너무나 행운이었던게같은조 예비맘님들이 엄청 활발하고 참여율이 높은 분들이셨어요그래서 저도 열심히 참여하고 호응하고 즐길 수 있었습니다오예 ], 긍정 텍스트 확률 : 99.08%"
"[정말 필요한 분만 상담을 받으면 되기 때문에], 긍정 텍스트 확률 : 82.76%"
"[그런 훌륭한 시스템이었습니다만약 당일에 계약을 하게 되면사진에 보이는 ], 긍정 텍스트 확률 : 82.20%"
"[대형 아기 담요를 받을 수 있었어요범퍼침대가 참 매력적이더라구요그것도 아기옷 종 세트와 같이 받을 수 있는 구성이라니... 엄청나요이날 참석하셔서 계약하신 분들은어마어마한 채움 하시고 가시더라구요 ], 긍정 텍스트 확률 : 91.75%"
"[부 산모교육 강의 ], 긍정 텍스트 확률 : 56.44%"
"[부는 모유수유에 관련된 강의가 진행되었어요딱 봐도경력이 어마어마하실 것 같은 강사님께서알려주셨는데요정말 유익했고새롭게 많은 것을 알게 되었답니닷 ], 긍정 텍스트 확률 : 98.79%"
"[너무나 훌륭한 내용이 많았지만우선 사진에 보이듯이 모유수유가 엄마에게 좋은 이유부터살펴보시는 게 좋을 것 같아요그 밖에 알게된 것들쭈욱정리해보겠습니닷 ], 긍정 텍스트 확률 : 99.26%"
"[ 분 정도 모유를 먹는 것이 식사이고 그 외에는 목춤임이다], 긍정 텍스트 확률 : 62.89%"
"[ 모유 수유 중 반대쪽도 모유가 흐르면 잘 먹고 있다고 생각하면 된다 ], 긍정 텍스트 확률 : 91.24%"
"[강의가 끝나고 나면즐거운 레크레이션이아주 재밌게 진행됩니다], 긍정 텍스트 확률 : 91.74%"
"[아주아주아주 재밌어요 ], 긍정 텍스트 확률 : 91.39%"
"[값진 양말을 챙겨갈 수 있었어용], 긍정 텍스트 확률 : 54.11%"
"[비싼 양말이랍니다 ㅎㅎㅎ ], 긍정 텍스트 확률 : 59.37%"
"[엄청난 기본선물], 긍정 텍스트 확률 : 88.20%"
"[너무나 행복했던 날이었습니다♡♡♡♡♡마지막엔엠케이님께서 환상적인 댄스도 보여주시니까많은 예비맘님들도놓치지 말고 꼭 끝까지 행복한 시간 보내세요마무리로 로앤코코 리틀페어신청 링크 첨부하겠습니닷♡.. .. ], 긍정 텍스트 확률 : 99.94%"
"[킨텍스 모두 방문했어요. 그래서 두 가지 세제 모두 가지고 있는데..둘 다 성분도 좋고 세정력도 좋아서 만족 대 만족중입니다.이번 코엑스에서도 얼리버드 이벤트 받으려 아침부터 출격하려고요. ], 긍정 텍스트 확률 : 100.00%"
"[ 신상 유모차와 카시트를 한 자리에서 볼 수 있을 뿐만 아니라 코베 쿠폰으로 저렴하게 구매할 수 있어서 핵이득 ], 긍정 텍스트 확률 : 80.92%"
"[유모차와 같은 고가의 제품 뿐만 아니라 루솔 등과 같이 소소한 제품도 쿠폰을 사용할 수 있어서 그야말로 알뜰 구매의 끝판왕이 될 수 있어요. ], 긍정 텍스트 확률 : 71.10%"
"[코베 쿠폰 사용으로 알뜰 구매한 뒤 쿠폰 사용 후기 올리면 전동차가 내손에이번 코엑스 코베에서 저도 코베쿠폰 사용하고 후기 이벤트에 도전해 볼 예정입니다.], 긍정 텍스트 확률 : 86.16%"
"[코엑스코베에서는 지금까지 베이비페어에서 만나볼 수 없었던 신규 브랜드를 만날 수 있어요. 마이포레], 긍정 텍스트 확률 : 82.67%"
"[아르나라 등등 어떤 제품들이 입점될지 기대가 큽니다.이렇게 다양한 이벤트가 있는 코베이번에도 달려갑니다. ], 긍정 텍스트 확률 : 92.62%"
"[● 이벤트 안내 응모기간월 일월 일 당첨자 발표월 일업체사정으로 변경될 수 있습니다. 당첨상품베베프람웨건명], 긍정 텍스트 확률 : 61.88%"
"[ 원 사전등록시 원맘스홀릭베이비 회원혜택 본 이벤트 참여시 무료입장], 긍정 텍스트 확률 : 80.02%"
"[★ 코베 현장 이벤트 ★ 골라 받는 즐거움 밤부베베 포밍 세제 목], 긍정 텍스트 확률 : 50.43%"
"[● 이벤트 안내 응모기간월 일월 일 당첨자 발표월 일업체사정으로 변경될 수 있습니다. 당첨상품베베프람웨건명], 긍정 텍스트 확률 : 61.88%"
"[ 원 사전등록시 원맘스홀릭베이비 회원혜택 본 이벤트 참여시 무료입장], 긍정 텍스트 확률 : 80.02%"
"[★ 코베 현장 이벤트 ★ 골라 받는 즐거움 밤부베베 포밍 세제 목], 긍정 텍스트 확률 : 50.43%"
"[에 판매되고 있습니다.], 긍정 텍스트 확률 : 64.98%"
"[ 엠케이 여아용 앙증 조이멀티 순면 배변훈련팬티 종세트], 긍정 텍스트 확률 : 57.95%"
"[에 판매되고 있습니다.], 긍정 텍스트 확률 : 64.98%"
"[ 포스팅 시점의 할인가 입니다. 상품페이지에서 실제금액을 확인 하세요. ], 긍정 텍스트 확률 : 79.78%"
"[팬티안에 중앙 부분이 수건 재질로 되어 있어서 첨에는 좀 별로라고 생각을 했어요 피부에 닿이면 촉감이 별로지 않을까 생각했는데 다른 배변팬티와 다르게 이건 애기가 실수를 해도 잘 세지가 않더라구요. 확 싸면 세기는 해요. 근데 엄마 쉬라고 할때 애기는 이미 팬티에 약간씩 쉬를 하고 있고 저는 얼른 변기로 데리고 가야하는 그 몇초 동안 세지 않는걸 경험해서 좋았던것 같아요. ㅎㅎ 약간 아쉬운건 애기가 허벅지가 굵은편이 아닌데 허벅지가 좀 끼네요 여튼 배변훈련중 실수에 잘 대처 할수 있어서 이 팬티를 가장 잘 입히게 되어요 ], 긍정 텍스트 확률 : 90.94%"
"[ 구매한 고객님들이 작성한 상품평 입니다. ], 긍정 텍스트 확률 : 55.79%"
"[이 포스팅은 쿠팡 파트너스 활동의 일환으로], 긍정 텍스트 확률 : 50.43%"
"[ 이에 따른 일정액의 수수료를 제공받고 있습니다. ], 긍정 텍스트 확률 : 68.48%"
"[ 현제 할인율할인 ], 긍정 텍스트 확률 : 57.16%"
"[ 본 블로그의 모든 상품은공식 홈페이지를 통해 진행 되는 안전한 제품입니다. ], 긍정 텍스트 확률 : 67.93%"
"[ 엠케이 여아용 앙증 조이멀티 순면 배변훈련팬티 종세트 ], 긍정 텍스트 확률 : 57.95%"
"[여아배변팬티 엠케이 여아용 앙증 조이멀티 순면 배변훈련팬티 종세트], 긍정 텍스트 확률 : 55.49%"
"[팬티안에 중앙 부분이 수건 재질로 되어 있어서 첨에는 좀 별로라고 생각을 했어요 피부에 닿이면 촉감이 별로지 않을까 생각했는데 다른 배변팬티와 다르게 이건 애기가 실수를 해도 잘 세지가 않더라구요.확 싸면 세기는 해요. 근데 엄마 쉬라고 할때 애기는 이미 팬티에 약간씩 쉬를 하고 있고 저는 얼른 변기로 데리고 가야하는 그 몇초 동안세지 않는걸 경험해서 좋았던것 같아요. 약간 아쉬운건 애기가 허벅지가 굵은편이 아닌데 허벅지가 좀 끼네요 여튼 배변훈련중 실수에 잘 대처 할수 있어서 이 팬티를 가장 잘 입히게 되어요 ], 긍정 텍스트 확률 : 61.67%"
"[귀엽다.핑크 노랑 각 두개씩 왔는데 느므 귀엽다 궁디 팡팡소변을 봐도 어느정도 흡수가 되고 아기가 잘 적응해서 다행사이즈는 한치수 크게 구매하니까 넉넉하기 괜찮은듯 ], 긍정 텍스트 확률 : 66.87%"
"[수족구가 엉덩이 허벅지 기저귀라인으로 퍼졌어요.급하게 구매했구요.입히고 바로 쉬 한번 다른분들은 안샌다고 하셨는데 전 새네여그래도 기저귀라인 수포올라온거 이걸로 갈아입히고 많이 가라앉았어요. 아이도 편안해하요몇 장 더 주문하려구요 ], 긍정 텍스트 확률 : 68.96%"
"[제가 워킹맘이라 얼집다니는 딸아이가 개월인데 아직도 기저귀를 차고있어서ㅜㅜ요즘들어 날이 많이 더워져서 엉덩이에 땀이 차더라구요ㅜ내년에 유치원 가려면 걱정되서.올여름에 시도해보려구요ㅋ팬티는 핑크두장 노랑이 두장 왔네요ㅋ색상도 이쁘고 안쪽이 타올처럼 되어있네요ㅋ올여름 기저귀떼기 성공했음 좋겠네요딸아이 키로 허벅지 통통이에요적당히 맞아서 괜찮네요 ], 긍정 텍스트 확률 : 93.36%"
"[뭐랄까 허벅지가 쫌 끼네요 우리 애기 마른편인데 일반 팬티 한세트 살걸 그랬어요 생각보다 잘 안입어지네요 가끔 토끼팬티라고 자기가 골라서 입을때도 있는데 어차피 젖는건 똑같고 후회중이에요 이쁜 캐릭터 팬티 사세요 아기가 골라입는 재미가 있으니 좀더 빨리 기저귀 뗀거 같아요 ], 긍정 텍스트 확률 : 95.15%"
