"[ 열심히 검색해서 착한성분에 리틀트윅보단 조금 비싸지만 그래도 가격만족도 되는 제품을 바로 구매했습니다.브랜드 인데요 오가닉 제품으로 구성된 베이비 파우더 입니다. ], 긍정 텍스트 확률 : 74.04%"
"[영상으로 확인해보세요. ], 긍정 텍스트 확률 : 51.28%"
"[ 얼마나 잘 녹느지 보여드리려고 아주 듬뿍 떠서 손등 위에 올렸어요. ], 긍정 텍스트 확률 : 78.31%"
"[ 손에 닿으면 잘 녹아서 피부에 부드럽게 바를 수 있어요.문질문질], 긍정 텍스트 확률 : 92.36%"
"[ 듬뿍 떠서 발랐더니 광이 과하네요..ㅋㅋ부드럽게 발리는 느낌이 좋아요.발랐을 때 무겁거나 답답한 느낌이 들지 않아서 좋았고요 ], 긍정 텍스트 확률 : 72.91%"
"[ 글로벌전문 심사진의 엄격한 테스트를 거쳐 수상을 했다고 하니더더욱 믿음이 가고 우리 아기에게 안심하고 사용할 수 있었어요. ], 긍정 텍스트 확률 : 86.75%"
"[ 문제의 팔 안쪽 접히는 곳.클레멘스 베이비밤으로 토닥토닥 발라줬어요.아기 팔], 긍정 텍스트 확률 : 70.68%"
"[ 진정되도록 도와준다고해요 ], 긍정 텍스트 확률 : 57.49%"
"[ 엄마가 발라주니 따라해보고픈지사촌 보드리랑 서로 발라주네요매일 수시로 발라줘도 좋다고하니 놀이처럼 재밌게요즘은 먼저 바르고 싶다고 뚜껑 열어어달라고하더라고요..ㅎㅎ팔안쪽은 수시로 발라주니점점 좋아지는게 느껴졌어요.일째 되던 날 피부를 만져보니 보들보들 ], 긍정 텍스트 확률 : 96.91%"
"[ 상처로 성할 날 없는 우리 둘째의 귀 뒤..ㅠㅠ제가 날이 건조해지면 귀 뒤에 피부가 일어나는데둘째가 절 닯았나봐요ㅠㅠ가려운지 자꾸 긁어서 상처가 나고 딱지가 앉았길래귀 뒤에도 클레멘스 베이비밤으로 토닥토닥여기도 수시로 발라주니 건조하지 않아서 그런지귀뒤로 손이 덜가고 덜 긁더라고요. ], 긍정 텍스트 확률 : 96.11%"
"[ 신생아때부터 없어지지 않던 뒷 목의 땀띠에도 토닥토닥 발라줬어요.우리 아기 피부를 초크초크하게 부탁해 ], 긍정 텍스트 확률 : 67.63%"
"[깨끗해진 울애기 피부 ♥트러블 없는 피부를 보고 얼마나 반갑던지요클레멘스 베이비밤 덕분에 피부트러블 극뽁꿀피부 회복 ], 긍정 텍스트 확률 : 98.98%"
"[ 독하디 독한 가을모기에 여기저기 물려서매일 저녁 잠들기전 얼마나 긁어대며 울던지..ㅠㅠ그 모습을 보는 엄마 마음이 매우 아팠는데요클레멘스 베이비밤에 진정효과가 있는 천연성분이가려움을 완화하고 민감해진 피부를 진정시켜준다고해요그 사실을 알고 바로 발라주었답니다그래서 그런지 이전보다는 덜 긁고 모기 물린 곳도 빨리 아무는 것 같더라고요.진작 알았으면 매일 저녁 간지럽다고 긁으면서 울다 잠드는 모습을 안봤을텐데 말이죠그래도 지금이라도 알게되어 다행 ], 긍정 텍스트 확률 : 100.00%"
"[기저귀 발진크림으로 좋은 클레멘스 베이비 멀티밤.응가를 자주 지려서 항상 엉덩이에 발진이 있는둘째 엉덩이에도 토닥토닥.정말 다양하게 활용할 수 있어서 좋아요그리고 ], 긍정 텍스트 확률 : 97.85%"
"[ 엄마도 사용했답니다.제 입술은 많이 건조하고 각질도 많은 편이에요.매일 저녁 세안하면서 각질을 제거해도다음 날이면 또 일어나있는 각질들...그래서 클레멘스 베이비밤을 립밤으로 활용해서 발라봤어요.바르고나니 촉촉한게 건조함이 느껴지지 않아서 좋았고분 후에 세안하고 나서도 입술이 보들보들해서 깜짝 놀랐어요립스틱이나 틴트를 바르면 각질이 부각됐었는데클레멘스 베이비밤을 바르고나서는 각질도], 긍정 텍스트 확률 : 59.06%"
"[건조함도 없는립메이크업을 할 수 있었어요그 후로는 매일 저녁 세안 후에 립밤대용으로 바르고있답니다. ], 긍정 텍스트 확률 : 58.26%"
"[아빠도 같이 사용할 수 있는 충분한 용량이에요 ], 긍정 텍스트 확률 : 99.46%"
"[ 파우치와 쇼핑백 구성이여서 선물하기에도 참좋은 것 같아요임신중에는피부가 건조하고 가렵고출산 후에도 피부가 건조하잖아요그리고 출산 준비물에 로션은 있어도 다양하게 활용할 수 있는 멀티밤은 생각 못했었는데안심성분으로 신생아도 엄마도 같이 사용할 수 있으니신생아 선물], 긍정 텍스트 확률 : 81.08%"
"[ 건조한 요즘 손이 많이 가는 클레멘스 베이비밤 오가닉 멀티밤앞으로도 우리 아기들은 물론 온 가족의 피부트러블을 부탁해▼ 다양하게 활용하기 좋은 클레멘스 베이비밤 오가닉 멀티밤], 긍정 텍스트 확률 : 97.06%"
"[ 안녕하세요. 빵형제엄마 빵지니에요.아이가 둘이다보니 아기용품은 뭐든 배기저귀도 배], 긍정 텍스트 확률 : 92.30%"
"[물티슈도 개 들더라고요.그래서 항상 기저귀], 긍정 텍스트 확률 : 58.77%"
"[ 왼쪽이 하기스 보송보송], 긍정 텍스트 확률 : 51.21%"
"[오른쪽 두개가 네이처메이드오가닉이에요.보송보송도 똑같이 중형를 사용하는데사이즈의 차이가 약간 있더라고요.네이처메이드오가닉이 살짝 더 커요. ], 긍정 텍스트 확률 : 79.38%"
"[ 하기스네이처메이드오가닉기저귀는요.연약하고 민감한 아기 피부를 생각한부드럽고 편안한 기저귀예요.기존 하기스 네이처메이드의 섬세함은 그대로 유지하면서 한 단계 업그레이드된슈퍼 프리미엄 기저귀랍니다. ], 긍정 텍스트 확률 : 78.14%"
"[ 시중에 오가닉 기저귀라고해서 보면막상 오가닉 함유 제품이 많더라고요.하기스는리얼 유기능 순면 기저귀예요.단순 함유된 제품과는 여기서부터 달라요. ], 긍정 텍스트 확률 : 55.48%"
"[ 젤 왼쪽이 제가 사용했던 타사 유기농 기저귀인데요.왼쪽이 타사 유기농 기저귀], 긍정 텍스트 확률 : 88.56%"
"[오른쪽 하기스네이처메이드오가닉은안감까지도유기농 순면으로 되어 있더라고요.이번에 자세히보니 타사 기저귀는 안감이 부직포였어요.부직포는 폴리에틸렌], 긍정 텍스트 확률 : 81.29%"
"[ 오가닉이라 둘다 색상은 누런색을 띄죠.하지만 타사 제품은 오가닉 함유하기스는오가닉코튼이예요. ], 긍정 텍스트 확률 : 61.48%"
"[ 여기서 차이점이 드러나더라고요.기존에 타사 제품만 사용했을때는 몰랐는데확실히 하기스가 유기농 순면이라 부들부들해요.민감한 우리 아기 피부에 닿을 제품인데꼼꼼하게 다시 따져봐야겠더라고요. ], 긍정 텍스트 확률 : 58.39%"
"[양쪽에숫자가 있는데요.이 숫자들을 정렬에 맞춰 채워주면사이즈도 알맞게 조절할 수 있더라고요. ], 긍정 텍스트 확률 : 68.69%"
"[ 허리밴드가 신축성이 없으면 아기가 불편하죠.다행히 탄탄하게 잡아주면서도 신축성이 좋아요.그래서인지 아기도 확실히 편해보여요.요즘 워낙 활동량이 많은 빵쭈니라이런 부분 세심하게 보는 편이거든요. ], 긍정 텍스트 확률 : 81.84%"
"[ 허리부분에는 안심샘방지 포켓다리 쪽에는 이중샘방지 처리가 돼 있어아직 묽은변을 보는 둘째도 걱정 없겠더라고요.지금까지 한달정도 네이처메이드오가닉을 사용중인데한번도 응가가 새거나 한 적은 없어요. ], 긍정 텍스트 확률 : 63.48%"
"[ 신축성이 좋아서 하루종일 기어다니는둘째에게도 편안해 보여서 마음이 놓여요. ], 긍정 텍스트 확률 : 91.06%"
"[ 흡수력 테스트를 한 번 해봤는데요.왼쪽 네이처메이드오가닉은 액체가 바로 흡수되는 반면오른쪽 타사 기저귀는 천천히 스며들어요.아기 엉덩이가 직접 닿는다고 생각하면그만큼 더 축축해있다고 보면 되겠죠. ], 긍정 텍스트 확률 : 74.60%"
"[ 확실히 흡수된 다음의 모습도 차이가 보이죠.왼쪽 네이처메이드오가닉은 흡수체에 바로 스며들어피부에 닿는 안감이 빨리 보송해지는 반면오른쪽 타사는 흡수체에 스며들고 나서도안감에 많이 베어있는 모습을 볼 수 있어요. ], 긍정 텍스트 확률 : 79.45%"
"[ 왼쪽 네이처메이드오가닉 오른쪽 타사 기저귀예요.확실히 흡수의 모습에 차이가 보이죠. ], 긍정 텍스트 확률 : 78.03%"
"[ 요즘 빵쭈니의 밤기저귀는 무조건하기스네이처메이드오가닉인데요.밤새 쉬를 해서 빵빵해졌지만겉감], 긍정 텍스트 확률 : 54.72%"
"[안감 모두 축축한 부분이 없어요.어떤 기저귀는 갈아줄때 쉬가다 스며들지 못해서 축축하거든요.다행히 하기스는 그러지 않아서밤기저귀로 정착했답니다.이 리뷰는 해당 브랜드로부터 소정의 원고료와제품을 지급받아 솔직하게 작성된 후기입니다. ], 긍정 텍스트 확률 : 72.02%"
"[ 아가가 활짝 웃는 사진도 넘 사랑스럽다. ], 긍정 텍스트 확률 : 98.00%"
"[ 그리고 요 제품의 가장 주목할 만한 점하기스 네이처메이드 오가닉 코튼커버는오가닉을 소량 함유한 다른 기저귀와는 다르게 국제 공인인증을 받은오가닉 코튼으로 만들어졌다역시 하기스 네이처메이드의 섬세함은 그대로 가지고 있으면서한 단계 업그레이드된 기저귀라고 볼 수 있다 ♥ ], 긍정 텍스트 확률 : 99.84%"
"[ 비닐을 뜯을 때 보니 따는 선이 있어서그대로 점선을 따라 개봉하면힘줘서 뜯을 필요도 없었다 굿굿 ], 긍정 텍스트 확률 : 53.25%"
"[ 그리고 뒷부분은 안심샘방지 포켓으로 묽은 변도 새지 않게 잡아주어혹시 설사를 하더라도 안심하고 채울 수 있을 것 같다.밴드 부분도 당겨봤는데 완전 짱짱해서 더 만족쓰], 긍정 텍스트 확률 : 51.83%"
"[ 밑위도 얼마나 기냐면내복 바지 위로도 올라오는 정도여서예전처럼 응아가 샐까 봐 걱정할 일은 전혀 없을 듯.또 요즘 흡수재를 일본산으로 쓴 기저귀도 많던데요건 유럽산 흡수재에다가독일 더마테스트등급 피부자극테스트도 완료했다니 정말 슈퍼프리미엄기저귀가 아닐 수 없다.요렇게 여러모로 완벽한 하기스 네이처메이드 오가닉 코튼커버민감하고 연약한 피부를 가진 아가를 위한 건강한 친환경 기저귀로 완전 인정기저귀 유목민 생활 중인 분들은우선 나처럼 한팩사셔서 꼭 한번 써보시길 추천드린다], 긍정 텍스트 확률 : 74.79%"
"[ .이렇게 보면 확실히 알 수 있죠? 다 같은 사이즈 맞나요? ㅋㅋㅋㅋㅋㅋ.누가보면사이즈로잘못산줄ㅋㅋㅋㅋㅋㅋㅋㅋㅋ. ], 긍정 텍스트 확률 : 52.63%"
"[시어버터 등좋다는 보습제품에 들어가는 성분들 다 들어있네요피부 진정뿐만 아니라보습 과영양공급 에도 좋은 제품 그래서 꼭 침독이 아니더라도 건조한 아이 팔], 긍정 텍스트 확률 : 88.79%"
"[ 다리그리고 성인들도 함께 사용이 가능해요], 긍정 텍스트 확률 : 72.24%"
"[ 고체형태로 된 밤인데 온도에 민감하기 때문에보관할 때는 서늘한곳에 보관하셔야해요], 긍정 텍스트 확률 : 55.03%"
"[ 사람 체온만으로도 쉽게 녹기 때문에살살 문질러서 손가락에 묻혀 발라주면 됩니다 손가락 청결 필수 살살 문지르니 오일리하게 손에 묻어나오는데손에 미끌거리거나 끈적이게 남아있지 않았어요], 긍정 텍스트 확률 : 96.61%"
"[ 하지만 침독크림 기다리는 몇일 동안 보습 신경써줬더니거칠게 텄던 부분은 많이 완화됐어요그래도 여전히 침때문에 피부가 건조한 상태 ㅜㅜ ], 긍정 텍스트 확률 : 73.38%"
"[ 사진상으론 왼쪽이 바른볼이고 오른쪽이 안바른볼인데왼쪽 촉촉하게 수분감이 느껴지지 않나요 ㅎㅎ ], 긍정 텍스트 확률 : 95.36%"
"[ 에라모르겠다 얼굴 다 발라드림 촉촉하게 수분감은 많이 느껴지는데 충분한데텁텁하거나 두껍게 발리지 않아피부가 답답하지 않겠더라구요 .?기저귀발진크림기저귀발진크림 으로 쓰기에도 좋고 살 접히는 부분이나엄마 니플크림으로도 좋다고해요 아 이거 모유수유 때 진즉 알았으면요거 쓸걸 그랬어요저.?니플크림니플크림 유명한거 사서 썼었는데크림이 무겁기도하고 유분감이 너무 많아가지고다음 수유때 괜히 찝찝했거든요], 긍정 텍스트 확률 : 52.21%"
"[ 촉촉함은 그대로 얼굴은 보송보송모찌모찌한 피부가되니 좋더라구요 뭔가 느낌상 불긋하던것도 가라앉은기분ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 88.92%"
"[.출산 전 엄마가 여러 샘플을 받아놓은덕에 로션도 기저귀도 여러가지를 써보고있는 우리 아기...출산 전 사의 기저귀를 한박스 사놓았었는데 르담이와는 맞지 않았다. 기저귀가 넓은 편이라 가랑이 사이가 벌어지는 느낌이랄까.....조리원에서 사용하던 하기스가 나쁘지않아 하기스 네이처메이드 단계를 사용하고 있었는데 네이처메이드 오가닉에도 흥미가 있을 무렵 개를 지원 받아 사용해보았다. ..여기서 예비엄마들을 위한 팁👋🏼.기저귀나 로션은 베이비페어와 맘카페에서 진행하는 수업같은걸 통해 여러 브랜드의 샘플들을 무조건 많이 챙겨놓을 것 ⭐️ ], 긍정 텍스트 확률 : 53.17%"
"[ 먼저 구매한것들이에요 저는 한스네이쳐라는곳 한곳에서 거의 다 구매했구요 행사상품받으려 대기하는동안 뭐 좀 더 살랬는데 ... 살게 없었어요], 긍정 텍스트 확률 : 72.24%"
"[ 여기까지가 한스네이쳐라는 부스에서 구매한거구요 생각보다 저렴했고 실제로도 판매중인 인터넷쇼핑몰보다 많이 저렴해서 만족합니다아무것도 모르는 저에게 무조건 권하지 않으시고 사장님이 실속있게 추천해주시더라구요 다음 일산킨텍스에서는 더 많이 가지고 나오신다길래 꼭 가겠다고 했네요 ㅎㅎ ], 긍정 텍스트 확률 : 94.03%"
"[ 양말같은거 많이 사오고 싶었는데 ㅎㅎㅎ 신생아 양말은 정말 이거 달랑 한개 있더라구요 애기양말은 많은데...ㅎ 더사고 싶어도 한개뿐이어서 못샀어요저는 딱 요 두군데서만 구매했구요 이제부터는 다 공짜로 받은것들이에요], 긍정 텍스트 확률 : 60.49%"
"[ 오늘 속싸개 많네...ㅋㅋ 개나 샀는데 순식간에 개가 됨 ], 긍정 텍스트 확률 : 74.77%"
"[ 위에까지가 임신박스 안의 구성들이다이불 아니 담요때문에 실망했는뎅 그래도 수면조끼 속싸개 방수요 요 개가 실용적으로 담겨있어서 나름 괜찮은듯ㅎㅎ근데 역시나 만원 상당은 오바이지요그래도 감사합니다꾸벅 ], 긍정 텍스트 확률 : 98.75%"
"[ 이외에도 선착순 명 인스타 공유하면스카이빕 증정인데 저는 인스타를 공유했음에도 굳이 달라고하진 않았어요ㅎㅎ 이미 많이 받았고 스카이빕을 봤더니 그냥 위에서 서비스로 받은 손수건 세모로 접어놓은거 같길래 ㅎㅎ 아닐수도..언뜻보기엔 그냥 그게 그거 같았다 딴분들 받아가시라고 나름 양보?? 하고 나왔어요 ㅎㅎㅎ유모차도 보고싶었는데 생각보다 별로 종류를 많이안가지고 나오셨다 ㅎㅎ 첫날이라서 분위기 보신다고 그냥 조금만 가지고 오셨다는데 주말에는 더 가지고 나오실듯하고 비어있던 부스도 차면 더 다양한 구경거리가 생길것 같아요 여기까지 솔직한 후기였습니다 ㅎㅎ 총평은 볼건 없으나 알찬 쇼핑이었고 잘갔다왔다], 긍정 텍스트 확률 : 89.81%"
"[가빈맘이예요우리 빈짱이 태어난지 일♥태어날때부터 병원에서 간호사쌤에게빈짱은 피부가 무척 건조한 아이라 수시로 피부에 보습을 해줘야 한다는이야기를 전해들었어요.신생아가 건조해 봤자 피부가 얼마나 건조하겠어?하고 대수롭지 않게 생각을 했었는데빈이의 피부를 보고 경악을 금지 못했어요 ㅠㅠ피부가 다 갈라져서 하얗게 일어나고 ㅠㅠ만지면 무척이나 건조해서 괜히 미안하고 자극받은 피부에 촉촉한 보습밤을발라주고 싶은 마음이 굴뚝같았어요.병원에서 퇴원하고 집에 오자마자 제일 먼저 할일은성분 좋으면서 신생아 건조한피부], 긍정 텍스트 확률 : 99.97%"
"[트러블이 생긴 피부에 토닥토닥 발라주면 좋더라구요. ], 긍정 텍스트 확률 : 66.45%"
"[ 네츄럴 베이비에 선정됐을 만큼성분의 안전성과 우수함을 인정받았어요.짝짝짝특히나 뷰티 쇼트리스트 어워즈는 영국에서 가장 규모가 큰 행사인데개월간 개의 브랜드 제품에서 선발되었다고 해요. ], 긍정 텍스트 확률 : 54.85%"
"[ 밤타입이라 약간의 고체형태이구요.소량만 사용해도 살살 문지르면크림처럼 빠르게 피부에 부드럽게 흡수가 되더라구요.무거운 흡수력이 아니라서 연약한 아기부터 온가족이 사용할 수 있어요. ], 긍정 텍스트 확률 : 56.18%"
"[ 병원에서 퇴원하고 집에온지 일 됐어요.매일 샤워를 하고 건조함이 심한 부위에 클레멘스 오가닉 베이비밤를 발라주고 있는데거짓말처럼 건조함이 줄어들더라구요.대에에에박빈이가 기저귀 발진도 있는데차마 사진은 못찍음 ㅠㅠ소중한 부분이라서 더욱 신경써서클레멘스 오가닉 베이비밤을 발라주었어요.다음날에 거짓말처럼 발진이 일어난 부분이 싹 없어진거 있죠♥정말 이거 잘 산거 같아요 저도 후기 열심히 찾아보고 읽어봤는데대부분 만족해서 긴가민가해서 주문한거였거든요.근데 꾸준히 사용해 보니건조했던 빈이 피부가 많이 잠잠해져서아주 만족해요.개월때부터는 침독도 생긴다고 하던데 ㅠㅠ그때도 꾸준히 클레멘스 오가닉 베이비밤을 발라줘야겠어요♬ ], 긍정 텍스트 확률 : 99.47%"
"[아기가 태어나고 쓴 소형 기저귀는 사실상 멘탈이 나가있는 상태라 특별히 좋고 나쁘고 따질세도 없이 지인의 선물], 긍정 텍스트 확률 : 50.13%"
"[혹은 출산 선물로 받은 샘플 등으로 어영부영 지나가게 됐다.중형으로 넘어가게 될때 즈음 육아에 적응도 하고 약간의 마음의 여유도 생겨서], 긍정 텍스트 확률 : 83.36%"
"[ 마음에 쏙 드는 기저귀를 찾아보고자 써봄 사이트에서 여러 기저귀들을 구매 후 비교해 보았다.써봄 링크는 맨아래 있어요다들 이시기가 왔을 때 같은 고민은 하지 않을까 하여 블로그를 작성해 본다. ], 긍정 텍스트 확률 : 84.90%"
"[오리지날 밴드 사이즈 ], 긍정 텍스트 확률 : 87.48%"
"[ 아기를 낳고처음 사용을 시작했던 기저귀 군. 육아가 처음이라 이게 왜 유명한지 잘 몰라서 뭐가 편한지 좋은지 잘 몰랐다.조리원을 나오자 마자 군 기저귀를 선물 받았고 이것저것 출산 축하로 받은 기저귀 샘플들과 비교하니 적당한 넉넉함과 저 파란색 밴드가 새삼 중요한 부분인지 깨달았다. 특히 통잠을 자지 않는 시기에는 어둑어둑한 밤에 밴드 테잎 부분을 못찾아 허둥대기 일수였기 때문에.. 하지만 아기가 크면서 사이즈로 넘어오니 기저귀가 확 커지고 두꺼운 기분. 여름이 되면서 아기에게 기저귀가 답답해 보여 적당한 기저귀 찾기가 시작되었다. 물론 불매운동도 한몫했지만.. ], 긍정 텍스트 확률 : 66.66%"
"[ 페넬로페 씬씬씬 에어슬림 썸머 단계 여아 ], 긍정 텍스트 확률 : 59.03%"
"[자세히 들여다보지 않으면 잘 모를거 같다. 안쪽은 약간 돌기처럼 엠보싱이 되어있는데], 긍정 텍스트 확률 : 61.43%"
"[ 하기스 네이처메이드 팬티 단계 여아 ], 긍정 텍스트 확률 : 59.03%"
"[ 네이처메이드 기저귀를 차고 아기는 앞뒤로 쉬야를 두번했다. 뒤집기 때문에 앞으로 한번 누워서 한번 한듯하다. 그런데...여아용인데.. 뭔가좀 이상하다. 보통 여아용은 소변이 뒤로 흐르기때문에 엉덩이 부분이 흡수층이 많다고 들었는데], 긍정 텍스트 확률 : 51.04%"
"[ 하기스 에어솔솔 썸머 팬티 단계 여아 ], 긍정 텍스트 확률 : 59.03%"
"[ 보솜이 프리미엄 디오가닉 팬티 단계 여아 ], 긍정 텍스트 확률 : 53.35%"
"[ 글을 쓰고 육아하고 여유는 개뿔 .... 이일저일 있다보니 여름에 쓴 글을 이제서야 올리게 되었다 ㅠㅠ기저귀를 이것저것 비교해본 결과 가장 만족도가 높았던 기저귀는 나비잠 슈퍼드라이였다.그랬는데..막상 구매할때가 되니 딱 슈퍼드라이 사이즈만 품절....당시 사이트 여기저기 다 뒤져도 딱 걔만 품절..그래서 다른 기저귀를 쓰다 돌아가려니 아가가 뒤집고 배밀이하며 도망간다 ㅠㅠ힘으로 붙잡고 이겨보려해도 아기도 쉽게 안져줌 ㅠㅠ결국 밴드 졸업 ... ], 긍정 텍스트 확률 : 96.86%"
"[ ...이유식을 시작하는 우리 아기를 위하여.팜투베이비가 해피백이벤트를 오픈하였어요..홈페이지에서 신청하고실용성 해피백 도 받아가세요♬... ], 긍정 텍스트 확률 : 74.97%"
"[ .이유식기를 맞이한우리 아기를 위한 선물 ..첫 이유식을 시작할 아기들을 축하하기 위해.친환경 브랜드대상 팜투베이비 가 제휴사와 함께 준비한.행복 가득 팜투베이비 해피백’을매월 분께드립니다... ], 긍정 텍스트 확률 : 86.98%"
"[ ... 이벤트 신청 방법..게시물 맨아래신청하기’ 버튼을 누르고.홈페이지에서 정보를 기재해주세요...당첨인원 명.당첨미션 팜투베이비 해피백 수령 후 개인 에 후기를 작성해주세요. .발송일정 년 월 내 배송비 무료... ], 긍정 텍스트 확률 : 75.26%"
"[ ...Ⅰ구성품 소개Ⅰ..팜투베이비 오가닉 라이스퍼프 종랜덤증정.이유식 및 상품군 할인 쿠폰북.올담 물티슈 매.이유식스푼 .스푼 포크 세트 .그라운드플랜 젤모이스처.바디워시], 긍정 텍스트 확률 : 60.44%"
"[안전하게 받으실 수 있는 주소를 입력해주시기 바랍니다.. 신청기간 내 회만 신청이 가능하며], 긍정 텍스트 확률 : 63.53%"
"[튼튼이 태어나기 전부터 사놓은 태열베개수키의 추천으로 미리 사두게 되었다. 같이 구매한 귀여운 인형 튼튼이의 애착인형이라고 생각하니 더 성분이 좋고 안전한걸 사주고 싶었다. ], 긍정 텍스트 확률 : 97.46%"
"[이 물처럼 변하면 반대편을 사용하거나], 긍정 텍스트 확률 : 66.10%"
"[시원한 곳에 보관했다가 다시 고체화 되면 재사용 하면 된다..저 얼음같이 생긴 부분을 이라 부르는데 도로 셋팅이되어 있어서], 긍정 텍스트 확률 : 95.38%"
"[ 으로 이루어져 있다.], 긍정 텍스트 확률 : 58.07%"
"[몽슈레 베개 이 튼튼이 머리랑 닿게], 긍정 텍스트 확률 : 66.21%"
"[아토팜 아쿠아수딩젤크림이거 사면서도 설마 우리 튼튼이가 태열이 올라오겠어? 하면서 반신반의했는뎅..웬걸..ㅠㅠ엄마아빠의 무지로인해 튼튼이 얼굴에 왕드름이들이 생겨버렸다.], 긍정 텍스트 확률 : 59.44%"
"[ .일부터 일까지 태열의 최절정 이었는데], 긍정 텍스트 확률 : 51.23%"
"[이때 사진은 자동 보정이되어도 죄다 이렇게 볼이 태열로 올록볼록.너무 태열이 오래 나아지지 않자], 긍정 텍스트 확률 : 50.99%"
"[ 몽슈레 오가닉 애착인형과 함께 찰칵 친해지길 바라 ], 긍정 텍스트 확률 : 80.74%"
"[그냥 일반베개 벨때보다 땀이 덜나는것도 사실.아기 머리에서 땀이 나는것은 열이 원활하게 방출되고 있다는것이므로 ], 긍정 텍스트 확률 : 52.85%"
"[수건을 꼭 깔아주고 쓴다.몽슈레 태열베개는 신생아부터 개월까지 사용가능하다. 가격이 싸진 않지만], 긍정 텍스트 확률 : 72.05%"
"[추천 추천 가격값을 한다.태열베개 다음으론 안심베개를개월사용 가능 쓸 수 있다는데], 긍정 텍스트 확률 : 91.44%"
"[벌써개월일차에 진입한 봄이♡중기로 넘어갈수록 점점 비싸져가는 시판 이유식..ㅠㅠ때문에 가성비 좋다고 소문난 브랜드인], 긍정 텍스트 확률 : 80.53%"
"[ 팜투베이비 이유식 팩과 간식을 함께 넣을 수 있는 넉넉한 사이즈다엄청 탐났던 팜투베이비 보냉가방♡디자인도 엄청 귀엽다], 긍정 텍스트 확률 : 96.49%"
"[ 해피백 구성품들 모두], 긍정 텍스트 확률 : 56.89%"
"[ 보냉가방에 정성스럽게 포장되어 함께 배송된다 살짝 열어만 봤는데도], 긍정 텍스트 확률 : 85.37%"
"[가득가득 들어있는 선물들♥.♥ ], 긍정 텍스트 확률 : 99.98%"
"[ 팜투베이비와 여러 제휴사들이], 긍정 텍스트 확률 : 62.66%"
"[ .. . 팜투패밀리오가닉라이스퍼프 종 오가닉 라이스퍼프 레인보우볼 사과와 오가닉 라이스퍼프 레인보우 소프트바 바나나두 종류의 과자를 선물받았다 한창 이유식 먹으며 중간중간 간식을 먹을 때라], 긍정 텍스트 확률 : 74.05%"
"[물티슈는 정말 중요한 육아템 중 하나이다.직], 긍정 텍스트 확률 : 58.99%"
"[ 간접적으로 아기에게 닿는 물티슈이기 때문에], 긍정 텍스트 확률 : 74.93%"
"[ 나같은 경우엔 성분 엄청 꼼꼼하게 따져서 구입한다.팜투베이비 해피백에서 선물 받은 올담 물티슈사용하기 전], 긍정 텍스트 확률 : 65.25%"
"[알레르기 유발 주의성분 포함되어 있지 않는 물티슈라], 긍정 텍스트 확률 : 54.83%"
"[ 믿고 사용할 수 있을 듯♡ ], 긍정 텍스트 확률 : 61.58%"
"[ 사용하기 전에 비닐 제거해주는 센스가 필요할듯♡ ], 긍정 텍스트 확률 : 77.97%"
"[. 누크이유식 스푼개월. 누크스푼 포크 세트개월 많으면 많을수록 좋은 이유식스푼 및 스푼포크세트도], 긍정 텍스트 확률 : 87.70%"
"[ 더욱 믿음이 간다 이유식 스푼은 현재 사용중이고], 긍정 텍스트 확률 : 87.00%"
"[개월차에 사용하려고 보관중이다], 긍정 텍스트 확률 : 53.85%"
"[젤 모이스처 모두가지주의성분], 긍정 텍스트 확률 : 54.39%"
"[ 자연주의화장품 역시 믿고 사용할 수 있는 제품들로만 가득찬 선물 보내주는], 긍정 텍스트 확률 : 95.18%"
"[ 성인은 물론], 긍정 텍스트 확률 : 53.60%"
"[아이와 함께 쓸 수 있는온가족 바디 제품안전한 성분만을 담아], 긍정 텍스트 확률 : 91.70%"
"[예민한 피부에도 자극없이 순하게 작용한다고 한다.온가족 데일리 로션이자], 긍정 텍스트 확률 : 76.08%"
"[익히 알고 있었던 브랜드 기저귀도 꽤 좋다고 들었어서], 긍정 텍스트 확률 : 95.70%"
"[기저귀 무게도 가볍고], 긍정 텍스트 확률 : 61.65%"
"[. 유피스일회용 순면커버 수유패드 매입사실 나는 완분맘이기 때문에], 긍정 텍스트 확률 : 79.62%"
"[ 수유패드에 대하여 잘 모른다 ㅠㅠㅠㅠㅠㅠㅠ요 제품은 사용할 일이 없어], 긍정 텍스트 확률 : 68.24%"
"[내년월 출산예정인 아는언니한테 전달해줄 예정♡저자극 순면커버와 꽃잎모양 중 샘 방지선으로], 긍정 텍스트 확률 : 61.77%"
"[ 한창 건조해지고 있는 요즘], 긍정 텍스트 확률 : 84.14%"
"[ ㅠㅠ우리 봄이 얼굴에도 건조하며 푸석푸석해져가고 있다..아기 피부에 촉촉하게 작용한다고 하니], 긍정 텍스트 확률 : 97.99%"
"[ 겨울에 사용하기 좋을듯살짝 손에 발라봤는데], 긍정 텍스트 확률 : 85.02%"
"[엄청 촉촉하다♡ ], 긍정 텍스트 확률 : 71.47%"
"[ ..정성스러운 선물들로 가득한 팜투베이비 해피백 구성품들♥.♥완전 만족스럽당여가지 친환경 재료유기농], 긍정 텍스트 확률 : 99.99%"
"[무농약], 긍정 텍스트 확률 : 51.42%"
