"[ ...요즘 눈에 띄는 기저귀가 있어서 사용해본..애플크럼비 기저귀예요....지금 홈페이지에서 친구추가이벤트중이라], 긍정 텍스트 확률 : 89.18%"
"[아주 살짝 더 도톰하다. 육안으로는 차이가 잘 안나지만 만지면 파라솔은 봄가을], 긍정 텍스트 확률 : 61.58%"
"[ 난 성격상 좋은말만 못 쓰고 포장해서 못 쓴다.살짝 도툼한것 같아서 한여름엔 통풍이 얼마나 잘 될지 모르겠다.부드럽고 흡수율 좋아 파라솔에 견줄만 함가격면에서 파라솔보다 싸게 나온다면 겨울엔 계속 쓸 의향있음. 뭐], 긍정 텍스트 확률 : 59.56%"
"[안녕하세용강오네 왔어유헤헤오늘 소개할 제품은 비니앤컴퍼니의 애플기저귀 입미다 애플기저귀 들어보셨나유????청담기저귀라고들 하시던데•무염소•천연소재•무라텍스화학성분이 전혀 절. 대. 들어가지 않은 제품이라고 합니당체험단에 당첨되어 써보게 되었는데용저희 강오가 지금 키로라 사이즈로 신청했어용 ], 긍정 텍스트 확률 : 84.55%"
"[ 포장부터 오가닉스럽네요너무너무 고급져용ㅎㅎㅎ한팩에 매가 들어있어요ღ’ᴗ’ღ ], 긍정 텍스트 확률 : 51.09%"
"[ 뒷부분은 탄탄한 밴드로 부드럽고 탄탄하게 허리를잡아준답니당], 긍정 텍스트 확률 : 98.46%"
"[ 사이즈 선택때문에 넘 아쉽지만..사이즈 선택을 라지로 했다면 체험활동도 너무너무너무너무 두배로 행복했을꺼에용....ㅋㅋㅋㅋㅋㅋ자. 이제 오늘부터 열씸히 부지런하게 써볼께용그 귀하디 귀한 애플크럼비 기저귀 너무 좋네요추천합니당 ♡ 추가이틀 쭈욱 써봤는데용익숙해져서 그런가 새지도 않고 소변을 여러번 봐도 부드러웠어요 그래서 아가 응꼬가 보호되나봐용 더 써보면 알겠지만 발진도 없고 아기도 부드러워서 그런지 기저귀 갈아줄때 얌전히 잘 있네용ㅋㅋㅋ 밤기저귀로도 좋을꺼 같아요 이거 쓰다가 팸팬티형 샘플받은고 한번썼다가 옆으로 뉘여서 다 샜어용 ㅠㅠ애플크럼비는 흡수가 빨라서 그런지 소변이 새거나 그렇진 않았어용 ㅎㅎ또 써보고 추가 후기 올릴게용 .?기저귀기저귀.?기저귀추천기저귀추천.?신생아기저귀신생아기저귀.?애플크럼비애플크럼비.?애플기저귀애플기저귀.?청담기저귀청담기저귀 ], 긍정 텍스트 확률 : 90.38%"
"[아이의 손이 닿지 않는 곳에 보관해주시고], 긍정 텍스트 확률 : 82.77%"
"[ 책임자와 전화번호], 긍정 텍스트 확률 : 62.66%"
"[ 위에 소개하고 있는 제품의 경우 쿠팡 공식 사이트 내용임을 밝힙니다년 월 일 시 분에 발행하였습니다 ], 긍정 텍스트 확률 : 64.02%"
"[♥베스트⬇ ], 긍정 텍스트 확률 : 99.57%"
"[ ♥한정특가 애플크럼비 팬티형 기저귀 아동공용정상가격할인▼판매가격 ], 긍정 텍스트 확률 : 98.92%"
"[ 원역대가특가 할인 제품을 찾아 보았습니다.▷ 베스트 ▷제조년월일 제조국 중국개당 수량 매입수량 팩단계 점보쿠팡상품번호 인기상품은 조기 품절이 되니 유의하시기 바랍니다.해당 특가정보는 년월일 일요일오후 시 분 기준 입니다.가격과 할인정보는 몇일에서 변동이 될수 있습니다.쿠팡에서 구매하기품절임박상품 구매리뷰 후기는⬇아래 링크로 확인해주세요⬇▼▼▼ .. ], 긍정 텍스트 확률 : 63.85%"
"[.아이의 손이 닿지 않는 곳에 보관해주시고], 긍정 텍스트 확률 : 82.50%"
"[ 책임자와 전화번호], 긍정 텍스트 확률 : 62.66%"
"[ 큰아이때 만족하며 쓰던 기저귀가 하기스 네이처메이드였는데 밤기저귀로 아쉬운 부분이 있었어요 그 이야기를 듣고 지인이 추천해준 기저귀가 애플기저귀], 긍정 텍스트 확률 : 94.95%"
"[안좋은 첨가물이 있는가인데애플크럼비 기저귀는 통기성과 흡수력이 좋은 것 외에도아기 피부에 닿는 면은 부드러움을 자랑하고], 긍정 텍스트 확률 : 50.74%"
"[ 안쪽 면이에요.안쪽도 역시 부드러워요.면 겉싸개 위에 놓고 찍은 사진인데], 긍정 텍스트 확률 : 65.48%"
"[ 쉬야하고 난 후에요.표시선 색이 바뀌었어요. 쉬야를 많이 했는지 기저귀가 매우 빵빵해요.하지만 겉으로 눅눅함이 묻어나지 않아요. ], 긍정 텍스트 확률 : 82.01%"
"[ 근데 패키지 개봉할때 개봉선이 잘 안보여요.그래서 정확히 어디를 뜯어야할지 모르겠고], 긍정 텍스트 확률 : 61.76%"
"[뜯기가 어려웠어요.또한], 긍정 텍스트 확률 : 55.64%"
"[ 신중함을 부르는 가격이 고민이지만], 긍정 텍스트 확률 : 73.10%"
"[체험단도 당첨되어 적어본 애플크럼비 기저귀 후기였어요. 애플크럼비 청담기저귀 오가닉기저귀 미래와희망 ], 긍정 텍스트 확률 : 62.79%"
"[아이의 손이 닿지 않는 곳에 보관해주시고], 긍정 텍스트 확률 : 82.77%"
"[ 책임자와 전화번호], 긍정 텍스트 확률 : 62.66%"
"[ 여러가지 핫딜 정보들을 업로드하고 있으니 구독하여 매일매일 받아보세요해당 게시글의 정보는 제품게시자에 의해 정보 및 가격이 변경될 수 있습니다이 포스팅은 쿠팡 파트너스로부터 일정액의 커미션을 대가를 받고 작성된 광고입니다. ], 긍정 텍스트 확률 : 91.90%"
"[ ♥슈퍼특가 애플크럼비 팬티형 기저귀 남녀공용 정상가격할인▼판매가격 ], 긍정 텍스트 확률 : 98.92%"
"[ 원역대가특가 할인 제품을 찾아 보았습니다.▷ 베스트 ▷제조년월일 제조국 중국개당 수량 매입수량 팩단계 쿠팡상품번호 인기상품은 조기 품절이 되니 유의하시기 바랍니다.해당 특가정보는 년월일 월요일오전 시 분 기준 입니다.가격과 할인정보는 몇일에서 변동이 될수 있습니다.쿠팡에서 일간 최대 추가캐시적립중이에요. 꼭 받아가세요품절임박상품 구매리뷰 후기는⬇아래 링크로 확인해주세요⬇▼▼▼ .. ], 긍정 텍스트 확률 : 99.13%"
"[ 원 입니다 .제품후기 보러가기지금은 쇼핑중 블로그에 오신것을 환영합니다 다양한 제품 정보를 소개하고 있습니다 ↓쿠팡 공식 홈페이지 링크↓], 긍정 텍스트 확률 : 76.79%"
"[ 해당 블로그에서 소개하는 특정 제품들의 경우 상세정보 및 가격은 변동이 될 수 있습니다년 월 일 시 분에 발행하였습니다 ], 긍정 텍스트 확률 : 68.67%"
"[ . .착용한 앞모습], 긍정 텍스트 확률 : 56.61%"
"[ . 착용한 궁딩이 모습 ㅋㅋㅋㅋ.포동포동 해보이쥬? ], 긍정 텍스트 확률 : 57.82%"
"[ ㅠㅠ돈이 이렇게 무섭습니다.꼭 성공투자해야지 .. ], 긍정 텍스트 확률 : 77.21%"
"[ 제 느낌상 발진나는 기저귀 공통점아닐수도있어요..걍 제 느낌이에요손일단], 긍정 텍스트 확률 : 71.57%"
"[ 단계에서 지인에게미스터펭 을 추천받아 샀어요.하기스쓰다 넘어간거라 쳐지는 느낌을 받게됩니다. .. ], 긍정 텍스트 확률 : 54.66%"
"[ 기억나는 애들은 이정도인것 같다.요건 우리 아가한테 반응한 현상들이니 다른 아가들은 백프로 일치하지않아요저희형님네는 보솜이 잘쓰고있고 하기스가 발진났데요오늘 검색해보니 애플크럼비가 사악한가격으로 인기몰이중이네이거 사려다가 블로그로 이미지보는데 발진나게 생긴 느낌 ㅠㅠ근데 진짜 비쌈.하...어떤기저귀를 사야하나.ㅠㅠ ], 긍정 텍스트 확률 : 89.50%"
"[.팸퍼스 ⭐️..파우더향이 넘 심함ㅠㅠ 투명비닐에 포장되서 왔는데 열면 냄새 진짜 심하당 이걸 어케 다쓰나 싶을 정도.... 쓰다보니 무뎌지긴 했는데 인공적인 향이어서 별로였당ㅜㅜ 아기한테도 안좋을꺼같음.대신 착 늘어나는 재질이라 돌돌 말면 부피를 가장 적게 차지해서 버릴때 편했음.가끔 엉덩이에 알갱이 묻어나올때 있었고 쪼금만 쉬싸도 흡수되기보다는 축축하고 늘어지는 느낌....하기스 네이처메이드 ⭐️⭐️⭐️⭐️⭐️..첨에 써서 그런지 보통이라고 생각했지만 다른거 쓸때마다 생각나는 기저귀ㅠㅠ 핫딜이 안떠서 안사고 버티는중이당..ㅋㅋㅋ 조리원동기들 사이에서도 평이 좋고 쉬싸면 조금 묵직해지는게 뭔가 뽀송뽀송..킨도 프리미어슬림 ⭐️..똥새서 옷 버렸던 기저귀ㅠ.ㅠ.쪼금 커서 그랬던거 같기도 하고 하도 기어다니니까 기저귀가 움직여서 그랬던거 같기도하고.. 근데 여태까지 통틀어서 한번도 샌적이 없었는데 흐규ㅠㅠ.쫌만 싸도 엄청나게 묵직해지는 아이.. 가끔 알갱이도 묻어나와서 별루ㅜㅜ 아그리고 소변줄이 없어서 쫌 불편했당 계속 기저귀 만지게됨.. 자주 갈아주는 편이긴한데 안보이니 답답..보솜이 ⭐️..핫딜떠서 팩인가 샀는데 질렀는데 쫌만 싸도 오줌냄새가 스물스물 올라온다ㅠㅠ 뽀송한 느낌 전혀없고 보솜이 채울땐 찝찝해서 계속 갈아주게됨.. 이제 반통 남았다.... 언눙 써버려야지.....합리적인 가격이긴 하지만 냄새 때문에 안뇽ㅠㅠ..페넬로페 씬씬씬 ⭐️⭐️..그냥 예뿜.... 포장지도 예쁘고 기저귀도 예쁘고 근데.이것두 싸면 먼가 냄새가 올라옴ㅜㅜ.보솜이보다는 덜하지만 그래도 찌릉내같이 뭔가 이상한냄새가 난다ㅠㅠ..애플크럼비 ⭐️⭐️⭐️..하얗고 예쁨.... 포장지도 예쁘고 기저귀 그림도 심플하고 비싸서 밤기저귀로 썼었는데 넘 예뻐서 저녁이 기다려질 정도..ㅋㅋㅋ 쉬싸면 네이처메이드처럼 뽀송한 느낌 한번 더 써보고싶당...케이맘 ⭐️⭐️..뭐랄까 손이 잘 안가는 기저귀ㅜㅜ 왜일까ㅜㅜ 예쁘지 않아서일까.. 싸게사서일까....마미포코 배송중.몰텍스 에코제네시스 리베로 나중에....앞으로 찾는 기저귀.. 냄새 안올라오는거.. 뽀송뽀송한거.. 알갱이 안나오는거..하나만 쓰는거 넘 지루해서 핫딜 뜰때마다 보이는거 주문했던건데 .. ], 긍정 텍스트 확률 : 99.75%"
"[. .?여름기저귀여름기저귀.?밤기저귀밤기저귀.?흡수력흡수력.?얇고가벼운얇고가벼운.?슈베스슈베스.?기저귀기저귀.?밴드형밴드형.?슬리머슬리머.?팬티형팬티형.?슈퍼슬림슈퍼슬림기저귀 유목민...ㅠㅠ 이것저것 갈아타다 정착했어요.벌써 몇박스째인지 우리 둘째 하기스], 긍정 텍스트 확률 : 67.13%"
"[ 저희집에는 택배가 오면 자기가 뜯어야 직성이 풀리는 첫째느님이 계시답니다...ㅋㅋㅋ박스에 써있는 글씨도 귀여운 슈베스기저귀거침없이 뜯어냈어요..ㅠㅋㅋㅋ ], 긍정 텍스트 확률 : 55.69%"
"[ 남녀공용으로매 들어있는데요 사이즈는 몸무게도 중요하지만 허벅지두께에 따라 다를수있을거같아요.이것조차도 첫째가 뜯어버린... 요렇게 옆쪽에 점선이 있어서 잡고 뜯으면되용ㅋㅋㅋㅋ슬리머는 슬림형 고급라인으로속옷을입은것처럼가볍고 얇아움직임이편하고답답함이없는초슬림라인이래요.뭉침방지시트와역류방지시트그리고숨쉬는통기성 백시트가우리아가의뽀송한엉덩이를지켜준다는데 정말이지 항상 뽀송뽀송해요 ], 긍정 텍스트 확률 : 91.48%"
"[ 정말 얇아서 더운 여름 기저귀로 안성맞춤인거같아요. ], 긍정 텍스트 확률 : 58.16%"
"[ 불편함 하나없이 입고 데굴데굴 잘굴러다닌답니당그리고 이번에 새로이 주문해 본 즐거운 육아를 추구한다는 슈베스의 팬티형 슈퍼슬림 대형사이즈요 몇일전 접종하러가서 몸무게를 쟀을때 .키로가 나왔던 저희 둘째지만 허벅지가 두께가 있어서 그런지남녀공용 슈퍼슬림 대형을 사용해도 잘 맞더라구요. ], 긍정 텍스트 확률 : 79.86%"
"[ 착샷 배까지 안정감있게 잘 감싸주는 슈베스 슈퍼슬림 ], 긍정 텍스트 확률 : 72.33%"
"[ 소변 알림줄도 있구요], 긍정 텍스트 확률 : 68.32%"
"[ 올 여름은 슈베스 슬리머와 슈퍼슬림으로 거뜬히 지낼수 있을거 같네요소변을 본 뒤 기저귀를 갈아주다보면 슈베스에서 생리대도 판매를 한다던데 생리대도 뽀송하니 괜찮을거 같아서 한번 구매해서 사용해볼까 하는 생각이 들어요 ], 긍정 텍스트 확률 : 72.70%"
"[ 뭐뭐 있나 빼보니 봄봄이 또 신났음 ㅋㅋ], 긍정 텍스트 확률 : 92.52%"
"[ 팬티형 기저귀라 부피가 밴드보다 크고 가격도 더 비쌈입힐때 편한 장점은 있다.벗길 땐 옆에 부분 찢어야함. ], 긍정 텍스트 확률 : 61.21%"
"[ 기저귀는 봄봄이 놀이감 ㅋ ], 긍정 텍스트 확률 : 62.46%"
"[솔이가 태어나기 전 미리 구매해두었던 .?애플크럼비기저귀애플크럼비기저귀여자아이라 더 신경써서 알아본 기저귀였다인스타로 폭풍검색해서 찾았다쥬.....우리아기한테 맞을지 안맞을지도 모르면서 주문했다쥬....ㅋㅋㅋ이솔이는 병원에서 퇴원할때 기저귀발진이 있었다다행히 조리원에서는 병원이랑 다른기저귀를 사용해서 그런지 발진이 없었다 잘맞았나봄근데 일본꺼라서... 그냥 좀 내맘이 찝찝하고 그래서.. 패스집으로 와서는 병원퇴원선물로받은것도 있고 출산축하선물로받은 기저귀가 있어서 먼저 쓰고있었는디....잉 다시 발진생기고 두드러기처럼 올라옴 ㅠㅠ아까워서 먼저 다 쓰려다가 애기만 고생시켰음....결국 남은건 다 드림하고미리 사두었던 애플크럼비 사용하기처음 한달은 사이즈로 쓰고 그 후에는 그냥 사이즈로 썼다 조금 큰 감이 있긴 했으나...뭔가 허벅지가 쪼이는 거 같아서 사이즈업했다 현재 . 솔이에게 잘 맞는다.?애플크럼비애플크럼비 공식인스타그램을 팔로우해서핫딜 뜰때마다 구매하고 있다정가로 사면 너무 부담되는 금액이라ㅠㅠ친한언니테 장당 원정도라니깐 언니아기쓴거에 비해비싸다구...ㅋㅋㅋㅋ 그치만 좋은게 좋은거라고 솔이테 좋은것만 해주고픔특히 먹는거랑 몸에 닿는 기저귀 💛분유값 안들어가니깐 이정도는 괜찮아 ㅋㅋㅋㅋㅋ며칠전에 구매한 기저귀보통 팩 남았을때 기저귀주문을 하고 번들 세트로 구매하고 있다요새 기저귀파우치 주는 딜도 많았는데내가 구매할때만 없었다는 ㅠㅠ 아쉽...우린 지퍼팩에 넣어다니자 이솔...ㅋㅋㅋㅋㅋ], 긍정 텍스트 확률 : 99.86%"
"[ 새로주문한 기저귀가 세로포장으로 바뀜 ], 긍정 텍스트 확률 : 88.02%"
"[ 그리고 이번에 운좋게 기저귀 체험단에 당첨되어서한팩 무료로 받아볼 수 있었다 꺄 원래도 내돈주고 사서쓰고 있었지만..ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 99.31%"
"[ 새기저귀로 교체해주기 ㅎㅎㅎ 노란색 선은 쉬야전..ㅋㅋㅋㅋ울애기 오동통통 허벅지 넘귀엽네...... ], 긍정 텍스트 확률 : 96.15%"
"[ 뒤에까지 파란색으로 변했지오랜시간 차고 있어도 기저귀가], 긍정 텍스트 확률 : 78.45%"
"[.우리 아기 태어난지 일차.요즘은 뒤집기 하느라 정신없는 엄마와 아들 😅 ], 긍정 텍스트 확률 : 90.88%"
"[ .일단 친환경 오가닉 기저귀라는 점에서 내 맘을 .사로 잡았고], 긍정 텍스트 확률 : 91.32%"
"[ .울 아들 엉동이는 소중하니까요. ㅋㅋㅋ ], 긍정 텍스트 확률 : 90.08%"
"[ 번째가 애플크럼비 기저귀 날개? .기저귀 붙여지는 부분이다..타사제품은 뭔가 거칠고 딱딱해서 아기 허벅지에 꼭.쓸리거 같은 재질?로 되어 있어 조심스럽고.기저귀 채울때 날개부분이 잘 안떨어져 힘을줘야해서.은근 이게 불편하다 ㅡㅡ ], 긍정 텍스트 확률 : 51.91%"
"[ .가격이 쪼금 있다는 단점이 있지만.우리 아들 소중한 엉덩이를 위해서라면 ], 긍정 텍스트 확률 : 79.64%"
"[맘에 드는 기저귀를 찾지못해이것저것 써보며 남겨보는기저귀 대탐험 기록], 긍정 텍스트 확률 : 79.61%"
"[맥스드라이서로 비슷하면서 조금씩 핏이랑 소재가 다르다.매직핏은 가성비 좋았고에어솔솔은 생각보다 뻣뻣했고맥스드라이는 그다지 밤기저귀 역할을 못함.네이처메이드가 제일 부드럽고 좋았다.다른 브랜드 기저귀와 비교했를 때흡수력과 보송함은 하기스가 짱이고여러모로 가장 무난한 기저귀다.단계부터 단계까지 가장 오래 쓴 제품그치만 우주에게 발진이 종종 생기고응가가 정말 잘 새서 ㅜㅜ 안뇽.. 하기스는 맘큐 어플에서 사는게 젤 좋다.재구매 쿠폰도 주고 할인도 자주함 ], 긍정 텍스트 확률 : 98.06%"
"[ 보솜이 밴드 단계 ], 긍정 텍스트 확률 : 51.21%"
"[ 일단 보라색 땡땡이 디자인이 귀엽다.얇고 가볍고 가성비 좋았음.그런데 분명 넉넉한 크기인데도아가 몸에 늘 눌린 자국이 남은 건 미스테리하기스 쓸 땐 몰랐던 소변 역류도 몇 번 당했다 흑 네이버 스토어팜에서 특가 뜰 때 사면 좋다.톡톡친구 해놨다가 알림오면 겟겟 ], 긍정 텍스트 확률 : 52.33%"
"[ 애플기저귀와 맞먹는 보드라움에 엄청 얇고 가볍다. 밤에 써도 새지 않고 흡수 잘 됨. 그치만 밴드소재가 별로인지 허리 엉덩이에 눌린 자국이 생기고 킨도나 리베로급은 아니지만 이것도 쉬야냄새가 나서 패스😞 모두 내 돈주고 사서 팩 이상 사용 후 남기는 후기입니다. 아가마다 취향도 다르고 상황도 다르므로후기는 참고만 해주세요 탄에서 계속됩니다 ], 긍정 텍스트 확률 : 59.45%"
"[대구 베키에서 기저귀만 열심히 봤던거 같아요하기스 말고는 무난하게 쓰는편이지만똥꼬쪽 빨간게 넘 신경쓰여서계속 고민중이거든요😭😭😭😭😭우선.?대구베키대구베키 에서.?샘플샘플 받은것과사온.?기저귀기저귀 들 간단히 포스팅해볼려구요영양가 없지만ㅜㅜ늘 봐주셔서 감사합니다 ...... ], 긍정 텍스트 확률 : 95.38%"
"[ 요거에요울 딸램 몸무게는 아직 .그래서 늘 중형단계입니다😭베키에서 만원정도?기억이 안나지만 천원인가 만원인가줬던거 같아요.개입이라 가성비는 좋은거 같아요 ], 긍정 텍스트 확률 : 98.67%"
"[ 원이였어요.슈베스슬리머 ], 긍정 텍스트 확률 : 56.07%"
"[ 비교샷입니다.슬리머는 살때도 작은거 아닐까요?했는데 비교샷에서도 작아보이네요하지만 착용하면 늘어나서 절대 작지 않아요 ], 긍정 텍스트 확률 : 61.31%"
"[ 뒷모습 밴드부분이에요모두다 소변줄 표시선이 있어요 ], 긍정 텍스트 확률 : 97.95%"
"[ 크기로는 키티가 젤커보여요 ㅋㅋ실제로도 그래요 ], 긍정 텍스트 확률 : 55.09%"
"[ 착용은 참 귀엽긴 해요 ], 긍정 텍스트 확률 : 50.22%"
"[ 개인적으로 노블레스보다는슬리머가 좋아요낮기저귀로 주구장창 쓰는중이에요 ], 긍정 텍스트 확률 : 99.46%"
"[ 총평개인후기니 저랑 의견이 다르실수도 있어요이번에 포스팅한 기저귀들은다 보들보들한 편이고 빡빡하지 않아요헬로키티는 겁나 귀여운데냄새가 났어요.교체할때마다 그래서 거슬리고..😭생각보다 흡수력도그닥인거같아요.느낌상이지만 이 기저귀만 쓰면똥꼬가 유독 빨개보인다는거😑😑😑😑😑😑에이메르네이처 기저귀는 베키에서도 품절이였고전용 어플앱이 생겼다고 해서더 주문해볼려고 했는데 여기서도 품절대란이네요한장쓰고 뭐가 정확하겠냐만은밤기저귀로 쓰고 교체하면서 흡수 잘됐는지 만져보니 뽀송뽀송해요또 구매해볼려구요슈베스 슬리머친정엄마가 참 귀엽다라고 하신 기저귀고흡수 잘 되서 더 쟁길려고 했던 기저귀에요근데 낮에는 흡수도 짱짱 좋고맘에 드는데 밤기저귀로는 솔직히 크게 맘에 들지 않았어요이유는 여자분들 부득이하게 위생용품오래 착용하면 피부에 닿았던 쪽이랑막 분리되는 경우 있잖아요.이렇게밖에 설명을 못하늬😑😑그런식으로 밴드랑 엠보싱쪽이너덜해져서우리애기 그리 통잠자는편도 아닌데😭그런경우가 몇번있어서 더 구매는 안할꺼같아요.알겡이도 두번정도 봤어요... 어찌....마음에 쏘옥 드는 기저귀찾는게 힘드네요 😫😫엉엉내돈주고 직접 구입한 솔직후기입니다 .?대구베키기저귀대구베키기저귀 .?헬로키티기저귀헬로키티기저귀 .?슈베스슬리머기저귀슈베스슬리머기저귀 .?슈베스노블레스기저귀슈베스노블레스기저귀 .?에이메르네이쳐기저귀에이메르네이쳐기저귀 .?밤기저귀밤기저귀 .?흡수력좋은기저귀흡수력좋은기저귀 ], 긍정 텍스트 확률 : 82.58%"
"[ ..코엑스 팔찌 인증하면 .선착순으로 영어동물책줬는데.아직 이른감은 있어서 필요없긴했음 ㅎㅎ... ], 긍정 텍스트 확률 : 77.38%"
"[ ...여느 베페처럼.시부터 입장이 시작되며.선착순 이벤트도 있었음..목], 긍정 텍스트 확률 : 71.96%"
"[ 금은 엄마.토], 긍정 텍스트 확률 : 51.49%"
"[ ...코엑스보다.규모가 훨씬 크다던데..부스 배치도를 봐도.엄청 빽빽하다 ..참여업체가 많은만큼.구경하는 재미도 크고.이벤트도 다양해서.기대되었음 ㅎㅎ..재밌겠당. ], 긍정 텍스트 확률 : 98.06%"
"[ ...코베 베이비페어.킨텍스도 후기 이벤트를 진행함..지난 코엑스 베페글을.블로그에 끄적인게.추첨 당첨되서 받아서 놀래뮤ㅎㅎ...잘먹겠습니당 ], 긍정 텍스트 확률 : 78.63%"
"[ ..이번 홀가분 베이비페어에서.먹거리 업체도 몇 곳 참여했던데..떡보의 하루에서.인증하면.모음떡 한팩을 주는 .혜자로운 이벤트를 함 ㅋㅋ... ], 긍정 텍스트 확률 : 90.64%"
"[ ...맛있겠당 ㅎㅎ.짝꿍은 떡을 싫어해서.떡순이인 나 혼자 받음.. ], 긍정 텍스트 확률 : 86.45%"
"[ ...무루는 카톡 친추해뒀더니.베페에 대부분 참여하는지..쿠폰이 자동으로 발송되어서.손수건을 항상 받아가는 것 같다 ㅎㅎ.. ], 긍정 텍스트 확률 : 96.21%"
"[ ...이날 시에. 유진의 토크쇼도 있었는데.가구점 가야해서 못봤음 ㅠ..유진이 런칭한.스킨케어 브랜드..라이크아임파이브.. ], 긍정 텍스트 확률 : 75.85%"
"[ ...인스타에서.요즘 출산선물로 핫한 케어스... ], 긍정 텍스트 확률 : 65.60%"
"[ ..핑크상자가 이쁘고.구성품이 잘나오길래.요즘 출산선물도 .참 이쁘게 나온다 싶었는데.이번 킨텍스 베페에 참가했던.... ], 긍정 텍스트 확률 : 91.82%"
"[ .. 인증하고 받은.산모패드수유패드 박스..조리원갈때 챙겨가야지ㅎㅎ.... ], 긍정 텍스트 확률 : 78.57%"
"[ ...이날 나의 눈길을 끌었던.디트로네 부스..킨텍스 베페 가장 안쪽에 위치해서.자동차 매장처럼 꾸며둠.. ], 긍정 텍스트 확률 : 61.09%"
"[ ..간단한 이벤트를 참여하면.커피나 음료를.믓째이 오빠들이 만들어줌..블루레몬에이드 한잔..유모차랑 전동자동차를.원큐에 해결할 수 있었던.디트로네 ㅎㅎ..아들이라 그런지.이런 아이템이 너무 탐난다....다른집은 아빠들이 욕심낸다는데.우리집 짝꿍은 관심이 없고.정작 내가 갖고싶어함..... ], 긍정 텍스트 확률 : 77.48%"
"[ ..퇴장시.물티슈와 기저귀 샘플 겟.. ], 긍정 텍스트 확률 : 57.20%"
"[ ...카톡 친추만 하면.받을 수 있었던.진짜 맛있는 과일 팩..진짜 맛있어서 놀램 ㅋㅋ.토마토 왜케 달달해.설탕친거 아니냐고 물어봄..이후 카톡으로 시즌 과일 오던데.가격도 괜찮고.제철과일 당도는 검증된것같아.한번 주문해 먹어봐야겠음.. ], 긍정 텍스트 확률 : 91.69%"
"[ ...이날 수확품.거의 역대급인 것 같음 ㅋㅋ..참여 부스가 많아서 .정말 이벤트가 다채로웠다 ], 긍정 텍스트 확률 : 99.25%"
"[ ..시쯤 우린 퇴장하려하니.사람들이 북적북적..선착순 사은품이나.전시상품 사러 오는게 아니면.대부분의 사람들은 느긋하게 와서.시 이후부터가 주차전쟁인듯.. ], 긍정 텍스트 확률 : 73.47%"
"[ ..이날 일산을 온 주 목적이었던.가구 쇼룸을 구경하고.근처 맛집인 듯 한 .틈새라면을 먹으러옴..너무 오랜만에 들어보는.틈새라면 ..작은 분식점으로.년이 넘은 것 같다... ], 긍정 텍스트 확률 : 55.93%"
"[ ...보통맛 매운맛으로 하나하나 주문.매콤하게 잘먹었다 ㅋㅋ..주인 아주머니가 .너무 인상이 좋으심..동네 맛집 장수의 비결인둣], 긍정 텍스트 확률 : 96.37%"
"[ ..킨텍스 홀가분 베이비페어에서.받아온 물건들을 펼쳐보니.어마어마하다 ..이사 앞두고 짐이 더 늘었음 ], 긍정 텍스트 확률 : 57.09%"
"[ ..하나씩 살펴볼까요.. ], 긍정 텍스트 확률 : 76.12%"
"[파우치 택할 수 있었는데.파우치가 예뻐서 받음 ㅎㅎ.. ], 긍정 텍스트 확률 : 92.13%"
"[ ...비타민 젤리와 츄잉캔디.. ], 긍정 텍스트 확률 : 52.68%"
"[ ...이외 잡동사니들 ㅎㅎ...코베는 일년에 두번 열리는 것 같음..년도 하반기 일정은..킨텍스 월 일월 일.코엑스 월 일월 일..베이비페어는.아이를 낳고 나야.살게 엄청 보여서 .쟁이는게 꿀이라던데..월쯤이면 몸조리도 얼추 됬을거고.본격 아기용품 쟁이러.뱅기타고 올라와야겠음ㅋㅋㅋ.... ], 긍정 텍스트 확률 : 98.59%"
"[.. 네추럴 블라썸밴드 아주 좋음. 부드럽고 가볍고. 그러나 소변 본 후 냄새가 심해서오줌냄새가 아닌 기저귀충전재의 냄새와 섞인듯 때까지 사용하다가 교체했다. 그런데 그후로 유목민 생활중. 다른 기저귀들보다 좀 작은 느낌.... 슈퍼대디 아래 두개의 모델 다 좋다. 부드럽고 기저귀가 다른 기저기들보다 넓고 길다. 그래서 여름에 사용하기 좋은거 같다. .리얼소프트팬티 .미스터팽기저귀밴드... 나비잠모두 밴드 전반적으로 가볍고 부드럽다. 크기도 슈퍼대디 느낌인데], 긍정 텍스트 확률 : 99.60%"
"[피나는 노력과. 내가 완모의 꿈을 가지고 있던 터라.오로지 가슴마사지에만 돈을 열심히 쓴덕에.일쯤 보호기 없이 직수 성공으로.말랑말랑한 유륜에 익숙한 아가였다...그러다보니 꼭지의 위아래 구분이 있고.상대적으로 딱딱한 스와비넥스젖꼭지는.넣어주기만 하면 바로 웩 하고 뱉어내버림...내 경험과 주변 육아선배들], 긍정 텍스트 확률 : 70.74%"
