"[ 정말원터치였어 ], 긍정 텍스트 확률 : 78.72%"
"[천호 파티인스타라는 장소 선정 때문인지..굿맘 육아교실 때의 트라우마랄까...ㅋㅋㅋ아님 초장부터 엄청났던 부스 투어 압박때문인지..이 날의 메인 강의였던 금융 강의는 생각보다..........쩜쩜쩜..... ], 긍정 텍스트 확률 : 50.77%"
"[태아보험종신보험 두개 다 듣고 가실게여오늘은 호주에 있을때 만났던 친구도주차 예비맘이라 한국 산모교실 같이 가보자며같이 데리고 갔는데금융강의 엄청나고 보험영업 엄청나서 쫌 미안했음 ㅠ ], 긍정 텍스트 확률 : 98.92%"
"[우리 친정아빠 표현을 오늘도 빌리자면..ㅈㅅ이런거..], 긍정 텍스트 확률 : 98.52%"
"[ 달곰이 물티슈 매 ], 긍정 텍스트 확률 : 51.21%"
"[ 보타니컬테라피 베이비로션워시 샘플], 긍정 텍스트 확률 : 68.62%"
"[후....마음이 무겁게.....산교가 끝나고... ], 긍정 텍스트 확률 : 68.90%"
"[요거는 인스타 좋아요 개랑 개 각각 받으신 두분이 상품으로 타감 ㅋ ], 긍정 텍스트 확률 : 51.71%"
"[역시..팔로워 거지인난 아예 응모 하지도 않길 잘했어...하마터면 괜히 내 뉴스피드만 광고로 오염될뻔했...ㄷㄷ여하간.이거 끝나고 영 닫힌 마음으로 남들 경품추첨이나 보고 가자 싶게 앉아있는데앞전에 당첨된 산모님이내 번호 뽑아주셔가지곸ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 62.24%"
"[뜻하지 않게 의문의 승 경험...그리고 샤워종세트에 당첨 인증샷으로 초상권 헌납하고 옴..다만 같이 간 친구는 못 받아서 주꼬들이네 협찬 샘플팩 자체증정 ㅋㅋㅋㅋ나는... 베페도 다니고...임산부 선물팩도 신청하고...산교도 많이 다니니까.......집에 뭐가 되게 많더라구..... ], 긍정 텍스트 확률 : 58.86%"
"[아이아망 스탭분들은 친절하고 좋았는데..ㅠ협찬사나 부스선정 하실때 조금 더 신경 써주시면 좋을듯 ㅠ진행 스탭들 친절하다고 산모들이무거운 몸 이끌고 산교 가는게 아니고무조건 ], 긍정 텍스트 확률 : 90.99%"
"[ 참석선물이 두가지 보고 가는거 아니냐며 ㅠㅠ오늘은 어느 하나도 만족하지 못해...여즉 마음이 씁쓸한 후기 끗 ㅠ ], 긍정 텍스트 확률 : 69.94%"
"[확인해보신 제품은 쿠팡 품목으로 일시 품절이 될 수 있습니다. ], 긍정 텍스트 확률 : 72.17%"
"[보고 계시는 이 글은 제휴마케팅이 포함되며 광고로 이에 따른 수수료를 제공받습니다. ], 긍정 텍스트 확률 : 59.67%"
"[면세점에 아기용품이 꽤 많다. 한국 제품일경우는 면세혜택이 두드러지진 않지만 인터넷구매의 최대 장점인 적립금과 쿠폰할인], 긍정 텍스트 확률 : 56.32%"
"[모바일 적립금할인까지 몰아쓴다면 꽤 저렴한 면세쇼핑 가능 이유식 시작 직전이라 더블하트 이유식 조리기세트랑 스와비넥스 이유식기], 긍정 텍스트 확률 : 80.19%"
"[스와들 듀오를 구입함. 제품구입정보들은 하단에ㅋ ], 긍정 텍스트 확률 : 58.64%"
"[공주님이니까 핑크 돋는 걸로], 긍정 텍스트 확률 : 61.92%"
"[ 귀염돋는 양 손잡이 물컵. ], 긍정 텍스트 확률 : 54.65%"
"[ 밑에 판때기도 있고], 긍정 텍스트 확률 : 65.94%"
"[ 요렇게 세트인데 이거 원래 가격이 꽤 사악하다. 대략 만원 선. 스와비넥스 브랜드 자체가 수입이긴 하지만... 넘넘 비싸ㅜㅜ 그래도 예쁘니까 첫 아기이니까 막 이래 스와비넥스는 원래 쪽쪽이 고리? 그걸로 유명하던데], 긍정 텍스트 확률 : 98.02%"
"[더블하트 이유식 조리기세트.초기이유식 시기엔 양도 적게 만들기때문에 이게 의외로 유용하다길래 구입. 지금 중기이유식 중인데 결론부터 말하자면 이유식마스터기를 구매하지 않는다면 꽤 유용하게 쓰이긴 할거다], 긍정 텍스트 확률 : 65.33%"
"[아기용품은 어른거랑 구별해서 쓰고싶은 엄마에게도 괜찮은 제품.], 긍정 텍스트 확률 : 55.19%"
"[유아용품 전문 할인매장입니다.], 긍정 텍스트 확률 : 75.73%"
"[이천 베이비플러스 는 증포동 흥인프라자 건물 층에 위치하고 있습니다증포초등학교 맞은편에 위치하고 있죠 ], 긍정 텍스트 확률 : 52.24%"
"[먼저 가장 눈에 뛴건 엄청나게 많은 유모차들 다양한 회사들의 유모차를 한 곳에서 비교할 수 있다는 게 가장 큰 장점인 것 같습니다 ], 긍정 텍스트 확률 : 84.17%"
"[직원분께서 친절하게 설명해주셨는데 가장 인기가 많은건 역시유명한 브랜드 스토케 유모차 라고 합니다참고해두세요 ], 긍정 텍스트 확률 : 87.93%"
"[유모차 다음으로 가장 많았던 건 아기 차시트 입니다이것도 유모차와 마찬가지로 회사도 다양하고 제품들도 엄청다양해서 이것저것 비교해서 살 수 있다는게 가장 큰 장점인 것 같습니다], 긍정 텍스트 확률 : 88.04%"
"[ 카시트싸이벡스 카시트 입니다굉장히 아기 카시트로 유명한 브랜드라고 설명해주셨습니다디자인도 예쁘고기능도 좋아서인기가 좋다고 하네요 ], 긍정 텍스트 확률 : 99.51%"
"[이 외에 여러가지 브랜드의 카시트를 설명해주셨습니다설명해주시면서 느낀건데 역시 무엇인가를 살땐 이것저것 비교해보고 사는게 가장 좋은데이천프리미엄아울엣 베이비플러스 에는 제품들이 엄청 많아서가격 비교는 물론이고 디자인 ], 긍정 텍스트 확률 : 88.96%"
"[기능 들도 꼼꼼히 비교해서 살 수 있따는게 큰 장점인 것 같습니다], 긍정 텍스트 확률 : 53.78%"
"[아기의자도 있었습니다 ], 긍정 텍스트 확률 : 70.79%"
"[그리고 아기용 음식 코너도 있었습니다분 간편한끼 는 물론이고 부침개재료 등등 다양한 먹거리가 있었습니다 ], 긍정 텍스트 확률 : 55.06%"
"[여기도 있었습니다정말 종류가 많습니다 ㅋㅋㅋ], 긍정 텍스트 확률 : 52.66%"
"[귀여운 아토팜 수딩 젤 로션 이랑안심 손소독제 젤 그리고 아기비누가 있네요 ], 긍정 텍스트 확률 : 65.70%"
"[이천 유아용품 할인매장 베이비플러스 스킨로션 코너에는직접 테스트 해볼수 있는 가 준비되어있어서직접 발라보고 결정할 수 있게 되어있습니다], 긍정 텍스트 확률 : 78.68%"
"[체온계도 있습니다이것도 직접 사용해볼 수 있게 테스터가 따로준비되어 있었습니다 ], 긍정 텍스트 확률 : 60.93%"
"[등등의물건들이 있습니다 ], 긍정 텍스트 확률 : 68.11%"
"[아기용 칫솔 장난감 앙쥬아기목욕스펀지가 있네요요새 아기용품 되게 귀엽게 잘 나오는 것 같아요디자인도 잘 나오고 기능도 좋아져서 괜찮은 것 같아요], 긍정 텍스트 확률 : 68.69%"
"[귀여운 아기 옷들이 눈에 뜁니다 ㅋㅋ귀여운 아기모자도 있습니다], 긍정 텍스트 확률 : 92.68%"
"[모빌도 있습니다아직 저에겐 아기가 없지만 이런거 아기한테 꼭 사주고 싶습니다너무 귀여워요 ], 긍정 텍스트 확률 : 95.07%"
"[이천 프리미엄 아울렛 베이비플러스없는게 진짜 없는듯 ㅋㅋㅋㅋㅋ아직도 많이 남아있다는 사실 ... ㅋㅋㅋㅋ옷이랑 신발도 판매하고 있습니다아기 신발 진짜 귀여워요 ], 긍정 텍스트 확률 : 95.08%"
"[아기 차량제품도 있습니다 ], 긍정 텍스트 확률 : 70.79%"
"[귀여운 뽀로로 림밥도 판매하고 있네여저런건 제가 써도 될듯 ㅋㅋㅋ], 긍정 텍스트 확률 : 91.40%"
"[아기 의자도 따로 판매하고 있습니다종류도 많았습니다 ], 긍정 텍스트 확률 : 77.77%"
"[아기용 젓가락이나 수저를 판매하고 있습니다뽀로로 젓가락은 탐이나네요 나중에 아기가 생기면 꼭 하나 사주고 싶어요 ], 긍정 텍스트 확률 : 60.38%"
"[아기용 식판과 그릇.. 접시 들 입니다이것 역시 종류가 많았습니다], 긍정 텍스트 확률 : 63.46%"
"[유아 턱받이도 있었습니다근데 유아턱받이 중에 방수 되는 것도 있더라고요방수 제품 찾아서 구입하는 것도 좋을 것 같아요 무튼 요새 턱받이가 귀엽네요 ㅋㅋㅋㅋ 개인적으로 노란색 토끼가 마음에 듭니다], 긍정 텍스트 확률 : 98.75%"
"[이곳에는 세제나 세정제 가 있는 코너입니다], 긍정 텍스트 확률 : 90.51%"
"[젖병세정제와 유기농세탁세제 입니다 ], 긍정 텍스트 확률 : 71.16%"
"[젖병브러쉬와 향균모유저장팩 도 있었습니다모유저장팩이라는게 있는걸 처음 알았습니다신기했습니다], 긍정 텍스트 확률 : 82.41%"
"[젖병도 많았습니다 귀여운 무민 젖병도 있었습니다요샌 젖병도 그냥 젖병이 아닌 디자인도 좋고 기능도 좋은 젖병들인가봐요 ㅋㅋㅋ하나같이 다 좋은것 같아요 ], 긍정 텍스트 확률 : 99.26%"
"[흡입기도 있었습니다], 긍정 텍스트 확률 : 68.73%"
"[이건 아기 씻을때 받쳐줄 수 있는 의자나 도구들 입니다아기 씻을때 아기가 편안할 수 있게 받쳐주는 것들과 엄마들이 편안하게 씻길 수 있게 도와주는 물건들이 이곳에 있었습니다 ], 긍정 텍스트 확률 : 91.49%"
"[분유와 기저귀도 있습니다 ], 긍정 텍스트 확률 : 75.98%"
"[젖병 꼭지 와 젖꼭지도 있습니다], 긍정 텍스트 확률 : 71.97%"
"[귀엽습니다 ㅋㅋㅋ콧수염 젖꼭지는 개인적으로 친척동생한테 사주고 싶네요 ], 긍정 텍스트 확률 : 77.90%"
"[귀여운 양말도 있었습니다아기 양말 너무 귀여워요어떻게 저렇게 쪼그만한게 아기 발에 다 들어갈까요 ㅠㅠ], 긍정 텍스트 확률 : 99.33%"
"[소독할 수있는 기계도 있네요], 긍정 텍스트 확률 : 81.82%"
"[손수건 베개 등등의 코너 입니다], 긍정 텍스트 확률 : 79.88%"
"[손수건 직접 만져볼 수 있어서 좋았어요촉감 비교해보시면서 사면 좋을것 같아요], 긍정 텍스트 확률 : 92.75%"
"[이건 아기와 같이 외출할 때 필수템이죠 종류 많습니다], 긍정 텍스트 확률 : 69.14%"
"[노리개 젖꼭지 클립 들도 있습니다], 긍정 텍스트 확률 : 57.88%"
"[귀여운 온도계도 있네요아기 씻길때 항상 물 온도 체크하는거 중요한데이런게 있어서 편리한 것 같아요], 긍정 텍스트 확률 : 96.78%"
"[요새 인기있는 아기신문 도 있습니다 ], 긍정 텍스트 확률 : 73.50%"
"[아기 딸랑이들도 엄청 많았습니다], 긍정 텍스트 확률 : 77.49%"
"[가족일기 부제. 공동육아와 독박육아가 공존했던 일주일 ], 긍정 텍스트 확률 : 53.47%"
"[ 이젠 엄마], 긍정 텍스트 확률 : 50.24%"
"[아빠 밥 먹을 때 혼자 두는 걸 싫어해서 식탁에 꼭 같이 앉혀드려야 하는 아토 ㅋㅋ아토가 이제 타이니모빌을 지루해해서 아가 놀아주는데 아이템이 떨어진 우리 부부는강동구민회관에 있는 장난감대여소에 가보기로.], 긍정 텍스트 확률 : 81.79%"
"[ 우선 전날 아울렛에서 장만한 우리부부 커플운동화 인증샷 남겨놓기 크 이쁘다 이뻐. ], 긍정 텍스트 확률 : 95.18%"
"[ 사실 구에서 운영하는 장난감대여소라고 해서 장난감이 오래되고 직원이 불친절할 거라는 선입견이 있었던 터라 큰 기대를 하지 않았는데], 긍정 텍스트 확률 : 58.12%"
"[ 생각보다 관리도 잘 되고 장난감 종류도 많은데다 직원분들도 친절해서 만족만족장난감이 오래되긴 했어요 ㅠㅠ ], 긍정 텍스트 확률 : 96.58%"
"[ 한 권당 원씩에 빌려온 그림책들. ], 긍정 텍스트 확률 : 65.73%"
"[밖에 나오면 세상 신나는 화 징징이의 하루 오늘 엄마], 긍정 텍스트 확률 : 87.90%"
"[ 벌 서는 것 아님.남편이 요즘 사랑해요를 연습 시키는 중인데], 긍정 텍스트 확률 : 82.35%"
"[ 팔이 짧아 너무 슬픈 아토 ㅋㅋㅋ엄마는 왜 이런 표정이 좋을까.엄마가 안티 ], 긍정 텍스트 확률 : 98.53%"
"[ 오늘은 기념일이니까 근처 맥주집에서 피자랑 생맥주 테이크아웃해와서 냠냠.역시 우리 부부는 와인보단 맥주가 어울리지수 아빠의 부재 출산 이후], 긍정 텍스트 확률 : 67.87%"
"[회식으로 늦게 온 적은 있어도 출장으로 집을 비웠던 적은 없는 남편.아토야], 긍정 텍스트 확률 : 70.23%"
"[아빠 없는 동안 엄마 좀 잘 부탁해 ], 긍정 텍스트 확률 : 85.74%"
"[ 요즘 아토는 혼자 놔두는걸 너무 싫어한다.젖병 설거지를 해야하는데 하도 울어서 옆에 앉혀뒀더니 좋다고 방긋방긋. ], 긍정 텍스트 확률 : 84.89%"
"[ 어머니 가게에서 오랜만이라 반가웠던 야채타임.한 봉지 챙겨와 아토 잘 때 몰래 와작와작 ], 긍정 텍스트 확률 : 90.32%"
"[ 혼자 아토 씻기고], 긍정 텍스트 확률 : 58.36%"
"[집안 정리까지 했더니 평소보다 늦은 육퇴.그래도 아빠가 없어서 엄마가 힘들거란걸 안건지 오늘 하루 심하게 보채지 않은 아토.그리고 나 힘들까봐 일하느라 바쁠텐데도 때때마다 전화해서 밝은 목소리로 내 안부 물어봐준 남편.두 부자 덕분에 힘들지만 힘내서 마무리했어♥목 화창한 하루 비 오고 난 뒤], 긍정 텍스트 확률 : 97.20%"
"[맑게 갠 오늘.아토야 오늘은 무조건 외출이닷 ], 긍정 텍스트 확률 : 63.63%"
"[비밀이야 ㅋㅋ 아침부터 눈을 그렇게 이쁘게 뜨고 엄마을 보면 엄마가 심쿵하잖니.귀여운 녀석], 긍정 텍스트 확률 : 90.68%"
"[ 집으로 돌아오는 길에 아토가 유모차에서 잠들었길래 여유 좀 누려볼까해서 들른 카페.오우], 긍정 텍스트 확률 : 69.77%"
"[ 이럴꺼면 그냥 좀 자지. 웃겨서 동생한테 톡 쳤더니아토랑 라바랑 닮았다고 ㅋㅋㅋㅋㅋㅋ그래도 엄마 다 묵을때까지 바깥구경 하면서 얌전하게 인형처럼 안겨 있어줘서 고마옹♥ 카페 사장님께서 아기가 유순하다고 해주셨는데], 긍정 텍스트 확률 : 99.61%"
"[ 집에선 안그래요ㅋㅋ 밖에만 나오면 순둥이 모드. ], 긍정 텍스트 확률 : 58.05%"
"[남편 퇴근과 동시에 공동육아가 시작된다는 점이 날 설레이게 하고.두 부자 재워놓고 프듀 을 볼 수 있단 사실에 힘이 난다 ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 71.47%"
"[편안한 표정으로 낮잠에 들어간 아토.자는 아기의 얼굴은 너무 평온해서 나까지 마음이 평온해진다.그래서 자꾸사진 찍고 싶어지는 자는 아기의 모습. ], 긍정 텍스트 확률 : 97.00%"
"[ 안그래도 요즘 동물 털갈이하는거 마냥 머리카락이 빠져서 속상해 죽겠는데], 긍정 텍스트 확률 : 75.64%"
"[ 아토 이 녀석은 하루에도 몇 번씩 엄마 머리끄댕이를 잡는다. 요망한 것 ㅠㅠ ], 긍정 텍스트 확률 : 93.54%"
"[ 먹깨비 아토가 요즘 맘마를 잘 안 묵는다.혀로 젖꼭지 밀어내면서 장난치고], 긍정 텍스트 확률 : 58.57%"
"[ 바깥구경하다가 아기띠에서 잠든 아토.역시 넌 외출을 해야해 ㅋㅋ요 아기띠는 출산 전에 사람들의후기만 보고 혹 해서 구입했던 건데요.포옹끈], 긍정 텍스트 확률 : 52.16%"
"[돈아까워라.역시 베이비뵨이 최고네욤 ㅋㅋ], 긍정 텍스트 확률 : 50.82%"
"[ 똑바로 눕혀준대로 보면 더 잘 보일텐데..굳이 이렇게 목을 꺾어가면서 봐야했니? ㅋㅋㅋ 토 외할미집으로 출동 오늘은 외할미네 집 집들이 하는 날 우리집 마스코트 아토가 빠질 수 없으니 출동 ], 긍정 텍스트 확률 : 94.54%"
"[ 온가족 모여 시원한 정자에서 오리주물럭 냠냠.크 역시 엄마집에 오면 먹을게 많아 좋다 일 몸으로 놀아요 아토 장난감을 몇 개 챙겨오긴 했는데], 긍정 텍스트 확률 : 76.80%"
"[ 아토랑 놀아주는 사람이 많아서 이틀동안 장난감을 꺼낼 일이 없었다는. ], 긍정 텍스트 확률 : 64.96%"
"[ 파이팅 넘치는 아빠이모의 콜라보 덕분에 에너지 넘치는 아들내미는 기분이 띵호와스파르타 운전연수 ], 긍정 텍스트 확률 : 83.23%"
"[ 이젠 나 혼자가 아닌 아토의 안전도 달렸기에요즘 주말마다 남편과 스파르타로 운전을 배우고 있다.운전면허를 따고 처음으로 고속도로를 달려봤는데], 긍정 텍스트 확률 : 76.74%"
"[어찌나 손이 후달리던지.한여름이 되기 전에 주차까지 완벽 마스터해서 아토랑 단둘이 차타고 문센에 가는게 목표다 주말살림 살림은 늘 주말에 몰아서 하는 편. ], 긍정 텍스트 확률 : 75.45%"
"[그래도 눈앞에 계속 아른거리는 인판티노 스퀴즈 ㅠㅠ ], 긍정 텍스트 확률 : 93.92%"
"[유.모.차예비맘이든육아맘이든엄마라면 누구나 고민해봤을 육아용품 중 하나일꺼라 생각합니다저도 그랬으니깐요유모차왜 이렇게 고민하게 되는걸까요?일단], 긍정 텍스트 확률 : 98.41%"
"[브랜드며 종류며 너무도 다양한데다한두푼 드는게 아니기에 심사숙고하게되고 따지고 비교해보고 사게되는것같아요보통 유모차를 고를때 여러분의 기준은 무엇인가요?브랜드핸들링디자인편리성안정감아기가 느끼는 승차감휴대성가격프랑스에서 한국에 상륙한지 얼마되지않은지라우리나라에서의 브랜드 인지도는 타브랜드에비해 떨어지지만 그밖에 기준에서는 최상인 유모차가 있다면믿어지세요?지금부터 소개해드릴께요바로바로 스퀴즈 유모차 입니다 ], 긍정 텍스트 확률 : 67.34%"
"[박스 겉면에도 표기되어있듯이 스퀴즈 유모차는신생아부터 개월까지 사용이 가능합니다보통 신생아때는 디럭스 유모차를 사용해야 흔들림이 적어서 아기 머리와 몸에 충격이 가지않기에출산후 디럭스 유모차를 구입하게 되는데요디럭스 유모차는 너무 무겁고 부피가 커서나중엔 애물단지가 되는 경우가 제 주변에도 허다하더라구요하지만 스퀴즈 유모차는 절충형이면서도의 디럭스급 대형타이어를 가지고있어지면의 충격을 흡수하고 유모차를 미는 손목에 부담이 안가는데다아기또한 편안하게 탈 수 있어요그러면서도 무게는 . 이라니 ], 긍정 텍스트 확률 : 98.55%"
"[결합된 안전가드는 가운데 버튼을 누르며 양쪽으로 잡아당기듯 빼주면 해체가 되는데요아기를 유모차에 태우고 내릴때 아기가 안전바에 걸리거나 부딪히지않아 유용하답니다 ], 긍정 텍스트 확률 : 64.05%"
"[캐노피를 펼치니 더욱 예쁜 스퀴즈 유모차이 디자인 실화입니까?귀엽고 군더더기없는 세련된 유모차의 모습에초보맘 심쿵합니다프랑스의 감성을 담은 디자인이 바로 이런거였군요 ], 긍정 텍스트 확률 : 99.88%"
"[정답 공개유모차 통풍창 바람막이에요유모차 뒷부분 통풍창에 달려있는 지퍼를 열고 끼워주면 바람을 막아주면서도 엄마가 아기의 모습을 관찰하는데 방해가 되지않도록 투명하게 만들어진 통풍창 바람막이입니다보통의 유모차들은 통풍창을 지퍼로 여닿게만 만들어져있고 닫으면 바람을 막아주는대신 엄마의 시야까지 막아버리는데 스퀴즈 유모차는 사소한것 하나까지고민하고 섬세하게 만든 유모차라더니 정말이네요사소한 차이가 명품을 만드는거라죠? ], 긍정 텍스트 확률 : 70.19%"
"[유모차를 펼칠때 측면에 있는 회색 안전클립을 빼주고유모차를 들어올리듯 잡아당겨주면되요 ], 긍정 텍스트 확률 : 75.01%"
"[유모차 보관가방의 모습인데요밑부분이 찍찍이로 되어있고 스판기가 있어서접힌 유모차에 편하게 씌울수 있답니다 ], 긍정 텍스트 확률 : 79.41%"
"[얼마나 편안한지 곤히 잠든 울애기의 모습입니다 ], 긍정 텍스트 확률 : 76.35%"
"[스퀴즈 유모차 덕분에 오랜만에 남편과 카페에서 커피한잔의 여유를 즐겼답니다 ], 긍정 텍스트 확률 : 82.51%"
"[핸들링도 부드럽고오돌토돌한 길과 오래된 도로의 거친 노면에서도저항감없이 부드럽게 밀려서 좋더라구요덕분에 울애기는 집에 돌아오는길에도 꿀잠을 잤답니다 ], 긍정 텍스트 확률 : 51.23%"
"[도로 완전히 눕혀지는 휴대용급 유모차는 본적이 없는데 스퀴즈 유모차는 각도조절이 앉히는것부터 눕히는것까지 가능해서 신생아때부터 사용하기에 전혀 무리가 없을듯해요아직도 유모차 고민중이신가요?디럭스와 절충형 그리고 휴대용의 장점이 모두 모여있는 스퀴즈 유모차 어떠신가요?현명한 엄마라면유모차 선택도 스마트하게저는 오늘도 울애기 태우고 스퀴즈와 함께 외출합니다입소문 나는거 시간문제에요국내 런칭기념 반값특가 프로모션중이라하니이럴때 얼른 겟겟하세요 ], 긍정 텍스트 확률 : 99.75%"
"[본 후기는 업체로부터 제품만을 무상으로 제공받아 체험후 솔직하게 작성한 후기입니다 .?스퀴즈스퀴즈.?유모차유모차.?스퀴즈유모차스퀴즈유모차.?절충형유모차절충형유모차 .?휴대용유모차휴대용유모차.?기내반입기내반입.?유모차추천유모차추천 .?신생아유모차신생아유모차.?원터치폴딩원터치폴딩.?육아템육아템.?육아꿀템육아꿀템 .?프랑스유모차프랑스유모차.?디럭스급유모차디럭스급유모차.?기내반입유모차기내반입유모차 .?접이식유모차접이식유모차.?캐리어유모차캐리어유모차 ], 긍정 텍스트 확률 : 85.31%"
"[ 축하드려요 ], 긍정 텍스트 확률 : 66.13%"
"[축하드립니당], 긍정 텍스트 확률 : 66.13%"
"[축하드려요], 긍정 텍스트 확률 : 66.13%"
"[축하드려요], 긍정 텍스트 확률 : 66.13%"
"[축하드립니다], 긍정 텍스트 확률 : 66.13%"
"[우와 축하드립니다], 긍정 텍스트 확률 : 66.13%"
"[축하드려요], 긍정 텍스트 확률 : 66.13%"
"[굿 축하드립니당], 긍정 텍스트 확률 : 95.87%"
"[축하드려요], 긍정 텍스트 확률 : 66.13%"
"[저희집도 남편이 가장 큰 문제예요. 항상 적은 내부에 있다죠 ㅠ], 긍정 텍스트 확률 : 87.05%"
"[마스타카드만 있어 아쉬워요.ㅠㅠ], 긍정 텍스트 확률 : 68.07%"
"[전 비씨글로벌 만들어놨는데 은근 직구할땐 행사하는것들이 소소히 있어서 좋드라구요], 긍정 텍스트 확률 : 87.61%"
"[배송비가 적게 나오셨네요.. 전 불 나와서 포기했어요..ㅜ.ㅜ], 긍정 텍스트 확률 : 85.89%"
"[허거덩 부피 큰거 사셨나봐요 생각보다 장난감 들어갔는데도 싸드라구요], 긍정 텍스트 확률 : 76.66%"
"[여행중독 아이쿠 답변감사드리옵니다장바구니 털때가 되었나봐요], 긍정 텍스트 확률 : 83.26%"
