"[ 브레이크는 요렇게 생겨서 발에 힘주지 않아도 가볍게 사용할 수 있구요], 긍정 텍스트 확률 : 89.83%"
"[타사보다 무게가 더 가볍다는점으로 큰기준을 뒀어요. 아무래도 프레임무게도중요한데 와이업 올뉴지니 의 경우 타사보다도 가벼웠어요....... ......? 본문 이미지...... ......? 본문 이미지...... ......? 본문 이미지지인분도 와이업 올뉴지니 휴대용유모차를사용하고 계시는데 강력추천으로 비교하고알아보고 구매하였는데 실제로보니 튼튼하고 크더라구요 ㅎㅎ인터크 사이트에서 할인쿠폰이 있어서 할인받고 저렴하게 샀는데 저렴하면서도 가성비좋은 와이업 올뉴지니 휴대용유모차 기내반입유모차로도 많이들 쓴다는데 저렴하게 잘산것 같아요저는 소프트블랙으로 구매했는데 볼수록 질리지않고 잘사용할수있을것 같아요. ], 긍정 텍스트 확률 : 88.95%"
"[핸들링과 수납에 있어서는 생각보다 좋았으나], 긍정 텍스트 확률 : 88.52%"
"[앞 뒤를 제대로 안보고 끌고 다니면 머리부분 천이 끌리게 되니 방향을 잘 숙지해둬야해요.언폴딩을 위해 손잡이 부분의 버튼을 잡을 공간이 좁아서 불편해요. 그리고 저희 집 제품만 그런지 몰라도 버튼이 잘 안눌러져서 힘들어요. 차양막장점푹 내릴 수 있어서 너무 좋아요 앞에서 바람이 불어올 때 다 펼치면 거의 다 막아주는 느낌이에요. 아기가 잠들었을 때도 유용하고 햇빛이 강한 날에도 걱정이 없어요. 최고에요상단에 아기를 관찰할 수 있는 망사망이 있는데], 긍정 텍스트 확률 : 98.71%"
"[엄마가 많이 숙이지 않아도 눈을 맞출 수 있어서 편해요. 앉히거나 안아들때도 편한 편이에요.땅과 조금이라도 더 떨어질 수 있다는건 매연이나 먼지 많은 곳에서 심적으로 좋아요.등받이가 가지 각도가 실용적이고 조절하는 버튼이 편리해요시트를 완전히 눕힌 후 머리 쪽에 지퍼를 열면 통풍이 가능해서 여름에 유용할 듯 해요. 단점시트 각도], 긍정 텍스트 확률 : 88.36%"
"[ ...와이업 올뉴지니는 차양막도 많이 내려와.햇빛도 잘 가려줄꺼같더라구요..내년 추석에 를 타고 시댁에 내려가야하는데.휴대용유모차라 들고가기도 편할듯합니다..기내반입도 가능하다고 하니 여행시에도.좋을듯 해요.. ], 긍정 텍스트 확률 : 75.36%"
"[ ...앞에 손잡이 부분이 있어서 안정감도 있고.한번 사용해본 후 너무 만족했던.유모차입니다 괜히 엄마들 입소문이 난게 아니였어요....기내반입도 가능한 .휴대용유모차 와이업 올뉴지니.추천합니다. ], 긍정 텍스트 확률 : 80.57%"
"[ ▲폴딩했을때 어깨에 매고 다닐 수 있는 끈근데 와이업지니는 폴딩했을때 바를 손잡이처럼 잡고캐리어처럼 끌고 다닐 수 있어요굳이 어깨에 매고 다니지 않아도 될듯..휴대용유모차라고 가볍다고 하시는데솔직히...엄마인 제가 이거 어깨에 매고 애 손잡고 못다녀요 ㅜㅎ애 없으면 뭐 생각해볼만 ... 아 그래도 매고 다니진 않을래요 ], 긍정 텍스트 확률 : 84.07%"
"[ ▲와이업지니 유모차가완성품이에요근데유모차 딱 꺼내서 폈을때뒷바퀴만 조립하시면 되는데뭐 드라이버 이런거 필요없고그냥 바퀴 꽂기만 하면 끝이에요 ㅎㅎ조립이랄것도 없는... ], 긍정 텍스트 확률 : 93.36%"
"[ .둥이선배인 친구의 초강력 추천과 외출시 둥이아빠와 하나씩 따로 유모차를 몰며 돌아다니는 것도 나름 괜찮겠다 싶어 결합형 선택..핫딜이 뜬 이유도 한 몫. ㅎㅎ..친구가 한번 사세요 두번 사세요한.?와이업올뉴지니와이업올뉴지니..요렇게 생겼다. ], 긍정 텍스트 확률 : 99.34%"
"[ .내가 발판을 접지 않아서 톡 튀어나왔는데 .발판 접으면 바만 남아 캐리어손잡이처럼 끌 수 있다..이래서.?기내반입유모차기내반입유모차.?와이업올뉴지니와이업올뉴지니 인듯..근데 왜 사진 흔들렸지....폴딩언폴딩은 손잡이부분 레버를 꾹 누르면 된다..처음엔 좀 뻑뻑한데 몇 번 해보면 아주 쉽다..울 친정부모님도 쉽게 하시니까.ㅎ. ], 긍정 텍스트 확률 : 92.46%"
"[ .맘에 쏙 드는 풀차양막..옵션이 아닌 기본장착으로 앉든 눕든 차양막이 잘 가려준다는.사진은 뒷부분 지퍼 열었을 때 완전 바까지 가리는거고.평소 지퍼 잠그면 저기서 한번 덜 펴진다 생각하면 됨..근데 지퍼 안 열어도 충분하다는거.난 애들 잘 때만 지퍼열어 완전 풀차양막 가동한다.ㅎㅎ. ], 긍정 텍스트 확률 : 64.09%"
"[ .그거 열면 또 매쉬창이 있어 아기도 볼 수 있고 .여름엔 통풍 가능..매쉬창 덮는 부분은 자석으로 되어있거나 돌돌말아 단추로 고정하게 되어있다..이건 좀 세심한듯?ㅎㅎ. ], 긍정 텍스트 확률 : 82.67%"
"[ .맘에 드는 장바구니..와이업올뉴지니 사기 전 백화점에서 잠깐 빌려서 써본 뉴나 유모차는 장바구니가 완전 깜찍해서 아기띠 하나 넣으니 끝이었는데...ㅠ.이건 완전 디럭스급 장바구니라는..ㅎ.사진은 폴딩된 뒷부분 편 모습이고 저기 접으면 좀 작아짐..근데 폴딩 안 펴도 충분히 큼. .짐 많은 둥이엄마는 장바구니 큰게 좋아요.. ], 긍정 텍스트 확률 : 81.50%"
"[ .이제 실사용 모습..편안한 저 모습이라니...ㅎㅎ..실제로 밖에서 운전해보니 핸들링도 좋고한손 핸들링 가능 무척 가볍다..물론 승차감은 디럭스만큼은 안되겠지만 가벼운 휴대용유모차 치고는 흔들림 적은듯.. ], 긍정 텍스트 확률 : 95.00%"
"[ .유모차 두대 결합하려면 요렇게 두 대 나란히놓고 커넥터 연결하면 된다..커넥터는 곳에 연결할 수 있어 두 대 동시에 몰아도 큰 어려움 없었다...그러나 역시 결합형의 단점은 폭....엘베 못들어간다.ㅠ.근데 뭐 거의 외출 혼자할 일 없으니 연결할 일도 그닥..ㅎ.와이업올뉴지니 강추한 친구는 커넥터 연결없이 그냥 혼자 양손으로 하나씩 잡고 유모차 운전하는 능력자.ㅎㅎ.따로따로 엄빠 하나씩 유모차 끌고 다니니 엘베탈 때 눈치 덜 보여서 좋았고], 긍정 텍스트 확률 : 99.22%"
"[ .지나가는 사람들이 쌍둥이냐며 묻는 빈도수가 확 줄어듬.ㅎㅎㅎ.쌍둥이유모차 끌고다니면 열에 아홉은 뒤돌아보는 인싸될 수 있음.ㅎㅎㅎㅎ...쓸수록 마음에 드는.?와이업올뉴지니와이업올뉴지니..내년 봄 제주도 갈 생각인데 기내반입 된다니 들고가야지..리안트윈과 오백번 고민하던 날들이 무색할만큼 맘에 쏙 드는 휴대용유모차..하둥이들아.이거 오래오래 잘 써보자 ], 긍정 텍스트 확률 : 93.14%"
"[ 위치가 파주시 동패동 형성플라자층에 있는데요매장도 넓고 깨끗하게 잘 관리해서 올때마다 기분이 좋아지는 곳이랍니다 ], 긍정 텍스트 확률 : 64.23%"
"[ 가까운 곳에 최고로 좋은 유아용품을 가장 저렴하게 판매하고 있는 매장이 있으니얼마나 다행스러운 일인지 몰라요ㅋㅋ킨텍스 베이비페어랑 가까운 곳에 있지만], 긍정 텍스트 확률 : 99.02%"
"[ 육아관련 프로에 연예인 아기들이 괜찮은 제품을 사용하고 있으면 부럽기도 하고막사고싶어지고 그렇지 않던가요?나만 그런가...?ㅋㅋㅋ우리 아이에게 최고만 안겨주고 싶은 마음은 어느 부모나 다 똑같은 마음이지 않을까라는 생각이 들어요 ], 긍정 텍스트 확률 : 85.84%"
"[ 서비스나 사은품도 야무지게 잘 챙겨줘서 쇼핑하고 돌아 갈때는 항상 양손가득짐보따리를 들고 간답니다공짜는 언제나 즐거운 법♬ ], 긍정 텍스트 확률 : 86.33%"
"[ 원에 고급 면소재로 만든 배넷저고리랑 아기내의를 만날수가 있어요비싼 배넷저고리 한 벌 살 돈으로 여기서 대 여섯벌을 살 수 있으니 완전 땡큐죠 ], 긍정 텍스트 확률 : 56.01%"
"[ 턱받이], 긍정 텍스트 확률 : 50.43%"
"[ 출산선물도 요즘에는 백화점에서 다들 사지 않더라구요어떤 물건을 사든 구입하는 사람입장에서는 할인이 얼마나 되느냐에 따라 기분이 확달라지는데 똑같은 제품을 굳이 정가데로 비싸게 주고 살 필요가 없지 않겠어요 ], 긍정 텍스트 확률 : 80.10%"
"[소독기 내부도 하나씩 확인을 하면서 비교하니까 결정하기가 수월했어요다른 제품들도 마찬가지로 선택장애가 생기면 직원분에게 도움을 요청해서 구입한제품들이 많아요아무래도 많은 엄마들이 왔다 갔다 하면서 정보를 듣게 되니까 장단점을 꽤 뚫고계시니 조언을 살짝 받는 것도 좋은 방법일 듯 해요 ], 긍정 텍스트 확률 : 89.67%"
"[ 정말 마트라고 해도 손색이 없을 만큼 아이에게 필요한 모든 것들이 갖춰져 있어요일회용 기저귀에서부터 고급분유], 긍정 텍스트 확률 : 62.92%"
"[ 물티슈 등등많은 종류의 유아용품들을 다양하게 판매를 하고 있어 왠만한건 죄다 여기서 구입이가능해 너무 편리한거 있죠ㅋㅋ이유식 시작할 때부터 젓가락질 할 때까지 필요한 식기들도 모두 있어요부수적으로 필요한 턱받이도 방수재질부터 흡수력 좋은 면재질까지...원하는 제품으로 겟 ], 긍정 텍스트 확률 : 80.74%"
"[ 일주일에 두번씩 오고 그럴때도 완판이 된 상품인데도 새로 입고를 해서 할인판매를하더라구요최저가 매장다운 모습에 새삼 감사했죠 ], 긍정 텍스트 확률 : 95.12%"
"[ 스킨케어 제품들도 정말 다양하게 있어요천연추출물로 만든 유기농 화장품에 기능성이 들어 있는 보습제랑 아토피 전문치료화장품 등등테스트도 해볼 수 있으니 직접 향을 맡아보고 구입을 하시면 좋겠네요 ], 긍정 텍스트 확률 : 80.40%"
"[ 유아용 장난감이나 간단한 학습도구도 있으니까 어린이집 다닐 때 필요한 용품도베이비플러스 파주점에서 다 사면 되겠어요이불], 긍정 텍스트 확률 : 71.81%"
"[ 다른 매장은 어떨지 모르겠는데 여기는 포인트 적립을 제품구입으로만 하는게 아니라가끔 리뷰나 댓글 이벤트를 통해 만점씩 쌓아주고 그러거든요그덕에 저도 짭짤하게 포인트를 모을 수 있었구요회원가입만 해도 천점을 넣어 준다니까요ㅋㅋㅋ정말 실속있는 유아용품할인매장이지 않아요?거기다 선물받은 백화점 상품권을 이곳 매장에서 사용이 가능하니까 요긴하게 활용을할 수도 있어서 참 좋아요어디에 쓸지 몰라서 찡박아둔 상품권이 있으시다면 우리아이에게 필요한 용품으로사주는것이 어떨런지요 ], 긍정 텍스트 확률 : 97.60%"
"[ 와이업올뉴지니의 구성품을 우선 본체가 있고 바와 식판], 긍정 텍스트 확률 : 66.48%"
"[ 하단에 확장형 장바구니는 자석형태로 되어 있었는데 넓직하니 꽤 많은 짐들을 실을수 있어서 용이해 보였어요브레이크 작동도 잘 되고와이업올뉴지니 보면 볼수록 넘나 맘에 드는 유모차였어요 ], 긍정 텍스트 확률 : 91.86%"
"[ 무엇보다 식판이 딸려 있어서 완전 좋아바를 완전히 분리한 후 바 대신 끼워서 사용하면 되는데 외출시 가볍게 이유식도유모차에 태운 채로 먹일 수 있으니까 실용적인 부분도 함께 합격이네요ㅋㅋㅋ ], 긍정 텍스트 확률 : 99.21%"
"[ 휴대용유모차를 구입할때 가장 걱정이 되었던 부분이 안정성이였어요아이도 어느정도 컸고 무게감도 있는데 유모차가 너무 가벼우면 아무래도 다닐 때날릴 것 같다라는 생각이 들었죠 ], 긍정 텍스트 확률 : 93.59%"
"[ 입점되어 있는 모든 유모차 브랜드의 휴대용은 전부 시승해보고 비교해봤는데], 긍정 텍스트 확률 : 84.20%"
"[ 직접 구매하고 남기는 후기 ㅎㅎㅎ신생아때는 디럭스를 사용하다가], 긍정 텍스트 확률 : 66.72%"
"[절충형으로 바꿧는데... 절충형도 무겁긴 마찬가지..ㅠㅠ트렁크에 싣고 꺼내기가 점점 힘에부쳐... 가벼운 휴대용으로 새로 장만했는데], 긍정 텍스트 확률 : 82.11%"
"[고급스러운 블루블랙 같은 컬러다사진으로 잘 안담기는게 함정 ㅠㅠ ], 긍정 텍스트 확률 : 52.53%"
"[시원하게 통풍도 되고 ㅠㅠ 자는모습도 확인하고], 긍정 텍스트 확률 : 85.19%"
"[ 나에게는 너무 만족스러운 디테일이다물론 차양막 위에도 확인할수 있는 미니메쉬구멍이 있음. ], 긍정 텍스트 확률 : 62.10%"
"[ 한달간 와이업올뉴지니 사용기 포스팅으로 이어 쓰겠다 ], 긍정 텍스트 확률 : 66.62%"
"[ 주 사용기 포스팅도 완료함께 봐주세요.... ], 긍정 텍스트 확률 : 76.11%"
"[ ....뒷면 매쉬창.창이 커서 바람숭숭. 좋다 ], 긍정 텍스트 확률 : 50.57%"
"[의자높이가 와이업이 확실히 좋다. ], 긍정 텍스트 확률 : 76.34%"
"[유모차 고리 받을 수 있어요유모차 고리도 받고], 긍정 텍스트 확률 : 75.80%"
"[와이업 식판도 받았음 .?와이업전용식판와이업전용식판.?와이업식판구매와이업식판구매베페에서는 선착순으로 식판 증정하던데와이업 전용 식판이랑 유모차 고리 모두 줌 ㅎㅎ ], 긍정 텍스트 확률 : 95.53%"
"[ 생각보다 살게 많았던 곳.?수원베이비플러스수원베이비플러스.?용인육아용품점용인육아용품점아울렛 건물에 있는데 여기만 사람이 많았다], 긍정 텍스트 확률 : 95.21%"
"[ 특히 우리 부부가 중요시하는 부분], 긍정 텍스트 확률 : 80.21%"
"[차양막 햇빛가릴 때도 필요하고 잠 잘 때 완전 덮어줄 수 있어서 유모차는 꼭 풀차양막 되는걸로 구매함], 긍정 텍스트 확률 : 89.31%"
"[ 기존에 쓰던 것보다 손잡이가 위에 있다고 느꼈는데다른 휴대용유모차보다 시트가 높은 하이포지션이기 때문 그래서 아이가 더 좋아하는 것 같기도 하다몇 번 밀다보면 적응되고 편해져서 문제없음 ㅎㅎ ], 긍정 텍스트 확률 : 85.12%"
"[ 특히 바 완전 좋아함아마 이거때문에 타고싶어하는 것 같다 ㅋㅋㅋ부릉부릉 하면서 잡고 있고앉으면 무조건 자기가 올리고 탄다 ], 긍정 텍스트 확률 : 99.65%"
"[ 풀차양막에 지퍼로 더 열고 닫을 수 있고컵홀더도 기본 구성품에 포함이라 아주 좋음 ], 긍정 텍스트 확률 : 75.78%"
"[더 대박은 바로 기내반입 유모차로도 썼다는 것 ], 긍정 텍스트 확률 : 71.06%"
"[ 얼마 전 다녀온 괌 여행와이업 올뉴지니가 있어서 유모차 걱정없이 편하게 다녀왔다 ], 긍정 텍스트 확률 : 67.59%"
"[ 생각보다 도착했을 때 유모차가 늦게 나와서돌아올 때는 기내반입으로 유모차 전용커버에 싸서 기내 선반에 쏙 진짜 휴대용 유모차이자 기내반입 유모차와이업 올뉴지니갖고 싶었던 육아템이라 그런지 더 마음에 들고아이도 너무 좋아하니 더욱 좋다 ], 긍정 텍스트 확률 : 98.96%"
"[ 그 중 핸들링과 폴딩이 손꼽히는 유모차라정말 애정을 가지고 사용했었거든요.근데], 긍정 텍스트 확률 : 77.25%"
"[그 유모차 아쉬운 점이 몇가지 있었으니.개월수가 지날 수록 그 아쉬움 점이 부각되어서..두어달을 고민고민하다가결국은 휴대용유모차를 바꾸게 되었어요 ㅠㅠ유모차 브랜드도 가격도 기능도 천차만별그 중에 엄마에게], 긍정 텍스트 확률 : 79.95%"
"[형제를 키우는 입장에서올뉴지니 장점 단점 적어보도록 할게요. ], 긍정 텍스트 확률 : 67.92%"
"[완전 든든합니다. ], 긍정 텍스트 확률 : 59.25%"
"[ 위의 장점과 연결되는 장점이지만단독으로 적어야겠습니다 ㅋㅋ왜냐면 장바구니 크기도], 긍정 텍스트 확률 : 91.60%"
"[정말 중요하니까요 ], 긍정 텍스트 확률 : 72.95%"
"[ 이 때 정말 좋았던 포인트가], 긍정 텍스트 확률 : 87.91%"
"[ 접고 펴는 걸 자석으로 할 수 있다는 거.이게 찍찍이면 은근 손이 가거든요 ㅠ자석으로 되어 있으니 깔끔 편리굿 ], 긍정 텍스트 확률 : 87.79%"
"[ 사진으로는 바 장점 느낌이 안 살아서아이가 바에 기대어 있는 상황영상으로도 남겨봤어요.이런 상황이 정말 잦거든요], 긍정 텍스트 확률 : 85.36%"
"[ 휴대용유모차는 대부분아이들이 스스로 몸을 가눌 수 있을 때사용하기 시작하잖아요?바 만으로도 아이가 떨어지지 않고유모차에 타있을 수 있다는 거.바 사용경험 없던 년차 육아맘...신세계의 매력에 빠졌답니다 ㅋㅋㅋ ], 긍정 텍스트 확률 : 99.49%"
"[ 유모차가 튼튼하다.. 참 애매한 부분이라적을까 말까 고민을 좀 했는데요.객관적으로 튼튼함을 보여줄 수 있는 게유모차의 프레임인 것 같아서 적어봐요 ], 긍정 텍스트 확률 : 84.88%"
"[ 소소 매력 . 컵홀더아무 것도 안해도 그냥 기본구성인 컵홀더. ], 긍정 텍스트 확률 : 55.20%"
"[ 컵홀더 위치가 손과 가까워 좋았고], 긍정 텍스트 확률 : 66.91%"
"[ 꽤나 짱짱하게 고정이 되기 때문에가벼운 짐을 살짝 걸어놓을 수 있어서그게 또 은근히 편했어요. ], 긍정 텍스트 확률 : 78.24%"
"[ 소소 매력 . 히든 포켓손잡이 아래쪽으로 있는 작은 주머니. ], 긍정 텍스트 확률 : 92.89%"
"[ 소소매력 . 아이 확인창제가 사용했던 모든 유모차들이아이확인창이 있긴 했는데요올뉴지니는 확인창 구멍이 좀 큼직?해서타고 있는 아이가 잘 보여요 ㅋㅋ구멍이 촘촘하면 애 표정이 잘 안보이거든요], 긍정 텍스트 확률 : 92.32%"
"[ 소소매력 . 거대한 통풍창 ], 긍정 텍스트 확률 : 96.02%"
"[ 가을에 바꾼 휴대용유모차라이 기능 사용하려면 반년이상 기다려야 겠지만 ㅋㅋ시원하게 등이 뚫려 있어서.더운 여름에 아주 유용하겠다 싶어요], 긍정 텍스트 확률 : 71.25%"
"[ 뒷바퀴가 땅에 닿는 구조라서.바를 손잡이처럼 잡고편하게 끌고 다닐 수가 있어요. ], 긍정 텍스트 확률 : 73.83%"
"[즉 육아경력 년차.저도 각종 유모차 관련 검색을수백번 이상 해본 사람으로서.육아용품 구입할 때.단점을 검색하지 장점을 검색해 본경험은 거의 없는 것 같아요 ㅋㅋ장점은 상세페이지에도 잘 나와있으니까요. ], 긍정 텍스트 확률 : 98.25%"
"[어깨끈과 허리끈 개를각각 하나씩 끼워야 한다는 거 저는 처음에 사용하던 디럭스유모차도이렇게 독립형 구조였기 때문에특별히 불편하다는 생각 한 적 없고.게다가 지금 짱군은 허리벨트만 하거나벨트를 하지 않는 경우가 많아서더더욱 유모차 선택에 고려 안한 요소.어쨌든 올뉴지니 단점 검색했을 때은근히 언급되는 요소 중 하나라 ㅋㅋ저도 괜히 한 번 적어봤구요. ], 긍정 텍스트 확률 : 72.05%"
"[ 무엇보다 접기 전에 시트 내리는 한단계가 번거로울 뿐.손잡이 스위치 눌러 폴딩], 긍정 텍스트 확률 : 52.08%"
"[ 우리 아이가 사용할 유모차의 정석와이업참 자신감 넘치는 광고문구라 생각했는데사용해보니까 정말 이 가격에 이 성능 아주 만족스러운 제품인 것 같아요], 긍정 텍스트 확률 : 73.86%"
"[이번 주말], 긍정 텍스트 확률 : 65.76%"
"[ 사실 사러 가기 전까지만 해도시크롤리팝으로 사야지 하고 갔는데가볍고 양대면되고 기내반입된다길래휴대용유모차 태워도 되겠다 싶어서 맘바꿈..⚠️⚠️아 비록 저는 와이업지니를 구매했지만], 긍정 텍스트 확률 : 73.28%"
"[ 원까지 할인되는거 본 적 있으니], 긍정 텍스트 확률 : 82.21%"
"[ ㅠㅠ몇번이나 유모차 끌겠니 싶어서 양대면 포기롤리팝 쓰다간 또 휴대용유모차 살거 같았다.이제 유모차에 돈쓰고싶지 않단 말이다...ㅠㅠㅠㅠ ], 긍정 텍스트 확률 : 86.36%"
"[기내반입 유모차라 그런가 자리차지 또한 많이 안한다. 비행기 몇번이나 태울진 모르겠지만올해 계획하고 있는 두번의 여행에 잘 가져가봐야지 ], 긍정 텍스트 확률 : 77.75%"
"[ 이게 은근 불편해요.. 우리 아가 소중이 괜찮나 걱정도 되고], 긍정 텍스트 확률 : 54.31%"
"[짐이 또 한보따리잖아요. 혹시 모를 여분옷에 물티슈에 손수건], 긍정 텍스트 확률 : 70.45%"
"[첫째 모모때 ], 긍정 텍스트 확률 : 67.52%"
"[살때까지 엄청 잘 타고 다녔는데 살 터울의 두근이는], 긍정 텍스트 확률 : 87.66%"
"[ 급히 여행용 기내반입유모차로 구매하기로 마음 먹고 ], 긍정 텍스트 확률 : 66.25%"
"[내가 직접 빠르게 구매한 와이업 올뉴지니 모델입니다], 긍정 텍스트 확률 : 66.81%"
"[ 가지 색상중에서 ], 긍정 텍스트 확률 : 82.38%"
"[ 현대에서 구매하는게 가장 착한 가격이라 ], 긍정 텍스트 확률 : 52.17%"
"[편안한 원터치 폴딩 가능언제 어디서나 혼자서도 들고 다닐수 있는 가벼운 휴대성], 긍정 텍스트 확률 : 85.89%"
"[ 장바구니도 그동안 사용했던 것들보다 공간이 넓직해서아주 마음에 쏙 듬 휴대용 중에서는], 긍정 텍스트 확률 : 84.78%"
"[나는 개인적으로 만족하는 편임], 긍정 텍스트 확률 : 68.12%"
"[ 단 풀차양막 덕분 에우리 두근이이 눈부심을 막아줄수도 있고 ], 긍정 텍스트 확률 : 53.02%"
"[ 확실한 자외선 차단을 도와줄 수 있는 모델이라 마음에 쏙쏙 들어요 . ], 긍정 텍스트 확률 : 81.41%"
"[ 우리아가 시승식 해보니 ], 긍정 텍스트 확률 : 52.97%"
"[아주 마음에 쏙 드는듯 등받이 조절도 되는 덕분에 ], 긍정 텍스트 확률 : 67.10%"
"[ 아이들 수면할때도 걱정없어서 더 마음에 쏙 구매당시 사은품으로 전용식판도 잘 사용할 수 있을것 같고 다음달에 떠나는 해외여행에서 ], 긍정 텍스트 확률 : 97.87%"
"[ 부가부], 긍정 텍스트 확률 : 56.44%"
"[일단 처음들어본 이름들 많이도 생각해놨더라고요ㅎㅎㅎㅎ저희가 일단 분명 베이비페어에 가면 더 저렴하게 구매도 가능했지만 시간도 시간이고조용히 보고 싶어 산본 맘스맘으로 결정가서 이것저것 다타보고 설명듣고와이프와 신중히 결정 그래서 결정내리게된 휴대용 유모차는와이업 올뉴지니ㅎㅎㅎㅎㅎ기내반입도 되고 가볍고 휴대하기가 너무 편하새 구매했죠 ], 긍정 텍스트 확률 : 98.19%"
"[ 산본 맘스맘엔 유모차 뿐만이 아니라 용품들도 어마어마하게 많더라고요ㅎㅎㅎ ], 긍정 텍스트 확률 : 53.74%"
"[ 와이업 올뉴지니를 선택한 저희는 잠깐 기다리는 동안 사진을 찍었어요ㅎㅎ ], 긍정 텍스트 확률 : 85.86%"
"[ 너무 막크진 않지만 옹골차게 있을건 다있었죠ㅎㅎㅎ그리고 마침내 저희 유모차가 도착ㅎㅎ ], 긍정 텍스트 확률 : 94.17%"
"[ 저희 딸 지우가 너무 관심을 갔네여ㅎㅎㅎ ], 긍정 텍스트 확률 : 54.99%"
"[ 마지막으로기내반입이 가능한 이 휴대용 유모차 와이업 올뉴지니를 장], 긍정 텍스트 확률 : 72.79%"
"[ 단점을 간략하게 말씀드리자면 장점은 첫번째 차양막이 끝까지 내려갑니다. 동영상에도 나와여두번째는 핸들링이 좋아여 만원대와 비교해도 쫌 아쉬움정도??그정도뿐이에여요요가 확실히 핸들링이 좋지만 나머지는 모 다 비슷한거 같아요제개인적인생각입니당세번째는 장바구니가 큽니다ㅎㅎ네번째론 시트가 높아서 허리를 보호하기에도 좋은거같고다섯번째론 등받이 각도가 좋더라고요오늘 딸 지우를 태웠을때 라이너를 빠방한거를 해서 그런지 몰라도 도까지 등받이가 돼는데 유모차 라이너하니깐 완전 도가 되서 딸 지우가 티바를 잡고 다니는데 편하게 신나게 다녔죠ㅎㅎ마지막으론 폴딩 언폴딩이 한손으로 약간 힘줘서 가능 해결됩니다...이모든건 다 저의 개인적인 생각이고용단점은 등받이를 다 내려야만 폴딩이 된다는점이점 빼곤 그닥 크게 단점을 찾아볼수 없는거 같아요가격 대비 최고인듯해여좋은거 좋은거 하지만 이 가격대에도 정말 이렇게 좋을 줄 몰랐어요와이프 역시 주변 사람들 좋은거 끄는 분들도 많을텐데가격대비 성능대비 생각해줘서 감사할 따름이네여ㅋㅋ아 그리고 안쓴게 있는데 후기를 어디다 쓰면 방충커버 준다는데 블로그는 아니라네여ㅠㅠㅠㅠㅠㅠㅠ아무튼 개월만에 이렇게 휴대용 유모차 와이업 올뉴지니 구매해서 천만 다행인거 같아요 제가 만약 귀찮아서 아라서 사라고 했음또 개월은 걸렸을듯ㅎㅎㅎ암튼 저의 유모차 구매 후기 이렇게 나마 올려봅니다.이글은 저희 와이프도 같이 보니깐 물어보실부분 있으시면 물어보세여상세히 알려드립니다.돈받고 하는거 아니고 제발 블로그 사신다는 분들 문자 안왔음 하네여ㅠㅠㅠㅠ그돈 없어도 돼니 제발 연락하지말아주세요ㅠㅠㅠㅠㅠ.본글은 와이프와 산본 맘스맘 가서 일시불로 구매한 후기이며], 긍정 텍스트 확률 : 72.98%"
"[블로그와 저의 펄마켓에 대한 자료로 쓸뿐입니당ㅎㅎ ], 긍정 텍스트 확률 : 85.90%"
"[양대면이 가능한 절충형 유모차를 사용하던 중이었는데], 긍정 텍스트 확률 : 64.38%"
"[ 와이프가 사용하기에는 기존 유모차의 무게문제도 있었고], 긍정 텍스트 확률 : 53.07%"
"[또한 등받이 각도가 도라는게 마음에 들어서 구매하게되었네요.키로 차이는 생각보다 매우 많이 났고기존은 프레임만 .키로였습니다.양대면이 가능했던 장점을 가지고있던 절충형 유모차는 접는게 매우 불편했었는데휴대용 유모차인 와이업 올뉴지니는 접고 피는것도 간편해서 구매후 가장 장점이라고 생각하는 부분입니다.특히], 긍정 텍스트 확률 : 97.86%"
"[가장 중요한 핸들링도 되게 잘 나갑니다.고민하시는 분들에게 추천합니다. ], 긍정 텍스트 확률 : 76.17%"
"[ 일단 기내반입이 된다는 점이 제일 맘에 듬. 나는 여행을 사랑하는 녀자므로.. 물론 애가 크면 가야지 하는 생각은 가지고 있지만], 긍정 텍스트 확률 : 92.90%"
"[어른들과 함께가는 가족여행 단위면 결국 어린애를 끌고 갈수 밖에 없을듯함. 모닝 뒷트렁크에도 들어가니 정말 휴대용 유모차 중에 와이업 올뉴지니를 선호 할수 밖에 없을듯..그리고 기본 구성품에 고리에 컵홀더에 식판까지 포함다만], 긍정 텍스트 확률 : 61.35%"
