"[휴대용 유모차기내반입 유모차와이업 올뉴지니 ], 부정 텍스트 확률 : 89.07%"
"[기대가 많았던 폴딩에 있어서는 아이를 앉고 하기엔 불편함이 약간 있었고], 부정 텍스트 확률 : 70.71%"
"[폴딩 시 헤드부분 천이 바닥에 닿는게 가장 큰 흠으로 느껴졌어요. 한번은 와이업 올뉴지니로 지하철을 이용해보았는데], 부정 텍스트 확률 : 54.79%"
"[엘리베이터가 수리 중이거나 없을 경우 아무리 휴대용 유모차라 할지라도 한계점이 있어서 힘들었어요.이제 세부적으로 장단점을 말해볼게요. .디자인디자인이 깔끔하고 좋아요. 색상도 컬러로 어떤 색상을 선택할지 고민이 될 정도였어요. .가격가격은 만원 초반대이며], 부정 텍스트 확률 : 93.37%"
"[비슷한 기능을 가진 제품들은 대부분 비슷한 가격대였어요. 한달동안 사용해보니 가성비는 잘 모르겠네요. 엄청 만족스럽진 않은 것 같아요. .기능기능 부분에 대해서는 부분적으로 장단점을 말해볼게요.폴딩언폴딩장점폴딩과 언폴딩이 쉬워요. 손잡이에 달린 버튼을 누른 상태로 앞쪽으로 밀어 눌러주기만하면접혀요. 폴딩 후 자체 스탠딩이 가능해요. 벽에 기댈 필요가 없어요. 그 덕에 보관이 용이해요.폴딩 후 안전바를 잡고 캐리어처럼 끌고 다닐 수 있어요. 단점폴딩 시 바닥에 눕혀진 상태로 마무리가 되기 때문에 허리를 숙여서 잡아야해요. 아이를 한손으로 들고 캐리어를 잡아올리기는 좀 무리가 있어요. 아직 혼자 서있지 못한 아기를 데리고 폴딩을 하기엔 좀 힘들 수 있어요폴딩을 할려면 안전바를 내리고 등받이는 완전히 눕힌 상태로 해야함. 등받이를 다 눕히지 않으면 폴딩 시 붕뜨는 모양이 되요.언폴딩 시 제대로 다 안펴지고 굽혀질 때가 간혹 있어요. 활짝 힘껏 펼쳐야 하는데 무릎으로 등받이를 밀어주면서 펼치면 수월해요..폴딩 후 세워둘 때 아기 머리부분 천이 바닥에 닿여요. 당연히 더러워지겠죠..ㅠㅠ 이건 너무 큰 단점이라 구매할 때 엄청 고민했던 부분이에요.또한 폴딩 후 캐리어처럼 끌고 다닐때], 부정 텍스트 확률 : 99.05%"
"[이 망을 가려주는 천에 자석도 달려있어 고정이 가능해요.단점아직은 없어요. 차양막 하나는 정말 최고에요 시트등받이장점시트가 높은 하이포지션이라는데], 부정 텍스트 확률 : 64.22%"
"[아이의 크기 중 뭐가 문제인진 몰라도 아이가 앉았을 때 미끄러지는 느낌이에요.시트가 높다 보니 코너를 돌 때 아이가 쏠리지는 않을지 조금 걱정되기는 해요. 아이가 앉아있는 상태에서 등받이를 조절할려면 아이 무게 때문에 힘들긴 해요. 이건 제품의 단점 보다는 어쩔 수 없는 문제ㅠㅠ 안전바안전띠장점개의 버클과 안전바가 더해져 더 안전감 있어요단점안전바가 좌우로 많이 흔들려요. 수납장점폰과 지갑 같은 간단한 소지품을 담을 수 있는 간단한 주머니가 손잡이 아래에 있어 좋아요.등받이 뒤쪽에 가벼운 물건을 수납이 가능하고 아래 바구니가 시트와 거리가 멀어 높이감 있는 물건도 수납이 가능해요.컵홀더가 포함이라서 좋아요. 은근 필요하잖아요?ㅎㅎ 단점아래 바구니에 달려있는 자석이 너무 약해요 자석이 모양을 유지해주지 못하고 늘 펼쳐지네요 있으나마나한 느낌ㅠㅠ손잡이에 가방걸이가 없어요. 전 따로 준비해서 걸어뒀어요 바퀴손잡이기타장점바퀴가 굉장히 부드러워서 핸들링이 좋아요.턱을 올라갈 때 도움을 줄 수 있는 발 지지대가 있어서 좋아요.손잡이가 높아서 편한데], 부정 텍스트 확률 : 76.74%"
"[키가 인 신랑에게도 적당하다고 하네요.단점아무래요 바퀴가 작다보니 작은 턱을 올라갈 때도 늘 발로 밀어줘야 해요. .?휴대용유모차휴대용유모차.?와이업올뉴지니와이업올뉴지니.?한달후기한달후기.?직접구매직접구매 ], 부정 텍스트 확률 : 99.16%"
"[.두찌가 개월 들어가며 기존에 쓰던 디럭스가 불편해 휴대용유모차를 찾던중.국민유모차라고 알려진 와이업 올뉴지니에대한 정보를 얻게됐고 여러후기를 본 후.구입해봤습니다.. ], 부정 텍스트 확률 : 98.84%"
"[ ...디럭스는 세워서 앉히면 불편한지 잘 안앉으려고.했는데 와이업 올뉴지니는 편안한지 외출했을때 두시간도 넘게 잘 앉아있더라구요..휴대용유모차라 그런지 폴딩도 쉽고.트렁크에 넣음 공간도 많이 차지하지 않아서.사길 잘했다는 생각을 했습니다.. ], 부정 텍스트 확률 : 87.97%"
"[ .. .?휴대용유모차휴대용유모차.?와이업올뉴지니와이업올뉴지니기내반입용유모차 ], 부정 텍스트 확률 : 96.78%"
"[우리 솔솔이에게 유모차는 벌써 이미 대가 있어요지비마리스 세미디럭스절충형지비마리스 휴대용콤비 휴대용그런데디럭스의 경우 개월이 되니 무거워서...갖고다니기가 힘들어지더라구요지비마리스 휴대용은 진짜 가볍고 폴딩되면 그 어떤 유모차보다 작아지지만문제는.. 그만큼 약하다는거 ㅠㅠ진짜 딱 해외갈때만 좋은것 같아요콤비의 경우 외함미댁에 갖다놔서... 평소엔 쓸수가 없구요그래서 결국 하나 구매하자 해서 저희 동네에 있는 베이비플러스 화곡점 에서 직접 방문해서 구매했어요 ], 부정 텍스트 확률 : 89.63%"
"[ ▲택배온거 아니구요 ㅋㅋㅋ오프라인 매장베이비플러스에서 직접 구매해서 가져왔어요온라인이 더 저렴할줄알고 오프라인 매장 베이비플러스 가서 실물로 보고인터넷 최저가로 구매하려고 했어요근데 매장 직접 갔는데 가격대가... 똑같거나 오히려 더 저렴해요그래서 그냥 매장에서 구매했어요색상은 소프트 블랙 으로 구매 ], 부정 텍스트 확률 : 94.60%"
"[ ▲이건 사은품으로 주는 제품왼쪽부터유모차 선풍기], 부정 텍스트 확률 : 94.34%"
"[가방걸이], 부정 텍스트 확률 : 53.29%"
"[컵 꽂이 ], 부정 텍스트 확률 : 53.29%"
"[ ▲와이업지니 차양막이 진짜.. 엄청 길어요사방에서 햇빛가려줄것 같아서 만족차양막 윗쪽에 자크풀면 더 쑥 길게 내려온답니다. ], 부정 텍스트 확률 : 90.72%"
"[ ▲개월 남자아기 앉았을때 싸이즈에요유모차 좌우길이가 넓은편이어서 아이가 커도 충분히 쓸 수 있을 것 같아서 고민하던 사 제품을 포기하고와이업지니 유모차를 구매한거랍니다.와이업지니 유모차는등받이가 도까지 가능한데전 이게 너무 너무 좋아요아이가 기대서 앉는걸 싫어하거든욬ㅋㅋㅋ밖에 나가면 다 구경하려고하고 손뻗어서 어어이러면서 아는척하고 이러는데 등받이가 딱 세워져있으니아이도 더 편해해요 또 등받이 조절이 끈이 아니라서 넘 좋아요외함미집에 있는 유모차는 끈조절인데그게 참... 한번에 조절이 안되더라구요쪼그리고앉아서 두손으로 막 조이고...ㅠㅠ근데 원하는 각도로 조절도 잘 안되고.한번에 탁 할 수 있는 등받이 조절 버튼이 쥔짜 마음에 들어요또 핸들링사 핸들링이 그렇게 좋다고...근데 와이업지니도 그렇게 밀리지않아요전 고양스타필드가서 사랑 와이업지니 둘다 핸들링해보고 와이업이 핸들링 더 좋다고했는데판매하시는 분께서 아무래도 사가 더 비싸니 사 핸들링이 더 좋다고...ㅋㅋ제 느낌탓이었을까요?ㅋㅋㅋ음.. 근데그렇게 차이가 심하지 않아요뭐 비싸니 좋을것이다 라고 생각할 수있는데와이업지니 유모차 핸들링도 괜찮아요또 윰차 밑에 장바구니이거도 넘 편해요물건넣는 초반 입구쪽이 펼쳐져요그럼 물건 안떨어지냐고용??저희 아들 등원할때 오르막길 올라가야하는데한번도 가방같은거 떨어져본적이 없어요만족만족 와이업지니 잘 구매한것 같아요 아 왜 이걸 이제 샀나몰라요빨리살걸 ], 부정 텍스트 확률 : 98.95%"
"[.우리 둥이들에게는 디럭스 유모차가 두대나 있다..하나는 내가 중고로 구입한 부가부동키..하나는 물려받은 줌..이것들에 대한 후기는 차차 올리기로 하고.....오늘 적어볼 유모차는 휴대용으로 장만한.?와이업올뉴지니와이업올뉴지니..디럭스유모차의 장점은 기가막힌 핸들링과 흔들림없는 안정감이겠다..그러나 최대 장점은 무게.그래서 나도 둥이들이 어느정도 크면서부터.?휴대용유모차를휴대용유모차를 찾기 시작했다... .?휴대용유모차는휴대용유모차는 참 많다..하지만 그 중 둥이들을 위한.?결합형유모차는결합형유모차는 생각보다 별로 없다는 사실..사실.?휴대용쌍둥이유모차를휴대용쌍둥이유모차를 살것인가 결합형을 살것인가 고민 오백번했는데], 부정 텍스트 확률 : 99.99%"
"[ .그리고 접으면 이렇다. ], 부정 텍스트 확률 : 51.65%"
"[ .등받이 각도는 단계 조절되는데], 부정 텍스트 확률 : 67.71%"
"[ .도로 앉는 각도], 부정 텍스트 확률 : 62.92%"
"[살짝 눕는 각도], 부정 텍스트 확률 : 53.29%"
"[그리고 사진과 같이 눕는 각도도 단계..내가 찾아본.?휴대용유모차휴대용유모차 중 저렇게 많이 눕혀지는 유모차 없었음..눕혀놓으면 아주 잘 잡니다.ㅎㅎㅎ. ], 부정 텍스트 확률 : 52.37%"
"[ .차양막 지퍼 열면 앞에선 만땅 가려져서 안보이지만], 부정 텍스트 확률 : 52.31%"
"[ .저렇게 매쉬창이 있어 아기상태 확인 가능..또 유모차 등받이부분에 세로로 길게 지퍼 두개 있는데], 부정 텍스트 확률 : 81.88%"
"[ .발받침부분..쭉 올리면 아기 때 쓰기 좋고.좀 크면 발받침 내려서 아이가 발을 내리도록 할 수 있다..저기 아래에 따로 발받침이 또 있어서 큰 아이들이 발 올려놓을 수도 있다는.어떤 유모차는 발받침 따로 사야한다던데.... ], 부정 텍스트 확률 : 95.43%"
"[ .사진찍는데 침범한 하둥..이래서 사진들이 조금씩 흔들림.....바는 세우거나 눕히거나 할 수 있어 아이들 태울 때 편리하다..바빼고 식판 끼울수도 있다..난 식판 그냥 받았지롱. ], 부정 텍스트 확률 : 76.44%"
"[안녕하세요 날씨가 점점 추워지니 아이랑 집에만 있는 시간이 점점 늘어 나네요낮에는 햇살이 따뜻하니 산책도 좀 하고 외출도 가끔 해야겠다 싶은데 나 되는아이를 힙시트로 안고 다니기도 이제 버겁고 저 혼자 무거운 디럭스유모차를 끌고 나가기도 힘들어서 큰맘 먹고 가벼운 휴대용유모차를 하나 구입해야겠다 싶어서 베이비플러스 파주점으로 가보았답니다. ], 부정 텍스트 확률 : 84.02%"
"[ 저는 유아용품을 구입할때 먼저 인터넷으로 각 제품들을 다양하게 검색부터 하는편이거든요사용했던 엄마들의 후기도 읽어보고 장단점을 나름 파악한 뒤에 매장에 가서 직접보고 구입을 해요 ], 부정 텍스트 확률 : 65.69%"
"[ 시중에는 엄청나게 많은 종류의 휴대용유모차들이 나와있었어요가격도 천차만별이였구요 ], 부정 텍스트 확률 : 56.40%"
"[ 어차피 베이비플러스 파주점은 전국에서 판매되는 유아용품들을 최저가로 적용시켜주기 때문에 눈탱이를 맞을 걱정은 하지 않아도 되거든요ㅋㅋㅋ출산준비할때부터 이곳을 들렀으니까 얼추 년정도 뻔질나게 다녔던거 같아요 ], 부정 텍스트 확률 : 58.50%"
"[ 아이용품을 구입하고 나서 혹시나 하는 마음에 인터넷 판매가격을 비교해 봤는데자그마한 손수건 하나 조차도 베플이 훨씬 싸더라구요 ], 부정 텍스트 확률 : 79.13%"
"[ 주위에 결혼한 친구들이나 애기엄마들에게 그동안 이 착한매장을 소개도 엄청많이해드렸어요좋은건 함께 나눠야죠 ], 부정 텍스트 확률 : 79.27%"
"[ 특히 유모차나 카시트 같은 것들은 잠시 쓰고 마는 것이 아니기 때문에 아무거나막 사면 안되자나요?인증받은 브랜드 제품을 사자니 가격도 무시 못하겠고... ], 부정 텍스트 확률 : 95.67%"
"[저는 항상 베이비플러스 파주점으로 온답니다.], 부정 텍스트 확률 : 69.55%"
"[ 진짜 매장에는 없는 거 빼곤 거의 다 있거든요출산용품은 할인도 엄청 많이 해주고], 부정 텍스트 확률 : 93.04%"
"[ 회원가입을 하면 포인트나 적립을 해주구염.포인트를 잘 활용만 한다면 왠만한 용품하나는 공짜로 생긴다지요 ], 부정 텍스트 확률 : 66.83%"
"[ 손바닥만한 배넷저고리를 입혔던 때가 언제였는지 기억도 안나네요신생아때만 바짝 입히는 내의라 몇벌 구입을 하지는 않았는데], 부정 텍스트 확률 : 90.24%"
"[ 베페나 인터넷 판매가를 보면 만원은 족히 하더라구요하지만 여기선 단돈 ], 부정 텍스트 확률 : 89.60%"
"[ 좀더 좋은 제품으로 사주고 싶다하시면 밤부베베코너로 오심 되구요대나무 추출물 원단으로 제작한 밤부베베 의류품들은 항균작용이 뛰어나 신생아에게입히기 적당하죠엄마들이 가장 좋아하는 국민출산용품인 밤부베베 전 제품을 이곳 매장에서 최저가로판매를 하고 있기 때문에 부담감은 이불], 부정 텍스트 확률 : 94.40%"
"[ 속옷], 부정 텍스트 확률 : 53.29%"
"[ 천기저귀], 부정 텍스트 확률 : 53.29%"
"[ 기저귀커버], 부정 텍스트 확률 : 53.29%"
"[ 거즈손수건], 부정 텍스트 확률 : 53.29%"
"[ 타올 등등만져보면 실크감촉같은 밤부베베 제품들이 최저가로 초특가세일까지... ], 부정 텍스트 확률 : 78.71%"
"[ 요즘 육아맘님들은 똑똑하게 아이를 키우고 알뜰하게 용품구입을 하니까몇달 사용하지 못하는 아기침대는 렌탈로 쓰거나 아예 건너뛰고 실용적인 범퍼침대를구입하는 경우가 많다고 해요저도 아기침대는 쓰지 않았어요산후조리를 하는 와중에 아이가 보채고 울때 침대에 누은 아기를 수시로 안고 눕히게되면 손목이랑 허리에 무리가 온다고 해서 그냥 범퍼침대에 폭신한 이불을 깔고 함께자기도 하고 수유도 하고 그랬어요침대 사이즈를 특대형으로 구입을 했기 때문에 아장아장 걸어다니는 지금도 침대에서놀이도 하고 잠도 자고 공간활용이 너무 실용적이라 좋은 것 같아요 ], 부정 텍스트 확률 : 99.57%"
"[ 우리아가가 태어나서 처음 맞는 장난감인 모빌이랑 딸랑이도 직접 재질도 확인해보고 흔들어 본 다음에 구입할 수 있어요인터넷으로 리뷰만 읽어보고 사는 거랑 차원이 다르죠출산선물로 딸랑이 세트가 들어왔었지만 흔들어보니 소리가 너무 크더라구요갓난아기에게 너무 시끄러운 장난감도 좋지 않거든요그래서 매장에 와서 적당한 크기로 소리가 나는 딸랑이를 새로 구입 했드랬죠치발기도 마찬가지구요이가 나기 시작하면서 치발기를 몇개나 샀는지 몰라요ㅋㅋ꼬맹이때부터 금방 실증을 내는 성격탓에 몇번 사용하지도 않고 내던져 버리는 통에주구장창 치발기를 사다 날랐어요ㅠㅠ ], 부정 텍스트 확률 : 85.13%"
"[ 젖병소독기도 육아템에 없어서는 안될 필수템이자 효자템이죠여러 브랜드 제품을 한 눈에 비교분석이 가능하니까 참 좋은 것 같아요진짜 갈등 많이 한 품목이였거든요사용후기를 아무리 읽어봐도 본인들이 사용하고 있는 제품이 다들 제일 좋다고만적혀있으니까 나중에는 멘붕이 오더라구요.좀 비싸더라도 스펙트라를 살까?아님 저렴하게 해님세대를 살까?몇일을 고민하다가 매장와서 살펴보고 유팡으로 최종결정을 했다능...ㅋㅋ ], 부정 텍스트 확률 : 99.22%"
"[ 매장 직원분이 각 브랜드 제품마다 장단점을 알려 주시고], 부정 텍스트 확률 : 77.12%"
"[ 특수분유], 부정 텍스트 확률 : 53.29%"
"[ 유기농과자], 부정 텍스트 확률 : 53.29%"
"[ 이유식 등저렴한 가격으로 판매를 하기 때문에 마트가는 것 보다 부담도 덜하고 편하구요 ], 부정 텍스트 확률 : 64.17%"
"[ 품목별로 가지런하게 진열이 잘 되어 있어서 원하는 물건을 쉽게 찾을 수 있어서좋아요쓸데 없이 넓은 매장에 가면 이거사고 저거사고 하느라 왔다 갔다 하다보면 시간만 왕창 잡아먹고 쇼핑을 마치고 집으로 돌아오면 녹초가 되기 일쑤죠], 부정 텍스트 확률 : 77.45%"
"[ 방안의 온도랑 습도를 체크하는 온습도계], 부정 텍스트 확률 : 55.82%"
"[ 아이키울때 없어서는 안될 체온계], 부정 텍스트 확률 : 85.32%"
"[ 아기전용 면봉], 부정 텍스트 확률 : 53.29%"
"[ 손톱가위], 부정 텍스트 확률 : 53.29%"
"[ 아기욕조가 이렇게나 종류가 많은 줄 미처 몰랐어요목을 가누지 못하는 신생아용 욕조는 목 부분에 받침대가 되어 있어 엄마혼자 목욕을시킬때 아주 편리하게 보이구요편안하게 서서 목욕을 시킬 수 있는 스토케 플렉시바시 욕조는 물 온도 체크 기능도있고], 부정 텍스트 확률 : 84.47%"
"[ 욕조 아래에 물빠짐 기능이 있어 완전 핫템이네요만원짜리 욕조부터 쭉가격별로 다양하니 고르는 재미도 있구요 ], 부정 텍스트 확률 : 70.76%"
"[ 매장에 올때마다 느낀거지만 할인행사를 자주 하는 것 같더라구요처음에는 안팔려서 떨이 판매하는 건가...?라는 생각을 했었는데], 부정 텍스트 확률 : 57.01%"
"[ 싸개류], 부정 텍스트 확률 : 86.93%"
"[ 블링킷], 부정 텍스트 확률 : 53.29%"
"[ 방수요 등 디자인별로 브랜드별로 두루두루 갖춰져 있으니입맛데로 원하는 제품으로 겟따로 할인을 더 하는 상품들이 있으니 알뜰하게 구입을 하심 좋을 듯 해요 ], 부정 텍스트 확률 : 99.19%"
"[ 년 일 연중무휴로 운영을 하고 있어 접근성도 아주 좋아요육아박람회처럼 행사날을 손꼽아 기다리지 않아도 된답니다말난 김에 매장 영업시간도 알려드릴께요오전 시부터 시까지가 영업시간인데 년동안 들러보니 오전시간대랑 오후 시사이가 그나마 손님이 없어서 쇼핑하기 딱 좋더라구요 요건 꿀팁. ], 부정 텍스트 확률 : 99.11%"
"[ 서울쪽에 사는 친구가 있는데 아이가 이제 개월로 접어들어 저희 애 보다는 달이빠르거든요이 친구는 이곳에서 인터넷이랑 전화예약구매가 가능하니까 왠만한 유아용품들은 직접방문하지않고 편하게 쇼핑을 하고 있더라구요그래도 저는 운동삼아 아이와 함께 매장으로 출두를 하는 편이구요그러다보니 가벼운 휴대용유모차가 넘나 절실한거 있죠?유모차를 두대씩이나 살려니 무엇보다 가성비가 좋은 제품으로 사야겠더라구요 ], 부정 텍스트 확률 : 85.05%"
"[ 리안이나 타보도 리스트에 올랐었는데], 부정 텍스트 확률 : 82.74%"
"[ 매장에 와서 와이업올뉴지니를 보는 순간 첫 눈에 반해버렸지 뭐에요가지 제품 중에선 타보가 약간 쌌었어요그치만 유모차라는게 디자인도 무시 못하는 부분이자나요 ], 부정 텍스트 확률 : 53.35%"
"[ 뒷 바퀴], 부정 텍스트 확률 : 53.29%"
"[ 컵홀더], 부정 텍스트 확률 : 53.29%"
"[ 가방걸이폴딩은 손잡이의 버튼을 눌러서 아래로 밀어주면 쉽게 접을 수가 있구요디럭스만 태우고 다니다가 이렇게 심플한 유모차를 보니 완전 신세계ㅋㅋㅋ ], 부정 텍스트 확률 : 92.12%"
"[ 핸들링이 왜 이렇게 부드럽고 안정감이 있대요??등받이 각도는 단계로 조절이 되는데 간단히 레버를 위로 올리면 지갑이랑 핸드폰같은 소지품을 넣을 수 있는 포켓이 따로 있구요매쉬창은 통풍이 잘 되는 소재라 이부분도 합격 ], 부정 텍스트 확률 : 83.72%"
"[ 직원분께서 아이를 직접 태워보라고 하시길래 와이업올뉴지니에 바로 탑승시켜 매장을한바퀴 돌아 봤는데 핸들링 손맛도 좋고 묵직하니 아이도 편안해 하더라구요기존에 사용하던 디럭스랑 비슷한 승차감이 느껴져서 깜놀와이업올뉴지니의 최대 장점은 등받이를 완전히 눕힐 수 있는 점이 아닐까 싶네요휴대용유모차에 아이들이 목이 꺾어진 채로 잠들어 있는 모습을 많이 봐왔었는데], 부정 텍스트 확률 : 95.94%"
"[ 요 녀석이라면 이제 아이가 유모차에서 잠들어도 편안하게 눕혀서 재울 수가 있으니너무 좋은거 있죠?가벼운 유모차를 구입하려고 하시는 엄마들께 정말 적극적으로 추천하고 싶어요단 베이비플러스 파주점으로 오셔야 가심비 좋게 할인도 받아가며 깜짝 놀랄만한 가격으로 구입할 수 있겠죠?베이비플러스 파주점 인스타그램을 통하면 더 많은 제품에 대한 제품들을 더 빨리확인할수있어욥 .... ], 부정 텍스트 확률 : 77.94%"
"[개월이 되면서], 부정 텍스트 확률 : 70.97%"
"[이제 유모차에만 안앉아있고 걸어다니려는 아기.유모차가 없으면 또 안되기때문에], 부정 텍스트 확률 : 85.25%"
"[유모차를 끌고 다니면서 아기를 케어하기가 점점 힘들어지는 이순간], 부정 텍스트 확률 : 81.87%"
"[ 디럭스 유모차에서휴대용 유모차로 변경할 때가 되었다때마침 킨텍스에서 베이비페어가 개최되어], 부정 텍스트 확률 : 92.97%"
"[남편이랑 주말에 휴대용 유모차 투어를 하고], 부정 텍스트 확률 : 92.65%"
"[ 최종적으로 선택한 휴대용 유모차는 바로바로 와이업올뉴지니], 부정 텍스트 확률 : 59.55%"
"[ 가성비 가장 좋았던 휴대용 유모차로 우리는 와이업올뉴지니를 선택했다. ], 부정 텍스트 확률 : 77.16%"
"[ 집에 유모차만 대...................누가보면 쌍딩이 키우는줄 알겠다 ], 부정 텍스트 확률 : 74.18%"
"[ 구매하고 나서 거의 여일 뒤에 받아본 와이업올뉴지니배송이 밀려서? 한참뒤에 받아볼수 있었다. 개봉박두 ], 부정 텍스트 확률 : 88.53%"
"[ 박스 열자마자 잘 접혀져있는 유모차. ], 부정 텍스트 확률 : 67.31%"
"[ 구성품도 요렇게 같이 받았는데], 부정 텍스트 확률 : 51.59%"
"[ 이때 컵홀더가 좀 찌그러져있었음. 소재가 막 엄청 딴딴한 소재가 아니라 조물조물해주니 동그랗게 만들어짐 ], 부정 텍스트 확률 : 94.48%"
"[ 내가 고른컬러는 스페이스 블랙이라는 컬러로 살짝 블루컬러가 도는], 부정 텍스트 확률 : 80.01%"
"[ 조립?은 매우 쉬웠다.사실 조립이라고 할것도없을정도로...바와 바퀴만 꼽아주면 끝... ], 부정 텍스트 확률 : 97.57%"
"[ 뒷바퀴는 분리되서 오는데], 부정 텍스트 확률 : 76.36%"
"[그냥 구멍에 맞춰 딸깍 소리날때까지 눌러주면 끝이다.매우 간단한 조립이었다?휴대용이라 바퀴에 서스펜션은 따로 없다는게 조금 충격적이었지만...뭐 이제 너 신생아 아니니까..... ], 부정 텍스트 확률 : 95.28%"
"[ 와이업올뉴지니의 좋은점들이 참 많았는데], 부정 텍스트 확률 : 50.49%"
"[ 그 점들은 실사용기에서 더 자세하게 풀어보겠다일단 뒷부분 메쉬부분도 참 좋았는데.잘때 땀을 엄청 뻘뻘 흘리는 우래기...차양막 다 막아두면], 부정 텍스트 확률 : 87.19%"
"[유모차 찜통속에서 옷이 다 젖어버리고 만다.그래서 뒷부분 메쉬커버를 열어주면], 부정 텍스트 확률 : 79.60%"
"[ 티비삼매경 중인 아들], 부정 텍스트 확률 : 72.09%"
"[ㅋㅋㅋㅋ조립 다 하고 앉혀놔줬는데], 부정 텍스트 확률 : 90.51%"
"[그러거나 말거나 티비보는데 정신팔렸다 가장 좋았던 부분은 바로 자세유모차에 앉은 자세가 반듯하게 되는것 같아서 좋았다.바를 잡고 허리를 꼿꼿히 펴서 앉게 되던데...사용하던 부가부 비은... 이상하게 드러눕..눕하는 앉은 자세여서..허리에 매우 안좋아보였던 부분이 있었다. ], 부정 텍스트 확률 : 99.12%"
"[ 어쨋든간에], 부정 텍스트 확률 : 59.00%"
"[언박싱 ㅋㅋㅋ 개봉기], 부정 텍스트 확률 : 87.74%"
"[매우 쉽게 클리어 한뒤], 부정 텍스트 확률 : 81.06%"
"[...갤 베베의.번째 유모차 되시겠다. ], 부정 텍스트 확률 : 61.82%"
"[ ....처음에 산 휴대용유모차 너무맘에 안들어서.중고로 절충형 사서 진짜 너무너무잘쓰고.외출용 차에넣고다닐 절충형 하나 더샀으나 그닥 필요없어서 다시되팜...아기가 점점 자라다보니.절충형이 거추장스럽...그리하여 유명하다는 사 휴대용 샀으나.사고서 일주일만에 등받이고장으로 환불.백화점에서 등받이 고장나서 잠든아기 눕히지도 못하고], 부정 텍스트 확률 : 99.95%"
"[폴딩도 안되서 차에 겨우쑤셔넣고 왔던 열뻗치던 추억 ㅡㅡ아오..........그리하여 또다시 폭풍검색의 길로...이래저래 괜찮다는..와이업 올뉴지니로 결정..그레이색상..기존 유모차 검정색썼었을때 과자부스러기며 먼지가 너무 눈에띄어서 이번에는 밝은색으로 샀다......사진은.오늘 백화점에서 아가 잠들었을때.그냥 마구찍었음. ], 부정 텍스트 확률 : 99.90%"
"[ .....유모차 장바구니 편리성은.내 유모차 선택조건 순위였음..기존 쓰던 윰차 장바구니보다는 작지만 이정도면 괜찮음. 끝부분이 펼쳐져서 짐 넣고빼기 편함. ], 부정 텍스트 확률 : 91.15%"
"[ ....바.바가 접히니 편함.핸드폰 거치대 사서 외출시 평화를 맛보고 있음 ], 부정 텍스트 확률 : 56.64%"
"[ ....아기가 잘때.등받이 최대로 젖혀져서 눕기 딱좋음 ], 부정 텍스트 확률 : 64.64%"
"[ .....컵홀더가 생각보다 탄탄. 잘쓰고있음 ], 부정 텍스트 확률 : 81.03%"
"[ .....도 등받이.등받이 길이가 타 유모차들보다 길어서 좋다...그리고 의자높이도 타 유모차보다 높음..유명한 사와도 비교했었는데 등받이길이], 부정 텍스트 확률 : 66.65%"
"[ ....급 사진찍어 리뷰쓴거라.남들처럼 디테일한 리뷰는아니지만], 부정 텍스트 확률 : 87.69%"
"[ .정말 맘에들어서 리뷰 쓴다...엄청 고르고 비교해본 결과.정말 만족스럽다..핸들링. 간편폴딩은 기본.디자인도 예쁘고 ♡..절충형쓰다가 휴대용쓰니 넘나 편하고 좋은것.ㅎㅎ.... 네이버에서 구매. 휴대용선풍기 컵홀더 사은품.. 식판도 추가로 구매해서 잘쓰고있다. 식판사진이없구나.... ], 부정 텍스트 확률 : 75.55%"
"[신생아 시절에는], 부정 텍스트 확률 : 56.36%"
"[디럭스 유모차를 물려받아 썼고절충형 유모차를 구매해서 잘 쓰다가 유모차 거부가 심해져서다른 유모차를 알아보기 시작했다. 외출 시 차에 싣고 다니는데 자리차지도 덜 하고], 부정 텍스트 확률 : 67.49%"
"[동네에서도 편하게 쓰려고 휴대용 유모차 구입하기로 결정베페도 가보고 가격 비교도 해보았는데집 근처 육아용품점이 가깝고 가격도 좋아서 바로 구매휴대용유모차 비교도 했지만], 부정 텍스트 확률 : 95.58%"
"[처음부터 딱 사고 싶었던 모델이 있었다. 주위에는 거의 타보를 쓰는데 나는 별로 끌리지 않았고구매하러 가서도 바로 와이업 주세요라고 말했다. 아이 데리고가서 앉혀보지도 않고 구매함ㅋㅋㅋ절충형을 쓰고 있어서 휴대용을 꼭 사야하나 했었는데완전 만족하고 있음 만약 내가 휴대용 사게 되면 와이업 올뉴지니 살거야 했는데 아주 좋다직접 구매하고 써보고 남기는 후기입니다], 부정 텍스트 확률 : 82.07%"
"[.?수원용인육아용품점수원용인육아용품점.?영통베이비플러스영통베이비플러스.?와이업오프라인구매와이업오프라인구매베이비플러스는 온라인 최저가 이하로 맞춰준다는 말이 딱 써있었음유모차 모델 상관없이], 부정 텍스트 확률 : 96.48%"
"[ 와이업 올뉴지니는 잠 잘자는 유모차조금만 졸린 것 같으면 바로 유모차 태워서 재우기 ㅋㅋㅋ예전에는 유모차 타기도 싫어했는데 요즘은 타고 나가겠다고 하고잠도 잘자고 너무 잘샀다 진짜 ], 부정 텍스트 확률 : 87.15%"
"[.?와이업올뉴지니구성품와이업올뉴지니구성품기존 유모차보다 장바구니도 쓰기 편하고 넓고확장형이라 안쓸 땐 접어두면 된다], 부정 텍스트 확률 : 87.95%"
