"[ 경기 김포시 양촌읍 김포한강로 에 위치하고 있는데요드디어 내일 정식 오픈을 한대요], 긍정 텍스트 확률 : 60.46%"
"[ 바이오플라스틱이란? ], 긍정 텍스트 확률 : 51.89%"
"[ 콩 그리고 재활용 플라스틱을 통해], 긍정 텍스트 확률 : 60.72%"
"[산업재], 긍정 텍스트 확률 : 89.48%"
"[번영상을 꼭 보시고 조립하세요], 긍정 텍스트 확률 : 76.76%"
"[아그리고 일단 시트에서 이제 프레임으로 넘어가기전에제일중요한 이부분 시트와 프레임이 장착되는 부분이기도하구요 각도조절을하기위한 부분 ], 긍정 텍스트 확률 : 73.94%"
"[그린탐유모차의 장점중의 하나인것같아요 . ], 긍정 텍스트 확률 : 75.54%"
"[색감이 정말 너무이쁘지않나요 ? 인터넷으로 그냥봤을때보다 직접 받아보니 색감이 너무너무 이쁘더라구요 ? 아들둘이라 핑크로 할까말까 정말 망설였는데 .... 왠걸 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ아들둘이사용하기에도절대 나쁘지않은색감진짜 만약 알아보신다면 핑크강추할정도예요 ], 긍정 텍스트 확률 : 96.32%"
"[아이의 안전을위한 벨트까지장착도 편하고 아이가 위험하지않기위해서는 꼭 해주셔야하는거아시죠 ? 저는 가끔 큰애태우고는 귀찮아서 안하곤하는벨트..저희첫째는 무조건 타면 벨트착용을 해달라고하는안전주의자ㅎㅎㅎㅎ], 긍정 텍스트 확률 : 79.35%"
"[이제 완성을했는데요 너무이쁘지않나요 ? 첫째아이가 보면 냉큼 탄다고할까봐 ............ 첫째아이 어린이집간시간에 후다닥 완성해놨는데요아이가 집에와서 이걸보고 얼마나 좋아할지기대가되고 또 둘째아이태우고 얼른 나가고싶더라구요 ], 긍정 텍스트 확률 : 92.61%"
"[신상이 생겼으니 또 사용을해봐야겠죠 ? 기존에 사용하던 디럭스는 부피가 너무커서 ..... 차에싣는데 진짜욕나왔어요 ㅠㅠㅠㅠㅠ그래서 집근처에 탈때만 주로 사용하고 절대 이동용으로는쓰질않는데요 그린탐은 시트분리해서 프레임만폴딩하면정말 부피가작아서 이렇게 트렁크에 넣어다니기도너무너무 좋아요 저혼자 아이데리고 외출할때에도 아주 간편하게다닐수있어 더 좋더라구요 ㅎ], 긍정 텍스트 확률 : 91.68%"
"[날씨가 점점추워져서 어디를 갈까 고민하다가근처 코코를 왔는데요원래 누워있는거 싫어하는아이라서 ... 잘타줄런지걱정이었거든요 ㅠㅠㅠ 신생아때는 정말 잘타고다녔는데 일지나고 뒤집기시작하면서부터 애가 누워있을려고하질않아서 늘 아기띠하고다녔는데 ....... 이렇게 아주 곤히 잠들었네요 ?ㅎㅎㅎ], 긍정 텍스트 확률 : 63.38%"
"[제가 기존에 사용하던 디럭스같은경우에는 각도조절을하려면등받이부분만 뒤로 넘어가는 형태라서 앉아있으면 차양막이 아주 길게 내려오는데 눕히게되면 차양막이 조금은 짧아지게 되더라구요 ..등받이만 누워지게되니 ㅠㅠㅠㅠ 그런데 이제품같은경우에는 시트자체가 각도조절이되니앉았을때 누웠을때 차양막길이가 똑같아서 좋더라구요아이가 자는데에도 아주 편안하게 불빛을 가려주니아이도 잘자더라구요], 긍정 텍스트 확률 : 84.81%"
"[하나의 흠이있다면 ], 긍정 텍스트 확률 : 59.23%"
"[엄마보기를 하고있으면 각도조절은단계앞을보고있으면 각도조절은 단계로 가능해요. 요게 조금 아쉽긴하지만 .조금크면 앞보기로 하면되니까요아직 어린아이라서 이렇게 마주보고있어야지엄마아빠도 직접보면서 안정감이 들고 훨씬더 잘 앉아있더라구요아빠지금뭐하는거예요 ?라는 표정으로 아빠를 보고있는우리두찌 ㅎㅎㅎㅎ개월아이인데 아주 편안하게 잘있지않나요? ], 긍정 텍스트 확률 : 67.70%"
"[제일중요한건 바로 핸들링이죠 저도 첫째키울때에는 정말 몰랐는데 ..... 막상 애둘을키워보니아이하나는 안고 아이하나는 태우고 끌고가야되고 한손으로 끌어야되는 일이 많다보니까핸들링을 중요시할수밖에 없더라구요 ], 긍정 텍스트 확률 : 92.09%"
"[그런데 정말 끓어보고 대애애애애박 놀랐어요 진짜 너무너무 가볍고 핸들링이 장난아니예요], 긍정 텍스트 확률 : 85.85%"
"[그런데 그린탐은 정말 무게도 너무 가볍고 바이오플라스틱소재라촉감도 정말 남다르고 핸들링이 너무너무 좋아요아이가 타고있지 않은 상태에서도 핸들링을 해봤구요 ], 긍정 텍스트 확률 : 99.57%"
"[아이태우고도한손으로 밀어봤는데요 진짜 부드러워요뿐만아니라 가벼워서 너무좋아요아이가 타고있는데도 불구하고 진짜 가벼워요 아 ..... 이걸진짜 옆에있다면 밀어보라고 하고싶네요ㅋㅋㅋ기존에 제가 사용하고있는 절충형유모차랑 무게는 비슷한데 훨씬 체감하는 무게가 더 가벼워요뭔가 공기중에 떠있어서 미는 그런느낌이랄까 ?진짜 핸들링 별로인 제품들 너무너무 많은데만족스러운 핸들링이라 더더더 좋아요], 긍정 텍스트 확률 : 98.63%"
"[ 이거야 절충형유모차 그린탐 절반의 성공과 향후과제 ], 긍정 텍스트 확률 : 53.95%"
"[수 없이 많은 유모차라인업에서 가장 빈약한 라인업을 형성하고 있는 절충형유모차에서예전에 팔던 어보 처럼 엄청난 판매기록을 세울순 없겠지만], 긍정 텍스트 확률 : 81.11%"
"[그 몇 없는 절충형유모차사이에서그린탐유모차가 판매가 됐다는 것은 정말 고무적인 일입니다.그린탐유모차는 디자인이 가장 큰 무기임엔 틀림없으니까요.더더욱이 고객에게 좋은 혜택을 드리고자 네덜란드 현지가격으로 판매하는 것은수익적인 측면에서도 다른 절충형유모차를 따라가기란 쉽지 않았습니다. ], 긍정 텍스트 확률 : 99.85%"
"[하지만 미베 베이비엑스포에서 저는 조금은 생각을 달리해봤습니다.언제부터 내가 판매를 위한 마케팅을 했던가? 중요한 것은 올바르고 좋은 제품을 판매하는 것이일순위라 생각했던 지난날들이 무색할만큼 또 언제나 어떻게해서 팔까? 에 집중하니모든것들은 조급해지기 시작했고 이미 엄청난 빚을 내고 시작한 이번 페어에서어떻게 손해를 보지 않을까... 에 고민과 걱정을 하고 있더군요. ], 긍정 텍스트 확률 : 98.63%"
"[일부터 일까지 이틀동안 판매를 기록했습니다. 그리고 나서야 비로소 항상 추구했던 바를잊고 있는 저를 발견하게 되었지요. 이미 업질러진 상황에서 그딴 것들이 무엇이 소용있을까? 여튼 마음을 비운 뒤 다른 유모차와의 비교우위에서 내가 무엇을 말해야될까라는 생각을 버리고있는그대로 그린탐유모차를 그나마 가뭄에 콩 나듯 문의 주신분들에게 설명을 했습니다. ], 긍정 텍스트 확률 : 93.17%"
"[그리고 나서는 한결 마음이 편해지는걸 느꼈습니다. 미우나고우나 여튼 내 새끼라 생각하니최대한 장점을 말해주고 단점도 있음을 솔직하게 말하는게 어떨까? 진행해오던 마케팅활동과 다르게관점을 바꾸니 그린탐유모차는 꽤 매력적인 유모차로 둔갑을 하기 시작했습니다.아마 모든 것이 쉽게 변하고 바뀔 순 없겠지만], 긍정 텍스트 확률 : 99.32%"
"[제가 바라보는 이 절충형유모차 그린탐의 관점은그전에 비해서 완전히 도 달라졌다면 아마 그럴 것 입니다. ], 긍정 텍스트 확률 : 78.88%"
"[절충형유모차 그린탐 가장 큰 장점은 아마 바퀴일 것입니다.예전에 저라면 아마 서스펜션도 없이 어떻게 이 바퀴를 강조할까? 그 프레임에 갖혀있었지만분명 이바퀴는 서스펜션을 커버할 수 있는 무엇인가가 있을 것이라 생각했습니다.알아본결과소재였음을 알았죠. 또한 바퀴 휠에 비해 타이어 폭과 크게가 컸습니다.즉], 긍정 텍스트 확률 : 92.62%"
"[서스펜션으로 인한 충격완화를 이해하기보단 소재에 이러한 측면에 더 집중하게 되었죠. ], 긍정 텍스트 확률 : 53.33%"
"[일반 고무 타이어와 우레탄 타이어가 주로 된 유모차 타이어에서소재의 타이어는가격과 그 기능에서 확연하게 큰 차이점을 두고 있었습니다.일단 바퀴가 부드럽고 유연성이 좋지요. 내부충격에 강하고 흡수가 뛰어납니다.또한], 긍정 텍스트 확률 : 95.02%"
"[지면으로부터 오는 바퀴에 대한 저항이 적음을 알 수 있었습니다.그래서 절충형유모차 그린탐을 밀어보면 상당히 붕 떠있고 부드러운 느낌을 갖게 합니다. ], 긍정 텍스트 확률 : 70.99%"
"[지면으로부터의 저항이 적고튕겨내는 힘이 강하니], 긍정 텍스트 확률 : 72.70%"
"[ 이라는 유모차 무게에 평균적으로까지 아이를 태웠을때를 감안한다면충분히 이 소재 하나만으로도 별도의 서스펜션 기능을 추가없이도 커버할 수 있음을 알았죠. ], 긍정 텍스트 확률 : 95.48%"
"[본연의 기능에 충실하고 나머지들에 대해서는 전체의 조화를 깨지않는범위내에서의 악세사리로 커버할 수 있는 흔히], 긍정 텍스트 확률 : 84.34%"
"[왜 기저귀가방과 쇼핑백이 더 눈에 들어왔는지를 알게되었습니다. ], 긍정 텍스트 확률 : 85.67%"
"[기본 유모차 하단에 있는 유모차 장바구니역할을 간소하고 보다 느낌있고 개성있는쇼핑백을 뒤에 연결할 수 있게끔 구성을 만든다. 아주 괜찮은 생각임엔 틀림없어보입니다.그리고 쇼핑백 문의가 유모차 문의보다 많았습니다. 눈에 들어오셨던게죠.절충형유모차 그린탐은 이런 악세사리가 어떤 역할을 대신하는지 알 수 있게끔 만들었습니다.즉], 긍정 텍스트 확률 : 99.55%"
"[여튼 이야기할 것들은 산더미입니다. 상세정보페이지부터 바꿔야할게 산더미입니다.인식의 전환은 어렵지만 페러다임을 깨기란 쉽지 않겠지만절충형유모차 그린탐으로 이거야에서 한번 해보려합니다.그리고], 긍정 텍스트 확률 : 99.37%"
"[ 제품 구매하시려는 분들이 많으신데], 긍정 텍스트 확률 : 56.79%"
"[핑크 색상 남았습니다.다음 포스팅에서 또 그린탐에 대해서 이야기하도록 하겠습니다. ], 긍정 텍스트 확률 : 96.00%"
"[왜 필요한가 했었는데...사용해보면 왜 필요한지 알게 되는 기능이더라구요 ㅎㅎㅎ ], 긍정 텍스트 확률 : 93.06%"
"[무엇보다 핸들링이 뛰어난 그린탐 소개할께요 ], 긍정 텍스트 확률 : 93.86%"
"[그린탐 네이비 색상그린탐은 네덜란드 브랜드로 국내 출시한지 얼마 되지 않아서 그런지 후기 글이 다른 유모차에 비해 많지 않더라구요이렇게 이쁘고 튼튼하고 잘 굴러가는데], 긍정 텍스트 확률 : 61.89%"
"[없는게 속상했어요그린탐은 다음 세대가 살아가는 세상환경까지 생각해서 디자인을 한데요아이를 키우는 사람이라면 모두가 걱정하고 있는 부분인데이런 디자인 철학 너무 멋지더라구요거기에 레드닷 수상도 했데요거기에 유모차를 만드는 소재가친환경 소재로 만들어 지면서사용 후에는 재활용 할수 있도록 유도된 디자인이래요참 끝까지 멋짐 ], 긍정 텍스트 확률 : 81.29%"
"[꽃과 같은 자연에 있는 모습을 형상화 했나? 싶더라구요잉카? 마야? 이런 느낌 나면서 뭔가 귀여워요 ㅎㅎㅎ ], 긍정 텍스트 확률 : 87.62%"
"[두둥커다란 박스에 들어있던 절충형 유모차 그린탐을 박스에서 꺼내어 조립을 했어요혼자서 할 수 있지만 휴대용 유모차처럼 간편하다 라고 할 수는 없지만확실히 디럭스보다는 쉬워요 ㅎㅎㅎ ], 긍정 텍스트 확률 : 63.84%"
"[유모차의 가운데 중심을 잡아주듯이 설치 되어 있는 안전바탈부착이 가능하기 때문에 아기가 어릴때는 설치했다가 조금 크면 떼어서 사용하면 되요사랑이는 저 안전바를 자꾸 입에 넣어서], 긍정 텍스트 확률 : 62.43%"
"[아예 빼버렸어요 ㅠㅠ ], 긍정 텍스트 확률 : 65.39%"
"[사랑이와 함께 여주 아울렛에 방문했는데요이 날 처음으로 그린탐 절충형 유모차를 사용했는데요사진에 보시면 아시겠지만 보도블럭으로 되어 있어서 덜컹거릴 수 있었는데요휴대용 유모차 보다는 충격이 덜 하다는걸 소리와 진동으로 느낄 수 있었어요이 날이 아울렛 세일 기간의 마지막 날이여서 사람이 정말 많았는데요여기저기 사람들을 피하면서 다녀야 했는데요정말 핸들링 최고예요사람들이 유모차를 피하기 이전에 제가 먼저 유모차를 움직여서 피하는게 가능하더라구요 ], 긍정 텍스트 확률 : 96.11%"
"[안전하게 벨트를 착용하고 안전바를 잡고 있는 사랑이예요사랑이의 다리가 의자에 앉아있듯이 자세를 잡아주어서오랫동안 앉아있어도 참 편하겠다 싶더라구요 ], 긍정 텍스트 확률 : 69.90%"
"[지난 주에는 사랑이와 함께 크리스마스를 느낄 수 있는 켄싱턴 호텔에 다녀왔는데요이렇게 분위기 있는 곳에서도 조금도 튀지 않고 조화롭죠 ], 긍정 텍스트 확률 : 98.37%"
"[날씨도 쌀쌀해서 캐노피를 내려서 끌어주었어요핸들링이 편해서 언덕을 올라갈때도 슬쩍 밀어 주기만 하면 그냥 올라가지더라구요내편씨한테 계속 왜 사람들이 그린탐 하면 핸들링이 좋다고 이야기 하는지 알겠다고 몇 번이나 말했는지 모르겠어요 ㅎㅎㅎ ], 긍정 텍스트 확률 : 65.47%"
"[안전벨트는 중으로 되어 있어서 안심하고 사용할 수 있어요다리와 팔], 긍정 텍스트 확률 : 66.95%"
"[몸통을 잘 지탱해 주기 때문에 사랑이도 불편해 하지 않더라구요 ], 긍정 텍스트 확률 : 65.94%"
"[제가 키가 작은 편임에도 불구하고 손을 높는 위치가 참 좋았어요자꾸 휴대용 유모차랑 비교를 하게 되는데요낮은 위에 손잡이가 있어서 허리를 숙이게 됬었는데사진에서 보시면 아시겠지만 허리를 곧게 세우고 있는거 보이시죠? ㅎㅎ핸들링도 좋고 엄마가 잡는 손잡이 위치도 좋고아이 뿐만 아니라 엄마에게도 사용성이 좋은 절충형 유모차임에 틀림 없어요 ], 긍정 텍스트 확률 : 75.17%"
"[유모차를 멈출때는 유모차 하단에 있는 버튼을 발로 살짝 눌러주면 멈추고요다시 움직일때는 다시 눌렀던 버튼을 살짝 위로 올려주면 다시 움직여요 ], 긍정 텍스트 확률 : 74.31%"
"[절충형 유모차이면서 고급스러운 디자인고급스러운 인테리어의 호텔에 있기에너무나 잘 어울려서 다행이다 싶었어요사랑이도 이날은 옷을 예쁘게 차려 입었는데요크리스마스에 어울리는 빨간색 체크 원피스를 입고서 유모차에 얌전히 앉아 있었어요 ], 긍정 텍스트 확률 : 94.11%"
"[여기는 포토존이에요예쁜 가족사진을 포토존에서 찍어서 에 올리면 식사이용권을 주는 이벤트를 하고 있었는데요저희는 사랑이를 유모차에 앉혀놓고 사랑이와 제가 노는 모습을 찍어서 응모해 봤어요 ㅎㅎㅎ특히 여기서는 잠깐 사진찍는다고 내려줘봤더니], 긍정 텍스트 확률 : 96.79%"
"[사랑이의 행동을 제어할때면 꼭 필요한게 유모차죠 ㅎㅎㅎ ], 긍정 텍스트 확률 : 97.42%"
"[유모차에 편하게 앉아서는 엄마 머리 잡아 당기는 사랑이 ㅠㅠ요즘 과격한 행동을 하기 시작해서], 긍정 텍스트 확률 : 97.69%"
"[유모차에 깊숙이 누워서 편한 자세로 꺄르르하고 웃는 사랑이예요뭐 호텔 안에는 대리석으로 매끈하게 바닥이 되어 있어서그냥 물 흐르듯이 바퀴가 바닥을 굴러다녀요아 또 말하지 않을 수 없는 핸들링최고최고그린탐 유모차가 아니더라도유모차를 구입하실 땐 꼭 한바퀴 정도 끌어보시면서 핸들링을 비교하시면서구입하시는게 좋아요 ], 긍정 텍스트 확률 : 99.63%"
"[본 포스팅은 업체로부터 제품을 무상으로 제공받아 솔직하게 작성된 후기입니다. ], 긍정 텍스트 확률 : 52.77%"
"[ 코엑스베이비페어 오늘이 마지막날이네요아마 이날 가시는 분들도 있고요 저도 그랬지만 코엑스 베페는 가장 많은 브랜드가 참가하기도하고 가서 직접보고 구매할수 있어서 꼭 가보게됩니다 여기서 똑똑한 엄마라면 바로 구매하지 않고 비교 들어가죠 ㅋㅋ베이비페어 디럭스유모차 똑똑하게 탐구해보았습니다], 긍정 텍스트 확률 : 98.59%"
"[제가 들린곳은 바로바로 마마스앤파파스사실 여기는 어보 사용하면서 애정을 갖게된 브랜드에요아마 어보는 이미 많으 분들의 사랑을 받고 있는데요 이번 베페에는 나오지 않았더라구요 하지만 새로운 신상들이 눈에 쏙 들어왔어요 가장먼저 눈에 띈건 바로바로 오카로디럭스유모차 최상버전 보기만해도 간지가 ㅋㅋ ], 긍정 텍스트 확률 : 98.74%"
"[컬러도 다양하고 무엇보다 컬러가 고급스러워요전체적으로 톤다운된 느낌인데 고급스러운 느낌을 잘 살렸네요 프레임도 고급스럽게 신생아유모차 찾는다면 바로 요거입니다], 긍정 텍스트 확률 : 79.56%"
"[최상버전을 본후 눈에 들어온건바로바로 그린탐 입니다 월 출시예정인 신상중의 신상컬러가 산뜻해서 눈에 들어오더라구요모던한 컬러감이 아닌 따뜻한 파스텔톤입니다 ], 긍정 텍스트 확률 : 95.27%"
"[뒤에 백들이 보이시죠?함께 들어가는 악세사리입니다 그린탐은 환경을 생각하는 네덜란드 유모차 브랜드에요 ], 긍정 텍스트 확률 : 94.40%"
"[양대면 모습은 이런 모습 투컬러중에는 핑크가 예쁘네요 ㅋㅋ 어디서도 못본 예쁜 컬러입니다], 긍정 텍스트 확률 : 98.65%"
"[안쪽 풋머프부분 따뜻하겠죠?겨울에도 외출을 멈추지 않습니다우리 아이들은 매일 나가자고 하거든요유모차 악세사리도 예쁘게 나왔네요 실용적으로 ], 긍정 텍스트 확률 : 56.69%"
"[그린팜 가장 마음에 들었던부분 바로 장바구니부분이에요 사실 엄마들이 유모차 사용하면서 가장 많이 쓰는 부분이 바로 이부분인데요 항상아쉬움이 남았던 부분이죠 이건 뒤에 장바구니를 걸치는 형태에요 그래서 깔끔하고 탈부차해서 세탁도 편하고요 장바구니 쓰다보면 금방 더러워지거든요 ], 긍정 텍스트 확률 : 99.89%"
"[폴딩부분은 시트와 함께 접을수도 있고요빼고 접을수도 있어요 이렇게 가볍게 누르고 접으면 끝 깔끔하게 접힙니다 ㅋㅋ], 긍정 텍스트 확률 : 62.15%"
"[마음에 쏙 든 그린탐을 뒤로 하고 휴대용도 살펴보았죠 요즘 핫한 어보 아크로 기내반입휴대용유모차로 사랑받고 있죠 그리고 가벼워요 ㅋㅋ ], 긍정 텍스트 확률 : 98.85%"
"[얼마전에 나온 시티 컴팩트한 절충형스타일 도심속에서 편하게 사용할수 있는 유모차에요 개인적으로 탐나는 스타일 ㅋㅋ컴팩트하게 접히고 무엇보다 무게가 . 절충형유모차치고 가볍죠 여기 컬러도 감각적으로 나왔어요 도까지 눕혀지니깐 편안할듯], 긍정 텍스트 확률 : 97.81%"
"[마마스앤파파스 부스가면 스너스도 볼수 있고그리고 미니바이크도 있어요그리고 늘 베페 인기상품 카시트까지 미니바이크 후기는 요기에 .... ], 긍정 텍스트 확률 : 67.95%"
"[베페기간 주는 사은품도 푸짐합니다기본 악세사리는 다 나오는거 같아요 특히 나도카시트 사은품은 독특하죠??아 탐난다 ㅋㅋ ], 긍정 텍스트 확률 : 85.57%"
"[회 코베파티 오디에이션 감성태교 후기. ], 긍정 텍스트 확률 : 53.49%"
"[아마도 마지막이 될 산모교실코베파티 산모교실은 산모들사이에서 인기가 좋아 꼭 가고 싶었는데], 긍정 텍스트 확률 : 91.25%"
"[역시 인기있는 산모교실답게 많은 산모님들이 일찍 도착하셨더라구요. ], 긍정 텍스트 확률 : 69.28%"
"[박종민강사님 과 손지혜강사님께서 강의해주셨어요. ], 긍정 텍스트 확률 : 76.88%"
"[아이가 처음 생겼을때 어떤 기분이었나요? 강사님의 첫 질문결혼 후 바로 아이가 생기길 원했던 터라], 긍정 텍스트 확률 : 70.62%"
"[너무 기다렸던 우리 사랑이.사랑이를 가지려고], 긍정 텍스트 확률 : 98.50%"
"[미리 엽산제도 꼬박꼬박 챙겨먹었었는데], 긍정 텍스트 확률 : 65.75%"
"[엄마아빠맘처럼 사랑이가 바로 오진 않더라구요.마음비우고 편하게 생활하던 지난여름], 긍정 텍스트 확률 : 98.53%"
"[우리 사랑이가 엄마아빠에게 와줬죠.막상 사랑이가 왔을때 마음이 얼마나 놀랐는지], 긍정 텍스트 확률 : 99.27%"
"[기쁨보다는 앞으로의 걱정이 더 컸던 것 같아요.강사님께서 그러시더라구요.대부분의 산모들이 기쁨보다는 걱정과 두려움이 더 컸을꺼라고], 긍정 텍스트 확률 : 67.56%"
"[ 지금이라도 늦지 않았으니 배에 손을 얻고 이야기해주라고], 긍정 텍스트 확률 : 80.65%"
"[사랑아내가 너의 엄마란다.엄마에게 찾아와줘서 고마워마음다해서 너를 환영한단다. ], 긍정 텍스트 확률 : 97.30%"
"[지난여름 사랑이와 저의 첫 만남이 떠올라서], 긍정 텍스트 확률 : 71.51%"
"[그리고아기 엄마가 된 나 자신을 더 사랑해줘야한다는 당부의 말씀도 하셨어요.엄마 역할 한다고 참고 노력하고 있는 내가 자랑스럽다 고 나 스스로에게 말해주기.], 긍정 텍스트 확률 : 99.67%"
"[태아의 청각은], 긍정 텍스트 확률 : 55.27%"
"[임신 개월 이후부터는 태아는 모든 것을 들을 수 있고], 긍정 텍스트 확률 : 69.30%"
"[더 자주 들려주기.아기의 하루일과는일어나기♪ 수유♩ 낮잠♩ 놀기♩ 목욕♩ 잠들기♪패턴이 지속적으로 이루어지는데], 긍정 텍스트 확률 : 52.51%"
"[ 이 때마다 같은노래를 반복해주면 아기의 학습능력이 자연스럽게 길러진다고 해요. ], 긍정 텍스트 확률 : 60.67%"
"[아기가 기분이 좋을때 노래불러주면서 진행하면 좋은 베이비마사지도 배워봤어요.너무 간단하죠? 만 기억하기. ], 긍정 텍스트 확률 : 91.61%"
"[동물놀이를 할 수 있고], 긍정 텍스트 확률 : 59.41%"
"[강사님의 설명 후], 긍정 텍스트 확률 : 81.49%"
"[관련있는 노래도 함께 배웠는데 뒤돌아서면 깜빡깜빡하는 임산부라 벌써 기억나지 않는다는..다행히 한국오디에이션 홈페이지에 가면 무료로 노래다운을 받을 수 있다니 출산 전 몇 곡 마스터해보려구요], 긍정 텍스트 확률 : 98.30%"
"[태교교실.아이와 함께 할 수 있음에 감사할 수 있었던 감성채움의 시간을 보낸 것 같아요.다양한 노래와 악기들을 들 을 수 있어서], 긍정 텍스트 확률 : 98.89%"
"[배 속사랑이도 꿈틀꿈틀 거리는 시간이었어요.아쉬웠던 점은 강의실 내부가 너무 환해서 가 잘 안 보이더라구요.전 앞좌석에 앉았는데도 흐리게 보인 것 보면 뒷좌석에 앉으신 분들은 거의 안 보이셨을것 같아요. ], 긍정 텍스트 확률 : 79.19%"
"[많은 산모님들이 기다리는 레크레이션 과 경품추첨시간초상권없으신 임정택님께서 진행해주셨어요.말씀 너무 재미있게 해주시고], 긍정 텍스트 확률 : 80.02%"
"[경품도 모든 분들에게 공평하게 주시려고 노력하시는 모습이 인상적이시더라구요.몇 번의 레크레이션에서 선물의 행운이 있었지만], 긍정 텍스트 확률 : 94.13%"
"[ 태교와 아이를 위한 그림책 ], 긍정 텍스트 확률 : 59.00%"
"[ 월에 송도에서 열리는 코베 베이비페어에서 만날 수 있는 제품들인 것 같아요. ], 긍정 텍스트 확률 : 64.83%"
"[노빌락턱받이], 긍정 텍스트 확률 : 51.21%"
"[후디스트루맘모유보감], 긍정 텍스트 확률 : 80.99%"
"[코베 베이비페어가 열리는 송도컨벤시아에서 진행됩니다.부부가 함께 참여할 수 있는 태교마사지가 주제관심있으신분들은 참여 고고 ... ... ], 긍정 텍스트 확률 : 53.83%"
"[.. 목.. 일일간 코엑스 베이비페어가 열리는 거 육아맘이라면 다들 아시죠? ], 긍정 텍스트 확률 : 90.69%"
"[마마스앤파파스 서포터즈 파줌마가 전해드리는 소식이번에도 놓치시면 절.대 아니 되는 정보 꼬꼬꼬 ], 긍정 텍스트 확률 : 85.83%"
"[베페 열리는 곳은 많아요 그러나 내가 사는 지역 근처가 아니라면.... ], 긍정 텍스트 확률 : 90.92%"
"[구경은 무슨..... 사고 싶어도 못사잖아요 ㅠㅠ그맘 저도 알아요 촌에서 살다 와서 그나마 킨텍스가 옆에 있어 분 거리를 달려가서 구경을 한답니다코엑스라 저도 못가는 현실....ㅠㅠ그러나 요 터치페어는 현장 방문을 하지 못해도같은 구성 같은 금액으로 구매 가능하다는 지방맘들에게 희소식 아닌가요???기쁜 소식과 함께제품 라인업 ], 긍정 텍스트 확률 : 95.99%"
"[이번에 새로 출시되는 신상중에 신상저도 아직 실물을 보지 못한 디럭스유모차 오카로크롬바디로 멀리서도 반짝반짝 할 것 같은데요 실제로 야간 주행시 인치 바퀴에 반사라인이 있어 반짝인다는 사실유모차라이너? 저리갓 전용 넥쿠션과 점식벨트의 푹신한 전용 어깨패드로 흔들림을 완벽 차단하는 프리미엄유모차요 유모차 기대가 제일 크지 않을 수 없어요사은품으로 나오는 미니몬 풋머프요건 별도 발송 되는 제품이지만 곧 추워질 겨울을 대비해 꼭 필요한 물품이네요 ], 긍정 텍스트 확률 : 99.93%"
"[저의 후기도 있으니 참고해주시면 더더 좋지요 ㅎㅎ시티 역시 미니몬 풋머프 사은품으로 별도 발송 ], 긍정 텍스트 확률 : 98.24%"
"[범보의자와 부스터로 제일 유명한 스너그와 버드도 베페에서 만나 볼 수 있어요최근에 노랑노랑 옐로우 색상이 추가되어 출시된 거 알고 계시죠?너무 이쁜 색상이라 현장에서 직접 확인 강추 드려요 ], 긍정 텍스트 확률 : 99.67%"
"[리사이클링으로 제품의 일부를 제작하는 환경까지 생각하는 네덜란드 유모차 브랜드 그린탐심플한 디자인으로 눈길을 사로잡는 유모차예요기존에 판매되던 모델과 다른 양대면이 가능한 버전으로 출시된다고 해요다양한 컬러 라인업과 악세서리까지 나온다니 하니 더욱 기대가 크네요 ], 긍정 텍스트 확률 : 95.70%"
"[그린탐 역시 터치페어를 통해 구입 가능 ], 긍정 텍스트 확률 : 75.25%"
"[어린이 자전거의 명품 미니바이크독일 의 기술력과 디자인이 모두 결합된 미니바이크 정말 이거 타는 아이들이 안 부러울 수 없네요 ㅠㅠ미니쿠페를 쏙 빼닮은 자전거 여타 다른 자전거와 견주어 따라갈 수 없는 디자인이네요이번 베페에 아이와 함께 방문해 탑승시켜보는 것도 나쁘지 않을 듯해요 ], 긍정 텍스트 확률 : 97.01%"
"[ 절충형유모차 추천하는 이유 ], 긍정 텍스트 확률 : 72.14%"
"[안녕하세요 지난 주말에 롯데월드에 다녀왔는데 이처럼 멋진 촬영스튜디오를 여러 세트장으로 꾸며놓아 신나게 촬영을 하고 왔어요. 정말 많은 분들이 사진을 찍고 있었는데 우리 아이들도 참 많은 사진을 찍었답니다. 저도 때마침 그린탐을 가져가서 꽤 많은 사진을 찍었는데요], 긍정 텍스트 확률 : 91.27%"
"[롯데월드에 살], 긍정 텍스트 확률 : 61.21%"
