"[ .요렇게 생겼어요..개인적인 생각으로는 디자인이 이뿌지는 않아요..독일 감성ㅌㅋㅋ.. ], 긍정 텍스트 확률 : 68.03%"
"[좌우바퀴가 독립적으로 움직인다는 장점은특히 턱을 지나갈때 확실히 알 수 있어요. ], 긍정 텍스트 확률 : 79.42%"
"[유모차가 상당히 안정적이고 튼튼해요.끌어보는 순간 바로 알 수 있습니다 ], 긍정 텍스트 확률 : 94.58%"
"[사실 유모차 시트각도 조절은 디럭스 유모차는 모두 가능한 기능인데요. ], 긍정 텍스트 확률 : 69.19%"
"[콩코드 네오는 인체공학 단계 리클라이닝 시트로 되어 있어 아이의 편안함을 최대로 반영했답니다.각도마다 의미가 있다죠도아이를 눕힐때 가장 안정적인 각도도엄마 뱃속처럼 편안함을 느끼는 각도도주행 중 목과 허리에 부담이 적은 각도콩코드 네오는 폴딩시 필요한 모드가 추가로 있어요. ], 긍정 텍스트 확률 : 82.21%"
"[ 그리고 시트각도를 확인할 수 있는 눈금이 있어 좋네요. 시트각도 표시없이 뒤에서 땡기는 유모차 많아요. 별거 아닌 것처럼 보이겠지만], 긍정 텍스트 확률 : 89.01%"
"[ 아이가 앉아 있을때 시트각도가 고정이 되지 않아], 긍정 텍스트 확률 : 68.51%"
"[뒤로 확 제껴지거나 앞으로 세워 앉게 되기도 해요. 아무래도 눈금이 있다보니], 긍정 텍스트 확률 : 67.54%"
"[ 콩코드 네오는 트렁크에 싣는데 무리가 없습니다.이래서 콩코드와 미니가 콜라보를 하나 싶어요.저희차 카시트에 유모차 싣고 행여라도 짐이 있으면], 긍정 텍스트 확률 : 53.04%"
"[ 현관을 넓게 사용할 수 있어 너무 좋네요 ], 긍정 텍스트 확률 : 86.01%"
"[ 운행 중에도 신속하게 브레이크를 잡을 수 있어요. 아마 직접 유모차를 끌어보시면 아실텐데요], 긍정 텍스트 확률 : 76.85%"
"[유모차 선택 시 정말 중요한 부분 중 하나가 수납이죠.유모차 구입 전에는 장보고 짐 챙길 수 있는밑에 공간만 살짝 있으면 된다고 생각했는데요.실제로 유모차 끌고 아들 어린이집 가는데], 긍정 텍스트 확률 : 82.83%"
"[애착인형과 이불까지정말 한짐 가득입니다ㅠ ], 긍정 텍스트 확률 : 78.75%"
"[다행히 콩코드 네오는 밑에 수납공간도 널찍이 있고], 긍정 텍스트 확률 : 78.63%"
"[ 핸들에 추가 수납 주머니도 달기 편하게 되어 있네요.측면에는 고리도 있어 짐을 걸기도 좋답니다.이제 어깨 가볍게 유모차 끌고 다닐 수 있어 편하네요. ], 긍정 텍스트 확률 : 88.22%"
"[바람차단을 위해 방풍커버까지 씌우고 오랜만에 산책했어요방풍커버 투명해서 사방이 다 잘보이네요.아 마지막으로 제가 콩코드라고 하면 정말 믿고 사는 브랜드란 생각이 들은 부분이 있어요 ], 긍정 텍스트 확률 : 82.73%"
"[안전벨트 부분 뒷면에 요 표시 안전벨트 잠금 표시 입니다. 정말 작은 부분까지도 아기들의 안전을 생각한거죠.사실 카시트 쓰면서 콩코드는 정말 아이들 안전을 우선시한믿음이 가는 브랜드란 생각이 들었는데], 긍정 텍스트 확률 : 90.30%"
"[트레블 세트와 함께하는 귀염둥이 지윤이], 긍정 텍스트 확률 : 64.86%"
"[콩코드 네오카시트와 만난지 한달이 다되어가네요우리 찌유니 첫 빵빵이 그리고], 긍정 텍스트 확률 : 91.34%"
"[지금 보니 우리 찌유니 지금도 아가아가하지만 저때는 더 아가아가 하네요 카시트는 집에서 바운서로도 활용이 가능했어요. ], 긍정 텍스트 확률 : 84.40%"
"[신랑에게도 너무 잘어울리는 콩코드.도심안에서도 걱정없이 주행 ], 긍정 텍스트 확률 : 64.05%"
"[어떤 날은 브런치도], 긍정 텍스트 확률 : 84.13%"
"[디럭스이지만 폴딩이 간편하고 쉬워서 요즘 갑갑증난 엄마 혼자서유모차 끌고 동네 산책하기 바빠요저녁 시쯤 나가면 해지기 시작해서 좋더라구요.지윤이도 나가는게 버릇이 되서], 긍정 텍스트 확률 : 63.53%"
"[어제는 비오는데도 금요일이라며 밤산책을 나갔어요콩코드 레인커버도 개시했어요보슬보슬 비오는 날], 긍정 텍스트 확률 : 54.14%"
"[아가씨때는 몰랐던 커피한잔의 여유스타벅스에서 지유니 잘때 커피한잔한참 호기심 많을 지윤이라 깨서 두리번두리번 거리더라구요.앞으로 지윤이와의 외출이 더더욱 기대되요. ], 긍정 텍스트 확률 : 96.24%"
"[너무 현실적인 애엄마 사진 ㅋㅋ콩코드가 네오를 만나지 못했다면], 긍정 텍스트 확률 : 71.68%"
"[아마어린 지윤이 데리고 나올 생각도 못했을 것같아요엄마한테 기동력을 가져다준 콩코드 네오앞으로 콩코드네오와 함께할 지윤이와 하루하루가 더 기대됩니다 ], 긍정 텍스트 확률 : 98.97%"
"[솔직하게 작성된 포스팅입니다. ], 긍정 텍스트 확률 : 52.88%"
"[일 넘겼을때 울 아가에게 유모차 하나 마련해줬습니다.ㅎㅎㅎ해운대 좌동에 토이앤맘에서 직접태워보고 샀어요 ], 긍정 텍스트 확률 : 92.68%"
"[암만 베이비페어 다녀도 모르겠더만 아가야 나오고 델고 태워보니 느낌이 오더라구요토이앤맘에서 구경하다 추천해준 것중에 젤맘에 드는걸로 구매했어요. ], 긍정 텍스트 확률 : 51.59%"
"[사실...이렇게 말하면 뭐하지만 정말 육아용품 잘 몰라서 직원분 추천에 몇가지 끌어보고 느낌이 젤로 좋은 콩코드 네오 로 구매했지요 ], 긍정 텍스트 확률 : 92.64%"
"[디자인도 넘 이쁘지요?요즘 그레이가 잘나간데서 그레이 색상으로 삿는데 무난하고 좋습니다. ], 긍정 텍스트 확률 : 90.47%"
"[ ㅠㅠ ], 긍정 텍스트 확률 : 82.32%"
"[얼마전에 동부산 롯데아울렛 나들이 갔을때 바람이 찬거 같아서 겉에 싸줬더니 안에서 잘있더라구요오히려 땀남.ㅋㅋ ], 긍정 텍스트 확률 : 76.98%"
"[요렇게 아가야도 편하게 잘있구 넘넘 좋았음요], 긍정 텍스트 확률 : 98.69%"
"[요날 바람이 꽤불었어요.ㅠ ], 긍정 텍스트 확률 : 90.64%"
"[아빠도 좋아한다], 긍정 텍스트 확률 : 87.80%"
"[요건 오늘백화점 나들이갔다오면서 찍음여.ㅋㅋ유모차타면 뭔가 새로운지 모자 씌워도 가만히 있네욤유모차 안타면 우짜나 걱정했는데 그래도 잘탐요.날만 좋으면 낮에 많이 돌아다니고 픈데..아가가 집에서 잘안자구 나가면 잘자니..이제 곧 추워지니 몇번 못나가니 아쉽..ㅠㅠㅠ ], 긍정 텍스트 확률 : 99.61%"
"[맘노코 커버를 착용해보았어요 안녕하세요마음놓고 육아하기], 긍정 텍스트 확률 : 73.66%"
"[맘노코써니입니다 꽃피는 춘삼월 날씨가 추웠다가 따뜻했다가 또 추웠다가 하네요 허허 특히], 긍정 텍스트 확률 : 98.67%"
"[미세먼지가 심각할수록 아기와의 외출을 위해 맘노코 커버 문의와 구매도 함께 증가 증가 ??미세먼지는 가고 봄은 오고 맘노코 프리미엄 커버와 함께 마음놓고 외출할 날씨가 어서 와야할텐데요오늘 포스팅의 주인공은 콩코드콩코드의 유모차 네오입니다 후훗 이마트 스타상품 프로젝트 최종 팀으로 선정 되었던 맘노코팀덕분에 하남 스타필드 베이비관을 방문해서 다양한 유모차들에 커버 착용의 기회 획득먼저 저희가 착용 후 촬영한 사진입니다 제품에 대한 고객님들의 이해를 돕기 위해 휴대폰 촬영무보정 업로드 빠밤], 긍정 텍스트 확률 : 97.06%"
"[ 아앗 이번에는 고객님께서 올려주신 후기도 발견발견 해서 공유해보아요 맘노코팀보다 사진을 더 잘찍어주셔서 부끄럽고 감사하고 하네염 헤헤], 긍정 텍스트 확률 : 95.19%"
"[ 고객님의 블로그 사진 몇 장 공유합니다 출처는 삐약이엄마 님 블로그에요 ], 긍정 텍스트 확률 : 96.64%"
"[ 왼쪽 사진 은 차광막을 내렸어요우리 아이 숙면을 위한 배려라고 할까요오른쪽 사진 은 크고 둥근 시력보호창이 잘 나타나는 사진 같아서 좋아요실제로 기존 커버들과 비교하였을 때 크고 등근창의 맘노코 커버는 커버 내부 공간이 약 .배 정도 증가 게다가 커버 자체도 너무 예쁘고 우아해서 엄마의 패션감각과 기분도 업그레이드헤헷꽃피는 춘삼월 맘노코와 함께 마음놓고 외출하세요], 긍정 텍스트 확률 : 99.98%"
"[신상유모차를 먼저 만나볼 수 있는 오프라인 매장 ], 긍정 텍스트 확률 : 61.54%"
"[출산 하시는 분들은 유모차에 관심이 많으실거에요.오늘도 전 출산 한친구와 유모차 선택을 하러 나섰습니다.벌써 출산한지 만 개월이 다 되었네요.이제 슬슬 유모차를 알아봐야 할 것 같아서 저에게 를 요청하더라고요.콩코드 유모차를 봐둔게 있는데 직접 보고 싶다며그래서 같이 수원 맘스맘으로 향했지요. ], 긍정 텍스트 확률 : 77.97%"
"[매장은 다른 임신 출산 육아 용품과따로 있어요.오히려 같은 종류의 제품들이 모여 있으니 한눈에 비교가 잘 되서 더 좋더라구요.와유모차], 긍정 텍스트 확률 : 85.64%"
"[그 중에 친구가 미리 눈여겨 본 제품인 년형 콩코드 네오 유모차신상도 수원 맘스맘에서 발 빠르게 만나 볼 수 있어서 좋네요.와 자태가 고급져요.콩코드는 독일 명품 유아용품으로 유명한 곳이죠 ], 긍정 텍스트 확률 : 95.60%"
"[년형 콩코드 네오유모차가 궁금하시다면동영상으로 자세한 설명을 들어보세요설명 동영상 ▼ ], 긍정 텍스트 확률 : 61.17%"
"[콩코드 네오 유모차는 첨에 이게 뭔가....했는데 특이하게 브레이크가 핸들에 달려있어요.지금 현재 사진 상태는 잠궈진 상태고요.움직이려면 레버를 위로 올려주시면 됩니다.브레이크 위치를 위쪽으로 올림으로써 위험한 순간을 빨리 대처할 수 있겠어요. ], 긍정 텍스트 확률 : 61.48%"
"[바구니도 넓어서 수납성 굿저는 바구니 넓은게 너무 좋드라구요.아기 데리고 외출하는데 짐이 장난 아니잖아요....ㅠ.ㅠ기저귀], 긍정 텍스트 확률 : 85.17%"
"[여벌 옷등등등...와...진짜 많네...ㅡ], 긍정 텍스트 확률 : 76.01%"
"[와바퀴가 참 큰데요.공기 주입식이 아니라서 타이어 터짐 현상이 없어요.타이어 안이 꽉 차 있더라구요.더블 위시본 서스펜션을 장착해서 땅으로 오는 충격과 진동을 많이 흡수해준대요.뇌 흔들림을 최대한 방지해주는 장치라니 신생아부터 타기 좋겠죠? ], 긍정 텍스트 확률 : 89.44%"
"[디럭스급 유모차 이지만 콩코드 네오 유모차는 원터치 폴딩이 가능 하다는 것정말 쉽게 되더라고요.저희 애들 쓰던 때랑은 정말 차원이 다른....ㅠ.ㅠ ], 긍정 텍스트 확률 : 97.25%"
"[참 년형 콩코드 네오 유모차는 트래블 세트로도 유명한데요.유모차신생아카시트요람이 세가지 제품을 호환해서 사용하는 거에요.어차피 유모차를 살 거면..어차피 신생아 카시트를 살 거면..꼭 트래블 세트를 구매하시길 추천해요.왜냐하면 저도 트래블 세트를 사용해봤는데 여러모로 유용하게 잘 썼었거든요.비록 콩코드 제품은 아니었지만], 긍정 텍스트 확률 : 63.13%"
"[이런 세트가 참 실속 있더라구요.전용 아답터 없이 바루 장착할 수 있으니 얼마나 편해요 ], 긍정 텍스트 확률 : 82.15%"
"[신생아떄는 신생아 카시트나 요람을 장착해서 사용하면 안정감 있고 참 편할 것 같아요. ], 긍정 텍스트 확률 : 51.67%"
"[지금 구매 하시면 여러가지 유모차 악세사리를 증정하고 있고요.후기이벤트까지 있으니 신세계 상품권 만원의 기회도 잡아보세요.자세한 설명을 듣고 직접 사용해보고 비교하고 싶다면...수원 맘스맘 매장에 방문해 보세요년형 콩코드 네오 유모차 바로가기▼ ], 긍정 텍스트 확률 : 96.81%"
"[ 호빵이 새윰차콩코드 유모차], 긍정 텍스트 확률 : 51.21%"
"[저는 콩코드 네오입니다. 신제품은 차양막에 매쉬 통풍구가 있는걸로 아는데매쉬창은 없지만 차양막 뒤쪽에 지퍼가 있어서 열어두면 바람이 들어와별로 신경 쓰이지 않는 부분이에요.신생아때부터 태웠구요 신생아때는 집에서 살살 끌며 재울때나 달랠때잠깐씩 태웠어요.아기가 넘 어릴때는 휴대용 유모차를 태우기가 좀 그래서결혼식 나들이 모두 디럭스 유모차를 가지고 다녔는데콩코드 네오는 폴딩이 정말 간단해서 차에 싣고 다니기 좋았어요. 디럭스 특성상부피가 크고 무게가 있다보니 남편 찬스 없으면 좀 힘들긴 했지만어차피 어릴때는 혼자 이동하기 어렵기 때문에콩코드 네오 가지고 롯데월드 전주 할것 없이 참 잘 다녔습니다. ], 긍정 텍스트 확률 : 87.73%"
"[매일 아침 어린이집 출근길에도 함께하는 콩코드 네오 ㅎ제가 하루에 평균 천보 정도 걷는데 그걸 거의 이 유모차랑 함께해요.디럭스유모차 끌고 큰애 자전거 태워 걸어서 분 거리 공원도 가고요 ㅋ유모차 걸이에 도시락 든 보냉백 장바구니에 애기띠 물병 손잡이에 기저귀 가방 걸고돗자리 접이식 캠핑테이블까지 걸고 공원가서 놀다 오고자전거가 차에 안실려서 자전거 타러 갈때는 늘 걸어가거든요...그때 유모차 없었으면 그 짐 어쨌나 싶어요 물론 짐만 싣고 차가져 가도 되지만 공원주차 하기도 헬이고 그때마다 울 둘째는 유모차에 누워 편하게 잠을 자곤 했답니다. ], 긍정 텍스트 확률 : 80.96%"
"[전 이미 ㅎㅎ 유모차 값어치를 빼곧도 남음 개월간 많은 곳을 함께 다녔고 매일 매일 아침마다 울 아가 태워어린이집 출근하고 하원 후엔 시장도 가고 공원 산책도 가고... 정말 열일을 하고 있어요.사실 첫아이때 스토케가 워낙 유명하고 핫해서...둘째 생기고 꼭 스토케를 사야지 하고 맘먹었는데...접을때 시트를 분리해야 한다고... 해서 바로 포기했어요 ㅋ물론 접을 일이 많지 않은 디럭스 윰차 지만 현관 공간이 넉넉하지 않을 경우 접어놔야 할텐데 그럴때마다 시트 분리해서그런다는건 쉽지 않은것 같아요...그런면에서 콩코드 네오는 양대면 이든 앞보기이든 어떤 상태에서도 접어지구요양 옆을 잡고 살짝 들어 눌러 주면 스르르 접혀서저도 쉽게 할 수 있어요.현관에 접어 놓기 참 좋죠... ], 긍정 텍스트 확률 : 99.99%"
"[전용 방풍 레인커버 등은 있는데 방충커버가 없는 점이 좀 아쉽네요.마니또 제품 사서 씌웠는데 완벽하게 맞진 않고 좀 큰감이 있어요.함께 구성된 컵홀더는 허접해서 떼어 버리고 구매해서 달았어요. 컵 몇번 뒤집어 질뻔 했거든요 ㅋ ], 긍정 텍스트 확률 : 71.60%"
"[유모차에서 정말 잘 자는 둘째아들좀 졸려하면 유모차 끌구 나가요... 정말 푹 잘 자더라구요.요즘엔 더워서 유모차 선풍기도 틀어주고 쿨시트도 깔아주었어요.], 긍정 텍스트 확률 : 62.82%"
"[양대면 주행시에도 부드럽고 방향전환이 잘 됨], 긍정 텍스트 확률 : 59.84%"
"[손잡이 높낮이 조절로 키큰 남편과 함께 편하게 사용 가능], 긍정 텍스트 확률 : 83.88%"
"[한번도 전복 위험 없이 안전하게 주행], 긍정 텍스트 확률 : 54.17%"
"[정말 큰 장점은 역시], 긍정 텍스트 확률 : 80.69%"
"[크리스마스선물 어떤 거 하셨나요?정말 친하거나 가족이시라면가격은 조금 있지만그래도 아기 있는 집에는 꼭 필요한 유모차 선물은 어떠세요? ], 긍정 텍스트 확률 : 83.69%"
"[가볍고 자리 차지 안 하고 승차감도 좋아서], 긍정 텍스트 확률 : 83.32%"
"[콩코드 네오 유모차를 선물로 받으면진짜 좋을 거 같아서 저도 친한 친구가 이번에아기를 가졌는데 큰맘 먹고 선물해주려고 해요제가 써보고 너무 좋으니깐이젠 추 천 하고 선물도 하게 되네요 ], 긍정 텍스트 확률 : 98.52%"
"[엄마가 끌고 다니기에 핸들링이 편하고아기가 타기에는 승차감도 좋고 안전해서 좋더라고요이건 계속 사용해봤기 때문에 ], 긍정 텍스트 확률 : 50.67%"
"[크리스마스선물 콩코드 네오 유모차가격이 비싸지만아기가 세부터 세까지도 쓰는 유모차해주고 생색도 내고 계속 아기랑 같이 커가는 걸 볼 수 있는 굿 아이템], 긍정 텍스트 확률 : 95.20%"
"[선물하는 사람도 선물 받는 사람도 너무 좋은], 긍정 텍스트 확률 : 87.05%"
"[ 콩코드유모차신생아도 안전하게 탈 수있죠 ], 긍정 텍스트 확률 : 67.62%"
"[ 꼭 필요한 디럭스 유모차], 긍정 텍스트 확률 : 84.99%"
"[이 사진은 제 컴퓨터에서 무려 년도 더 된 사진입니다.첫째 공주 별이 백일을 지날 무렵], 긍정 텍스트 확률 : 86.64%"
"[많이 듣던 얘기 중 하나가 유모차 필요 없다라거나 좋은 거 필요 없다라는 정도의 이야기.물론 잘못됐다는 얘기는 아닙니다. 제 경우에는 그렇지 않더라는 얘기.세상의 모든 아기들의 성향과 성격은 다 다를 테고], 긍정 텍스트 확률 : 83.45%"
"[ 부모들의 육아에 관한 견해나 생각], 긍정 텍스트 확률 : 61.97%"
"[ 방식과 노하우도 다 다를 겁니다. ], 긍정 텍스트 확률 : 64.36%"
"[육아에 관련해서 제일 잘한 것이 담배를 끊은 것이고 .. ..제일 잘 산 것은 바로 이 네오 유모차라고 생각합니다. 저 혼자만의 생각이 아닌 마나님과 함께요그래서 신경 써서 제대로 포스팅을 남겨보고 싶어 미루고만 있었는데이대로 계속 묵혀두었다간 아무것도 되지 않을 것 같아 찍어두었던 사진으로라도솔직한 사용 후기를 나름은 객관적인 시선으로라도 전해드리게끔 포스팅을 남겨보려 합니다.앞에서 말씀드린 대로 벌써 년도 전부터 사용한 것이고다른 제품을 구매했다가이건 아닌데 싶어서 바로 처분하고 다시 번째로 유모차를 구입했던 것이었습니다.먼저 샀다가 처분했던 제품은 각 포털 사이트 순위에 명실공히 위를 기록하고예약 구매까지 해서 달여 가까이 대기를 하여야 구매가 가능했던 제품이었습니다.그런데 받아 본 그날], 긍정 텍스트 확률 : 98.16%"
"[콩코드 네오를 설명할 만한 특장점은 몇 가지 되겠습니다만], 긍정 텍스트 확률 : 70.95%"
"[ 위에서 얘기한 먼저 구매했던 유모차를 태울 수 없었던 이유.그리고 콩코드 네오를 구매해야만 했던 가장 큰 이유는 바로 서스펜션 때문이었습니다. ], 긍정 텍스트 확률 : 80.41%"
"[바로 임신 중 이런 경험이 있었기 때문에 더 그럴 수밖에 없었는데요.가뜩이나 흔들린 아이 증후군이라던가 해서 많이 흔들리거나 충격을 받으면 위험하다고 하는데몇 달간 휠체어를 밀고 끌며 다니며 겪어본 우리나라의 보도 환경은 험로와 장애물의 연속이었습니다.임신 중 골절은 호르몬 변화로 인해 회복이 더디어 더 오래 걸릴 수밖에 없었는데그 기간 동안 아내와 함께 휠체어를 이용하게 된 것은 정말 불편하고 힘들었지만한편으로는 값진 경험이고 큰 배움이 되었다고까지 생각이 되더군요.더 길게 얘기하지 않겠습니다. 이건 정말 직접 겪어 보고 느껴 봐야 압니다.만약 임신 중이시라면 각 주민센터나 건강보험공단에서 휠체어 대여가 가능하니 경험해보세요.], 긍정 텍스트 확률 : 100.00%"
"[보고 듣고 아는 것과], 긍정 텍스트 확률 : 73.62%"
"[그리고 이번 대선을 통해서는 제대로 된 정권이 들어서서어서 빨리 장애인과 사회적 약자의 배려를 위한 기반 시설이더 많이 제대로 확충되길 바랍니다. ], 긍정 텍스트 확률 : 97.46%"
"[ 또 누워만 있는 둘째 산이가 하루 중 많은 시간을 안에서나 밖에서나 유모차 위에서 보내고 있습니다.], 긍정 텍스트 확률 : 87.69%"
"[이렇게 우리 두 딸은 콩코드 네오 위에서 웃고 울고 성장하면서 함께 하고 있습니다.아], 긍정 텍스트 확률 : 98.53%"
"[ 곳에서 제작], 긍정 텍스트 확률 : 69.16%"
"[함께 구매했던 안전바 커버가 잘 안 맞는다고 연락드렸더니너무 미안해하시며바로 다시 맞춰서 제작 발송해주시더군요. 그래서 사진에 다시 보시면 걸쳐져..ㅎㅎ사실... 바퀴 커버를 구매한지는 얼마 되지 않았습니다.이 전에는 밖으로 유모차 끌고 나갔다 오면], 긍정 텍스트 확률 : 93.48%"
"[다녀올 때마다 늘 엎어 놓고 유모차 바퀴 닦아서집 안으로 들여서 사용했었다는 사실...ㅜㅜ 이래서 사람은 알아야 하고 배워야 하나 봅니다.ㅋㅋ참], 긍정 텍스트 확률 : 63.14%"
"[롯데아이몰에서 스크래치전할때 구입해서저렴한대신 사은품을 거의 ㅜㅜ없앴다 ], 긍정 텍스트 확률 : 54.37%"
"[박스깐모습 ], 긍정 텍스트 확률 : 51.52%"
"[오호 맘에든다들어 시력보호필름을 벗기면 반품교환불가니 잘결정하고 뜯으라고 함 ], 긍정 텍스트 확률 : 83.72%"
"[블로그보고 직접 주문한.?우주마마우주마마.?수제핸들커버수제핸들커버 안전띠커버 바퀴커버도 왔다ㅋㅋ씬나씬나♡♡ ], 긍정 텍스트 확률 : 54.56%"
"[앞으로 많이 여행다니자근데 무겁긴 겁나무거움ㅋㅋㅋㅋ친정이 층에 엘베한대씩인데다울엄니 복도 두면 먼지앉고 사람손탄다고 매번 쓰고나면 거실에 두는데..힘들다ㅋ그래도 확실히 댕기다보면 생각보다 인도나 길들이 울퉁불퉁 좋지않다머리흔들림 생각하면 좀 무겁긴해도 디럭스 잘산것같다 .?유모차], 긍정 텍스트 확률 : 99.03%"
"[요즘 갑작스레 수험생이 돼서 또 본의아니게 겨울잠블로그 잠수 을 자고 있었는데 ㅜㅜㅋ], 긍정 텍스트 확률 : 55.45%"
"[장농면허 년차의 굴욕을 여전히 벗어나지 못하고 ㅠㅠ 이 추운 날에도 내 발이 되어주고 있는], 긍정 텍스트 확률 : 73.00%"
"[단거리든 함께 하고 있다 ], 긍정 텍스트 확률 : 94.97%"
"[내가 콩코드 유모차를 강추하고 싶은 점 중에 하나가 바로 이 간편한 원터치 폴딩디럭스 유모차가 이래도 되는 거냐며 ㅎㅎ ], 긍정 텍스트 확률 : 54.19%"
"[코드 리베르소 아이사이즈 카시트도 사용중에 있다제품들을 벌써부터 어찌나 선호하는지 ㅋㅋㅋ여전히 카시트만 타면 꿀잠 주무시는 따님...콩코드 리베르소 카시트는 유럽 최신 안전기준이 도입된 국내에서도 손꼽히는 안전한 카시트이다일전에 회전형 카시트를 이용했었는데 뒤보기 전용이 아기에게는 훨씬 안전하다는 것을 알게된 다음부터는지인들에게도 카시트에 대해 추천하게 되면 굳이 회전형을 고집하지 말라고 한다색상도 다양하고], 긍정 텍스트 확률 : 80.98%"
"[사진빨도 잘받는 리베르소 카시트도 ], 긍정 텍스트 확률 : 79.52%"
"[이번 콩코드 정기세일 대상 품목이라는 사실 ], 긍정 텍스트 확률 : 83.52%"
"[할인폭이 장난이 아니다 후아후아 ], 긍정 텍스트 확률 : 51.37%"
"[ 감사합니당 어머님 ], 긍정 텍스트 확률 : 84.51%"
"[ 인터넷으로 알아본 뒤사람들이 베이비 페어로 가야된다는둥제가 사는 동네엔 없는거 같았는데...왠걸 남편이 매장을 찾은거예요토이앤맘 천안점이런곳이 있는줄 몰랐어요 ], 긍정 텍스트 확률 : 86.53%"
"[ 매번 천안쪽 육아용품 매장을 갈때마다생각보다 다 작은 규모였는데생각했던것보다 규모가 꽤 크더라구요진작 알았음 와봤을텐데출산용품 다 준비한뒤 알게된...ㅎㅎ ], 긍정 텍스트 확률 : 97.44%"
"[ 요건 콩코드 브라운 전시품무엇보다도 바퀴가 너무 맘에들고핸들링도 최고 손잡이도 키작은 저에게 맞출수 있게 꺽기기도하고 ], 긍정 텍스트 확률 : 99.45%"
"[ 망설임없이 바로 그레이로 구매친절하게 조립까지 다해주셨어요 ], 긍정 텍스트 확률 : 60.64%"
"[ 조립끝대박이 유모차 완성 ], 긍정 텍스트 확률 : 86.10%"
"[ 얼른 조리원 생활 마무리하고우리 대박이 태우고루비랑 신랑이랑 대박이랑 산책하고 싶어용 ], 긍정 텍스트 확률 : 55.60%"
"[ 콩코드 유모차세탁 업체..빨래쟁이 입니다.. .빨래쟁이. .빨래쟁이. ], 긍정 텍스트 확률 : 65.10%"
"[양대면 상태에선 폴딩이 안된다거나 아님 너무 낮다거나..유모차 공부 많이 하신분들은 제가 말하는 단점들만 보고도 다 각각 무슨 유모차인지 아실듯 하네요제가 결국 콩코드 네오로 결정한건 단점이 없다는 점이었어요..ㅋㅋㅋ 이보다 더 큰 장점이 있을 수 있나요저기서 말한 단점들이 다 보완되더라구요콩코드 네오 관계자도 아니고 제 돈주고 직접 구매했는데 마음에 쏙 듭니다 ㅋㅋ색깔은 브라운이랑 고민하다가 여름에 더워보일것 같아 그레이 했는데 정말 예뻐요일때까지 밖에 나갈일 없다고 천천히 사라고 하던데전 미리사서 집에서 잘 밀고 다녀요 ㅋㅋㅋ아기가 요즘들어 점점 침대에 눕기 싫어하는데 그래도 유모차엔 좀 누워있더라구요아무튼 콩코드 네오 적극 추천합니다 ], 긍정 텍스트 확률 : 61.76%"
"[복땡이랑 엄청 싸돌아다녀야겠어용ㅎ ], 긍정 텍스트 확률 : 91.62%"
"[저흰 좀 멀지만콩코드 본점?이라는화성 토이앤맘에서 구매하기로결정했습니당당시 베페중이었으나임신중에 임신성 저혈압으로기절한 이력이 있던 복땡맘은 무리하지 않기로 하고화성까지만 가기로 했죠ㅋㅋㅋ화성이나 양재나 거리는 비슷하지만사람들 많은 곳은 무리무리ㅋ ], 긍정 텍스트 확률 : 84.18%"
"[엄청 넓어요 ], 긍정 텍스트 확률 : 71.47%"
"[역시나 저흰블랙간지로 샀어요ㅋㅋㅋ딸이지만 상관없다완전 엄마취향저격ㅋㅋㅋ그런데 아가들이 검정색을 싫어해요ㅠ이땐 몰랐내요ㅠ ], 긍정 텍스트 확률 : 92.26%"
"[멋져멋져ㅠ ], 긍정 텍스트 확률 : 97.75%"
"[신생아때는 엄마얼굴을 보고다녀야 안정감을 느낀다고해요그런데 복땡이는 제쪽을 보게하면 안아 달라 울더라구요ㅠ결국 앞보기로 하면 겨우 앉아주내요ㅠ ], 긍정 텍스트 확률 : 74.61%"
"[양대면 어디서나 셀프스텐딩도 기본연약한?저도 완전 잘했어용ㅎㅎ콩코드유모차의 가장 큰 장점인핸들링은 굳이 설명안할게요워낙 유명하니까ㅋ매장에서 꼭 한번 밀어보시길추천합니다 ], 긍정 텍스트 확률 : 99.47%"
"[손잡이 각도를 조절하여남표니도 밀어보아용ㅎㅎ받고보니 젤 멋져용ㅜ완전 내스탈ㅠ ], 긍정 텍스트 확률 : 98.86%"
"[요람은 사이즈가 크다보니고정해주는 밴드가양쪽이 있내요 ], 긍정 텍스트 확률 : 62.30%"
"[요람은 침대이므로안에 푹신한 매트리스카시트로도 사용가능하다는데 너무커서 불가능해 보여요. 신생아카시트 .마지막으로복땡이를 조리원에서 데려올 때부터 태울 카시트 ], 긍정 텍스트 확률 : 56.94%"
"[사실 조리원에서그냥 안고 집에오는 분들이 많은데사고나면안고있던 아이가 충격을 모두흡수하여 엄마는 안전하고아이가 사망하는 경우가 더러 있다고해요ㅠ사실 유모차는 출산후천천히 사려고 했는데신생아용카시트를출산전 구매하려고 했던터라트래블구성상품이 나온김에또 내년되면 가격이 오를것 같아이른감이 있지만임신 개월에 질렀내용ㅎㅎ콩코드 에어 카시트.는 무게가 .키로라 정말 가볍고유모차에 바로 장착이 가능해서호환장치를 안사도 되요거의 차에 있을거 같긴하지만ㅎㅎㅎ여기까지 콩코드유모차를 구매한 후기였고], 긍정 텍스트 확률 : 54.63%"
