"[ . .?수국카롱수국카롱 은 바닐라개], 긍정 텍스트 확률 : 51.50%"
"[둘째 날 아침], 긍정 텍스트 확률 : 75.16%"
"[햇살이 너무 이쁘다. 오늘 날씨 좋겠구나 무조건 해변으로 갑시다.우리의 숙소 배목수집 마당에서 제니도 신나게 놀고 있다. 지난 밤 비로 물에 젖어 못 탔던 미끄럼도 신나게 탔고], 긍정 텍스트 확률 : 95.89%"
"[자동차도 타고. 이렇게 마당있는 집에서 살고 싶다. 허나 우리집도 마당은 있다는 게 아이러니 ], 긍정 텍스트 확률 : 79.42%"
"[드디어 둘쨋 날 첫 일정 시작. 바로 세화해변이다. 숙소에서 가까운 곳이기도 하고 제주에서 바닷물이 가장 예쁜 색이라고해서 찾아갔는데], 긍정 텍스트 확률 : 97.78%"
"[여기 해변은 해수욕 가능한 곳이 아니다 보니 돌무더기 투성. 아이에게 약속한 모래놀이 해줄 수 있는 곳이 안보인다. ㅠㅠ 그런데도 물보니 무조건 가보자고 하는 제니 때문에 어쩔 수 없이 물에 발을 담가봤다. ], 긍정 텍스트 확률 : 99.32%"
"[세화해변의 자세한 후기는 따로 포스팅할 예정이지만], 긍정 텍스트 확률 : 74.16%"
"[우리는 전날 가려다 비와서 포기했던 플레이스 호텔의 도렐로 향했다. 플레이스 호텔 후기도 따로 쓰겠지만 진짜 여기 굿굿. 호텔 룸만 좀더 편안했다면 여기서 묵고 싶을 정도였다.], 긍정 텍스트 확률 : 63.56%"
"[어디 아픈게 아닐까 싶을 정도다. 왜 이리 많이자? 중간중간에 숨쉬는 지 확인해볼 정도다. 가는 길에 풍력발전소 있어서 잠깐 들어가서 풍경감상 좀 해봤다. 지나는 길이라면 잠깐 멈춰 화장실도 쓰고 풍력발전기 돌아가는 풍경도 구경해볼 만하다. ], 긍정 텍스트 확률 : 68.01%"
"[지나는 길에 발견한 성산포성당. 일전에 우리 성당으로 성산포성당 주임신부님이 오셔서 우도 성당 건축을 위한 후원금 모금을 하러 오셨던게 생각나서 성산포성당에 부러 들려보았다. 근데], 긍정 텍스트 확률 : 77.57%"
"[성산포성당... 제주 와서 봤던 왠만한 관광지보다 더 만족스러웠다. 성당마당도 이뻤지만 십자가 동산은 정말 조성을 잘 해놨고], 긍정 텍스트 확률 : 70.08%"
"[십자가의 길을 따라 돌다보면 성산일출봉의 풍경이 완전 제대로 담긴다. 너무 이뻤던 성당. 게다가 성당에 딸린 유치원 마당의 놀이터가 개방형이라 제니도 여기서 한참을 놀았다. ], 긍정 텍스트 확률 : 56.51%"
"[성당 마당에 있는 야자수때문에 마치 외국같은 느낌. 거기다 마당에서 바로 보이는 성산일출봉 뷰는 진짜 굿굿.], 긍정 텍스트 확률 : 60.30%"
"[너무 이쁘게 조성되어 있는 십자가 동산과 십자가의 길. 일부러 제니 깨우려고 자는 애를 안고 나왔더니 드디어 잠에서 깨어나서는 십자가에 관심을 보인다.], 긍정 텍스트 확률 : 53.65%"
"[정말 십자가의 길 코스가 너무 이쁘고 어느 관광지보다 더 좋았던 산책시간. 아직 졸리긴해도 아빠에게 착 안겨서 투정없이 잠을 깨보고 있다.], 긍정 텍스트 확률 : 74.31%"
"[제니 스스로 이제 가자고 할때까지 놀게 해줬더니 집에 가서도 기분 너무 좋은 제니다. 둘째 날 저녁 메뉴는 제주 흑돼지. 식당에서 먹어도 되지만 부러 흑돼지랑 먹으려고 집에서 싸온 와인을 위해 사다 구워먹었는데], 긍정 텍스트 확률 : 82.50%"
"[진짜 최고의 식사였다. 거의 소고기 수준의 흑돼지 값. 두께도 완전 두툼... 흑돼지의 검은 털까지 리얼하게 보여서 뜨끔했지만], 긍정 텍스트 확률 : 92.89%"
"[그래도 잘 먹었다.], 긍정 텍스트 확률 : 69.69%"
"[특히 남편회사에 전직 소믈리에였던 사람이 있는데], 긍정 텍스트 확률 : 73.01%"
"[그가 추천해준 고기와 먹으면 환상적인 와인을 싸가지고 온지라 더더 만족스러웠던 저녁. 진심 와인도 고기도 넘 맛있었다. ], 긍정 텍스트 확률 : 84.59%"
"[둘째 날도 이렇게 끝났다. 온 가족 또 일찍 잠들었고... 이번 여행은 피곤한 거 없이 너무 잘 즐기고 있다. 오늘은 셋째 날. 비는 안오는데 바람이 많이 불고 날이 흐리다. 단단히 방한 대비해서 나가야겠다. ], 긍정 텍스트 확률 : 52.89%"
"[킨텍스 베이비페어 가세요? 킨텍스 전시장 가까운 곳에 살다보니 좋은 행사를 자주 챙기게 되는데요.내일은 킨텍스베이비페어인 회 코베 베이비페어가 시작된답니다.킨텍스 전시장은 홀홀이 있는 제전시장과홀부터 홀까지 있는 제 전시장으로 두 곳이 있어서 가시기 전에 위치를 확인하는 것이 좋습니다킨텍스베이비페어 코베 베이비페어는 제 전시장 홀과 홀에서 열려요.제 전시장 주차장에 주차하시는게 가깝답니다. ], 긍정 텍스트 확률 : 81.89%"
"[코베 베이비페어 홈페이지를 확인해보니 선착순 이벤트부터 다양한 이벤트들을 확인할 수 있는데요.그중에 눈에 띄는 퀴니], 긍정 텍스트 확률 : 88.37%"
"[네덜란드 도렐 그룹 의 유모차 전문 브랜드 퀴니를 선호하시는 분 정말 많은 가지고 싶은 유모차인데내일 킨텍스 코베에서 좋은 가격 혜택으로 만날 수 있네요.킨텍스베이비페어에서 특가로 만날 수 있는 퀴니 유모차와 맥시코시의할인율이 까지 되는데요.할인받은 가격만큼 또 킨텍스 베이비페어에서 득템할 수 있는 여유가 생기는거죠. ], 긍정 텍스트 확률 : 93.41%"
"[특히 새로운 퀴니의 제프 시리즈들을 만날 수 있으니궁금하셨던 분들은 실제로 제품을 만져보고 비교해보고 시운전해볼 수 있겠죠. ], 긍정 텍스트 확률 : 95.30%"
"[유럽에서 더 유명한 맥시코시 카시트는 국내에서도 많은 사랑을 받고 있는데요.킨텍스 코베에서도 특가로 만나 볼 수 있으니 카시트 구입해야하는 분들께 도움되겠죠.카시트 사용은 이제 법으로 규정된거라우리 아이의 안전을 이해서라도 꼭 사용해야하는 육아필수템인데 이왕 구입하는거 최신 유럽 안전 기준 통과한 안전한 제품이 좋겠죠. ], 긍정 텍스트 확률 : 90.91%"
"[퀴니와 맥시코시 브랜드 제품들 할인은 물론 사은품까지 증정하니각 사은품들 비교해보며 더 나은 사은품들 챙겨봐야겠죠?], 긍정 텍스트 확률 : 69.69%"
"[구매 후기 이벤트가 있어서후기만 작성하면선물을 받을 수 있는 이벤트도 있으니제프시리즈 사지는 분들 놓치지 말고 혜택 받으세요.하나 더퀴니 제프엑스트라 대여용 유모차를 빌리면 새 상품으로초특가 할인으로 구입 가능하답니다.색상은 락킹블랙], 긍정 텍스트 확률 : 92.89%"
"[완구등 최대 할인혜택으로 만나 볼 수 있는 킨텍스 베이비페어퀴니], 긍정 텍스트 확률 : 81.59%"
"[브랜드가 준비한 스페셜한 기회 꼭 확인해보세요 ], 긍정 텍스트 확률 : 75.62%"
"[맥시코시퀴니와 맥시코시를 만날 수 있는 부스는이랍니다. ], 긍정 텍스트 확률 : 73.96%"
"[자녀 성별에 구애받지 않는 스타일리쉬한 컬러가 요즘 참 인기인데요.퀴니의 블랙], 긍정 텍스트 확률 : 58.57%"
"[킨텍스 코베 베이비페어 가시는 분들은 맥시코시와 퀴니도 잊지 말고 확인해보세요. ], 긍정 텍스트 확률 : 84.64%"
"[출산 준비하시는 분들], 긍정 텍스트 확률 : 50.77%"
"[ 가정의 달 앞두고 조카 선물 고민하시는 분들미리 구입하면 좋을 기회일 듯요.다녀오면 저도 빠르게 후기 남겨볼게요. ], 긍정 텍스트 확률 : 93.09%"
"[ 이 ], 긍정 텍스트 확률 : 64.12%"
"[ 소정의 ], 긍정 텍스트 확률 : 52.07%"
"[ 받아 ], 긍정 텍스트 확률 : 50.43%"
