"[ 쌍둥이유모차 즉시할인역대가특가 엄선해 보았습니다 인기상품은 조기 품절되니 유의하시구요.특가 추천 상품중에 득템해 보세요 품 구매리뷰후기는 아래 링크로 들어가세요 ▼.. ], 긍정 텍스트 확률 : 78.15%"
"[ 이미 이 곳에 위치한 다양한 식당이나카페 등을 포스팅한 바 있는데], 긍정 텍스트 확률 : 51.27%"
"[ 바닷가에 위치해 있는 데다가건물들이 아기자기하게 위치하고 있어서인지아난티 타운 자체를 돌아다니는 것만으로도색다른 느낌이 듭니다. ], 긍정 텍스트 확률 : 67.96%"
"[ 뒤쪽의 힐튼 부산과 어우러져해외라도 온 듯한 느낌이 드는 곳입니다. ], 긍정 텍스트 확률 : 64.44%"
"[ 아난티 타운 앞 쪽으로 위치해 있는 공간에서는커피 마시며 바다 구경해도 좋고], 긍정 텍스트 확률 : 82.78%"
"[ 구경 하면서 이 곳 저곳], 긍정 텍스트 확률 : 93.69%"
"[특히 바다 배경으로인증샷 찍기 좋은 예쁜 공간이기도 합니다. ], 긍정 텍스트 확률 : 95.28%"
"[ 낮보다 더 예쁜 공간이 되는 곳이기도 하고], 긍정 텍스트 확률 : 81.69%"
"[ 주면에 산책로도 잘 되어 있어서], 긍정 텍스트 확률 : 90.02%"
"[ 잔디밭도 곳곳에 있어서 아이들 뛰어놀기에도 좋고그런 모습 사진에 담기에도 좋은 곳입니다.파란 하늘의 맑은 날씨만 받쳐 준다면], 긍정 텍스트 확률 : 96.76%"
"[ 인생사진도 건질 수 있을 것 같은 곳입니다.. 아난티 타운 워터하우스에서 물놀이 ], 긍정 텍스트 확률 : 88.96%"
"[ 이 곳에 가장 큰 매력 중의 하나는 워터하우스라는 온천수 스파를 이용할 수 있는 것입니다.특히나 워터슬라이드 같은 놀이시설이 없는 대신에], 긍정 텍스트 확률 : 99.13%"
"[어린 아이들이 놀기 좋은 낮은 수심의 탕이 많고], 긍정 텍스트 확률 : 96.37%"
"[ 타운 내에는 다양한 식당이 위치하고 있습니다.사실 이 곳의 식당들은 웨이팅도 있는 편이고], 긍정 텍스트 확률 : 84.97%"
"[ 그래도 밖으로 나가지 않고], 긍정 텍스트 확률 : 59.69%"
"[ 포항에서 시작된 시오라멘 전문점 라멘 베라보도 있고], 긍정 텍스트 확률 : 84.85%"
"[ 로마 대 카페라는 산 에우스타키오 일 카페도 있고], 긍정 텍스트 확률 : 73.67%"
"[햄버거 등을 먹을 수 있습니다.그 외에도 오버랩이라는 브런치 가능한 식당도 있습니다. ], 긍정 텍스트 확률 : 75.26%"
"[ 베이비 토들러 의류 브랜드인베네베네도 있어서 함께 둘러볼수도 있습니다.. 이터널 저니에서 책 읽기 ], 긍정 텍스트 확률 : 88.14%"
"[ 아난티 타운 내에 위치한 서점 겸 카페인이터널 저니도 책 좋아하는 아이들이이용할 만한 공간입니다.이 곳에 대해서도 이미 포스팅했었는데], 긍정 텍스트 확률 : 93.08%"
"[이라는 부제가 붙은 곳 답게일반적인 서점보다 여유로운 공간이라], 긍정 텍스트 확률 : 73.91%"
"[ 내부 둘러보면서 책 보기에도 좋고], 긍정 텍스트 확률 : 71.51%"
"[ 안 쪽으로 아이들 책 판매하는 곳에는앉아 있을만한 공간이 준비되어 있어서책 좋아하는 아이들이라면 여기서꽤 오랜 시간을 보낼 수 있습니다.. 브릭 라이브에서 블럭놀이 ], 긍정 텍스트 확률 : 94.00%"
"[ 일부 레고 제품들 판매도 하고 있습니다. ], 긍정 텍스트 확률 : 71.53%"
"[ 다른 곳에서 잘 보지 못했던 제품도 있고], 긍정 텍스트 확률 : 72.54%"
"[ 안 쪽으로 아이들 놀 수 있는 공간이 있습니다. ], 긍정 텍스트 확률 : 64.16%"
"[ 이 곳에 아이들 놀게 하고], 긍정 텍스트 확률 : 84.53%"
"[ 지나다니면서 살짝살짝 보니], 긍정 텍스트 확률 : 83.82%"
"[ 타운 내에는 .이라는 이름의클래식한 느낌 나는 전동차를 이용할 수 있는 곳이 있어요. ], 긍정 텍스트 확률 : 74.42%"
"[ 만원이 넘는 고가이지만], 긍정 텍스트 확률 : 64.29%"
"[ 앞 쪽에 아이를 앉히고], 긍정 텍스트 확률 : 58.64%"
"[ 이 정도 시간으로도 충분한 것 같더군요.속도가 많이 빠르지는 않지만], 긍정 텍스트 확률 : 68.67%"
"[ 이 정도로 아이들은 속도감이 느껴지는지나름 즐거운 시간 보냈습니다..편의점 ], 긍정 텍스트 확률 : 84.07%"
"[ 아난티 타운 내에는편의점이 위치하고 있어요.이 곳에서 간단한 간식 거리 먹을 수도 있고], 긍정 텍스트 확률 : 60.72%"
"[ 안에 식사할 수 있는 공간도 넓게 있습니다. ], 긍정 텍스트 확률 : 72.87%"
"[ 먹거리 말고도 이것저것 살 수도 있고], 긍정 텍스트 확률 : 50.42%"
"[ 무엇보다 내부에 자리가 있어서], 긍정 텍스트 확률 : 66.22%"
"[크기연년생 개월 개월 아이 둘 태우려니 작은 사이즈로는택도 없더라구요 ㅠㅠ그래서 무조건 커야한다근데 세상에 웨건중에 제일 컸던 프론를 이겼어요두번째], 긍정 텍스트 확률 : 98.60%"
"[ 하나하나 차례로 조립해봐요여자혼자해도 전혀 어렵지않아요그냥 설명서보고 슬렁슬렁 ㅎㅎ ], 긍정 텍스트 확률 : 79.89%"
"[ 드디어 우리집 마차 완성😍🥳🥰 ], 긍정 텍스트 확률 : 67.87%"
"[일산 베이비페어 검색을 해보면 모두 킨텍스만 생각을 하는데 노노.. 잠시 왔다 가는 곳을 가보면 이래저래 트랜드는 알 수 있을 것 같지만 오히려 비싼 품목도 있다는걸 우리는 모두 알고 있다. 그렇지 나만 알고 있나? 아닐거라 믿어보자. 땡용이가 어릴적에는 베이비페어 한번 한다고 하면 며칠전부터 기다리다 방문을 하곤 했다. 정보를 어디에서 구해야 하는지 몰랐을 뿐만 아니라 방문하면 주는 선물이 매우 쏠쏠한 시기였기 때문이다. 그 때는 남편이 없어도 아이를 데리고 방문하는데 힘든줄도 몰랐다. 사람이 인산인해 였어도 선착순에 들기 위해서 새벽같이 발걸음을 움직였다], 긍정 텍스트 확률 : 97.65%"
"[ 그렇다면 지금은? 일단 베이비페어 라는 말에 알맞은 복합상설할인점인 덕이동 압소바에 간다 일단 사람이 많아서 사람에 치일걱정이 없어서 여유있게 둘러 볼 수 있다는 것이 매력적이다. 아이를 데리고 갔는데 좀 차분하게 천천히 둘러 볼 수 있는 것이 아니라 사람에 치여서 들어갔다 나올 때 좀비가 되서 나온 경험이 있는 분들이라면 내 말을 이해 할 듯.. 지금은 근처에 사는 임산부들에게도 소개해 준다 해피랜드], 긍정 텍스트 확률 : 98.42%"
"[ 이것저것 볼 수 있는게 없는거 아니야?아니다. 오히려 빡세게 사람이 몰리는 곳 일산 베이비페어 보다 여유있게 볼 수 있다. 사실 다양한 종류의 아기 옷과 더불어서 장난감 그리고 유모차 까지 꽤 넓은 매장에 많은 제품이 있어서 매번 이런 제품을 어찌 한번에 다 보나 하는 생각이 들기도 한다. 그러나 엄마라면 자고로 발품 정도는 파는법. 매장의 구석구석까지 살펴보는 그런 센스는 충분히 필요하며 들어가면 두시간 이상 소요는 기본이 아닐까 싶다. 하나하나 내 아이에게 어울리는 옷을 사는 것도 그리고 발달에 꼭 필요한 제품을 선택하는 것도 필요하니까 말이다.], 긍정 텍스트 확률 : 89.21%"
"[ 얼마전 늦둥이를 낳은 언니에게 형부에게 필요할 꺼라면서 아기띠를 사주었다 인터넷 금액보다 저렴한 것도 마음에 들지만 모델이 남자라 형부에게 전달하라면서 콕콕 찝어 드렸다. 예전에는 모두 엄마가 안고 있었는데 지금은 남자가 모델인 제품도 꽤 있다. 떙용이때는 좋은 제품인걸 알아도 빠듯한 생활비에 어디서 할인해서 파는지 몰라서 사주지 못하고 그냥 키웠는데 지금 이렇게 보고 있으니 새롭다.], 긍정 텍스트 확률 : 96.10%"
"[ 매장 한쪽에 여유있게 놓여져 있는 세척후 건조시키는 제품이라던지], 긍정 텍스트 확률 : 59.54%"
"[ 그리고 결정적으로 언니가 일산 베이비페어 방문해서 봤던 카시트와 유모차 가격을 정탐해서 오라고 했는데 언니가 알고 있는 금액과 구성보다 조금 더 선물이 많고 금액이 조금 더 저렴하다는걸 확인하고 문자를 보냈다. 언니 여기가 좀 더 저렴해 라고.. 언니 이제 이런건 언니가 하자.. 나 자꾸 시키면 미워한다? 그래도 호구 이모라서 해준다 ㅜ.ㅜ 쳇... 애가 귀엽잖아 ], 긍정 텍스트 확률 : 58.83%"
"[유모차 카시트 사은품이 있고], 긍정 텍스트 확률 : 58.25%"
"[카시트 구매시 신생아 이너시트를 추가로 준다고 하니까 필요하신 분들은 직접 방문해서 보시길 바란다. 아 이왕이면 확인하게.. 그냥 대놓고 최저가 검색해서 캡쳐해 가시길.. 한눈에 비교된다고 그렇게 비교하시고 사가시길래..], 긍정 텍스트 확률 : 59.67%"
"[ 일산 베이비페어 보다 저렴한 이곳 일산덕이동 베이비플러스압소바는 매주 화요일 정기휴일이다. 그러니까 일년 일 찾아가면 큰일 난다. ㅋㅋㅋㅋ 앞으로 화요일은 피해서 방문하자 ], 긍정 텍스트 확률 : 86.67%"
"[근처에 밥집이 많아서 난 좋다.], 긍정 텍스트 확률 : 70.86%"
"[ 분을 걸려 온 맛집인 만큼다양한 메뉴를 먹어보고자 코스를 주문했당.원의 꽤나 부담시려운 가격이지만.....꽃게무침], 긍정 텍스트 확률 : 58.41%"
"[ 요기는 밑반찬들도 오래된게 아니라 그때그때 조리해서 주시는지두부부침도 오뎅볶음도 차갑지 않고 따뜻해서 메인메뉴같은 느낌이었다.밥 미리 시켰으면 밑반찬에 밥 반공기 순삭할 수 있을 듯.......젤 먼저 나왔던 알무침이랑 꽃게무침이건 진짜 간장게장보다도 밥도둑이다매콤달콤한 양념이 그득그득이라 밥에 싹싹 비벼먹으면 한공기 순삭 뚝딱 ], 긍정 텍스트 확률 : 91.86%"
"[ 고민에 고민을 거듭하다가 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ오산이라는 가까운 거리도 있고 결국 직접 수령하러 가기루 함 ], 긍정 텍스트 확률 : 56.23%"
"[ 엄마는 주변 지인들의 말과 블로그와 카페 글을 몽땅 종합해서 우리 무니만을 위한 리스트를 열심히 작성하고 있단다 울 애기야 ♥엄마가 부족함없이 우리 무니한테 사용할 용품들 잘 구매해볼게그런 의미에서 오늘은 선물받은 육아용품들을 제외하고 필요한 아이들을 구매하기 위해수원 육아맘들의 성지 영통의 .?베이비플러스베이비플러스를 방문하기로 했다.육아는 장비빨 역시.......베페나 인터넷최저가], 긍정 텍스트 확률 : 99.68%"
"[여기 베이비플러스까지 세곳의 가격을 비교했을 때자잘한 수유패드], 긍정 텍스트 확률 : 78.52%"
"[손수건 같은자잘한 것들은 인터넷이나 베페가 저렴한 것 같고유모차], 긍정 텍스트 확률 : 68.13%"
"[ 무니의 퇴원부터 우리의 이사를 위한 무니의 이동을 책임질 카시트가 필요했는데신생아부터 모두 사용할 수 있는 아주아주 안전한 카시트를 열심히 검색한 끝에 결정한오래전부터 찜콩해놨던싸이벡스 제로나 큐 플러스베페보다 인터넷최저가보다도 여기가 제일 저렴한데다가 쿨시트까지 추가 증정한다니심지어 오늘이 행사 마지막날이야....ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이거 안 살 수 있나요?원래는 백만원이 넘는 가격이 할인가로 ], 긍정 텍스트 확률 : 94.17%"
"[아기베개를 제외하고는대부분의 제품을 구매할 수 있었던 것 같다. ], 긍정 텍스트 확률 : 79.01%"
"[ .요렇게 알차게 적고 준비한 용품들에 동그라미를 치고 있는데.이제 거의 빈칸이 없구만 뿌듯뿌듯.주변지인들과 맘카페에 올라오는 정보들을 종합해서 내 나름 정리해본 내용인데.혹시나 나중에 친구들한테도 보내주려고 브랜드까지 꼼꼼히 적어놨다 ㅋㅋㅋㅋㅋㅋ .과연 이 리스트를 사용할 두번째 타자는 누가 되려나 ], 긍정 텍스트 확률 : 61.37%"
"[ .출산 직후 아기들 사진을 보면 산도를 지나오느라.머리뼈가 뾰족하게 솟아있던데 ㅋㅋㅋㅋㅋ.그렇게 변할정도로 뼈가 말랑한게 신기하더라.그 솟아오른 머리가 점점 이쁜 두상으로 자리잡는 것도 신기하고 ㅎㅎㅎㅎ.엄마 두상은 약간 절벽짱구고 아빠도 약간 절벽이라 우리 무니 두상은 어떠려나?. ], 긍정 텍스트 확률 : 88.55%"
"[ . .?포몽드포몽드.?짱구베개짱구베개.?신생아베개신생아베개.?아기베개아기베개..그래서 심혈을 기울여 몇날 몇일을 고민해서 주문한 우리 무니의 첫 베개.좁쌀베개는 세탁이 어렵다보니 거의 고민 대상에서 제외했고 짱구베개를 엄청 찾았는데.아기베개로 나온 침구류들이 다 신생아용이 아니더라ㅠㅠ.신생아가 쓰기엔 너무 높아서 목에 무리가 갈 것 같은 디자인들 놉. ], 긍정 텍스트 확률 : 50.47%"
"[ .이로케 하나씩 준비를 해나가는 와중에.고맙게도 예디가 선물을 해준다는...❤️..무니꺼는 많이 받을 것 같다구 나 뭐 필요한거 없냐구 물어봤는데 딱히 생각나는게 없더라.내껀 좀 덜사더라도 무니꺼 사고싶은게 엄마마음인가 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ..역류방지쿠션도 오래오래 고민하던 와중이었는데.이날 드디어 결단을 내렸다. ], 긍정 텍스트 확률 : 99.86%"
"[ .에시앙을 하고자 맘은 먹었으나.디자인에서 또 발목잡힘ㅋㅋㅋㅋㅋㅋㅋ.왕관모양이 진짜 귀여워서 혹했다 진짜..사용은 안했지만 열심히 후기를 검색해본 결과.두가지의 장단점이 명확했다.. ], 긍정 텍스트 확률 : 94.49%"
"[ .오늘따라 자려고 누웠는데무니의 딸꾹질이 심해서 지속적인 배경련? 같은게 온다 ㅠㅠ.무서웡 무니야.... 딸꾹질은 엄마가 조치를 취할 방법이 없구나 ㅠㅠㅠㅠ.무니 태어나면 딸꾹질할 때 씌워줄 모자는 준비해놨엉 쪼꼼만 참어..주니는 회사일 때문에 시 넘어야 올 것 같구.감기기운이 아직 완전히 가시지 않아서 코막힘 때문에 잠들기 어려운 임산부는.........이불을 둘둘말고 이렇게 일기를 적습니당..........요며칠 감기기운 때문인지 생각이 많아져서 그런건지 잠을 도통 푹 못잔다..길어야 시간 정도 자고 보통 시간마다 깨는 듯.꿈도 너무 생생하게 꾸다보니 내가 잔건지 하루를 보낸건지 구분이 안갈지경 ㅠㅠ..화장실가는 횟수가 늘었어도 밤중에는 잘 안갔는데.요 며칠은 밤에도 번은 꼭 가게 된다.환절기라 그런건지 미세먼지 때문인지 몰라도.건조하고 목도 칼칼해서 물마시러도 일어나구.눈뜨면 겨우 한시간 지나있을 뿐이니 피로만 더 쌓이는 기분 ..눕기는 시 쯤 눕고 바로 잠이 안와서 뒤척이다가.핸드폰으로 무니 용품 주문하고 출산후 챙겨야할 것들도 정리하다보면 시.슬슬 잠이 오는 것 같아 다시 쭈그리고 잠을 청해보면 생각에 생각이 꼬리를 물다.잠깐 잠들어서 실제같은 꿈을꾸고 잠꼬대를 하며 깨고 .내가 잔건지 잠깐 생각에 빠진건지ㅋㅋㅋㅋㅋㅋㅋ.그나마 주니가 출근하고 해뜨는 거 보고 시부터는 좀 푹 잠들어서 .요새는 시까지 늦잠아닌 늦잠을 자구있다..적어도 시에는 기상했었는데.너무 점점 게을러지는 것 같아 걱정됨 ㅠㅠ.이러다가 무니 나오고 다크써클이 저 밑까지 내려올까봐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ.제발 푹 잠들 수 있었으면. .?임산부불면증임산부불면증.?임산부잠임산부잠.?임신불면증임신불면증], 긍정 텍스트 확률 : 95.34%"
"[ .고관절 스트레칭을 많이 해놔야지.나중에 출산할 때 아기가 잘 내려올 수 있다던데.엄마 열심히는 하고 있는데 잘 모르겠다😂..우리 무니 머리 안답답하고 쑥 나올 수 있게.맨날 동영상보면서 자세도 연습하고 힘주기도 연습하는데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ.막상 현실로 닥치면 아파서 내 맘대로 안 될 듯 싶다. ], 긍정 텍스트 확률 : 89.13%"
"[ .넘 이뽀가지구 신혼집 들어가면 우리 안방에 장식해야겠당 센수쟁이 고마옹👍🏻👍🏻. ], 긍정 텍스트 확률 : 57.02%"
"[ .역시나 커피만 먹지 않아요.수니의 최애 허니브레드는 필수메뉴입니당.크림을 따로줘서 금방 녹지 않고 마지막까지 빵에 잘 발라서 먹을 수 있었당 냠냠. ], 긍정 텍스트 확률 : 65.53%"
"[ .감기에 걸리고 나니 이제 알아서 목티를 찾아 입습니다.........엄마가 죽어라 춥다고 목티 좀 입고 다니랬을 때는 답답하다고 브이넥만 입었는데.이젠 무니를 위해서 내 몸은 내가 챙긴다 ㅠㅠ.이쁜거고 뭐고 따신게 최고여. ], 긍정 텍스트 확률 : 75.50%"
"[ .우리 짱구까지 합류.우리 코찔찔이 훈이담당 서혀니랑.나름 한공부했던 철수담당 수니 ], 긍정 텍스트 확률 : 57.11%"
"[ . 태동은 여전하지만 이젠 조용한 시간보다 움직이는 시간이 더 많아진 기분.배가 얌전하면 무니가 왜케 얌전하지? 라는 생각이 들정도 ㅋㅋㅋㅋㅋㅋ. 출산이 다가오고 있으니 빨래를 대량으로 하기 위해 전반적인 아기용품 구매 완료. 밤새 깨는 횟수가 더 늘어남. 화장실을 가기 위해 혹은 심한 갈증을 느껴서 일어나기도 하고 시간 이상의 깊은 잠을 못 잠. 꿈이 너무 생생하게 기억나서 잠을 잔게 아니라 하루를 보낸 기분. 출산에 관련된 꿈을 많이 꾸게 됨. 진통이 와서 병원에 가거나 밖에서 무니를 낳거나 수술대에 올라가는 등의 꿈들. 꿈인데도 진통이 너무 생생하게 느껴져서 아픈기분을 느끼며 울면서 깨기도 함. 이렇게 생생한 꿈을 꾸고 나면 한동안 다시 잠들기 힘들어짐......... 가끔 아랫배에서 극심한 통증을 느끼기도 한다. 생리통이 몰아서 오는 기분? 가진통인가......주차 증상은 잠자리 이야기 밖에 없는 듯....겨울이 오면서 해가 짧아져서 금방 어두워지는데 밤이 오는게 점점 싫어진다 ㅠㅠ... ], 긍정 텍스트 확률 : 99.99%"
"[이웃님들 안녕하세요옹날씨가 많이 추워요저는 아이가 태어나고 아주 정신없는하루하루를 보내고 있답니다새 생명을 만나 케어한다는게참 쉬운일이 아니에요제 몸둥이 하나 건사하기도 힘든데아기를 키우고 있다니잠도 못자고 보통일이 아니네요모든 육아하시는 분들 화이팅입니다저는 지인이 얘기를 해줬는데아기가 태어나도 당분간 유모차를쓸일이 없다고 하더라구요처음에는 많이 안고있게 되지머리도 너무 흔들리면 안되니까유모차는 조금 더 있다가정보를 모아보고 나중에 사라고 들었어요그래서 그동안 계속 미루고 미루던육아용품 구매리스트에 있던 유모차 구매이번에 드디어 저지르고 왔답니다아이 키우면서 육아템 중에 가장 큰 비중을 차지하는 물건 중하나가 바로 카시트와 쌍벽을 이루는 유모차 아니겠습니까사실 남편의 가장 친한 친구가아직 결혼을 안한 분이 있는데요그 친구분이 유모차를 덥석 사주겠다고얘기를 했다는거에요아이가 태어났다는 소식을 전해줬더니그 소리를 바로 했더라구요그런데 유모차는 일단 비싸잖아요십만원 이십만원 하는 정도도 아니고..그리고 선물을 받게되면 또 그만큼그 친구분에게 나중에 아기가 태어나면그대로 돌려줘야 하는게 인지상정이잖아요그래서 제가 받을수 없다고말씀만으로도 너무 감사하다고 했어요조금 아쉽죠 호호호참 좋은 친구를 뒀어요 우리남편금액대도 좀 나가기도 하고요그래서 쉽게 덜컥 사기도 그렇고요즘 또 브랜드며 기능이며 정말 많이 다양하게 나오잖아요저처럼 선택장애 중증환자인 사람한테는이런 거 고르는거 정말 괴로운 일중에 하나랍니다저는 쇼핑하는데도 너무 오래 시간이 걸려서 진짜 괴롭거든요온라인에서 장바구니에 물건을 담았다가이 사이트 저 사이트 왔다갔다쿠폰도 이것저것 다 적용시켜봤다가그래도 가격이 별로 마음에 안들면한시간동안 그렇게 고민을 하다가도결국에는 안사고 핸드폰을 내려놓는 제 자신이 너무 싫어요더군다가 제 물건 사는것도 몇날며칠이 걸리는데소중한 내 아이가 탈 유모차라 생각하니더더욱 쉽게 구매가 안되더라고요유모차가 우리아이의 처음타는 차], 긍정 텍스트 확률 : 98.75%"
"[첫 차라고 하잖아요디럭스를 사느냐 절충형을 싸느냐하나하나 다 비교하고 따져보게 되고 비교검색하고그리고 무엇보다 유모차는 아이가 타고 다니는아이의 또다른 두발이 되어줌과 동시에 아이의 안전까지책임져 줘야 하기 때문에 더더욱 신중할 수 밖에 없었습니다그러던중 한참 검색에 검색을 거듭한 끝에저의 최종 후보리스트로 오른 아이템이 딱 두개 있었는데요선택장애 중증환자인데도 이렇게 후보를 두개로 좁힌거 보면대단하지 않나요? 호호그중에리안솔로 절충형유모차와리안 그램플러스 휴대용유모차 요렇게 두가지가 최종후보에 올랐어요인터넷이랑 여기저기 가격비교도 해보고 했는데최근 제가 자주 찾는 맘까페에서 어떤분이제가 찾는 저 두모델], 긍정 텍스트 확률 : 98.26%"
"[우리동네 베이비파크에서도저렴하게 판매하고 있다고 한번 가보라는거예요저는 당연히 온라인 최저가가 오프라인보다 더 저렴할 줄 알았는데꼭 가보라고 추천하셔서 혹시나 하는 마음에남편이랑 같이 방문을 해보았답니다위치니느 부천 서울여성병원 앞에 위치하고 있었구요호선 상동역 출구 바로 앞에 위치하고 있답니다제가 사는 동네이기도 하고여기는 항상 지나다니는 길이라 익숙합니다심지어 아기도 바로 옆에 있는 병원조리원도 바로 옆에 있었어요 ], 긍정 텍스트 확률 : 98.30%"
"[ 살짝 떨리는 마음을 안고 도착한 매장앞와 그런데 정말 맘까페 선배맘들한테 듣던대로 였습니다.입구에서부터 베이비페어보다 저렴하게 판매한다고아주 당당하게 대문짝만하게 써져 있는걸 보니뭔가 더욱 믿음이 가고 신뢰가 가기 시작했어요진짜 저렴하게 판해하고 있지 않으면저렇게 내걸지 못하잖아요.요즘 맘카페에 소문이 무섭기 때문에이런 얘기 함부러 못하죠저만 이런데 모르고 살았나봐요늘 집구석에만 처박혀 집순이 모드로 컴퓨터만 보고 있으니바깥에 어떤 매장이 있고 어떤 좋은 로드샵이 있는지알리가 있나요. 이젠 좀 정보공유도 하고 그러고 살아야 겠어요맘까페 회원님들 덕분에 이런 곳도 알게되고너무 감사한 순간이었답니다여기 몰랐으면 저는 인터넷에서 괜히 덤탱이 쓰는느낌으로 훨씬 비싸게 주고 샀을거예요 아마.생각만 해도 끔찍부천 엄마들 사이에서는 유모차랑 카시트 제일 싸게 살 수 있는곳으로입소문이 나서 이미 유명해질대로 유명해진 곳이었습니다건물 지하에도 매장에 이어지는데], 긍정 텍스트 확률 : 99.69%"
"[보행기 처럼 부피가 큰 물건들이많이 있어서 그런거 찾으시는 분들은바로 지하로 직행하시면 된답니다매일 차로 지나다니면서 보기만 했지전혀 지하전시장까지 있는줄을 생각도 못했네요임신부터 출산 육아에 관련한 모든 물건들이 보기좋게또 종류별로 정리되어 있어 쇼핑하는데 너무 편했어요아이가 생기니까 제 물건 쇼핑할때보다아이물건 작은 옷들 보고 있을때 너무 행복을 느껴요제 옷이나 이런거 쇼핑은 아마 아이 낳기 전 몸매로돌아갈때까지 못할거 같네요지금의 사이즈를 제가 받아드릴 자신이 없어요당분간은 레깅스에 롱티만 입고 다닐래요 ], 긍정 텍스트 확률 : 61.45%"
"[ 제품들도 딱 보기좋게 깔끔하게 진열되어 있었습니다가보니까 폭풍검색으로 알게 된 브랜드들도 많이 보이더라고요프론토웨건이랑 보행기들], 긍정 텍스트 확률 : 77.16%"
"[다양한 발육용품들도눈에 띄었습니다직접 보고 있으니 저도 마음이 흔들흔들 하더라고요특히 저 웨건은 지나다니다 보면 참 탐나는 물건중에 하나 였어요아이랑 엄마아빠 짐도 외출하려고 나오면한가득인데 그것도 실을수 있고아이가 잠들면 그냥 눕혀도 좋고앉아서 공간이 넓으니까 장난감도 넣어줘서 갖고 놀더라구요아이가 두명이면 둘다 태어도 좋고참 잘 만든 효자 육아용품이에요발육용품 같은 경우는 딱 한철 쓰는 제품이라는 생각이 강해근처 대여샵에서 대여해서 쓸까 생각중이었는데막상 내가 엄마가 되고 나서 보니], 긍정 텍스트 확률 : 99.95%"
"[ 내 아이가 쓸 제품이라 생각하니 괜히 대여보다는좋은거 사주고 싶고 그런 마음도 생기네요. 하하사람마음이 이렇습니다. 엄마마음이. 흑흑이 지역에서는 중고육아용품을 구하기가 어렵지는 않은데요그래도 새 상품을 사서 만약에 아이가 사용을 거부해서안쓰더라도 나중에 중고로 파는게 저는 좋다고 생각해요중고용품 사면 소독해야 되죠세탁해야되죠 하나하나 다 닦아야되는데닦는것도 보통일이 아니거든요특히 아이가 돌이 안 지나서 너무 어릴때는위생에 엄청 신경을 써야 하잖아요괜히 중고용품 쓰다가 아프면 이거 때문인거 같고 엄마아빠가제대로 안닦아서 아픈거 같다는 생각이 들거 같아요제가 너무 쓸데없는 생각을 했나요? 호호제가 조금 유난떠는 스타일이거든요..아무래도 첫 아이이다 보니까 그런거 같아요 ], 긍정 텍스트 확률 : 99.86%"
"[ 아웅 아기 식탁의자들도 쪼로록 진열되어 있었습니다안그래도 이번에 사촌언니가 연락와서저한테 따로 출산선물도 못해줘서 미안하다며늦었지만 지금이라도 필요한거 말하면 하나 사주겠다고 하더라고요한사코 괜찮다고 괜찮다고 했지만], 긍정 텍스트 확률 : 86.73%"
"[ 여기서 마침 아기 식탁의자도 구경할 수 있어서 너무 좋았어요아기 식탁의자는 딱히 브랜드나 그런거 잘 아는게 없고그냥 실제로 제가 보고 기능적인걸 확인 한후에안전하고 실용적인걸로 사고싶었는데여기 딱 마침 가격대도 적당하고 튼튼해 보이는게 있어서언니한테 바로 사진 찍어 보냈어요. 히히그리고 괜히 인터넷 최저가 이런거 검색할 생각말고여기가 젤 저렴하니 여기와서 사라고 했어요이 언니도 이래저래 저를 잘 챙겨줘서참 고마운 친척언니중에 한명이에요빨리 좋은 사람 만나서 결혼하면 좋을텐데 안 나타나네요아까 그 남편 친한친구랑 소개팅도 제가 해줬었는데그다지 마음에 들지 않았나봐요몇번 만나더니 연락을 안하더라구요사람 인연을 제가 마음대로 이어줄수는 없어서참 안타까웠어요남편 친구가 정말 착하고 괜찮은 사람이어서소개해줬는데도 말이죠남편친구는 벌써 자기 이름으로 된 집도 있어서그냥 시집만 가면 되는 상황이었는데저 너무 속물같나요? 하하하다들 아시겠지만 결혼을 해보면빚없이 집을 샀다 안샀다라는 사실에 많이 희비가 갈리거든요저축하기도 빠듯한데 대출받은 돈을 계속년 년 갚아나가야 된다고 생각해보세요얼마나 힘들겠어요아이도 태어나고 앞으로 돈 들어갈 일이 계속 생기는데 말이죠물론 먼저 그 사람을 사랑하고 평생을 같이 하고싶은게제일 중요하겠지만 집까지 있는 사람이라면너무 편하게 결혼생활을 할수 있을거 같아요제 신랑이 그렇거든요여러분 자랑아닌 자랑같은 자랑이에요부러우면 얼렁 얼렁 결혼하세요 ], 긍정 텍스트 확률 : 99.30%"
