"[ 편리성은 포기해야 되는 단점이 있어요절충형은 디럭스와 휴대용의 중간단계로 양쪽 장점을 반영했고휴대용은 무게가 가벼워 외출할 때나 보관이 용이한 반면], 긍정 텍스트 확률 : 54.69%"
"[ .손잡이안전바종 세트입니다..모두 벨크로로 제작되었어요...인조가죽 베이지 후기가 드디어 왔어요.이 원단 진짜 신축성이 어마 무시해서.손잡이에 쫙쫙 달라붙거든요..오염이 묻어도 물티슈로 쓱쓱 닦아 주면 되고요..미마 자리 화이트 유모차에 깔끔하게 잘 어울리네요...블랙 원단 단종 돼서 정말 슬픈데요..다시 판매될 때까지 기다리렵니다.가죽 원단 신축성에 안쪽도 기모로 되어마찰력이 커서 미끄러지지 않아요..견적가 저렴할 때 많이 델고 가세요...인조가죽 베이지 무지 커버하실 이웃님들 참고해주세요.다시 한번 귀한 후기 감사합니다. ], 긍정 텍스트 확률 : 99.55%"
"[ 미마자리 화이트 지퍼형 손잡이커버입니다.추가 주문 주시고 후기사진도 보내 주셨어요손잡이커버만 다시 지퍼형으로 하셨구요.벨크로형이 더 예쁘시다고 하시네요지퍼형은 좀더 보완이 있어야할듯합니다.미마자리 커버 이용하시는 분들 참고해주세요다시한번 더고급진 후기과 의견 감사합니다. ], 긍정 텍스트 확률 : 99.52%"
"[ 안전바커버 등등.. 부착형태.벨크로형지퍼형.. 주문원단 ..알려주시면 견적가랑 주문안내해드립니다..주문원하시는 상품에 꼭비밀 덧글 로 알려주세요.. ★★★★], 긍정 텍스트 확률 : 58.14%"
"[ 유모차 개로 가지 스타일을 다 사용할수 있어서좋은것 같아요그리고 제일 걱정됫던게], 긍정 텍스트 확률 : 68.00%"
"[유모차가 가죽시트로 저렇게 틀이 있어서애가 조금만 커버리면 못 탈 것 같았거든요근데 살정도 되보이는 애가 저 유모차를 타고 보란듯이 지나가더군요 ㅋㅋㅋㅋ .?미마자리액세서리미마자리액세서리 ], 긍정 텍스트 확률 : 50.95%"
"[ 여기서 제가 가지고 있는거는컵홀더], 긍정 텍스트 확률 : 50.87%"
"[ 카멜 블랙스노우화이트이렇게 가지 있어요판매자 분 말로는지역별로 선호하는 색상이 다르데요 ㅋㅋ서울분들은 카멜뭐 어디는 화이트 ], 긍정 텍스트 확률 : 68.48%"
"[하셨는데기억이 하나도 안나네요ㅠㅠ여튼 저는 화이트랑 카멜중에 엄청나게 고민하다가일단 카멜을 하고혹시나 마음이 바뀌면 일내로 연락드리겠다 했는데결국 카멜색상으로 했어요화이트는 너무너무 이쁘지만 차에 실었다 내렸다하면서 때탐과 긁힘 등관리가 어려울것 같아서요ㅠ지금 생각해보면카멜 색상 선택 잘한것 같아요아 그리고 이너시트도 원하는 색상으로 선택가능해요저는 블랙 으로 했어요 하루하루유모차 올날만 손꼽아 기다리다가월 일쯤 유모차가 왔어요오자마자 폭풍조립 .?미마자리설치미마자리설치 .... ], 긍정 텍스트 확률 : 99.91%"
"[ 우래기 첫시승❤️ ], 긍정 텍스트 확률 : 75.82%"
"[ 이래봐도 이쁘고 ], 긍정 텍스트 확률 : 78.93%"
"[ 저리봐도 이뻐요], 긍정 텍스트 확률 : 78.48%"
"[ 쪽쪽이를 물고 있는 몇 안되는 사진......지금은 쪽쪽이 절대 안물어요 ㅋㅋ ], 긍정 텍스트 확률 : 61.45%"
"[ 요람형이라서차에 이렇게 잠시 실을수도 있어요 ㅋㅋ ], 긍정 텍스트 확률 : 71.62%"
"[ 그리고 봉하마을 나들이 ], 긍정 텍스트 확률 : 70.21%"
"[ 요거 작년 가을 사진인데얼른 봄이와서 유모차끌고 나들이 가고 싶네요 ], 긍정 텍스트 확률 : 62.87%"
"[ 베이비페어에서 같이 산 친구네와함께 나들이갔을때 찍은 사진이네요 ], 긍정 텍스트 확률 : 91.53%"
"[ 워낙 누워있는걸 싫어하는 아기라 그런지앉는 의자형 시트를 훨씬 좋아해요아그리고 지금은겨울이라 .?미마자리악세사리미마자리악세사리 중 하나인.?풋워머풋워머 씌워뒀어요 ], 긍정 텍스트 확률 : 82.23%"
"[ 풋워머안에서움직이면 이렇게 됩니다 ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 64.90%"
"[ 가는동안 재우기 성공이날은 진짜 효자였어요ㅠㅠ엄마 밥먹는 내내 자고유모차에서 시간 잤어요식당 아주머니들이 순하다고 폭풍칭찬...안순하지만 그냥 네... ], 긍정 텍스트 확률 : 97.06%"
"[ 겸블리 생애 첫 문센가는날손 밖으로 내밀고 있으니 더 귀엽자낭❤️ .?미마자리각도조절미마자리각도조절 ], 긍정 텍스트 확률 : 84.76%"
"[미마 자리세계 최대 규모의 유아용품 전시회 “ ”에서 전문가들이 선정한 가장 뛰어난디자인], 긍정 텍스트 확률 : 83.25%"
"[ 편리성 및 우수성을 겸비한 혁신적인 제품에 부여되는 “”를유모차 부문에서 수상한 세계 최고의 프리미엄 유아 유모차 브랜드 입니다. 봄이 오면 겸블리 차 끌고 나들이 많이 다녀야겠어요 ♥ ], 긍정 텍스트 확률 : 99.77%"
"[....안녕하세요. . .?인천유모차카시트인천유모차카시트 전문.그린앙팡 인사드립니다...아직 추위가 기승을 부리는 연말입니다..한 해 마무리와 더불어.건강관리 잘 하시길 바랍니다..더욱 따뜻하고 즐거운 새해 되시길 기도 합니다.. .처음과 마지막.마지막과 처음..늘 같은 마음 가짐으로 .달려갑니다.. ], 긍정 텍스트 확률 : 100.00%"
"[ ....오늘은 미마자리 고급유모차 입니다..생활때가 마니마니있습니다...고객님께서 물려받은 유모차.깨끗히 해드리겠습니다.. ..?그린앙팡그린앙팡. .?물려받은유모차세척물려받은유모차세척.?물려받은카시트세척물려받은카시트세척 ], 긍정 텍스트 확률 : 70.41%"
"[ ..생활때가 많이 많이 있습니다..미마자리 유모차는 도 되는 물에.유아세제 타고 샤워타올로 세탁 . 구석 구석 세척해 야지.좋습니다.], 긍정 텍스트 확률 : 74.13%"
"[ .풋머프에 강아지털이 있네요.세탁해 보겠습니다. ], 긍정 텍스트 확률 : 51.23%"
"[ .유아세제 타고 샤워타올로 세탁 . 구석 구석 세척해야지.좋습니다. ....세탁후 . ], 긍정 텍스트 확률 : 81.49%"
"[ ..전화. . .... .?물려받은카시트세척물려받은카시트세척.?인천유모차카시트인천유모차카시트.?싸이벡스카시트세탁싸이벡스카시트세탁.?퀴니유모차세탁퀴니유모차세탁.?인천유모차세탁인천유모차세탁 . .?유아전용세제유아전용세제.?송도유모차세탁송도유모차세탁.?그린앙팡그린앙팡], 긍정 텍스트 확률 : 53.61%"
"[ .?미마자리미마자리.?미마자리플레어미마자리플레어.?미마자리유모차미마자리유모차 .?미마자리핸들커버미마자리핸들커버.?미마자리손잡이커버미마자리손잡이커버 .?유모차핸들커버유모차핸들커버.?유모차바퀴커버유모차바퀴커버고객님이 보내주신 미마자리 핸들커버 땡땡이 후기사진입니다미리 땡땡이 인기는 여전하구요어느 색상에든 어느 디자인에든 무난하게 잘 어울리는거 같아요 ], 긍정 텍스트 확률 : 90.29%"
"[ 소중한 후기사진 넘 감사드려요 ], 긍정 텍스트 확률 : 92.97%"
"[안녕하세용아이꾸입니댱 ], 긍정 텍스트 확률 : 75.32%"
"[ 이건 스토케 트레일즈입니다스토케 익스플로리 모델과 다른점은발판과 손잡이 정도? 더있을수도ㅋㅋㅋ제가 좀 차 브라운시트에 집착을 하는데요이것도 브라운색상이라 조금 집착 했었어요 ], 긍정 텍스트 확률 : 58.51%"
"[ 미마자리 유모차는 브라운색상 아니면화이트가 진리지요맨 위에 미마자리는 제가 첨 본 색상인데은색?같은거라 본적이 없어서마음을 좀 뺏겼었지만해외구매를 했어야했고 아무튼 결론은가죽이라 패스... ], 긍정 텍스트 확률 : 66.72%"
"[ 하얀색은 넘 이쁜데내가 가지고 다니면 분명히너덜너덜 지저분해질것이뻔하기 때문에 패스 ㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 61.61%"
"[ 그리고 마지막까지 고민했던오르빗아 ㅠㅠ 이건 진짜 아직도 사고싶어요 ㅋㅋㅋㅋㅋㅋㅋ유모차 있는데도 탐남ㅋㅋㅋ왜냐면 도 회전하는게 정말너무 좋은 기능 같았고 로즈골드프레임 진짜예쁘고 가격이 진짜 대박이거든요디럭스치고 저렴한데 저기다가풀옵션으로 뽑아도 저렴해요 ㅋㅋㅋ신생아용 유람?도 같이 구매하면카시트로도 사용 가능한데 그걸 또 유모차에꽂을 수 있어서 애기 잠들면 안깨우고바로 카시트뽑아서 유모차에 꼽고 집으로 가면됨근데 왜 이걸 안샀는가바로 눈높이 때문 ㅠㅠ 흑..암튼 그래서 저는 .가장 안질릴것 같고.아기와 눈높이도 맞출 수 있고.튼튼하고.한정판 색상을 가지고있는스토케 익스플로리 로 골랐습니다내돈내산 아니지요찰고돈고산입니다찰떡이 고모가 고모돈 주고 사준 선물ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 73.33%"
"[ 스토케 익스플로리 애슬레저 그린색상 도차꾸일단 층 엄마집에 갖다놨어요ㅋㅋㅋㅋㅋ층에 놔둬야 왔다갔다하기 편해서용 ], 긍정 텍스트 확률 : 81.08%"
"[ 이것좀 보세요 ㅠㅠ애슬레저 그린색상ㅠㅠ 넘예쁘..취향저격스토케 익스플로리 애슬레저 그린색깔모르는사람 없게해주세요.. ], 긍정 텍스트 확률 : 93.28%"
"[ 브라운색상의 가죽은날 설레게하지 ], 긍정 텍스트 확률 : 73.03%"
"[ 겨울에 쓰는스토케 익스플로리 전용 방한커버는 만원ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ근데 엄청 예쁨.. ], 긍정 텍스트 확률 : 84.38%"
"[ 스토케 익스플로리에 맞는방한커버도 구입 ㅋㅋㅋㅋㅋㅋ한겨울인데 애기 땀흘림 부럽..나는 추운데그래도 유모차 손잡이에 다는장갑도 사서 내손만큼은 따뜻함 ㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 92.47%"
"[ 일때부터 태우고 외출해서 그런지이거 타면 나가는줄 알고 좋아해요넘나 귀여운것..내일 또 어야가자 ], 긍정 텍스트 확률 : 95.86%"
"[안녕하세요 토리파파에요 드디어 저희가 쓰고있는 유모차에 대해 포스팅을 해보려고 합니다.유모차 얘기를 쓰려고 쓰려고 했는데외출을 하면 아무래도 토리를 보다보니이제야 포스팅을 하게 되네요. ], 긍정 텍스트 확률 : 64.17%"
"[ 일단 미마자리의 장점 은?사실 주변이 친구들거도 많고 해서 부가부], 긍정 텍스트 확률 : 56.53%"
"[ 미마자리 저희는 이쁘고 튼튼해서 만족스럽게 쓰고 있어요.그런데 한번씩 바쁘게 다니다 보면 유모차를 대여할 때가 있는데현대백화점에 가니 스토케 크루시 대여해주더라구요. ], 긍정 텍스트 확률 : 72.49%"
"[다른거보다 수납공간이 넓어서백화점 구경다니거나 장볼때도 편하더라구요.다음 서드 유모차를 살 일이 있으면 이걸 사려고 합니다.단종되었다는데 구할수 있을진 모르겠지만요. ], 긍정 텍스트 확률 : 75.75%"
"[ 무튼 미마자리 잘 쓰고 있습니다.유모차는 어느선을 넘어가면 다 비슷하니그냥 이쁘고 마음에 드는거 사세요 너무 고민하다 지쳐버린 토리파파 올림 .?미마자리미마자리], 긍정 텍스트 확률 : 96.16%"
"[처음 유모차를 살 때 디럭스], 긍정 텍스트 확률 : 77.75%"
"[그리고 승차감이 좋고 안전성이 높은 디럭스 중에서 각자의 취향에 따라 선택을 하게 되는데요저는 아이의 승차감과 안전성이 제일 중요하다고 생각하기 때문에디럭스 유모차를 골랐어요하지만 수 많은 유모차 브랜드 중에서 한번 더 고민을 하게 됐어요ㅜㅜ그러던 중에 제 맘에 쏙 드는 유모차를 발견했어요바로 지금 소개해드릴 미마자리 유모차인데요 ], 긍정 텍스트 확률 : 99.68%"
"[스노우화이트 이렇게 세가지가 있는데 저는 카멜이랑 고민하다가 결국 시크한 블랙으로 골랐어요이런 세련된 디자인도 미마자리를 고르는데 한 몫 했어요차를 살 때도 성능을 제일 중요하게 보지만 디자인도 많이 보잖아요 ㅎㅎ ], 긍정 텍스트 확률 : 98.15%"
"[ 홈페이지에 나와있는 미마자리의 대표적인 기능이나 특징이에요여기에는 나와있지 않지만 제가 제일 마음에 들었던 부분은 핸들링이에요디자인에 반해서 이미 이 유모차를 사야겠다고 다짐하긴 했지만그래도 제가 끌고 다녀야 하는 유모차니까 직접 운전해보고 싶어서신세계 백화점에 가서 시운전을 해보았는데 확실히 다른디럭스 유모차보다 핸들링이 좋아서 손목에도 무리가 없더라구요 ], 긍정 텍스트 확률 : 76.18%"
"[ 이게 제가 산 미마자리 유모차에요 ㅎㅎ확실히 튼튼하게 생겼죠? 그래도 산지 얼마 안돼서 지금 아주 애지중지하면서 다니고 있답니다.바퀴가 크로 튼튼해서 그런지 어느 정도 울퉁불퉁한 길로 다녀도안정감 있게 다닐 수 있어요서스펜션 기능도 좋아서 아이를 데리고 점자블럭 위를 지나가도 잘 안 깨더라구요.그리고 정말 울퉁불퉁한 길을 지나갈 때나 경사가 가파른 오르막길을 올라갈 때 앞바퀴가 헛돌지 않고 편하게 지나갈 수 있도록앞바퀴를 잠글 수 있어요 ], 긍정 텍스트 확률 : 97.43%"
"[ 또 다른 유모차랑 다르게 브레이크가 원터치 방식이에요밟아서 내리고 발등으로 올릴 필요 없이 눌러서 브레이크를 걸고눌러서 해제할 수 있으니까 편하기도 편하고 신발도 안 더러워져서좋더라구요안그래도 흰 신발은 금방 더러워지는데 조금이라도 더 지켜줄 수 있겠네요ㅎㅎㅎㅎㅎ ], 긍정 텍스트 확률 : 99.57%"
"[ 그리고 디럭스 유모차의 가장 큰 단점인 휴대성이 확실히 보완됐어요제가 봤던 디럭스 유모차들 중에서 유일하게 시트를 분리하지 않고 폴딩이 가능한 디럭스 유모차가 미마자리였어요많은 디럭스 유모차가 차에 들어가지 않고나 차에 넣을때 까다로운데미마자리는 그런 문제 없이 한번에 접히니까 너무 편하더라구요 ㅎㅎ집에서 보관하고 있을 때도 저렇게 폴딩해서 보관하면 자리도 많이차지하지 않아서 좋아요], 긍정 텍스트 확률 : 55.19%"
"[ 오늘 추천드린 미마자리 유모차는디럭스 유모차를 찾는 분들에게는 정말 후회 없는 선택이 될 거라고 생각해요디럭스 유모차 중에서 시트분리 없이 폴딩이 가능해서 휴대성도 좋고이렇게 디자인도 세력됐는데 핸들링까지 좋은 유모차는 잡기 힘들 거에요여러 백화점에 입점해있는 쇼콜라 매장에 가시면 직접 운전 해 볼 수있으니 관심 있는 분은 미마 홈페이지에서 매장 위치를 학인해보세요 .?디럭스유모차디럭스유모차 .?미마자리미마자리 .?쇼콜라매장쇼콜라매장 ], 긍정 텍스트 확률 : 97.95%"
"[고르고 골라 선택한 미마 자리 유모차에요. 실물 보고 반해서 다른 유모차들은 눈에들어오지도 않아서 결국 미마 자리 유모차로 선택했네요 일단 색상을 먼저 고르는 것부터가제일 어려웠던 것 같아요. 막상 사려고 마음을 먹으니까 화이트도 예쁘고 카멜도 예쁘고 다 마음에 들더라구요. 화이트는 뭔가 때 탈 것 같고 카멜은 질릴 것 같기도 해서 최종 선택은블랙으로 골랐어요 근데 다른 분들 후기 들어보면 오염 부위가 금방 닦인다고 해서 화이트를선택했어도 괜찮을 것 같다는 생각도 듭니다ㅎㅎ ], 긍정 텍스트 확률 : 99.96%"
"[ 블랙을 선택했지만 아직까지 질리지도 않고 너무 마음에 들어요. 미마 자리의 장점은 바로 세련된 디자인이죠 미마 자리를 딱 보자마자 디자인에 꽂혀서 구매하게 되었지만 기능들도하나 하나 다 마음에 들었었어요. 핸들링도 넘 부드럽고 잘 밀려서 꾸준히 오래 쓸 수 있을 것 같았습니다 시트 높이도 적당해서 저희 부부가 끌고 다니기 딱 좋았어요. ], 긍정 텍스트 확률 : 51.61%"
"[ 시트 자체는 분리부착이 가능해서 양대면 전환이 손쉬웠어요. 아무래도 신생아 때부터 타고다니는 유모차라서 그런지 이런 세세한 기능들이 저희에겐 중요했거든요. 시트 각도는 단계까지조절이 가능하고 햇빛 가리개도 정말 튼튼해서 자외선은 완벽하게 차단시켜 줬어요. 액세서리 중에서 파라솔도 있으니까 더 완벽하게 햇빛을 차단하고 싶으신 분들은 유세븐 샵에 들어가셔서구매하시면 될 것 같아요ㅎㅎ미마 자리를 구매하게 된 결정적인 이유 중에 하나가 바로 캐리콧을 따로 주문하지 않아도 된다는 점이었어요. 어차피 나중에 휴대용 유모차를 구매할 생각이 있어서 디럭스 유모차의장점을 잘 살린 유모차를 고르긴 한 것이거든요. 캐리콧이 시트 안에 내장되어 있으니까 언제 어디서든 사용할 수 있어서 너무 편리했어요. 조립하는 것도 쉽고 편해서 저는 너무 잘 사용하고 있습니다 ], 긍정 텍스트 확률 : 94.16%"
"[실생활에서 비교를 해보니까 다르긴 다르더라구요. ], 긍정 텍스트 확률 : 57.76%"
"[ 안전벨트는 오점식이라서 다른 안전 벨트보다 더 튼튼하게 느껴졌고 안전 바가 양쪽에서 개폐가가능하다 보니 아이를 태울 때 좀 더 간편하게 태울 수가 있었어요. 저 혼자서 유모차를 태우면힘든 부분이 많이 있는데 사용해 보니까 이런 기능들이 굉장히 너무 유용하더라구요. 아이도 유모차에 타는 것에 거부감도 없고 잠도 무척이나 잘 자서 저는 너무 만족스럽습니다.미마 자리는 핸들링도 부드럽고 그립감도 좋아서 너무 잘 사용하고 있어요. 아이도 유모차 타는 것을 좋아하기도 하고 저도 마음에 들어서 저는 미마 자리로 구매하길 잘했다는 생각이 듭니다. 둘째도 계속 미마 자리를 태울 생각이라서 저는 디럭스 유모차는 미마 자리가 젤 마음에 드는 것 같아요. 일단 디자인이 너무 예뻐서 끌고 다닐 맛이 나는 것 같습니다.저처럼 자주 외출하시는 분들이라면 미마 자리로 구매해보세요 ], 긍정 텍스트 확률 : 99.93%"
"[어떻게 선택하는지 설명을 부탁하는 이웃님이 계셔서유모차 종류에 대해서 설명 드리고 가겠습니다.민원 접수 ㅋㅋㅋ유모차는 크게 세 종류로 디럭스], 긍정 텍스트 확률 : 65.80%"
"[ . 디럭스 유모차장점묵직한 몸체와 큰 바퀴로 충격분산 및 안정감을 줌.아기침대형을 사용하면 생후 개월 부터 사용가능하며 그 후 엄마와 양대면 포지션으로 바꿔서 쓸 수 있음.단점 무겁고 휴대가 어려움.기능이 많은 만큼 가격대가 제일 높음.종류 스토케익스플로리], 긍정 텍스트 확률 : 85.16%"
"[부가부폭스 등등 ], 긍정 텍스트 확률 : 56.44%"
"[ . 절충형 유모차장점디럭스와 휴대용의 기능을 다 가지고 있는 포지션.단점기능이 충분하지 않다면 사용시 애매할 수도.종류부가부비 등 ], 긍정 텍스트 확률 : 66.06%"
"[ . 휴대용 유모차장점말그대로 휴대하기 쉽도록 가볍게 만들어져 외출시에 사용하기 좋음. 기내 반입가능한 모델들이 있어서 여행갈때도 가져갈 수 있음.단점상대적으로 가볍기 때문에 핸들링이나 진동에는 취약할 수 있음. 종류베이비젠요요], 긍정 텍스트 확률 : 63.42%"
"[ 이렇게 크게 종류의 유모차에 대해서 살펴보았습니다.애기의 성장시기와 사용시기], 긍정 텍스트 확률 : 87.14%"
"[가격등을 고려하여 적합한 모델을 선정하시어 사용하시면 될 것 같습니다.민원 해결 ㅋㅋㅋ ], 긍정 텍스트 확률 : 54.26%"
"[ 박스에 그림과 함께 구성품이 나와있으니까 보시면서 배송이 잘 됐는지 확인하시면 됩니다.번 박스는 프레임이 들어있습니다. ], 긍정 텍스트 확률 : 51.23%"
"[ 부속품을 다 확인하셨으면 조립해볼까요.사실 베이비페어에서 접는 법이랑 캐리콧 분리하는 거를 봐서 조립하는데 엄청나게 도움이 됐습니다.베이비페어 가시면 마음에 있는 제품들은 꼭 보시고 오시길 바랍니다.매뉴얼 보고 해도 처음하는 거라 은근 시간 걸립니다.일단 프레임을 아래와 같이 세워줍니다. ], 긍정 텍스트 확률 : 69.68%"
"[ 마지막으로 시트 장착으로 갑니다.처음에 올때는 시트형으로 오는데 앉기 이전에 애기들을 태우려면 아기침대형으로 바꿔줘야 합니다.밑에 지퍼부분을 열어주면 안쪽 시트가 나옵니다. ], 긍정 텍스트 확률 : 73.06%"
"[ 단 움짤로 간단히 보여드릴께요. 조교 앞으로순풍이 엄마ㅋㅋㅋ ], 긍정 텍스트 확률 : 79.95%"
"[ 미마자리 디럭스 유모차 조립이 끝이 납니다크게 어렵지는 않은데 처음 하시면 시간 조금 걸리실 거에요. 그만큼 뿌듯합니다.카멜색의 가죽이 저는 너무 마음에 듭니다. 유모차도 차라고 남편들이 되게 좋아한다는데.. 저도 그런가봐요. ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 67.15%"
"[ 집에 있는 희동이를 먼저 태워봤네요. 사이즈도 비슷 ㅋㅋㅋㅋㅋ침대랑 프레임만 분리해서 창고에 잘 보관중입니다. 순풍아 얼른 나오렴. 니차 이미 뽑아 놨어 좋은 걸로 ], 긍정 텍스트 확률 : 93.13%"
"[ 미세먼지 없는 환경을 희망하며 희동이와 인사드립니다. ], 긍정 텍스트 확률 : 58.03%"
"[ 날씨가 산책하기에 좀 더운 날씨라서 해가 살짝 지고 선선해지면아이 데리고 공원 한바퀴 돌고 있어요더 더워지면 밤에도 나가기 힘들 것 같아서 유모차도 새로 샀겠다전보다 더 열심히 돌아다니고 있네요ㅎㅎ잠깐 유모차 없이 지낸 적이 있었는데 유모차 사고 나니까 너무 편해서 그 전에 어떻게 다녔는지 모르겠네요 저는 미마], 긍정 텍스트 확률 : 87.99%"
"[에그 중에 고민하다가후기도 보고 주변 사람들 추천을 받아서 미마 자리 스포츠로 샀어요이게 올해 나온 디럭스급 절충형 유모차라고 하더라구요평도 좋고 좋아보여서 냉큼 샀죠 ㅎㅎㅎ], 긍정 텍스트 확률 : 96.40%"
"[미마 자리 스포츠를 선택하게 된 이유 중에 하나가 바로 넓은 캐노피였어요그냥도 넓은데 확장까지 가능해서 햇빛이 강한 날에 정말 편하더라구요확장 캐노피 부분은 또 매쉬 소재라서 안에 있는 아이가 답답하지도 않고저도 굳이 앞으로 가지 않아도 아이 상태를 확인 할 수 있어서 좋아요확장하지 않은 상태에서도 매쉬 확인창이 있기 때문에 충분히 확인할 수 있답니다 ], 긍정 텍스트 확률 : 67.49%"
"[바퀴가 딱보기에 정말 튼튼하더라구요프레임도 튼튼하고 브레이크가 원터치 형식이라서 쓰기 정말 간편했어요브레이크를 작동할 때도], 긍정 텍스트 확률 : 62.14%"
"[ 저희 아이는 요즘 집에서도 유모차에 누워있는답니다 ㅎㅎㅎ이유없이 너무 울 때 유모차에 눕혀주면 금방 그치더라구요아이도 편해서 그런거겠죠?], 긍정 텍스트 확률 : 98.54%"
"[ 아이가 이렇게 편하게 사용하는거 보니까 사길 잘했다는 생각이 들더라구요.그리고 사용하는 동안 느낀게미마 자리 스포츠는 아이도 많이 생각했지만 사용하는 어른도 많이 생각한 느낌?원터치 브레이크부터 핸들 각도 조절까지 가능하니까키가 커도 작아도 손에 힘이 좀 없어서 잘 쓸 수 있을 것 같더라구요섬세한 기능들이 실용성이 높아서 미마 자리 스포츠로외출할 때에 안전하고 편리하게 아주 잘 사용하고 있답니다 ], 긍정 텍스트 확률 : 98.74%"
"[ 재밌게 보셨나요? 오늘 불금인데], 긍정 텍스트 확률 : 88.50%"
"[남은 시간도 즐겁게 보내시고요조만간 좋은 글로 다시 찾아뵐게요 ], 긍정 텍스트 확률 : 99.68%"
"[ 미마 브랜드 자체가 고급 유모차고 유명하고특히나 미마 자리 스포츠는 사용 연령이 다른 제품들보다 년정도 길어서다른 유모차들 보다 실용성은 정말 갑이더라구요.다른 제품들 찾아봤을 때 보통 최대 개월이었는데 요건 개월이니까요스토케나 에그 싸이백스도 최대 사용연령이 개월이라서 가격도 좀 더 저렴한 미마 자리 스포츠에 마음이 가더라구요아무래도 오래 사용하기 위해서는 시트와 풋레스트가 제일 큰 역할을 해요. 아이가 유모차를 타는 것이 불편하지 않아야 오래 탈 수가 있거든요. 일단 아이도 편하게 느껴질 수 있을 정도로 시트가 굉장히 넉넉했고 무엇보다 풋레스트가 크고 조절이 섬세하게 가능해서 좋았어요. ], 긍정 텍스트 확률 : 97.83%"
"[ 미마 브랜드 자체가 고급 유모차고 유명하고특히나 미마 자리 스포츠는 사용 연령이 다른 제품들보다 년정도 길어서다른 유모차들 보다 실용성은 정말 갑이더라구요.다른 제품들 찾아봤을 때 보통 최대 개월이었는데 요건 개월이니까요스토케나 에그 싸이백스도 최대 사용연령이 개월이라서 가격도 좀 더 저렴한 미마 자리 스포츠에 마음이 가더라구요아무래도 오래 사용하기 위해서는 시트와 풋레스트가 제일 큰 역할을 해요. 아이가 유모차를 타는 것이 불편하지 않아야 오래 탈 수가 있거든요. 일단 아이도 편하게 느껴질 수 있을 정도로 시트가 굉장히 넉넉했고 무엇보다 풋레스트가 크고 조절이 섬세하게 가능해서 좋았어요. ], 긍정 텍스트 확률 : 97.83%"
"[ 핸들링이 부드럽고 굉장히 좋은데 유모차 안에서도 흔들림이 적어서 그런지 한 번 잠이 들면 잘 깨지 않습니다. 또 아이 재울 때에는 차양막을 덮어두고 공원 몇 바퀴 돌면 금새 잠이 들더라구요. 유모차는 꼭 서스팬션 기능이 있는지 꼭 확인하시고 구매하시길 추천해드립니다그래야 아이에게 충격이 적게 가서 핸들링도 더 부드럽고 아이 안전도 지킬 수 있어요유모차에는 꼭 필요한 기능 중에 하나에요. ], 긍정 텍스트 확률 : 99.99%"
"[미마 자리 스포츠는 시트가 넓어서다양한 액세서리들과 호환이 가능해요. 예를 들어서 유모차 시트나 쿠션 등등 다 넉넉히 들어가고 유모차가 크다 보니 꾸미기도 딱 좋았어요. 컵 홀더도 같이 주문을 했는데 확실히 컵 홀더는 너무 유용하게 잘 사용했네요 가방 걸어도 딱 좋았어요.안전 바 부분이 개폐가 가능해서 아이를 쉽게 태울 수 있습니다. 한 쪽에서만 가능한 게 아니라 양 쪽에서 가능하기 때문에 태우기가 더 편리했어요 안전 벨트도 착용하기 전혀 어렵지 않구요. ], 긍정 텍스트 확률 : 60.31%"
"[ 미마 자리 스포츠를 사용해보면서 가장 큰 장점은 각도들이 섬세하게 잘 된다는 점이에요.사용자마다 아이마다 모두 다 달라서 그런 점에서 아이도 끄는 부모들도 다 편한 각도로 조절이 가능합니다. 핸들마저도 각도 조절이 가능하기 때문에 이래서 사람들이 다 미마 미마하는 것 같아요. 지금까지 불편했던 점 없이 너무 잘 사용하고 있네요ㅎㅎ ], 긍정 텍스트 확률 : 96.10%"
"[내 첫 아이에게는 좋은 것만 주고 싶은 것이 엄마 마음인 것 같아요 유모차는 년 쓰는 제품이 아니라서 그런지], 긍정 텍스트 확률 : 58.19%"
"[오히려 유모차를 고르는게 더 스트레스지 않나 싶네요ㅋㅋ ], 긍정 텍스트 확률 : 70.17%"
"[디자인도 너무 이뻐서 구매를 했어요ㅋㅋ 뭐], 긍정 텍스트 확률 : 55.15%"
"[년도 신상이라서 사람들 후기가 많이 없다는 점..? 실물 느낌을 알고 싶어서], 긍정 텍스트 확률 : 51.41%"
"[굉장히 부드러웠어요. 절충형 유모차이기도 해서], 긍정 텍스트 확률 : 76.86%"
"[아이의 안전을 켜줍니다ㅎㅎ디자인 자체가 굉장히 튼튼하고 견고해 보여서], 긍정 텍스트 확률 : 93.95%"
"[아이들 뇌의 흔들림을 방지합니다이렇게 디럭스의 안전성을 두루 갖춘 절충형 유모차는 몇 없어서 구매하는데 있어서 그렇게 어렵지 않았어요.ㅎㅎ 기능들도 다양해서 믿음직스러웠구요ㅎㅎ ], 긍정 텍스트 확률 : 94.66%"
