"[신발장에 접어서 세워놔도 자꾸 거슬리더라구요뿐만 아니고양대면을 하려면 시트를 들고 바꿔야한다는 디럭스의 불편한점때문에 결국엔 구입하게 된 저렴이 휴대용 유모차에요 ], 긍정 텍스트 확률 : 85.38%"
"[생후 일 동안 아기의 건강한 성장을 위한 먹거리 준비를 도와줄 토탈 피딩 솔루션을 소개한다. 토탈 피딩 솔루션은 아기의 건강한 성장을 위해 생후 일 동안 모유분유이유식 등 각 단계에 맞춰 편리하고 똑똑하게 먹거리를 준비할 수 있도록 도와준다. 편안한 모유수유를 돕는 유축기와 엄마 가슴과 흡사한 형태의 젖꼭지 및 젖병부터 쉬운 이유식 제조를 돕는 이유식 마스터기까지 각 단계에 꼭 필요한 제품들이 소개된다.특히 편한 이유식 제조를 돕는 이유식 마스터 에센셜], 긍정 텍스트 확률 : 96.09%"
"[간편한 소독이 가능한 울트라 소프트 노리개 젖꼭지], 긍정 텍스트 확률 : 51.21%"
"[한국카처], 긍정 텍스트 확률 : 76.38%"
"[공감 언론 리드맘], 긍정 텍스트 확률 : 87.75%"
"[드디어 이번주 목요일 부터기다리고 기다리던 서울 베이비 키즈 페어 봄이 진행되었어요.저는 사실 어제랑 오늘], 긍정 텍스트 확률 : 97.60%"
"[이틀동안 서베키를 갔었는데 어제는 친한 언니가 유모차를 구입한다고 해서 따라갔다 오고서베키 봄의 마지막날인 오늘에서야 본격적으로 쇼핑도 하고 천천히 둘러볼 시간이 생겼어요.첫날부터 가서 선착순 선물도 받고 이벤트도 참가하고 싶었는데 아쉽게도 친정에 갔다가 궁금이도 저도 심하게 감기에 걸리는 바람에예상보다 일찍 집으로 돌아오지 못하고 조금 더 머물다 오게 되었네요..ㅠ ], 긍정 텍스트 확률 : 93.45%"
"[아래 유모차가 토요일에 친한 언니가 동생 찬스로 구입한 유모차에요.실버크로스 매장에서 제일 비싼 모델인것 같았어요...ㄷㄷ 동생이 큰맘먹고 조카 선물을 해줬더라구요], 긍정 텍스트 확률 : 80.17%"
"[이날은 언니랑 언니네 식구들이 총 출동해서 같이 베스킨라빈스에서 커피를 한잔씩 하면서 수다를 떨었어요.궁금이랑 남편이랑 같이 갔지만 어짜피 언니네 부모님이랑 동생도 몇번 보고 알고 지내던 사이에요.서로 안부도 전하고 아가들도 오랜만에 만나는 거라 많이 컸다며 구경?도 하다보니 벌써 시가 다되어가서 아쉽지만 헤어져서 각자 집으로 돌아갔어요. ], 긍정 텍스트 확률 : 88.45%"
"[결국 서베키 봄 마지막날인 오늘 남편이랑 궁금이랑 같이 다시 센터를 왔어요.어제 주차가 넘나 힘들고 날씨도 좋아서오늘은 집에서 아기띠로 궁금이를 안고 걸어왔어요.집이 가까우니 이런게 너무 편하고 좋더라구요 ㅎㅎ이제 궁금이가 개월이 되니까 왠만한 용품들은 다 있어서 간단하게 몇가지만 쇼핑을 하기로 했어요.어제는 급하게 보느라 못보고 지나간부스들이 오늘은 눈에 잘 보이더라구요], 긍정 텍스트 확률 : 87.09%"
"[작년 서베키에서 제가 예약하고 산후조리 도움을 받았던 이미숙 산후도우미 업체가 이번에도 나와있길래 반가웠어요.정부지원도 되는 산후도우미라 더 믿을 수 있는 것 같아요. ], 긍정 텍스트 확률 : 82.26%"
"[욕실이 좁거나 보관할 장소가 없는 분들에게 인기가 많은 카리부 접이식 욕조도 판매가 되고 있었어요.저는 베베캐슬 욕조를 물려받은게 있어서 구입을 안했지만 만약 사야했다면 아마 카리부 욕조를 샀을 것 같아요. ], 긍정 텍스트 확률 : 64.14%"
"[요즘 빨대컵으로 물마시는 연습을 시작하려고 하다보니 눈에 빨대컵이 보이더라구요.그중에서 사용하던 젖병과 호환이 되는 빨대가 있어서 신기해서 사진으로 남겨뒀어요. ], 긍정 텍스트 확률 : 81.71%"
"[층에 준비된 휴식 공간에서 커피나 음료를 마시면서 쉴 수 있어요.하지만 사람들이 많이 있어서 자리가 잘 안보이긴 했어요..저는 베스킨라빈스 쿠폰을 받아서 이따가 마실 예정이라 여기는 패스 했네요. ], 긍정 텍스트 확률 : 91.23%"
"[지금도 궁금이가 사용하고 있는 더블하트에요.젖병], 긍정 텍스트 확률 : 94.37%"
"[젖꼭지를 비롯해서 세탁세제도 지금 더블하트를 사용중이에요.젖꼭지는 모유실감을 아직 사이즈를 쓰고 있는데 벌써 개월이라 곧사이즈로 변경을 해줘야해서 개입을 개 구입했어요.쿠팡에서 로켓배송으로 매번 샀는데가격을 비교해보니여기가 더 싸더라구요], 긍정 텍스트 확률 : 95.96%"
"[나중에 궁금이가 좀 더 크면 욕심이 생길 독일에서 온 왜건도 구경을 미리 했어요.지나가면서 물어봤더니 역시나 남편도 탐이 난다고 하더라구요궁금이가 자라면서 자꾸 필요한 것들이 생기니 이래서 베이비페어를 끊을수가? 없네요 ㅎㅎ ], 긍정 텍스트 확률 : 86.37%"
"[층에 있는 수유실 바로 옆에는 아이들이 뛰어놀 수 있는 놀이방이 있더라구요.어찌나 아이들이 신나게 놀고 있는지 아직 궁금이는 어려서 이용은 못해봤지만 조금 더 크면 저기서 놀겠다고 그러겠죠? ], 긍정 텍스트 확률 : 66.27%"
"[요즘 좀 핫하다는 미고 유모차 부스에도 사람이 엄청 많더라구요.저는 디럭스 유모차를 물려받은게 있어서 구입을 안해서 고민을 한적이 없는게 다행일정도로 탐나는 유모차가 많더라구요.실버크로스에서 유모차를 사간 언니도 엄청 고민을 많이 하더라구요. ], 긍정 텍스트 확률 : 89.59%"
"[궁금이가 굴러다니면서 잠을 자는지라 범퍼침대를 살까 고민을 하는 중이라 여기 저기 부스에 문의를 했어요.근데 사실 집에 매트는 받은게 있어서 범퍼가드만 사고 싶은데 따로 판매를 안한다고 해서 살 수가 없었네요.인터넷으로 조금 더 찾아보거나 아니면 다른 방법을 내야될 것 같아요. ], 긍정 텍스트 확률 : 93.33%"
"[궁금이 원피스가 넘나 이뻐보여서 봄], 긍정 텍스트 확률 : 94.64%"
"[ 원에 판매하던 세이프티퍼스트 하이체어에요.살까말까 고민을 하다 그냥 돌아왔는데 다음번 서베키에서는 꼭 궁금이를 위한 식탁의자를 하나 사려고 마음먹었어요.지금은 스너그에서 이유식을 먹이는 걸로...ㅠ ], 긍정 텍스트 확률 : 87.23%"
"[저는 이번 서베키 봄 키친서포터즈 라운지에서 그동안에 미션을 완료하고 선물을 받을 수 있었어요.본인 확인을 하고 하나하나 꼼꼼하게물품들을 체크해주시더라구요선물이 너무너무 많아서 묵직해서 들고 다니느라 힘들긴 했지만 정말 빵빵한 구성에 감동받았어요 ], 긍정 텍스트 확률 : 91.78%"
"[이번 서포터즈 선물 중에는 행사장 전시관에 있는 베스킨라빈스에서 사용할 수 있는 아메리카노 쿠폰 장과역시 이번 서베키 봄에서 사용할 수 있는 상품권 원짜리가 장이 있어서 먼저 본격적으로 구경을 시작하기 전에 서포터즈 팩을 받았어요.구성이 넘나 빵빵해서 들고 다니느라 남편이 조금 고생을 했지만 그래도 가득한 선물을 받아서 넘나 좋았어요 ], 긍정 텍스트 확률 : 88.18%"
"[왼쪽은 이번에 제가 서베키 봄에서 직접 구입한 물건들이에요.범퍼침대랑 식탁의자도 골라봤는데 결정을 결국 못해서 작은 물건들만 사게 되었네요.오른쪽은 한눈에 봐도 넘나 빵빵한 서베키 봄 서포터즈 팩 물건들이에요.저기에 위에 보여드렸던 아메리카노 쿠폰], 긍정 텍스트 확률 : 96.61%"
"[상품권 포함에 코코몽 키즈랜드 입장권도 장 있어요 ], 긍정 텍스트 확률 : 70.11%"
"[이번에 구입한 모자 착용샷을 마지막으로 이번 서베키 봄 포스팅은 마지막이 되겠네요.넘나 잘 어울리는 핑크 모자], 긍정 텍스트 확률 : 98.89%"
"[여자여자한 이쁜 니트재질의 흰색 모자도 너무 잘 어울리구요], 긍정 텍스트 확률 : 96.38%"
"[육아중인 육아맘들 모두 다음서베키에서도 득템하시길], 긍정 텍스트 확률 : 96.68%"
"[ 아래 유모차가 토요일에 친한 언니가 동생 찬스로 구입한 유모차에요.실버크로스 매장에서 제일 비싼 모델인것 같았어요...ㄷㄷ 동생이 큰맘먹고 조카 선물을 해줬더라구요], 긍정 텍스트 확률 : 80.17%"
"[ 결국 서베키 봄 마지막날인 오늘 남편이랑 궁금이랑 같이 다시 센터를 왔어요.어제 주차가 넘나 힘들고 날씨도 좋아서오늘은 집에서 걸어왔어요.집이 가까우니 이런게 너무 편하고 좋더라구요 ㅎㅎ어제는 급하게 보느라 못보고 지나간부스들이 오늘은 눈에 잘 보이더라구요 ], 긍정 텍스트 확률 : 97.52%"
"[ 작년 서베키에서 제가 예약하고 산후조리 도움을 받았던 이미숙 산후도우미 업체가 이번에도 나와있길래 반가웠어요.정부지원도 되는 산후도우미라 더 믿을 수 있는 것 같아요. ], 긍정 텍스트 확률 : 82.26%"
"[ 욕실이 좁거나 보관할 장소가 없는 분들에게 인기가 많은 카리부 접이식 욕조도 판매가 되고 있었어요.저는 베베캐슬 욕조를 물려받은게 있어서 구입을 안했지만 만약 사야했다면 아마 카리부 욕조를 샀을 것 같아요. ], 긍정 텍스트 확률 : 64.14%"
"[ 요즘 빨대컵으로 물마시는 연습을 시작하려고 하다보니 눈에 빨대컵이 보이더라구요.그중에서 사용하던 젖병과 호환이 되는 빨대가 있어서 신기해서 사진으로 남겨뒀어요. ], 긍정 텍스트 확률 : 81.71%"
"[ 층에 준비된 휴식 공간에서 커피나 음료를 마시면서 쉴 수 있어요.하지만 사람들이 많이 있어서 자리가 잘 안보이긴 했어요..저는 베스킨라빈스 쿠폰을 받아서 이따가 마실 예정이라 여기는 패스 했네요. ], 긍정 텍스트 확률 : 91.23%"
"[젖꼭지를 비롯해서 세탁세제도 지금 더블하트를 사용중이에요.젖꼭지는 모유실감을 아직 사이즈를 쓰고 있는데 벌써 개월이라 곧사이즈로 변경을 해줘야해서 개입을 개 구입했어요.쿠팡에서 로켓배송으로 매번 샀는데가격을 비교해보니여기가 더 싸더라구요], 긍정 텍스트 확률 : 95.96%"
"[ 나중에 좀 더 크면 욕심이 생길 독일에서 온 왜건도 구경을 미리 했어요.지나가면서 물어봤더니 역시나 남편도 탐이 난다고 하더라구요궁금이가 자라면서 자꾸 필요한 것들이 생기니 이래서 베이비페어를 끊을수가? 없네요 ㅎㅎ ], 긍정 텍스트 확률 : 86.71%"
"[ 층에 있는 수유실 바로 옆에는 아이들이 뛰어놀 수 있는 놀이방이 있더라구요.어찌나 아이들이 신나게 놀고 있는지], 긍정 텍스트 확률 : 75.64%"
"[ 그동안 쓰던 모자가 얇은건 작아져서 못쓰고.. 두꺼운 겨울모자만 남아서 새로 모자를 사기로 했어요 모자창에 스마일이 그려진 핑크색 모자를 샀어요 단돈 만원 집에와서 생각해보니 여기서 모자를한개 더 살껄 그랬어요 ㅠㅠ ], 긍정 텍스트 확률 : 60.93%"
"[ 요즘 좀 핫하다는 미고 유모차 부스에도 사람이 엄청 많더라구요.저는 디럭스 유모차를 물려받은게 있어서 구입을 안해서 고민을 한적이 없는게 다행일정도로 탐나는 유모차가 많더라구요.실버크로스에서 유모차를 사간 언니도 엄청 고민을 많이 하더라구요. ], 긍정 텍스트 확률 : 89.59%"
"[ 원에 판매하던 세이프티퍼스트 하이체어에요.살까말까 고민을 하다 그냥 돌아왔는데 다음번 서베키에서는 꼭 궁금이를 위한 식탁의자를 하나 사려고 마음먹었어요.지금은 스너그에서 이유식을 먹이는 걸로...ㅠ ], 긍정 텍스트 확률 : 87.23%"
"[저는 이번 서베키 봄 키친서포터즈 라운지에서 그동안에 미션을 완료하고 선물을 받을 수 있었어요.본인 확인을 하고 하나하나 꼼꼼하게물품들을 체크해주시더라구요선물이 너무너무 많아서 묵직해서 들고 다니느라 힘들긴 했지만 정말 빵빵한 구성에 감동받았어요 ], 긍정 텍스트 확률 : 91.78%"
"[ 이번 서포터즈 선물 중에는 행사장 전시관에 있는 베스킨라빈스에서 사용할 수 있는 아메리카노 쿠폰 장과역시 이번 서베키 봄에서 사용할 수 있는 상품권 원짜리가 장이 있어서 먼저 본격적으로 구경을 시작하기 전에 서포터즈 팩을 받았어요.], 긍정 텍스트 확률 : 92.99%"
"[ 왼쪽은 이번에 제가 서베키 봄에서 직접 구입한 물건들이에요.범퍼침대랑 식탁의자도 골라봤는데 결정을 결국 못해서 작은 물건들만 사게 되었네요.오른쪽은 한눈에 봐도 넘나 빵빵한 서베키 봄 서포터즈 팩 물건들이에요.저기에 위에 보여드렸던 아메리카노 쿠폰], 긍정 텍스트 확률 : 96.61%"
"[상품권 포함에 코코몽 키즈랜드 입장권도 장 있어요 ], 긍정 텍스트 확률 : 70.11%"
"[육아중인 육아맘들 모두 다음서베키에서도 득템하시길], 긍정 텍스트 확률 : 96.68%"
"[ 밸런스바이크로 우리아들 운동신경과 균형감각 키우기 ], 긍정 텍스트 확률 : 73.22%"
"[ 추운 겨울이 다가오고 있다고 생각하니벌써 너무 아픈 느낌이예요.기관지 약하고 면역력 떨어지는 운동 부족 엄마는 추운 겨울이 너무나 싫습니다.그에 비해 똑같은 밥 먹고 더 움직이는데엄마보다 쌩쌩하고 면역력 좋은 아들은오늘도 어린이집 하원 후 어디가자고 난리네요 요즘 마트와 놀이터 꽂혀서 집에는 언제 바로 갈 수 있을까...? 어떻게든 집에 좀 바로 갈라고 늘 머리 굴리는 엄마이지만 늘 지는게 함정 그렇게 오늘은 놀이터행입니다. 우리아파트가 참 공기 좋고 살기 좋은데 요즘 아파트 답지 않게 언덕진 곳이라서아파트 단지내에 차가 다니는 도로가 있어요. 그래서 자전거나 킥보드를 탈 수 있는 곳이 많이 없다는게 조금 아쉽답니다.그나마 안전한 놀이터가 그래서 인기만점이예요.], 긍정 텍스트 확률 : 99.57%"
"[놀이터 주변으로 킥보드 타는 친구들은 정말 많은데페달없는 자전거], 긍정 텍스트 확률 : 85.56%"
"[친구네 밸런스바이크는브레이크가 없는 제품이라고 하더라구요.또 한번 퍼스트바이크의 브레이크의 소중함을 느꼈네요 ㅎㅎ], 긍정 텍스트 확률 : 95.20%"
"[외국에서는 만세부터도 많이 탄다는], 긍정 텍스트 확률 : 53.04%"
"[밸런스바이크우리아들은 개월 넘어서 처음 타서 그런지 킥보드를 워낙 잘 타서 그런지처음 탈 때부터 균형감각도 꽤 잘 잡고], 긍정 텍스트 확률 : 58.02%"
"[놀이터에서는 직선으로 달릴 수 있는 구간이 많지 않아서 쌩쌩 달리진 못하지만앞으로 가는 연습하긴 충분하더라구요. ], 긍정 텍스트 확률 : 79.26%"
"[ 내친김에 브레이크 잡는 법 가르쳐줬더니 멈춰 서서는 잘 잡는데아직 달리다가 멈출 때는 바로 누르기엔 손이 너무 고사리 같더라구요. 그래도 우리 아들 손은 키나 몸무게에 비해 손이나 발이 좀 작은편 이긴 해요. 그래도 잡아서 당길 수 있는 정도라니 넘 귀염귀염그래도 곧 잘 누르는게], 긍정 텍스트 확률 : 79.41%"
"[곧 운동화 밑창 더이상 안까질 날이 올꺼 같긴해요.아이들은 역시 스폰지 같아서 배우면 금방 습득하고 따라하더라구요.], 긍정 텍스트 확률 : 56.87%"
"[ 뒷바퀴와 연결되어 달려있는 ], 긍정 텍스트 확률 : 71.92%"
"[가 장착 되어있어 ], 긍정 텍스트 확률 : 70.42%"
"[안전하게 멈출수 있게 도와준다고 해요. ], 긍정 텍스트 확률 : 82.14%"
"[아이의 작은 손의 크기와 악력에 맞게 설계되어 ], 긍정 텍스트 확률 : 54.80%"
"[유아동들이 적은 힘으로도충분히 브레이크를 사용할 수 있게 ], 긍정 텍스트 확률 : 91.92%"
"[설계되었습니다. ], 긍정 텍스트 확률 : 65.40%"
"[아이들은 습득력이 빨라서 어릴 때 브레이크 잡는 법을 한 번 습득해두면 더 안전하고 재미있게 자전거를 즐길 수 있어요. ], 긍정 텍스트 확률 : 97.61%"
"[성장기인 아이의 다리에 충격이 고스란히 전해져], 긍정 텍스트 확률 : 77.57%"
"[좋지 않은 영향을 끼칠 수 있어요.], 긍정 텍스트 확률 : 59.46%"
"[다른 제품의 경우], 긍정 텍스트 확률 : 59.12%"
"[브레이크 없이 세까지도 탈 수 있다고 하지만 세가 이정도로 잘 타는데], 긍정 텍스트 확률 : 74.29%"
"[안전하고 오래 밸런스바이크를 즐기기 위해서는], 긍정 텍스트 확률 : 57.04%"
"[아무래도 브레이크 있고], 긍정 텍스트 확률 : 68.32%"
"[라이딩 연습과 함께 브레이크 잡는법도], 긍정 텍스트 확률 : 67.43%"
"[요즘은 등하원에도 몇번 가지고 가더라구요. 엄마], 긍정 텍스트 확률 : 94.06%"
"[ 일주일 내내 거의 매일 탔나봐요. 같은 사진 같다구요? 곰돌이 외투에 꽂혀서 매일 입어서 그렇지. 자세히 보면 하의가 다 다릅니다 ㅋㅋㅋ ], 긍정 텍스트 확률 : 75.47%"
"[요즘 날 추워졌다고 밍기적밍기적 거려요. 자꾸 장난감방에 들어가서 더 놀다가려고 뭉겨요. 그럴때 빨리 가야한다고 재촉하면 그럼 우리 자전거 타고 어린이집 갈까? 그래요.어린이집 앞에 유모차 잔뜩 세워져 있어서 자전거 갖다 놓으면 선생님들 신경쓰일까봐 제가 다시 가지고 올라와야해서 너무 번거롭지만 밸런스바이크로 꼬셔서 결국 등원 출발 ], 긍정 텍스트 확률 : 78.51%"
"[ 그리고 다음날도], 긍정 텍스트 확률 : 88.12%"
"[집에 가서 가져오라고 할까봐 ㅎㅎㅎ 하원길에 챙겨간 나란 엄마하지만 내려갈땐 차에 싣어 왔지롱 ㅎㅎ밸런스바이크], 긍정 텍스트 확률 : 68.67%"
"[퍼스트바이크의 또 하나의 장점은 일단 아이가 끌수 있을 정도로 가볍고], 긍정 텍스트 확률 : 85.29%"
"[또 하나 작디작은 내 경차 뒷자리에 실린다는 점 유아자전거 페달 있는거 샀으면 사실 엄마랑 둘이 있을땐 많이 못 타고 아빠랑 주말에 공원갈때 타거나 걸어나갈 수 있는 거리에서만 탔을텐데 이건 휴대하기 정말 좋은 사이즈와 무게라서 엄마와 둘이 할때도 쉽게 가지고 나갈 수 있어요.], 긍정 텍스트 확률 : 88.92%"
"[ 퍼스트바이크의 타이어 또한독일 슈발베 공기주입식 타이어로], 긍정 텍스트 확률 : 50.46%"
"[타 브랜드의 플라스틱 타이와 달리 고가의 성인자전거에 장착하는 그런 고급 타이어랍니다.독일 슈발베타이어는 공기주입식 타이어로 울통불퉁한 지면의 충격을 흡수하여 아이에게 충격이 덜 가해져 편하게 주행할수 있도록 도와준답니다. 그에 반해], 긍정 텍스트 확률 : 93.70%"
"[ 제가 바퀴같은경우 들고 이동할때 보니 통통 튀는 느낌이 아주 좋고 브레이크도 어른 자전거에 비해 확실히 적은 힘으로 타이트하게 멈춰지는걸 느꼈어요.], 긍정 텍스트 확률 : 98.91%"
"[ 유리강화 섬유가포함되어 일단 튼튼하고 가벼워서 이동할 때도 편리하지만 혹시 비나 눈이 오는 날에도 금속 재질과 달리 녹슬거나 파손될 우려가 적어서오랫동안 사용할 수 있는 유아자전거 랍니다살때부터 초등학교 갈때까지 타자 아들아 ], 긍정 텍스트 확률 : 81.82%"
"[핸들바가 도 회전하지 않도록 스티어링 리미터 기술이 적용 되었어요. 아이가 넘어질 수 있는 것을 최소화하고], 긍정 텍스트 확률 : 61.63%"
"[눈 쌓인 곳에서 스노우 라이딩을 즐길 수 있다고 해요아들이 어려서 스키장 한동안 못가서 슬픈 아빠에겐 정말 희.소.식이 아닐 수 없겠죠?요거 줄 메달고 끌어줘도 넘 재밌을 것 같아요 아들한테 물어보고 타고 싶다고하면], 긍정 텍스트 확률 : 99.42%"
"[ .. 밸런스바이크의 대명사], 긍정 텍스트 확률 : 50.41%"
"[ 엘레니어세스토], 긍정 텍스트 확률 : 64.77%"
"[ 타보], 긍정 텍스트 확률 : 60.89%"
"[ 세정제], 긍정 텍스트 확률 : 68.11%"
"[ 산모용품...등많은제품들을취급하고있으며 찾으시는제품들을많은혜택을받아보실수있게 준비하였습니다☆스토케 정식판매매장으로 스토케코리아정품판매및 까지 도와드립니다☆팜앤모어 은평점에세 구매후 블러그], 긍정 텍스트 확률 : 55.72%"
"[ 지역카페등에 후기글남겨주시면 별도로매장에서 선물을보내드립니다], 긍정 텍스트 확률 : 61.14%"
"[★매달마다 행사하는제품이다르니 꼭 매장방문시 직원에게 문의하시길바랍니다★친절히제품설명과함께 행사상품안내해드리겠습니다 ], 긍정 텍스트 확률 : 97.13%"
"[ 쌍둥이 유모차와 웨건도 행사프로모션 준비되어있습니다 ], 긍정 텍스트 확률 : 67.37%"
"[ 세스토라이트], 긍정 텍스트 확률 : 68.11%"
"[ 타보이노베이션], 긍정 텍스트 확률 : 60.89%"
"[ 오이스터], 긍정 텍스트 확률 : 53.30%"
"[ 엘레니어세스토], 긍정 텍스트 확률 : 64.77%"
"[ 줌...많은유모차가 준비되어있습니다 ], 긍정 텍스트 확률 : 59.11%"
"[ 아래 유모차가 토요일에 친한 언니가 동생 찬스로 구입한 유모차에요.실버크로스 매장에서 제일 비싼 모델인것 같았어요...ㄷㄷ 동생이 큰맘먹고 조카 선물을 해줬더라구요], 긍정 텍스트 확률 : 80.17%"
"[ 결국 서베키 봄 마지막날인 오늘 남편이랑 궁금이랑 같이 다시 센터를 왔어요.어제 주차가 넘나 힘들고 날씨도 좋아서오늘은 집에서 걸어왔어요.집이 가까우니 이런게 너무 편하고 좋더라구요 ㅎㅎ어제는 급하게 보느라 못보고 지나간부스들이 오늘은 눈에 잘 보이더라구요 ], 긍정 텍스트 확률 : 97.52%"
"[ 작년 서베키에서 제가 예약하고 산후조리 도움을 받았던 이미숙 산후도우미 업체가 이번에도 나와있길래 반가웠어요.정부지원도 되는 산후도우미라 더 믿을 수 있는 것 같아요. ], 긍정 텍스트 확률 : 82.26%"
"[ 욕실이 좁거나 보관할 장소가 없는 분들에게 인기가 많은 카리부 접이식 욕조도 판매가 되고 있었어요.저는 베베캐슬 욕조를 물려받은게 있어서 구입을 안했지만 만약 사야했다면 아마 카리부 욕조를 샀을 것 같아요. ], 긍정 텍스트 확률 : 64.14%"
"[ 요즘 빨대컵으로 물마시는 연습을 시작하려고 하다보니 눈에 빨대컵이 보이더라구요.그중에서 사용하던 젖병과 호환이 되는 빨대가 있어서 신기해서 사진으로 남겨뒀어요. ], 긍정 텍스트 확률 : 81.71%"
"[ 층에 준비된 휴식 공간에서 커피나 음료를 마시면서 쉴 수 있어요.하지만 사람들이 많이 있어서 자리가 잘 안보이긴 했어요..저는 베스킨라빈스 쿠폰을 받아서 이따가 마실 예정이라 여기는 패스 했네요. ], 긍정 텍스트 확률 : 91.23%"
"[젖꼭지를 비롯해서 세탁세제도 지금 더블하트를 사용중이에요.젖꼭지는 모유실감을 아직 사이즈를 쓰고 있는데 벌써 개월이라 곧사이즈로 변경을 해줘야해서 개입을 개 구입했어요.쿠팡에서 로켓배송으로 매번 샀는데가격을 비교해보니여기가 더 싸더라구요], 긍정 텍스트 확률 : 95.96%"
"[ 나중에 좀 더 크면 욕심이 생길 독일에서 온 왜건도 구경을 미리 했어요.지나가면서 물어봤더니 역시나 남편도 탐이 난다고 하더라구요궁금이가 자라면서 자꾸 필요한 것들이 생기니 이래서 베이비페어를 끊을수가? 없네요 ㅎㅎ ], 긍정 텍스트 확률 : 86.71%"
"[ 층에 있는 수유실 바로 옆에는 아이들이 뛰어놀 수 있는 놀이방이 있더라구요.어찌나 아이들이 신나게 놀고 있는지], 긍정 텍스트 확률 : 75.64%"
"[ 그동안 쓰던 모자가 얇은건 작아져서 못쓰고.. 두꺼운 겨울모자만 남아서 새로 모자를 사기로 했어요 모자창에 스마일이 그려진 핑크색 모자를 샀어요 단돈 만원 집에와서 생각해보니 여기서 모자를한개 더 살껄 그랬어요 ㅠㅠ ], 긍정 텍스트 확률 : 60.93%"
"[ 요즘 좀 핫하다는 미고 유모차 부스에도 사람이 엄청 많더라구요.저는 디럭스 유모차를 물려받은게 있어서 구입을 안해서 고민을 한적이 없는게 다행일정도로 탐나는 유모차가 많더라구요.실버크로스에서 유모차를 사간 언니도 엄청 고민을 많이 하더라구요. ], 긍정 텍스트 확률 : 89.59%"
"[ 원에 판매하던 세이프티퍼스트 하이체어에요.살까말까 고민을 하다 그냥 돌아왔는데 다음번 서베키에서는 꼭 궁금이를 위한 식탁의자를 하나 사려고 마음먹었어요.지금은 스너그에서 이유식을 먹이는 걸로...ㅠ ], 긍정 텍스트 확률 : 87.23%"
"[저는 이번 서베키 봄 키친서포터즈 라운지에서 그동안에 미션을 완료하고 선물을 받을 수 있었어요.본인 확인을 하고 하나하나 꼼꼼하게물품들을 체크해주시더라구요선물이 너무너무 많아서 묵직해서 들고 다니느라 힘들긴 했지만 정말 빵빵한 구성에 감동받았어요 ], 긍정 텍스트 확률 : 91.78%"
"[ 이번 서포터즈 선물 중에는 행사장 전시관에 있는 베스킨라빈스에서 사용할 수 있는 아메리카노 쿠폰 장과역시 이번 서베키 봄에서 사용할 수 있는 상품권 원짜리가 장이 있어서 먼저 본격적으로 구경을 시작하기 전에 서포터즈 팩을 받았어요.], 긍정 텍스트 확률 : 92.99%"
"[ 왼쪽은 이번에 제가 서베키 봄에서 직접 구입한 물건들이에요.범퍼침대랑 식탁의자도 골라봤는데 결정을 결국 못해서 작은 물건들만 사게 되었네요.오른쪽은 한눈에 봐도 넘나 빵빵한 서베키 봄 서포터즈 팩 물건들이에요.저기에 위에 보여드렸던 아메리카노 쿠폰], 긍정 텍스트 확률 : 96.61%"
"[상품권 포함에 코코몽 키즈랜드 입장권도 장 있어요 ], 긍정 텍스트 확률 : 70.11%"
"[육아중인 육아맘들 모두 다음서베키에서도 득템하시길], 긍정 텍스트 확률 : 96.68%"
"[ 블로그 친구추가 완료개월 여아지금 쓰는 유모차가 절충형인데 무겁기도하고 아이가 잘 안타려해서 신청합니다 유모차넘예뻐요], 긍정 텍스트 확률 : 79.58%"
"[카페 친구추가 완료개월 여아개월 키로 딸아이 아직도 디럭스타요 ㅠㅠ 외출한번 다녀오면 너무 힘들고 손목도 아프고.....차양막도 길고 장바구니도 넓고 세심한 디테일도 너무 좋네요무엇보다 가볍고 예뻐서 꼭 타고싶은 노미♡예쁘고 꼼꼼한 후기 남길게용꼭 체험해보고 싶어요], 긍정 텍스트 확률 : 100.00%"
"[문센 다니는데.. 제 차가 경차라서 디럭스가 안들어가서 단 둘이 이동할때에는 거의 힙시트를 사용하고 있어요 ㅠ 아이가 가 넘다보니깐], 긍정 텍스트 확률 : 82.78%"
"[어깨 허리 너무 무리가 가네요. 그래서 전에 베네피아 이전한 곳에 휴대용 윰차 보러 갔었는데], 긍정 텍스트 확률 : 63.28%"
"[손님 너무 많은 주말에 가서 층에 있던 휴대용유모차 눈으로만 보고 왔었어요휴대용 유모차 로 아이와 저에게 즐거운 외출을 선물해주고 싶어요], 긍정 텍스트 확률 : 79.18%"
"[외출하는모습], 긍정 텍스트 확률 : 53.22%"
"[나들이가는모습등을 정성스럽게담아 포스팅 꼭 하고싶네요.감사합니다], 긍정 텍스트 확률 : 94.16%"
"[ .. ..기존이웃입니다개월여아 둘째임신중개월아직까지 디럭스 유모차를 끌고다니고 있는데요 무겁기도하고 특히나 부피가커서 차에 싣을때도 힘들더라구요 디자인도 이쁘고 편안한 노미유모차 울아기에게 선물해주고싶어요♥꼼꼼후기 약속드릴께요], 긍정 텍스트 확률 : 99.99%"
"[ .. ..개월 여아와], 긍정 텍스트 확률 : 63.95%"
