"[ 바구니확장업그레이드되서 너무 좋은듯 ], 긍정 텍스트 확률 : 82.23%"
"[ 세상 행복하고 쒼난 우리 아가씨밖에 자주 나가면서 이렇게 다양한 표정과 행동을 보여주고 있어서 엄마는 예은이와의 행복한 이 시간을 포기할 수가 없어요.신랑이 매일 나간다고], 긍정 텍스트 확률 : 96.89%"
"[엄마도 짐이 적고 가벼워서 혼자서도 케어가 가능한 것이 가장 큰 장점이었어요. ], 긍정 텍스트 확률 : 95.71%"
"[땡볕 등 상황에 따라 다양하게 조절이 가능하다는 점은 정말 큰 장점이에요.아직 어린 아기들은 햇빛을 직접적으로 보면 안 되기 때문에 이런 차양막이 필수라고 볼 수 있어요. ], 긍정 텍스트 확률 : 61.05%"
"[과거의 나는 이제 안녕입니다. ], 긍정 텍스트 확률 : 79.80%"
"[ 따뜻하게 옷을 입고 근처 공원으로 나왔어요.막바지 가족끼리 단풍과 낙엽을 보러 나왔답니다.커다란 장바구니에 담요랑 여벌 옷을 넣었는데도 자리가 넉넉하게 남았네요.정말 마트에 가서도 일주일 치 식량을 담아도 문제가 없는 우리 집의 캐리어], 긍정 텍스트 확률 : 90.03%"
"[ 오늘은 아빠와 함께 상호작용을 하면서 걷고 있어요.집 근처에 나오니 예은이도 기분 전환을 제대로 즐기고 있습니다.한 달 동안 하루도 빠짐없이 유모차와 함께 돌아다녔지만 바퀴는 여전히 새것처럼 깨끗해요.아마 앞으로도 쭉 오랫동안 엄마와 예은이를 도와줄 효자 육아꿀템이랍니다.다만], 긍정 텍스트 확률 : 99.70%"
"[신랑이나 키가 큰 편이라 이 상태가 제일 좋더라고요.그리고 아기를 살펴보면서 부드러운 핸들링을 화면으로나마 느껴보시길 바랍니다.부드러운 주행이 가능하기 때문에 초보 운전자분들], 긍정 텍스트 확률 : 85.54%"
"[ 단풍 정취에 빠진 우리 예은이.앞으로도 많은 것을 보고 느낄 거예요.한 달간], 긍정 텍스트 확률 : 97.57%"
"[페도라의 제품을 실제로 사용을 해보면서 정말 육아는 장비 빨이라는 말을 실감을 하지 않을 수가 없었어요.이렇게 좋은 제품들을 예은이가 즐겨줘서 참 다행이었답니다.아마 무겁고 크다는 인식 때문에 디럭스보단 절충형을 선택하시는 부모님들도 많을 거예요.하지만 그 이상으로 아기의 안전과 편안함을 제공해 주기 때문에 디럭스 유모차를 포기할 수가 없는 것 같아요. 예은이의 안전을 위해서라면 엄마의 불편함 정도는 충분히], 긍정 텍스트 확률 : 89.00%"
"[넘치도록 감수할 수 있답니다.앞으로도 우리 가족의 외출에 늘 함께 할 예정입니다. ], 긍정 텍스트 확률 : 99.54%"
"[ 간단하게 정리하는 유모차 종류별 차이는...디럭스신생아에게 적합. 흔들림이 적음. 크다. 무겁다.절충형디럭스보다 가볍고 휴대용보다 무거운 딱 중간. 휴대용보단 흔들림이 적고 절충형보단 흔들림이 있음.휴대용가볍다. 기내반입이되는사이즈가대부분. 흔들림 많음.이정도?맘카페에서 알아보니 쇼핑몰같이 바닥이 매끄럽고 굴곡 없는 곳에서 자주 사용할 예정이라면굳이 디럭스를 할 필요 없이 절충형휴대용 사용해도 괜찮음.그치만 굴곡 많은 인도라면 아이의 머리 흔들림을 고려하여 디럭스 같이 묵직한 유모차가 좋다고...고민이 많았는데 둥이는 다른 아가들에 비해 체격이 작고쇼핑몰에서 주로 사용하게 될 것 같기는 하지만 주변 길이 울퉁불퉁하기 때문에휴대용은 적합하지 않다고 판단. 디럭스나 절충형을 사야겠다고 생각했어요.그렇지만...이렇게 열심히 알아본들 아기가 안타면 무쓸모 ㅋㅋㅋ아기가 잘 타는 유모차가 짱입니다요ㅋㅋㅋㅋㅋㅋ대부분 베이비페어에서 아기들을 태워보고 산다고 하던데 베이비페어 시즌도 아니여서 어쩌나 고민했는데집근처에 아기용품 전문점에 아기를 태워보고 유모차를 살 수 있는 곳이 있다고해서남편 휴일 저녁에 바로 출동 ], 긍정 텍스트 확률 : 53.53%"
"[ 체인인 육아용품 전문점이라 아마 아시는 분들 많으실 것 같아요강서구에는 유광사 산부인과 옆 층에 있더라구요.아기띠 구입할때도 여기와서 구입했답니다아기띠는 진짜 급하게 사는 바람에 포스팅용 사진 찍을 겨를도 없었던 ㅎㅎ아기띠두 직접 시착 해보고 구입할 수 있어서 너무 좋았어요.저는 포그내 아기때 구입했는데 구입하면서 에르고도 아기랑 직접 착용해보면서비교하고 살 수 있었답니다 ㅎㅎ 완전 굳굳주차는 건물 뒤에 하면되는데 자리 넉넉하게 있는 것 같아요.층에 대 댈 수 있구 지하도 있는 것 같습니다 ], 긍정 텍스트 확률 : 99.91%"
"[ 전시되어있는 유모차랑 카시트 진짜 많아요다 태워볼 수 있더라구요유모차가 진짜 많이 있는데 거의 신상으로 전시 되어있더라구요.이쁜게 너무 많아서 이것저것 엄청 구경 했어요 ㅎㅎ ], 긍정 텍스트 확률 : 99.99%"
"[ 이건 이름이 뭔지 모르겠는데..ㅎㅎ방문한 사람들 다들 한번씩 올려보길래 저도 한번 스을쩍ㅋㅋ뭔가 디게 긴장해서 누워있더라구요 ㅋㅋ 아구 귀여워라ㅋㅋ ], 긍정 텍스트 확률 : 93.87%"
"[ 반대쪽에는 용품들이 잔뜩있는데요.둘러보니까 출산용품부터 아기 키우는데 필요한 것들 거의 다 있는 것 같아요출산 가방 싸거나 아기용품 준비할때 여기와서 다 사고 가도 될 정도로...ㅎㅎ진짜 종류 많고 가격도 괜찮더라구요.간혹 인터넷보다 비싼것도 있긴 하던데 배송비 생각하면 오프라인에서 구입하는게 이득인...ㅎㅎ저는 거의 그 자리에서 바로 가격 검색해보고 저렴하면 구입했어요 ㅎ ], 긍정 텍스트 확률 : 99.88%"
"[ 유모차를 둘러보다가 눈에 들어온 페도라 크래들다른 유모차에 비해 바퀴가 큰게 안정감이 있어 보였어요.사실 시크롤리팝 같은 절충형 살까하는 마음도 있었는데막상 실제로 보니 바퀴도 작구 아기가 만이 흔들릴 것 같더라구요.페도라 크래들이 요람형으로도 가능하고], 긍정 텍스트 확률 : 99.25%"
"[앞보기], 긍정 텍스트 확률 : 61.06%"
"[뒤보기도 다 가능한데다디럭스보다는 가볍고 휴대용보다는 묵직한게아기에게 충격도 덜 할 것 같아서 좋아보였답니다. ], 긍정 텍스트 확률 : 72.60%"
"[ 페도라 크래들 탑승 ㅋㅋ유모차 처음 타보는거라 뭔가 엄청 긴장해서 굳어있더라구요 ㅋㅋ페도라 크래들은 절충형이라고 하던데..절충형치고는 거의 디럭스에 가까운 것 같아요.너무 무거우면 제가 혼자 접었다 폈다 하기 힘들 까봐 매장에서 직접 접어보고 들어보고 다 해봤는데 생각보단 덜 무겁더라구요.남편도 마음에 들어하고제 마음에도 들어서 바로 구입 결정 했답니다.인터넷으로 가격 비교 해봐도 최저가라 고민 없었어요 ㅎㅎ유모차 사고나니 사은품으로 이것저것 챙겨주셔서 다른 악세사리를 구입할 필요가 없었답니다이래저래 알뜰하게 잘 구입한 것 같아 정말 대 만족 ], 긍정 텍스트 확률 : 90.85%"
"[ 제목 그대로 페도라 유모차랑 리안 유모차 고민중이에요 인터넷으로 구매해야해서 핸들링이나 실물을 볼수없을거같아서 실사용하시는 맘님들 의견 듣고싶어요두개중 고민이네요 인터넷 검색해봐도 광고같아서요사용중이신 유모차 후기좀 부탁드려요], 긍정 텍스트 확률 : 98.16%"
"[.페도라플러스 기내반입 유모차와 만난지 벌써 한달이에요 ..한달동안 카페 ], 긍정 텍스트 확률 : 60.41%"
"[ 민속촌 등등 다양한 곳을 다니면서 사용해 보았는데요 ..일단 부피가 작고 가벼워서 너무 좋아요 ..아기의 번째 유모차이자 첫 휴대용 유모차였는데 신랑이 제일 마음에 드는 유모차라고 평하더라구요 ..그 이유는.밖에 안 나가는 초경량유모차인데 핸들링도 좋아서에요 .ㅎㅎㅎㅎ. ], 긍정 텍스트 확률 : 99.66%"
"[ . .아기 태우기 전에 스트랩으로 유모차 각도조절 하는 모습이에요 . ], 긍정 텍스트 확률 : 90.44%"
"[ ..아기랑 강아지랑 함께 산책하는 중이에요..핸들링도 부드러워요 ..가벼운 휴대용 유모차지만 서스펜션 기능이 탑재되어 있어서 역동적인 주행과 부드러운 핸들링까지 가능한 유모차에요 ..포장이 된 일반 길에서는 물론 오프로드에서도 사용해 보았는데 핸들링이 괜찮았어요 . ], 긍정 텍스트 확률 : 99.98%"
"[ .우리집 개누나는 겁쟁이라서 쪼꼬미 아기강아지도 대형견이라고 무섭답니다 ..안 보겠다고 등돌려 앉았어요 ㅎㅎ.. ], 긍정 텍스트 확률 : 57.39%"
"[오늘부로 벌써 일차 어린이집 생활 중인쏨둥이와 나.ㅋ ], 긍정 텍스트 확률 : 69.85%"
"[ 어린이집 보내고 복직하면 마냥 기쁠 줄 알았는데혼자서도 출퇴근이 힘들었건만이젠 쏨둥이까지 태우고 출퇴근을 해야 할생각을 하니 스트레스로 다가오는 현실은 어쩔수가 없었는데ㅠㅠ ], 긍정 텍스트 확률 : 94.66%"
"[ 수속 밟는 동안 세상 똘망착하게 계시는대외적인 행동 잘 보여주시고], 긍정 텍스트 확률 : 91.05%"
"[ 기내반입유모차라 비행기 타러 들어가는길까지 뽈뽈 잘 타고 들어갔더랬다. ], 긍정 텍스트 확률 : 65.79%"
"[ 세상 처음으로 비행기를 타고 슝슝 나는 울 쏨둥이난다 날아 슝슝슝 ], 긍정 텍스트 확률 : 91.53%"
"[ 한시도 가만히 있지 않으려 해서 힘들었지만ㅋ그래도 나름 조용히 비행기 안에서 있어줘서 넘 고마웠다. ], 긍정 텍스트 확률 : 84.46%"
"[ 이 유모차에서 마음에 드는 것 중 하나인확장형 보조 차양막까지 다 내려주니햇빝이 잘 차단되어서 잠든 아기에게 너무 좋았다. ], 긍정 텍스트 확률 : 97.61%"
"[ 아기 카시트도 페도라 카시트로 대여하고 진짜 제주도 여행하러 출발ㅎㅎ꼽사리 낀 이모는 아기들 카시트 중간자리 겨우 내어드려 보았다ㅋㅋ ], 긍정 텍스트 확률 : 62.33%"
"[ 다음 장소로 이동하는데 뒤가 너무 조용해서돌아보니 셋이 너무 귀엽게 잠들어서ㅎㅎ ], 긍정 텍스트 확률 : 97.11%"
"[ 한눈에 봐도 정말 공간을 차지하지 않는 모습을 볼 수 있었다. ], 긍정 텍스트 확률 : 92.64%"
"[ 초소형폴딩 정말 아름답다 아름다워], 긍정 텍스트 확률 : 99.00%"
"[ 이곳 저곳 아기들과 함께 정말 마니 다니고는], 긍정 텍스트 확률 : 91.01%"
"[ 다음날 일정에도 아기의자가 없을 것 같은곳은 휴대용유모차를 들고 다니며 쏨둥이를 앉혔다. ], 긍정 텍스트 확률 : 77.75%"
"[ 유모차안에서 졸려하시는 아드님과큔둥이랑도 사진을 냄겨보았다. ], 긍정 텍스트 확률 : 78.11%"
"[ 빵이 유명하다는 카페에 가서도아기의자가 없어서ㅠㅠ ], 긍정 텍스트 확률 : 63.73%"
"[ 넘나 필수품이 된 휴대용유모차 되시겠습니다ㅎㅎ정말 휴대용유모차 없었으면어떻게 아기와 여행하는 지 클날 뻔 했다. ], 긍정 텍스트 확률 : 59.34%"
"[ 내사랑 아이스라떼와 딸기라떼도 맛보고 ], 긍정 텍스트 확률 : 52.88%"
"[ 저번에 못가본 사려니숲도 다시 한번 가봤다. ], 긍정 텍스트 확률 : 65.23%"
"[ 유모차가 다닐 수 있는 길로 왔지만그래도 돌길이라 조금만 체험하고 발길을 돌린ㅋ ], 긍정 텍스트 확률 : 76.23%"
"[ 그리고 오늘], 긍정 텍스트 확률 : 89.10%"
"[결혼식이 있어서 이쁜 고깔모자 쓰고결혼식에 다녀왔다.ㅎ ], 긍정 텍스트 확률 : 79.34%"
"[ 결혼식장에서 엄빠 편히 음식 드시고 가라고꿀잠 취해준 쏨둥아 고마벙..제주도에서도 이래줬음 얼마나 고마웠을지 몰라..ㅋ. ], 긍정 텍스트 확률 : 68.77%"
"[ 유모차 브랜드 페도라 아시나유 저한테는 완전 듣보잡이었는데휴대용 사러 갔다가 절충형을 사고결국 디럭스까지 사게 된완전 꽂혀버린 브랜드에요ㅋㅋ위 동영상은 페도라 절충형 유모차 인데요기존에 사용하던 퀴니 디럭스는너무 무겁고 힘들다며매번 오빠가 유모차 새로 좀 사자 ㅠㅠ 해서 갔는데아무래도 일 이제 막 지난 아기를휴대용에 태우긴 좀 그런거에요ㅜㅜ그래서 절충형 알아보는데절충형은 결국 또 무겁고..그럴거면 걍 퀴니 디럭스를 쓰지 ㅠㅠ 하고있는데직원 분이 추천해주신페도라 절충형 절충형 중에서 유일하게 휴대용처럼 엄청 쉽게접었다 폈다 할수있다고 하더라고요물론 다른 디럭스급 절충형 유모차에 비하면좀 작은 편이지만 휴대용보다는 분명 안정적인], 긍정 텍스트 확률 : 57.62%"
"[디럭스 모두페도라로 갖게 되었다는ㅋㅋㅋ디럭스가 진짜 넘넘 가벼워서 맘에 들어요광고는 키로라고 하는데 실제론 키로대 정도 되는것 같구요오빠 없이 다닐때저혼자 차에 싣고 내리기에 충분히 가볍구접었다 폈다 하는것도 넘나 쉬움문의사항 답변 양대면 상태에서 폴딩이 되는건 아닙니다.양대면 상태에서 폴딩이 되는 디럭스는없는것으로 알고 있습니다.하지만 시트를 들어서 앞뒤로 바꿔끼울때워낙 가벼워서 혼자서도 거뜬히 할수있어요이게 바로 카본 소재 유모차를 산 이유 ], 긍정 텍스트 확률 : 97.94%"
"[ 문의사항 답변 리미티드 에디션 럭셔리 골드는다른 일반 색상보다 약 만원 비싸요그래도 유일하게 차양막이 블랙인데다가페도라가 색상을 예쁘게 뺀 편은 아니어서ㅜ레드], 긍정 텍스트 확률 : 50.39%"
"[ 오빠랑 간만에 스벅가서 놀았어용꼬북이 한번도 안내려줬는데유모차에서 혼자 잘놀더라구요작은 절충형에 타고다니다가간만에 크고 푹신한 유모차에 타서 그런가ㅋㅋㅋㅋㅋ암튼 페도라 한정판 럭셔리골드실물 후기가 넘 없어서 고생해서 샀기 때메이렇게 블로그에 사진좀 올려봅니당ㅋㅋ페도라 카본 디럭스 가격이 싼편은 아니에요하지만 아빠 없이 혼자 열심히 다닐 엄마들에겐꼭 추천하고싶어용솔직히 외관이맘에 들진 않지만혼자 가지고다녀보니 만족이에요 ㅠㅠ ], 긍정 텍스트 확률 : 72.51%"
"[안녕하세요. 여러분 새해를 맞이한 지도 어느 새 시간이 훌쩍 지나가고 있어요.아이가 커가는 모습을 보면서 뿌듯한 마음이 들면서도], 긍정 텍스트 확률 : 90.20%"
"[한편으로는 아이와 함께 이곳 저곳에 더 다닐 걸.. 하는 생각이 들었던 분들도 많으실 거에요. 우리 아이에게는 늘 좋은 것만 주고 싶은 부모님의 마음을 그 누구보다 이해하는 페도라 유모차페도라는 유모차에 대한 끊임없는 연구를 거듭해 프리미엄 유모차의 새로운 패러다임을 선보입니다. ], 긍정 텍스트 확률 : 99.97%"
"[ 국내 최초의 카본 디럭스 유모차], 긍정 텍스트 확률 : 52.07%"
"[카본이라는 단어가 낯설게 느껴지시는 분들도 계실 거에요. 카본 소재는 이미 항공이나 스포츠 장비를 다루는 분야에서는 다양하게 사용되고 있어요. 카본은 일반 금속 소재와 비교했을 때 가벼운 무게와 견고함을 자랑한답니다. 금속 소재보다 월등히 뛰어난 소재라고 말할 수 있어요. 가벼운 무게와 뛰어난 내구성을 자랑하는 커다란 장점을 가진 소재이기 때문에], 긍정 텍스트 확률 : 97.73%"
"[페도라 익스트림 이 출시되었답니다. 카본은 최첨단 신소재로서 가벼운 무게와 안정감을 안겨준답니다. 우리아이만큼은 좋은 제품을 사용할 수 있도록 해주고 싶은 게 바로 부모님 마음이잖아요. 부모님의 마음을 가득 담은 유모차], 긍정 텍스트 확률 : 99.85%"
"[페도라 익스트림 입니다.], 긍정 텍스트 확률 : 75.73%"
"[ 가벼운 소재로 제작되어 안정감은 줄어들지 않았을까 생각하는 분들도 계실 거에요. 페도라 익스트림 과 함께라면 그런 걱정은 하지 않으셔도 될 것 같아요. 무게가 가벼워도], 긍정 텍스트 확률 : 83.18%"
"[안정감은 한결 같은 페도라 익스트림 이랍니다.], 긍정 텍스트 확률 : 52.65%"
"[ 페도라 익스트림 은 아기가 유모차에 탑승했을 때], 긍정 텍스트 확률 : 55.40%"
"[완벽한 설계로 안전성을 높인 제품이랍니다. 카본 소재의 가장 큰 장점이 바로 가벼운 무게라고 말씀드릴 수 있어요. 가벼운 무게와 안정적인 프레임은 유모차를 사용하는 아기와 부모님 모두를 만족시키기에 충분합니다], 긍정 텍스트 확률 : 78.37%"
"[ 특히], 긍정 텍스트 확률 : 88.16%"
"[또는 갑작스러운 충격으로부터 우리 아기를 안전하게 보호해 줍니다.], 긍정 텍스트 확률 : 78.42%"
"[ 페도라 익스트림 은 부드러운 주행을 할 수 있게 합니다. 볼베어링 시스템을 적용한 바퀴를 통해 적은 힘으로도 안정적이고 매끄러운 주행이 가능하도록 합니다.], 긍정 텍스트 확률 : 94.92%"
"[손상이나 펑크도 방지한답니다. 폴리 우레탄 소재는 충격 흡수에], 긍정 텍스트 확률 : 55.12%"
"[코너링과 움직임에 용이한 도 회전 바퀴로 갑작스러운 상황에도 대처가 가능하고], 긍정 텍스트 확률 : 72.28%"
"[흔들림 없이 직진 주행을 하고 싶을 때는 앞바퀴 고정레버를 이용해서 항상 평온하게 주행할 수 있답니다. 매끄럽지 못한 지면을 지날 때도 걱정 없이 부드럽게 주행할 수 있으니 아이가 편안하게 하니 안심이 되어요. ], 긍정 텍스트 확률 : 84.19%"
"[ 아이와 외출해서 주행을 하다 보면 갑작스러운 상황이 발생하는 경우가 많아요. 그럴 때 유용하게 사용할 수 있는 뒷바퀴 브레이크를 통해서 대처하세요 페도라 익스트림 에는 상황에 따라 빠른 대처가 가능하도록 브레이크를 손쉽게 사용하실 수 있답니다.], 긍정 텍스트 확률 : 56.71%"
"[ 페도라 익스트림 은 신생아시기 아이가 탑승했을 때는 보다 편안하고 포근한 유모차가 될 수 있도록], 긍정 텍스트 확률 : 65.46%"
"[신생아 전용 이너시트를 사용하실 수 있어요. 외부환경으로부터 우리 아이를 안전하게 보호할 수 있을 뿐만 아니라 쾌적한 착석감과 편안함을 느낄 수 있게 합니다.], 긍정 텍스트 확률 : 93.14%"
"[ 카본유모차 페도라 익스트림 의 안전가드와 핸들에는 울트라 스웨이드 원단을 사용했어요. 이 원단은 슈퍼카에 사용되는 인조피혁 소재에요. 스웨이드 원단은 부드러운 촉감과 더불어], 긍정 텍스트 확률 : 67.87%"
"[내마모성이 뛰어난 고감도 고기능 소재로 잘 알려져 있어요. 작은 곳 하나에도 섬세하게 신경 쓴 모습이 돋보이는 페도라 익스트림 이에요. 특히 핸들은 부모님이 유모차를 주행하실 때 잡는 부분인데], 긍정 텍스트 확률 : 99.72%"
"[그 부분마저도 신경 쓰고 배려한 모습이 인상 깊은 제품이랍니다. 그리고], 긍정 텍스트 확률 : 97.37%"
"[ 페도라 익스트림 은 최대 도], 긍정 텍스트 확률 : 65.50%"
"[단계 시트 각도 조절이 가능하답니다.], 긍정 텍스트 확률 : 51.44%"
"[ 아이가 유모차에 탑승해 있을 때 견고한 소재], 긍정 텍스트 확률 : 59.11%"
"[안전가드도 물론 중요하지만], 긍정 텍스트 확률 : 77.32%"
"[가장 가까이 마주하고 있는 벨트도 중요해요. 카본유모차 페도라 익스트림 은 점식 벨트로 안전함을 배가시켰습니다. ], 긍정 텍스트 확률 : 50.38%"
"[ 페도라 익스트림 은 아이가 유모차 내부에 있을 때 쾌적하고], 긍정 텍스트 확률 : 90.45%"
"[추운 겨울에는 찬 공기가 유모차 내부에 들어올 수 없도록 온기를 유지할 수 있게 돕는 공기 순환 시트로 우리 아이가 더 편안한 환경에서 쉴 수 있게 해줄 수 있답니다], 긍정 텍스트 확률 : 96.65%"
"[ 페도라 익스트림 은 시트 분리를 통해 양대면 모드로 변환할 수 있는 제품이에요. 시트 분리 방법 또한 손쉬워요 시트 분리를 통해서 양대면 모드로 전환하기 때문에 핸들링에는 영향을 끼치지 않아서 부드러운 주행을 늘 유지할 수 있답니다.], 긍정 텍스트 확률 : 73.21%"
"[ 유모차를 사용하면서 눈 여겨 볼 점 중에서 하나가 바로 폴딩인 것 같아요. 아이와 바깥에 있을 때], 긍정 텍스트 확률 : 69.82%"
"[유모차에 있지 않는 경우도 생기게 되는데], 긍정 텍스트 확률 : 55.06%"
"[그럴 때 폴딩이 어려우면 난감한 경우가 많기 때문이에요. 페도라 익스트림 은 폴딩이 슬림하고 쉽게 될 뿐만 아니라 셀프 스탠딩이 가능하답니다. 폴딩이 쉬우니 상황에 따라 사용이 가능해서 좋고], 긍정 텍스트 확률 : 59.33%"
"[ 카본유모차 페도라 익스트림 은 자외선 차단에 용이한 단계 풀커버 차양막과 서브 캐노피가 장착되어 있어요. 풀 커버 차양막을 통해 우리 아이를 해로운 환경으로부터 보호해 줄 수 있고], 긍정 텍스트 확률 : 61.27%"
"[아이가 잠들었을 때 편안하게 주행할 수 있도록 도움을 줍니다.], 긍정 텍스트 확률 : 62.75%"
"[ 아이가 유모차 내부에서 잘 쉬고 있는지], 긍정 텍스트 확률 : 53.56%"
"[잠에 들었는지 주행 중에도 확인하고 싶으신 분들도 계실 거에요. 자석형으로 열고 닫을 수 있는 페도라 익스트림 아이 확인창을 통해서 언제든지 우리 아이의 상태를 확인하며 주행하세요가족분들과 나들이 가실 때], 긍정 텍스트 확률 : 95.65%"
"[페도라 익스트림 과 함께 해보시는 걸 추천해드려요.페도라 익스트림 은 쁘레베베샵을 통해 만나보실 수 있답니다. 뿐만 아니라 쁘레베베샵에서는 페도라 제품을 구매하신 분들을 위한 혜택과 이벤트가 항시 진행되고 있어요.], 긍정 텍스트 확률 : 69.63%"
"[ 페도라 유모차 또는 카시트 제품을 구매하신 분들은 페도라 구매후기 이벤트’에 함께 하세요구매 및 개봉후기를 직접 찍은 사진과 함께 상품평을 남겨주시면 된답니다 응모 방법도 쉬우니까 페도라 유모차], 긍정 텍스트 확률 : 69.56%"
"[카시트를 구입하신 분들은 반드시 참여해보시는 걸 추천해드려요 ], 긍정 텍스트 확률 : 59.24%"
"[놓치지 말고 꼭 챙겨가셨으면 좋겠어요], 긍정 텍스트 확률 : 90.59%"
"[ 카본유모차 페도라 익스트림 을 소개해 드리며 말씀 드렸듯이], 긍정 텍스트 확률 : 53.86%"
"[페도라 유모차는 안정감과 핸들링이 뛰어나답니다. 페도라 유모차는 굴곡진 지면을 지나게 되어도], 긍정 텍스트 확률 : 53.40%"
"[아이에게 가는 충격이 최소화 될 수 있도록 설계되었습니다. 언제 어디서나 안정감을 유지할 수 있어서 아이도], 긍정 텍스트 확률 : 91.56%"
"[부모님도 마음 편히 사용할 수 있는 제품이에요. 주행하면서도 가볍고 부드러운 핸들링에 또 한 번 반할 수 밖에 없는 페도라 유모차 랍니다 ], 긍정 텍스트 확률 : 99.41%"
"[아이와 함께 성장하는 제품입니다. 아이가 커 감에 따라 맞춤형으로 아이를 더욱 편안하게 해준답니다. 페도라 카시트만의 스텝 케어 시스템으로 우리 아이에게 안락하고 편안한 쉼터가 되어줄 것입니다. ], 긍정 텍스트 확률 : 99.56%"
"[페도라 카시트 무상교환 프로그램의 혜택을 확인하고 챙기셨으면 좋겠어요. 쁘레베베샵에 방문하시면 카시트 무상 교환 프로그램에 대해서 더욱 자세하게 확인하실 수 있으니], 긍정 텍스트 확률 : 96.01%"
"[카시트 제품에 대해 궁금하신 카톡 플친을 통해 그때그때 확인하세요 카카오톡 플러스 친구에 쁘레베베샵을 검색하시면 많은 정보를 확인하실 수 있어요.지금], 긍정 텍스트 확률 : 93.68%"
"[쁘레베베샵에 방문하셔서 우리 아이에게 만큼은 좋은 제품을 안겨주고 싶은 부모님의 마음을 담아 제작한 페도라 유모차], 긍정 텍스트 확률 : 98.54%"
"[지난 월 베페 갔을때전시장에서 대여유모차로 끌어 보고 꼬들아범이 괜찮다 해서 직접 구매한 페도라 플러스 유모차.휴대용인지 절충형인지 헷갈렸는데내가 직접 받아본 결과.절충형임. ], 긍정 텍스트 확률 : 80.19%"
"[ 일단 상자.매우 크고 무겁게 생겨서는힘을 잔뜩 준 아랫배가 무색하게생각보다 가벼웠음.키로대라키로대인 휴대용 타보보단 좀 무겁다. ], 긍정 텍스트 확률 : 95.16%"
"[ ㅎㅎㅎ베페몰 전시기간 대여유모차도아니 일간 썼다면 쓴 중고유모차인데바퀴상태 무엇?.. 매우 깨끗함쓰 ], 긍정 텍스트 확률 : 78.67%"
"[ 하지만 대여유모차로 원래 만원대인 제품만원대로 베페몰 포인트 모아 알뜰히 잘 산거 같아 만족 ㅋ전액 포인트 아니었으면 살짝 눈물맺힐뻔 ㅠ원래 두나유모차 사고싶었는데 ㅠ그건 대여유모차 사도 만원대라 포기..포인트가 만원있어서 만천원인 페도라샀음..ㅋㅋ ], 긍정 텍스트 확률 : 68.10%"
"[ 저번에 타보 살땐 완제품으로조립이 도 필요없었는데 요번엔 간단한 조립이 필요하다.사실상 조립을 해야 하긴 하지만 별거 없음.바퀴랑 안전바정도 끼우는거.ㅋ ], 긍정 텍스트 확률 : 74.45%"
"[ 이자리를 빌어 우리 꼬들아범 밤샘 베페 서포활동 칭찬합니다....☆ 무튼.ㅋㅋ집에 있는 타보베이직년형 쓰다가요거 보니까 잠금장치가 신세계 ㅋㅋ ], 긍정 텍스트 확률 : 70.15%"
"[ 색상은 핑크 그레이 브라운 중에 실제로 보니까 브라운이 젤 예쁘길래이거샀따...ㅎㅎ ], 긍정 텍스트 확률 : 98.39%"
"[ 차양도 보면 풀차양이긴 한데...아직 앉은 키 쪼그만 우리 둘째한테는정수리만 가려주게 생김.ㅠ 다만 타보유모차는 기존에 내가 로다가풀차양 만들어놔서 확실히 가려짐. ], 긍정 텍스트 확률 : 64.01%"
"[ 그럼 됨 ㅋㅋㅋㅋ생각보다 엄청 고퀄인 프레임에 비해 ], 긍정 텍스트 확률 : 83.55%"
"[ 이 유모차가 시트도 높은데다손잡이가 꽤 높아서나 같이 키가 대인 호빗은 통풍창으로도 애가 잘 보일거 같다. ], 긍정 텍스트 확률 : 96.02%"
"[ 무튼.세번째 아쉬운 점은ㅋㅋㅋㅋㅋ맨 아쉬운 점 말하기 대잔칰ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 85.37%"
"[ 짐 많은 우리에게 아쉬운 부분..유모차 수납기능 ㅠ . .], 긍정 텍스트 확률 : 81.48%"
"[ 그밖에 조절되는 발판이 있다는건이 페도라유모차의 장점.ㅎㅎ그리고 생각보다 원터치 폴딩 괜찮음.ㅋ ], 긍정 텍스트 확률 : 98.26%"
"[어느날 우연히 첫째를 페도라에 앉히게 됨. 첫째 전용으로 쓰던 타보와는 다르게 주행감 매끄럽고 핸들링 괜찮았음. 타보는 애가 가벼울수록 핸들링이 더 수월한거같음. . 바구니 입구 좁음아기띠 정돈. 꾸셔넣으면 뭐.. 들어가기야 함. 근데 장볼때 불편함. 이것 저것 넣기에는... 그래서 따로 유모차고리 써야함. 거기에라도 걸게...ㅡㅡㅡㅡㅡㅡㅡㅡ주절주절 말이 많았지만팩트는 ], 긍정 텍스트 확률 : 53.33%"
"[ 딱히 장점이 단점을 상회하는것 같지 않음. 지극히 개인적인 느낀점이니], 긍정 텍스트 확률 : 73.60%"
"[ 출산하고나니 뭐이렇게 필요한게 많은걸까요 ㅎ 사도사도 끝이 없네요 ㅎ 필요한거 채워뒀다 싶으면 또 필요한게 생기고 ㅎ없어도 괜찮긴하지만 있으면 편한 용품들이 많다보니 하나씩 하나씩 갖춰두게되곤해요 ], 긍정 텍스트 확률 : 99.88%"
