"[ 정말 오랜만에 포스팅으로 인사드리네요..블로그 포스팅 못하는동안고객님들께서 정말 많은 문의를 주셨는데 항상 감사드립니다.고객님들의 많은 문의 속에서분명 매입문의 문자], 긍정 텍스트 확률 : 83.59%"
"[ 인터넷티비는 아이들을 사랑하는 엘지유쁠러스인데 기본형이라 그런지 대부분의 유명한 채널은 초 맛보기이고. 아직 다시보기 이런 건 들어가 보지 않아서 모르겠는데 뭐 여튼 아이들 채널이 꽤나 있기 때문에 아이들이 시간 때우기에는 충분하지 않나 싶다. 어떤 곳은 단 두 채널 밖에 없어서 핸드폰을 쥐어줘야 하는데 말이지.], 긍정 텍스트 확률 : 83.13%"
"[ 아주 좋았던 것이 침대를 이용하고 있을 때 따로 걸 수 있는 천정형과 벽형 수액걸이가 있다는 것.], 긍정 텍스트 확률 : 68.82%"
"[ 집기들이 아주 많다. 특히 저 빨간 냉장고가 아주 세련되어 보인다. 그리고 각 병실마다 있는 전자레인지. 옷장 외에도 수납공간이 많고 그 위에도 물건들을 놔둘수 있는 면적이 넉넉해서 좋더라.], 긍정 텍스트 확률 : 72.18%"
"[ 병원에 대해 궁금한 게 있다면 굳이 간호사에게 물어보지 않아도 알 수 있는.?예담사용설명서예담사용설명서 모든 것이 여기 다 들어있다고 해도 과언이 아니다. 이걸 발견하고는 천천히 읽어보았더랬지. ㅋ ], 긍정 텍스트 확률 : 83.75%"
"[ 제일 중요한 입원실 금액. 기본 인실은 만원이고 특실은 각각 만], 긍정 텍스트 확률 : 56.82%"
"[만원차이가 있다면 침대의 크기와 전용 휠체어], 긍정 텍스트 확률 : 76.25%"
"[젖병소독기가 있다는 것.], 긍정 텍스트 확률 : 53.23%"
"[ 여기가 메인 탕비실이고 또 두군데의 탕비실이 마련되어 있다. 정수기와 싱크대], 긍정 텍스트 확률 : 88.93%"
"[ 아이들이 좋아하는 어항과 고래그림. 병원에 요런 게 있으면 신체의 치유능력도 올라간다고 하던가? 정서적으로 안정이 되기 때문에 여튼 좋다는 걸 어디서 본 것 같다. 이 안에 다양한 열대어들이 있는데 특히 벽이나 나무에 붙어서는 이끼를 마구 빨아먹고 있는 빨판상어처럼 생긴 물고기가 있던데 고 녀석은 어디 잘 숨어있다가 나타나곤 해서 아이들이 고 녀석 찾는 재미가 솔솔하다더라.], 긍정 텍스트 확률 : 89.97%"
"[ 그리고 또 중요한 것이 음식 맛인데], 긍정 텍스트 확률 : 53.83%"
"[밥과 국 반찬 네 가지가 나오더라. 유아식이라 고춧가루 하나 없는 순수한 것들로 이루어져 있는데 간은 어린 아이가 먹기에는 살짝 짠 편. 그래도 맛이 괜찮다는 평이다. 가격 대비 괜찮다 뭐 이런 이야기 하기는 싫지만 돈에 비해 만족스러웠다. 그리고 열이 떨어지고 시간 지나면 퇴원 시켜준다는 것도 마음에 들고. 어떤 곳은 병실비도 비싸고 무조건 일을 잡아두기도 하던데 그에 비하면 아주 양반인 이 곳. 그래도... 집이 최고지. 어서 퇴원하고 싶다. ㅠㅠ ], 긍정 텍스트 확률 : 99.78%"
"[ 방문하실 분들은 막힌다는 생각하고서 출발 하시거나], 긍정 텍스트 확률 : 71.57%"
"[ 일찍 출발하시는게 도로에서 시간을 버리지 않을 수 있다.아무튼 후기를 남겨본다. ], 긍정 텍스트 확률 : 85.54%"
"[사람이 적어서 편하다. ], 긍정 텍스트 확률 : 51.94%"
"[ 이곳은 제 주차장 쪽 팜랜드 입구음식점들이 모여있는데], 긍정 텍스트 확률 : 69.50%"
"[ 구경하고 다른 곳에서 먹는걸 추천한다.전화번호 남겨도 전화 안준다고 하고], 긍정 텍스트 확률 : 85.77%"
"[ 안에 사람이 많아서 건물 밖에서 앉아있는데], 긍정 텍스트 확률 : 53.50%"
"[ 인당 ], 긍정 텍스트 확률 : 57.95%"
"[ 아무튼 배고파서 밥먹고 이렇게 또 구경을 해본다.입구에 팜플랫이 있어서 각 공연하는 시간], 긍정 텍스트 확률 : 60.73%"
"[ 전기 자전거 등 여러가지 많이 있는데], 긍정 텍스트 확률 : 59.88%"
"[ 사실 날씨가 엄청 좋은데 조금 덥긴 했지만], 긍정 텍스트 확률 : 94.39%"
"[ 이곳이 공연하는 곳.양몰이를 하는데], 긍정 텍스트 확률 : 79.01%"
"[ 이렇게 소도 있다.생각보다 정말 많이 넓다.사람이 많았는데], 긍정 텍스트 확률 : 86.76%"
"[사람도 많고 좁았으면], 긍정 텍스트 확률 : 71.64%"
"[사람에 치였을텐데], 긍정 텍스트 확률 : 51.35%"
"[ 그렇게 사람에 치인다는 생각은 들지 않았다.다만], 긍정 텍스트 확률 : 54.01%"
"[주차가 정말 힘들었다는 사실. ], 긍정 텍스트 확률 : 62.14%"
"[ 공연하는 곳 옆에 대관령양떼목장처럼양 집이 있는데], 긍정 텍스트 확률 : 87.05%"
"[ 공연이다.덥다.우산 필수. ], 긍정 텍스트 확률 : 54.69%"
"[ 귀엽네 녀석. ], 긍정 텍스트 확률 : 87.63%"
"[ 그래도 얌전히 먹이를 잘 먹는다.말들도 착하다.아무튼돼지는 아프리카열병으로 인하여 어디론가 가버렸고], 긍정 텍스트 확률 : 86.83%"
"[애들 정말 많았다.아이 있으면 아주 좋은 곳인 것 같다. ], 긍정 텍스트 확률 : 95.66%"
"[ 길이 이쁘다.하지만 역광이다. ], 긍정 텍스트 확률 : 69.31%"
"[ 하늘이 정말 푸르다.그래서 더웠다. ], 긍정 텍스트 확률 : 54.95%"
"[ 저 멀리 전기 자전거 타고 다니는 사람들. ], 긍정 텍스트 확률 : 58.98%"
"[ 정말 많은 커플들이 있었고], 긍정 텍스트 확률 : 71.04%"
"[ 이쁘다. ], 긍정 텍스트 확률 : 59.48%"
"[ 핑크뮬리가 있는 곳으로 가본다.사람 정말 많았다. ], 긍정 텍스트 확률 : 90.84%"
"[ 핑크뮬리다.처음보는데 느낌도 특이했다.멀리서나 사진으로 보는건 이쁜데], 긍정 텍스트 확률 : 53.48%"
"[ 실물은 조금 별로였다.개인적인 생각이다.사진이 너무 이쁘게 사기처럼 나와서그런가보다. ], 긍정 텍스트 확률 : 69.08%"
"[ 아주 넓다.사람도 많은데], 긍정 텍스트 확률 : 60.71%"
"[ 밥먹으니 시쯤부터 구경해서 시 분정도까지 구경했는데], 긍정 텍스트 확률 : 57.18%"
"[ 더워서그런가 아주 녹초가 되었다.중간에 쉬고 그래야되는데], 긍정 텍스트 확률 : 56.67%"
"[얼음 떨어졌다고해서... 하하하.덥긴 더웠나보다.우리는 사람이 많으면], 긍정 텍스트 확률 : 81.19%"
"[천천히가 아니라빨리 보고 그 자리를 벗어나려고 하다보니 더욱 강행군이 되는 것 같다. ], 긍정 텍스트 확률 : 53.09%"
"[ 가족단위], 긍정 텍스트 확률 : 62.67%"
"[어린 아이들이 있으면 추천.강아지들 뛰 놀 수 있는 곳이 있는데], 긍정 텍스트 확률 : 84.08%"
"[ 애완견 있으신분들도 추천.아시는 분들은 아마 잘 아시는 것 같다.왜냐면 사람이 정말 많았기에], 긍정 텍스트 확률 : 86.97%"
"[시간을 잘 정해두고 가셔야도로에서 시간을 기다리지 않을 수 있다.경부고속도로 정말 오랜만에 타보는데], 긍정 텍스트 확률 : 94.75%"
"[ 주말엔 역시 사람이 많다는 걸 깨달았다.아무튼 강행군이었으나], 긍정 텍스트 확률 : 81.80%"
"[ 오랜만에 산책겸 데이트 한 것 같고], 긍정 텍스트 확률 : 64.26%"
"[ 아이폰 용량이 얼마 남지않아서 어쩔 수 없었다.아이폰 용량장사좀 그만하고 팍팍 줬으면 좋겠다....제발...다음엔 더 즐거운 곳으로 가보도록..항상 보면 장 이상이었는데], 긍정 텍스트 확률 : 86.71%"
"[ 사진이 적어서 아쉽지만], 긍정 텍스트 확률 : 73.12%"
"[.안녕하세요 충남사회경제네트워크입니다..년 월 일 서산 번화로 소극장에서 청년들을 대상으로사회적경제 아카데미서산 의 두 번째 교육을 진행하였습니다 .. 서산은 청년들에게 사회적경제를 알리고], 긍정 텍스트 확률 : 77.33%"
"[ 가난한 사람들을 위한 경제학자라고 불리는 그는 신용만 있으면 가난한 사람들도 누구든 돈을 빌릴 수 있는 무보증·무담보의 소액신용대출 제도인 마이크로크레디트를 처음 시행한 장본인 입니다. 빈곤층], 긍정 텍스트 확률 : 58.90%"
"[상대적 약자인 여성들과 함께한다는 원칙 아래 은행은 발전했다고 합니다.그러나 유누스가 처음 시도한 이래 난립하기 시작한 일부 마이크로 크레디트 단체들은 고리대금업을 마이크로그레디트로 포장하는 등 비영리적 목적을 망각한 사건들이 생겨났습니다. 팀장님께서는 이 사례를 들어소셜 미션을 잊지 않는 것이 어렵지만 무엇보다 중요 하다는 점을 강조하셨습니다.다음으로는 적정기술의 사례인 플레이 펌프 에 대한 영상을 함께 보았습니다. 플레이펌프란 아이들이 회전 놀이기구를 이용하면 그 에너지로 지하수를 끌어올려 깨끗한 마실 물을 제공하는 장치인데요. 개발 당시 여러모로 획기적인 아이디어로 인정받아 엄청난 재정적 지원 아래 많은 양이 아프리카에 설치되었습니다. ], 긍정 텍스트 확률 : 77.94%"
"[ 하지만 완벽하게만 보이는 이 기술이 실패 사례로 불리게 된 원인은 설치 이후 나타났습니다. 에너지에 비해 턱없이 적은 양의 물만이 제공되어 기구를 돌리는 행위는 놀이가 아닌 노동으로 변질되었고], 긍정 텍스트 확률 : 60.12%"
"[고장이 나면 수리하기에 많은 어려움이 있어 결국 기구를 방치하는 결과를 낳았습니다.적정기술이란 문제점을 지역의 특색에 맞춰 기술적인 해법을 제시해주는 기술로], 긍정 텍스트 확률 : 56.59%"
"[미세먼지 등 유해한 주변환경 때문에 추천하지 않겠다. 등의 답변도 있었습니다. 관찰하여 수집한 내용과 느낀 점들을 다양하게 이야기하는 과정에서 이와 같은지역의 여러 문제점들을 자연스럽게 발견 할 수 있었습니다. ], 긍정 텍스트 확률 : 81.23%"
"[ 그 다음 단계는 문제 정의하기인데요. 다양한 관점에서 문제를 바라보며 눈에 잘 보이지 않았던 것들을 발견하여 분명하고 간결하게 표현하는 활동입니다. 이 과정에서 문제를 다시 정의할 수 있다고 합니다. 팀장님께서는 사례로 알기 쉽게 설명해주셨는데요. 몇가지 사례 중 기억에 남았던 것은 시각장애인을 포함한 모두를 위한 시계 브래들리 타임피스라는 제품입니다.패럴림픽 수영 부문 금메달리스트인 브래들리 스나이더에게 영감을 받아 이름을 따왔다는 이 제품은 눈이 아닌 손으로 시간을 확인할 수 있다고 합니다. 티타늄 표면을 만져 내부 자석으로 고정된 쇠구슬의 위치로 시간을 확인하는 방식이므로 워치가 아닌 타임피스라는 단어를 씁니다. 창업자 김창수 대표는 기존 시각장애인용 시계의 문제점을 발견하고 이를 개선한 시계를 만들던 중 그들이 기능만큼이나 디자인에 신경 쓴다는 사실을 알게되었습니다.시각장애인만을 위한 제품을 만드는 것은 그들을 향한 또 하나의 벽이 될 수 있음을 깨닫고 그들의 의견을 반영해 브래들리 타임피스를 탄생시켰다고 합니다.작은 관점의 차이], 긍정 텍스트 확률 : 99.85%"
"[올바른 문제 정의가 큰 솔루션의 차이를 가져온다 는 것을 확인할 수 있었던 사례였습니다. ], 긍정 텍스트 확률 : 70.06%"
"[ 위와 같은 형태의 분명하고 간결한 문장을 작성함으로 인해 다양한 솔루션이 가능해졌습니다. 보통 어려워하시는 부분이라고 하는데 서산의 참가자분들께서는 막힘없이 작성해 주셔서 놀라웠어요], 긍정 텍스트 확률 : 55.70%"
"[.어디 데리고 다니는 것 자체가 어려울 나이 갤. 아싸리 유모차에 가만히 앉아있거나 아니면 언어로 통솔이 될 정도가 되어야만 어디 다니기 좀 수월할 것 같다. 이건 뭐], 긍정 텍스트 확률 : 82.06%"
"[ .어렸을 때 서울랜드는 몇 번 왔던 것 같은데], 긍정 텍스트 확률 : 84.41%"
"[이제는 집에서 고작 분도 채 걸리지 않는다. 마눌님이 동물원 후기 글 같은 걸 보고는 과천현대미술관 주차장에 주차를 하고 동물원 북문으로 입장 후 리프트를 타고 올라가라고 해서 그렇게 했는데], 긍정 텍스트 확률 : 73.68%"
"[ .우리 둘 다 처음가서 지리적 감각이 떨어져서 효율적으로 못 돌아다녔는데 다음에 가면 더 잘 놀 수 있을 것 같음. 그리고 리프트는 굳이 탈 필요도 없을 것 같다. 입장료 중 절반은 리프트 값인데], 긍정 텍스트 확률 : 78.93%"
"[ .옆에 미술관도 있고 식물원도 있고 서울랜드도 있고 해서 꼭 동물원 아니더라도 날씨 좋을 때 가끔 가는 것도 좋을 것 같다. 근데 날씨 좋아지면 주차 대란 일어날 것 같음. 상황 봐서 호선 이용하는 것도 괜찮을 듯. 반쪽짜리였지만 이렇게 마눌님 위시 리스트 하나 클리어. ], 긍정 텍스트 확률 : 93.16%"
"[안녕하세요.오늘은 신나고 즐거운 불토네요요즘 불토보다는 불금이 맞겠죠?이제 나이도있고 중고차 영업이라는 특성상 불금], 긍정 텍스트 확률 : 80.54%"
"[ 불토가 저에게는 없는듯합니다.그냥 조금 젊었더라면....어렸더라면....하는 생각만하고 푸념만 늘어놓네요하지만 이제 개월된 아들이 커감에 따라 저도 어릴적 모습들을 회상하며 즐거운 시간들을 보내지 않을까 하고 상상해봅니다.벌써부터 함께 아이와 놀이공원가고 놀생각에 설레이기까지 하네요 ], 긍정 텍스트 확률 : 67.87%"
"[ 자그러면 가족과 함께 할수 있는 차량에는 어떤것들이 있을까요당연히 유모차를 실을 수 있고 뒷좌석에 가족이 편안하게 앉을 수 있는 뒷자리가 넓은 차량을 선호하지 않을까요?국내 출시되있는 차량이 많이 있지만 주차하기 편하고 운전하기 부담없는 그런 차량어떤차가 있을까요? 바로 머리속에 떠오르는 그차가장 선호도가 높은 .?레이레이.?차량이 아닐까요?대형부터 중형차까지는 패밀리카로 사용할 만한 차가 많이 있지만.....주차편하고 운전하기 수월하며 좁은골목 잘다닐 수 있는 경차는 없을까요모닝이나 스파크가 있지만 사실 .?패밀리카패밀리카로 사용하기엔 무리가 있어보입니다. ], 긍정 텍스트 확률 : 62.19%"
"[등급자체가 기본 레이 휘발유에서 가장 높다고 할 수있는프레스티지등급 으로거의모든 옵션이 들어가 있는 중고차량이었습니다.저는 항상 차량구매의뢰시 먼저 용도를 여쭈어본답니다.본인이 타실차량인지], 긍정 텍스트 확률 : 93.79%"
"[ 처음 카투어중고차를 통해 구매한 차량이 마음에 드셨는지 전화상으로만 설명해주시고 제가 권해드리는 차를 브리핑 해드리니냉큼 달려와 주셨답니다. ], 긍정 텍스트 확률 : 91.85%"
"[내딸이], 긍정 텍스트 확률 : 51.21%"
"[내가 사랑하는 가족이 이러한 일로 위험한 장소에서 차가 고장이 났다고하면 얼마나 마음이 떨리겠습니까.그래서 특히나 여성오너가 운행하실 차량을 고를때는 정말 고장이 덜나는차종], 긍정 텍스트 확률 : 99.24%"
"[수리가 용이한차를 권하며 최대한 운행하시면서 고장이 안날만한 그런 중고차를 신중하게 찾아 권하고 있답니다.물론 자동차는 소모품이 많이있기에 모든것을이상이 없을거라 확신을 하지 못하지만 최대한], 긍정 텍스트 확률 : 58.95%"
"[저의 지식과 노하우], 긍정 텍스트 확률 : 65.24%"
"[감각을 살려 선택하지요.기아 경차 레이차량 휘발유적용 차량에는 총가지의 트림이 존재한답니다.디럭스디럭스스페셜럭셔리프레스티지터보이렇게 가지 등급중에 터보는 미션과 마력수가 다르기 떄문에 제외해본다면 총가지 종류중 프레스티지는 가장 높은 등급이 되겠네요.구매하신 레이차량에는추가옵션이 존재하는데 내비게이션후방카메라만원과 패밀리만원 가 출고시 추가장착되었답니다.프레스티지 등급기본사양 신차출고가격이 ], 긍정 텍스트 확률 : 95.42%"
"[ 카투어를 통해 구매하신 레이차량의 제원을 살펴보면 다음과 같습니다.중고차 구매시 하나를 드리자면 많이 선호하는 흰색], 긍정 텍스트 확률 : 73.36%"
"[ 검정색상 외의 차량을 보다 저렴한 가격의 중고차를 얻으실 수 있습니다.중고차는 수요와 공급의 원칙에 따라 움직이는 시장경쟁의 법칙이 적용되기 때문이죠. ], 긍정 텍스트 확률 : 94.56%"
"[ 오늘 소개해드리는 차량은 앞에서 언급했듯이 은색차량으로 선호하는 색상은 아니지만 그만큼 가격은 저렴하면서도 외관 유지하는데 조금더 편리한 장점이 있습니다. 흰색 검정색 보다는 조금더 때가 덜타보이기에 여유있게 세차를 하셔도 많이 더러워 보이지 않는 효과가 있지요.자그러면 이제부터는 프레스티지 등급에는 어떤 옵션들이 있는지를 살펴보겠습니다.그전에 앞서서 레이차량이년월 부터 년형으로 출시되는 차량에는.?전복방지감지장치전복방지감지장치.? 이 기본적용 되는데요.이는 레이차량 차고가 중형와 비슷하기 때문에 가볍고 얇은 경차로써는 차고가 조금 높은것이 상당히 큰 단점이 되었으며], 긍정 텍스트 확률 : 58.58%"
"[ 이슈화도 많이 되었던 점이라 기아에서 등급에 상관없이 모든 트림에 기본적용되어 판매가 되었답니다.코너링 또는 빗길에서 운행시 불안함감을 떨칠 수 없었는데 이 옵션 기본장착으로 어느정도 해소가 되었다고 볼수 있겠네요. ], 긍정 텍스트 확률 : 64.03%"
"[ 이제는 정품내비만큼 좋은것도 없는듯 합니다. 센터페시아에 간결하면서도 잘어울리는...그리고 연동까지 잘되고 업데이트도 쉽게할 수 있어서 왠만하면 정품내비가 장착되있는 중고차량을 권하고 있지요.이렇게 차량 검수부터 출고까지 마치고 차량안에서 선팅되있는 앞유리를 통해 사진한장 촬영해봤습니다. ], 긍정 텍스트 확률 : 88.85%"
"[.?패밀리카패밀리카.?가족차가족차 로 손색없는.?기아경차기아경차.?레이레이 차량이었습니다.항상 가족을 대한다는 마음으로 진심을 다해 카투어 회원님들과 소통하고 있습니다.낮시이후에는 아프리카방송을 하며 앞으로 유투브방송도 준비하고 있답니다.네이버에 카투어 아프리카에 카투어...어디든 카투어검색만 하시면 저를 만나실 수 있답니다.항상 고맘고 감사합니다.모두 즐거운 주말 가족과 행복한 시간 만드시기를 바라며 이만 레이중고차 포스팅을 마치도록 하겠습니다.감사합니다. ], 긍정 텍스트 확률 : 100.00%"
"[오사카 공항에 내려보니 유모차 바퀴쪽 다리가 약간 휘었던 사건이 있었어요. 다른 회원님들도 자주 애기 데리고 한국 드나드시니까.. 혹시나 도움이 될까해서 후기 남겨요. . 대한항공측에 전화 오사카 대한항공담당으로 연결해줌이메일로 유모차 사진 및 기타 내용브랜드], 긍정 텍스트 확률 : 65.18%"
"[구입시기 등등 증명대한항공측에서 유모차 회사와 컨택해서 수리가능여부 알아봄수리불가능경미한 일이라 천엔 지급여부 결정. 유모차가 아프리카꺼였고 아까짱혼포에서 샀기에 두 군데에 유모차 수리를 직접 문의. 아프리카측 배송료 엔 내면 재고 새 상품으로 교환해주겠다 함. 산지 년 개월 지남아까짱혼포측 천엔 내면 샀던 금액의 를 포인트로 돌려주겠다 함. 아프리카측에서 수리불가증명서 제출 요구 이 사건으로 저는.. 일본 서비스에 대해 너무 놀랐고.. 일본에서는 물건을 살 때 정가 주고 제대로 사는 것이 중요하구나 를 느꼈네요. ㅎㅎ 도움이 되셨기를... ], 긍정 텍스트 확률 : 93.69%"
"[ 아기랑 가게되면서 유모차 젤 문제였는데갤... 걷고 뛰지만 안아줘병있는 나이에아직은 장시간 걷기는 무리라 진짜 고민 많았어요ㅎㅎ일단 캐널시티랑 아뮤플라자 대여후기는 보고갔고아뮤플라자 대여 유모차는 후기 보니까하카타역 주변 다른 몰들 가도되는것 같더라구요. 이번에 하카타역은 안가서 사용 안해봤어요. 저는 이번엔 텐진], 긍정 텍스트 확률 : 84.29%"
"[캐널시티 두곳 대여했구요. 텐진 솔라리아플라자숙소가 텐진 솔라리아 니시테츠호텔이라서솔라리아플라자층 안내데스크에서 대여했는데여권있으면 되고 영문안내서도 줘요. 유모차에 아예 텐진지역 약도 그려져있고텐진역근처 다녀도 된다고 안내받았구요. 바깥 도로도 되냐고 물었더니 된다는 답변 받았어요. 그치만 비와서 그냥 실내로만ㅎㅎ이용시간은 시부터 저녁시까지저녁먹고 시 반납하고 호텔올라와 씻기고 재우니 딱ㅋ유모차는 아프리카였는데 사실 핸들링이 좋진 않았그래도 차양막이 달린거였어요. 캐널시티는 같은 유모차에 차양막 없었음파르코도 유모차대여하는걸로 알고있는데텐진근처 다른 백화점이나 쇼핑몰들도윰차 대여방법이나 규정은 비슷하지싶어요 캐널시티층 안내데스크에서 빌려주는데하카타방향 캐널시티라인버스에서 내리면안내데스크까지 꽤나 많이 걸어가야해요캐널시티라인버스 내리면 유니클로 프랑프랑 바로있는데저는 유모차없이 돌아다니긴 무리라 생각해서그냥 인포까지가서 유모차 빌리고 다시갔어요. 그치만 반납하고 텐진방향 타러갈때는인포 옆 출입구 나가자마자라서 좋았어요. 후쿠오카공항출도착층 각 안내데스크에서 대여되는데출국시 보안검색대 들어가기 전까지만 대여되구요면세구역에서 사용하려면 각 항공사에 문의해야해요. 저는 진에어탔는데 그런거 없 ㅜㅜ반대편 데스크보니 아나항공은 자체 유모차 휠체어 많더라구요... 갑자기 부럽 ㅋㅋㅋㅋㅋㅋㅋㅋ원래 공항에서 윰차빌려 낮잠재울 생각이었는데그냥 의자에 눕혀 재웠어요ㅋ 종합저는 이번에 남편이 안가서 유모차 더 고민했는데동선이 오로지 먹방과 쇼핑인데다가솔라리아에 묵었더니 모든게 도보분내 가능해서애도 잘 걷고 중간에 좀 안아주기도하고ㅋ유모차 안가져갔는데도 다닐만했어요그치만 남편이 동행했다면 그냥 윰차 들고가도 됐을듯ㅋ버스도 거의 저상버스라 윰차싣고타도 될것같더라구요. 오사카는 지하철이동땜에 엘리베이터찾느라 고생하고엘베없는데는 계단으로가고 너무 힘들었는데후쿠오카는 버스로 거의 다 다니니까그런 고생은 안해도 될것같아요여튼 윰차 고민하시는 분들께조금이나마 도움이 되었길 바라며], 긍정 텍스트 확률 : 82.44%"
"[ 디럭스면서 절충형사이즈와 무게를 갖고 있는 유모차인데 인터넷 후기는 거의 체험단이라 실제 후기가 어떤지 궁금해요사용하시는 맘님 계실까요?], 긍정 텍스트 확률 : 96.82%"
"[오사카 공항에 내려보니 유모차 바퀴쪽 다리가 약간 휘었던 사건이 있었어요. 다른 회원님들도 자주 애기 데리고 한국 드나드시니까.. 혹시나 도움이 될까해서 후기 남겨요. . 대한항공측에 전화 오사카 대한항공담당으로 연결해줌이메일로 유모차 사진 및 기타 내용브랜드], 긍정 텍스트 확률 : 65.18%"
"[구입시기 등등 증명대한항공측에서 유모차 회사와 컨택해서 수리가능여부 알아봄수리불가능경미한 일이라 천엔 지급여부 결정. 유모차가 아프리카꺼였고 아까짱혼포에서 샀기에 두 군데에 유모차 수리를 직접 문의. 아프리카측 배송료 엔 내면 재고 새 상품으로 교환해주겠다 함. 산지 년 개월 지남아까짱혼포측 천엔 내면 샀던 금액의 를 포인트로 돌려주겠다 함. 아프리카측에서 수리불가증명서 제출 요구 이 사건으로 저는.. 일본 서비스에 대해 너무 놀랐고.. 일본에서는 물건을 살 때 정가 주고 제대로 사는 것이 중요하구나 를 느꼈네요. ㅎㅎ 도움이 되셨기를...], 긍정 텍스트 확률 : 93.69%"
"[ ....... .......? 본문 이미지혼자 보람병원에서 산전요가를 마치고 또 혼자 ㅎㅎ래이컨벤션으로 갑니다사실 일때문에 울산에서 계속살았던 저는 길을 몰라서 택시를 타고 무사히도착아는사람이 거의없어요 ㅠ근데 입장하자마자 타카페 닉네임이랑 헷갈리는 실수를 하게됩니다 ㅎㅎㅎ죄송해여저번월에 엠파티 참여한적이 한번있어 이제 부스상담은 편하게 하러가는 저를보네요 ㅎ여러군데 부스 열심히 돌아봅니다월드비젼은 사실 년동안 후원했었는데 갑자기 전화도없이 문자한통으로 그동안 후원했던 아동이 바뀌는 바람에저도 소심한형이라 후원을 그만뒀던...기억이..지금다른곳에 후원중이라..몇년후를 또 기약해봅니다또다른 부스 낮잠스튜디오는 참 색감이 예쁜사진이라생각해서 이미 월초에 만삭사진을 예약해뒀던터라참 반가웠어요 미즈산부인과 팀장님의 현실적인 강의를듣고난 어떤부모가 될까라는 생각을하며긍정적인 아이였으면 ...혼자생각합니다드디어 레크레이션시간가운데 사람의 휴대폰돌리기를합니다스톱에서 제가걸립니다 ㅜㅜ나가서 어줍지 않은 춤사위를 펼쳐봅니다....... .......? 본문 이미지마지막까지 남게되어 아기꼬야 득템하게 됩니다이미 없어요 .다 ...이미 제뱃속에 ㅎㅎㅎ 넘나 맛있어서 앉은자리에서 클리어 합니다레크레이션시간에 이어 추첨 시간이에요이미 모두의 맘들은 기저귀라도 ...라는 심정이셨겠죠??저는 그랬어요 워낙 당첨 되본적도 없고그흔하디 흔한 가벼운 당첨의 행운도 년 평생 없었습니다 ㅠㅠ 그냥 제손으로 일하고 먹고 했지요 ㅎ그러나 작은기대로남양유업에서 주신 옥수수 수염차만 연신 들이켜봅니다끝내 ...역시나 저의 닉네임은 불러주지않으시더군요 보물섬둥이맘께서 마지막 두명이 남았다고하시곤 바로 마지막 유모차 당첨자를 ...뽑으셔서저의 닉네임이 불려지네요 오마이갓 아직도 두근두근....... .......? 본문 이미지바로이 아이를 들고 메고 지고는 아니고? 택시에 태워집으로 고이 모셔옵니다 아직 믿기지 않아유....... .......? 본문 이미지....... .......? 본문 이미지튼튼이 차가 생겼어요 ??????감사합니다 외벌이 집으로서는 최고의 선물이 아닐까 생각해봅니다앞으로 유모차를 받은만큼 ?카페활동 열심히 이어나갈께요 띄어쓰기도 맞지 않은 긴글을 읽어 주셔서 감사합니다순산하시고 행복하세요그리고 카페대표님 천원씩 참가비 받은돈으로 월드비젼에아프리카 출생신고 비용을 후원한다고 해서 또한번 감동받았네요 멋지심니다....... .......? 본문 이미지기쁨의 만찬으로 달동 영계소문 집에서 조용히 달려봅니다즐저 되세요], 긍정 텍스트 확률 : 78.44%"
"[ 휴대용 유모차 알아보고 잇는데이것저것 따져보니 요야 와 아프리카가 남앗어요ㅋ가격대비 무게 원터치 부피 좌석 폭넢이비교 결과 남편에게 선택받은 요야 와 매지컬에어맘들은 어떤게 좋을꺼 같아요??요야은 모양도 이쁘고 접으면 부피가 작아서 기내반입도 되더라구요 무게는 .키로 정도고요매지컬에어은 무게가 무려 .키로 에요ㅋㅋ후기보면 말그대로 에어래요ㅋㅋㅋ 그만큼 가볍다고들 하네요ㅋㅋ 모양은 무난하고 좌석 폭넓이도 괜찮은 편이고요ㅋ매지컬에어 쓰시는 맘들 어떤지 후기도 말씀해주셔요], 긍정 텍스트 확률 : 97.58%"
"[.아이낳은지 이제 일년이 조금 넘었네요.첫아이라 육아템에 대한 정보도 별로 없고 .막상 정보가 와도 역시 직접 사용을 해봐야 .정확히 알 수 있다라구요 .유모차 카시트는 특히 더 고민이 많았어요 ..그리하여 직접 구매하여 사용한 .카시트 후기를 올립니다 ㅎㅎ..지난 월 킨텍스 베이비페어를 방문했어요.아이가 개월 됐을 무렵이네요 .신생아부터 그때까진 지인에게 물려받은 바구니형 카시트를 사용 했는데], 긍정 텍스트 확률 : 99.80%"
"[신생아때는 그럭저럭 쓸만했으나 백일지나니 아이가 불편해하는게 느껴졌어요 ㅠ 그때부터 카시트 구매를 미루고 미루다.결국 개월이 되어서야 구매를 했습니다ㅠ ..베페가서 오로지 목표는 카시트.카시트만 집중적으로 보고 다 앉혀혀보고 .꼼꼼히 보며 결정했습니다.많이 들어본 유명한 카시트들도 있고 블로그 검색으로 추천받은 것들도 있었는데], 긍정 텍스트 확률 : 59.47%"
