"[❤쿠팡추천상품리뷰⬇ ], 긍정 텍스트 확률 : 79.58%"
"[커피 받아들고 갔는데저렇게 빛 받으며 앉아있는 유리가 넘나 이뻤다나혼자오...사진사진 주섬주섬챠르칵ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아이폰 카메라 소리 안나는 기능 있으니까 너무 좋다ㅋㅋㅋㅋㅋㅋㅋ민폐안끼치고 막 찍을 수 있어서 짱 좋 ], 긍정 텍스트 확률 : 96.73%"
"[하늘은 맑고햇살 쫙 내리는데 기분이 짱 좋았다..아 매일이 이렇게 여유롭고 걱정없는 아침이면얼마나 좋을까 ], 긍정 텍스트 확률 : 80.54%"
"[ㅋㅋㅋㅋㅋㅋㅋ마카롱이부터 냠냠ㅋㅋㅋㅋㅋㅋㅋㅋ카롱이는 지미지니팍이 짱진짜 엄청 추웠는데 저건 과자까지 다 먹어치움 ], 긍정 텍스트 확률 : 62.18%"
"[ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 웃겨이거 얼마인지도 모름걍 삼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ사진에는 이상하게 나왔는데생각보다 괜찮아서이거 엄마주면 되겠다며ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ근데 발이 따뜻해지고 목이 따뜻해지니까훨씬 나음 이제야 좀 살것같다며좀 더 집중해서 듣기 시자기 ], 긍정 텍스트 확률 : 98.69%"
"[다음은 하벨시장 ], 긍정 텍스트 확률 : 54.30%"
"[ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ네한살이라도 젊을때 여행해야됩니다우리 유리언니 요통일으킴ㅋㅋㅋㅋㅋㅋㅋㅋ토닥토닥오늘은 숙소가서 자기전에 내가 안마해줄게 하니까 그런 미천한 실력으로는 자기 몸 건드리지 말랬다응 ], 긍정 텍스트 확률 : 83.72%"
"[우리가 짱 반한 캔디샵후다닥 들어가서 후다닥 사서 나왔다ㅋㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 92.03%"
"[낮에 보는 하벨시장요기서 분 간 자유시간을 주셨다ㅋㅋㅋㅋㅋㅋ그닥 볼것도 살것도 없음 ], 긍정 텍스트 확률 : 59.61%"
"[안뇨옹날씨 져타 ], 긍정 텍스트 확률 : 50.76%"
"[비누방울과 너무너무 잘 어울린다아 이뿌.. ], 긍정 텍스트 확률 : 86.19%"
"[구시광장에서오전 팁투어는 끝팁투어를 여행 초반에 다 들었다면정말 좋았을텐데그래도 공부를 너무 안하고 간 우리였기에엄청 유익유익그리고 우리는 점심 먹으러 가기 전도 둘러볼 수 있는 천문시계탑을 올라가 보는걸로 ], 긍정 텍스트 확률 : 91.51%"
"[올라왔댜...ㅋㅋㅋㅋㅋㅋ높다 높아 ], 긍정 텍스트 확률 : 53.65%"
"[또 반하고....여기와서는 걍 반하는게 일이다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 74.55%"
"[아 너무 좋당...흑내일이면 못본다 생각하니 더 이뻐보인다...눈에 꾹.꾹. 담는 중 ], 긍정 텍스트 확률 : 74.00%"
"[유리야 너도 아쉽니...?울자ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ ], 긍정 텍스트 확률 : 92.89%"
"[ㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 진짜 좋다좋아유리가 여기서아 내려가긴 싫고 또 있자니 그 광경이 그 광경이고ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ정답이다 있자니 계속 똑같은거고 내려가자니 아쉽고증말 뮈춰붜뤼겠눼 ], 긍정 텍스트 확률 : 95.22%"
"[또 방명록..ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그래 우린 방명록이 있는 곳곳 다 남겼다ㅋㅋㅋㅋ지금 갑자기 생각난건데저기 어떤 남자가아 폰 찾고싶다라고 적어놓음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그리고 우린 다짐했다마지막까지 소지품 조심이다.ㅋㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 90.72%"
"[안녕...잘있어....천문시계탑도풍경아... ], 긍정 텍스트 확률 : 87.09%"
"[예뿌다...그래.. 행복하고....ㅠㅠ난 내일 가 ㅠㅠ ], 긍정 텍스트 확률 : 98.81%"
"[ㅋㅋㅋㅋㅋㅋ그 파스타 집..오긴 왔는데..자리 없다해서 튕김ㅠㅠㅠㅠㅠ흑그럼 우리 뭐먹어ㅠㅠㅠㅠ하다가갑자기 찾아놨던 맛집 중스테이크 집이 떠오르길래 거기가자 해서 걷고 또 걷고걷는 건 진짜 자신있다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 58.52%"
"[많은 곳을 지나한 분? 분? 걸었던 것 같다유리가 엄청 추워했던 기억이..ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 91.80%"
"[메뉴판이 저렇게 접어져서 나왔다엄청 귀요웠움 ], 긍정 텍스트 확률 : 72.89%"
"[일단 맥주느님 등장], 긍정 텍스트 확률 : 73.61%"
"[우리 자리에서 보였다신기 ], 긍정 텍스트 확률 : 79.71%"
"[자세히 보면 저기 막 소 걸려있다ㅋㅋㅋㅋㅋㅋㅋㅋㅋ대박 ], 긍정 텍스트 확률 : 53.80%"
"[엄청 넓고 지금까지 갔던 가게랑은 다른 분위기 ], 긍정 텍스트 확률 : 93.22%"
"[뀨나왔당 감튀와 소님 ], 긍정 텍스트 확률 : 61.64%"
"[이것이 바로 그퉈뭬이뤄 샐러드.난 이게 진짜 맛있었다뭔가 처음먹어보는 맛이였음뭔가 시원하면서...암튼 진짜 처음먹어보는 맛굳 ], 긍정 텍스트 확률 : 98.12%"
"[이렇게 이쁘니까안 걸을 수가 없다.걸었기 때문에 만날 수 있었던 것들..행복해], 긍정 텍스트 확률 : 84.48%"
"[그래그래 고마워ㅠㅠㅠㅠㅠ ], 긍정 텍스트 확률 : 87.49%"
"[드디어 나왔다보호 빈티지 샵구냥 난 여기가 꼭 와보고 싶었당ㅋㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 83.90%"
"[난 옷이 사고 싶었으나전부다 큼......내가 너무 작기도 하고여기 언니들이 너무 크기도 하고ㅠㅠㅠㅠㅠㅠ유리는 요기서 가방을 겟 ], 긍정 텍스트 확률 : 64.57%"
"[난 넥타이근데 더 사올껄 너무 후회된다ㅜㅜㅜㅠㅠ ], 긍정 텍스트 확률 : 78.54%"
"[득템해서 기부니가 좋 ], 긍정 텍스트 확률 : 66.58%"
"[보호 안녕..ㅋㅋㅋㅋㅋㅋㅋㅋㅋ엽서수집가 유리는 여기서 또 엽서를 가지고 나옴ㅋㅋㅋㅋㅋㅋㅋㅋㅋ생각했던 것 보다 훨씬 괜찮았던 보호때문에우린 또 다른 빈티지샵도 가보기로 결정ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 90.96%"
"[아... 색감 왜캐 이뿌지?ㅠㅠ져타...그렇게 또 걷고 걷고 반복ㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 71.42%"
"[저 언니...아니 동생....너무 우월해서 찍음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ내가 프라하에서 본 여자 중 젤 이뻤다.. ], 긍정 텍스트 확률 : 51.20%"
"[내 친구도 이쁨쿠쿠 ], 긍정 텍스트 확률 : 63.42%"
"[두번째 빈티지샵은 피프티피프티요즘은 구글맵이 짱 좋은게목적지 치면 몇시부터 몇시까지 영업하는지지금 영업중인지 아닌지 까지 나온다ㅋㅋㅋㅋㅋㅋㅋㅋㅋ미쳤다 진짜걍 구글맵 니가 다 해먹어라 ], 긍정 텍스트 확률 : 73.85%"
"[나오니 벌써 해가 지고 있었다분위기.... ], 긍정 텍스트 확률 : 55.40%"
"[귀욥애기도 유모차 끌고 있음나도 어릴때 저런 유모차 있었는데ㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 83.24%"
"[화장실이 가고 싶어 들어간 스벅ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ여기 화장실 진짜 넘나 당황ㅋㅋㅋㅋㅋㅋㅋㅋ유리가 먼저 갔다오더니내 진짜 놀랬다고변기가 너무 높다고..ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ나는 하마터면 점프해서 변기에 앉아야 될 뻔... ], 긍정 텍스트 확률 : 68.55%"
"[하....ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜 거의 마지막날에 가까워 오니체력 바닥..우리가 걷기도 많이 걸었고또 일찍자는데 늦잠이 안자짐ㅋㅋㅋㅋㅋㅋ자꾸 일찍 눈이 떠지는 바람에 잠도 부족여행은 체력전이다를 외치며한 분 정도 누워있다가 재정비 한 뒤 고고 ], 긍정 텍스트 확률 : 80.75%"
"[세컨드발코니 예매한우리는 층 ], 긍정 텍스트 확률 : 79.45%"
"[유리가 이모잡고 물어보고 있었다그리곤 날 불렀다예지 대박이 방문을 열고 들어가는거란다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ오 정말?문을 열고 들어갔더니.... ], 긍정 텍스트 확률 : 64.12%"
"[진심..프라하와서 제일 반함 ], 긍정 텍스트 확률 : 52.39%"
"[진짜 너무너무....멋있었다...영화속에 뿅 하고 들어와 앉아있는 것 같았다동양인도 일본인으로 추정되는한 부부와 우리뿐..그냥 젤 기억에 남는다 ], 긍정 텍스트 확률 : 95.58%"
"[귀여우신 할부지 손이 나왔지만 구래도 너무너무 감사함할부지가 먼저 우리한테 어디서 왔냐고 이것저것 물어봐주심근데...정말 짧은 영어인지라...ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ본인은 이태리에서 왔고 오페라 보는 걸엄청 좋아한다 하셨음유리가 유노코리아? 하니중국 밑에 있고 일본 옆에 있으며 아시아 중 유일한 분단국가라고..맞는데 슬프지 왜ㅠㅠ그러다 자꾸일본에 워터워터 하면서 쿠아 콸콸ㅋㅋㅋㅋ하시길래뭐지?대체? 했는데유리가 아 온천ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ사우나 엄청 좋아하신다고ㅋㅋㅋㅋㅋㅋㅋㅋㅋ그러자 유리가 이태리타월?하면서 때미는 시늉ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 미친ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ할아부지께서 모르는 표정 지으시니안통하네..ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 나혼자 웃겨죽는줄미친 개드립ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ암튼 할아부지 엄청 배려깊으시고 좋은 분이셨다ㅠㅠ영어만 내가 잘했어도...더 많은 대화를 나눴을텐데ㅠㅠㅠ ], 긍정 텍스트 확률 : 99.73%"
"[유리와 귀여운 이태리 할부지 ], 긍정 텍스트 확률 : 87.75%"
"[그리고 나ㅋㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 55.37%"
"[요기 따봉오페라 왕왕왕왕추천오페라 볼 생각한나님이 넘나 기특한 것ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 93.39%"
"[기분좋은 두친구], 긍정 텍스트 확률 : 80.64%"
"[시작 직전저렇게 연주로 먼저 시작하고배우들이 나와 노래와 연기를 시작한다첨에 진짜 너무 멋있어서 눈물쓰고임쓰 됨ㅠㅠ특히 난 지휘자가 너무너무 멋있었다그래서 계속 지휘자만 봄ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 99.99%"
"[정말 오래토록 기억에 남을 오페라이렇게 멋진 극장에서 이런 오페라를단돈 만원에 볼 수 있다니아마 한국에서 봤다면 이런자리 한 만원은 했을꺼다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ유리랑 나랑 숙소로 돌아가며대박대박을 외쳤다진짜 소름소름ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜 소중한 경험이였다 ], 긍정 텍스트 확률 : 99.90%"
"[어제 그 샐러드를 먹기 위해 갔지만시 지나면 술 밖에 안파는 것 같았다ㅠㅠ넘나 아쉬운 것 ㅠㅠ ], 긍정 텍스트 확률 : 94.55%"
"[그래도 한잔씩 비우고 ], 긍정 텍스트 확률 : 81.74%"
"[계산 중인 총무님 ], 긍정 텍스트 확률 : 60.33%"
"[허기진 우리는 맥날을 사들고숙소로맥날. 스벅 감사하다ㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 72.12%"
"[이제 프라하에서의 마지막 밤이다.. ], 긍정 텍스트 확률 : 79.42%"
"[마지막 밤 만찬요것과 아껴아껴둔 라면요렇게 먹고 누워서 사진보다가 진짜 너무 졸려서얼굴에 폰 떨어뜨리기전에꿈나라로ㅠㅠㅠㅠ가기 싫은 꿈나라 강제소환당함ㅠㅠ흑이제 내일이면....걍 울자ㅜㅜㅜㅜㅜㅜ], 긍정 텍스트 확률 : 98.30%"
"[얼마전에 타보유모차 후기를 남겼는데요 .. 정보를 나누기 위함도 있지만 ..보브코리아에서 ..블로그와 카페에 후기를 남기면 선물을 준다고 하더라구요 ㅎㅎ그렇게 해서 ..보브코리아에 메일을 보내고 ..바로 이틀뒤에 선물이 도착했어요ㅎ ], 긍정 텍스트 확률 : 50.06%"
"[짠타보라고 딱 적혀있죠 ? 무빙 투 이지핸들링이 정말 최고인 타보예요 ㅋㅋ또 깨알홍보..ㅋㅋ ], 긍정 텍스트 확률 : 96.94%"
"[요 가죽 손잡이 커버 때문에 빨리 오기만을 기다렸죠 ㅎ자자 왔으니 바로 장착해 봐야겠죠 ?], 긍정 텍스트 확률 : 98.63%"
"[손잡이 위에 커버를 올리고 지퍼를 잠그는 형식이예요], 긍정 텍스트 확률 : 54.41%"
"[쨔잔두개 다 커버를 씌웠어요그런데 어두워서 잘 안보이는거 같아요 ㅠ ], 긍정 텍스트 확률 : 73.01%"
"[마침 동네 마트도 갈 겸 ..아들 태워서 엘리베이터에 탔어요가죽 재질 느껴지나요 ? ㅎㅎ ], 긍정 텍스트 확률 : 85.12%"
"[이제 땀 걱정없이 막 잡아도 될 것 같아요물론 겨울이라 땀 걱정 없겠지만요 ㅋㅋ보브코리아 감사합니다 ], 긍정 텍스트 확률 : 91.40%"
"[우선 순위.난 다른건 다 필요 없고], 긍정 텍스트 확률 : 85.02%"
"[차양막이 무조건 길것그래서 보니 동네엄마 유모차 중에 뉴세기 라는 제품이 차양막이 아주 길고 맘에 든거의 마음을 굳히려는 찰나], 긍정 텍스트 확률 : 96.24%"
"[ 신랑이 우리 내년에 해외여행 가자며올레 ㅋ근데 그럼 유모차가 기내반입이 되면 더 좋을 것 같은데], 긍정 텍스트 확률 : 82.40%"
"[저 유모차는 기내반입이 안된다는... 두둥 ㅠㅠ하지만 잠깐 기내반입을 포기할 정도로 저 제품의 차양막이 넘 맘에 들었었다근데 또다른 동네엄마가 추천해준 타보 유모차자기가 쓰고 있는데 좋고 차양막 별로 안짧고], 긍정 텍스트 확률 : 60.67%"
"[기내반입도 되고 엄청 유명한 국민유모차라며.그래서 폭풍검색. ], 긍정 텍스트 확률 : 60.14%"
"[그래서 지름 ㅋㅋㅋ내가 타보를 사게 된 장황한 설명 ㅋㅋㅋ그래서 받았다], 긍정 텍스트 확률 : 73.76%"
"[ 꺼내보니 완제품 ㅋ ], 긍정 텍스트 확률 : 55.11%"
"[바로 펼쳐봄설명서 따위 보지 않고], 긍정 텍스트 확률 : 93.46%"
"[디럭스때는 넘 애기라서 이런 느낌이 없었는데 이제 좀 컸다고 호불호가 확실해지신 따님 ㅋㅋ그런 모습마져 귀엽고 사랑스러운건 내가 엄마라서일까 ㅋㅋ대망의 차양막 ], 긍정 텍스트 확률 : 99.90%"
"[길어완전 초대박 맘에 듦내가 하도 차양막], 긍정 텍스트 확률 : 97.67%"
"[차양막 노래를 불러서 신랑도 어서 펼쳐보라하더니 기네괜찮다], 긍정 텍스트 확률 : 63.53%"
"[잘샀네 한다 ㅋㅋ ], 긍정 텍스트 확률 : 75.77%"
"[장바구니도 무난.나는 별 관심없던 핸들링.대박 좋은데물론 방바닥에서 해본거라 그럴지도 ㅋ일단 엄청 부드러워 만족.빨리 밖에 나가서도 태우고 돌아다녀보고 싶다아직 방풍커버를 못산게 에라보브코리아에서 나온 타보전용 커버랑], 긍정 텍스트 확률 : 88.10%"
"[그래도 전용커버가 핏이 더 좋을듯바람이 덜 샐듯 싶어서...게다가 전용커버는 지금 품절이라고 판매도 안함 ㅠㅠ어여 사서 씌우고 나가고 싶다 ], 긍정 텍스트 확률 : 88.74%"
"[아 우리 강아지 꼼지락꼼지락 귀욤엄청 좋은갑다 ㅋㅋ저 안에 한참을 앉아있었다 ㅋㅋ ], 긍정 텍스트 확률 : 95.04%"
"[서하의 건강을 위해 타보는 홀딱 벗김 ㅋ깨끗하게 목욕제계하고 다시 만나자 ㅋㅋ시트 벗기는데 애 좀 먹음설명서는 보지도 않고 또 걍 막 뜯어보기 ㅋ의자 밑쪽에 똑딱이], 긍정 텍스트 확률 : 76.35%"
"[불현듯 머리를 스치는 생각이혹시나하고 옆에 버클을 이리저리 당겨보고 밀어보고 하는데 순간 쭉 밀리며 분리됨 ㅋㅋㅋ아 대박 나 천재냐며 별일 아닌거에 흥분함 ㅋㅋㅋ시트 빨아서 말려서 다시 조립해서 시운전 나감 ㅋㅋ서하는 엄마가 열심히 커버 씌우는데 달려들어서 타고 싶다고 징징짜증 좀 내면서 낑낑대고 조립 후 태워놓으니 뭐가 그리 좋은지 푹 기대고 잘도 앉아 있다 ㅋ나갈 준비 한다고 엄빠는 왔다리갔다리 바쁜데], 긍정 텍스트 확률 : 66.37%"
"[신랑이 핸들링 부드럽다고 좋아함 ㅋㅋ방풍커버가 없어서 아기띠워머로 대신 꽁꽁 싸맴터보전용 방풍커버 빨리 팔아주셈타보전용풋머프도 팔던데 매우 탐남 ], 긍정 텍스트 확률 : 84.23%"
"[불편할정돈 아니지만 살짝 조심해야할 부분풋브레이크우리 디럭스 유모차의 브레이크가 바퀴 바로 옆에 달려 있어서 가운데 달린 브레이크는 아직 적응이 안된다신랑이 걸어가다 밟아서 부딪힘 ], 긍정 텍스트 확률 : 53.71%"
"[타보 박스에 담겨져서 배송되어 오는데요 ], 긍정 텍스트 확률 : 70.22%"
"[사진이 흔들렸는데요안전하게 망가진곳 없이꼼꼼하게 포장되어 배송받았어요 ], 긍정 텍스트 확률 : 87.47%"
"[어깨끈에 메고 다님되요 ], 긍정 텍스트 확률 : 73.33%"
"[화이트 프레임이라서 더 예쁜거 같아요 ], 긍정 텍스트 확률 : 61.75%"
"[예블리도 다행히 한번도거부하지 않고 매우 잘 타서덕분에 외출이 편하답니다 ], 긍정 텍스트 확률 : 75.17%"
"[특히 티안전바튼튼해서 안전하기도하고 아기도 좋아해요 ], 긍정 텍스트 확률 : 60.80%"
"[어깨끈 쿠션도 같이 있어서 좋아요 ], 긍정 텍스트 확률 : 96.27%"
"[아기 잘 있는지 확인할 수있는안전망도 있고요비닐아니고 매쉬소재라서 더 좋더라고요 ], 긍정 텍스트 확률 : 89.75%"
"[아기태울때는 내려놓고 안전벨트하고올리면 되요안전벨트는 점식이라서 안전해요 ], 긍정 텍스트 확률 : 61.18%"
"[년형은 풀차양막이라서굳굳무엇보다제일 만족스러운건핸들링 최고예요장점 핸들링 좋음가격 착함 디자인도 예쁨 안전함풀 차양막단점 장바구니가 좀 더 위에 있음 좋을듯내가 많이 실긴 하는데 끌림ㅜㅜ ], 긍정 텍스트 확률 : 100.00%"
"[무더운 날씨덕에 막내와 방콕중인 호호호맘이에요오늘도 정말정말 무더운 날이네요 최고온도 도에 다다른 엄청난 무더위...이 더위에 공부하고 일하시는 모든 학생들과 직장인분들 대단하세용ㅎㅎ오늘은 제가 그렇게 갖고싶던 초경량 유모차를 리뷰해보려해요예전에 첫째낳고 선물로 받은 컴팩트유모차], 긍정 텍스트 확률 : 99.64%"
"[ 핸들링이 너무 안좋아서 뒤로 제쳐두고 그래도 디럭스는 하나 있어야한다며 중저가형 디럭스 하나 구매해서 썼었는데요... 이게 너무 무거운지라 사고 번을 채 못쓴거같아요...ㅎㅎ그래서 그 핸들링 안좋은 컴팩트유모차 계속 써오다가 둘째 낳으면서 보브코리아 절충형 유모차를 써왔는데요핸들링은 좋았어요 가격치고 넘 좋았어용... 그치만 애셋에 무게가 키로 육박하는 절충형 끌고다니려니 가끔 잠깐 나가거나 할땐 것도 넘 힘에 부치더라구요그래서 셋째도있겠다 더 가벼운걸 찾게됐죠], 긍정 텍스트 확률 : 84.80%"
"[가격대는 착하되 가벼우면서도 핸들링 좋은거 딱 이 세가지가 충족되는걸 찾았더랬죠.젤 중요하게 보는게 첫번째가 핸들링], 긍정 텍스트 확률 : 72.78%"
"[그리고 핸들링이 좋은걸로 찾게됐어요.마모스 ], 긍정 텍스트 확률 : 69.38%"
"[와쿨키즈 그리고 빈지오유모차], 긍정 텍스트 확률 : 58.79%"
"[아발론유모차까지.여러 블로그들의 후기와 무게와 장단점을 비교해봤어요 장장 일동안], 긍정 텍스트 확률 : 74.49%"
"[ ㅎㅎ그리고 디자인과 무게를 다시 비교했죠.마모스 ], 긍정 텍스트 확률 : 83.28%"
"[ 전 그래도 안전하게 점식 안전벨트이면서 안전바도 있길 바랬거든요], 긍정 텍스트 확률 : 90.52%"
"[스칸디아 디자인으로 넘 이뻤어요], 긍정 텍스트 확률 : 73.53%"
"[그린트라이앵글이요...ㅎㅎ근데], 긍정 텍스트 확률 : 83.32%"
"[검색해보신분들은 아시겠지만], 긍정 텍스트 확률 : 58.39%"
"[빈지오 그린트라이앵글컬러 품절인거 아시죵?ㅎㅎ계속 고민하다가 결국 아발론까지 보게되었는데요], 긍정 텍스트 확률 : 96.27%"
"[거기에 유모차가방 두개세트까지아발론 라이트앤무브를 사려고 봤을땐 지금 사은품으로 주는 가방도 다 따로 구매였었거든요거기다 아발론 수퍼라이트는 조금이지만 등받이가 단계로 조절된답니다ㅎㅎ라이트앤무브는 등받이 단계조절 안돼용ㅎㅎ거기다 이벤트 행사로 저처럼 블로그나 카페에 포토후기 올려주시면안전가드와 유모차 컵홀더를 보내주신대용ㅎㅎ원래 따로 사야하는건데], 긍정 텍스트 확률 : 93.11%"
"[조건도 맘에 들고 거기다 최신상이고컬러 짱 고급스러워 맘에들고더이상 지체할 필요없이 바로 결제해버렸어요.ㅋㅋ일 토요일에 주문해서 연휴가 끼는 바람에 일인 오늘 받았는데요받자마자 박스부터 가벼운 무게 너무 두근두근 거렸답니다 ], 긍정 텍스트 확률 : 99.87%"
"[그리고 모기장. ], 긍정 텍스트 확률 : 68.59%"
"[차양막 단계로 다 펼친 모습이에요초경량인데 차양막도 다른 초경량 유모차보다 긴편이어서 맘에 들었어요 ], 긍정 텍스트 확률 : 99.27%"
"[ㅎㅎ ], 긍정 텍스트 확률 : 76.14%"
"[ ㅋㅋ ], 긍정 텍스트 확률 : 55.95%"
"[딱 한가지 불편했던점은.생각보다 손잡이가 낮아요..ㅠㅠ제키가 정도 되는데 손잡이가 낮은감은 없지않아 있더라구요키 크신분들은 좀 힘드실것도 같아용], 긍정 텍스트 확률 : 71.46%"
"[ ㅎㅎ그치만 장점이 많아 그정도는], 긍정 텍스트 확률 : 50.53%"
"[ ㅋㅋ 커버해줄랍니다ㅎㅎ이제 어디 먼곳가거나 할땐 수퍼라이트 정말 잘 쓸거같아요ㅎㅎ초경량유모차 구매 고민중이신분들아발론 년형 수퍼라이트 후회 안하실거에요ㅎㅎ특히 핸들링 부분에서용ㅎㅎㅎ애셋키우는 호호호맘이 아발론 수퍼라이트 추천합니당ㅎㅎㅎ월 일 추가블로그 후기 올리고 바로 후기 이벤트 참여해서 다다음날 바로 이벤트행사 사은품 받았어요ㅎㅎ ], 긍정 텍스트 확률 : 99.97%"
"[ 원에 받은거면 남는거죠ㅎㅎ ], 긍정 텍스트 확률 : 90.72%"
"[받자마자 바로 장착해서 외출갔다 오는 길이에요ㅎㅎ안전가드도 튼튼하고 앞쪽이 열리게 돼있어서 좋구요컵홀더도 장착하자마자 사용 잘했어요ㅎㅎ아발론 수퍼라이트 구매하실분들이번 이벤트 놓치지 마세용ㅎㅎ이 후기는 제돈주고 제가 사서 올리는 사심없는 후기입니다 ], 긍정 텍스트 확률 : 94.31%"
"[ 김보름이의 마지막 유모차기내반입 가능한 휴대용 타보유모차 ], 긍정 텍스트 확률 : 57.73%"
"[구매하기가 좀 어려웠어요 ㅜㅜ하지만 저란 여자], 긍정 텍스트 확률 : 76.45%"
"[ 사야겠다 마음먹으면 꼭 사야만 하는 여자..............판매하고있는곳을 어떻게든이 잡듯이 찾고 찾고 또 찾아냅니다.그것도 소셜보다 싼 최저가로 ], 긍정 텍스트 확률 : 94.17%"
"[타보는 직접받아보니까명성대로 ㅋㅋㅋㅋ단점보다장점이 더 많은 유모차였어요.저는 데님블루 색상을 구매했어요.무난한 컬러가 좋더라구요 전], 긍정 텍스트 확률 : 67.85%"
"[ 브라운도 예뻤지만품절이고], 긍정 텍스트 확률 : 89.67%"
"[점식 벨트는타보도 점식으로 되어있어요.이건 필수니 따로 설명하지않고 패스할께요 안전가드원터치라 딸각 내리고 딸각 채워서 태우고 내릴때도 편하고 꼭 놀이기구 안전바 같아서 인지유모차 타기싫어하는 아이들도 제일 좋아해요.서스펜서 기능휴대용인데 무려 서스펜서 기능이 추가되어있어요. 대박이에요 이건 ], 긍정 텍스트 확률 : 99.92%"
"[ 타보처럼 어깨끈이 있는거도 있지만], 긍정 텍스트 확률 : 73.25%"
"[핸들링이 부분을 또 빠뜨리면 서운합니다.스토케], 긍정 텍스트 확률 : 65.86%"
"[ 차양막이거 너무 아쉬워요ㅠㅠㅠㅠㅠㅠㅠ블랭킷으로 가리면되지. 하시는분도 계시겠지만여름철에 우리아이들], 긍정 텍스트 확률 : 86.26%"
"[ 블랭킷으로 햇빛가려주다유모차에 타고있는 우리 아이 잡아요 ㅜㅜ막혀있으면 그 안에 공기가 더워져서 큰일난대요그럼 따로 선쉐이드를 돈주고 구매해서 설치해야하는데....데님블루 색상이랑 비슷한것도 없고ㅜㅜ아쉽더라구요스펀지 손잡이스펀지손잡이로 된 유모차사용하다가갈라져서], 긍정 텍스트 확률 : 74.93%"
"[인조겠지만 얼마나 좋습니까그래서 이렇게 열심히 작성합니다 흐흐 ], 긍정 텍스트 확률 : 93.08%"
"[ ㅈ이], 긍정 텍스트 확률 : 64.12%"
"[ㄹ안 등등 프레임얇고 미만의 가볍다는 유모차들유모차 프레임이 얇은건 우리동네 우량아인 따님 몸무게를 든든하게 지탱해주기 어려울꺼같아서 그냥 패스 무조건 패스했구요], 긍정 텍스트 확률 : 59.56%"
"[ 따로 따로 양손으로 잡는 ㅇㄱㄹㅅ나], 긍정 텍스트 확률 : 55.77%"
"[괌 여행을 준비하는 중이예요아이와 함께 여행], 긍정 텍스트 확률 : 69.75%"
"[아니 외출을 할때 꼭 필요한 유모차주원이는 이미 유모차를 여러대를 거쳤어요최애하는 유모차는 스토케였으나], 긍정 텍스트 확률 : 70.48%"
"[ 주원아버님께서 유모차 위에 짐을 마구 올려놓으셔서....차양이 구겨지고야 말았지요ㅠㅠ뽀대안남ㅠㅠ ], 긍정 텍스트 확률 : 66.32%"
