"[우리아기 어떤 분유를 먹일지 알아보는 것도 엄마의 큰 고민중에 고민나는 일단 밴쿠버에 있기때문에임신 기간 중 여기서 먹는 분유들을 알아보게 되었다.대표적으으로 시밀락], 긍정 텍스트 확률 : 94.92%"
"[둘째 출산 준비 소감은... 아기 용품보다 사진 소품에 더 집중을 한 것 같다ㅎㅎ ], 긍정 텍스트 확률 : 85.52%"
"[ 혼합수유할예정이라 분유몇통 준비해두려는데엔파밀], 긍정 텍스트 확률 : 74.75%"
"[ 시밀락 회원가입만해도 분유온대서 했더니 각각통씩왔어요ㅎ 어느 블로그후기보니 남편이름으로도 가입해서 받으라는데 집주소중복되도 또받을수있을까요?ㅠ폰번호 적는곳은없는데이메일중복으로 걸러내는건지....남편이름으로 한번더 회원가입해볼까요?ㅎㅎ], 긍정 텍스트 확률 : 70.03%"
"[케이마트에 기저귀 사러 갔는데요 팸퍼스도 있긴해요 하기스도 있구요근데 일단 사쥬가 잘 없을때가 많구요하기스는 한국 하기스 생각하심 안되고 리틀원스도 팬티형은 뻣뻣해요 결정적으로 저희앤 활동적이라 팬티 아님 갈기 힘들때가 많은데팬티형 찾는게 하늘의 별따기에요그냥 사오시는게 가격도 저렴하고 맘편해요 . 이유식분유 후기글 보니 애기가 이유식 잘 안먹고 분유만 먹어 분유가 모자랐단 글 좀 있다라고요 걱정되서 전 분유를 아예 한통 새거 들고 왔어요 결과적으론 정말 잘했다 싶어요 더워서 땀을 많이 흘려 그런지 아님 수영ㅇ 신체활동 땜인지 저희애도 이유식 잘 안먹고 분유량이 늘었어요 다만 씨밀락이나 엔파밀 등 미국분유 먹이시는 분은 와서 캐이마트서 사셔도 충분해요전 씨밀락 액상 사다 외출때 유용하게 썼어요 둘다 페이레스랑 케이마트에 다 있긴 한데 씨밀락은 페이레스에재고가 앖을때가 많았어요 그냥 케이마트 가심이 .아기 방수기저귀 굳이 안가져오셔도 되요 마트에 다 팔고 마트까지 가기 힘들면 호텔내에 기념품샵에도 있더라고요 한국서 쓰던 하기스 방수기저귀 다 있어요. 아기 긴옷 필수에요 호텔방도 춥지만 쇼핑몰가면 장난 아니에요 나 메이시스메이시스는 좀 덜한편 애기 반팔만 입혀 돌아다니시긴 좀 힘들듯요 저희애는 열 많은데도 담요 덮어줬어요 호텔은 첫날부터 내내 에어컨 끄고 지냈구요 또 생각나는거 있음 추가할게요 ㅎ], 긍정 텍스트 확률 : 73.97%"
"[임신하면서 모유수유를 맥일지.분유를 맥일지. 혼합을 할지 고민을 해보지않아서 막상 출산하고 나니 정말 멘붕이었다.ㅠㅠ 초반에는 모유수유 하는게 이렇게나 힘든지 몰라 고생했다 ㅠㅠ병원에서 혹시몰라 급할때 쓰라고 액상분유를 몇개나 챙겨주는데 정말 요기나게썻다], 긍정 텍스트 확률 : 89.39%"
"[ 여행이나 외출시 사용하면 좋게 낱개로도 구매가능하게되어있다.], 긍정 텍스트 확률 : 72.40%"
"[ 코스트코에서도 구매가능 타겟에서 파는 대용량보다도 더 큰 용량을 판매하고있었다. 완분하시는 분들에게는 코스트코대용량이 더 저렴할듯하다.], 긍정 텍스트 확률 : 50.46%"
"[ 시밀락 사이트에서 회원가입을 하니 몇주후 집으로 샘플을 보내줫다 쿠폰과함께 ], 긍정 텍스트 확률 : 58.85%"
"[ 생각치도 못했던 무료샘플 다행히 아기가 이분유를 잘받아들여 잘 사용했다 엔파밀이 시밀락보다 가격은 아주조금 비싸지만 당분이많아 살이 더 찐다고 하는데], 긍정 텍스트 확률 : 70.85%"
"[안 맥여봐서 모르겟다 ㅋㅋ 지금은 그냥 병원에서 부터 준 시밀락이 더 믿음이가고 아기도 잘받아들여 시밀락으로 구매중이다 앞으로 첫돌까지는 함께할 시밀락 ], 긍정 텍스트 확률 : 86.62%"
"[ ....... .......? 본문 이미지....... .......? 본문 이미지씨밀락 개월아기 시밀락 고앤그로우 바꿨어요분유로 축이고잔다.아기가돌이 지나면 얄짤없이 끊는부모도 많던데시밀락 분유 후기한 달 전 가져온 보여서이제 돌이 지난 찬이낮에는 괜찮지만 꼭엔파밀은 전에 박테리아로 신생아 보여서우리 찬이 분유ㅋㅋㅋㅋㅋㅋ검색하다 알게 분유 엔파밀씨밀락 시밀락 고앤그로우 바꿨어요개월 성장한 토들러 분유개월인 ㅋㅋㅋ 찬이는§두브랜드 많은 분유인데를먹인다.미국에서 이후에 먹을 찾아보았다.시밀락 신생아 때는 먹이고개월 분유하루아침에 게 썩 좋게는 마음먹었다.나도 우유로 바로 갈아타? 하다가], 긍정 텍스트 확률 : 97.26%"
"[.에 태어난 이른둥이 입니다.다행히도...정말 감사하게도 이른둥이들에게 나타날수 있는 문제없이 건강히 태어나 강하게 잘 자라고 있지만], 긍정 텍스트 확률 : 85.12%"
"[ 작게 태어나게 된 것이 미안해 첫날부터 세시간에 한번씩], 긍정 텍스트 확률 : 71.83%"
"[잘때도 알람을 맞춰놓고 일어나며 유축을 열심히 했었습니다. 첫째때는 출산후 충분한 수면과 휴식을 취했고 조리원에 가서야 모유수유를 시도한 맘 편한 엄마였지만], 긍정 텍스트 확률 : 96.84%"
"[ 물과 미역국을 엄청 먹은 후 시도된 두번째 유축에는 겨우 정도를 성공했었습니다.젓병 바닥을 간신히 적시는 아주 작은 양에도 얼마나 기쁘고 다행스러웠는지 ㅎㅎㅎ 드디어 조이에게 무엇인가를 처음 먹일수 있게 되었으니까요.그동안 얼마나 배가 고팠을까 미안해하며..... 그 의 모유를 들고 니큐에 신이나라 갔었습니다. 그러나 조이의 배가 조금 크다고불어올라와 있다고 지금은 줄 수 없고 다음날 아침 의사의 검진 이후 소견에 따라 줄수 있을것이라는 간호사의 답변에.... 훌쩍.....그래도 먹기 시작하면 시간에 한번씩 수유를 해야하니 유축을 계속하라는 간호사 샘의 말씀에..... 또 열심히 세번째 유측에는 정도가 나왔습니다. ㅎㅎㅎ 아직도 바닥을 적시는 수준....다음날 아침 담당 소아과선생님께서 병실에 방문하시어 아이의 상태를 말씀해 주시며 모유는 잘 나오냐고 물어보시기에라고...ㅋㅋ그러나 최선을 다하고 있다고 말씀드렸더니 정글쥬스 제조법을 주시고 가셨습니다.정글쥬스가 뭐냐고요? 저는 한국에서는 들어본 적없는 마법의 모유 촉진 음료라고 말하고 싶습니다. 사람마다 다를수는 있겠지만 적어도 저에게는 드라마틱 했습니다.], 긍정 텍스트 확률 : 99.69%"
"[ 헉 처음에 레시피를 받고....저게 뭐지 했습니다.다행히 병원 약국에 다 팔더라고요 ㅎㅎ 남아공나 에서도 팔던것 같아요. ], 긍정 텍스트 확률 : 52.09%"
"[방부제 무첨가 등을 확인한 후 제조하여 마셨습니다.맛도 딱 같은 맛입니다.돼지족 삶은 육수? 보다는 훨씬 기분좋게 맛있게 마셨습니다. 제품들 효과효능도 별것은 없는 제품들입니다. ㅎㅎㅎ 에너지 충전], 긍정 텍스트 확률 : 97.39%"
"[저는제가 경험했던 정글쥬스의 마법같은 즉각적인 효과를 인정하지 않을수 없었습니다.조이가 니큐에서 나온 후.....출산 두달쯤후 조이의 수유량이 늚에따라모유량을 다시 늘려야겠다고 생각하고 정글쥬스를 다시 마셔보았지만... 직접수유가 아닌 꾸준한 일정 유축량에 이미 제 몸은 적응을 끝낸것인지..... 이 전만큼 드라마틱한 효과는 보지 못하였습니다.그래도 정글쥬스 덕분에 남아공에서 한국 오기전까지 조이는 개월 가량 모유를 먹으며 자랄 수 있었네요. 정글쥬스를 알려주신 .선생님 감사드립니다한국에 온 조이는 현재 생후 개월차 분유인파트리니엔파밀 뉴로프로 수유 중입니다. 인파트리니독일는 단백질 함유량이 높은 저체중아이른둥이 살찌우기용 특수분유라고 생각하심될듯 하고요 아산병원 신생아과 의사선생님 추천으로 먹이기 시작했습니다. 엔파밀 뉴로프로미국는 엔파밀에서 새로 나온 제품으로 기존 제품에 아가의 두뇌발달을 돕는 모유에만 있는 특유 영양소를 더한 제품이라고 합니다.미국인 아빠와 함께 열심히 엔파밀 공식사이트는 물론], 긍정 텍스트 확률 : 95.99%"
"[ 제품 후기들까지 열심히 구글링 정독 후 선택한 분유로...아직까지는 아가가 건강히 잘 자라주어 후회없는 중 입니다. 주 .에 태어난 조이는 현재 생 재태주수 주로 . 입니다. 월 일 .월 일 . 일만에 . 증가월 일 . 일만에 . 증가 일만에 . 증가체중도 정상 평균체중도 곧 따라 잡을 듯 하고요한달 후부터는 인파트리니 주문하지 않아도 될것같다고 담당 의사샘께서 그러시더라고요 ㅎㅎㅎ ], 긍정 텍스트 확률 : 99.46%"
"[가입후 배송비를 내면 받을수 있는 구디백들이 있다..한국에선 산모교실 같은데 참석해야 받을수 있는게 대부분인데 요건 집에서 할수 있으니 편하다👍🏻.보통는 ], 긍정 텍스트 확률 : 80.51%"
"[ ...여러종류의 크림 샘플과], 긍정 텍스트 확률 : 52.79%"
"[ .에서 내 정보를 입력하니.내 보험으로 커버되는 유축기 목록이 나왔다..여러 종류의 유축기들이 있었는데.구성이 좋은 것들은 너무 후기가 없고], 긍정 텍스트 확률 : 91.01%"
"[ .후기가 좋은것들은 액세서리를 따로 구매해야해서 추가금액 발생..고민하다가 불 정도를 내고 스펙트라 유축기로 하기로 결정했다 .아직까진 잘 사용중...출산전에 이걸 사용할까? 싶어 서랍 한쪽에 두었던 크림 샘플들이 출산후에 보니 생각보다 유용했다..라온이가 태열이 올라와 어떤 크림을 사서 발라줄지 고민하던중 샘플 받는게 생각나서 발라줬는데.잘 맞아서 계속 사용중.본품 샀는데 아기 피부랑 안맞아서 버렸다는 후기들도 많이 봤는데 요렇게 사용해보고 살 수 있으니 굿굿👍🏻... .?미국출산미국출산.?구디백구디백.?타겟구디백타겟구디백.?아마존웰컴박스아마존웰컴박스.?임신선물임신선물.?스펙트라유축기스펙트라유축기.?월마트월마트.?.?.?.? .... ], 긍정 텍스트 확률 : 99.87%"
"[저렴하니 중고를 사는 것도 방법이다. 유축기는 단순히 압력을 넣었다 빼주는 기계이니 위생상 중고를 써도 전혀 문제가 될 것이 없고 부속품모유를 담는 젖병과 깔대기만 새 제품을 사면 된다. 우리 아가는 주 일에 태어나서 최소 주까지는 에 있어야 했기 때문에 직수가 불가능하기에 유축기는 필수였다.보건소 유축기 대여는 한달까지 회라고 적혀있다. 개인적인 생각으로는 대여 수요가 많이 없다면 연장도 가능하지 않을까 싶다. 한달 쓰고 반납을 한 후에는 때마침 친구가 쓰던 각시밀 유축기를 줘서 지금까지 잘 쓰고 있다.스펙트라 부속품이 각시밀에도 쓸 수 있다. 젖이 안나오는 산모분들도 꽤 많다. 절대 걱정할필요 없다. 미숙아분유가 있으니까. 미숙아분유는 에서 알아서 타서 먹이기 때문에 살필요도 없다. 오히려 미숙아분유가 칼로리가 높고 영양분이 풍부하여 살이 더 잘찐다고 한다. 젖병솔], 긍정 텍스트 확률 : 94.86%"
"[젖병소독기 구매지금와서는 너무 당연하다고 생각하지만 갑작스런 입원과 분만에 정말 정신이 없었다. 아무튼 젖병솔과 젖병세제도 계속 모유유축을 해서 가져다줘야 하면 필수다. 젖병소독기도 위에서 언급한 당근마켓지역 중고마켓 어플에 들어가보니 꽤 많아서 적당한 것으로 중고로 구매했다. 젖병소독기가 필수인가?라는 물음에는 개인에 따라 다르지 않을까 싶다. 우리 형님은 젖병소독기를 쓰지 않으셨다. 옛날에는 젖병소독기 없이 애들을 잘 키웠다고 생각하셔서 필요없다고 생각하셨단다. 그리고 젖병세제로 어느 정도의 소독 효과가 있다고 한다. 열탕소독도 소독이니.. 두명의 조카는 아주 건강하다. 그리고플라스틱 재질의 젖병을 소독기 안에 돌리면 또 무슨 환경호르몬이 나온다는 이야기도 있다. ㅜㅜ 선택은 부모가. 모유유축팩], 긍정 텍스트 확률 : 85.39%"
"[ 역시 네이버 카페 아름다운 이른둥이에 들어가면 꽤 올라오니 중고로 사는 것도 방법이다. 유통기한만 잘 확인하면 된다. 나는 모든 이른둥이들은 모유강화제를 먹는 줄 알아서 에서 요청하기도 전에 미리 드렸는데 우리 아가는 꼭 필요한 건 아니었던 것 같다. 더 구매하려고 했는데 그 정도면 된다고 하셨고 굳이 필요하지 않은데 내가 구매했으니 사용한다고 하셨다. 그래서 우리아가는 포만 사용했다. 우리처럼 포까지 필요하지 않은 아가들이 많아서 중고가 많이 나오는 것 같다.비판텐], 긍정 텍스트 확률 : 99.90%"
"[ 원이다. 우리아가 생후 일인데 벌써 통을 다 섭취했고], 긍정 텍스트 확률 : 78.89%"
"[ 공갈젖꼭지 는 대학병원에 구비되어있는 게 있다. 굳이 구매하지 않아도 되지만 우리 아가 전용으로 있으면 좋을 것 같아서 그리고 퇴원후에도 사용할 수 있기에 구매했다. 에서 칭얼거릴때나 배고파서 울때 잘 사용하고 있다. 그 당시 우리 아가 키로 대였기 때문에 이른둥이몰에서 구매했다. ....?....?], 긍정 텍스트 확률 : 81.36%"
"[인터넷에 찾은 정보입니다.], 긍정 텍스트 확률 : 77.52%"
"[안년하세요진짜오랜만이죠아마거진일년이넘었을거같아요 ㅠㅠ그동안육아와 임신.출산 으로 바쁘게살다보니포스팅하려고 사진찍고 할시간도 없엇고어디놀러가거나 맛집을갈일도없엇어요 ㅠㅠ그러다보니 포스팅할내용도없어지고...여자처자 이제서야 돌아왓지만그래도 간간히올릴게요..😅아직 나갈여력이없어요...ㅋㅋ ], 긍정 텍스트 확률 : 91.89%"
"[ 사실월달에 둘째를출산 했어요많은일이잇었죠???임신을 년월에알았는데둘짼 임신부터가 너무너무힘들었어요첫째가 너무너무에너자이저에 활발해서그리고말도잘안듣는 시기였고. 점점 배불러오면서 더힘들었고 여름이엇고..거기다 임당까지걸려서 먹고싶은것도제대로못먹고.. 굉장히 힘든나날이었는데..임당식단은 나중에따로올릴게요그와중에 첫째 구내염으로 일주일 집콕중하다가일주일후 어린이집보내고 정기검진갔는데왠날벼락을 맞았네요...혈압도크게안높았는데..대엿어요근데 주이후부터제가붓기가좀있엇어요첫째보단 덜하다고생각햇고.. 첫째보다빨리붓기가찾아왔네?라고생각햇고붓기정도는 코끼리발되기전상태정도였어요..그거말곤 별 이상이없엇는데글쎄.......긴급하게 대학병원으로가라고하시네요?지금 소견서 써줄테니 당장가라며.. 두둥..임.신.중.독.증.이라는거에요.... ], 긍정 텍스트 확률 : 52.04%"
"[ 월일 주일둘째탄생정말너무너무작아서 안쓰러웟어요사진으로보면 별다른거모르겠지만 실제로보면 여간작은게아니에요...폐도당연히 약해서 인공호흡중이고요..주이상이되었을때부터 폐와뇌가발달해요.막달이라고..후기라고 안전한게아니였더라구요산모님들주이후부터가 정말중요해요 몸조리잘하셔요 ], 긍정 텍스트 확률 : 83.93%"
"[ 면회는 .월수금 시분 ㅡ분간하루한번뿐 이에요집에서 차로분거리모유를먹이는게제일좋다고해서 양도적은 모유를 열심히유축해서 인큐에있는동안만이라도 먹이려고 유축해서 이틀에한번씩가져다줬어요. 여름이라 냉동해서 아이스박스에넣어 다녔네요..ㅠㅠ모유먹이는동안 .?엔파밀엔파밀이라고모유강화제준비해오라해서 부랴부랴 준비했는데 해외배송이라 일주일은걸려요 ㅠㅠ미리미리준비해두셔요.?이른둥이몰이른둥이몰이라고 검색해서 들어가심 갖가지정보와 준비물들.그리고 너무작아 일반옷이너무커서입을게없었는데 작은사이즈옷들도많아요 꼭이용해보세요 ], 긍정 텍스트 확률 : 60.01%"
"[ 몇일짼지기억도안나지만.인공달고있는걸보니 아직 한달되기전인거같아요 ], 긍정 텍스트 확률 : 98.80%"
"[ 호흡기떼져서 완전좋아했엇는데..눈뜬날이있으면얼마나기뻤는지 ], 긍정 텍스트 확률 : 84.55%"
"[ 다시 안좋아서 양압기 달았어요 ㅠ 더안쓰러웟네요 코가눌렸거든요 ㅜㅜ ], 긍정 텍스트 확률 : 80.89%"
"[ 호흡기도 다떼고생후일째 우리 둘째는. 키로로건강히 퇴원했답니다 ], 긍정 텍스트 확률 : 69.10%"
"[ ❤ 이른둥이맘 ❤이되면서 정말세상알지못했던세계를알게되었구요세상에 이렇게많은 아가들이 인큐베이터에있구나 실감했고 이른둥이맘이아니면 알지못했을것들을알게되었어요. 면회갈때의 맴찢하는심정.한번안아보지못하는심정.정말 어떤아가는 일도 인큐에서지내요.정말 세상몰랐던 단어.명칭.아마 이른둥이맘이아니라면 평생모르실거에요 세상모든 이른둥이들이건강히퇴원하길바라며 엄마들도 힘내시길바래요 ], 긍정 텍스트 확률 : 97.55%"
"[ 추가많은분들이 준비물에대해 궁금해하셔서요추가글남겨요지금은 성서로이전해서 시설이 훨씬좋아졌는데요제가출산할당시엔 이전하기전이라 시설도 별로였고 갖춰진것도 여성병원보다 훨없어서 준비할게많았어요.생각나는것들 적어볼게요 이외궁금하신거있으시면 댓글달아주세요 .유축기필요한가?처음부터분유먹이실거아니면 준비하셔야할거에요. 어쨋든 출산하고 ㅡ일후부턴 젖이돌구요. 이른둥이에긴모유가가장좋다고해서 유축해서 조금이라도가져다주시면좋아요. 모유저장팩에담으셔도되고 젖병이담아드려도되는데 저장팩이 더 낫다고하시네용양이많으신분들은 필히 저장팩에하셔유그리고 유축실이없는걸로아는데 제가입원당시엔없어서 침대에서 ...새벽마다 유축하시더라구요..전 늦게돌아서 조리원가서 유축시작했어요 마사지만받았어요. 개인마사지사분들이 입원실돌면서 가슴마사지 영업하고다니시더라구요.? 신세계였어요 ㅋㅋㅋ 여성병원은 전혀이런거없거든요. 간호사분이 해주시기도하고 알려주시기도하는데 대학병원은 일체없어요 ㅋㅋ.위생용품및 아기용품기본적인 출산시 패드.물티슈. 휴지등등은다 필요하구요인큐에들어갈시이른둥이전용기저귀근처의료기상사에서팔았고배달까지해주셨어요.멸균장갑.물티슈.젤처음넣어드렸어용전부의료기상사에서 팔아서 전화주문하면 무료배달로 병실로갖다주시거나 신생아집중치료실로 넣어주셨는데성서에서는 병원내에 의료기상사가 있긴하더라구요그리고 인큐에있다보면 필요한것들 미리알려주셔요.저는 엔파밀모유강화제.비타민디.영양제.철분제.같은거 사오라고하셔서 제돈주고 다 사다넣었네요..퇴원시.퇴원할땐 뭐가져오라고 이야기해주세요전 일가량있다보니 조리원은 저혼자갓다와서 애기는퇴원하고 집으로 바로갔거든요.베넷저고리.속싸개 준비했어요. 남은 물티슈.멸균장갑.등등물품은 다시돌려주셔요.멸균장갑 안쓴 새통은 의료기상사가니환불해주셧어요.초기엔 영양제들먹야야하는데 워낙작은량이라일회용주사기에 넣어 먹였네요. 그래서 퇴원할때 주사기도사서갔구요.이정도생각나네요지금은너무나잘크고있어요.물론애기마다다르겠지만 보통은 인큐나와서 집에가면 잘먹는다고 잘큰다고 하던말들 다 맞더라구요.집에오자마자 분유량도많이늘었구요. 그러면서 엄청 잘컸어요. 확실히잘먹으니 잘크더라구요너무걱정하지마시길바래요 ], 긍정 텍스트 확률 : 98.16%"
"[출산과 동시에 부랴부랴 준비하게된윅 프로그램미국에서는 저소득층을위해 정부에서 해주는 혜택들이 많은데 그중의 하나가 윅사이판 또한 미국령이니 해당되는 혜택이다. ], 긍정 텍스트 확률 : 77.03%"
"[과일과 야채 장정도의 쿠폰이 들어가있다.쿠폰에 적혀있는 날짜내에 사용해야하며금액이 남았을경우 잔액은 소멸된다. ], 긍정 텍스트 확률 : 61.33%"
"[ 쿠폰으로 구매가능한품목들이 나와있는 책자 ], 긍정 텍스트 확률 : 65.97%"
"[현재 판매가 중단된품목엔 또 따로 체크해주셨다. ], 긍정 텍스트 확률 : 60.83%"
"[ 이쥬스들은 한번도 먹어본적이 없지만원액이라 물에 희석해서 먹는거라고 한다 ], 긍정 텍스트 확률 : 51.77%"
"[ 한달치 쿠폰으로 조텐마켓에서 장본것들우유는 한국이랑 다른 멸균우유인데총 팩이라 생각보다 넘 많아서걱정임... 총 불어치의 혜택 ], 긍정 텍스트 확률 : 97.31%"
"[아기 낳기전까지 임당산모로 궁금증이많아 여러 선배어뭉님들께 질문폭탄을 드렸던토리맘입니다ㅎㅎ아가가 태어나자마자 황달때문에 입원을 하는바람에 조리도 제대로 못하고 병간호 하느라 후기도 늦었네요 ㅠ.ㅠ지극히 개인적인 의견과 후기라 편하게 썼으니이해해주세요탄생일.. 분무통 회음부절개 ..일 오전 분경쯤 왠일인지 새벽에 자는줄 알고 전화를 잘 안하는 친정엄마가 한국에서 전화가 왔다. 또 정말 이상하게 눈이 자연스레 떠진 나도 별 진통이나 배당김 등 없이 편안하게 자리에 일어나서 창가에 기대 전화를 받는데 순간 뭔가가울컥?이라 해야하나...아주 큰 액체괴물같은 젤리가 나오는 기분이 들면서 따뜻한 뭔가가 다리사이로 쪼르르...순간 혹시 ...내가 실수했나?..’ 하는 민망함을 느낄세도 없이 전부터 나란여자는 선배어뭉님들께 토맘에서 양수증상], 긍정 텍스트 확률 : 96.00%"
"[ 당기고아프고], 긍정 텍스트 확률 : 55.18%"
"[ 예민 폭발.기다림 끝에 입원은 안시켜주고 검진실로 데려가서 가운입고 태동검사], 긍정 텍스트 확률 : 50.27%"
"[본인은 출산전 매일같이 유투브로 출산영상본게 있어서 아 내가 지금 힘을 안주면 애가 힘들지..’ 너무 크게 와닿아 정말 초인적인 힘을 주고 바큠없이 출산함. 남들은 태반뺄때 너무 아프다는데 나는 그럴 정신없었음.. 그저 피묻은 울아가가 내 가슴언저리에 안긴자체가 신기하고 ], 긍정 텍스트 확률 : 99.52%"
"[ 분유 등등 챙겨가실 필요 없음 병원에서 다 준비해주고], 긍정 텍스트 확률 : 62.97%"
"[분유는 말하면 엔파밀액상분유 달라는대로 넉넉히 줌.아가 처음 씻길때 챙겨간 바디워시랑 크림으로 꼭 해주고 싶었으나 정말 지금껏 살면서 한번도 보지못한 베스트오브탑클래스 또라이간호사를 만난 덕에 쿨하게 거절당함.그곳 회복실 간호사중 혹시], 긍정 텍스트 확률 : 97.22%"
"[그렇다고 인디언도 아닌것 같은정말 성격장애 간호사가 있음.혹시 그간호사로 메인 되면 바꿔달라고 하셈살면서 한번쯤 길에서 마주치면 머리털을 다뽑아놓을거임정말 꼭 챙겨야 할것들 또는 도움되었던것담요 와 목베개신랑이 자는곳에 다소 협소함.. 쇼파같은 곳에 서 자는데 챙겨가면 도움됨 수면양말 과 속옷 퇴원할때 입을 옷은 최대한 편한걸로 펑퍼짐 원피스 짱 오로패드는 주지만 그곳은 무슨 요실금기저기 같은걸 줌. 본인 경험상 너무크고 두꺼워서 불편했기에 챙겨간 오버나이트 패드로 바꿔 사용함 아가 속겉싸개], 긍정 텍스트 확률 : 95.36%"
"[ 카싯트모자와 집에갈때까지의 여분의 액상분유는 병원에서 줌 물티슈 아가 기저기는 주지만 물티슈는 안줌..챙겨가면 산모도 유용하게 쓰임 세면도구 와 수건 치약칫솔], 긍정 텍스트 확률 : 65.47%"
"[ 엔파밀 시밀락 성분이 어쩌고저쩌고 말들이 있길래 네이버 뒤져서 요즘 한국 엄마들이 선호하는 유럽 분유들 리뷰 머리에 쥐나게 보고는 우선 힙으로 한번 먹여보자 결정했어요. 힙도 독일내수 힙], 긍정 텍스트 확률 : 82.61%"
"[오스트리아 힙으로 또 나누어지더라구요. 오스트리아에서 사는 소가 청정방목 한다길래 ㅎㅎ 오스트리아 힙으로 직구 해보았습니다. 살다살다 오스트리아에서 물건 주문하기는 또 처음이네요 저도 제가 이럴줄 몰랐어요. 헬리콥터 마미 되는건가요.. ㅎㅎ 첨에는 빨리 먹이려고 캐나다 내에서 판매하는 곳을 알아봤는데 힙 판매하는 곳 찾기 실패..암튼 통 구매해서유로 좀 넘게 나왔어요. 원래 한통에 .유로인데 로 와서 배송비 유로 냈더니 이렇게 됐네요. 한통에 . 유로 캐나다 달러로 환산해 보니 불정도인데 은 익스프레스자나요. 세금도 안매기고.. 그러다 보니 한통에 불이 정도 되게 구매한거 같아요. 킬로까지 배송비 유로불정도 내야하고 킬로 넘으면 또 얼마 이렇게 되나봐요.포장은 아주 깔끔하게 해서 보냈어요. 작은박스에 힙을 넣고 옥수수 스티로폼 가득넣어서 큰박스택배박스에 이중으로 싸서 보냈네요. 이니 택배 박스 상태도 완전 새것같이 왔어요. 배송기간은 토일빼고 일주일 만에 받았어요.독일 힙은 한통에 그램이고 오스트리아 힙은 한통에 그램이네요. 오스트리아 직구로만 살수 있다는 오스트리아 힙], 긍정 텍스트 확률 : 99.07%"
"[울 아가가 좋아했으면 좋겠어요ㅎㅎ.먹여보고 후기 또 올릴게요.엄마들 화이팅....... ......? 본문 이미지], 긍정 텍스트 확률 : 99.93%"
"[ 현재 해외인데애기가 식성터져서 분유가 모잘라서 현지조달을 해야하는 상황입니다ㅠㅠ가루보단 액상이 바로 갈아탈수 있는거 같아서 알아보니엔파밀하고 씨밀락 두 종류가 있던데어떤게 더 유당이 적은지 잘먹는지 먹여보신분 있으시면 후기 좀 알려주세요ㅠㅜ감사합니다], 긍정 텍스트 확률 : 98.71%"
"[ 오늘 드디어 네슬레 샘플받았는데], 긍정 텍스트 확률 : 61.13%"
"[미국도 잘 알아보면 여기저기서 챙겨주는 곳이 많다.다만], 긍정 텍스트 확률 : 91.23%"
"[거기에 분유나 기저귀 회사에서 받은 체크일종의 쿠폰을 사용해서 또 할인을 받을 수 있다.구디 백 받는 방법도 완전 간단하다.타겟에 회원가입을 하고 를 만든다.그리고 가까운 타겟 매장의 고객센터에 가서 를 보여주면 구디 백을 받을 수 있다.핸드폰을 보여주면 대부분 힐끔보고 말거나], 긍정 텍스트 확률 : 51.97%"
"[라고 말하는 순간 가져다 주는 경우가 많다고 한다.매장마다 간혹 재고가 없는 경우도 있으니 두어개 매장에 발품을 팔아봐도 나쁘지 않을 듯하다..엔파밀 ], 긍정 텍스트 확률 : 73.93%"
"[ 체크리스트를 눌러주기 전에는내고 사야하던 웰컴 박스가 쿠폰 적용으로 으로 변해있고드디어 받을 수 있게되었다.아마존에서 평소 구매하듯이 주소랑 다 확인하고 해주면 끝그리고 기다리면 된다], 긍정 텍스트 확률 : 87.11%"
"[ 신청 후 일주일쯤 지났나?뭔가 한국의 삼성카드 출산 축하 선물 박스 보는 느낌이 들었다. ], 긍정 텍스트 확률 : 76.27%"
"[그리고 빨아쓰는 수유 패드까지 ], 긍정 텍스트 확률 : 64.29%"
"[다른 곳들은 마음에 들었다.다른 구디 백들이 더 존재하겠지만 나는 정보도 모르겠고], 긍정 텍스트 확률 : 96.33%"
"[무료로 받을 수 있는 구디 백들이니 미국에 사는 임산부라면 받아보시길 ], 긍정 텍스트 확률 : 76.90%"
"[심쿵남매의 둥이맘이 방랑벽이 있다는 건 대충 아시는 분들은 다 아시쥬], 긍정 텍스트 확률 : 63.14%"
"[ㅎㅎ ], 긍정 텍스트 확률 : 76.14%"
"[액상분유....에 호환되는 젖꼭지 두 종류를 사용해 보았습니다. ㅎㅎ ], 긍정 텍스트 확률 : 84.72%"
"[사용하실 분들], 긍정 텍스트 확률 : 50.77%"
"[ 쌍둥이 남매의 분유], 긍정 텍스트 확률 : 52.07%"
"[울 둥이들이 먹고있는 분유는 압타밀. 압타밀이 단가가 세다지만], 긍정 텍스트 확률 : 75.35%"
"[사실 국내에서 괜찮다는 분유 먹이려면 압타밀보다 훨 비싸다.먹거리 부분에서는 아무래도 독일제품이 믿을만 하니.그리고 ], 긍정 텍스트 확률 : 96.27%"
"[호주에서 약사를 하고 있는 사촌동생의 이야기를 들어보니], 긍정 텍스트 확률 : 73.96%"
"[ 그냥 이것저것 바꾸지 않고 무식하게 쭈욱 먹였더니 아가들이 적응...처음부터 지금까지 변은 정말...엄마맘 흐뭇하게 해주는 황금변. ㅎㅎㅎ압타밀은 국내 공식 수입처가 없어서 직구를 해야 하는데], 긍정 텍스트 확률 : 91.88%"
