"[ ..뜬금없이 진심 뉴질랜드로 이민가고싶다며.분유때문에 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ웃기고 있네 ㅋㅋㅋ.ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 73.12%"
"[ 아이엠뉴질랜드분유통 예쁘죠? 저희 러봉이는 개월이라서 단계를 먹이고 있어요. 수입분유를 처음 먹여야겠다 생각했을 때 고민되는 게 몇 가지가 있었어요. 우선], 긍정 텍스트 확률 : 50.44%"
"[가격적인 면이었는데요. 뉴질랜드 분유들이 국내산 분유들보다 비싼 감이 있잖아요. 그런데 아이엠뉴질랜드는 다른 분유에 비해서 가격적인 면에서 저렴해서 부담없이 먹이기 좋더라고요. 또한], 긍정 텍스트 확률 : 93.93%"
"[조금 번거롭긴 해요. 손 깨끗히 닦고 살살 분유통을 좌우로 흔들어주면 저렇게 스푼이 위로 올라오더라고요. 사용한 스푼은 분유통윗쪽에 달린 안심캡에 딱 꽂아두면 된답니다. 전 처음에 안전캡이 있다는 걸 몰라서 가끔 그냥 분유 속에 스푼을 넣거나 아님 꺼내서 씻은 후 말려서 다시 사용했거든요. 아], 긍정 텍스트 확률 : 63.95%"
"[대박 번거로워 라고 생각하던 차에 재주문할 때 다른 후기보니깐안심캡이뙁 ㅋㅋㅋㅋ 그러니깐 후기들은 미리미리 잘 읽어봐야 된다는 그런 이야기죠. 눼뉍.], 긍정 텍스트 확률 : 89.46%"
"[ 수입분유는 국내 분유와 달리 타는 법이 있더라고요. 캔 내부에 있는 스푼은 스푼이고 동봉된 보조스푼은 스푼인데요. 물을 젖병에 먼저 넣은 후], 긍정 텍스트 확률 : 85.23%"
"[바로 적응 완료], 긍정 텍스트 확률 : 54.11%"
"[ 세상에.... 분유 녹는 거 보세요. 전 생수를 한 번 끓인 후], 긍정 텍스트 확률 : 66.68%"
"[ 귀요미 우리 러봉이예요. 생후 개월이 되더니 부쩍 더 자랐어요. 한 달 정도 일찍 태어나기도 했고], 긍정 텍스트 확률 : 56.59%"
"[첫째와 함께 육아 중인 저로서는 천천히 단계 밟아가면서 성장하는 모습을 보여주는 우리 러봉이가 어찌나 기특하고 예쁜지 모르겠어요. 이유식을 먹고도 씩 번씩 먹곤 했는데 소아과 선생님이 면 하루에 번만 먹어도 충분하다고 하시더라고요. 그래서 요즘에는 씩 하루 번 정도 먹이고 있어요. 이제 젖병을 보면 맘마라는 걸 알아서 막 젖병 달라고 손 내밀면서 웃어요. 역시 둘째는 사랑인가 봐요. 하핫. ], 긍정 텍스트 확률 : 99.25%"
"[변도 황변으로 잘 싸고 있고요. 아참], 긍정 텍스트 확률 : 80.62%"
"[다음날 회 아이엠뉴질랜드], 긍정 텍스트 확률 : 85.76%"
"[조제분유는 모유 대용품이고 조제식은 이유식 대용품이거든요. 보통 국내산 분유들은 단계부터 조제식 분유로 바뀌어요. 그런데 아이엠뉴질랜드는 전단계가 모두 조제분유예요. 이유식도 잘 먹지만 돌까지 우리 러봉이의 주식은 분유잖아요. 러봉이가아이엠뉴질랜드 먹고 씩씩하게 쑥쑥 잘 자랐음 좋겠어요.], 긍정 텍스트 확률 : 89.76%"
"[아기설사에 효과가 좋아서엄마들 사이에서 입소문이 난 제품이죠 ], 긍정 텍스트 확률 : 94.30%"
"[ 분유 개봉 날짜 있어서 꼭 적어놓고 주이내에 먹어주는게 좋아요우리 소미 요새 수유량이 급격하게 늘어서소화가 잘 돼서 그런가봐요짜리 엄청 빨리 비워내고 있어요수입분유지만 가격 합리적이라 부담없습니다 ], 긍정 텍스트 확률 : 96.97%"
"[ 분유타는 방법은 다들 아시죠?요 끝쪽 튀어나온 부분에 깎아서 정확하게 조유하는게 좋답니다아기설사 방지도 되고항상 같은 맛을 유지하는것도 아이가 잘 먹는 비결 ], 긍정 텍스트 확률 : 75.16%"
"[ 국내분유와 달리 수입분유는 타는 방법이 좀 다르더라고요국내는 물분유물을 넣어 총 수유량을 맞추는데아이엠뉴질랜드는총수유량의 물을 먼저 넣고 분유를 넣는 방식이에요좀 더 편하게 탈 수 있습니당 ], 긍정 텍스트 확률 : 65.18%"
"[ 우리 소미는 한텀에 정도를 먹기 때문에물 을 먼저 넣었어요여기서 물은 끓여서 도정도로 식힌물로사용해야 좋아요저는 분유포트 쓰고 있는데 분유먹이는 육아맘들 필수품이에요 ], 긍정 텍스트 확률 : 95.69%"
"[ 요렇게 완성해서 소미한테 짠어머 우리 소미 너무너무 잘 먹어요아이의 성장발달과 면역력에 도움이 된다는미네랄], 긍정 텍스트 확률 : 94.70%"
"[유산균 등 함유량이다른 분유에 비해 높은편이라고 해요특히나 비타민 함량이 제일 높아서면역력을 높여준답니다아이들이 아프지 않고 잘 자라는게 중요한데마음에 들어요아이들에게 필요한 영양제나 유산균이 가득 들어있어서따로 먹일 필요가 없으니 더 편하기도 하고요 ㅎㅎ덕분인지 아기설사도 아직은 없답니다 ], 긍정 텍스트 확률 : 98.74%"
"[ 비싼 분유라고 다 좋은건 아니죠?프리미엄만 붙이면 다 좋은줄 아는데수입분유인데도 합리적인 가격이라 저는 아이엠뉴질랜드로 정착했어요 .... ], 긍정 텍스트 확률 : 50.42%"
"[ ..아이엠뉴질랜드는 뉴질랜드 제조사에서 직접.제조하고 관리까지 하는 진짜 수입 분유에요...아이엠뉴질랜드는 년 동안 분유를 제조한 뉴질랜드.기업에서 직접 제조관리하고 우리나라뿐만 아니라.다른 해외에서도 판매되는 분유에요...미세먼지 없는 뉴질랜드 방목 젖소의 최고급 원유증.유아용등급만을 사용해서 만들고], 긍정 텍스트 확률 : 66.47%"
"[ ..아기의 성장발달과 면역력에 도움이 되는.미네랄], 긍정 텍스트 확률 : 76.63%"
"[유산균 함유량이 타 분유에 비해 높아.아이들에게 필요한 영양성분이 모두 포함되고.유산균 함유량도 높기 때문에 따로 유산균을.챙겨먹이지 않아도 되요..특히.. 비타민 함유량이 분유 증 최고라서.면역력을 높여줘 질병에 잘 걸리지 않게 도움을 주는.아기에게 너무 좋은 분유 아이엠뉴질랜드에요... ], 긍정 텍스트 확률 : 99.88%"
"[ ..분유를 조제할때에는 먼저 우리 하윤이가 먹을 양의.물 를 젖병에 부어줘요... ], 긍정 텍스트 확률 : 64.92%"
"[ ..물과 분유가 잘 섞이도록 마구마구 흔들어주면 되요..밑에서 배고픈 하윤이가 하도 울고 불고 난리를 쳐서.몇번 흔들지도 못하고 그냥 줘버렸네요 .배고프다고 난리에요.. ㅋㅋㅋ.. ], 긍정 텍스트 확률 : 63.39%"
"[ ..꿀떡꿀떡 아주 맛있게 잘 먹는 우리 하윤이...낮잠을 안자서 그런지 눈이 졸려보여요..왠지 먹다가 잠들꺼 같은데.좀 잤으면 좋겠다 ㅋㅋ.. ], 긍정 텍스트 확률 : 96.58%"
"[ ..어어어 눈이 자꾸 잠긴다.. ㅋㅋㅋ 자쟈 하윤아. ], 긍정 텍스트 확률 : 69.32%"
"[ ..이렇게 아이엠뉴질랜드를 먹으면서 잠이 든 하윤이는.낮잠으로 시간을 자고 일어났답니다.. ㅋㅋㅋ.맛있게 잘먹는 우리아기 분유...아이엠뉴질랜드 너무 좋죠?? ㅋㅋㅋ 정말 잘먹어요.아무리 좋은 분유라도 우리아기가 안먹으면.안되는거자나요..근데 아이엠뉴질랜드는 정말 우리아이가 잘먹는답니다..맛있는 분유인가봐요. 하윤이가 참 좋아해요... ], 긍정 텍스트 확률 : 84.52%"
"[개월 토리. 분유를 바꾸다.요즘 토리의 최대 고민은 바로 응가. 황금변은 엄마들의 로망...?분유추천 받아서 바꿔본 뉴질랜드 프리미엄 분유 .?아이엠뉴질랜드아이엠뉴질랜드 솔직한 후기입니다. 전 수입분유 중에서.?소화잘되는분유소화잘되는분유 찾아서 바꿔줬어요. 이유는 아래에... ㅜㅜ ], 긍정 텍스트 확률 : 99.02%"
"[ 아이엠뉴질랜드 분유의 세심함. 이렇게 뚜껑에 분유 오픈일이 적혀 있어요. 신생아분유로 추천할만한 포인트 울 아기처럼 모유수유를 쭉 하는 아기들은 분유 오픈 후에 꽤 오랜시간 못 먹이는 경우가 있어요. 언제 오픈했는지 알면 편하지요. ], 긍정 텍스트 확률 : 98.40%"
"[프 리 바이오틱스프 로 바이오틱스소화잘되는분유골드변비있는 아기], 긍정 텍스트 확률 : 79.03%"
"[장 가스 배출 등에 좋아서 함께 할때 더욱 더욱 좋대요.아이엠뉴질랜드 분유저장팩 ], 긍정 텍스트 확률 : 99.78%"
"[ 안심하고 먹이는 아이엠 뉴질랜드 분유보통 직구 분유들은 국내 성분 기준에 만족하지 못해서 직구만 가능하지만 아이엠 뉴질랜드는 공식수입되는 분유라 국내 성분 기준에 부합한대요. 분유 안심캡], 긍정 텍스트 확률 : 68.22%"
"[ 타 분유에 비해 저렴한 가격보통 분유값 벌어올게 남일인 줄 알았는데 정말 아기가 분유만 먹기 시작하니주면 한통이 끝나더라구요. 뉴질랜드 분유가 아무래도 국내 분유보다 금액이 높아서 부담이 될 수 있는데 아이엠뉴질랜드 분유는 타 분유에 비해 저렴해서 부담이 없어요. 분유 갈아타는 법아기 분유 갈아타는 이유는 여러가지가 있게지만 저희는 이래서 바꿨어요.늘 먹는 분유를 줬는데 어느날부터 소화를 잘 못하는지 꼭 이불에 조금씩 게워 내더라구요. 소화 잘되는 분유일것 요즘 뜨고 있는 프리바이오틱스와 프로바이오틱스가 다 들어간 제품이면 금상첨화 믿을 수 있는 제조사아이엠뉴질랜드는 제조사에서 생산까지 다 관여한다고 해서 믿고 구매써 봤어요. 단순히형식으로 제조된게 아니라 더 믿음이 갔어요 국내분유만 먹이다가 몇몇의 이유로 수입분유 중에서 서치한 끝에 고른 분유가 아이엠뉴질랜드 분유랍니다. 엄마들을 안심시킬 수 있는 분유라면 내 뉴질랜드까지 가서라도 분유를 구해올 수 있는 열정이 있소만요렇게 쉽게 구할 수 있어요. 사이트에서갈아탈 때는 횟수조절로 약 일주일 정도 걸렸네요첫 날엔 기존 분유 번에 새분유 번뒷 날은 기존 분유 번에 새분유 번이런식으로 양을 늘려줬어요 ], 긍정 텍스트 확률 : 99.87%"
"[아이엠뉴질랜드는 모든 분유가 다 조제분유래요.저도 몰랐는데 보통 국내 분유들은 단계부터 조제식분유 즉], 긍정 텍스트 확률 : 67.21%"
"[ 꿀떡 잘 먹어 줍니다. 바뀐줄도 모르는 것 같아요. 그리고 우유병에 분유 잔여물 남았나 확인했는데 ], 긍정 텍스트 확률 : 55.96%"
"[ 이렇게 안남아 있어요. 한번 헹궈도 제대로 안섞었던 분유는 이렇게 잔여물이 남았었는데 좋네요.], 긍정 텍스트 확률 : 50.41%"
"[ 그래서 분유 입자도 볼 겸 또 비교 한번 해 봤어요. 사실 분유 떠서 올리면 딱 느낌 오거든요. 입자가 살짝 차이가 있어요. 아이엠뉴질랜드 분유 입자가 더 고운거 ㅇㅈ ], 긍정 텍스트 확률 : 87.84%"
"[ 소화잘되는분유 고르느라고 고생했는데 이렇게 입자가 작으면 아무래도 탈 때 덜 섞이는 실수도 없고 아기가 분유소화시키는 것도 무리가 없겠죠. 둘 다 소화가잘되는분유라그런가 물 한방울에도 휘리릭 잘 섞이는 모습이에요.찍힌 시간차와 분유량이 달라서 그렇지 실제로 둘다 매우 잘 섞이는 양상을 띕니다. 본 글은.?분유갈아타기분유갈아타기 하면서 새로운 분유에 초점을 더욱 맞춰서 적은 글이라서 타분유와 비교가 들어갔는데 이 전 분유도 맛있게 냠냠 잘 먹고 잘 컸던 울 아기였지만 아기 성향은 정말 시시 때때로 변하더라구요. 아기는 시시때때로 변하니까 응가 무르기], 긍정 텍스트 확률 : 99.60%"
"[ 요게 후기가 많이 없어서 ㅠ이 분유 어떤가요? 저희아기가ㅜ칼슘이 적은 분유가 필요해서국내분유 수입분유 비교해봤는데 이게 젤 적은거 같아서주문했는데 후기가 적어서 불안불안 하네요..이 분유 괜찮은가요?], 긍정 텍스트 확률 : 60.03%"
"[예나 지금이나 젖양이 많아 둘째는 완모를 도전해보고 싶었으나 모유를 먹으면 한 시간에서 두 시간 간격으로 깨는 딸. 전유에는 수분과 유당이 후유에는 지방이 많이 들어있다고 하더라고요? 그때문에 아기가 오래 빨지않아 전유를 많이 먹었을 경우엔 배가 금방 꺼져서 수유텀이 짧다고 해요. 젖양이 흘러넘치는 사람은 적은사람에 비해 전유도 후유도 더 많이 나오기 때문에 젖이 적은 사람보다 많은 사람들이 완모하기가 더 힘들다고 하네요. 낮에는 짧은 간격으로 수유를 해도 괜찮았으나 새벽만되면 잠을 제대로 못 자 너무 힘들고 잠에서 잘 깨지도 못하는 저라 신랑이 다섯여섯번씩 깨곤 해서 모두를 위해 제발 분유 먹여달라고 하길래 낮에는 모유], 긍정 텍스트 확률 : 82.01%"
"[ 첫 분유로 무얼 먹이면 좋을까 고민이 많이 되더라고요. 주변에 수입분유 먹이며 좋다는 분들이 많아 수입분유로 눈을 돌려봤어요. 허나 가격이 좀 있는편이라 좀 망설였는데 소화잘되는분유라며 아이엠뉴질랜드를 추천 받아 검색 해 보니 다른 뉴질랜드 분유에 비해 가격도 저렴하고 품질도 좋아보여 요걸로 결정했답니다. ], 긍정 텍스트 확률 : 85.85%"
"[ 한달 된 신생아인 둘째가 먹을거라 개월까지 먹는 단계 제품으로 골랐어요. 첫째땐 조리원에서 먹였던 분유를 첫 분유로 먹였었는데 별 이상 없어서 수유끝날때까지 계속 그 제품으로만 수유를 했었어서 분유쪽엔 굉장히 무지한 상태였어요. 이번에 조제분유와 조제식분유라는것이 있고 이 둘의 차이점을 알게되었답니다.조제식분유 는이유식 대용품 이고조제분유 는모유 대용품 이에요. 유성분 함량이 이상이면 조제분유], 긍정 텍스트 확률 : 99.81%"
"[개봉 후 유통기한은 주정도로 매우 짧기때문에 개봉 일자를 알아두면 좋답니다. 보통 포스트잇 등에 따로 적어 붙이거나 하는데 아이엠뉴질랜드 수입분유는 뚜껑 위에 이렇게 개봉일을 표시 할 수 있는 미니달력이 있어요. 너무 귀엽기도 하고 실용적이네오 ㅎㅎ ], 긍정 텍스트 확률 : 66.22%"
"[ 저는 이 분유 속포장 뜯는게 뭔가 기분좋더라고요. 깔끔하게 뜯기는것이 넘나 만족스럽.. ], 긍정 텍스트 확률 : 54.74%"
"[아이엠뉴질랜드 프로는 유산균의 먹이가되는 프리바이오틱스와 유산균인 프로바이오틱스가 함유되어있어 평소에 변을 무르게 보고 자주 보는 아기들에게 효과가 좋아요. 어쩐지 밤에 분유를 안 먹이는 날에는 다음날 변이 굉장히 묽어요..], 긍정 텍스트 확률 : 66.11%"
"[ 아기의 면역력을 강화해주는 비타민 함유량도 타 분유들보다 약 배정도 높아요. 또한 미네랄과 비타민 유산균등의 함유량도 높아 성장발달을 도와준답니다. 분유를 먹일때 유산균을 꼭 따로 챙겨먹이려고 준비중이었는데], 긍정 텍스트 확률 : 94.06%"
"[분유자체에 유산균이 들어있으니 너무 편하고 좋았어요. 저는 면역력이 진짜 약해서 아이들은 꼼꼼하게 챙겨주고 있답니다. 소화잘되는분유 덕분에 배앓이와 영아산통은 아직 경험하지 못했어요. 오늘 밤잠도 푸욱 자주길 바라.. ], 긍정 텍스트 확률 : 69.40%"
"[ 스푼으로 구성되어 있는데 분유 저장팩 센스 굿조금만 지나면 세아가 일이 지나서 외출할 일이 잦아질 것 같은데 덕분에 외출할 때 편하고 위생적으로 보관할 수 있겠어요], 긍정 텍스트 확률 : 99.00%"
"[ 미세먼지 없는 뉴질랜드에서 자란 방목 젖소의 최고급 원유중 제일 최고라 불리는 유아용 등급만을 사용했고그 엄격하다는 뉴질랜드의 식약처와 우리나라 식약처의 심사를 거쳐 정식으로 공식 수입된 아이엠뉴질랜드 수입분유.우리 아기가 먹는거다보니 분유만큼은 그 어떤 것보다 꼼꼼하게 따져 구매하게 되는데 아이엠뉴질랜드 분유는 오직 우라나라에서 판매하기 위해 뉴질랜드에서 으로 제조하는 곳과는 달리뉴질랜드 제조사에서 무려 년 동안이나 직접 제조부터 관리까지 한다는 점이 마음에 들었어요.더 마음에 드는 건 좋은성분], 긍정 텍스트 확률 : 92.87%"
"[수입분유인데도 가격까지 합리적이라는 거♡ ], 긍정 텍스트 확률 : 74.74%"
"[설사에 효과를 볼수 있답니다. 분유 종류는 골드변비], 긍정 텍스트 확률 : 60.42%"
"[ 우리 세아 변비 탈출하쟈 ], 긍정 텍스트 확률 : 60.85%"
"[조제식 분유 차이에 대해 간단하게 설명해드리자면 조제분유는 모유용품으로 유성분의 함량이이상인 분유를 말하고조제식분유는 이유식 대용품으로 유성분 함량이미만인 분유를 말한답니다. 보통 우리가 흔히 접하는 국내 분유 같은 경우는 단계부터 조제식으로 바뀌는데 아이엠뉴질랜드 분유는 전단계가 조제분유라 우리 아이들에게 필요한 영양소들이 더 많다는 사실 ], 긍정 텍스트 확률 : 59.89%"
"[ 센스있게 분유 뚜껑에 개봉일 적는 공간도 있네요 ], 긍정 텍스트 확률 : 84.88%"
"[ 지금까지 봤던 분유들은 그냥 통안에 스푼을 보관하게 되어 있었는데역시는 역시 안심캡이 따로 있어 사용 후 요로코롬 스푼을 딱 고정시켜 둘 수가 있어 더욱 위생적으로 사용할 수 있겠어요.], 긍정 텍스트 확률 : 50.77%"
"[ 분유를 한가득 담고 위 사진처럼 슥 쓸어주면 깔끔하고 정확하게 계량할 수 있어요.], 긍정 텍스트 확률 : 59.51%"
"[설사 때문에 걱정 많으신 육아맘들 꽤 많으신 것 같던데아이엠뉴질랜드 분유 한 표 던져봅니다.... ], 긍정 텍스트 확률 : 85.06%"
"[ .바로 이상품입니다↓ ], 긍정 텍스트 확률 : 81.87%"
"[ 뉴질랜드 식약처인 의 수출검사와우리나라 식약처의 수입검사를 거쳐 공식 수입되는 안전한 분유에요또], 긍정 텍스트 확률 : 85.42%"
"[ 이유식 대용품인 조제식 분유보다 모유에 더 가까워요 이정도만 들어도 당연히 비싸겠지 라고 생각할 수 있는데합리적인 가격으로 구매 가능한 가성비 갑 수입분유에요], 긍정 텍스트 확률 : 98.10%"
"[ 분유는골드프로라인으로 나뉘는데제가 구매한 골드라인은 모유에도 포함된프로바이오틱스갈락토올리고당프락토올리고당가함유되어 있어 변비 아기들에게 좋은 분유에요 올리고당은 식이섬유를 많이 함유하고 있어 소화가 잘되고], 긍정 텍스트 확률 : 83.02%"
"[ 분유작은 스푼 본스푼은 분유통에 내장되어 있어요분유저장팩외출 시 사용하면 되겠죠? 센스 굿으로 구성되어 있어요 ], 긍정 텍스트 확률 : 97.59%"
"[ 이때], 긍정 텍스트 확률 : 70.00%"
"[ 사실 수입분유 좋다고는 하지만], 긍정 텍스트 확률 : 80.80%"
"[... .?분유추천분유추천.?신생아분유신생아분유.?아기분유아기분유.?뉴질랜드분유뉴질랜드분유. ], 긍정 텍스트 확률 : 72.28%"
"[ ....아이엠앤젯에서 나오는 분유는 .프로랑 골드가 있는데.둘중 뭐가 좋을까하다가 홈페이지에 대박 좋은 게 있더라구여??? 요거 참고해서 꼭 구매하세요 ], 긍정 텍스트 확률 : 52.83%"
"[ ..아이엠앤젯 프리미엄골드 분유는 단계부터 단계까지 있어요 .신생아도 물론 수유가능 .신생아는 단계 먹이면 되용 .단계는 밝은 하늘색이고 신생아부터 개월까지 가능해요. .그리고 단계는 성장기용 조제유 이구요 .. ], 긍정 텍스트 확률 : 55.20%"
"[ ..저같이 모유수유를 짧게 한 맘들에게 대박 추천해유 ㅋㅋㅋㅋㅋㅋㅋ.모유대용으로 만들어진 거라 모유의 성분들로 잘 영양을 맞춘 분유라고 하더라구요 .만듀는 요 분유먹고 변비 없구용 여전히 .변색 좋구요 ㅋㅋㅋ ..그리고 게어냄은 아이가 한창 자라면서 덜해져서 .게어냄은 없어요 .개월까지는 소화능력이 아직 완성되지 못해서 기능이 약해 잘 게어내요 .하지만 게어냄이 너무 심하면 분유를 바꿔보는 것도 좋아요], 긍정 텍스트 확률 : 99.07%"
"[ 분수토를 막많이 하지않는 이상 .시간이 지나면서 게어냄이 확실히 덜해지더라구요 ....전 개월까지 분유선택시.일단 분유를 타주면 얼마나 잘먹는지 .자기 입맛에 안맞는 분유는 또 잘 안먹고 ...버리기가 대부분이었어요 .그리고 게어냄이 덜한 분유나름 소화가 잘되는 분유], 긍정 텍스트 확률 : 52.95%"
"[분유들이 다 거기서 거기겠지 .라고 생각할수잇지만 다 다르더라구요 ...비타민 미네랄 유산균등 뛰어나게 설계한 제품들이 각각 있어요 .그런걸 잘 확인하고 구매하는 편이에요 ....전 갠적으로 분유는 좋은 거 먹이자주의라 .....프리미엄 분유를 추천합니당 .한달에 보통 캔씩먹더라구요 그래봤자 얼마안되는데 이왕이면 좋은 분유를 ..아그리고 보통 분유는 이 잖아요 .이 분유는 으로 용량대비 가격생각하면 프리미엄분유로 꽤 괜찮은 가격이에용 .... ], 긍정 텍스트 확률 : 93.12%"
"[ 아기변비분유 ▷ 변비끼가 보이는 아기에게 좋은 골드어른들도 변비가 생기면 참 힘들잖아요..아직 어린 아기가 변기에 걸릴까봐 걱정이 걱정이 ㅠㅠ아이의 장건강까지 신경써야겠더라구요 ], 긍정 텍스트 확률 : 64.57%"
"[ 처음 바꿔보는 분유라서 걱정이 많았는데아이엠뉴질랜드는 년동안 분유를 제조한 뉴질랜드 기업에서직접 제조관리하고 있어서 더욱 믿음직스러웠어요.우리나라뿐만 아니라 다른 해외에서도 판매되는 분유 ], 긍정 텍스트 확률 : 75.60%"
"[ 보조스푼 도 함께 배송되어 왔지만분유를 열어보면스푼이 들어있어요.사실 보조스푼은 왜 들어있는걸까........필요없다고 생각했는데가끔은 맘마를 먹고도 몇시간 안되서 맘마달라고 할때가 많아서그럴때 적은양의 분유를 타기에도 좋았어요 ㅋㅋㅋㅋ스푼 보관은 캔 뚜껑 쪽에 끼워두면 되더라구요 ], 긍정 텍스트 확률 : 70.40%"
"[ 모유슈유를 생각보다 오래 못해서늘 아기에게 미안한 마음이 있었는데..이렇게 모유에 가까운 분유를 먹일 수 있음에 감사함을 느끼게 되네요 ㅋㅋ ], 긍정 텍스트 확률 : 97.36%"
"[ 혹여나 바뀐 분유때문에 잘 먹지 않을까 걱정을 했는데생각보다 너무 잘 먹어줘서 일단 너무 이쁘더라구요슬슬 부드러운 변으로 변해가는게 눈에 보였어요.진짜 되직한변이 부드러운변으로 바뀌기전까지 맨날 기저귀 관찰을....ㅋㅋㅋ기존에 먹고 있던 분유가 있어서 조금씩 슬슬 섞여가며 바꿔주었더니일정도 지나니 부드러운 변을 보더라구요되직한 변을 싸서 걱정많이 했는데 아기변비분유 아이엠뉴질랜드 분유덕분에한시름 놓았네요 ㅎㅎ바꿔줄 때는 횟수조절로 바꿔야하더라구요참고해주세요 ], 긍정 텍스트 확률 : 99.94%"
"[우리집 호 모찌공주는 신생아 때부터 꺼특하면 분수토를 뿜어주어 엄마를 놀래키더니 지금도 아파서 열만 났다 하면 분수토에 설사를 참 자주 한답니다.제 블로그 오랜 이웃님들 잘 아시죠??ㅋㅋㅋ..벌써 제 여러 포스팅에 등장한 이야기이자 제 고민이라는 거 ㅜㅜ아무튼 신생아 때부터 쭉 봐주시는 소아과 담당 의사선생님 말씀으로는 소화기관이 예민한 편이라 점차 커갈수록 나아질거라고 천천히 먹이고 분유도 잘 선택해 먹이라고 하셨어요.물론 감기로 아플 때는 병원에 가서 그에 맞는 약을 처방 받고 진료를 받아야 하지만 평소에는 완분아가인만큼 분유 선택을 잘 해서 잘 맞는 것으로], 긍정 텍스트 확률 : 84.55%"
"[소화가 잘 되는 거로 하라고 하시더라구요그래서 진짜 모유를 못 먹였다는 미안함과 더불어 부드럽게 흡수되고 소화되는 분유로 엄청나게 찾아보며 좋다는 건 다 먹여보고 있습니다.ㅋㅋ다행히 또 분유 바꾸는 거에 그렇게 예민하지는 않아 엄마가 원하는 방향으로 잘 따라주네요. ], 긍정 텍스트 확률 : 81.96%"
"[ 첫째랑 둘째랑 둘이 돌아가며 아파 저는 진짜 소아과를 거의 매일 출근하다 싶이 가는 거 같아요.첫째에게 옮아 코감기가 시작되고 후에 열도 오르더니 결국에는 설사도 하고 잘 먹으려고도 안해 지난 주 동안 엄청 고생했어요.원래도 소화를 잘 못해 토하고 그러는데 아프기까지 하니까 아예 먹으려고도 잘 안하고 먹은거에 비해 설사는 자주 하고.... ㅜㅜㅜ그래서 이유식은 중단하고 그때부터 슬슬 분유를 바꿔.?수입분유수입분유.?아이엠뉴질랜드아이엠뉴질랜드 를 먹이고 있어요.지금까지 한 주 조금 못되게 먹이는 중입니다.전부터.?아기설사아기설사 에 좋다고 추천 받았던 건데 전에 먼저 먹던 게 있어 사놓고 집에 가지고만 있었는데.. 여차저차 감기에 설사에 지금이 타이밍인 것 같아 자연스럽게 넘어왔어요. ], 긍정 텍스트 확률 : 99.71%"
"[ 아기설사 아이엠뉴질랜드 프로문화센터 엄마들도 그랬고 맘카페에서도 보니까 자주 설사하는 아기들이 먹으면 좋은 분유로 요거 많이들 알려주시더라구요꼭 완전 설사가 아니더라도 대체적으로 좀 묽은변을 보는 아가들이 먹으면 좋다기에 저는 모찌에게 정말 꼭 먹여봐야지 먹여야지 하고 있던거에요.그냥 제 느낌일 수도 있는데 열도 떨어지고 감기 기운도 좋아지면서 이거 먹고 배에서 꾸륵꾸륵 소리도 전에 비해서 좀 덜나는거 같네요.아], 긍정 텍스트 확률 : 85.49%"
"[그리고 요거 제가 먹이고 있는 하늘색 뚜껑은 단계로 개월 아가가 먹는 단계에요.단계마다 패키지 뚜껑이나 포인트 컬러가 달라요. ], 긍정 텍스트 확률 : 56.12%"
"[그 신바이오틱스가 이 분유에 함유되어 있어 아이 면역력을 높이는데 도움을 주어요.연장선으로 어른들 보다 더 장이 약하고 예민한 아가들 장내 환경 개선까지 해주니], 긍정 텍스트 확률 : 80.92%"
"[ 아가들 중에서도 우리 모찌처럼 소화기관이 약하고 예민보스라 묽은 변이나 설사를 자주하는 아가들이 먹으면 좋을거에요.영양성분이 궁금해 좀 살펴봤는데], 긍정 텍스트 확률 : 53.92%"
"[소화가 편하도록 도와주는 것 이외에 이거 먹고 무럭무럭 잘 클 수 있도록 성장발달에 있어서도 분유 본연의 역할을 잘 하더라구요.유산균 함유량 외 미네랄이나 비타민 함유량도 다른 분유들에 비해 좀 높아요특히 비타민 함량이 분유 중 최고라 면역력을 높이는데 큰 도움을 주고 면역력이 강해지면 잔병치레등 질병에 잘 걸리지 않게 해주니 이 점도 저는 마음에 완전 들어요.월 중순부터 지금까지 아이들 돌아가며 밀착간호하고 소아과 다니느라..아이들도 지치겠지만 ㅜㅜㅜ 저도 진짜 아이들 잔병치레로 체력도 멘탈도 탈탈 털리고 있거든요. ], 긍정 텍스트 확률 : 99.97%"
"[그 원유중에서도 유아용 등급만을 이용해 만든 분유라 뭔가 아주 프레쉬한 느낌이 팍팍 듭니다.뉴질랜드 식약처 와 우리나라 식약처의 엄격한 심사를 거쳐 공식 수입되는 분유기에 이 점도 안전해 걱정 없이 먹일 수 있어요. ], 긍정 텍스트 확률 : 63.77%"
"[ 우리나라 분유와 다르게 아이엠뉴질랜드 수입분유 안에 들어있는 스푼은 한 스푼에기준입니다.제가 이 분유 사고 집에서 배송받을 때 박스를 뜯어보니까 이동중 손상되지 않게 하기 위해 안심박스를 사용하고 있었거든요?그 점도 꼼꼼 포장이라 매우 마음에 들었는데 추가로 짜리 보조 스푼이랑 분유저장팩도 같이 들어 있어 나단위 외에 분유를 탈 때 유용합니다 ㅋㅋㅋㅋㅋ 보조스푼도 버리지말고 잘 챙겨두세요. ], 긍정 텍스트 확률 : 53.01%"
