"[ ..울 귀요미는 요 근래 밤잠을 자주 설치고], 긍정 텍스트 확률 : 77.72%"
"[ 오메가는 임신중에도 계속 챙겨 먹어왔는데...구입하던곳에서 구입할까 하다가아이허브에서 저렴하고 가성비 좋은 오메가를 발견하고 구입했어요 ], 긍정 텍스트 확률 : 73.30%"
"[수유하는 사람은 섭취전의사와 상의 하라고 적혀있지만], 긍정 텍스트 확률 : 50.08%"
"[ 여태 먹어왔으니 괜찮을거 같아서 그냥 먹고있는중 ], 긍정 텍스트 확률 : 79.34%"
"[ 봉군이 지성피부에 좋다는 블로그를 어디서읽었는지...구입한 재로우 판토테산], 긍정 텍스트 확률 : 73.80%"
"[ 어떤이는 하루에 알씩 먹었고], 긍정 텍스트 확률 : 57.78%"
"[ 봉군은 화농성 여드름이 많아서고생중인데... 남들이 효과를 느낀만큼효과가 있었으면 좋겠다.봉군이 여드름에 효과가 좋다고 하면 진짜효과가 좋은 제품일듯싶다.. 고생고생...추후 후기는 더 사용해보고 올리도록해봐야지 ], 긍정 텍스트 확률 : 61.47%"
"[ 이런들 어떠하리 저런들어떠하리효과만 좋으면 장땡일텐데위의 모든 여드름관련 제품을 열심히 쓰고 있는 봉군입니다 ], 긍정 텍스트 확률 : 89.32%"
"[ 위의 제품들을 바르고나면 건조하기때문에보습에도 신경을 써줘야 해서 구매했다고근데 성분중에 지성피부에 트러블을 일으킬 수 있는요인이 있기때문에 사용해보고 트러블이 올라오면끊을거라고 한다. 트러블이 더 이상 안올라오길.여드름 관련 지난 포스팅은 여기.▼▼▼ ], 긍정 텍스트 확률 : 88.47%"
"[ .혹시라도 아이허브 구입하실 예정이라면 .추천코드프로모션코드 부탁드려요 ], 긍정 텍스트 확률 : 67.74%"
"[인천괌 유아식하인즈 이유식 가지 종류와 유기농 주스가 같이 나온다.괌에서 인천 올 때는 거버와 시밀락 분유가 같이 나온다. ], 긍정 텍스트 확률 : 85.69%"
"[인천하와이 유아식하와이는 비행시간이 길어서 유아식이 두 번 나온다.괌과 마찬가지로 하인즈 이유식 가지], 긍정 텍스트 확률 : 63.45%"
"[유기농 주스가 같이 나온다.두 번에 기내식이지만 사과오트밀은 중복으로 나왔다. ], 긍정 텍스트 확률 : 82.48%"
"[핫도그 가운데 선택한국 출발 편에는 항상 바나나우유], 긍정 텍스트 확률 : 70.71%"
"[ 후쿠오카 갈 때 신청했던 아동식.후쿠오카는 오키나와보다 비행시간이 짧아서아동식을 따로 고를 수 없다.기본적으로 김밥], 긍정 텍스트 확률 : 78.22%"
"[유부초밥이 나온다.단거리 노선일 때 나오는 아동식. ], 긍정 텍스트 확률 : 61.65%"
"[주스와 함께 나온다. ], 긍정 텍스트 확률 : 82.04%"
"[안녕하세요. 보담입니다], 긍정 텍스트 확률 : 64.94%"
"[ 그중 하기스는 애기 낳기 전에도 알고 있던 브랜드였고], 긍정 텍스트 확률 : 58.79%"
"[컴포트인데요.그중 네이처메이드 라인에 오가닉 코튼 기저귀가 새로 나와서 사용해 보았어요. ], 긍정 텍스트 확률 : 76.95%"
"[ 안심방지포켓아가의 응가는 분유나 모유를 먹는 시기에는 묽은 변 상태인데요.신생아 때 누워만 있을 때 말고도 기어 다니는 시기에도 앉아있다가 응가가 새는 경우가 있어요.저도 두어 번 뒤로 새서 옷을 다 빨아야 했던 적이 있답니다.ㅠㅠ하기스 오가닉 코튼 커버의 안심방지포켓은 응가가 새는 걸 막아줄 수 있어요. ], 긍정 텍스트 확률 : 93.00%"
"[ 하기스 오가닉 코튼 커버 기저귀는 디자인이 가지로 되어있어요. 저는 오가닉 코튼 커버 기저귀 디자인이 참 맘에 들더라고요.감성적이고 예쁘다고나 할까요?ㅎㅎ처음에 보자마자 화이트 하면서 소프트하고 부드러우면서 천연스러운 것 같은 느낌이 들어서 더 좋았어요], 긍정 텍스트 확률 : 64.47%"
"[ 하기스 오가닉 코튼 커버 기저귀의 쭉쭉 늘어나면서 쫀쫀한 허리와 다리 밴드.아가의 착용감을 한층 편안하게 해주어요], 긍정 텍스트 확률 : 76.93%"
"[ 하기스 오가닉 코튼 커버 기저귀 두께는 이 정도에요.제가 봤을 때 얇은 편에 속해요.], 긍정 텍스트 확률 : 82.34%"
"[에어매쉬로 통풍이 잘되어 아기의 뽀송한 엉덩이를 유지시켜줄 수 있는 기저귀인 것 같아요. ], 긍정 텍스트 확률 : 74.80%"
"[ 천연 사탕수수 원료와 유기농 코튼으로 만든 하기스 네이처메이드 오가닉 코튼 거버 기저귀신생아 때 알았다면 이걸 사용했을 것 같아요.저처럼 천 기저귀를 사용할까 고민인데 자신이 없는 맘분들께 하기스 네이처메이드 오가닉 코튼 커버를 신생아 기저귀로 추천해드리고 싶어요.하기스 샘플링 이벤트로 제품을 무상 지원받아 작성된 후기입니다. ], 긍정 텍스트 확률 : 88.96%"
"[긴글주의한국엄마들은 백이면 백 만들어 먹이는 아기 이유식미국 엄마들은 대부분이 시판 이유식을 먹인다죠심지어 소아과에서도 시판 이유식을 추천한다는데... 그 이유인즉슨 매번 살균 생각하느니 철분 및 각종 영양소가 들어간 시판이유식이 낫다는거에요친정엄마도 요새 시판이유식이 얼마나 잘나오는데 고생하지말고 사다먹여라 라시길래 먹을만한지 가서 구경만 몇주째 하고있었어요플럼은 많길래 봤고 한국 엄마들은 거버], 긍정 텍스트 확률 : 89.38%"
"[남편 주말부부인 엄마로서는 이유식이 어마어마한 부담이더라고요 ㅠㅠ평생 우유만 먹어주면 안되겠니...그치만 아기는 뱃속에서 받은 철분이 개월뒤면 다 동나기에 꼭 이유식을 시작해야한대요분유먹는 아가는 개월], 긍정 텍스트 확률 : 69.77%"
"[ 프룬은 이유식이 아직 익숙하지 않은 아가들이 변비 걸릴때 좋다죠단 과일부터 먹으면 채소를 잘 안먹는답니다 ], 긍정 텍스트 확률 : 83.30%"
"[ 제가 즐겨찾는 타겟에는 비치넛 제품도 많더라고요 ], 긍정 텍스트 확률 : 87.87%"
"[ 슈가와 소듐없는 아이 찾음오트밀은 비치넛을 먹이고 라이스는 얼스베스트를 먹이면 될거같아요무조건 오가닉 강추 ㅎㅎ ], 긍정 텍스트 확률 : 92.75%"
"[ 치킨도 나오네요 ㅎㅎ ], 긍정 텍스트 확률 : 83.89%"
"[얼스베스트는 자이언트 이글이 종류가 더 많더라고요 세일 태그보고 충동구매를 하고싶었으나...시판먹일지 만들어먹일지도 못정했으니 지름신을 이겨내고 사진만 ], 긍정 텍스트 확률 : 52.88%"
"[ 얼스베스트도 갑니다이런 종이박스에 가루가 들어있다는데요 흠 지구 최고 이유식?그래.. 미국식 이름이네요...뭐만하면 월드베스트 이러고 ㅋㅋㅋ왜 기왕할거 우주최고라 하지그래?그런데 왜 더 오가닉해보이는건 왜죠 ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 98.73%"
"[ 집앞마트애도 거버도 있습니당 ], 긍정 텍스트 확률 : 70.79%"
"[ 집앞마트 케셔 ㅋㅋ ], 긍정 텍스트 확률 : 55.95%"
"[ 이거 케이스가 예뻐서 비치넛도 자꾸 땡기네요 ㅎㅎㅎ ], 긍정 텍스트 확률 : 96.33%"
"[ 몇주 폭풍 찾아보며 폭풍 고민한 결과...스트레스도 엄청 받았는데집안일 매우 못하는 친구가 아유식 만드는거 겁나 쉽다길래 팔랑귀인 저로서는 만들어 먹이기로 결심 땅땅땅그치만 조금크거나 외출시에는 시판도 가끔 먹어도 되지싶네요 ㅎㅎㅎ조만간 이유식 식기], 긍정 텍스트 확률 : 55.38%"
"[기계 리뷰도 가겠네요 ㅎㅎㅎ다음은 책], 긍정 텍스트 확률 : 88.26%"
"[고기를 먹어야 체중증가함], 긍정 텍스트 확률 : 57.12%"
"[숨못쉴정도면 ], 긍정 텍스트 확률 : 62.64%"
"[칼슘이 고갈된다. 대영양소의 균형을 맞추고], 긍정 텍스트 확률 : 66.96%"
"[숨못쉴정도면 ], 긍정 텍스트 확률 : 62.64%"
"[아기손잡이있는우유병 개월즈음 시피컵], 긍정 텍스트 확률 : 68.32%"
"[비타민 를 먹여야물은 개월 이후부터 마셔도 됨개월쯤 이유식 시작년밥을 먹이기 시작 그전에 먹이지 말기돌 전까진 우유먹이지말기한국엄마들이 많이먹이는건 거버], 긍정 텍스트 확률 : 83.45%"
"[하루 한끼로 시작하여 잘 적응하면 두번으로중기개월 과일], 긍정 텍스트 확률 : 72.01%"
"[시간과 장소를 지키는 것이 좋음개월 단백질 공급을 위해 흰살 육류 닭고기], 긍정 텍스트 확률 : 52.35%"
"[칠면조 가 포함되기 시작하며 하루 세번 제공하는 것이 좋음후기개월 전후이유식 생후 개월이 지나고 몸무게가 가 되었을때가 적당완분아가는 일], 긍정 텍스트 확률 : 63.69%"
"[생선을 넣어서 만들어주는데쌀의 농도와 함께 야채의 농도도 조절 해주시면 돼요.이유식 시기에 따라 섭취 할수 있는 재료와 섭취 할 수 없는 재료들이 있어요. 초기이유식은 섭취해서 영양분을 섭취하는것이 물론 좋겠지만모유와 분유만 먹던 우리 아이들이 이제 음식을 섭취 할수 있도록음식을 먹는것과 숟가락에 적응하는 단계라고 보시면 돼요.초기 이유식일 회 하루에 두번째 수유하실때 수유전에 먹이시는것이 좋구요.되도록 오전시간에 먹이시는걸 추천드려요.처음 먹어보는 식재료이니 알레르기반응이 생길수도 있어서 병원에 갈수 있도록 오전시간에 먹이시는게 좋습니다.저는 초기이유식 양은 으로 잡아줬어요. 많이 먹는건 바라지도 않구 그냥 씩 먹으면서 적응하자 이생각이였거든요. 아이가 잘먹는다면 양을 까지 늘려주셔도 되요.이유식을 먹인후엔 분유를 줬어요. 얼마나 먹는지 아는게 중요하니까요그리고 이유식 양을 늘리려면 이유식먹이고 분유를 바로 줘야 한다하더라구요. 모유수유한적도 있는데 분정도 수유했던거같아요.처음에는 막 들쭉날쭉 하더니 지금은 먹는양이 딱 일정해졌네요.하루먹는양 초기이유식 ], 긍정 텍스트 확률 : 85.77%"
"[이유식을 워낙잘먹기도 했고 미음보다 점점 되직한걸 원하길래 일부터 중기이유식 두끼로 넘어갔어요.제대로 지켜서 만들어주기도 하고 어느날은 귀찮아서 시판이유식 먹이기도 했어요. 중간에 서울다녀온날엔 안먹이기도 했구요.ㅋㅋ초기이유식엔 사과], 긍정 텍스트 확률 : 60.85%"
"[ 과즙망이용하지만 저는 중기때 맛보게 해줬어요. 과일은 익히면 더 달아져서 과일만 찾을수도 있게된다하더라구요.채소는 잎채소 먼저 해주신다음 뿌리채소로 넘어가시면 되요.잎채소는 줄기부분은 빼고 잎만 사용해서 만들어주세요.질산염 채소는 빈혈을 일으킬수 있어서 개월 이후에 먹여주셔야해요.시금치], 긍정 텍스트 확률 : 76.75%"
"[ 배추소고기좋은궁합브로콜리], 긍정 텍스트 확률 : 88.39%"
"[밤닭고기좋은궁합브로콜리], 긍정 텍스트 확률 : 88.39%"
"[간이된 음식들 등아이가 잘먹는 농도가 있다면 그농도로 주셔도 괜찮아요 그래도 잘갈아서 주세요저는 초기엔 냄비이유식을 추천해요. 입자도 채에 걸렀을때 더 곱게갈리고 농도조절이 더 편해요.이유식 마스터기는 중기부터는 꿀템입니다. 중기에 들어서면서 부터는 야채를 가지씩 넣어주셔도 돼요.예 소고기청경채애호박죽이유식준비물 중 큐브는 와 가 유용하실거같아요.저는 로 개 가지고 사용하는데 딱편하고 좋아요.시판 이유식양이 많아서 덜어먹어야함얼스베스트 이유식은 유기농 이라는 점에서..거버이유식은 영양면에서 조금 더 큰 점수들을 주시더라구요거버보단 얼스베스트가 좋다고 함거버너무 달아서 최후의 수단거버는 세계적인 기업 네슬레의 엄격한 내부 규정에 의거해 제품을 생산되는데..네슬레의 규정은 미국 소아과협회], 긍정 텍스트 확률 : 92.81%"
"[미국 농림부 등의 주요한 전문조직의 추천을 근거하여 제정하고], 긍정 텍스트 확률 : 56.81%"
"[단계도 있긴 한데..시리얼 같이 생겨서 형태가 좀 다르더라구요거버 이유식 종류를 살펴보면..단계는 역시 단일 식품 형태로 되어있고..단계는 과일], 긍정 텍스트 확률 : 61.48%"
"[ 얼스베스트와 마찬가지로 포화지방], 긍정 텍스트 확률 : 57.69%"
"[콜레스테롤이 다만], 긍정 텍스트 확률 : 51.21%"
"[나트륨은 라고 표시가 되어 있네요하지만 인공방부제나 인공소금], 긍정 텍스트 확률 : 57.24%"
"[아연 등을 풍부하게 함유하고 있다고 해요얼스베스트과일은 너무 시큼하기도유기농 베이비푸드 제품의 라인업을 갖춘 미국 회사로], 긍정 텍스트 확률 : 73.58%"
"[나트륨은 ...개 제품 라인에다가 다양한 구성을 무기로 미국내 시장을 급장악하고 있는 브랜드이다. 최근 우리나라 아가들의 주 간식이 되고 있는 도 여기 제품이다. 백화점에서 약천원 정도하는데 미국에서는 약 정도에 구매할 수 있다. 이외에도 주스나 요거트 및 최초 이회사의 주 제품이었던 냉동이유식 등이 유명하다. 년에 설립되어 매년 급성장을 하고 있는 이 회사는 미국내 가장 영향력있는 엄마 로 이회사의 대표가 뽑히기도 했으며 미국내 가장 성장하는 기업의 리스트로도 올라가기도 했다. 미네소타에서 직접 제품들을 생산하여 전세계 개국 약 곳에 판매되고 있는 가장 현대적이고 잘 조직화된 회사라고 할 수 있다. 우리나라에서는 아직 과자류만 수입이 되고 있지만 곧 다른 아이템도 수입이 될 것으로 기대한다.. ..년 영국에라는 회사가 설립되어 지금까지 영국에서는 유명한 브랜드인데 여기 로고와 매우 흡사하고 제품도 비슷해서 같은 회사인가 하는 생각을 가졌는데 결론은 다른 회사라는 것.의가 유행을 하자마자 바로의도 곧 수입이 되기 시작했다. 가격은 둘다 비슷하다. 하지만 은 그림에서 보는 과일 주스나 요거트 주스가 더 유명하다. 그러나 제품구성이나 제품성분은 정말 두 회사가 비슷하다. 설립된 시기도 비슷하고 대중으로 부터 인식되는 과정도 비슷하고], 긍정 텍스트 확률 : 99.47%"
"[하여간 나중에 이 회사에 대해서 알아볼 필요가 있을 것 같다. 이 회사도 급성장하고 있는 미국 회사중에 하나이다. 은 이유식을 먹이기 편리해서 미국의 엄마들에게 인기가 많다. 제품에 붙어 있음.년 영국에라는 회사가 설립되어 지금까지 영국에서는 유명한 브랜드인데 여기 로고와 매우 흡사하고 제품도 비슷해서 같은 회사인가 하는 생각을 가졌는데 결론은 다른 회사라는 것.의가 유행을 하자마자 바로의도 곧 수입이 되기 시작했다. 가격은 둘다 비슷하다. 하지만 은 그림에서 보는 과일 주스나 요거트 주스가 더 유명하다. 그러나 제품구성이나 제품성분은 정말 두 회사가 비슷하다. 설립된 시기도 비슷하고 대중으로 부터 인식되는 과정도 비슷하고], 긍정 텍스트 확률 : 71.53%"
"[하여간 나중에 이 회사에 대해서 알아볼 필요가 있을 것 같다. 이 회사도 급성장하고 있는 미국 회사중에 하나이다. 은 이유식을 먹이기 편리해서 미국의 엄마들에게 인기가 많다. 제품에 붙어 있음..’ ..영국에 기반을 두었다가가 년에 미국에서 설립한 이 회사는 의 딸 이름인 를 그 모티브로 사용하였다. 년에 미국 뉴저지에 미국내 를 차리고 본격적으로 미국 시장을 장악하기 시작했다. 최근 위 두 브랜드보다 더 성장세를 보이며 미국에서 각종 권위있는 상들을 휩쓸기 시작했다.형대로 된 제품은 이 회사가 가장 먼저 시장에 내 놓은 제품으로 우리나라 맘들에게도 매우 인기 있는 제품이다. ’ 은오가닉에 설탕], 긍정 텍스트 확률 : 99.70%"
"[세부터는 이 좋음이유식 초기 가장먼저 시도할 수 있는건 사과], 긍정 텍스트 확률 : 90.38%"
"[정제소금 말고 좋은소금], 긍정 텍스트 확률 : 72.51%"
"[간식회고기를 매일 먹여야함], 긍정 텍스트 확률 : 51.03%"
"[조리용 주걱], 긍정 텍스트 확률 : 50.83%"
"[필요초기의 오이], 긍정 텍스트 확률 : 79.76%"
"[ 단호박도 칼이나 필러로 껍질 벗겨 조리하기배는 노라씨 부분까지 모두 제거토마토는 십자 칼빚네고 데치면 겁질 잘벗겨짐굽기볶기], 긍정 텍스트 확률 : 57.83%"
"[ 하루 세끼 먹으니 아가들도 부담이 된걸까요후둥이는 그나마 괜찮은데 선둥이가 변 볼때마다 얼굴이 벌개져선 울고 있네요 ㅠㅠ 스케줄은..아침 시 이유식 ], 긍정 텍스트 확률 : 90.01%"
"[ 이번 괌 여행은 아기와 함께 하는 여행이어서 대한항공 비지니스 클래스로 예약을 했어요. 처음으로 타보는 프레스티지석 ㅎㅎ 원래는 여행 가기 한참 전에 예약을 해서 특가로 예약하는 경우가 많은데 이번 괌 여행은 여행 가기 얼마 전에 항공권을 예약하려다 보니 일반석과 프레스티지석 가격 차이가 크지 않더라구요. 성인 인당 만원 정도 차이로 총 만원 정도 차이가 났는데 그 정도 차이면 아기와 함께 하는 여행에서 충분히 값어치가 있겠다 싶어서 예약 ], 긍정 텍스트 확률 : 99.42%"
"[체크인만 제 때 했으면 괜찮은 스케줄이었던 것 같아요 아기와 여행할 때도 요 시간대 괜찮은 것 같아요.올 때는 밤비행기 타면 돌아오기 넘 피곤하니 오후 비행기로 했구요. 그리고 대한항공 프레스티지 탑승하면 프레스티지 라운지를 이용할 수 있거든요. 대한항공 프레스티지 칼라운지 후기는 아래 포스팅을 참조하세요.▼▽▼ ], 긍정 텍스트 확률 : 72.38%"
"[ 괌 가는 대한항공 저녁 시간 비행기 게이트는 번인데 걸어가보니 제일 끝이더라구요. 오랜만에 가는 해외여행이라 두근두근 ㅎㅎ 그리고 우리 햇살이와 함께 하는 첫 번째 해외여행이라 더 신났었어요. ], 긍정 텍스트 확률 : 88.66%"
"[ 비행기 탑승하러 내려가는데 햇살이도 신나고 ㅎㅎ 괌 가기 전에 제주도에 먼저 데리고 갔었는데 그 때 비행기를 넘 잘 타더라고요. 그래서 이번에도 잘 타겠지 하는 마음으로 탑승하러 갔어요. ㅎㅎ ], 긍정 텍스트 확률 : 99.55%"
"[ 요즘 한창 이것저것 관심이 많은 때라 밖에 나가면 그렇게 여기저기 보더라고요. 비행기 타러 가면서도 밖에 처음 보는 풍경이 나타나니 신기해서 눈을 못 뗌 ㅎㅎ ], 긍정 텍스트 확률 : 96.31%"
"[ 인천공항에서 괌으로 갈 때 탄 대한항공은 석 이었어요. 프레스티지석도 보니까 종류가 네 가지가 있었는데요.석은 프레스티지 스위트 좌석배열로 되어 있고], 긍정 텍스트 확률 : 94.67%"
"[전 좌석이 사선으로 배치가 되어서 프라이버시가 강조된 좌석이에요. 창가석에 앉아도 바로 통로로 나갈 수 있도록 설계된 프레스티지 스위트갈 때는 만석이 아니어서 아기를 옆에 앉힐 수 있도록 좌석 지정 할 때 배려를 해 주시더라구요. 덕분에 햇살이도 한 자리 차지하고 앉았던 ㅎㅎ ], 긍정 텍스트 확률 : 86.74%"
"[헤드폰이 기본으로 제공되어요. 그리고 옆에 보면 슬리퍼도 있다는. ], 긍정 텍스트 확률 : 67.58%"
"[ 아기가 타니까 아기 헤드셋도 제공을 해주시더라구요. 아직 햇살이는 넘 어려서 아기 헤드셋 착용은 못했는데요. 귀여워서 한 번 씌워봤어요. ㅎㅎ ], 긍정 텍스트 확률 : 92.28%"
"[ 대한항공 프레스티지석이 정말 좋다고 느낀 것이 자리 하나에 창가 세 개를 차지하고 있더라고요. 넘나 넓고 쾌적하게 갈 수 있다는], 긍정 텍스트 확률 : 61.70%"
"[ 앞에 개인용 모니터가 있는데요. 무려 인치 화면에 해상도가 엄청 좋더라구요 바로 옆좌석이랑 이렇게 사선으로 배치되어 있어서 프라이버시 방해받지 않고 즐길 수 있어요. 그리고 사이에 칸막이를 올릴 수 있어서 칸막이까지 올리면 완벽히 독립적인 공간이 된다는 물론 저는 아기가 옆좌석에 있어 그럴 수 없었지만ㅋㅋ], 긍정 텍스트 확률 : 99.68%"
"[ 햇살이와 함께 하는 첫 번째 괌 여행 기념으로 사진도 남겨봤어요. 비지니스 좌석이라서 베시냇 신청을 안했었는데 같이 앉아도 괜찮더라고요.], 긍정 텍스트 확률 : 62.41%"
"[ 하늘에서 바라본 서울 모습한강도 보이고 한강 다리들도 빛나고 있더라구요. 이륙하면서 이 때가 기분 제일 좋은 것 같아요. ㅎㅎ ], 긍정 텍스트 확률 : 93.20%"
"[ 모니터가 굉장히 멀리 있다는 ㅎㅎ 그리고 좌석 오른편에 터치스크린 리모콘이 있어요. 이게 멀티태스킹까지 가능한 리모콘이더라구요.], 긍정 텍스트 확률 : 80.98%"
"[ 앞쪽에 멀티 아답터가 있어서 충전하기에도 편하구요. 좌석 오른편에 시트 각도를 조절하는 버튼이 있어요. 그림으로 직관적으로 알아볼 수 있게 되어 있어서 조절하기 편하더라구요. ], 긍정 텍스트 확률 : 70.96%"
"[ 터치감도 좋은 리모컨 ㅎㅎ 영화 뭐 있는지 봤는데 최신 영화 몇 개 있더라구요. 한국 영화는 개 있고 ㅎㅎ 스파이더맨을 안 봤으면 이게 딱이었는데 얼마 전에 봐서 돈 봤어요.], 긍정 텍스트 확률 : 80.57%"
"[ 좌석 오른편 윗쪽을 열면 식탁을 꺼낼 수 있어요. 식탁도 펼치니까 넓더라고요. ㅎㅎ ], 긍정 텍스트 확률 : 90.03%"
"[ 오른쪽 아래 보면 식사 메뉴와 슬리퍼 주머니가 있어요. 비행기 탈 때 장거리든 단거리든 슬리퍼는 필수 ], 긍정 텍스트 확률 : 91.33%"
"[중식새우와 관자요리 이렇게 있었는데요. 저는 비빔밥을], 긍정 텍스트 확률 : 78.61%"
"[신랑은 불고기 덮밥을 선택했어요. 그리고 아기와 함께 여행할 때는 사전에 꼭 유아식을 신청하세요 신청하지 않으면 준비되지 않는답니다. 저는 사전 정보를 입력하면서 유아식을 미리 신청을 해두었었어요. 아기를 두고 둘이 동시에 먹을 수가 없어서 일단 신랑부터 먹고 저는 그 때 햇살이를 먹이기로 ㅎㅎ ], 긍정 텍스트 확률 : 94.34%"
"[ 식사 전에 따뜻한 손수건이 먼저 제공되구요. 제일 먼저 식전주 서비스가 나오는데요. 바질을 곁들인 모짜렐라 치즈예요. 요건 먹기 편하다고 먼저 먹으라고 주시더라고요. ㅎㅎ 모짜렐라 치즈 넘나 맛있었던], 긍정 텍스트 확률 : 98.22%"
"[ 햇살이는 처음에 안전벨트를 했었는데 작다보니 금방 탈출하더라고요. 그리고 이내 좌석을 잡고 일어서는기내에서도 신기한게 많아서 자꾸 일어나서 보려고 하더라고요. ㅎㅎ ], 긍정 텍스트 확률 : 55.48%"
"[ 그래서 앞에 식탁을 펼치고 담요], 긍정 텍스트 확률 : 53.40%"
"[가방 등을 올려놓고 막았는데 무용지물 ㅋㅋ 중간에 저 칸막이를 올릴 수도 없고 ㅋㅋ 다행인건 햇살이는 비행기에서 울거나 소리지르거나 하지 않아서 자리 이탈하는 것만 막으면 된다는 것이었어요. ㅎㅎ 이륙할 때 약간 걱정했는데 아무렇지도 않고 잘 놀더라고요. ㅎㅎ ], 긍정 텍스트 확률 : 99.24%"
"[ 미리 주문해둔 유아식이 나왔어요 유아식은 아기 개월 수에 맞춰서 다르게 제공되더라구요. 개월 아기인 햇살이에게는 이유식 개와 과일주스], 긍정 텍스트 확률 : 74.65%"
"[그리고 물이 제공되었어요. ], 긍정 텍스트 확률 : 81.98%"
"[ 이유식은 헤인즈 이유식이었는데요. 개월 이상과 개월 이상 개를 준비해주셨더라구요. 개월 이상 먹을 수 있는 이유식인 호박 리코타], 긍정 텍스트 확률 : 67.89%"
"[시금치 이유식을 먹여봤는데요. 처음 맛보는 건데도 맛있게 잘 먹더라구요. 근데 다음날 사과 오트밀은 안 먹더라는 ㅋㅋ 정말 잘 먹는 아기인데 이유식 거부는 처음이었어요. ㅋㅋ 먹을 것이 눈 앞에 보이면 저렇게 손부터 뻗는 아기인데 말이죠. ㅎㅎ 주스도 처음 먹여서 그런지 잘 안 먹어서 제가 먹고 물은 분유탈 때 쓰고요. ], 긍정 텍스트 확률 : 99.98%"
"[ 아기를 먹인 후 식사를 부탁 드렸어요. 전채요리부터 제공이 되는데요. 파슬리를 곁들인 조개 관자가 나오더라구요. 올리브 오일이 같이 나오는데 뿌려서 먹으면 된답니다. 옆에 반찬], 긍정 텍스트 확률 : 84.96%"
"[참기름은 비빔밥을 위한 것 ㅎㅎ ], 긍정 텍스트 확률 : 84.40%"
"[ 조개 관자가 쫄깃쫄깃하니 맛있더라구요. 야채도 신선하고 구운 가지도 맛있고], 긍정 텍스트 확률 : 51.06%"
"[아래가 제가 먹은 비빔밥이에요. 다 그릇에 제공이 되니까 더 맛있는 느낌이었어요. 밥이랑 국도 맛있고음료는 오랜만에 화이트 와인으로 마셔봤어요. ㅎㅎ], 긍정 텍스트 확률 : 82.53%"
"[ 디저트는 계절과일과 아이스크림 중에서 선택할 수 있는데요. 저는 과일을 선택해서 먹었어요. 근데 다 먹고나니 아이스크림도 남았다고 주시더라고요. ㅎㅎ 하겐다즈 아이스크림 넘 맛남], 긍정 텍스트 확률 : 81.08%"
"[ 괌에서 인천으로 갈 때 탄 대한항공은 석 이었어요.석은배열이었고], 긍정 텍스트 확률 : 82.41%"
"[ 돌아갈 때는 오후 시간 비행기라 그런지 만석이었어요. 그래서 햇살이를 신랑이랑 번갈아가며 안았는데 비지니스석이라 그마나 괜찮았던 것 같아요. 좌석이 넓으니 옆에 앉힐 수 있더라고요. ㅎㅎ ], 긍정 텍스트 확률 : 83.24%"
"[ 갈 때와 동일하게 담요와 베개가 올려져 있구요. ], 긍정 텍스트 확률 : 92.09%"
"[ 노이즈 캔슬링 헤드셋과 슬리퍼도 동일하게 제공되어요. 이번엔 기내식 메뉴가 모니터 옆 공간에 꽂혀 있더라구요. 프레스티지 슬리퍼 좌석의 모니터는 스위트 좌석보다 조금 작은 .인치예요. ], 긍정 텍스트 확률 : 89.63%"
"[ 비행기 안에서는 무조건 슬리퍼 신어줘야죠. ㅎㅎ 좌석 간격은 인치이고], 긍정 텍스트 확률 : 85.81%"
"[좌석 윗쪽에 개인 독서등이 있고요. 높낮이와 각도를 조절할 수 있어요. 좌석 기울기도 원터치 버튼으로 조작이 간편하구요. ], 긍정 텍스트 확률 : 75.01%"
"[올 때는 뽀로로 두들북을 받았어요. 아직은 넘 어려서 나중에 좀 더 크면 줘야할 듯 ㅎㅎ ], 긍정 텍스트 확률 : 73.03%"
"[ 소고기 야채와 바나나 퓨레가 제공되었는데요. 거버 퓨레는 오트밀에만 섞어먹다가 이번에 단계를 처음으로 따로 줬는데 잘 먹더라구요. 개 다 싹 비웠어요. 소고기 야채를 훨씬 더 좋아했다는 ㅎㅎ ], 긍정 텍스트 확률 : 97.97%"
"[ 돌아올 때도 기내식은 코스요리로 제공되는데 이번에는 신랑이 비빔밥을], 긍정 텍스트 확률 : 52.57%"
"[ 늦게 먹었더니 후식은 과일밖에 남지 않아서 과일을 먹었어요. 신랑은 먼저 먹어서 하겐다즈 딸기 아이스크림을 먹었다는 ㅎㅎ 좌석과 기내식 모두 마음에 들었어요.], 긍정 텍스트 확률 : 97.81%"
