"[ 갈리아 분유 먹여보신분들 있나요? 출산준비로 분유좀 사놓으려는데 갈리아에 대한 후기가 없네용..ㅎㅎ ], 긍정 텍스트 확률 : 73.90%"
"[동양종교 사상들을 근거로 하며 그것에기독교사상을 약간 연합시킨 것이기 때문에 여러 곳에서 동양의 무속적 종교사상이 그대로 나타난다. 엘카이는 예수그리스도는 하나님의 아들로서의메시야가 아니라 보통 인간들과 같은 하나의 인간에 불과하며 어쩌면 아담이 예수로 환생했을 가능성도 있기 때문에 앞으로 또 다른 예수가 태어날수도 있다고 주장했다. 엘카이는 성도들이 세척의식洗滌儀式을 자주 행함으로서 정결한 몸을 유지해야 신神과의 교류를가질 수 있다고 주장했으며 율법의 준수와 자기 정결의 유지와 금욕주의 고행적 신앙의 삶 등등을 통하여 신을 만날 수 있다고 주장했다. 이러한사상 때문에 신과 만나기 위한 각종 방법들이 계속하여 추가 되었는데 나중에는 각종 점성술들이 등장했고 주문들과 부적들까지도 등장했다. 한편엘카이파는 안식을 비롯한 율법준수를 철저하게 했으며 예루살렘을 향하여 기도하고 경배하는 신앙적 삶을 살았다. 그러나 그들은 제사는 드렸으나희생제사는 거부했다. 엘카이파는 구약성경에 나오는 선지자들을 대부분 인정했지만 그들은 일시적인 선지자들인 반면에 엘카이는 최후의 선지자이며 또한최고], 긍정 텍스트 확률 : 99.73%"
"[최대의 선지자라고 했다. 엘카이파는 기원세기 말에 요단강 하류 사해의 동편에서 집단적인 생활을 했고 세기 초에는 알키바데스라는사람이엘카이서를 가지고 로마에 가서 전도했으나 큰 호응을 얻지 못했으며 점차 쇠퇴하다가 사라져버렸다.굴림.신新플라톤학파.굴림기독교가 매우 빠른 속도로 성장하자 로마의 재래종교들이 기독교로 인하여 완전히 사멸될 것을 우려한 자들이 등장했는데 그들 중에 기독교를가장 적극적으로 공격한 것이 신新플라톤학파다. 신플라톤학파는 영지주의자들과 같이 포괄적인 종교 형태를 형성하지는 않았으나 플라톤의철학사상을 개조하여 종교적 요소를 추가한 새로운 학문을 형성했다. 신플라톤학파의 시조는 암모니우스삭카스.년사망이다. 그는 양친으로부터 기독교 교육을 받았으나 성장한 후에 로마의 재래 종교로 돌아갔다. 그는 특히 플라톤철학에 심취하여 모든 것을 플라톤식으로 해석했다. 그러나 그의 학문이 전해지지 않으므로 그의 학설은 알려지지 않았다. 반면에 신플라톤학파를본격적으로 지도한 것은 플로티누스..이다. 플로티누스는 암모니우스사카스로부터 영향 받아 새로운사상체계를 수립했다. 신플라톤주의가 주장하는 신적존재는 플라톤이 주장한 것과 같은초월적], 긍정 텍스트 확률 : 67.72%"
"[지고적 존재이다. 신플라톤 주의자들이주장하는 종교적 사상을 약술하면 다음과 같다.굴림영원히 존재하는 초월적], 긍정 텍스트 확률 : 62.41%"
"[그리고 영원히 주관한다. 반면에 그존재는 형이하학적으로는 이성도], 긍정 텍스트 확률 : 69.69%"
"[생명도 없는 암흑의 수렁에 까지 주관한다. 부족한 상태의 인간은 이러한 초월적 지고적 존재로부터 신비한 조명을받아 영적], 긍정 텍스트 확률 : 57.00%"
"[정신적 부족함을 채움으로서 차원 높은 영적상태를 이루고 높은 사고思考를 갖게 되며 악하고 저급한 것들로부터 벗어나는수준 높은 이데아적 세계를 형성한다. 그러나 인간의 이러한 상태는 이데아적], 긍정 텍스트 확률 : 60.92%"
"[영적 영역에서는 가능하지만 인성을 포함하는 육체적 영역에서는 절대불가능하다 왜냐하면 육체적 영역과 이데아적 영역 사이에는 영원히 평행선으로 존재하는 선善과 악惡이라는 무한하고도질적인 차이가 존재하기 때문이다. 따라서 신과 인간의 관계는 신학적으로 인간에게 하강하는 것이며 신앙적으로는 신에게 귀의하는 것이다. 인간이진정한 자유를 얻는 길은 물질의 속박을 벗어나 신에게 귀의하는 것이다. 신에게 귀의하는 방법은 덕德이다. 그러나 덕은 신을직관하고 신의 조명에 자신의 모든 것을 일치시킬 때에 비로소 완성된다. 인간이 온전한 덕을 형성했다는 증거는 사랑에로스를 통하여입증된다.굴림이러한 사상 때문에 신플라톤 주의자들은 예수그리스도의 성육신을 부정했고 그리하여 예수그리스도를 실제적 존재가 아닌환영幻影이라고 주장했다. 그리고 플라톤이 말한 사랑에로스를 강조하여 진정한 신앙은 에로스를 통하여 확인되고입증된다고 주장했다. 그러나 신플라톤 주의자들은 그들을 체계적 조직적으로 일사분란하게 이끌어 갈만한 지도자가 없었으므로 스스로 와해되고 말았다.신플라톤주의 사상으로 기독교를 공격했던 자들 중에 대표적인 사람은 다음과 같다.굴림플로티누스..굴림플로티누스는 이집트에서 출생하여 암모니우스사카스에게 배운 후 고리티아누스황제가 페르샤와 전쟁할 때에 종군하면서 페르샤로부터 동양학문을배웠다. 그는 전쟁이 종료된 후에 로마에서 신플라톤주의를 열심히 가르쳤으며 기독교에 신플라톤주의를 접목시키기 위하여 노력했다.굴림포르피리우스굴림포르피리우스는 로마의 전통종교들을 신봉하는 다신론 주의자로서 권의 저술을 통하여 기독교를 공격하고 비판했다. 그가 기독교를 비판하고공격한 것 중에 대표적인 사례를 소개하면 다음과 같다.굴림구약과 신약은 서로 일치하지 않으며 모순투성이다.굴림예수그리스도는 거짓말을 하였고 제자들에게 전혀 본이 되지 못했다. 때문에 사도들은 교리적인 문제로 일치할 수 없어 자기들이 편리한 대로해석하거나 사족蛇足을 달았고 그로 인하여 언제나 분쟁할 수밖에 없었다.굴림.기타.굴림로마제국이 기독교를 붕괴시키기 위하여 박해와 탄압을 가할 때 철학자임을 자부하는 자들이 기독교 음해에 열심 했는데 그중에 대표적인 자들은다음과 같다.굴림루키아누스..굴림에피크로스학파였던 루키아누스는 수리아의 사모사타 출신으로서 풍자諷刺와 조소嘲笑의 문장으로 기독교의 신앙적 삶을공격했다. 그는 ..년경에 기독교인들과 키니크학파를 조롱할 목적으로페레그리누스의 죽음이라는 소설을 발간했다. 이 소설은..년의 올림피아경기 때에 키니크학파인 페레그리누스가 불속에 투신하여 순교한 것을 토대로 한 것이다. 그러나 그의 의도는 빗나갔고오히려 그 소설로 인하여 많은 사람들이 기독교에 입문했다.굴림셀서스굴림셀서스는 세기 후반 사람으로서 알렉산드리아 출신이다. 그는 플라톤학파 소속이었으나 에피크로스를 더욱 추종했다.그는참말이라는 저서를 통하여 기독교를 비판하고 공격했는데 당시에 많은 지식인들이 그 책을 즐겨 읽었음으로 상류 사회인들의 기독교에대한 편견이 심각했다. 때문에 알렉산드리아의 신학자 오리겐이셀서스를 반박 한다라는 저서를 발간하여 셀서스를 강력하게비판했다.굴림제장.이단들에 대한 교회의 조치.굴림철학자들의 사상들이 교회 내에 계속하여 반입되어지고 각종 이단적 교리들이 교회 내에 침투했을 때 교회의 지도자들은 당연히 위기의식을느꼈으며 힘을 합하여 대처했다. 그들은 개인적으로도 철학자들과 이단자들에 대한 사명적 임무를 수행했지만 교회들이 연합하여 공동적으로 대처해나가야 할 절대적인 필요성 하에서 연합적인 조치를 강구했다.굴림.교회의 단결.굴림교회지도자들이 강구한 첫 번째 조치는 교회들의 연합과 단결이었다. 그들은 철학 사상들과 이단자들의 비진적교리들이 교회 내에 침투되는 것을막기 위하여 교회들이 연합하고 단결함으로서 공동 대처했다. 그리하여 우선적으로 철학사상과 이단들로부터 기독교교회를 구분했다. 이때에 등장된기독교 교회의 명칭이“카토릭교회” 다. 카토릭이란“보편적”이라는 의미적용어이지만“전체에 의하여”라는 의미적 용어이기도 하다. 따라서카토릭교회라는 명칭은“전체에 의한교회를 의미하는 것으로서 즉모든 사도들의 전체적인 증언에 의한 교회를 의미하는 것이다], 긍정 텍스트 확률 : 89.48%"
"[신앙적], 긍정 텍스트 확률 : 51.25%"
"[질서들을 바르게 세웠다.굴림.교훈.굴림우리는 기독교 교리에 대항하는 각종 철학 사상들과 이단들의 공격 및 그들의 분당과 분파 과정을 지켜보면서 그들의 주장들과 활동이 하나님의기독교 역사에 미치는 영향과 그들의 결국을 통하여 많은 것을 보고 배우고 깨닫게 된다.굴림영향.굴림철학자들의 사상들이나 비진리적 이단자들의 교리가 시도 때도 없이 교회를 위협하였던 것은 사실이나 그들은 결코 교회에 나쁜 영향을 끼치지는못했다. 물론 그들의 비진리적 교리들의 범람으로 인하여 많은 사람들이 미혹 당하고 그리하여 비진리와 오류에 빠졌으나 그것은 일시적이거나 지엽적인것에 불과했고 그들의 활동은 오히려 교회가 신학적], 긍정 텍스트 확률 : 99.63%"
"[비상식적], 긍정 텍스트 확률 : 66.23%"
"[신앙적 차원에서도 거부되었지만 도덕적], 긍정 텍스트 확률 : 57.10%"
"[윤리적인 면에서도 지탄받아 마땅한것들이기 때문에 사회적 차원에서도 당연히 책망 받았다. 저들의 주장들과 저들의 활동 중에 특히 두드러지게 나타나는 것은 신비주의적 사상들과행동들이다. 그리고 그것은 좀더 정확하게 표현하자면 신비주의가 아니라 거짓이고 기만이며 사기이다. 때문에 언제나 유효할 수 없었고 당연히 무효로끝났다.굴림개인추종.굴림기독교역사에 등장하는 이단자들은 한결같이 개인을 추종하는 집단적 형태로 존재했다. 그들의 사상이나 교리도 성경적인 것이 아니라 개인적인것에 불과했고 그들의 집단적 운영 형태도 종교 사회적인 것이 아니라 개인 위주의 형태였다. 기독교 사회는 어떤 개인의 사상이나 이념을 추종하는집단이 아니라 오직 하나님의 섭리에 충실하고 충성하는 하나님섭리 중심의 집단적 사회이며 또한 어떤 인간 개인을 추종하는 종교사회적 집단이 아니라오직 하나님만을 섬기고 경배하는 하나님 중심의 사회적 집단이다. 따라서 개인의 사상을 추모한다거나 또는 개인을 추종하는 집단이라면 어떤 경우에도기독교가 될 수없다.굴림파벌형성굴림이단자들의 특성 중 또 하나는 그들은 언제나 전체 기독교 안에 하나의 교회로 존재하기를 거부하고 개인 또는 소수의 무리를 중심으로 하여파벌을 형성하는 분파적], 긍정 텍스트 확률 : 68.79%"
"[분당적], 긍정 텍스트 확률 : 51.25%"
"[하나님의 자녀], 긍정 텍스트 확률 : 52.07%"
"[하나님의 자녀], 긍정 텍스트 확률 : 52.07%"
"[비진리적], 긍정 텍스트 확률 : 51.25%"
"[ 프랑스 갈리아 분유갈리아 액상분유신생아액상분유 파리구매대행 ], 긍정 텍스트 확률 : 53.49%"
"[안녕하세요파리사는 징즈예여 ], 긍정 텍스트 확률 : 75.18%"
"[프랑스에 유명한 갈리아 분유한국엄마들 사이에 압타밀이 유명하던데알고보니 갈리아도 같은 회사더군요 분유는 성분은 똑같다고 생각하면 되요대신 압타밀은 독일 갈리아는 프랑스 나라가 틀려요 ㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 69.93%"
"[프랑스 갈리아분유우리 아가 정말 잘먹어요❤️모유보다 잘먹는다는....ㅋㅋㅋ ], 긍정 텍스트 확률 : 91.90%"
"[첨에 프랑스 병원에서 줫던 액상분유예요너무 잘먹고 잘싸고 잘자줘서 병원나오자마자 약국에서 바로 구입했어요다른 후기들 보시면 알겠지만 변안좋은 울아기들 갈리아 분유먹고 황금똥쌋다며 후기들이 아주 좋아요 ], 긍정 텍스트 확률 : 96.89%"
"[갈리아분유이렇게 일회용으로 되어있어서외출할때 편한건 물론이고너무 위생적이예요 ], 긍정 텍스트 확률 : 89.50%"
"[이렇게 일회용으로 되어있어요 ], 긍정 텍스트 확률 : 67.13%"
"[지금도 모유수유하긴 하지만 밖에 나갈때는 이 액상분유 가지고 다니면서 먹이고 있어요 ], 긍정 텍스트 확률 : 50.04%"
"[갈리아 액상분유우리 아기가 먹을건데 좋은거 먹이자구요 ], 긍정 텍스트 확률 : 79.78%"
"[ 지후의 분유아이엠마더], 긍정 텍스트 확률 : 52.07%"
"[지후가 토를 잘해서 엄마욕심에 여태 바꾸어 먹은 분유는 무려 가지 가지... 이게 오개월 동안 바꾼 분유 .. ], 긍정 텍스트 확률 : 89.46%"
"[아이엠마더코알라 갈리아 노발락산양씨밀락 센서티브다시 노발락 유기농 궁], 긍정 텍스트 확률 : 77.16%"
"[그런데 웬걸 토를 더 많이하고... 분수토도 몇번 ㅠ ], 긍정 텍스트 확률 : 93.72%"
"[그런데 소아과 원장이 당장 바꾸라며..? 왜 난 토 안하니 좋은데... ], 긍정 텍스트 확률 : 59.00%"
"[분유가 진짜 껄쭉 하다. 그래서 젖꼭지로 잘 나오지도 않고 배고플땐 지후가 성질내고], 긍정 텍스트 확률 : 51.14%"
"[원장이 애 성격 버리겠다면서 먹이는거 보고 당장 바꾸래서... 바꿈 ㅠㅠ ], 긍정 텍스트 확률 : 50.19%"
"[토를 잘하는 아기를 위한 특수분유 노발락. 병원 원장이 추천해줘서 삼 ], 긍정 텍스트 확률 : 86.50%"
"[살 잘찐다는 후기들.. 하지만 또 병원가서 이번에는 뭘로 바꾸엇냐고 그래서 산양으로 바꿧다니 ], 긍정 텍스트 확률 : 70.15%"
"[힘주면서 싸는거 아직도 표정이 생생하다. 처음봤던 표정 귀여웠지만 또 안타깝고 그랬다는 ㅎㅎ ], 긍정 텍스트 확률 : 99.17%"
"[씨밀락은 또 살찐다는 분유라고 하길래.. 꼭 먹여보고 싶어서 ㅠ 카페에서 일단 누가 판다는 글 보고 ], 긍정 텍스트 확률 : 84.14%"
"[다시 노발락 미안해 찌후양 ], 긍정 텍스트 확률 : 70.83%"
"[노발락 먹이다가 차차 괜찮아져서 진짜 마지막으로 바꾸자아...노발락은 특수분유니까아.. 계속 먹일 순 없어 ], 긍정 텍스트 확률 : 77.70%"
"[오만가지 다 먹여놓고.ㅎㅎ], 긍정 텍스트 확률 : 83.44%"
"[카페에 글도 많이 올려보고 사람들이 시간 지나면 안한다고 많이 했었는데], 긍정 텍스트 확률 : 68.74%"
"[다행이고 다행이다 ], 긍정 텍스트 확률 : 57.36%"
"[변도 황금변이고 ㅎㅎ토 냄새는 나지만 ㅎㅎ ], 긍정 텍스트 확률 : 92.39%"
"[흑흑 이거는 갈리아 껄쭉한 분유 처음 먹일때 지후 표정 ㅜㅜ ], 긍정 텍스트 확률 : 53.79%"
"[지후도 토 많이해서 고생이 많았지 ㅠㅠ ], 긍정 텍스트 확률 : 81.43%"
"[연예인들 뷰티잇템으로도], 긍정 텍스트 확률 : 66.72%"
"[아벤느프랑스약국화장품으로프랑스 여행가면 꼭 선물로 사온다는제품 중 하나인데], 긍정 텍스트 확률 : 88.78%"
"[노발락갈리아 분유까지 인기있는 품목들부터직구로만 구할 수 있는 제품들까지다양하게 마련되어있었어요. ], 긍정 텍스트 확률 : 69.95%"
"[프랑스 온천수가 함유되어있어피부를 촉촉하게 유지해주고편안함을 준다는 ], 긍정 텍스트 확률 : 72.75%"
"[어른부터 아이까지], 긍정 텍스트 확률 : 75.68%"
"[온가족데일리케어 보습제], 긍정 텍스트 확률 : 71.82%"
"[로션타입이지만 고영양], 긍정 텍스트 확률 : 70.99%"
"[고보습이라], 긍정 텍스트 확률 : 50.47%"
"[발랐을때 느낌이 꽤나 오래가는편], 긍정 텍스트 확률 : 89.03%"
"[향이 꽤나 강한편입니다. ], 긍정 텍스트 확률 : 72.20%"
"[바를 수 있어 좋았고], 긍정 텍스트 확률 : 88.94%"
"[느껴지는 반짝반짝한 광채], 긍정 텍스트 확률 : 67.62%"
"[건조할땐 늘 오일과 크림을 섞어서], 긍정 텍스트 확률 : 56.15%"
"[요즘 상당히 건조한 다리에도꼼꼼하게 발라주었어요. ], 긍정 텍스트 확률 : 89.11%"
"[다리는 관리를 조금만 소홀해도굉장히 건조해지더라구요.특히 여름내내 제모를 하다보니더욱 민감해진 피부에 아벤느 로션듬뿍 발라 롤링해주니 금세 흡수되었어요. ], 긍정 텍스트 확률 : 96.30%"
"[발림성은 물론이고], 긍정 텍스트 확률 : 69.54%"
"[흡수력도꽤나 좋아서 화장품 바를 시간 없다는육아맘에게도 딱 이었답니다.], 긍정 텍스트 확률 : 83.60%"
"[ 원래 메뉴는 검은콩 비빔국수였는데], 긍정 텍스트 확률 : 73.71%"
"[콩이 삶기긴 삶겼는데 으스러질만큼은 아니라 확실히 갈았는데도 알갱이가 있다 ㅠㅠ 잘 안먹을까봐 너무 걱정... 바나나 한개 먹으려고 뜯다가 옆 바나나까지 껍질이 뜯어져서 개씩 나눠서 급 레시피 변경해서 넣었음.ㅎㅎ 여태 만든 이유식 중 제일 자신없는 이유식에 꼽혀서 걱정했는데 너무 맛있게 잘먹었대서 감동..ㅠㅠ 일부터 이유식 한 것 중에 옥수수 들어간 이유식만 안 먹음 그래 옥수수 먹지마먹지마], 긍정 텍스트 확률 : 99.92%"
"[낮이유식 아이주도이유식 중 소고기두부전. 단호박이랑 감자도 같이 서브하려고 했는데 단호박], 긍정 텍스트 확률 : 76.27%"
"[올리브유 코팅한 팬에다가 구워줬다. 전도체인 기름이 없어서 그런지 익는데 시간이 항상 오래걸려서 팬에다 물을 붓고 뚜껑 덮어 찌듯이 익혀줬더니 훨씬 촉촉하고 눌러붙지도 않고 잘 익었다. 팁 준 엄마 땡큐단호박 좋아하는 아가가 소고기두부전을 훨씬 더 잘 먹었다는 후기. 남김없이 쓱싹], 긍정 텍스트 확률 : 95.71%"
"[ 컬리에서 그릭요거트를 한번 사보았다. 아침에 새벽같이 일어나는 날엔 수유시간까지 배고파해서 이날도 아침간식으로 조금 덜어줘봤는데 정말 잘 먹음. 생크림보다 좀 더 꾸덕한 질감이라 먹기엔 좀 힘든 듯함. 씨 있는 과일은 돌 전후로 주는게 좋다했는데 주말에 호텔에서 키위를 두스푼 줘봤더니 잘 먹는데다 제일 중요한 알러지가 없어서 간식으로 조금씩 주고 있다. 잘 먹는다. 이뿌다. 좀 더 다양한 과일을 접하게 해주고 싶다. 덧붙여], 긍정 텍스트 확률 : 82.81%"
"[어머님이 이제 치즈를 매일 반장씩 간식으로 먹여야하지 않냐고 하시길래 짧은 영양학적 지식을 동원하여 자료를 찾아보았다. 보건복지부한국인영양섭취기준 자료상 칼슘충분섭취량나트륨지금 먹는 갈리아분유 하루전후로 섭취하고 있어 하루 섭취 총량이 칼슘나트륨칼슘은 충분히 섭취하고 있음을 파악했다.기타 이유식에서도 추가 섭취하는 셈이니 칼슘은 더 이상 안먹여도 된다고 판단되었다. 아기치즈여도 나트륨 함량이며 단백질 과다섭취로 인한 신장기능 무리가 우려되어정말 생각날때 한번씩만 주는 편인데 매일에서 나오는 아기치즈 반장 섭취시 추가 칼슘나트륨 이 섭취되니 칼슘은가까이가 초과섭취되고 나트륨은 괜찮다. 칼슘은 과다섭취될 경우 변비가 발생할 수 있고], 긍정 텍스트 확률 : 87.24%"
"[신장 질환을 초래할 수 있다. 게다가 단백질도 현재 고기며 두부], 긍정 텍스트 확률 : 71.08%"
"[ 영아산통 이 무엇인지 전반적으로 알아보았다. 프랑스에서 통용되는 ], 긍정 텍스트 확률 : 64.92%"
"[ 그렇다면 이 기간 동안 무엇을 먹이면 좋을까?], 긍정 텍스트 확률 : 79.05%"
"[ 우리 아이의 경우 가지 종류의 ], 긍정 텍스트 확률 : 80.42%"
"[ 그러니까 총 주 정도의 기간 동안 가지 분유를 바꾸어 가며 먹였던 것 같다.], 긍정 텍스트 확률 : 82.30%"
"[ 영아산통의 원인과 치료에 대한지난번 포스팅도 그렇고이번의 분유 포스팅도어디까지나 우리 아이의 경우에 한정된 것일 뿐], 긍정 텍스트 확률 : 53.04%"
"[영아산통 치료의 명약은 어디에도 없는 것이 아닐까 나는 생각한다. ], 긍정 텍스트 확률 : 56.67%"
"[ 저 갈리아먹이는데딱히 토냄새가 난다던가그런거없어요], 긍정 텍스트 확률 : 57.10%"
"[혹시 변은 어떤가요?? 갈리아 사놓고서 지금 갈아타기 대기중이에요 이전께 변비끼가 좀 있어서 ㅠㅠ], 긍정 텍스트 확률 : 95.63%"
"[홀레는 쿠팡으로만 살 수 있나요? 코알라가 압타밀이나 홀레 보다 영양분이 많다고 해서 코알라 생각해보고 있었거든요], 긍정 텍스트 확률 : 53.48%"
"[ 저요 ㅋㅋ유로모아랑 보리보리에서 샀던거같아요. 울아기 분유먹일때는 압타밀 푸트라먹였다가 수급이 안돼서 갈리아 갈아탔는데 갈리아도 잘맞아서 끊을때까지 쭈욱먹었어요ㅋㅋ다농에서나온거라는데 압타밀이 다농계열사래요 그래서 성분도 똑같고 그렇더라구요 요즘은 압타밀 푸트라 리뉴얼 됐다는데 요즘꺼랑 똑같은진 모르겠어요ㅠ], 긍정 텍스트 확률 : 92.33%"
"[정보 완전감사해용ㅎ근데 갈리아는 수급이잘되나봐용?], 긍정 텍스트 확률 : 94.91%"
"[아ㅎ감사합니닷ㅎ지금 누트라먹이는데 안맞는거 같아서 고민중이였어요ㅎ갈리아로 갈아타봐야겠어용ㅎ], 긍정 텍스트 확률 : 96.25%"
"[ 구하는거면 구해요게시판으로 이동해주세요], 긍정 텍스트 확률 : 90.65%"
"[아뇨 아직요], 긍정 텍스트 확률 : 81.66%"
"[트롱이확인했고 쪽지보내드렸어요], 긍정 텍스트 확률 : 86.49%"
"[판매되었어요..], 긍정 텍스트 확률 : 62.57%"
"[ 갈리아 분유 먹여보신분들 있나요? 출산준비로 분유좀 사놓으려는데 갈리아에 대한 후기가 없네용..ㅎㅎ ], 긍정 텍스트 확률 : 73.90%"
"[왔어요 왔어요 출산후기가 왔어요오늘은 우리 새우 생후 일째한달이 되서 더 까먹기 전에 기록하는 출산후기아주 긴긴 이야기가 될 것으로 예상되니 시간 없으신 분들은 제 메모만 보세요 ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 66.97%"
"[ 무통맞고 정신차림ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ프랑스 분만실은 걍 수술실처럼 생겼는데저 침대하나와 보호자 의자 하나 그리고 뭐 다른 수술질 집기들.. 끝수술복도 당근 없고 일회용 저 파란 부직포같은걸 입혀줌ㅋㅋㅋㅋ팔에 주사바늘 꼽고 뭐 못먹으니까 포도당같은거? 넣어주고 무통들어가는 길 만들어줌그리고 마취과 스앵님이 오셔서 등에다가 무통관을 넣는데 생각했던것과 달리 넘나 아무 느낌이 안남걱정할 필요 그냥 안 움직이고 가만히 있으면 됨어짜피 마취하고 넣는거라 아무 느낌 안남 그리고 느낌이 나더라고 진통에 비하면 이정도는ㅋㅋㅋㅋㅋㅋㅋㅋ 지나가던 개도 비웃을정도그리고 무통을 안 맞는다거나 고민하는 예비맘들이 있다면..물론 그 전에도 난 이해가 안됬지만 진통을 겪고나니 더 이해가 안되는데 도대체 왜 안맞겠다고 하는건지 진심 노이해무조건 안 맞겠다고 단정하지 마시고 가능성을 항상 열어두세요진통은 증말.. 다시한번.. .개같거든요무통을 맞으니 분정도 후부터 정말 아무 진통이 안 느껴지고 너무 멀쩡해짐다만 다리도 안 움직임ㅋㅋㅋㅋㅋ진통그래프는 막 올라가는데 아무 느낌이 안남하.. 무통천국.... 무통... 너란 녀석...........♥무통은 언제까지 놔주냐고 물어봤더니 출산끝날때가지 놔준단다.. 너무 행복했다 ㅋㅋㅋㅋㅋㅋ어젯밤 시부터 지금 시까지.. 시간동안 잃었던 웃음을 되찾았다 핸드폰할 여유도 생기고 ], 긍정 텍스트 확률 : 61.87%"
"[ 애기보면 진통과 출산의 고통이 싹 없어진다는데.. 그건 아닌것 같구요 ], 긍정 텍스트 확률 : 50.09%"
"[ 여기까지가 엄살왕의 출산후기몸으로 하는건 다 못하는 몸치이자 세상 둘도 없는 쫄보인 내가 자연분만했으면 애기와 산모 둘다 버텨주면 누구나 다 자연분만 할 수 있다 자연분만은 산모의 의지가 제일 중요하다더니 그말이 진짜 맞나봄 왕튼튼이 새우라 걱정 많았지만 흡입기도 있고 전문의도 있고.. 의료진들을 믿으면 할수 있드아이제부터는마떼흐니떼라고 하는 출산병원 박 일 입원기회복시간 시간 후 아빠는 애기랑 같이 입원실로 가고 나는 휠체어에 실려서 사쥬팜이 입원실에 데려다줌이때 앉기가 아팠는데 이때는 그냥 출산한 직후라서 아픈줄 알았음하지만 그것은 힘주면서 다 튀어나온 치핵때문이었다는걸 나중에 알았지휠체어에 앉으면서 내가 누웠던 침대를 보는데 땀으로 시트가 다 젖었고나도 땀범벅아까 후처치할때 의사한테도 물어봤는데 사쥬팜한테 언제 샤워해도 되냐고 다시 한 번 물어보니 바로 해도 된다고 ㅋㅋㅋㅋㅋㅋㅋ 땀 많이 흘렸으니 샤워하고 자는게 더 좋을것 같다고 하네요?ㅋㅋㅋ 한국 조리원에서 들으면 기겁할 소리난 샤워고 나발이고 콜라 한 병 원샷하고 싶었는데 병원 매점은 이 시간에 문 닫았고 자판기는 동전만 되는데 딱 몇 썽팀이 모자라는것임 ㅜㅜ 너무 콜라가 먹고 싶어서 부끄러움을 뒤로하고 사쥬팜한테 동전 있음 좀 빌려달라고까지 그랬는데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 동전 없다 그래서 콜라 못 먹었음 흑샤워하기엔 힘이 너무 없어서 그냥 바로 누웠는데아 그리고 샤워하거나 화장실 갈때 사쥬팜이 자기 부르라고 함 무통빨때문에 넘어질수 있다고.. 전혀 어지러움도 없고 다리도 잘 느껴져서 혼자서 걸을수는 있었음엄청나게 피곤했지만 옆에 있는 새우를 보니 너무 귀엽고 신기해서 잠이 안옴 ], 긍정 텍스트 확률 : 88.41%"
"[ 어떻게 이게 내 뱃속에서 나왔지????????물론 새우아범은 이미 골아떨어졌습니다원래 모유수유를 계획하면 바로 젖을 물려야되는데 새우가 잠에 취해서 나중에 하자했고나중에 보모가 다녀갔는데 그때는 내가 잠에 취해서 못했음나는 분명 새우보느라 잠을 자는둥 마는둥 한 것 같은데 힘들긴 힘들었나봄그렇게 아침이 되었고 출산후 첫 식사는 ], 긍정 텍스트 확률 : 83.72%"
"[ 아빠는 집에 가서 필요한 짐도 가져오고 집에서 오매불망 기다리던 새우 할미 할비도 데려왔음 ], 긍정 텍스트 확률 : 83.12%"
"[ 그렇게 또 밤이 지나고밤에 새우가 울어서 매우 당황했지만 손잡고 흔들흔들 해주니 금방 멈췄음다음날에도 어김없이 목욕 ], 긍정 텍스트 확률 : 95.25%"
"[ 아빠는 또 집에 가서 샤워하고 짐 챙기고 엄빠 데리고 오고나는 새우 구경하고 핸드폰 하고 쪽잠도 자고 그랬다모유수유를 시도해보고 싶어서 애기가 울면 한번씩 젖을 물리긴 했음아무것도 안나오는것 같았지만..........새우아범이 가지고 온 내가 만든 우리 아파트 리노베이션 프로젝트를 담은 책ㅋㅋ ], 긍정 텍스트 확률 : 54.30%"
"[ 병원 산모 냉장고 보면 샤퀴트리 짱 많음ㅋㅋㅋㅋㅋㅋ 다들 먹고 싶었나봄모유수유해본다고 젖을 물리긴 하는데 일째 새우 몸무게가 프로 넘게 줄어서 분유보충을 시작하였음 ], 긍정 텍스트 확률 : 98.69%"
"[ 이때 약간 황달기가 있었는데 모유를 제대로 못먹어서 그런듯 ㅜㅜ 분유먹고 바로 괜찮아짐ㅋㅋㅋ ], 긍정 텍스트 확률 : 82.18%"
"[ 우리 엄마 아빠에 나 케빈까지 그 좁아터진 입원실에 바글바글에어컨 안키면 더울정도로 꽉찼음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그렇게 우르르 손님이 왔다가 우르르 빠지고 또 맛없는 저녁 ], 긍정 텍스트 확률 : 97.00%"
"[ 바게트 하나 클리어함짱 맛있었음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 꾸르맛 꾸르맛원래 출산 예정일이었던 일요일이되었고 새우 태어난지 벌써 일 ], 긍정 텍스트 확률 : 74.77%"
