"[블로그에.?힙분유힙분유 에 대한 글을 몇 가지 올렸었어요. 우선 는 센서티브를 먹이다가 힙분유로 갈아탔거든요.], 긍정 텍스트 확률 : 80.04%"
"[ .힙 분유는. 단계 단계 단계 총 종류로 구성되어 있다...단계신생아부터.전분단계전분..단계개월.단계는 전분 두 가지가 있다...단계개월.전분. ], 긍정 텍스트 확률 : 68.15%"
"[ .전분의 차이는 포만감.아무래도 전분이 들어가 있는 게 포만감이 있다..또 소화능력의 차이.소화가 잘 안되는 아이라면 무전분이 아기에겐 조금 더 쉽게 먹힌다... ], 긍정 텍스트 확률 : 89.47%"
"[ 시리얼처럼 봉지에 들어가 있다.통에 들어가 있으면 편하긴 한데], 긍정 텍스트 확률 : 75.84%"
"[ 분유통 녹스는 현상도 있고...한국에서만 분유가 통에 담겨 나온다는 얘기도 들어봄.. ], 긍정 텍스트 확률 : 66.79%"
"[ 이게 제일 유명한데], 긍정 텍스트 확률 : 53.40%"
"[ 그래서 알아본 자주 소분 용기 ], 긍정 텍스트 확률 : 80.42%"
"[ 원이다.두 개 구입해서 번갈아가면서 사용할 예정이다. ], 긍정 텍스트 확률 : 60.69%"
"[ 게워냄도 줄었다.근데 아기가 성장하면서 같이 게워냄도 줄어드는 거라서 딱히 분유 때문이라고는 잘 모르겠다.응아가 황금색이다.전에는 정상 범주의 녹변도 보고 황금 변도 볼 때가 있었지만], 긍정 텍스트 확률 : 89.59%"
"[안녕하세요? 일 된 딸둥이를 키우고 있는 엄마예요. 둥이들은.?독일분유독일분유.?힙힙 을 일쯤부터 먹었어요. 조리원 친구들이 좋다고 먹이기도 했고], 긍정 텍스트 확률 : 71.54%"
"[잘 게워내는 아가들에게 좋은 분유라고 해서 바꾸게 됐죠.힙은 독일 아가들을 위해 만든 브랜드래요. 그래서 타국으론 안 판다는 말에 솔깃했죠.위분유.?요즘대세요즘대세.?요즘트렌드요즘트렌드 분유라는 걸 실감하고 있어요 ], 긍정 텍스트 확률 : 90.33%"
"[저렴한 가격과 빠른 배송 때문에리베맘이라는 네이버 카페에서 많이 구매한다는 걸 알았고 저희도리베맘에서 구매하게 되었어요.리베맘에서 힙 분유를 구매하려면 .?개인통관고유부호개인통관고유부호 가 필요 하니 미리 발급 받아서 준비하세요 독일에서 구매해서 한국으로 보내는 것이기 때문에 로 시작하는 고유부호가 꼭 필요해요🔸리베맘 힙분유 구매하는 방법리베맘 카페에 가입하면 왼쪽 메뉴에서 각 게시판을 볼수 있어요.?힙유기농분유힙유기농분유.?압타밀압타밀.?홀레홀레 세 가지 분유를 살수 있고], 긍정 텍스트 확률 : 96.64%"
"[저는 힙분유를 먹여서 힙 분유를 즐겨찾기 해놨어요], 긍정 텍스트 확률 : 53.93%"
"[ 위 캡처사진처럼 힙 유기농 분유게시판을 선택하면 아래와 같은 글 개 가 나와요. 앞에 말머리를 보면 판매중 이라고 돼 있는데], 긍정 텍스트 확률 : 84.21%"
"[한번은 통 남을때 시켰는데도 빨리 와서 놀랐어요저희는 쌍둥이라서 일에 통 먹어요. 물론 잘 게워내고 못 먹어서 버리는 것도 많지만요😭여튼 리베맘에서 분유를 시키면서 항상 저렇게 핑크 테이프가 붙은 상자가 와요 우체국 택배 기사님은 집 앞에 택배를 놓고 항상 문자로 알려주세요 ], 긍정 텍스트 확률 : 52.69%"
"[단계 부터는 전분무전분 선택할 수가 있어요. 전분이 없으면 소화가 잘 되는 반면], 긍정 텍스트 확률 : 59.73%"
"[전분이 있는 분유에 비해 아가들이 조금 덜 크는 단점이 있다고 해요.저희는 신생아 때부터 잘 게워내고 가끔 토도 해서 무전분으로 쭉 먹이다가], 긍정 텍스트 확률 : 58.04%"
"[최근에 전분으로 바꿔서 먹이고 있어요. .?힙프레힙프레 제일 처음 먹이는 단계는 물에 순식간에 녹아서 넘 편했어요 ㅠㅠ 은혜로운 빛의 속도로 분유가 녹아주니 넘 행복하더라구요. 신생아때나 아가가 어릴때는 분유 먹는 횟수가 잦아서 그런 작은 기쁨이 큰 기쁨이 되거든요😍하지만], 긍정 텍스트 확률 : 53.84%"
"[단계 분유는 프레에 비해 정말 안 녹아요ㅠㅠ 도 물에서도 잘 안 녹기 때문에 미친듯이 흔들어 주세요 근데 신기한건 또 거품이 미세하네요? 🤣🤣🤣 첨엔 거품이 너무 안나서 놀랐어요], 긍정 텍스트 확률 : 95.53%"
"[종이 박스 안에 콘프레이크처럼 은색 비닐에 분유가 들어 있어], 긍정 텍스트 확률 : 82.88%"
"[이미 유통기한이 달 지난 제품이에요 판테놀수딩크림 원형은 특이하게 개봉후 개월 이내라고만 하는데], 긍정 텍스트 확률 : 60.29%"
"[사노산 종 후기는 추후에 또 남길게요.?리베맘리베맘 에서.?압타밀압타밀.?힙힙.?홀레홀레 분유 구매하실 분들은 사노산 무료나눔 이벤트도 같이 신청해 보세요아래 링크를 통해 이벤트 공지글을 확인해보실 수 있어요 힙분유나 리베맘 등에 대해 궁금한 게 있으시면 댓글 남겨주세요. 최대한 자세히 답변 드릴게요😊리베맘 사노산 무료나눔 이벤트 참여하기 🔻🔻 ], 긍정 텍스트 확률 : 97.64%"
"[사은품까지너무너무 좋아요상담은... 분유에 관한 모든 질문은 다 답해주세여그래서 너무 좋아요.. ..], 긍정 텍스트 확률 : 82.12%"
"[...?분유는 여러고민끝에 모유와 비슷하고 모유먹다가 분유먹으면 변보는게 좀 힘들어 지기도 한다는데 힙분유는 황금변분유로도 유명힙분유로 선택하고 직구주문처를 고민하던 결과많이들 이용한다는 리베맘으로 선택 ....... .......? 본문 이미지주문한지 딱일만에 도착주말이 끼어서 좀 늦으려나 했는데 일찍도착요즘은 정말 직구가 직구같지않다누가봐도 롱롱이 맘마왔다고 표시로 핑크색리베맘테이프가🤗 ....... .......? 본문 이미지단계 전분 힙분유우리나라에 수요되는 힙분유는 전분이 없다는데 독일 직구분유는 전분이 있는 거 없는 거 선택하여 주문이 가능하다롱롱이는 전분있는 분유로 초이스🙂 ....... .......? 본문 이미지분유포트 위 서랍장은 롱롱이 맘마로 가득단계 개 남았었는데 단계 통으로 서랍장 채우니 마음이 편해지는구낭직구는 일찍 오긴하지만 가끔 현지 휴일이 끼거나하면 늦어질수 있어서 괜히 불안하다통정도 남았을땐 미리미리 주문한다........ .......? 본문 이미지구정전에 주문해서 구정전에 도착했는데 유통기한이 무진장 길다거의 년후물론 그전에 당근 다먹지만 짧은거보다 당연히 긴게 좋겠죠? ....... .......? 본문 이미지전분단계 성분 표시....... .......? 본문 이미지힙 분유 타는 방법분유안에 스푼이 들어있는데 한스푼당 물을 타면 된다분유를 먼저넣고 타게되면 뒤 설명서처럼 분유넣고 물을 조금씩 더 넣어서 흔들면 원하는 용량에 분유가 타진다구입처 리베맘 .. ..], 긍정 텍스트 확률 : 95.36%"
"[우리션이 이유식은 풀무원 베이비밀 이에요.일단 이유식 이물질 파동때 아무 이물질이 발견되지 않았다고 해서 선택하게 되었어요 갠적으로 아무래도 대기업이라 이물질이 나왔어도 숨길수도 있겠구나하는 생각도 한적있지만요...ㅋㅋㅋ 의심병 ], 긍정 텍스트 확률 : 93.01%"
"[초기이유식부터 주문해서 먹이려고 했는데 영양사 친구가 말하길 부디 아기의 첫끼니는 엄마손으로 해주라며저의 모성을 자극했죠맞아...울아기 첫 맘마인데그래도 엄마 손으로 해줘야지...ㅠ ㅠ그리하여 초기이유식 몇번은 제가 만들어줬어요마더스고양이아기가 잘먹는 이유식은 따로있다 참고쌀미음 찹쌀미음 애호박 감자 고구마 배요렇게 일씩 먹이고나서 풀무원 베이비밀 시작했답니다.첨부터 시판이유식 먹이려고하시는 맘들은 기본 쌀미음 찹쌀미음 이런메뉴가 준비되어있지 않아서 조금 불편할수 있을것 같아요물론 아기의 첫 식사정도는 엄마손으로 해주면 좋지만그 몇끼니 때문에 이유식 식기도구를 모두 구매해야 한다는 번거로움을 싫어하시는 분들도 있을테닌까요근데 정말 슬픈 이야기는제가 만들어준 이유식보다 시판 이유식을 더 잘먹는다는 것ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 99.74%"
"[ 다른곳들은 초기], 긍정 텍스트 확률 : 71.60%"
"[로 나뉘어서 두가지 재료로 만든 중기 굵은 입자로 가기전 단계가 있던데여기는 초기 이유식 가지 정도 종류로 달동안 먹이다가 바로 중기로 넘어가야 하더라구요아기도 질릴것 같아 개월에는 두가지 섞인 초기 번이 있는 베베쿡 이유식 주문해볼 생각이에요이유식 파동때 머리카락이 나왔다고 하긴 하지만직접해주지 못하니 먹일때 잘 보면서 먹이는 수밖에요 ㅠㅠ부디 잘 먹어주길 바라며ㅎㅎ ], 긍정 텍스트 확률 : 99.77%"
"[ 고소한 우유냄새 인 응가도 반갑고젤 반가운건 아무래도 넘 예쁘게 잘 먹어주는 션이의 모습이겠죠그 모습만 봐도 배가 불러요안먹는 아기 두신 어무님들 홧팅하세요좋은날이 올꺼에요 ], 긍정 텍스트 확률 : 97.67%"
"[완분을 하기로 했으니앞으로 엄마 마음과 몸이 다 편할 거라 생각 했지만일단 젖병 씻고 열탕 소독에 젖병소독기 힘들고요 ㅜㅜ], 긍정 텍스트 확률 : 78.86%"
"[ 또리의 분유 여정은. 남양 임페리얼병원 일. 남양 아이엠마더 조리원 일. 남양 임페리얼집에와서 통], 긍정 텍스트 확률 : 59.41%"
"[그냥 토를 잘 하는 아기임], 긍정 텍스트 확률 : 54.64%"
"[ 매일 브랜드를 좋아하고 유기농이면 더 좋겠지 해서 명작 말고 유기농 궁 선택함], 긍정 텍스트 확률 : 94.17%"
"[그리고 앞으로도 계속 구매할 리베맘 .... ], 긍정 텍스트 확률 : 97.56%"
"[가격 저렴하고리베맘님이 완전 친절하시다 ㅋㅋ분유 바꾸고 그런 질문 카페에 올리기에도 아주 좋다.힙 프레를 선택하게 된 것도 카페에 있는 다양한 글들 보고 선택하게 됨 .다시 분유 여정으로 넘어가서. 힙 프레 통진행중힙 프레로 빨리 바꾸고 싶었으나 ㅠㅠ 크리스마스에 연말연시가 겹쳐서배송 불가한 시기가 꽤 길었다. 그래서 유기농 궁을 강제로 더 먹였다해외 분유 직구로 해서 먹이려면 정말 미리미리 신경 써야 함.. 리베맘에서 구매한 힙프레오스트리아산도 있는데 뭔 큰차이냐 싶어서 독일내수용으로 구매했당 ㅋㅋ], 긍정 텍스트 확률 : 97.31%"
"[통 구매 했는데 박스채로 아주 잘 도착 이번에 바뀐 패키지다 여전히 유기농 분유임힙 분유는 종이 박스라서 ㅜㅜ 가장 큰 문제가 통 구하기 ], 긍정 텍스트 확률 : 94.94%"
"[어디서 본 건데 진짜 유용 ], 긍정 텍스트 확률 : 67.92%"
"[ 힙 프레를 먹이면 밤수 부활 할까..?ㅋㅋ ...], 긍정 텍스트 확률 : 71.15%"
"[힙 프레 먹으시고도 잘 주무신다. ], 긍정 텍스트 확률 : 52.25%"
"[고마워...ㅋㅋ], 긍정 텍스트 확률 : 52.52%"
"[리베맘 구매를 완전 추천한다 독일 분유에 대해 궁금한거 있으면 카페 이용하시길 알고있는 유일한 독일어가 ], 긍정 텍스트 확률 : 93.45%"
"[이히 리베 디히...인데 ㅋㅋㅋ 사랑맘이신듯내 돈 주고 먹여본 분유 후기 글입니다. ], 긍정 텍스트 확률 : 83.59%"
"[수입 분유 바람이 분다 호주 위 브랜드도 상륙 예고], 긍정 텍스트 확률 : 71.38%"
"[배앓이에 특효? 수입분유 바람이 분다. 저출산 여파로 국내 분유 시장 규모가 점차 줄어들고 있지만 수입 분유 시장은 반대로 더 커지고 있다. 차별화된 영양 성분을 앞세워 엄마들 사이에서 입소문을 타면서 매출이 점차 증가하고 있다. 최근 업계에 따르면 이마트의 올해 월부터 월까지 수입분유 매출은 지난해 같은 기간에 비해 . 급증했다. 전체 분유 매출에서 수입분유가 차지하는 비중도 년 에서 지난해 .로 상승한데 이어 올해에도 .까지 치솟았다.이마트는 독일 유기농 영유아식 브랜드 힙을 비롯해 노발락], 긍정 텍스트 확률 : 72.15%"
"[우유를 짜낼 수 있는 특허 기술을 보유했다. 분유 제품 역시 이 기술이 적용됐는데], 긍정 텍스트 확률 : 76.59%"
"[이미 온라인에서는 해당 제품을 해외에서 직접 구입해 사용한 후기 글을 쉽게 찾아볼 수 있다.이처럼 수입 분유가 국내에서 영토를 넓히고 있는 것은 부모들의 기준이 점차 까다로워졌기 때문으로 풀이된다. ], 긍정 텍스트 확률 : 83.13%"
"[실제로 온라인에서는 같은 브랜드의 분유 제품일지라도 현지 내수용으로 판매되는 제품과 한국에서 판매되는 제품이 어떻게 다른지], 긍정 텍스트 확률 : 58.29%"
"[영양성분 등을 구체적으로 비교·분석한 글을 쉽게 찾아볼 수 있다. 업체에서도 맘카페 등을 중심으로 관련 문의에 댓글을 달며 적극 대응에 나서고 있다. 저출산 영향을 직접적으로 받고 있는 국내 업체들은 수입 브랜드의 잇따른 진입에 신경을 곤두세우고 있다. 가뜩이나 규모가 줄어들고 있는 국내 분유 시장에 경쟁자가 많아지고 있기 때문이다. 중국발 사드 사태로 급감한 수출이 점차 회복되고 있지만], 긍정 텍스트 확률 : 79.76%"
"[여왕의 품격 기사 보러 가기], 긍정 텍스트 확률 : 54.08%"
"[ 아기 힙 분유 강추후기유로짱 ], 긍정 텍스트 확률 : 93.84%"
"[안녕하세요 엘이에요분유 유목민이던 제게 한줄기 빛 같았던 힙 분유 소개해드리려구요울애기는 힙 분유먹고 황금변], 긍정 텍스트 확률 : 71.48%"
"[단계 무전분 먹였어요 돌지난 지금도 몸무게 작은아기라 함께 하고 있어용ㅋㅋㅋ ], 긍정 텍스트 확률 : 80.47%"
"[입자가 고운 프레.찬물에도 잘 녹아요🙋♀️스푼당물입니다 ], 긍정 텍스트 확률 : 71.18%"
"[갤쯤 늦게 먹였는데워낙 깨작이 아기라 살은 많이 안찌지만..ㅠㅠ더 방황하기 전에 빨리 먹일걸...지금 아기는 건강히 잘크고있어요전 완전 만족요ㅋㅋㅋ분유 고민하시는 분 힙분유 직구달리세용.... ], 긍정 텍스트 확률 : 74.98%"
"[구매처에요💕💕혹 힙분유말고도 압타밀], 긍정 텍스트 확률 : 79.99%"
"[ 홀레 외국분유는 배송가능하니 가입하시면 분유상담도 해주신답니당유로짱님 진짜 친절하셔요...전 매번 도움받고 분유구입하고 저렴하기도하고일후면 배송받을 수 있더라구용호바기는 돌 지나서..이제서야 단계전분], 긍정 텍스트 확률 : 99.60%"
"[ .?신생아신생아.?돌아기돌아기.?분유추천분유추천.?힙분유힙분유.?유로짱유로짱 .?압타밀압타밀.?홀레홀레.?독일분유독일분유 .?바이오가이아바이오가이아 .?프로푸트라프로푸트라 .?프로누트라프로누트라.?독일직구독일직구 .?유산균유산균.?육아블로거육아블로거 ], 긍정 텍스트 확률 : 97.70%"
"[어깨 등에무리가 갈 수 있어요 이럴 때], 긍정 텍스트 확률 : 60.96%"
"[포대기를비교·분석 해보는 시간 가져보도록 할게요맘스홀릭에서 준비한 특급정보지금부터 함께 살펴 보아요], 긍정 텍스트 확률 : 87.73%"
"[아기띠는 개월개월 시기의 아기를 안아줄 때 사용하기 좋아요.아기와 함께 외출 할 때], 긍정 텍스트 확률 : 52.78%"
"[이용하게 편한 제품이에요 약 아기], 긍정 텍스트 확률 : 87.90%"
"[이 넘었더라도 목을잘 가누지 못하는 아기의 경우신생아패드를 이용해 주세요. 신생아패드는 신생아들의 척추 발달을 고려해아기띠나 유모차 등에서 사용하는 시트에요.신생아패드를 이용하면 아기의 목과 허리를 받쳐주어 편한 자세를 유지할 수 있어요. ], 긍정 텍스트 확률 : 89.14%"
"[앞보기를 원한다면 겸용제품 구매아기띠를 착용하면 아기가 엄마 품을볼 수 있게 되어있는 제품이 많아요. 요즘에는 옆보기], 긍정 텍스트 확률 : 63.90%"
"[앞보기 등이 가능한제품들도 있으므로 상황에 따라 변형해사용할 수 있는 겸용제품을 골라도 좋겠죠?끈 조절이 편리한 제품사용기간이 긴 아기띠는 아이의 성장에 맞춰길이 조절을 할 수 있는 제품이 좋아요.착용이 쉬운 제품아기띠는 혼자서도 쉽게 착용할 수있는 제품을 고르는 것이 좋아요. 쉽게 착용하고 벗을 수 있는 제품이어야아이와 함께 외출할 때], 긍정 텍스트 확률 : 84.86%"
"[힙시트는 아기 엉덩이를 걸쳐 앉힐 수 있는제품으로 엄마], 긍정 텍스트 확률 : 62.68%"
"[아빠가 아이를 안을 때팔로만 받치는 것 보다 편해요. 힙시트는 앞보기가 가능해요. 외출할 때 앞을 보겠다며 자세를 바꾸고 싶어하는아기를 안아줄 때 사용하기 좋아요. 하지만 장시간 이용할 경우 허리에무리가 갈 수 있으니 조심해주세요], 긍정 텍스트 확률 : 68.60%"
"[허리 고정 끈 등아기의 무게를 분산시켜줄 수 있는요소가 많은 제품을 골라보세요. 어깨 통증], 긍정 텍스트 확률 : 61.91%"
"[신생아를 안아 올리기에 적합한 슬링슬링은 아기가 뱃속에 있을 때 자세와 비슷한 자세를 취할 수 있어안정감을 느끼게 해 준다고 해요슬링은 아기를 안아서 재워야 할 때], 긍정 텍스트 확률 : 73.79%"
"[ 수유를 할 때 사용하기 좋은 제품이에요.아이를 안을 수 있는 자세가 다양하기 때문에자신에게 맞는 편안한 방법으로 아이를 안아줄 수 있어요.], 긍정 텍스트 확률 : 70.20%"
"[애착 육아에 적합한 포대기는아이를 앞], 긍정 텍스트 확률 : 61.29%"
"[ 아기를 잘 받쳐줄 수 있어요 바느질이 꼼꼼하게 되어있는지 확인 후 구입하는 것이 좋아요. ], 긍정 텍스트 확률 : 85.50%"
"[포대기 모두아기를 안아 줄 때 사용하는 육아템이에요 아기 피부에 직접 닿는 제품들이다 보니민감한 아기 피부에 자극이 가지 않는], 긍정 텍스트 확률 : 60.25%"
"[좋은 소재를 썼는지 꼭 확인해주세요 또한 아기가 쓰는 제품이다 보니위생적으로 이용할 수 있도록], 긍정 텍스트 확률 : 65.87%"
"[세탁방법이 간편한지도 구매 전에확인해주시는 것이 좋아요그리고 무엇보다 중요한 것은 바로 ], 긍정 텍스트 확률 : 65.85%"
"[찬바람 불 때], 긍정 텍스트 확률 : 67.52%"
"[아기와 함께 외출을 하고 싶지만찬바람이 불 때], 긍정 텍스트 확률 : 76.50%"
"[사용이 편리한 제품아기와 함께 외출할 때쓰는 제품인 만큼 사용이편리한 것이 좋아요시중에 판매중인 아기띠], 긍정 텍스트 확률 : 60.34%"
"[다양한 제품들의 ], 긍정 텍스트 확률 : 50.31%"
"[포대기 이중에 여러분이 선택한 제품이 있다면 어떤 기준으로 골랐는지 예비맘], 긍정 텍스트 확률 : 54.60%"
"[초보맘을 위해 구매팁 을 공유해보는 것은 어떨까요?], 긍정 텍스트 확률 : 52.01%"
"[분유를 먹일 때 등꼭 필요한 육아용품 젖병아기 젖병 고르는 방법을 자세히 알려드릴게요 ], 긍정 텍스트 확률 : 87.37%"
"[한국소비자원 등무단전재 및 재배포 금지 ], 긍정 텍스트 확률 : 95.14%"
"[ 부모 추천 포스트 입니다. ], 긍정 텍스트 확률 : 89.90%"
"[본 포스트는 육아에 도움을 더하는 참고 자료로 이용해주시면 감사하겠습니다 ], 긍정 텍스트 확률 : 68.07%"
"[국내분유보다 수급은 어렵지만 영양성분도 좋고 가격도 생각보다 저렴하더라구요. 자 그럼 수입분유다보니 어디서 살지 구매처도 검색에 검색.가장 가격대가 저렴하고 안정적인 곳을 찜해놓고. 어차피 완분으로 먹이면한통 일주일 안에 다 먹을테니 최대 주문가능한 통을 샀어요.], 긍정 텍스트 확률 : 93.81%"
"[같이 들어있는 작은 파란 숟가락.기존에 먹던 국내분유보다 사이즈가 조금 작아요. 스푼 스푼에 가 나와요.힙분유로 바꾸기 전에는 혼합수유할 때 산양분유를 먹이고 있었는데요], 긍정 텍스트 확률 : 50.57%"
"[ 살짝 흔들어도 뭉치고 남아있는게 거의 없어요. 여러모도 분유 힙으로 바꾸길 잘한것 같아서 저는 돌 전까지 힙으로 쭉 먹여볼 생각입니다.위에 가지 골고루 시킨 것중에 만 먹여봤는데를 좀더 사서 몇통 더 먹이고 단계를 넘어가야할 것 같아요.그래도 단계에 전분 무전분 옵션을 선택할 수 있어서 그점도 좋은 것 같아요. 제가 구매한 곳은 리베맘 이라는 독일 구매대행 카페예요. 구매하고 후기 올리면 다음에 할인도 많이 해주셔서], 긍정 텍스트 확률 : 99.91%"
"[초보엄마 출산준비물 리스트], 긍정 텍스트 확률 : 53.00%"
"[출산을 앞둔 예비맘들이라면아기를 위한 모든 준비물을 갖추고 싶어할텐데요. ], 긍정 텍스트 확률 : 80.40%"
"[하지만 초보 엄마라면 특히 무엇이 필요한지 막막해지곤합니다. ], 긍정 텍스트 확률 : 97.20%"
"[그런 엄마들을 위해 준비했습니다.아래 열거하는 모든 물품을 꼭 준비할 필요는 없습니다.아이를 낳고 출산을 해보니 요즘은 택배서비스가 잘 되어 있어그때그때 인터넷으로 주문해도 이면 도착하니까요고민되시는 물품이지만 바로 주문할 수 있다면 출산후 준비하셔도 무방합니다.수유분유], 긍정 텍스트 확률 : 97.03%"
"[ 공통 수유쿠션 수유등 수유쿠션은 초보 엄마의 경우 특히 아기가 모유를 안정적인 자세로 먹일 수 있는 환경을 제공해줍니다. 자세를 잘 몰라 아기를 너무 눕힐 경우 중이염이 발생할 수 있으므로 일정각도 세워 수유할때 쿠션을 이용하면 편안하게 수유할 수 있어요. 수면등은 집에서 밤 수유시 전체 불을 켜지 않고도 먹일 수 있어 유용하므로 꼭 챙겨두세요.. 모유수유시 ], 긍정 텍스트 확률 : 99.35%"
"[종합병원에따라 다르며 개인병원은 공용으로 사용하는 경우가 많아 따로 준비하지 않지만 종합병원의 경우 개인적으로 꼭 준비해야하는 물품입니다. 병원에 따라 준비하시고], 긍정 텍스트 확률 : 59.46%"
"[수유브래지어◎ 앞으로 여미는 형태의 수유용 브래지어를 준비해주세요. 모유수유시 편리하게 수유할 수 있습니다.], 긍정 텍스트 확률 : 74.81%"
"[◎ 수유패드는 일회용과 세탁해 여러번 사용할 수 있는 다회용 수유패드가 있습니다. 출산 패드를 넉넉히 준비해 가져가는 것이 좋습니다.. 분유수유시], 긍정 텍스트 확률 : 57.88%"
"[젖병작은것 신생아의 경우 작은 젖병으로 충분합니다. 어차피 쓰게 될 거 큰 분유병을 준비하시는 분들도 있지만 그럴 경우 작은 양의 분유를 타면 공기층이 많아져 아기가 배앓이 할 수 있어 용량에 맞게 신생아의 경우 작은 젖병을 이용합니다.], 긍정 텍스트 확률 : 83.32%"
"[분유 미리 준비하지 않고 병원에서 사용했던 분유를 그대로 사용하는 경우가 많으며 아기가 커 갈수록 분유를 바꾸는 경우 두 분유를 일정량 섞어 바꾸기 때문에 나중에 준비해도 되는 물품입니다.], 긍정 텍스트 확률 : 77.38%"
"[몇시간 이상 같은 온도로 유지 시켜주는 기능도 잘 되어 있어 가장 자주 사용하는 물품입니다.젖병 세정제세척솔 젖병의 경우 어른들이 사용하는 세정제와 따로 전용 세정제와 세척솔을 이용해 세척하므로 준비해둡니다. ], 긍정 텍스트 확률 : 99.58%"
"[보온병분유포트를 사지 않는 경우 끓인 물을 보관시 유용하게 쓰이며 외출시 분유를 타기 위해 끓인 물을 보관할때 필요합니다. 의류 용품], 긍정 텍스트 확률 : 85.32%"
"[배냇저고리 배냇 저고리의 경우 많으면 좋지만 사이즈가 작아 초기에만 입고], 긍정 텍스트 확률 : 75.82%"
"[입원시 병원에서 제공해주며 퇴원시 엄마가 준비한 배냇 저고리를 입고 퇴원합니다. 자주 세탁을 한다면 많은 양이 필요하지 않고], 긍정 텍스트 확률 : 74.88%"
"[지인들에게 선물 받는 경우가 많아 따로 많이 사두지 않아도 상관없습니다.], 긍정 텍스트 확률 : 80.57%"
"[외출복 신생아의 경우 외출을 하지 않는 편이므로 따로 필요 없으며], 긍정 텍스트 확률 : 50.51%"
"[속싸개겉싸개 속싸개의 경우 많을 수록 좋은 물품 중에 하나입니다. 아기의 모로반사로 속싸개로 손과 발을 싸게되는데 그때 자주 갈아주는 것이 속싸개입니다. 겉싸개의 경우는 퇴원시], 긍정 텍스트 확률 : 91.35%"
"[손수건 아기 손수건의 경우 많이 필요한 물품 중 하나입니다. 많을 수록 좋으며 세수나 목욕후 살짝 닦아줄때 쓰며 수유시 아기 입 주변 우유를 닦아 낼때 자주 쓰며], 긍정 텍스트 확률 : 90.35%"
"[자주쓰고 자주 빠는 물품중 하나입니다.], 긍정 텍스트 확률 : 51.08%"
"[신생아양말모자 아기가 집에만 있다면 많이 쓰지 않습니다. 이미 속싸개로 발을 감싸고 있고], 긍정 텍스트 확률 : 60.64%"
"[미리 살 필요는 없는 물품으로 필요할때 그때그때 구입해도 무방한 물품입니다. 모자의 경우 겨울출산의 경우 필수이며 퇴원시 아기 머리가 노출되어 씌우고 집으로 귀가합니다. 하지만 다른 계절의 경우 얇은 모자 한개면 충분합니다.], 긍정 텍스트 확률 : 99.56%"
"[손싸개발싸개 일반적으로 속싸개에 둘러싸여 손싸개가 필요없기도 하지만], 긍정 텍스트 확률 : 96.90%"
"[유아용 세제 아기 손수건과 옷을 세탁해야하므로 친환경 유아용 세제를 이용해주세요. 출산 전 아기 옷을 빨래할때 유아전용세제로 빨래해 미리 말려둡니다. 생각보다 아기 빨래가 많이 나올 수 있어요.목욕 용품], 긍정 텍스트 확률 : 81.76%"
"[타월◎ 목욕 후 꼭 필요한 물품입니다.], 긍정 텍스트 확률 : 79.66%"
"[아기욕조◎ 큰 제품을 미리 사두는 것보다 어른 세면용 대야 개면 충분히 신생아를 씻길 수 있으며], 긍정 텍스트 확률 : 92.34%"
"[아이가 커가면서 아이에 맞게 그때그때 주문해도 충분한 제품입니다. 아기 침구류], 긍정 텍스트 확률 : 97.08%"
"[속싸개◎ 가장 많이 사용되는 물품으로 많이 준비할수록 좋은 아기용품입니다. 신생아의 경우 열이 많아 이불대신 대부분 속싸개로 덮어 생활하며 목욕 후 아기를 닦는데도 사용하며 다양하게 이용될 수 있습니다.], 긍정 텍스트 확률 : 87.06%"
"[병원에서 퇴원시 증정하는 경우가 많아 따로 구입하지 않아도 되는 물품입니다. ], 긍정 텍스트 확률 : 56.18%"
"[이불세트 생각보다 필요 없을 수 있는 물품으로 속싸개나 천기저귀로 덮는 경우가 더 많고], 긍정 텍스트 확률 : 72.51%"
"[아기띠포대기힙시트 신생아의 경우 아기띠], 긍정 텍스트 확률 : 52.07%"
"[포대가 모두 사용할 수 없고 출산 전 준비할 필요가 없으며 출산후 아기가 크며 준비하는 것이 좋습니다.], 긍정 텍스트 확률 : 66.85%"
"[생각보다 빨리 자랍니다. 뾰족해 아기 얼굴이 상할 수 있으므로 일주일에 한두번은 자르게 되는데요. 어린경우 손톱깍이보다 손톱 가위가 유용하며], 긍정 텍스트 확률 : 56.25%"
"[가제손수건 가장 많이 사용되는 용품이며 자주 세탁하기때문에 많이 준비할 수록 좋은 용품입니다. 산모용품], 긍정 텍스트 확률 : 89.93%"
"[혈액과 자궁내벽에서 탈락된 점막과 세포], 긍정 텍스트 확률 : 64.17%"
"[자주 갈아주어야 감염을 예방할 수 있으므로 따로 준비하시면 더욱 좋습니다.], 긍정 텍스트 확률 : 95.77%"
"[보통 자연분만보다 제왕절개 산모들이 입원기간 의사들의 추천으로 내내 착용하는 경우가 많습니다. ], 긍정 텍스트 확률 : 88.27%"
"[튼살크림 ], 긍정 텍스트 확률 : 62.91%"
"[세안제], 긍정 텍스트 확률 : 68.11%"
"[ 립밤 등 기초화장품은 미리챙겨두고 나중에 가족들이 병원으로 운반해주는 것이 좋아요.외출용품], 긍정 텍스트 확률 : 65.47%"
