"[우리 아이에게 엄마가 직접만든 이유식을 먹이는게 제일 좋겠지만 여행을 가거나 더운 여름철 외출이 길어질때는 배달이유식도 불안.. 실온이유식], 긍정 텍스트 확률 : 82.06%"
"[ 프락토올리고당과 유당분해 효소는 물론이고성장을 위한 비타민], 긍정 텍스트 확률 : 59.37%"
"[ 하루 권장량은 회로 물이나 이유식에 타서먹이면 되는데 무적이는 첫수와 막수에 한 번씩총 회 분유에 타서 먹이고 있어요.프로바이오틱스는 살아있는 균으로 온도에 민감해요.온도가 너무 높으면 균이 다 죽어버리기 때문에분유 온도가 적당한 것 같더라고요. ], 긍정 텍스트 확률 : 54.64%"
"[ 포에 씩 노란 알갱이들이촘촘하게 들어있어요.저 작은 알갱이에 그렇게 많은 성분들을함유하고 있다니 놀랍기만 합니다분유보다 입자는 큰 편인데 다행히 물에 잘 녹아요 ], 긍정 텍스트 확률 : 78.80%"
"[ 무적이는 유산균을 신생아 때부터 꾸준히먹어서인지 후기 이유식으로 넘어간 지금까지도변비나 잔병치레 없이아주 건강하게 자라주고 있답니다 우리 아이의 장 건강아직 미숙하지만 빠르게 발달하는 중요한 시기이니만큼꾸준한 관리를 통해 면역력도 기르고 튼튼한 장으로자랄 수 있도록 해줘야겠죠? .?아기유산균아기유산균.?비오타민비오타민현명한 엄마의 후회없는 선택이 될꺼예요], 긍정 텍스트 확률 : 82.14%"
"[ 떡뻥을 간식으로 먹게 된다면 물도 반드시 먹여야해요물은 보리차를 먹여야하나 일반 생수를 먹여야하나 고민하시는 분들이 있는데보리차도 차 입니다. 물론 다른 차들처럼 많이 유발하지 않지만 이뇨작용을 한다합니다.그렇기에 돌 지나기 전까진 보리차말고 끓여서 식힌 생수를 주도록 권고하는거예요저는 처음엔 매일유업의 요미요미 떡뻥을 주었어요.매일유업이란 기업윤리가 마음에 들었던 점도 있고], 긍정 텍스트 확률 : 96.95%"
"[ 근데.. 포장지가 리뉴얼되서 타브랜드 떡뻥과 별 다를게 없어졌어요.떡뻥 크기와 맛], 긍정 텍스트 확률 : 87.40%"
"[녹는정도는 맨 아래 다른 제품들과 비교하며 쓸께요.두번째로 구매해본 떡뻥은 질마재농장 떡뻥이어요. ], 긍정 텍스트 확률 : 66.33%"
"[블로그 애정이웃님인 서블리님께서 적극추천해주셨던 떡뻥인데저는 처음에 떡뻥이 거기서 거기라 생각했거든요.그런데 아가반응도 다르고], 긍정 텍스트 확률 : 94.10%"
"[맛 완전히 달라요.저는 이 떡뻥으로 정착했어요.장점으론 . 양이 많다그럼에도 불구 가격은 타사보다 저렴하다. 봉지에 이 들어있어요.다른 떡뻥들보다 독보적인 양이어요.. 떡뻥의 크기 또한 커서], 긍정 텍스트 확률 : 94.32%"
"[ 아 떡뻥도 맛이 다른게 맞구나 확실히 느꼈어요.각각 재료별의 향과 맛이 적절하게 나요.녹는 질감도 침이 닿자마자 부드럽게 사르르 녹아요단점 있어요현 개월인 저희아가는 현재 떡뻥 봉지를 일이면 다 먹지만], 긍정 텍스트 확률 : 76.48%"
"[ 지난 추석때 질마재농장 떡뻥이 똑 떨어졌었어요.ㅠ저희 아가는 떡뻥 매우 좋아하는 아가이기에급히 마트에서 구매해온 일동후디스 떡뻥. ], 긍정 텍스트 확률 : 71.86%"
"[오른쪽이 일동후디스 떡뻥.질마재농장 포장지엔 공기거의 없이 떡뻥이 가득차있었고], 긍정 텍스트 확률 : 87.15%"
"[ 아기떡뻥크기비교질마재농장일동후디스요미요미왼쪽부터 오른쪽순으로질마재농장], 긍정 텍스트 확률 : 82.00%"
"[매일유업 요미요미 떡뻥이어요.요미요미의 경우는 개월 아가손에 잘 잡히는 크기예요.이가 나지 않았을땐 녹여먹기에 오래 먹었는데이가 나니 떡뻥을 끊어먹기 시작했어요.그렇기에 요미요미는 엄청 빨리 먹어요.잘녹는 아기떡뻥질마재농장일동후디스요미요미개월차 저희 아가..요미요미 떡뻥 먹으면서 위험해 보였던게..어느정도 녹여먹은후 마지막쯤 큰덩어리를 한입에 넣고 우물거려요.그런데.. 이게 엄청 잘 녹는게 아녀서아가 목에 걸려서 엄청 켁켁거리고 난리였었어요], 긍정 텍스트 확률 : 94.81%"
"[고구마와 단호박 완전 강추입니다.처음엔 종류별로 구입을 했었으나], 긍정 텍스트 확률 : 75.11%"
"[배 이렇게 종류의 떡뻥으로만 재주문하고 있어요. 만원이상 무료배송이라 한달치 봉지를 매달 시키고 있네요.ㅎ아기떡뻥을 비교하겠다 해놓고질마재농장 떡뻥이 좋다 를 계속 말했던거 같네요.근데], 긍정 텍스트 확률 : 94.70%"
"[이건 팩트인걸요.ㅠ아기떡뻥 무얼 먹여야하나 고민이신 이웃님들질마재농장 떡뻥.완전 추천드립니다. ], 긍정 텍스트 확률 : 61.64%"
"[그릇아기 식탁의자 식판 등에뿌려주면 아가가 손으로 하나하나 집어서 오물거리며 먹어요이거 먹으려고 손으로 집는 행동이 아기 소근육발달에 매우 좋다고해요손을 많이 움직이면 두뇌발달에 좋습니다퀴노아는 페루산인게 살짝 아쉽지만아가가 매우 잘 먹는 간식 중의 하나예요추가로. 타 브랜드의 아기 쌀과자를 고르실때 원재료들 잘 살펴보셔야해요. ], 긍정 텍스트 확률 : 98.50%"
"[ 이렇게 설탕이 첨가된 제품도 있고], 긍정 텍스트 확률 : 56.53%"
"[유해논란이 있기도 해요. ], 긍정 텍스트 확률 : 69.00%"
"[우리 개월아기는 조리원에서부터 지금까지 분유를바꾼적없이 잘 지내왔는데 최근에 중기이유식으로이유식을 하면서부터 아기 변비가 심해져서 힘들어하다한번씩은 설사처럼 묽은 변을 보는 우리 아기를 보며장 건강에 좋은 분유로라도 바꿔줘야겠다며 열심히분유를 알아보았다 ], 긍정 텍스트 확률 : 99.67%"
"[ 그리고나서 결정한 개월아기 분유로 일동후디스트루맘 뉴클래스 퀸 단계를 준비한 우리일동후디스 트루맘 뉴클래스 퀸은 올해 새롭게업그레이드 된 제품이기도 하고 무엇보다 엄마의모유와 가장 닮은 분유로 알려진 산양분유와 같은일동후디스 분유여서 눈여겨 보았는데내가 트루맘 뉴클래스 퀸으로 결정하게 된 계기는바로 부드러운 황금변과 튼튼한 장건강을 위한영양설계라는 점이었다아기 변비로 고생하는 우리 딸을 위해 바꿔본트루맘 성장기 분유. ], 긍정 텍스트 확률 : 99.98%"
"[ 일동후디스 트루맘 뉴클래스 퀸 단계는개월아기가 먹는 성장기용 조제식분유로 엄마의 마음을 담아 만들었다는데제품 디자인적인 부분에서도 개봉일을 적을 수 있고캡 안쪽에 위생적으로 스푼을 끼워 보관할 수 있게업그레이드 했다는 부분이 참 좋았다 ], 긍정 텍스트 확률 : 95.39%"
"[ 사이알리롤리고당의 배합과 더불어 장건강을 위해갈락토올리고당과 프락토올리고당의 비율을 로배합하였다고 한다아기 두뇌성분 성장을 위해서는 식물성와아라키돈산균형배합과 타우린 같은 인지질], 긍정 텍스트 확률 : 59.16%"
"[ 무엇보다 후디스 분유는 가두지 않고 드넓은 초지에자연방목되어 사는 젖소의 원유를 이용해 분유를만들기 때문에 스트레스와 질병이 적고 건강한 젖소원유로 비타민], 긍정 텍스트 확률 : 73.71%"
"[베타카로틴 등 영양성분도 많아아이의 성장과 건강에 더 좋은 분유라고 한다그리고 깨끗한 환경의 보잔을 통해 지속적인 건강을추구하는 제품에게 한국표준협회가 부여하는 인증], 긍정 텍스트 확률 : 76.43%"
"[ 로하스 인증도 받은 제품이기도 하여 조금 더 안심이되는 마음이 들기도 했다 ], 긍정 텍스트 확률 : 92.45%"
"[ 우선 우리는 기존의 분유에서 뉴클래스 퀸으로 바꾼것이디 때문에 처음에는 ], 긍정 텍스트 확률 : 86.05%"
"[ 물 로 번 먹이면 된다고 한다우리는 개월아기임에도 불구하고 아직 스푼에물 로 회 정도 먹는 중이라서 차차 회먹는 분유량을 늘리고 횟수를 줄여야겠다는 생각을했던 트루맘 분유 회 사용량이었다 ], 긍정 텍스트 확률 : 89.14%"
"[ 성장기용 조제식 분유이지 원산지 호주에서 생산으로 만들어진 일동후디스 트루맘 뉴클래스 퀸 ], 긍정 텍스트 확률 : 81.76%"
"[ 우리 아기한테 보여주니 신기해하고 관심있어하는모습에 귀엽기도 하고 얼른 분유를 먹여 우리 아기의힘겨운 변비와 묽은 변에서 탈출하기를 바랬던 나는 ], 긍정 텍스트 확률 : 98.06%"
"[ 빠르게 분유를 개봉해보았다ㅋㅋ앞에서 새로 업그레이드 되었다는 캡 안쪽에 스푼을꽂아 위생적인 보관이 가능하다는 것도 확인해보고 ], 긍정 텍스트 확률 : 55.11%"
"[ 물에도 잘 녹을 입자고운 분유가루가 분유 특유의달달하고 고소한 우유냄새를 풍겼다 ], 긍정 텍스트 확률 : 77.76%"
"[ 우리 아기 저녁 분유로 주고자 준비를 했다물론 위에서 언급했듯 개월 아기의 경우성장기용 조제식 분유는 스푼에 라고 하니아기 개월수에 맞추어 분유량을 맞추어 주면 된다 ], 긍정 텍스트 확률 : 66.64%"
"[ 잠자기 전 씻고 나온 우리 아기], 긍정 텍스트 확률 : 67.56%"
"[잠잘 준비 마치고일동후디스 트루맘 뉴클래스 퀸을 먹으며 ], 긍정 텍스트 확률 : 52.01%"
"[ 잠에 빠져드는 모습ㅎㅎ전과 다른 분유라서 일주일간 차근차근 전의 먹던분유와 섞어서 먹이면서 분유를 바꿔주었더니지금은 트루맘 분유만 로 줘도 거부감없이잘 먹고 잘 자는 우리아기다그리고 분유를 바꾸고 나서 아기 변비와 묽은변은눈에띄게 좋아졌다고 할 수는 없는 짧은 시간이지만일만에 변을 보던 아기 변비는 없어지고현재는 조금 힘들어하면서도 일 똥은 꼭 하고 있는우리 아기라서 성장기 분유를 바꾸길 잘한 것 같고미리 미리 잘 알아봐주지 못하고 그저잘먹으니 된거아니냐며 계속 한가지 분유로만먹였던 엄마라 미안한 마음이 들었다앞으로도 우리 아기 건강을 위해 좋은 분유를잘 알아보고 성장하는데 좋은 영향을 주는 것으로잘 챙겨줘야겠다는 다짐과 함께일동후디스 트루맘 뉴클래스 퀸 단계는성장기 조제식 분유 추천제품이라며 중기이유식 후 장건강이나 아기 변비로 고생하는 아기들에게꼭 추천한다며 오늘의 후기는 이만 끝 ], 긍정 텍스트 확률 : 100.00%"
"[이 포스팅은 트루맘스타즈로부터 제품만을제공받아 솔직히 사용 후 작성된 후기입니다], 긍정 텍스트 확률 : 68.77%"
"[ 아기과자라 크기가 더 작거나모양이 다를줄 알았는데 우리가 평소알고있는 모양과 별반 다를것 없었어요 ], 긍정 텍스트 확률 : 74.61%"
"[ 유기농쌀 유기농 시금치분말 그리고 밀가루], 긍정 텍스트 확률 : 70.21%"
"[소금이무첨가], 긍정 텍스트 확률 : 55.91%"
"[ 우리 무적이 생애 첫 과자 먹는모습♡ ], 긍정 텍스트 확률 : 75.46%"
"[ 아기 먹이기전 항상 제가 먼저 먹어보는데 오잉?생각보다 맛이 심심하진 않더라구요 ], 긍정 텍스트 확률 : 78.17%"
"[ 많은 떡뻥중 일동제품을 구입한이유는 잘녹아서 아기가 처음먹기좋다고 해서 구입한건데침에 잘 녹긴 녹는데...단점이 손에 잘 붙어요다른 과자도 손에 붙기는 하겠지만일동 후디스 떡뻥은 잘 녹는만큼손에 찍찍 잘붙는 느낌?], 긍정 텍스트 확률 : 82.35%"
"[ 우리 무적이는 이 느낌이 싫은지떡뻥 먹는걸 안좋아해서다른 과자로 빨리 갈아?탔어요ㅋㅋ그리고 아기가 조금 크면너무 잘녹아서 별로 안좋아한다고하더라구요.일동 후디스 아이밀 쌀과자 는첫 과자 먹일때는 좋은것 같지만], 긍정 텍스트 확률 : 75.84%"
"[ 가지 맛중시금치 가맛이 가장 강해서 괜찮은것같아요다른맛은 너무나 심심 ], 긍정 텍스트 확률 : 86.85%"
"[ .. ★★★★☆만개월이넘은아기가있구요.후기이유식이외에줄수있는아기식사찾다가쌀국수선택했습니다.쌀국수와스프건더기?가비닐포장에각각포장되어있구요.뜨거운물을붓고기다리면부드럽게국수가], 긍정 텍스트 확률 : 86.14%"
"[.◆ 더 많은 구매평 보기 ◆ ], 긍정 텍스트 확률 : 55.96%"
"[제공해드리는 제품은 판매자에 의해 정보변동이 있을 수 있음을 알립니다. ], 긍정 텍스트 확률 : 57.59%"
"[ 일정한 수수료를 받고 제공되는 정보입니다. 쿠팡 파트너스 ], 긍정 텍스트 확률 : 52.67%"
"[일동후디스 아이밀냠냠 유기농 쌀과자 떡뻥 ], 긍정 텍스트 확률 : 50.77%"
"[식품의 유형], 긍정 텍스트 확률 : 52.07%"
"[원재료명 및 함량], 긍정 텍스트 확률 : 52.23%"
"[ 현재 검색된 평은 ], 긍정 텍스트 확률 : 53.83%"
"[ 검색된 후기 ★★★★★..아들이 너무 좋아합니다ㅋㅋㅋ구매이유는 이유식 시작하면서 같이 먹이려구 구매했습니다리얼후기●●●●●●총 봉지 구성입니다□■□■□■□■□■□■□■□■□■□■제품 ....더보기 ], 긍정 텍스트 확률 : 94.62%"
"[ 검색된 후기 ★★★★★..개월 여자아이를 키우는 집입니다. 아이에게 간식은 행복이자 웃음이자 즐거움입니다. 모든 기쁨을 표현하는거지요. 또한 아이를 기분 좋게 만들어 주는 하나의 방법이...더보기 ], 긍정 텍스트 확률 : 96.96%"
"[ 검색된 후기 ★★★★★..만 개월 아기 후기입니다.제가 무얼 먹을 때마다 아기가 항상 쳐다보며 입맛을 다시길래 과자를 한 개 씩 줘보면 어떨까 해서 구매했습니다.사과맛], 긍정 텍스트 확률 : 66.77%"
"[ 검색된 후기 ★★★★★..개월 아이에게 간식으로 먹일 떡뻥을 알아보다가 구입하게 되었습니다. 지금은 선물로 받은 베베 제품을 먹이고 있는데 잘 녹지 않고 약간 거칠거칠한 느낌을 받았습...더보기 ], 긍정 텍스트 확률 : 57.16%"
"[ 검색된 후기 ★★★★★... 구입 이유아기가 곧 만 개월이 되는 일째 아가입니다. 장난감이며 사운드북이며 뭐든지 입에 넣으며 세상을 배우고 있어요. 이유식이나 분유나 모유나 다 ...더보기 ], 긍정 텍스트 확률 : 62.37%"
"[시간 경과에 따라 일부 내용에 차이가 있을 수 있습니다.해당 포스팅은 대가성 광고가 포함된 것으로 쿠팡 파트너스사로부터 일정액의 수수료를 제공받고 있습니다. ], 긍정 텍스트 확률 : 84.99%"
"[식약처 직원은 도울 수 있는게 없어서 죄송하다. 어떤 심정인지는 이해가 간다. 그럼 원인불명으로 결론지어도 되겠느냐. 해서 그러라고 하고 끊었다. ...결론은? 식약처가 문제였다는 이야기. ..... .?일동후디스산양분유일동후디스산양분유산양분유이물질분유이물질일동후디스고객센터분유갈아타기후디스산양분유. ], 긍정 텍스트 확률 : 65.57%"
"[...아기가 이유식을 시작하면서 이유식 외에 간식을 주고 싶은데 어떤 간식이 좋을지 고민이 많았어요.내아이가 먹는거다 보니까 성분 하나하나가 신경쓰이더라구요.그래서 선택한 년 전통의 일동후디스 대표 영.유아식 브랜드인 아이밀 냠냠.아이밀 냠냠은 유기농 원료를 사용하고 성장기에 필요한 칼슘], 긍정 텍스트 확률 : 87.35%"
"[비타민 등을 골고루 담은 .일동 후디스에서 나온 유아간식이니까 믿고 먹일 수 있어요... ], 긍정 텍스트 확률 : 79.12%"
"[야채 총 종류가 있어요.첫째는 카레가 먹고 싶다고 해서 .아이밀 바로먹는 소스를 저녁으로 먹어봤는데요.바로먹는 소스는 말 그대로 데우지 않아도 바로 밥에 부어 먹을 수 있는 레토르토 식품이기에 엄마가 아주 편해요.아], 긍정 텍스트 확률 : 87.75%"
"[야채 총 종류가 있어요.첫째는 카레가 먹고 싶다고 해서 .아이밀 바로먹는 소스를 저녁으로 먹어봤는데요.바로먹는 소스는 말 그대로 데우지 않아도 바로 밥에 부어 먹을 수 있는 레토르토 식품이기에 엄마가 아주 편해요.아], 긍정 텍스트 확률 : 87.75%"
"[ 외출해서도 편하게 아기밥 챙길 수 있어요. ], 긍정 텍스트 확률 : 61.76%"
"[ ..두번째로 둘째를 위한 아이밀 냠냠 순과일칩을 먹여보았어요.로 동결건조된 과일칩인데요.과일은 건조가 되면 더 달게 느껴져서 개월인 아기에게 주기 조금 걱정되긴 했지만.다른 첨가물이 없이과일로만 되어있는 아기간식이니까 걱정없어요..아직 이유식을 진행하며 씹는 연습중이라 과일칩을 잘 못먹으면 어쩌나 했는데 냠냠하며 너무 잘 먹더라구요.아기가 손에 잡고 먹기 쉬운 크기라 손에 쥐어주면 그순간만큼은 너무 조용해요. ], 긍정 텍스트 확률 : 99.59%"
"[ .오빠와 함께 나란히 앉아 과일칩을 냠냠 먹어요.오빠는 딸기], 긍정 텍스트 확률 : 71.64%"
"[동생은 배 겉은 바삭해서 바사삭거리고.입에 들어가면 부드럽게 녹으니 과자보다 훨씬 좋은 안심 건강 먹거리니까 믿고 우리아이들에게 먹이고 있어요..아이밀 냠냠은 과일칩], 긍정 텍스트 확률 : 74.53%"
"[바로먹는 소스 외에도 요거볼], 긍정 텍스트 확률 : 79.04%"
"[라이스비스킷 등등이 있으니 .우리아이 안심 건강 먹거리로 원령에 맞춰 아이밀 냠냠 유아간식 먹여보시는건 어떠세요?.....해당 업체로부터 제품을 제공받아 솔직하게 작성된 후기입니다 ], 긍정 텍스트 확률 : 68.88%"
"[ 글시소마님 ], 긍정 텍스트 확률 : 62.31%"
"[ 안녕하세요 시소마님입니다분유를 끊고 밥만 먹기 시작하면서], 긍정 텍스트 확률 : 56.54%"
"[ 뭐가 엄청 다양하게 도착했어요. 아이밀은 년 전통의 일동후디스 대표 영.유아식 브랜드인데요.원래는 아기밀이였다가 아이밀로 브랜드명을 변경했다고해요. 아기밀이 어린 젖먹이의 아이에 한정된 이미지를 연상한다면아이밀은 젖먹이의 어린 아가에서 벗어나 우리 아이의 월령개월 수에 따라무얼 먹여야 하는지 걱정하는 엄마들을 위해 브랜드 리뉴얼했다고해요.아기와 아이의 차이는 정말 큰거같아요 ], 긍정 텍스트 확률 : 78.64%"
"[ 일동후디스 아이밀은 소중한 아이를 위해 유해물질 걱정없는 유기농 원료를 사용한대다가 성장기에 필요한 영양분을 담아서 만든 제품이지요. 일동후디스 아이밀은 이유식], 긍정 텍스트 확률 : 85.39%"
"[ 아이밀 냠냠 동결건조 과일칩이에요.자연 그대로국내산 과일을 동결건조해 만들었으며설탕], 긍정 텍스트 확률 : 72.34%"
"[ 지퍼백 형태로 되어있어 먹고 남은 간식을 깔끔하고 안전하게 보관가능하여나들이], 긍정 텍스트 확률 : 60.79%"
"[제가 찾아보았어요사실 스텝라고해서 아이밀 우리아이바로먹는 소스는 소망이 못 먹일줄 알았는데], 긍정 텍스트 확률 : 64.57%"
"[먹일 수 있겠더라고요 ], 긍정 텍스트 확률 : 69.85%"
"[몸에 좋은 렌틸콩], 긍정 텍스트 확률 : 60.35%"
"[그렇지 않으니 정말 신기하더라고요.], 긍정 텍스트 확률 : 58.07%"
"[ 뒤편에 조리방법을 보니 정말 그렇더라고요 와], 긍정 텍스트 확률 : 61.78%"
"[ 아이밀 냠냠 바나나 웨하스에요 쇼트닝을 사용하지 않아 크림까지 건강한 아이 전용 프리미엄 웨하스라고해요. 성장발달에 좋은 철분], 긍정 텍스트 확률 : 88.98%"
"[엽산과 함께 퀴노아까지 함유되었고뼈 성장에 중요한 칼슘과 비타민 ], 긍정 텍스트 확률 : 91.35%"
"[본펩이 배합된 프리미엄 웨하스지요], 긍정 텍스트 확률 : 68.28%"
"[ 아이밀 유기농 주스에요. 우리아이를 위한 부드럽고 순한 유기농 주스로설탕이나 인공 향료 없이 유기농 과일로만 만들었다고해요. 아이가 필용한 양만큼만 조절하여 섭취가 가능하지요], 긍정 텍스트 확률 : 74.81%"
"[ 휴대와 보관이 편리하며 외부 충격에 안전한용기를 사용했어요.아직 소망이는 입을 대고 마실 수는 없지만저기에 빨대 꽂아주면 마실 수 있으니 이런 점은 편하겠더라고요 ], 긍정 텍스트 확률 : 81.21%"
"[ 집에서는 요렇게 컵에 담아서 주고있어요담아주자마자 저 뻗는 저 손ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 91.37%"
"[ 자극적이지 않고 부드럽게 씹히는 아이밀 냠냠 유기농 쌀과자에요. 아이밀 냠냠 유기농 쌀과자는 유기농 배아미를 사용했는데요유기농 배아미란 쌀알에 씨눈이 남도록 도정한 쌀로 일반 백미보다식이섬유], 긍정 텍스트 확률 : 57.48%"
"[마그네슘 등이 더욱 풍부하고특히 비타민이 다량 함유되어 영양가가 풍부한 쌀이지요. 게다가 국산 퀴노아를 사용하여 단백질 함량이 높고 철분], 긍정 텍스트 확률 : 87.88%"
"[그리고 유기농 주스를 이용해간식을 준비해보았어요], 긍정 텍스트 확률 : 64.71%"
"[동결건조 과일칩은 아이들이 먹기 좋은 사이즈로 컷팅되어있어서아이가 집어서 먹기 너무 좋겠더라고요], 긍정 텍스트 확률 : 92.65%"
"[ 누구보다 신나게 먹던 소망찡 귀여워죽겠어요 증말 크하하하우리아이의 건강한 식을 위한 선택 일동후디스 아이밀 냠냠과 함께라엄마가 좀 더 편한 하루하루가 되어가고있어요 ♥아이밀로부터 제품을 지원 받아 솔직하게 작성한 후기입니다... ⓒ 시소마님 .공감과 댓글은 언제나 고맙고 감사합니다♥ ], 긍정 텍스트 확률 : 100.00%"
"[ .. ★★★★☆만개월이넘은아기가있구요.후기이유식이외에줄수있는아기식사찾다가쌀국수선택했습니다.쌀국수와스프건더기?가비닐포장에각각포장되어있구요.뜨거운물을붓고기다리면부드럽게국수가], 긍정 텍스트 확률 : 86.14%"
"[.◆ 지금 보고있는 상품 바로보기 ◆ ], 긍정 텍스트 확률 : 80.79%"
"[ 아래는 현재 상품의 구매평입니다. ], 긍정 텍스트 확률 : 64.15%"
"[.▼ 더 많은 구매평 열어보기 ▼ ], 긍정 텍스트 확률 : 55.96%"
"[ 일정액의 수수료를 제공받고 있는 포스팅입니다. 쿠팡 파트너스 ], 긍정 텍스트 확률 : 82.54%"
"[맥앤치즈와 같은어린이 간식과리조또 소스와 같은 어린이 푸드 제품을체험할 수 있을거에요. ], 긍정 텍스트 확률 : 84.42%"
"[계란볼과 같은아기간식을 기본으로처음 이유식], 긍정 텍스트 확률 : 63.65%"
"[쌀국수와 같은아기 음식을 체험할 수 있답니다. ], 긍정 텍스트 확률 : 74.28%"
"[ 그리고 개월간의 모든 활동이끝나면 또 최종 우수자를 뽑쥬등에게는 무려백화점상품권 만원등], 긍정 텍스트 확률 : 64.79%"
"[ 쿠폰 발급의 혜택이 주어진답니다. 유료로 가입할 수 있는멤버쉽 혜택의 기회까지 얻을 수 있어요 ], 긍정 텍스트 확률 : 66.66%"
"[ 후디스타즈의 혜택이정말 꿀이쥬?갓난 아기부터 어린이까지아이와 함께및 블로그를 통해후디스 키요와 아이밀의 이야기를재미있게 공유하고 소통할 수 있는엄마 또는 아빠라면모두 모두 지원해 보세요 일동후디스 서포터즈 지원하기 ...라면 여기를 클릭 ...모바일이라면 여기를 터치후디스에서 보다자세한 내용을 알고 싶다면 요기로 ], 긍정 텍스트 확률 : 99.94%"
"[.여러분저 기쁜소식이 있어염.후디스맘 아카데미☆예비맘 클래스..다녀와서제가 쓴 후기가..월 우수후기로 뽑혀서..설마했던 . ], 긍정 텍스트 확률 : 82.39%"
"[ ..공지글 읽는데..설마설마 했는데..제 아이디가똭 ..눈을 의심했지 뭐예요.신랑한테 바로 전화했더니집안 경사라며저보다 더 좋아하던 내편와이프 잘뒀지? 마구마구 생색냈죠 ㅎㅎ그 날 오후에유민홍님과통화해서 방문일정을잡았어요바로 다음날로추진력 빠르죵?신랑이 회사가서혼자 있느라혼자 맞이하게 되었어요 ], 긍정 텍스트 확률 : 86.75%"
"[ 띵동울림과 동시에문을 열었더니예비맘 클래스에서 봤던세분이 우리집 앞에오셨네요 ], 긍정 텍스트 확률 : 85.01%"
"[ 잔망스런유민홍님과참하신 직원 두분이신나게 노래부르며마구마구 축하해주셨어요기분 좋아서입 찌져지는줄 ㅎㅎ가족과 친구 외에축하 받아본게 처음이거든요더구나 잘생긴총각이 분이나ㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 97.27%"
"[ 모여 앉아서 인터뷰하는데꿈꾸는거 같고현실같지 않아 뭔가묘하더라구용후디스에 대한 생각과 의견타 산모교실에서 느낀점결혼부터 신혼여행 일화등많은 이야기를 나누었어요한시간이 후딱 지나더라구요혼자서얘기할사람도 없었는데 세분과 함께 넘즐거운 시간을보냈어요순산방위대가 돌아가고한가득 주신 선물 보따리풀어보았습니다 ], 긍정 텍스트 확률 : 98.71%"
"[ 넘 갖고싶었던스펙트라 유축기 핸즈프리와 함께 주셔서편하게 사용할수있겠어요 ], 긍정 텍스트 확률 : 78.95%"
"[ 예비맘 클래스에서 당첨되었던 밸런스온 시트 신랑이 탐냈었는데좋아하겠어요 ], 긍정 텍스트 확률 : 95.14%"
"[ 순한 아기세제와 섬유유연제베베무스], 긍정 텍스트 확률 : 62.66%"
"[ 우리 축복이 피부를 보호해줄 베베랩], 긍정 텍스트 확률 : 70.60%"
"[ 아이들의 영양간식키요제품들내사랑 두부와플은바로 먹어버렸어요 ], 긍정 텍스트 확률 : 70.23%"
"[ 낫포유딥워터 모이스처 크림과 로션 면봉이건 신랑이 쓴다고뺏어갔어요 ], 긍정 텍스트 확률 : 53.26%"
"[ 아기있는 집의 필수품청정 물티슈], 긍정 텍스트 확률 : 68.32%"
"[ 임산부의 건강을 위한 닥터맘스비타민 미네랄튼살크림바이오틱스 등 ], 긍정 텍스트 확률 : 51.00%"
"[ 파우치가 예뻐서따로 들고 다녀야겠어요 ], 긍정 텍스트 확률 : 62.77%"
"[ 선물들이 담겨있던요 가방도 넘 이쁘고사이즈도 커서유용하게 쓰겠어요 ], 긍정 텍스트 확률 : 68.57%"
"[ 일동 후디스 정말이렇게 감동 주기 있기예요?후후일동후디스 순산방위대의행복한 습격이였습니다 ♡♡♡ ], 긍정 텍스트 확률 : 98.33%"
"[ 안가보신분들다녀오시구저처럼홈어택 꼭 당해보셔용신청은 요기루 👇👇👇👇 .... ], 긍정 텍스트 확률 : 65.08%"
"[ 이제 지겨운지 안 먹더라고요 ㅠ과일도 과즙망에 좀 넣어주는게 다구요 ㅠㅠ간식을 만들어줘도 잘 안 먹어요..분유러버 또롱이..ㅜ근데 또롱이가 후디스 아이밀냠냠 순사과칩는 먹더라고요끝까지는 못 먹긴 했는데관심을 가지며 먹어서 넘 좋았어요간식 먹이고 싶은 엄마 ], 긍정 텍스트 확률 : 97.18%"
"[ 가지 과일로 있는데요], 긍정 텍스트 확률 : 67.37%"
"[ 딸기는 단계에요각 과일마다 먹을 수 있는 시기가 달라서단계가 다른 것 같더라고요 사과와 배는 개월부터], 긍정 텍스트 확률 : 82.55%"
"[ 맛과 영양이 살아있는 생 과일 그대로동결전조했더라고요.겉은 바삭하고 입에서는 부드럽게 녹아요.그렇다고 먹게 두고 엄마가 다른 볼일을 보시면 안되는 거 아시죠?항상 아이 먹을때는 잘 지켜봐야 하더라고요. ], 긍정 텍스트 확률 : 71.53%"
"[ 지퍼백으로 밀봉되어있고요.열면 이만큼 들어있어요양은 사실 조금 살짝 아쉬웠는데요ㅜ ], 긍정 텍스트 확률 : 95.86%"
"[ 근데 접시에 두니까 또 그렇게 적지는 않더라구요 ㅋ ], 긍정 텍스트 확률 : 78.41%"
"[ 고럼 울 또롱이가 먹는 모습함 보실래요??봉투 쥐어줬더니뭐지 요건 ㅋㅋ 탐색전 시작 ], 긍정 텍스트 확률 : 91.62%"
