"[ 스티로폼박스에 보냉제와 같이 들어있네요 ], 긍정 텍스트 확률 : 68.69%"
"[잘먹고 잘커줘서 너무너무 좋은거있죠 영유아검진에서도 상위권이고장하나 내새끼 건강하고 맛있는 유지태이유식 팜투베이비이유식에서 주문한 개월아기 후기이유식 항상 만족중이며 쭈욱 이용할래요 아 일까지 팜투베이비 이유식에 동봉된 포토프레임으로 아이가 이유식을 먹는 모습을 촬영해 에 올리면 선착순으로 포인트를 준다더라구요 저도 내일 올려야겠어요 미션완료후엔 추가 포인트까지 요런 꿀이벤트 놓치지마세욧 ], 긍정 텍스트 확률 : 99.78%"
"[벌써개월일차에 진입한 봄이♡중기로 넘어갈수록 점점 비싸져가는 시판 이유식..ㅠㅠ때문에 가성비 좋다고 소문난 브랜드인], 긍정 텍스트 확률 : 80.53%"
"[ 팜투베이비 이유식 팩과 간식을 함께 넣을 수 있는 넉넉한 사이즈다엄청 탐났던 팜투베이비 보냉가방♡디자인도 엄청 귀엽다], 긍정 텍스트 확률 : 96.49%"
"[ 해피백 구성품들 모두], 긍정 텍스트 확률 : 56.89%"
"[ 보냉가방에 정성스럽게 포장되어 함께 배송된다 살짝 열어만 봤는데도], 긍정 텍스트 확률 : 85.37%"
"[가득가득 들어있는 선물들♥.♥ ], 긍정 텍스트 확률 : 99.98%"
"[ 팜투베이비와 여러 제휴사들이], 긍정 텍스트 확률 : 62.66%"
"[ .. . 팜투패밀리오가닉라이스퍼프 종 오가닉 라이스퍼프 레인보우볼 사과와 오가닉 라이스퍼프 레인보우 소프트바 바나나두 종류의 과자를 선물받았다 한창 이유식 먹으며 중간중간 간식을 먹을 때라], 긍정 텍스트 확률 : 74.05%"
"[물티슈는 정말 중요한 육아템 중 하나이다.직], 긍정 텍스트 확률 : 58.99%"
"[ 간접적으로 아기에게 닿는 물티슈이기 때문에], 긍정 텍스트 확률 : 74.93%"
"[ 나같은 경우엔 성분 엄청 꼼꼼하게 따져서 구입한다.팜투베이비 해피백에서 선물 받은 올담 물티슈사용하기 전], 긍정 텍스트 확률 : 65.25%"
"[알레르기 유발 주의성분 포함되어 있지 않는 물티슈라], 긍정 텍스트 확률 : 54.83%"
"[ 믿고 사용할 수 있을 듯♡ ], 긍정 텍스트 확률 : 61.58%"
"[ 사용하기 전에 비닐 제거해주는 센스가 필요할듯♡ ], 긍정 텍스트 확률 : 77.97%"
"[. 누크이유식 스푼개월. 누크스푼 포크 세트개월 많으면 많을수록 좋은 이유식스푼 및 스푼포크세트도], 긍정 텍스트 확률 : 87.70%"
"[ 더욱 믿음이 간다 이유식 스푼은 현재 사용중이고], 긍정 텍스트 확률 : 87.00%"
"[개월차에 사용하려고 보관중이다], 긍정 텍스트 확률 : 53.85%"
"[젤 모이스처 모두가지주의성분], 긍정 텍스트 확률 : 54.39%"
"[ 자연주의화장품 역시 믿고 사용할 수 있는 제품들로만 가득찬 선물 보내주는], 긍정 텍스트 확률 : 95.18%"
"[ 성인은 물론], 긍정 텍스트 확률 : 53.60%"
"[아이와 함께 쓸 수 있는온가족 바디 제품안전한 성분만을 담아], 긍정 텍스트 확률 : 91.70%"
"[예민한 피부에도 자극없이 순하게 작용한다고 한다.온가족 데일리 로션이자], 긍정 텍스트 확률 : 76.08%"
"[익히 알고 있었던 브랜드 기저귀도 꽤 좋다고 들었어서], 긍정 텍스트 확률 : 95.70%"
"[기저귀 무게도 가볍고], 긍정 텍스트 확률 : 61.65%"
"[. 유피스일회용 순면커버 수유패드 매입사실 나는 완분맘이기 때문에], 긍정 텍스트 확률 : 79.62%"
"[ 수유패드에 대하여 잘 모른다 ㅠㅠㅠㅠㅠㅠㅠ요 제품은 사용할 일이 없어], 긍정 텍스트 확률 : 68.24%"
"[내년월 출산예정인 아는언니한테 전달해줄 예정♡저자극 순면커버와 꽃잎모양 중 샘 방지선으로], 긍정 텍스트 확률 : 61.77%"
"[ 한창 건조해지고 있는 요즘], 긍정 텍스트 확률 : 84.14%"
"[ ㅠㅠ우리 봄이 얼굴에도 건조하며 푸석푸석해져가고 있다..아기 피부에 촉촉하게 작용한다고 하니], 긍정 텍스트 확률 : 97.99%"
"[ 겨울에 사용하기 좋을듯살짝 손에 발라봤는데], 긍정 텍스트 확률 : 85.02%"
"[엄청 촉촉하다♡ ], 긍정 텍스트 확률 : 71.47%"
"[ ..정성스러운 선물들로 가득한 팜투베이비 해피백 구성품들♥.♥완전 만족스럽당여가지 친환경 재료유기농], 긍정 텍스트 확률 : 99.99%"
"[무농약], 긍정 텍스트 확률 : 51.42%"
"[ 좋은 재료 좋은 이유식 년년에 친환경브랜드대상으로 선정되었다고 하니 더욱 믿을만 한 듯배우 유지태가 선택한 팜투베이비 이유식], 긍정 텍스트 확률 : 99.62%"
"[ ..현재 중기이유식 시작한 봄이친환경이유식 팜투베이비 중기 이유식으로], 긍정 텍스트 확률 : 83.10%"
"[ 믿고 배달시켜 먹이고 있는중이다♡ ], 긍정 텍스트 확률 : 58.88%"
"[이유식후기지만 여전히 애미는 밥해줄 생각이 없이 시판이유식에 의존중이다 ], 긍정 텍스트 확률 : 81.75%"
"[ 확실히 진밥이라그런지 이전에 먹던 죽과는 확연히 다른 느낌이다 ], 긍정 텍스트 확률 : 88.08%"
"[ 후기여도 소고기안심을 아직 먹이고있다 근데 맛없는가봄], 긍정 텍스트 확률 : 64.43%"
"[ . ㅎ ], 긍정 텍스트 확률 : 73.06%"
"[ 그렇게 촉촉하게 죽처럼 먹이다가 주 지나니 이제 잘먹어준다 ], 긍정 텍스트 확률 : 74.57%"
"[ 아가들도 적응을 하는건지 시간지나니 잘먹어줘서 너무 다행이다], 긍정 텍스트 확률 : 56.39%"
"[ 그치만 여전히 반이상 먹고나면 손가락 집어넣어서 빼거나 뱉기도 하지만], 긍정 텍스트 확률 : 67.12%"
"[ ..ㅎ그래도 이정도 먹어줌에 감사하며 오늘도 이유식 화이팅 ], 긍정 텍스트 확률 : 99.51%"
"[임신하고 소소하게 이벤트들을 찾아서 아기용품을 모아보고 있는데요그 중에서 정말 구성 최고로 꼽는 크베맘박스 후기예요크베맘박스 신청은 크라잉 베베 카페 가입 후 『크베맘 박스 신청카테고리에서 하시면되요다른 곳과는 다르게 크라잉베베에서는 일주일에 마다 명씩 추첨해서 선물을 주니 당첨확인도 빠르고 확률도 높아요 저도 두 번의 도전 끝에 성공 .... ], 긍정 텍스트 확률 : 99.94%"
"[ 집에오니 커다란 박스가 딱우리 에펠이를 위한 선물이 도착해있었어요 ], 긍정 텍스트 확률 : 51.26%"
"[ 상자를 열어보니 심쿵한 포장...ㅠㅠ 너무 정성스럽고 이쁜 상자에 담겨있는 선물들핑크핑크한 박스에 깜찍한 리본 포장까지 너무 감동이였어요생각보다 큰 상자에 두근두근 하더라구요 ], 긍정 텍스트 확률 : 94.95%"
"[ 크라잉 베베 크베맘박스의 구성은 정말 알차요무려 가지의 상품으로 구성 이 되어있는데요기재된 항목보다 추가로 더 온 것인지 가지 더 들어있었네요 ], 긍정 텍스트 확률 : 80.74%"
"[ 순한 면소재의 침받이와 카시트 이용 안전 가이드북그리고 차량에 부착할 수 있는 스티커까지 동봉 되어 있어서 정말 유용해요저희도 에펠이가 태어나면 스티커부터 차에 붙이려고해요 ], 긍정 텍스트 확률 : 68.24%"
"[ 베베스트흑미 쌀죽야채 쌀죽아기가 이유식을 시작할 때나 써볼 수 있을 것 같아요건강에 좋은 흑미와 야채맛의 부드러운 쌀죽가루 ], 긍정 텍스트 확률 : 62.09%"
"[ 유트러스 랩유트러스 랩은 신생아가 편하게 엄마와 밀착이 되도록 슬링으로 사용할 수 있는 랩이예요엄마는 몸에 무리가 가지 않도록 아기를 안을 수 있고 아기는 편안함을 느낄 수 있다고 하네요 ], 긍정 텍스트 확률 : 83.93%"
"[ 유트러스 아기 베개뒷통수를 이쁘게 해줄 유트러스 아기베게맘박스에 아기 베개가 들어있다니 대박구성이죠...ㅠ 너무나도 귀여운 노랑팽귄이예요 ], 긍정 텍스트 확률 : 99.62%"
"[ 케이맘 친환경 세제아기옷와 젖병 세제 샘플이 들어있어요아기의 몸에 바로 닿는 옷과 먹는 젖병 세정제 아무거나 쓸 수 없으니 샘플로 사용해보고골라서 쓰기 좋은 것 같아요 ], 긍정 텍스트 확률 : 90.97%"
"[ 물티슈 종순둥이 물티슈 매와 물따로 물티슈건티슈 세트 개물따로 물티슈건티슈는 기본은 건티슈로 사용이 가능하고 함께 들어있는 초순수 액체를 물티슈통에 부어 물티슈로 사용할 수 있어요 ], 긍정 텍스트 확률 : 59.91%"
"[ 사용 방법과 기한은 참고하세용건티슈와 물티슈를 한번에 사용할 수 있다니 석조이상 크베맘 박스 후기였는데 정말 구성 대박이죠ㅠㅠ예미 엄마분들은 꼭 신청하셔서 행운이 있으시길 바랍니당 ], 긍정 텍스트 확률 : 97.47%"
"[ 너무나 행복한 택배 팜투베이비아이를 위해 믿고 구매하는 팜투베이비겨울철 아이의 기관지를 위해 팜투패밀리 배도라지김유아반찬], 긍정 텍스트 확률 : 87.72%"
"[ 두 아이의 아빠 유지태.?유지태이유식유지태이유식 으로도 이미 많이 알려져있죠], 긍정 텍스트 확률 : 66.36%"
"[ 저는 팜투베이비몰에서 이유식은 물론 지금은 유아식], 긍정 텍스트 확률 : 62.33%"
"[김 등 꾸준하게 이용중인데요입 짧고 입맛 까다로운 우리 딸도 잘 먹어주니 끊을 수가 없다는], 긍정 텍스트 확률 : 86.29%"
"[ 무슨 반찬 할까 .. 할 때 손이 잘 안가는 재료들은 이렇게 주문해보기도 해요특히 새우치즈고구마그라탕 이거 이거딸아이 친구들은 고구마 잘도 먹는다는데맛있게 조리 된 팜투베이비 새우치즈고구마그라탕 요거 정말 잘 먹더라고요 ㅋㅋ 편식 방지를 위해 종종 주문한답니다 ㅋㅋ], 긍정 텍스트 확률 : 94.14%"
"[ 안전한 포장은 물론 내외부 온도 제어가 가능한도입으로보다 신선하게 수령 받을 수 있어요.아이가 먹을 식품이다보니 포장과 배송 신경쓰이잖아요. ], 긍정 텍스트 확률 : 81.31%"
"[ 전자레인지에 사용 가능한 요기라 쉽게 뜯을 수 있는 이지필 용기인데요], 긍정 텍스트 확률 : 54.36%"
"[ 저는 여유로울 땐 이렇게 밀크팬에 한번 달궈서 먹여요.갓 조리한 듯 ..... ㅎㅎㅎㅎㅎㅎ], 긍정 텍스트 확률 : 95.49%"
"[아이가 좋아하는 팜투베이비 메뉴중에 하나무농약양배추], 긍정 텍스트 확률 : 92.10%"
"[무항생제한우], 긍정 텍스트 확률 : 51.42%"
"[무농약당근], 긍정 텍스트 확률 : 51.42%"
"[짜장가루 등 성분 함량표기가 되어 있어 더욱 안심이 가요 ], 긍정 텍스트 확률 : 94.71%"
"[ 비쥬얼 이 정도면 굿], 긍정 텍스트 확률 : 96.23%"
"[반찬 국 걱정없이 팜투베이비와 함께 저녁 대령이요 ], 긍정 텍스트 확률 : 61.50%"
"[ 발 씻고 시청하거나 장난감 가지고 놀 때 부랴부랴 저녁을 준비하는 일상.저녁 준비 시간을 생략하고 딸아이와 여유로운 시간을 보낼 수 있으니 좋기도 하고 잘 먹어주니 더더욱 좋고 ♡ ], 긍정 텍스트 확률 : 79.47%"
"[ 싹싹 긁어먹이기 볼록 튀어나온 딸아이의 배를 보면 참 흐믓하죠 이번에 팜투베이비 하이프레시 입점으로 하이프레시에서 이유식], 긍정 텍스트 확률 : 73.64%"
"[ 월에도 진행중인 매월 팜투베이비 해피백 명이벤트 그 외에도 두 팩 무료체험], 긍정 텍스트 확률 : 69.71%"
"[ 아이가 너무나 좋아하는 팜투패밀리 배도라지..벌써 바닥이 나...... 재주문하러 가야겠어요 ♡ ], 긍정 텍스트 확률 : 88.15%"
"[ 팜투베이비로부터 이용권을 제공받고 작성한 솔직한 후기입니다. ], 긍정 텍스트 확률 : 62.38%"
"[ 아가가 활짝 웃는 사진도 넘 사랑스럽다. ], 긍정 텍스트 확률 : 98.00%"
"[ 그리고 요 제품의 가장 주목할 만한 점하기스 네이처메이드 오가닉 코튼커버는오가닉을 소량 함유한 다른 기저귀와는 다르게 국제 공인인증을 받은오가닉 코튼으로 만들어졌다역시 하기스 네이처메이드의 섬세함은 그대로 가지고 있으면서한 단계 업그레이드된 기저귀라고 볼 수 있다 ♥ ], 긍정 텍스트 확률 : 99.84%"
"[ 비닐을 뜯을 때 보니 따는 선이 있어서그대로 점선을 따라 개봉하면힘줘서 뜯을 필요도 없었다 굿굿 ], 긍정 텍스트 확률 : 53.25%"
"[ 그리고 뒷부분은 안심샘방지 포켓으로 묽은 변도 새지 않게 잡아주어혹시 설사를 하더라도 안심하고 채울 수 있을 것 같다.밴드 부분도 당겨봤는데 완전 짱짱해서 더 만족쓰], 긍정 텍스트 확률 : 51.83%"
"[ 밑위도 얼마나 기냐면내복 바지 위로도 올라오는 정도여서예전처럼 응아가 샐까 봐 걱정할 일은 전혀 없을 듯.또 요즘 흡수재를 일본산으로 쓴 기저귀도 많던데요건 유럽산 흡수재에다가독일 더마테스트등급 피부자극테스트도 완료했다니 정말 슈퍼프리미엄기저귀가 아닐 수 없다.요렇게 여러모로 완벽한 하기스 네이처메이드 오가닉 코튼커버민감하고 연약한 피부를 가진 아가를 위한 건강한 친환경 기저귀로 완전 인정기저귀 유목민 생활 중인 분들은우선 나처럼 한팩사셔서 꼭 한번 써보시길 추천드린다], 긍정 텍스트 확률 : 74.79%"
"[ 제가 해준 걸 잘 안먹기도 하고..외출도 많기 때문에 좀 더 간편하게 먹일 수 있는.?아이반찬아이반찬.?이유식이유식 을 찾다가 알게된이유식소스이 이유식소스가 있으면 입맛잃은 아이도 다시 되돌아온다는 말에.젤 유명한팜투베이비 이유식소스 를 주문했어요. ], 긍정 텍스트 확률 : 95.72%"
"[ 팜투베이비는 이렇게 뚜껑이 있어서 이것도 만족스럽더라구요.남은 건 뚜껑 닫아서 냉장고에 넣어두면 되니 세상 간편 ♥ ], 긍정 텍스트 확률 : 99.35%"
"[.?유지태이유식유지태이유식으로도 유명한 팜투베이비.이미 첫째 육아할 때부터 유명했던 팜투베이비인데 이번에 유지태가 하는 티비광고를 보니 더 믿음이 가더라구요.팜투베이비 이유식과 유아식 종류가 무려 종이에요종류가 적으면 아이가 계속 먹기 지루할 수 있는데..초기이유식부터 다양하게 쭉 먹일 수 있어 최고 ], 긍정 텍스트 확률 : 99.66%"
"[ 지금 인스타 행사도 하고 있으니 요런건 깨알같이 챙겨야죠ㅋㅋ ], 긍정 텍스트 확률 : 80.15%"
"[새우살시금치카레 덮밥소스 등.집에서 내가 해줄 수 없는 재료로 만든 이유식이라 더 만족스러워요 ], 긍정 텍스트 확률 : 61.10%"
"[ 긴장하는 마음으로.. 전자레인지에 살짝 돌리구요.쌀밥 위에 소스를 부어줍니다 ], 긍정 텍스트 확률 : 55.81%"
"[ 새로보는 비주얼에 약간 놀란 둘째 ㅋㅋ하도 안먹어서 .. 요즘 그냥 김에 싸서 주곤 했거든요 ㅠㅠ성장하는 시기에 좀 더 영양가 있게 먹었어야 했는데], 긍정 텍스트 확률 : 72.36%"
"[ 팜투베이비는 이유식소스를 만들 때 친환경 재료 깊은 육수를 사용하는 것 같아요.이유식향을 맡아보니..진하고 깊은 향이 나요ㅋ간은 거의 안되어 있네요.이미 성인반찬들을 먼저 접한 개월 아기인데.. 과연 잘 먹어줄까요? ], 긍정 텍스트 확률 : 87.69%"
"[ 소심하게 맛을 본 사랑이. ], 긍정 텍스트 확률 : 69.61%"
"[ 이내 연신 흡입합니다 ㅋㅋㅋ괜한 걱정이었어요 ㅋㅋㅋ ], 긍정 텍스트 확률 : 56.96%"
"[ 어찌나 맛나게 먹던지..진작 이유식소스 주문할껄 ㅠㅠ고기도 하도 안먹어서 눈 밑 다크서클이 좀 더 진해졌는데..팜투베이비 안의 고기는 또 잘먹네요 ], 긍정 텍스트 확률 : 82.64%"
"[ 고기랑 야채 썰어논게 생각보다 사이즈가 크길래 뱉어내는게 아닐까 걱정도 했는데제가 맛보니 무척 부드러워요 이가 다 나지 않은 아기들도 잘 먹을 수 있겠더라구요. ], 긍정 텍스트 확률 : 65.82%"
"[ 새우살과 애호박], 긍정 텍스트 확률 : 58.30%"
"[파프리카 등 다양한 채소와 함께 야채육수], 긍정 텍스트 확률 : 62.19%"
"[약간의 굴소스로 맛을 낸 덮밥소스에요. 진한 새우향이 일품이네요 ], 긍정 텍스트 확률 : 90.16%"
"[ 배달이유식을 주문하면서 제 삶도 한결 편해졌어요간단하게 데워서 밥 위에 올려주면 되니 세상 좋네요.물론 아기도 잘 먹구요 ], 긍정 텍스트 확률 : 97.63%"
"[ 채소가 풍성에서 더욱 좋은 팜투베이비.역시 ㅋㅋㅋㅋ], 긍정 텍스트 확률 : 97.83%"
"[ 흡입해주는 딸 ㅋㅋㅋ업체에 감사패라도 전달하고 싶어요 ㅋㅋㅋ ], 긍정 텍스트 확률 : 53.02%"
"[ 외출해서도 무척 든든한 팜투베이비 이유식.밥만 준비하면 영양가 있는 식사를 줄 수 있으니 넘 편해요 ], 긍정 텍스트 확률 : 53.89%"
"[ 소스 양도 넉넉해서 더욱 만족만족팜투베이비 이유식을 보니 유통기한도 한달정도로 넉넉하더라구요.요즘 저희집 냉장고 필수템이에요 ㅋ ], 긍정 텍스트 확률 : 98.78%"
"[ 밥 든든히 먹고 문센수업한 날❤️ ], 긍정 텍스트 확률 : 80.87%"
"[유아 이유식소스인 팜투베이비.깊은 육수로 맛을 내서 아이 입맛에 잘 맞도록 만들어 배송돼요. ], 긍정 텍스트 확률 : 98.70%"
"[ 전 오늘도 밥만 준비 ♡징징대는 아기 발 밑에 놔두고 요리하는 것도 집중이 잘 안되고 서로 힘이 빠지는데..만들어도 잘 안먹는 이유식 만드는 시간을 줄이고 아이와 더 놀아줄 수 있으니시간적 여유도 생기네요 ㅋㅋ ], 긍정 텍스트 확률 : 67.66%"
"[당일배송되는안전하고 신선한 배송으로 더 믿음이 가는 배달이유식 업체인 팜투베이비.알아보니 배달이유식 중에서가장 많은 친환경 재료 를 이용하는 이유식이더라구요. 무려 여가지 친환경 재료를 이용한다는거기다 각종 육수로 더 깊은 맛을 내서 건강에도 좋구요.엄마표보다 더 정성스러운엄마표 배달이유식 이라 만족해요ㅋ첫 이유식때도 떨렸지만.. 유아식 시작하면서도 긴장되고 잘 안먹는 모습보며 속상했는데], 긍정 텍스트 확률 : 99.12%"
"[우리 둘째가잘 먹는 맛있는 이유식 을 드디어 찾았네요유지태가 선택한 팜투베이비], 긍정 텍스트 확률 : 73.05%"
"[.?팜투베이비팜투베이비.?유지태이유식유지태이유식.?배달이유식배달이유식.?시판이유식시판이유식.?완료기이유식완료기이유식.?팜투패밀리팜투패밀리.?이유식추천이유식추천.?시판이유식추천시판이유식추천.?배달이유식추천배달이유식추천.?이유식소스이유식소스.?오가닉이유식오가닉이유식해당업체로부터 제품제공 받아체험 후 작성한 솔직후기입니다 ], 긍정 텍스트 확률 : 97.41%"
"[.안녕하세요트니트니맘이에요.오늘은 한번쯤은 유명해서 들어보셨을것같은 거버 오가닉 과일퓨레를 리뷰하려고 해요. . ], 긍정 텍스트 확률 : 92.69%"
"[ .핫딜 할때 쟁여놓고 싶은 금액이에요ㅎㅎ ], 긍정 텍스트 확률 : 97.75%"
"[ .유리병 캡도 넘 예뿌네요ㅎㅎ], 긍정 텍스트 확률 : 97.09%"
"[ .거버 오가닉은 다양한 과일과 채소를 풍부한 맛과 식감에 영양까지 담아낸 퓨레 라서 더욱 믿음직스러워요♡ ], 긍정 텍스트 확률 : 91.35%"
"[ .ㅡ.거버오가닉퓨레제품소개도 스캔해왔어요.아직 한번도 못먹여보신 분 이라면 저처럼 행사할때 싸게 주문하시는 방법도 좋고], 긍정 텍스트 확률 : 97.37%"
"[홈플이나 마트에도 있으니 한두개 사서 테스트도 좋아요...아이 먹여보고 후기하러 또 올게요..이상으로 제품리뷰를 마칩니당.감사합니다♡ ], 긍정 텍스트 확률 : 98.69%"
"[ .?유지태이유식유지태이유식.?친환경이유식친환경이유식.?이유식배달이유식배달.?팜투베이비팜투베이비.?배달이유식추천배달이유식추천.?유아식단유아식단.?개월아기개월아기.?지척이지척이.?유아식유아식.?유아식소스유아식소스.?유아반찬유아반찬.?아기반찬아기반찬.?아기국아기국.?배달이유식배달이유식.?워킹맘워킹맘 ], 긍정 텍스트 확률 : 75.19%"
"[ 외출 시 한두번 먹일 유아식을 고르는게 아니라평상시에 꾸준히 먹을 것을 고르는거라신중에 신중을 기할 수 밖에 없었는데요.배달이유식 종류는 거의 다 먹여봤거든요그 중에 팜투베이비도 지척이가 잘 먹던이유식이라 들어가봤는데 유아식도 있더라고요그.런.데 이전과 변화된 모델..왠지 더 믿음이 가는 이 모델..... ], 긍정 텍스트 확률 : 92.33%"
"[ 믿음직스런.?콘뎅싱아저씨콘뎅싱아저씨 가 팜투베이비를 소개해 주시더라고요콘뎅싱아저씨 왠지 더 신뢰가 가요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ두 아이의 아빠이자 도 선별해서 찍는개념배우라 더 믿음이 가는건어쩔 수 없네요], 긍정 텍스트 확률 : 69.85%"
"[ 팜투베이비가 배달 이.유.식 으로 유명하지만유아식도 소스], 긍정 텍스트 확률 : 54.29%"
"[국이매우 다양히 구성되어 있어요물론 위에 단품보다 정기배송이 훨씬 큰 할인을 해준답니다국은 제가 대량으로 소고기미역국], 긍정 텍스트 확률 : 67.49%"
"[소고기 된장찌개 등을끓여서 돌려막기하고 있기때문에반찬과 소스 위주로 구입해보았어요. ], 긍정 텍스트 확률 : 70.62%"
"[ 오늘 지척이의 식단은지난번에도 잘먹어서 또 주문한한우굴소스마파 소스덮밥고구마분유빵유기농 김소고기 미역국이에요 ], 긍정 텍스트 확률 : 98.16%"
"[ 민든반찬을 여러가지 주면서도영양불균형을걱정하게 되잖아요유아소스의 최대장점은이 소스에 균형잡힌 영양소를충분히 담아냈어요. ], 긍정 텍스트 확률 : 86.19%"
"[무항생제 한우 등 깐깐하게 고른 식재료만 사용하거든요배달이유식중에가장 많은 친환경재료 를사용하는 이유식으로도 유명해요년연속 친환경 브랜드 대상도 수상했답니다. ], 긍정 텍스트 확률 : 57.82%"
"[ 드디어 한 입 맛보신 우리집 상전님저 진짜 웃겼잖아요ㅋㅋㅋㅋㅋㅋㅋㅋㅋ한입 먹자마자 몸이 마중을 나오셨어요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 92.05%"
"[ 얼핏 보시기에도 한우고기와 야채의 조각이엄청 실해보이시죠?특히 한우가 큐브인듯 도톰하니저작능력을 키우는데도 좋을 것 같아요소스 양이 적다고 생각하실 수 있는데], 긍정 텍스트 확률 : 85.56%"
"[ 저는 씩 나눠서아침저녁에 먹이고 있거든요다른 반찬들도 개 곁들여서 주다보니소스 개의 양은 조금 많아서 반 나눠먹이니 딱 좋아요최고라고 검지를 치켜올리는 지척이아직 최고는 검지밖에 못함 ㅋㅋ ], 긍정 텍스트 확률 : 97.51%"
"[국도편리하게 이용하실 수 있어요저처럼 친정엄마.?할미찬스할미찬스 쓰시는워킹맘 분들은 할미를 위해서라도배달이유식 함 고려해보세요], 긍정 텍스트 확률 : 74.58%"
"[ 이렇게 예쁜 사진틀도 제공해주더라고요인스타그램 이벤트인데필수해시태그와 함께 응모하면팜투베이비 포인트를 준대욧 ], 긍정 텍스트 확률 : 83.64%"
"[ 아직 끝나지 않은 지척이 식사..하아...... 다 먹은 국그릇 뽀개기지척아...고만하자...마이 무긋다아이가...ㅋㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 51.56%"
"[ 우리 아기도 잘먹고엄마도 친정엄마도 편한친환경 이유식 팜투베이비매우매우 추천드립니다. ], 긍정 텍스트 확률 : 98.64%"
"[ ...지척이가 김치도 잘먹는.어른반찬을 먹게되는 날이 올때까지.팜투베이비야 잘 부탁해. ], 긍정 텍스트 확률 : 98.21%"
"[ .본 포스팅은 팜투베이비로부터 제품만을 제공받아 체험후 솔직히 작성한 주관적 후기입니다. ], 긍정 텍스트 확률 : 68.45%"
"[.?오가닉맘이유식오가닉맘이유식버니힐보다는 약간 비싸서 그런지내용물이 그래도 조금은 잇어보임 ], 긍정 텍스트 확률 : 82.37%"
"[.?짱죽이유식짱죽이유식엘빈즈보다는 저렴한 이유식엘빈즈나 짱죽이나 비슷해보임 그치만 안에 들은건엘빈즈가 쬐끔더 많아보임 ], 긍정 텍스트 확률 : 65.77%"
"[.?팜투베이비이유식팜투베이비이유식 .?배달이유식배달이유식 중 가격면에서는 저렴하지는않음 .?팜투베이비팜투베이비 를 먹이면서 느끼는점은 아역시제가격을하는구나..저렴한건그만큼이유가잇는거구나느낌그치만 내기준에서는 다양하게 먹이는 맘으로써안에 들은게 가장많음나는 주로 한우이유식만 골라서 먹이는데고기가 정말 잘보인다 밥이랑 고기랑 적절히 섞어잇는이유식임 ], 긍정 텍스트 확률 : 97.81%"
"[ 그리고 타사 이유식과 다르게 이렇게 전용뚜껑이개별로 따로 있어서 바로집근처 식당에 가거나할때집에서 전자렌지 데워서 뚜껑덮고 나가서 밖에서 먹임 딱이다 ], 긍정 텍스트 확률 : 57.56%"
"[ 팜투베이비 이유식에 대해 살펴보면 ], 긍정 텍스트 확률 : 81.46%"
"[ 윌리엄과 벤틀리도 먹는 팜투베이비 딩고패밀리 윌벤영상 도 함께보세용 ෆ], 긍정 텍스트 확률 : 83.77%"
"[본포스팅은해당업체로부터일부만제공받아작성된솔직한글입니다], 긍정 텍스트 확률 : 51.73%"
"[.우리아기 개월 들어서면서 진밥먹기 시작했어요..집에서 이유식 한번 만든다는게 참 쉬운일이 아닌건 저만 그런거 아니죠ㅎㅎ.그런데 아기가 잘 먹어주면 좋겠는데 거부를 하니 참 서운하죠.ㅠ ], 긍정 텍스트 확률 : 87.87%"
"[ .두부버섯진밥.닭가슴살완두콩진밥.한우치즈진밥.바나나단호박진밥.한우새송이진밥.고구마바나나진밥.버섯한우불고기진밥.게살진밥.흰쌀생선진밥.한우비타민진밥.. 모두 우리 아가들이 섭취해야할 영양소를 다갖추었다고 생각해요.요 아이들을 집에서 직접 만들자고 생각만해도 참 힘들겠죠..아기보랴빨래 ], 긍정 텍스트 확률 : 99.30%"
"[ 설겆이 하랴.집안 가사일이 얼마나 많은데요 ㅎㅎ.요렇게 배달시키면 우체국택배로 당일만든 이유식이 당일로 아가밥상에 똭오르니 얼마나 좋나요. ], 긍정 텍스트 확률 : 63.32%"
"[ .포장 뜯으니 이유식 입자가 너무 고와요 ], 긍정 텍스트 확률 : 73.98%"
"[ . 우리 딸이 물을 잘 안먹어서 이유식에 물 조금 두고 약간 무르게 해먹였어요..요래 요래 잘먹는 모습 보니 엄마로서 너무 기분좋은거있죠ㅎ ], 긍정 텍스트 확률 : 99.99%"
"[ .밥 잘먹는 우리아기 정말로 이뽀 이뽀💕 ], 긍정 텍스트 확률 : 80.95%"
"[ .요건 다음끼 사진입니다..먹을때마다 아예 순삭해요...이럴때만큼은 엄마가 너무 행복한 순간입니다...이제부터는 우리아가 밥상은 루솔담당입니다..아기가 너무 잘먹어서 만족합니다.. ], 긍정 텍스트 확률 : 99.99%"
"[ 회원가입하면 두팩 무료체험도 있으니 아가밥상 고민되시는 맘님들도 한번 체험해 보셔요본 포스팅은 루솔로부터 제공받아 작성된 후기입니다. .?루솔루솔.?이유식이유식.?배달이유식배달이유식.?시판이유식시판이유식.?아가밥상아가밥상.?오가닉이유식오가닉이유식.?아기이유식배달아기이유식배달.?이유식추천이유식추천], 긍정 텍스트 확률 : 97.74%"
