"[아빠가 먹는거 보면서 쩝쩝대고관심 많고 침도 막 흘려서 이유식을 시작할 때가 왔구나 싶었어요다들 처음엔 엄마가 직접 만들어 먹여야 한다고조리도구며], 긍정 텍스트 확률 : 62.56%"
"[든든하게 쌓인 이유식 재료 하나하나씩 알러지 테스트를 하며 먹였던 초기와는 달리후기이유식 시작하고 보니 메뉴의 다양성도 은근히 중요하더라는사실 이유식 업체를 바꿔볼까 생각했던 이유중의 하나도 메뉴에 있었다.아무래도 사장님께서 소규모로 진행하시는 이유식이다 보니 메뉴가 겹칠수 밖에 없는것.워낙 재료나 메뉴에 꼼꼼히 신경쓰는 사장님이셔서 그렇다고 매번 반복된다는건 아니었지만다른 업체는 어떤 재료를 사용하며 어떤 메뉴가 있는가 궁금하기도 했다. ], 긍정 텍스트 확률 : 75.60%"
"[은토리가 앞으로 먹게될 이유식이얌], 긍정 텍스트 확률 : 69.49%"
"[맛있으니까 셀프 짝짝궁시키지 않아도 어깨춤이 절로나오고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 60.56%"
"[집중이 흐트러지기 시작해서 갖고놀으라고 다른 이유식도 손에 쥐어주니 아주 좋으시단다ㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 98.46%"
"[평소에 먹던것과 알갱이 크기 차이는 없었으나루솔이유식이 조금더 잘 으깨지고 찐덕찐덕함뭐랄까 농도???이 덜해서 밥알의 식감이 잘 느껴질것 같았다.그럼에도 불구하고 목에 걸려하거나 하는건 없었고 오히려 식감이 느껴지니 앞니로 꼭꼭 씹어먹는 훈련까지 되었더라는 ], 긍정 텍스트 확률 : 86.32%"
"[매번 꿀떡꿀떡 삼키는게 걱정이되어루솔 이유식으로 바꾸면서 씹는연습을 시켰더니만요렇게 냠냠 쩝쩝 ㅋㅋㅋㅋㅋㅋㅋ이건 나만의 심쿵영상으로 오래오래 남을것 같다.........너무 귀여워 ㅠㅠ앞으로 루솔에 정착해야할것만 같은 뽐뿌 영상..이렇게 잘먹어주니 을매나 기쁜가애교도 절로나오고 딸 키우는 재미가 이런건가보다.자 다음.?도치맘도치맘 나와주세요 ㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 98.84%"
"[간혹 이유식 데우면 물기가 너무 많이 생겨서 나중엔 자꾸 밥알이 굴러다니던데루솔꺼는 좀 강하게 데워도 숟가락에 쏙쏙 잘 퍼진다. ], 긍정 텍스트 확률 : 64.64%"
"[닭가슴살고구마진밥에서 특이점은 치즈와 유청분말우유가 들어간다.그래서 울 아가가 그리도 잘먹었던가?ㅋㅋㅋㅋㅋ미음부터 초중기까지 모두 업체를 이용해서 이유식을 먹였던 나로서는그간 반복되는 메뉴에 조금 변화를 주고 싶었는데 루솔이유식은 후기 메뉴로꽤나 다양한 식단이 나와있어서 그점이 제일 좋았더라는.여튼], 긍정 텍스트 확률 : 99.91%"
"[총 팩을 먹여본 결과 아기도 좋아하고 주재료 외에 부재료에도 다양하게 신경쓴듯 하여개인적으로는 아주 만족스러운 이유식이었다. .?루솔이유식루솔이유식 .?후기이유식후기이유식강추다음주 여행가는데 주문해야지 ], 긍정 텍스트 확률 : 95.83%"
"[햇님이도 어느덧 개월에 들어섰죠.이유식을 꿀떡꿀떡 잘 받아먹던 햇님이가 개월 들어서면서부터이유식거부가 왔어요 ㅠ.ㅠ ], 긍정 텍스트 확률 : 86.65%"
"[루솔 프리미엄 이유식깔끔하게 배달온 루솔 이유식 입니다. ], 긍정 텍스트 확률 : 75.73%"
"[다양한 종류 에 있어요. ], 긍정 텍스트 확률 : 56.50%"
"[닭가슴살치즈아기밥 ], 긍정 텍스트 확률 : 94.36%"
"[닭가슴살고구마아기밥 ], 긍정 텍스트 확률 : 87.22%"
"[닭가슴살비타민아기밥 ], 긍정 텍스트 확률 : 87.22%"
"[카레등 메뉴가 정말 다양해졌어요.집에서 제가 해주는 밥보다 다양한 밥을 먹어볼 수 있으니 좋을 것 같더라구요. ], 긍정 텍스트 확률 : 96.60%"
"[유통기한은 배송받은후 일정도 되기 때문에냉동하지 않고 여유롭게 먹였어요. ], 긍정 텍스트 확률 : 75.39%"
"[꼬들고들한 완벽한], 긍정 텍스트 확률 : 80.40%"
"[냠냠냠냠냠오오오 확실히 죽보다는 훨씬 잘먹어요.후기 이유식 거부가 온 후로 제일 잘 먹은 것 같아요. ], 긍정 텍스트 확률 : 88.64%"
"[가장 궁금했던 한우카레아기밥.카레라니 이유식과는 너무나 다른 신세계에 그 맛이 넘넘 궁금했어요.일단 향도 카레향이 솔솔비쥬얼도 노란 카레밥 입니다. ], 긍정 텍스트 확률 : 61.12%"
"[윤기가 흐르는 밥을 한입 제가 먹어보니은은하게 카레향과 맛이 베어있는 카레밥이예요.엄마가 느끼기에도 간이 느껴져서 아기가 참 맛있게 잘 먹겠다 싶었는데 ], 긍정 텍스트 확률 : 98.07%"
"[이 노란밥은 뭐지 ], 긍정 텍스트 확률 : 51.42%"
"[아니다다를까 햇님이가 엄청 잘먹더라구요.카레가 취향인거니], 긍정 텍스트 확률 : 85.08%"
"[이 포스팅은 루솔 로부터 무상으로 제품을 제공받아 솔직하게 작성되었습니다 ], 긍정 텍스트 확률 : 64.23%"
"[ 푸드케어 이유식루솔 이유식 후기 박람회 가격 한번더 ], 긍정 텍스트 확률 : 51.46%"
"[ 푸드케어 이유식루솔 이유식 후기 박람회 가격 한번더.. ], 긍정 텍스트 확률 : 57.95%"
"[ 루솔은 한번에 주문해서 스티로폼 상자로 한번에 받는다대신 푸드케어는 일일배송을 해주는데 게시판에 주문수량이나 주문일등 남기는것에 따라 배송일이 다르다.밤에 보냉가방 현관에 걸어놓으면 새벽에 넣어준다. 새벽 시정도에 배송이 오는데문자가 온다요즘같은 여름철은 아침까지 계속 있어야하니 약간 불안하기는 하다.건의사항 올림보냉가방 현관문에 거는거 잊어버리면], 긍정 텍스트 확률 : 78.80%"
"[위 임시 보냉가방에 넣어줌.그리고 임시보냉가방과 아이스팩 다 다음날 보내는거임. ], 긍정 텍스트 확률 : 70.38%"
"[ 푸드케어 이유식루솔 이유식 후기 박람회 가격 한번더이제 루솔 아기밥 단계로 다시 넘어왔다. ], 긍정 텍스트 확률 : 66.05%"
"[ 아기반찬 주문해서 먹이고 있음. 그냥 전자레인지 데워도 되는데 실리콘용기에 옮겨 담아 데워 먹임. 남는거 냉장보관 용이.], 긍정 텍스트 확률 : 54.56%"
"[ 후기이유식 루솔로 이유식 완료기까지 가즈아♥ ], 긍정 텍스트 확률 : 99.43%"
"[후기이유식 루솔로 이유식완료기까지 가즈아첫째든 둘째든 초기이후부터 만들기에 소질이 없던 전 여기저기 이유식을 사다가 먹였지요.ㅋ ], 긍정 텍스트 확률 : 65.56%"
"[그러다가 루솔이 홈메이드방식의 영양밸런스를 맞춘 이유식 으로 건강한 먹거리를 만든대서 육아맘들 사이에서 평이 좋더라구요.그래서 이번에도 전 루솔 후기이유식 을 주문했지요 ], 긍정 텍스트 확률 : 59.42%"
"[ 유통기한 은 냉장보관일시에 보통], 긍정 텍스트 확률 : 59.25%"
"[ 제조일로부터 일 정도 여유가 있는데요.어차피 울 둘짼 그 전에 다 먹어버리기때문에 유통기한의 숫자가 별 의미가 없어요ㅎ ], 긍정 텍스트 확률 : 71.76%"
"[원하는 맛으로 자유롭게 주문 할 수가 있어서 너무 좋아요.그리고 아이가 잘 먹어주니 후기이유식 은 여기걸로 시킬수밖에 없겠더라구요. ], 긍정 텍스트 확률 : 59.19%"
"[요즘 한창 자라나는 시기라 고기류를 많이 먹어줘야한다길래 닭고기가 들어간 이유식을 먹여보려구요. ], 긍정 텍스트 확률 : 66.26%"
"[힝힝대기 등 먹기싫어서 별 걸 다하더니..루솔은 맛있는지 역시나 넘나 잘 먹어주는 뿌미양이네요♥ ], 긍정 텍스트 확률 : 99.27%"
"[기분좋으면 나타나는 짝짝꿍 짝짝꿍과 함께 입도 쫙쫙 벌려서 먹어주니 고맙기까지하다는ㅎ ], 긍정 텍스트 확률 : 98.65%"
"[치아도 개밖에 안났으면서 후기이유식 오물오물 씹는 입이 너무 귀여워서 깨물어주고프네요.도치엄마 납셨슈♥ ], 긍정 텍스트 확률 : 99.90%"
"[거부한 적도 없어서 믿고 재주문하는 루솔♥이유식완료기의 유아반찬까지 쭉 가즈아ㅋ ], 긍정 텍스트 확률 : 98.72%"
"[ 몇갤에 중기로넘어가셧어요??], 긍정 텍스트 확률 : 59.43%"
"[개월되자마자 중기로 넘어왔어요ㅎ 완분 아가라 개월되기 직전에 이유식을 시작했거든요 ], 긍정 텍스트 확률 : 67.88%"
"[저도 박람회가서 먹어보고 맛잇어서 바꿔보려구요ㅎㅎ 다른건 진짜 너무 안먹어서ㅠㅠ 근데 제가 먹어도 늠나 맛음슴...ㅋㅋㅋ], 긍정 텍스트 확률 : 96.08%"
"[그쵸? ㅎ 저 출근전에 하나까먹을까하다가 참았어요 ㅎㅎ], 긍정 텍스트 확률 : 84.73%"
"[여기 양많아서 좋아요 ㅎㅎ], 긍정 텍스트 확률 : 93.17%"
"[그러니까요 양이 참 좋더라구요 ㅎㅎ], 긍정 텍스트 확률 : 95.66%"
"[싹싹 비웠는데요 울 아이도 입맛 까다로운데 여기꺼는 싹싹 비워요양이 많은데도 다 비우거든요이유식 잘 먹는게 젤이죠], 긍정 텍스트 확률 : 98.25%"
"[맞아요 ㅎ 잘먹는게 제일인거같아요 ㅎ], 긍정 텍스트 확률 : 97.79%"
"[그때그때 시켜먹이시나요??ㅠㅠ 아님 좀 쟁여서 냉동했다 먹여도 되나요??], 긍정 텍스트 확률 : 62.14%"
"[루솔 중기랑 엘빈즈 중기 짱죽 단계랑 비슷해요 중기 후기초로 보심되여루솔], 긍정 텍스트 확률 : 59.81%"
"[베베쿡이네요.개인적으로 팜투베이비가... 가격이며 재료며 가성비도 좋고 추천해용], 긍정 텍스트 확률 : 95.92%"
"[저도 푸케 먹이고 있는데 이제 곧 중기들어가요 혹시 이유식 몇 정도 먹고 있나요?푸케가이라서 소분해서 먹이기 애매할것 같아서요..], 긍정 텍스트 확률 : 53.52%"
"[ 아가도 잘 먹는다니 편하고 좋아보여요 ], 긍정 텍스트 확률 : 71.17%"
"[엄마도 편하고 아기도 잘먹고 일석 이조네요], 긍정 텍스트 확률 : 97.17%"
"[처음보는 브랜드인데 ㅎ요로케 체험해볼수잇는것도 좋은거같아요👍🏻], 긍정 텍스트 확률 : 91.09%"
"[이유식은 정말 잘 공라야 하는거 같아요아이가 잘 먹어주니ㅜ흐믓흐믓ㅎㅎ], 긍정 텍스트 확률 : 69.16%"
"[와 애기가 잘 먹으니 넘 좋네요], 긍정 텍스트 확률 : 80.54%"
"[어머나 넘 귀엽네요 저도 루솔 이유식 먹였는데 사진 보니까 새록새록 생각 나네요], 긍정 텍스트 확률 : 97.69%"
"[저도 여기이용했어요 괜찮더라구요], 긍정 텍스트 확률 : 90.45%"
"[울 아이 먹였던 이유식이네요이거 잘먹었는데 간식이며 배도라지즙까지], 긍정 텍스트 확률 : 94.79%"
"[우리아가가 좋아해요 루솔 ㅎㅎ], 긍정 텍스트 확률 : 94.90%"
"[ 저희 아가도 루솔 중기때부터 후기까정 먹였는데 입자들이 타서 제품보다 조금 컸어요], 긍정 텍스트 확률 : 66.07%"
"[민준맘저는 약지손톱보다 큰게 몇번 들어 있어서 고객센터에 전화한적이 ㅋㅋ], 긍정 텍스트 확률 : 88.90%"
"[다은맘당근요??], 긍정 텍스트 확률 : 57.67%"
"[민준맘아니요 밥인지 당면인지 덩어리 진게 몇번 나와서 베이비페어에서 팩 결제해서 계속 먹였거든요], 긍정 텍스트 확률 : 70.03%"
"[루솔중기 체험팩받아봤는데요 다른데보다 입자가 크더라구요ㅠ저희아가도 루솔껀 켁켁거렸어요], 긍정 텍스트 확률 : 61.47%"
"[저는 루솔에서 초기부터 중기 그리고 후기까지 먹이고 잇는데 점점 아기가 거부를...ㅠㅠ 이제는 갈아타야할때가 왔나봐요], 긍정 텍스트 확률 : 55.03%"
"[약간 수저로 으깨서 먹이면 며칠지나고 적응하니 잘먹었어요], 긍정 텍스트 확률 : 95.03%"
"[ 저요. 낙성대살아요], 긍정 텍스트 확률 : 82.80%"
"[쪽지드렸어요], 긍정 텍스트 확률 : 66.13%"
"[늦게봐서 제가 지금 쪽지 남겨드렸는데], 긍정 텍스트 확률 : 87.12%"
"[불발시 줄섭니다개월 아기인데 이가 개밖에 안나서 아직도 진밥 먹여요ㅜㅜ먹는양은 어마어마한데ㅜㅜ], 긍정 텍스트 확률 : 92.70%"
"[루솔잘먹이고있어요 양도많고 괜찮더라구요ㅎ], 긍정 텍스트 확률 : 98.42%"
"[전 괜찮았어요 ㅋㅋ 베베쿡이랑 루솔 번갈아 먹였는데 베베쿡 보다 좀저렴해도 괜찮던대요], 긍정 텍스트 확률 : 99.14%"
"[팜투베이비를 더 잘 먹었어요], 긍정 텍스트 확률 : 70.80%"
"[루솔먹이고 있는데 일단 박람회 같은곳에서 패키지로 구매 하면 저렴하게 먹일수 있구요회분 체험분 신청 되니 한번 신청해서 먹여보세요전 처음 시작부터 지금 돌때까지 계속 루솔 먹이는데 크게 문제 없어요], 긍정 텍스트 확률 : 98.36%"
"[저희는 다른거 먹여보고햇는데 루솔이 젤 잘 맞드라고요. 물론 양도 넉넉하고 재료도 직접 고를 수있어서 좋아요], 긍정 텍스트 확률 : 91.45%"
"[ 최대한배고플때..주셔보셔야 거부감이덜해용그리고 양늘리실땐], 긍정 텍스트 확률 : 69.18%"
"[ 양만큼먹고난후언제배고파하는지지켜보세요 스케줄짜실때좀더수월하드라구요], 긍정 텍스트 확률 : 52.97%"
"[저도 베베쿡 중기 하는중인데 후기 어떻게 넘어가나 고민중이에요 천천히 섞어가며 먹여야겠네요ㅜㅜ], 긍정 텍스트 확률 : 98.31%"
"[저처럼 실수하지 마시공 천천히 섞어가며 먹여보세요 흑흑 ㅜㅜ], 긍정 텍스트 확률 : 53.74%"
"[바닷가해달울아기도 되직하거나하면 구역질 하고 안먹더라구요 둥이들 적응되면 다시 잘먹을거에요], 긍정 텍스트 확률 : 72.90%"
"[ㅜㅜ 전 다른 브랜드 꺼 중기 베베쿡보다는 덜 묽은 것로 돌아왔어요 ㅜ 일단 분유량도 팍 줄어서 이유식을 더 먹여야 해서요. 일주일 정도 중기 주고 다시 시도해 보려구요. ㅜㅡㅠ 일주일 정도 안먹으면 뱃골 줄까봐 겁나서요 ㅜㅜ], 긍정 텍스트 확률 : 94.49%"
"[ 아직 가능하면 저요], 긍정 텍스트 확률 : 70.98%"
"[ 체험팩 신청해서 먼저 먹여보세요 아이들마다 다들 달라서ㅠㅠ먹는것도있고 안먹는것도 있더라구요지금 먹는 점도 생각하셔서 단계 선택해서 체험팩 먼저 먹여보는게좋을 것 같아요], 긍정 텍스트 확률 : 96.38%"
"[아 체험팩도 있나봐요무작정 시켜만 보려했는데 정보감사합니다], 긍정 텍스트 확률 : 96.53%"
"[돌지낫으면 유아식하심되여 ㅎㅎ], 긍정 텍스트 확률 : 78.07%"
"[네 간 간장으로 콩알만하게해서요ㅎ 첨에 생일날 미역국 해줫어요ㅎㅎ 맘마유어플참고해보세용ㅎ], 긍정 텍스트 확률 : 98.54%"
"[하양맘참고해볼게용ㅎ감사합니다😄], 긍정 텍스트 확률 : 94.41%"
"[샘플부터 시켜봐야겠네용ㅎㅎ참고해서 이용해볼게요감사해요😁], 긍정 텍스트 확률 : 62.66%"
"[가끔쓰는데 괜찮아요 전여기참기름도 좋은건같사요], 긍정 텍스트 확률 : 96.41%"
"[아 참기름도 나와요??ㅎㅎ정보감사합니다.주문해야겠어용], 긍정 텍스트 확률 : 95.80%"
"[ 저 아직 시작안했는데 이유식 루솔 사먹이려구요 친한칭구 둘이 루쏠 먹이는데 잘먹고 좋다고 하더라구요. 근데 제가 아직 안먹여서 유효기간 이런건 잘 모르겠네요], 긍정 텍스트 확률 : 89.03%"
"[루솔좋아요. 애기잘먹었어요.], 긍정 텍스트 확률 : 91.05%"
"[루솔 괜찮아요 가성비 좋고 애기도 잘 먹었어요. 화수때 세일을 더 하더라구요. 참고하세요 ㅎ], 긍정 텍스트 확률 : 93.26%"
"[오호 괜찮네용 댓글 다들 감사합니당♡], 긍정 텍스트 확률 : 89.90%"
"[지금잘먹으면 나중에 단계넘어가실때또 거부반응올수도있으니 그때 바꿔보세요그리구 다 재료는비슷해요 거의소고기고 야채고ㅎㅎ], 긍정 텍스트 확률 : 92.34%"
"[별로 거부는 없는것같아요. 근데 팜투처럼 작은거먹이다가 다시 루솔주면 안먹을까봐 갑자기 걱정되더라구요ㅎㅎ감사해용], 긍정 텍스트 확률 : 93.62%"
"[제가 이거저거 먹여보고 샘플받아봤었는데 내용물이며 함량은 팜투베이비가 젤 나은거같아서 정착했어요 ㅋ], 긍정 텍스트 확률 : 53.02%"
"[ 아이 개월 중반이구요 후기 먹여봤는데 입자는 엘빈즈보다 작아요 살짝 더 묽고요혹시몰라 사진 첨부해보아요 개월부터 먹는 전복파래입니다], 긍정 텍스트 확률 : 67.95%"
"[어멑감사해요 ㅎㅎ 안그래도 저도 전복파래 샀거든요. 아이가 잘 먹나요? ㅎㅎ], 긍정 텍스트 확률 : 81.95%"
"[뚀르르르릉네 저희아이는 삭삭 다 잘먹었어요 ㅎㅎ], 긍정 텍스트 확률 : 73.20%"
"[네네 실온 되요 ㅎㅎ 저는 오늘와서 저녁에 한번 먿여보려구요 ㅎㅎ], 긍정 텍스트 확률 : 99.05%"
"[좋아하는 퓨레로 같이 줘봐도 안먹으면 진짜 싫은거겠죠? 진짜 안먹다가 잘먹다가 또 잘 안먹네요 ㅎㅎㅎ진짜 많은 요인들이 있나봐요. 아기의 취향이란 ㅎㅎ 다양하게 시도해볼게요], 긍정 텍스트 확률 : 99.33%"
"[ 베베쿡 만 먹고 다른건 다안먹어요. 푸드케어꺼가 고기야채함량 제일 많더라구요.], 긍정 텍스트 확률 : 50.56%"
"[물이 생기는군요 푸드케어가 잘 먹긴 하는 것 같아요. 참기름 들어있다고 되어있던데 그것 때문일까요? 시판은 항상 고기함량이 조금 걱정되긴 해요], 긍정 텍스트 확률 : 97.75%"
"[개인적으론 베베은 초기에 묽다고 생각해서 처음부터 패스를 했었구요 엘빈는 후기에 병행했는데 간이 조금되어있는 맛이였어요 근데 여긴 재료가 엄청많이들어가서 뭔가 특유의향이 있고 맛이 다 같은 느낌? 루은 초기부터 쭉 먹인 정착한 곳인데 젤무난하고 양도많고 가성비좋았던 곳이예요], 긍정 텍스트 확률 : 82.24%"
"[ 울 아이 먹은거네요괜히 지나다 반가워서 ㅎㅎ], 긍정 텍스트 확률 : 98.83%"
"[개월이에요 단계 단계같이잘먹어요 반찬만 아직못먹더라구용ㅠㅠ], 긍정 텍스트 확률 : 74.78%"
"[트니맘처음엔 분유 우유 정도로 주고 점점 분유를 줄이고 우유를 늘려서 섞어주는거에요], 긍정 텍스트 확률 : 76.95%"
"[분유랑 우유 섞어서.줘도 괜찮은거예요?], 긍정 텍스트 확률 : 69.20%"
"[트니맘네네 섞어줘도 괜찮아요], 긍정 텍스트 확률 : 92.71%"
"[아 그렇군요ㅋㅋ감사합니당😊], 긍정 텍스트 확률 : 83.97%"
"[ 어머 정말 잘먹네요 아이가 잘먹으니 넘 이뻐용], 긍정 텍스트 확률 : 97.74%"
"[루솔이유식 아가가 잘 먹는다니 더 궁금하네요 ㅎㅎ], 긍정 텍스트 확률 : 81.07%"
"[루솔은진짜 애들한테 인기짱이예요ㅋㅋ], 긍정 텍스트 확률 : 58.71%"
"[치즈때문인거같아요], 긍정 텍스트 확률 : 60.39%"
"[아 저런게 있었군요 자세한 설명 감사드려요], 긍정 텍스트 확률 : 90.38%"
"[저도 맛있댜그래서 주문했어요 ㅎㅎ], 긍정 텍스트 확률 : 80.33%"
"[저희아가가 루솔 덮밥을 잘먹길래 또 주문했네요], 긍정 텍스트 확률 : 57.07%"
"[맛있다그래서 주문했어요 ㅎㅎ], 긍정 텍스트 확률 : 76.07%"
"[루솔덮밥맛있다고하네요 ㅎㅎ], 긍정 텍스트 확률 : 89.84%"
"[꿍스소고기는 식육점가서 이유식먹일거라고하면되나요?ㅜㅜ보통 일이면몇그램사야될까요. 는 거뜬히먹는애기에요], 긍정 텍스트 확률 : 52.55%"
"[따랑해봉냄비도 굳이안사셔도 되지만 ㅎㅎ 그리고 중기부터 만약 잘먹는아가라면 전 밥솥이유식 추천드려요 하루두끼먹는거니 밥솥칸막이 이용하고], 긍정 텍스트 확률 : 99.96%"
"[꿍스저울은 있어요 정육점먼저 찾아보고내일은 장봐서와야겠네요 ㅋㅋ냄비는 어떤게좋나요?ㅋㅋ귀찮게해서죄송해요ㅠ], 긍정 텍스트 확률 : 55.99%"
"[ㅋㅋ맨윗칸여..쟁여노면뭐하죠푸케반찬잘먹긴한데 거의비슷해요반찬이..ㅠㅠ글서한번소스시키면서 루솔이메뉴가몇없긴한데 한번시켜밨어요ㅠ], 긍정 텍스트 확률 : 92.24%"
"[동탄새봄이맘반찬은 글지ㅠ 나도 오늘 동네이유식집에서 소스시켜서 왔는데 한번 비벼먹여봐야겠당], 긍정 텍스트 확률 : 87.46%"
"[가격대비좋아요종류가 몇개안되서 아쉽긴해요....덮밥소스는 타 업체보다 살짝 입자가 작아서 더 맘에들었어요질릴까봐 몇주 쉬었으니 다시 주문해야겠어요ㅋㅋ], 긍정 텍스트 확률 : 83.81%"
"[ 저희 아띠아모 카페에서는 특정 회원의무분별한 줄서기와 드림물품 독식을 막기 위해양심기간 주를 지정하고 있습니다 드림 줄 서실 분들께서는본인이 다른 드림을 받은 지주가 되셨는지 확인해 주시고], 긍정 텍스트 확률 : 64.86%"
"[ 본인이 마지막으로 드림 받으신 날짜를 확인하여댓글로 필히 적어 주시기 바랍니다드림해 주시는 분께서도 함께 확인 부탁드립니다 무료드림 후], 긍정 텍스트 확률 : 71.23%"
"[어느 분이 받아가셨는지무료드림 하신 글에 드림완료님께 드림완료라고 꼭 게시글 수정해주세요좋은 나눔의 취지로 무료 드림글을올려주셔서 감사드립니다좋은드림 응원합니다], 긍정 텍스트 확률 : 92.06%"
"[네 언제 괜찮으세용??], 긍정 텍스트 확률 : 92.02%"
"[개똥개똥맘저오늘옥련동가용ㅎ], 긍정 텍스트 확률 : 84.72%"
"[개똥개똥맘저꼬꼬마소아과에요 지금뵈도되나용?ㅎㅎ], 긍정 텍스트 확률 : 88.24%"
"[서성남매앗ㅠ잠시만여짐 씻구나와서여ㅋㅋ한시쯤괜찮으세여???], 긍정 텍스트 확률 : 98.46%"
"[ 제가 구매가능할까요?], 긍정 텍스트 확률 : 76.07%"
"[쳇드릴게여 ], 긍정 텍스트 확률 : 55.04%"
"[ 저요], 긍정 텍스트 확률 : 51.92%"
"[챗드렸어요], 긍정 텍스트 확률 : 66.13%"
"[윗분과 나누어 드릴께요], 긍정 텍스트 확률 : 66.13%"
"[비누방울윗분께 양보하겠습니다], 긍정 텍스트 확률 : 56.33%"
"[채팅으로 오전에 먼저연락주신분계셔서 혹시불발되면 바로연락드릴게요 ], 긍정 텍스트 확률 : 52.73%"
"[ 쳇드려용], 긍정 텍스트 확률 : 66.13%"
"[불발시 제가할께요], 긍정 텍스트 확률 : 57.16%"
"[ 쳇드려요], 긍정 텍스트 확률 : 66.13%"
"[동호 유닝감사합니다], 긍정 텍스트 확률 : 84.51%"
"[아빠가 먹는거 보면서 쩝쩝대고관심 많고 침도 막 흘려서 이유식을 시작할 때가 왔구나 싶었어요다들 처음엔 엄마가 직접 만들어 먹여야 한다고조리도구며], 긍정 텍스트 확률 : 62.56%"
"[저보다 더 전문가들이 만드는 거니까시간적으로나 인력적으로나 시판이 정답서론이 길었네요뭔가 육아포스팅은 내 상황을 설명하게 됨ㅋ결론은 아기가 잘 먹기로 유명한루솔 로 결정 ], 긍정 텍스트 확률 : 58.15%"
"[ 왜 많고 많은 시판이유식 중에 루솔을 선택했냐신선한 재료], 긍정 텍스트 확률 : 85.56%"
"[위생적인 환경], 긍정 텍스트 확률 : 68.11%"
"[ 제품을 받아보고 나니 번호가 다 있더라고요?쌀미음], 긍정 텍스트 확률 : 50.17%"
"[ 개의 이유식 중에서 제일 궁금한 번양배추 비트미음을 시식해보려고 꺼내봤어요다른 이유식에 비해 열량은 낮은 편이라 다이어트하는 나에게 찰떡 ], 긍정 텍스트 확률 : 66.54%"
"[ 분 초면 되겠지 했는데초등학생시절 화산폭발키트가 생각나네....?초보맘님들 저보시고 이런 실수는 하지 마세요초만 데펴도 뜨뜻하더라고요...ㅋㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 95.36%"
"[ 내가 만든 이유식도 아닌데 잘먹어주니 그저 감동쓰...한우미음도 궁금해서 먹어봤는데어른이 먹기엔 소금 쳐서 먹으면띠오잉 완전 맛있어요ㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 80.76%"
"[ 직접 씹고 맛보고 느껴본 결과루솔 이유식추천입니다어디서 사는지 걱정하지 마세용아기이유식배달도 되는 루솔이니까요아 그리고 루솔 홈페이지 신규회원 가입 시 이유식 팩 무료체험 쿠폰을 제공하는이벤트가 있으니 꼭 참여해보세요↓ 아래 사진 클릭하시면 이벤트페이지로 바로 넘어갑니다], 긍정 텍스트 확률 : 98.84%"
"[.?루솔루솔.?이유식이유식.?배달이유식배달이유식.?시판이유식시판이유식.?초기이유식초기이유식 .?아가밥상아가밥상.?오가닉이유식오가닉이유식.?아기이유식배달아기이유식배달.?이유식추천이유식추천본 포스팅은 루솔로부터 제공받아 작성된 후기입니다. ], 긍정 텍스트 확률 : 84.51%"
"[ .저는 아기 이유식을 시판이유식 먹이지 않고 집에서 만들어서 먹이고 있어요..집에 영양왕이라고 죽만드는 기계가 있어서 죽정도의 이유식을 먹는 초기 중기이유식은 무리가 없었어요..들어가는 재료도한개두개고 하루에 번 먹으니 만들어 먹일만 했지요...그런데 하루 번을 먹여야하고 여러가지 재료를 이용해야하는 후기이유식은 해먹일 수 있을지 걱정이.되더라고요..요즘 아기이유식배달 해주는 곳들이 많기에 그중 루솔에서 후기이유식배달 시켜보았어요....... ], 긍정 텍스트 확률 : 61.58%"
"[ .저는 후기이유식배달 시켰는데요..루솔의 후기이유식은 단계 진밥이에요..개월아기부터 권장해요...루솔에는 팩 팩 이런식으로 되어있는데요..팩이면 후기이유식때는 하루에 번을 먹으니....한번에 씩 먹으면.. .일주일이면 다 먹는 양이네요ㅎㅎ.더 많이 먹는 아가의 경우 더 빨리 먹겠지요.... ], 긍정 텍스트 확률 : 67.40%"
"[ .루솔 이유식은식품안전관리인증을 받은 식품이에요..우리 아가가 먹을꺼니까 인증받은 식품으로 믿고 먹여요...... ], 긍정 텍스트 확률 : 73.12%"
"[ 제가 루솔의 후기이유식배달 시킨 단계는 진밥인데요.동영상을 보시면 진뜩한 느낌이 어느정도인지 아실꺼에요. 물이 거의 없는 진밥이지요.저는 아직 후기로 넘어갈 단계는 아니고 중기이유식 후반이라 아기에게 줄때 처음에는 물을 정도 섞어서 먹였어요.잘 먹어서 몇일 물을 섞어주다 진밥 그대로 주었는데 목매여하지 않고 잘 먹었어요. ], 긍정 텍스트 확률 : 59.51%"
"[ 아기이유식배달 처음 시켜 먹여보았는데..다행히 잘 먹어주고 배탈도 안났어요.후기이유식땐 번을 먹여야 하니까 루솔에서 더 만나봐야겠어요.후기이유식배달 고민 중이라면..유기농 쌀과 국내산 다양한 재료가 들어간 .루솔 이유식추천 드려요 ...... ], 긍정 텍스트 확률 : 60.03%"
